PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 9, filenames: A:[9]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi & B:[10]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
47,1409,19.42817688,-0.7769892216,1
47,1441,2.820634127,-3.648257971,1
47,1473,5.78966856,-5.487910748,1
47,1505,7.420584679,-4.536079407,1
47,1537,8.025494576,-4.676287651,1
47,1569,7.438203335,-4.973574162,1
47,1601,5.004583359,-3.915045977,1
47,1633,-9.636295319,-18.91632271,1
47,1665,-14.24269295,6.079182148,1
47,1697,3.018521786,-4.821474075,1
47,1729,2.793503523,-3.772273779,1
47,1761,3.307212353,-4.022768974,1
47,1793,1.799990177,-4.223081589,1
47,1825,-0.6597275734,-1.698614359,1
47,1857,-0.5425357819,-0.07357168198,1
47,1889,-0.2180503607,-0.09952735901,1
47,1921,0.233682394,-0.6319789886,1
47,1953,1.004593849,-1.608892918,1
47,1985,0.6097584367,0.1170200706,1
47,2017,-13.58992767,0.1774950027,1
79,33,-0.1673824787,0.5466529131,1
79,65,-0.3091113865,-0.1147232652,1
79,97,-0.1901290417,-0.2004940808,1
79,129,0.1873292327,-0.1749098003,1
79,161,1.116415262,0.01284313202,1
79,193,1.032470226,-0.2624239028,1
79,225,0.2368697822,-0.1314082146,1
79,257,-0.07534217089,0.06571909785,1
79,289,-0.2310042828,-0.1558967531,1
79,321,-0.357624799,-0.007174931467,1
79,353,-0.1082771569,0.2657891512,1
79,385,-0.003025114536,0.02494127303,1
79,417,-0.223552227,-0.09983971715,1
79,449,-0.9892749786,0.4698059857,1
79,481,-1.045983553,0.364049077,1
79,513,-0.7762959599,-0.03075627983,1
79,545,-0.1015461981,0.2072097361,1
79,577,0.1964253038,-0.133274287,1
79,609,-0.2672257423,-0.2817085683,1
79,641,-0.7511348724,0.1330917478,1
79,673,-0.3885565102,0.7647631764,1
79,705,0.6170986295,2.873120308,1
79,737,1.853284359,3.425123692,1
79,769,2.40636301,0.2315051556,1
79,801,0.6066891551,-1.01099515,1
79,833,-0.1507619619,-1.275127292,1
79,865,-0.4430984855,-0.6249070168,1
79,897,-0.4008328021,-0.2441061139,1
79,929,0.1970697045,-0.38489604,1
79,961,-0.1816760302,0.2642168403,1
79,993,1.179175973,1.014788032,1
79,1025,1.090878963,-0.2627609968,1
79,1057,0.5275639892,-1.312182307,1
79,1089,-0.5153408051,-1.950322866,1
79,1121,-1.528455734,-1.709500313,1
79,1153,0.02859556675,-0.8937100172,1
79,1185,3.15274024,-0.6663415432,1
79,1217,2.830851555,-1.563220501,1
79,1249,4.604607582,-1.183790207,1
79,1281,4.846532822,0.6379857659,1
79,1313,5.589850426,-0.9750089049,1
79,1345,3.196067333,-2.352121115,1
79,1377,-7.426456451,4.123885155,1
79,1409,3.865564585,7.213800907,1
79,1441,4.451517105,-2.772627592,1
79,1473,5.682899952,-5.068814278,1
79,1505,5.867073536,-4.759426594,1
79,1537,-2.11741209,12.825243,1
79,1569,6.750728607,-5.753844261,1
79,1601,5.864835739,-4.143048763,1
79,1633,4.948653221,-3.173740864,1
79,1665,5.498770714,-5.35568285,1
79,1697,5.457805634,-5.875714302,1
79,1729,4.510962009,-4.733007431,1
79,1761,4.098893642,-4.493719578,1
79,1793,4.825508118,-4.963263512,1
79,1825,4.718923092,-3.985788584,1
79,1857,4.007510662,-2.981524706,1
79,1889,0.5688891411,0.5593879223,1
79,1921,-0.398686707,1.139025927,1
79,1953,-0.6276936531,0.6170326471,1
79,1985,0.2851470113,-0.552429378,1
79,2017,4.00528717,-3.910829544,1
111,33,0.2553470135,0.1306652278,1
111,65,-0.1000317335,0.1346529871,1
111,97,-0.2730665505,-0.07064245641,1
111,129,-0.1929137707,-0.006050929427,1
111,161,-0.02942180634,0.2053409517,1
111,193,0.09897144139,-0.02203586698,1
111,225,0.07989013195,-0.03305248916,1
111,257,-0.1767056584,-0.02871981263,1
111,289,-0.3233383,-0.3273966312,1
111,321,-0.263141036,-0.1117461473,1
111,353,0.05701183155,0.3342703879,1
111,385,0.05970044434,0.1415490955,1
111,417,-0.2298312187,-0.05834126472,1
111,449,-3.095527172,0.5246989727,1
111,481,-2.67941761,1.857839823,1
111,513,-1.408880591,0.4573391378,1
111,545,0.1088469625,-0.04911576211,1
111,577,0.2493225783,0.05057485029,1
111,609,-0.5865932703,-0.1146827266,1
111,641,-1.036526918,0.3273769617,1
111,673,-0.719927907,0.8043421507,1
111,705,-0.1570470333,1.584805012,1
111,737,1.194841862,1.130317688,1
111,769,0.5405133367,-0.1090474576,1
111,801,-0.6902955174,-0.1184136793,1
111,833,-0.7177688479,-0.3176124096,1
111,865,-0.4802776575,-0.4504296184,1
111,897,-0.1968857646,-0.2334872186,1
111,929,0.2467033863,-0.09399372339,1
111,961,0.9321063757,0.164213419,1
111,993,1.326172829,-0.1024446189,1
111,1025,1.256052136,-0.3751423955,1
111,1057,0.3871204257,-0.7685224414,1
111,1089,-0.3903532028,-1.061974168,1
111,1121,-0.756775856,-0.9376738071,1
111,1153,-0.4019044042,-0.1262513399,1
111,1185,1.851994514,-0.5708417296,1
111,1217,3.932971001,-2.907056808,1
111,1249,5.569746017,-3.760490894,1
111,1281,6.660984993,-0.5497121811,1
111,1313,6.069620609,-0.979077816,1
111,1345,4.987012386,-0.7724342346,1
111,1377,4.78514576,-2.847685337,1
111,1409,5.498221397,-3.247683048,1
111,1441,6.198055267,-3.733502865,1
111,1473,6.038573742,-4.724039078,1
111,1505,6.253217697,-4.610234261,1
111,1537,7.092362881,-4.740198135,1
111,1569,7.175244808,-5.519190788,1
111,1601,6.609502792,-5.779885292,1
111,1633,5.905172348,-5.207285404,1
111,1665,5.748371601,-5.156804562,1
111,1697,6.006199837,-5.345797539,1
111,1729,6.0126791,-5.239140034,1
111,1761,5.862931252,-5.18555212,1
111,1793,5.737164021,-5.106018066,1
111,1825,5.315383911,-4.117219448,1
111,1857,4.674957275,-3.813391685,1
111,1889,2.61136055,-4.751366138,1
111,1921,-0.2310243398,0.4070973098,1
111,1953,-0.9905019999,0.9101651907,1
111,1985,-0.1435358226,-0.4565652609,1
111,2017,2.90536499,-8.398180008,1
143,33,0.4290146828,-0.02076241374,1
143,65,0.02697397768,-0.03064106405,1
143,97,-0.3224313557,0.006435588002,1
143,129,-0.3826159537,0.07888007164,1
143,161,-0.283064425,0.1776074171,1
143,193,-0.004838883877,0.03598324955,1
143,225,0.09066316485,-0.1632927656,1
143,257,-0.411688447,-0.2430382222,1
143,289,-0.371018827,-0.219979912,1
143,321,-0.1134238243,-0.2085247636,1
143,353,-0.02564481273,0.002964440733,1
143,385,-0.07464319468,0.2810301781,1
143,417,-0.2224703133,0.2293673307,1
143,449,-0.933329463,0.208396256,1
143,481,-1.227644563,1.526664615,1
143,513,-0.8712784648,0.5148635507,1
143,545,-0.2624408305,-0.1973925829,1
143,577,0.1986355036,0.5747712255,1
143,609,-0.2076536715,-0.2220775783,1
143,641,-0.8638033271,-0.1288923919,1
143,673,-0.8789055347,0.4933665395,1
143,705,-0.6187608242,0.3772717118,1
143,737,0.1898981035,-0.2181231976,1
143,769,0.4481067359,-0.3199545741,1
143,801,-0.9882413149,0.9490437508,1
143,833,-1.374255776,0.4207448959,1
143,865,-0.002853244543,-0.02991104126,1
143,897,0.2247466296,0.0006870627403,1
143,929,0.5496220589,-0.4125730395,1
143,961,1.360928178,-0.01349356771,1
143,993,1.845422149,-0.1901126802,1
143,1025,1.684643745,-0.5722580552,1
143,1057,1.158461094,-0.4909332395,1
143,1089,0.7679587603,0.3438929319,1
143,1121,0.06875658035,-0.7705357075,1
143,1153,0.6527196765,-0.07708084583,1
143,1185,1.550181866,0.4028730392,1
143,1217,2.423248529,-1.604061127,1
143,1249,4.526810646,-4.928566933,1
143,1281,5.895624161,-2.562946796,1
143,1313,6.383028507,-2.720133305,1
143,1345,6.195307732,-2.356463432,1
143,1377,5.991709709,-3.876316071,1
143,1409,6.275084496,-4.370437145,1
143,1441,6.93037796,-4.965634346,1
143,1473,4.69736433,-4.332931042,1
143,1505,5.863982201,-3.346491814,1
143,1537,6.828148365,-4.881090641,1
143,1569,6.732090473,-5.834795475,1
143,1601,6.500264168,-6.330997467,1
143,1633,6.507791519,-6.75330162,1
143,1665,6.677503586,-4.81626749,1
143,1697,6.997018814,-5.162534714,1
143,1729,6.400184631,-5.894680977,1
143,1761,25.35093117,-6.703362465,1
143,1793,5.545793056,-5.455368042,1
143,1825,5.122036934,-5.517494678,1
143,1857,4.884656429,-5.466217995,1
143,1889,2.815503359,-3.421815872,1
143,1921,0.2367513627,-0.2431253195,1
143,1953,-0.865149498,1.013645411,1
143,1985,0.1946614385,-0.5714082718,1
143,2017,3.855292797,-9.481633186,1
175,33,0.327552259,0.007128017023,1
175,65,0.1982313395,-0.1058221608,1
175,97,-0.001406278461,-0.08126889914,1
175,129,-0.06653612852,-0.0535261333,1
175,161,-0.2615377307,-0.04336713627,1
175,193,-0.1797128618,-0.2169738263,1
175,225,0.137573719,-0.2926495969,1
175,257,0.04219455272,-0.3163700998,1
175,289,-0.1816438884,-0.09530588984,1
175,321,-0.02046392858,-0.05921773612,1
175,353,-0.0350554809,-0.2284317315,1
175,385,-0.1956219971,0.01971128583,1
175,417,-0.1442606747,0.4312453866,1
175,449,-0.3408150673,0.09417808056,1
175,481,-0.5512622595,0.181221664,1
175,513,-0.436224699,0.1116934717,1
175,545,-0.1614969969,0.08135439456,1
175,577,0.135867998,0.6651037931,1
175,609,0.04993420839,0.04056582227,1
175,641,-0.2783668637,-0.5491068363,1
175,673,-0.5954596996,0.1108680069,1
175,705,-0.729155302,0.3068228364,1
175,737,-0.8200565577,0.2088098079,1
175,769,-0.4049351215,-0.4060109854,1
175,801,-0.1946506798,-0.4218375683,1
175,833,-0.08982901275,-0.2979403436,1
175,865,0.3532552123,-0.4754371047,1
175,897,0.6849091053,-0.2952740192,1
175,929,0.9200435281,-0.6029574275,1
175,961,1.484102249,-0.4054270387,1
175,993,1.963054776,-0.3047076464,1
175,1025,2.095765591,-0.5864220858,1
175,1057,2.0459342,-0.4879062176,1
175,1089,1.89059639,-0.7790341377,1
175,1121,0.7826850414,-1.574660301,1
175,1153,0.8137792945,-0.1231030673,1
175,1185,1.318728328,0.1921880245,1
175,1217,1.849993706,-0.5594070554,1
175,1249,2.586782217,2.186410904,1
175,1281,5.036766529,-2.659300566,1
175,1313,5.911320686,-4.077923775,1
175,1345,6.244066715,-4.523813248,1
175,1377,6.556347847,-4.726895809,1
175,1409,6.607875824,-4.431485176,1
175,1441,6.726358891,-2.993178368,1
175,1473,6.601188183,-4.089571953,1
175,1505,6.615580082,-4.43622303,1
175,1537,6.725095272,-5.476612091,1
175,1569,5.440143585,-6.463819504,1
175,1601,5.707804203,-6.592545033,1
175,1633,6.42875433,-6.48636055,1
175,1665,7.407179356,-5.173299789,1
175,1697,8.31726265,-5.378320217,1
175,1729,7.002154827,-6.199682236,1
175,1761,5.848286629,-6.514328957,1
175,1793,4.995410442,-6.148411751,1
175,1825,4.307986259,-6.952684879,1
175,1857,4.476193428,-7.318722248,1
175,1889,2.368772984,-3.753610849,1
175,1921,-0.1055642366,0.4962420464,1
175,1953,-0.1875104606,1.107434511,1
175,1985,-0.09672759473,-0.07677555084,1
175,2017,1.200548172,-7.794919968,1
207,33,-0.02535699308,0.0548873134,1
207,65,0.1796380728,-0.06434419751,1
207,97,0.3042839766,-0.07996594161,1
207,129,0.1754293144,-0.03140690923,1
207,161,-0.00804129988,-0.1036077589,1
207,193,-0.06137671322,-0.02665225416,1
207,225,0.01220160723,-0.05925055593,1
207,257,0.197232306,-0.03469771892,1
207,289,0.01840730757,0.08068134636,1
207,321,-0.0447345376,0.1067632735,1
207,353,-0.06604799628,-0.2126152366,1
207,385,-0.2183932513,-0.3955866396,1
207,417,-0.2045682967,-0.3278500438,1
207,449,-0.03703463078,-0.2549711764,1
207,481,-0.1352164149,-0.1484764218,1
207,513,-0.2106373012,-0.1070015132,1
207,545,-0.2107585967,-0.146371603,1
207,577,-0.3349523544,0.2164594382,1
207,609,-0.03294050694,-0.1989752054,1
207,641,-0.5158703923,-0.7468820214,1
207,673,-1.410965919,-0.374294579,1
207,705,-1.553277969,-0.2035173774,1
207,737,-1.611814022,-0.304621011,1
207,769,-1.287317276,-0.3745749593,1
207,801,-0.8523983955,-0.6708793044,1
207,833,-0.516795814,-0.9326868653,1
207,865,0.267714262,-0.7130548954,1
207,897,0.691816628,-0.571205318,1
207,929,0.6219573617,-0.5243598819,1
207,961,1.454062581,-2.020897388,1
207,993,3.096607924,-0.8006756306,1
207,1025,3.291693926,-0.4849017859,1
207,1057,3.343057156,-1.185878754,1
207,1089,3.467577219,-1.726617932,1
207,1121,1.940362215,-1.151348352,1
207,1153,0.7737377882,-0.2410420179,1
207,1185,1.100676537,-0.2619025111,1
207,1217,1.893114805,-0.6223638058,1
207,1249,-10.41761971,10.02007866,1
207,1281,4.31251955,-2.98081398,1
207,1313,5.391614914,-4.675312042,1
207,1345,6.230938911,-5.42441082,1
207,1377,6.760372639,-5.520544052,1
207,1409,7.227694511,-5.253798962,1
207,1441,7.3885355,-5.155518532,1
207,1473,7.275747299,-5.161382198,1
207,1505,8.442170143,-7.248015881,1
207,1537,9.430776596,-6.525082111,1
207,1569,6.57559967,-6.119149208,1
207,1601,6.538133144,-6.855289936,1
207,1633,6.836146355,-6.522188663,1
207,1665,7.394090652,-6.143913746,1
207,1697,8.38649559,-5.898017883,1
207,1729,8.057273865,-6.140482903,1
207,1761,6.976706505,-7.038990021,1
207,1793,5.418087006,-7.083417892,1
207,1825,3.907144547,-7.846152782,1
207,1857,2.703921318,-7.652155399,1
207,1889,1.473369122,-5.269133568,1
207,1921,0.3141553402,0.04705142975,1
207,1953,0.09747290611,0.4881783724,1
207,1985,0.054679811,0.3565187454,1
207,2017,16.76980019,-5.126922607,1
239,33,-0.1969151348,0.05838027224,1
239,65,-0.1304737628,-0.1602299809,1
239,97,0.1578198671,-0.171175912,1
239,129,0.1302092969,-0.04634777457,1
239,161,0.1435417831,0.08678782731,1
239,193,0.280685395,0.2563429177,1
239,225,0.2163033783,-0.03523890302,1
239,257,0.002882335335,0.004603913054,1
239,289,0.02282950282,0.1458356678,1
239,321,0.1107145399,0.3843322694,1
239,353,-0.005612276495,0.03822963685,1
239,385,-0.09442137182,-0.6242217422,1
239,417,0.03028012812,-0.3726528585,1
239,449,0.2721884251,-0.157951951,1
239,481,-0.09195010364,-0.1648579687,1
239,513,-0.08837178349,-0.4628980458,1
239,545,-0.195048362,-0.5142508745,1
239,577,-0.4041865468,-0.1532690972,1
239,609,0.04683679342,-0.244355157,1
239,641,-0.8234453201,-0.8398743272,1
239,673,-3.346373081,-0.7186471224,1
239,705,-2.302450418,-1.647520542,1
239,737,-2.141734123,-1.978570342,1
239,769,-2.525791645,-0.3176851273,1
239,801,-1.017572761,-0.3854165673,1
239,833,-0.7287944555,-0.5701719522,1
239,865,-0.6831027269,-0.7148326635,1
239,897,-0.0220015496,-1.070735931,1
239,929,-0.2616318166,-0.7327473164,1
239,961,0.2131593227,-1.826340079,1
239,993,2.028343678,-1.045978308,1
239,1025,3.370066881,-0.3224761486,1
239,1057,3.93880868,-1.039601207,1
239,1089,3.3843894,-2.072288275,1
239,1121,4.181837559,-0.8043544292,1
239,1153,1.240580082,0.04509449005,1
239,1185,0.4847393036,-0.08342576027,1
239,1217,1.973039389,-1.293815851,1
239,1249,3.610484123,-3.332688808,1
239,1281,4.938922405,-4.817217827,1
239,1313,5.417963028,-5.558629513,1
239,1345,6.24790287,-6.222837925,1
239,1377,7.123644352,-6.263183117,1
239,1409,7.55684042,-6.166367531,1
239,1441,7.623320103,-6.254273415,1
239,1473,7.537199974,-5.963271618,1
239,1505,13.01971245,7.161623955,1
239,1537,8.027433395,-6.81252861,1
239,1569,7.38267374,-6.700078964,1
239,1601,7.06854105,-6.68722868,1
239,1633,6.623492718,-6.679691792,1
239,1665,6.751461506,-6.824514866,1
239,1697,7.669570446,-5.838891983,1
239,1729,7.714634895,-5.009044647,1
239,1761,7.320002079,-6.411702156,1
239,1793,5.354362965,-7.701590061,1
239,1825,3.200435877,-6.989689827,1
239,1857,1.434741735,-6.367872715,1
239,1889,0.7389144897,-4.467236042,1
239,1921,0.1430250406,0.1118741035,1
239,1953,0.2900295258,-0.2941510677,1
239,1985,-0.009728699923,-0.04713916779,1
239,2017,-0.2079036236,-3.062484026,1
271,33,-0.1249135137,0.02575063705,1
271,65,-0.09943206608,0.1172476783,1
271,97,-0.1052138135,-0.08582311124,1
271,129,-0.1058196276,-0.1766438782,1
271,161,-0.1112047136,-0.02448547632,1
271,193,0.1081586331,-0.02527207136,1
271,225,0.04111606628,-0.06256918609,1
271,257,-0.1127647907,0.07838128507,1
271,289,0.1665790826,0.1255315691,1
271,321,0.2590857744,0.402071774,1
271,353,-0.03248782456,0.1022743508,1
271,385,0.06385192275,-0.5549411178,1
271,417,0.1311059892,-0.1777023077,1
271,449,0.03827571869,0.07037490606,1
271,481,-0.07275976241,-0.002933323383,1
271,513,-0.4069314897,-0.6099645495,1
271,545,-0.6035971642,-0.9343262315,1
271,577,-0.22014153,0.1873758435,1
271,609,-0.2786266804,0.3522642255,1
271,641,-1.599838376,-0.3376676142,1
271,673,-3.027260065,-0.5007347465,1
271,705,-2.505768299,-1.389309049,1
271,737,-3.518236399,-1.427698374,1
271,769,-3.140142918,-0.52648139,1
271,801,-0.7761784792,0.09906950593,1
271,833,-1.206015587,0.5426256061,1
271,865,-1.179967165,-0.05312409997,1
271,897,-0.6824353337,-0.7411386371,1
271,929,-1.058069706,-0.7706778646,1
271,961,0.01658678055,-1.549437881,1
271,993,1.223336458,-2.118413925,1
271,1025,2.782539845,-0.8456618786,1
271,1057,3.958899736,-0.7391223907,1
271,1089,4.025148869,-1.138587594,1
271,1121,2.460638523,-0.7137446404,1
271,1153,1.372442722,-1.593330383,1
271,1185,0.9437322617,-1.907489777,1
271,1217,3.791527271,-2.70974946,1
271,1249,5.289829731,-4.413290024,1
271,1281,5.965587616,-5.450381279,1
271,1313,6.161016464,-6.909574509,1
271,1345,5.895326138,-6.633464336,1
271,1377,5.698315144,-5.493143082,1
271,1409,8.214831352,-6.756577969,1
271,1441,8.813434601,-7.483761787,1
271,1473,7.995061874,-7.496629238,1
271,1505,7.532849312,-7.061032772,1
271,1537,8.067974091,-7.172146797,1
271,1569,7.679832458,-7.250945091,1
271,1601,7.32474041,-7.174001694,1
271,1633,6.357713699,-7.058390141,1
271,1665,6.461306572,-7.43249321,1
271,1697,7.348500729,-5.572259426,1
271,1729,7.63555479,-5.226350784,1
271,1761,7.191505909,-6.434394836,1
271,1793,5.37667799,-6.486739159,1
271,1825,3.213430405,-5.231150627,1
271,1857,1.216172457,-4.446143627,1
271,1889,-0.241850853,-0.5806384087,1
271,1921,-0.2716317177,0.2624359131,1
271,1953,0.231738925,-0.3682618141,1
271,1985,-0.01029399037,-0.01858186722,1
271,2017,-0.2243596315,-2.283034801,1
303,33,0.01562821865,0.0287515223,1
303,65,0.06665034592,0.1943040788,1
303,97,-0.2188382894,0.191654563,1
303,129,-0.2710862756,-0.08748801053,1
303,161,-0.1676352769,-0.2201646715,1
303,193,-0.1854135394,-0.05997817218,1
303,225,-0.2799976766,-0.1636382043,1
303,257,-0.207273826,-0.01658476703,1
303,289,-0.0271672532,0.03506839275,1
303,321,0.1422696114,-0.0366229564,1
303,353,0.09849445522,-0.1282123923,1
303,385,-0.2210024893,-0.2333495319,1
303,417,-0.2153684199,-0.1813933253,1
303,449,0.1223289967,0.6187124252,1
303,481,0.4099861681,0.391641736,1
303,513,-0.3486899734,-0.7370173931,1
303,545,-0.9373985529,-0.6889615655,1
303,577,-0.6887201667,0.5409133434,1
303,609,-1.397631168,1.067739367,1
303,641,-2.908516884,0.7811512947,1
303,673,-3.507062912,0.4357154071,1
303,705,-2.168223143,0.4258404374,1
303,737,-1.640461802,-0.5190135241,1
303,769,-1.199892163,-0.5834681392,1
303,801,-0.884293437,0.1153244302,1
303,833,-2.449409723,0.7477766871,1
303,865,-1.82424891,0.1369544119,1
303,897,-1.625723839,-0.5483180881,1
303,929,-1.713185191,-1.104481697,1
303,961,-1.1876266,-3.907316446,1
303,993,-0.9968266487,-3.119068146,1
303,1025,1.747085214,-1.291447282,1
303,1057,3.581002712,-1.070427656,1
303,1089,5.330071926,-1.394685507,1
303,1121,4.817412376,-2.178521395,1
303,1153,3.64917469,-3.578107834,1
303,1185,2.876142979,-3.789513826,1
303,1217,5.38150692,-4.027769089,1
303,1249,6.274348736,-4.932007313,1
303,1281,6.645210266,-5.606355667,1
303,1313,7.314110279,-6.647341251,1
303,1345,8.806785583,-7.728033066,1
303,1377,-4.182311058,7.041703701,1
303,1409,10.3853159,-7.80536747,1
303,1441,11.43673325,-9.900635719,1
303,1473,9.154942513,-9.246697426,1
303,1505,8.409442902,-8.679465294,1
303,1537,8.417121887,-8.376945496,1
303,1569,7.885516167,-8.1300354,1
303,1601,7.157725811,-8.569208145,1
303,1633,6.318945408,-7.900454998,1
303,1665,5.965296268,-8.08218956,1
303,1697,6.318509102,-7.403710842,1
303,1729,7.184962273,-6.826734543,1
303,1761,7.180008888,-6.281061172,1
303,1793,6.04136467,-5.11782217,1
303,1825,3.838830948,-4.795807838,1
303,1857,1.743730068,-4.349244595,1
303,1889,-0.2285072803,-0.5090658665,1
303,1921,-0.04995965958,-0.08510255814,1
303,1953,0.3799176216,0.004964828491,1
303,1985,0.6861991286,0.04956769943,1
303,2017,-0.1602931023,-2.331273794,1
335,33,0.04712225124,0.02844446898,1
335,65,0.0863179788,0.1910129637,1
335,97,-0.05629818141,0.4453239441,1
335,129,-0.3660608232,0.5123255849,1
335,161,-0.4152413309,-0.009363599122,1
335,193,-0.5166965723,-0.3096955717,1
335,225,-0.4438545704,-0.3738248944,1
335,257,-0.2368442714,-0.04347136989,1
335,289,-0.295502007,-0.04817586392,1
335,321,-0.1571592689,-0.1660155654,1
335,353,0.1757054031,0.1172525138,1
335,385,-0.0006936192513,0.1784563661,1
335,417,-0.5209327936,0.4479854703,1
335,449,0.33843413,4.878853321,1
335,481,3.303823709,14.25197601,1
335,513,0.5994880199,0.3156283796,1
335,545,-0.3098396659,-0.06082448363,1
335,577,-1.512503386,-0.002129912376,1
335,609,-3.121222019,2.152187824,1
335,641,-4.167456627,2.401352882,1
335,673,-3.448258877,1.282115459,1
335,705,-1.991687059,0.8618660569,1
335,737,-0.7623146772,0.3389848471,1
335,769,-0.944116354,-0.1018557847,1
335,801,-0.4745503664,0.4398022294,1
335,833,-0.6609175205,0.6255696416,1
335,865,-1.808864594,0.01450693607,1
335,897,-3.834106922,-0.8278101087,1
335,929,-3.833173275,-3.0373106,1
335,961,-0.7773146629,-3.559956551,1
335,993,-0.421017766,-2.124388218,1
335,1025,1.323497057,-1.29014802,1
335,1057,3.168596506,-0.8927215338,1
335,1089,4.678585052,-1.217771053,1
335,1121,5.45469141,-3.190831661,1
335,1153,5.363937855,-3.690590143,1
335,1185,5.472883224,-4.194501877,1
335,1217,6.439396858,-4.999215126,1
335,1249,7.598788738,-5.431658745,1
335,1281,8.152453423,-5.807043552,1
335,1313,9.54400444,-6.645133018,1
335,1345,10.71004391,-7.512039185,1
335,1377,11.83902645,-7.821397305,1
335,1409,11.75436592,-9.076552391,1
335,1441,15.93161392,-25.58624649,1
335,1473,9.051368713,-10.78726387,1
335,1505,9.125734329,-10.03982067,1
335,1537,8.70671463,-9.096569061,1
335,1569,8.0135746,-8.833189011,1
335,1601,6.376971722,-9.54252243,1
335,1633,6.2592659,-8.134634972,1
335,1665,5.821879387,-8.545098305,1
335,1697,5.300035,-8.791150093,1
335,1729,5.953186989,-7.637168884,1
335,1761,6.345215797,-6.035651684,1
335,1793,5.406484604,-5.563791275,1
335,1825,4.204847336,-5.295444489,1
335,1857,4.176650524,-4.902598858,1
335,1889,1.013650179,-0.4069182873,1
335,1921,0.8061723709,-0.2144603729,1
335,1953,0.9353845119,-0.4520497322,1
335,1985,0.3223434687,-0.05138897896,1
335,2017,-1.098455906,-2.572915554,1
367,33,-0.02384601347,-0.03843602538,1
367,65,-0.1213876903,-0.009481552988,1
367,97,-0.1286341846,0.2553320527,1
367,129,-0.1093837246,0.4508836269,1
367,161,-0.1705139726,0.1851416826,1
367,193,-0.4592963755,-0.2401691079,1
367,225,-0.6533616781,-0.203679055,1
367,257,-0.5631526113,0.1515738964,1
367,289,-0.4898049533,0.1049151272,1
367,321,-0.4570290446,0.1286596209,1
367,353,-0.4304462075,0.4139840305,1
367,385,-0.1049433947,0.4108358324,1
367,417,-0.9655530453,1.12968266,1
367,449,-1.100270033,4.325361252,1
367,481,-0.6838197112,1.922728896,1
367,513,-0.377180934,0.1117227077,1
367,545,-1.278778076,0.522809267,1
367,577,-2.256385565,1.225650787,1
367,609,-3.446072817,1.913758516,1
367,641,-4.479570389,2.516459942,1
367,673,-4.482022285,0.9806574583,1
367,705,-2.850235939,0.6887135506,1
367,737,-1.400920153,0.8142464161,1
367,769,-1.401941538,0.6844543815,1
367,801,-0.897526741,1.123415947,1
367,833,-1.401483893,0.616243124,1
367,865,-2.363001585,-0.150795728,1
367,897,-3.431707621,-0.4517011046,1
367,929,-2.358767033,-2.433231592,1
367,961,-0.3391701579,-4.241275311,1
367,993,-0.3282633424,-5.397134304,1
367,1025,0.3172613382,-1.318099141,1
367,1057,2.766991138,-0.4626817703,1
367,1089,4.522138596,-0.8143556118,1
