PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 27, filenames: A:[27]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi & B:[28]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
111,1313,-1.183178544,-0.615858078,1
111,1345,-0.8246766925,0.06008960307,1
111,1377,-0.5380104184,0.6044921279,1
111,1409,-0.3909604549,-0.02833345532,1
111,1441,-0.7918314934,0.3577399254,1
111,1473,-0.9774388671,0.8974938393,1
111,1505,0.05667775869,0.6811197996,1
111,1537,-0.6619567871,0.4067472219,1
111,1569,-1.416693449,0.3235132694,1
111,1601,-0.7494633794,0.2736563683,1
111,1633,-0.6439534426,0.4382508397,1
111,1665,-0.9989421368,0.6080402136,1
111,1697,-1.01481986,0.3504628837,1
111,1729,13.34953117,-12.79675961,1
111,1761,-0.5053152442,-0.1154301465,1
111,1793,-1.502802372,-0.5722455978,1
111,1825,-0.5080256462,0.04975326359,1
111,1857,0.6552382708,0.5374029875,1
111,1889,-0.02058586478,-0.186712876,1
111,1921,-0.07627536356,-0.05970302969,1
111,1953,0.05282723159,-0.1004492193,1
111,1985,0.2320003211,-0.07972154021,1
111,2017,0.1945910007,-0.2259316146,1
143,33,-0.02066864818,0.1548793763,1
143,65,0.05808006227,0.2192219645,1
143,97,0.2616399527,0.250649631,1
143,129,0.2632132173,0.1484983265,1
143,161,0.08260175586,-0.04413130879,1
143,193,-0.08594650775,0.07723897696,1
143,225,-0.2143764645,-0.02298259735,1
143,257,-0.1671150029,0.1365315318,1
143,289,0.2797659636,0.250972569,1
143,321,1.08970654,0.6044450998,1
143,353,0.6919189692,0.3248872757,1
143,385,-0.3616679609,0.05184420571,1
143,417,-0.1940757036,0.02121346444,1
143,449,-0.2474111617,-0.0983017683,1
143,481,-0.07473197579,-0.1191219389,1
143,513,-0.0483327508,-0.1217724681,1
143,545,-0.2591324449,0.001262426376,1
143,577,-0.1867953241,-0.212469846,1
143,609,0.1239719391,-1.143634796,1
143,641,0.2534796,-2.0345366,1
143,673,4.807377815,12.359025,1
143,705,-0.3739978671,-2.136744976,1
143,737,-1.379601121,-1.019046068,1
143,769,-2.170220852,-1.102310181,1
143,801,-0.7809336185,-0.6524003148,1
143,833,-0.504329443,-0.06918293238,1
143,865,-0.9401813745,-0.4900090694,1
143,897,-1.127043009,-0.6551166177,1
143,929,-1.272746921,-0.566087842,1
143,961,-0.9856414795,-0.1974504292,1
143,993,-0.748062253,-0.2885776162,1
143,1025,-0.9279785156,-0.6617156863,1
143,1057,-1.778605938,-1.1517905,1
143,1089,-2.53067708,-1.976098061,1
143,1121,-2.270738363,-1.681895018,1
143,1153,-0.9192681909,0.1960548908,1
143,1185,-0.9144393802,1.161580801,1
143,1217,-1.586525083,1.554530859,1
143,1249,-1.485596895,-0.0334443748,1
143,1281,-1.230908751,-0.1469642669,1
143,1313,-1.059144497,-0.07376511395,1
143,1345,-0.9182264805,0.1380558014,1
143,1377,-0.8730857372,0.3627185225,1
143,1409,-0.7068012357,-0.04856848717,1
143,1441,13.87942314,-8.292718887,1
143,1473,0.2767045498,0.7496715784,1
143,1505,0.1311218739,0.606261909,1
143,1537,-0.9278866649,0.2503971457,1
143,1569,-1.601005077,0.537504077,1
143,1601,-0.7870957255,0.2310622931,1
143,1633,-0.9366941452,0.3554896116,1
143,1665,-0.6479567885,0.7854044437,1
143,1697,-0.6605758071,0.993910253,1
143,1729,-1.094728827,1.245172143,1
143,1761,-1.082831264,0.3200443983,1
143,1793,-2.374947071,1.384190559,1
143,1825,-9.649217606,1.618884921,1
143,1857,0.8886451721,0.1845831871,1
143,1889,0.2087802887,-0.1223951429,1
143,1921,0.1084766984,0.1644277573,1
143,1953,0.2931725979,0.1097225845,1
143,1985,0.2759537995,-0.02069479227,1
143,2017,0.05968660116,-0.2414764464,1
175,33,-0.02683985978,0.1793740988,1
175,65,-0.1225933433,0.1158440784,1
175,97,-0.1938518137,-0.008893143386,1
175,129,0.03060784191,-0.05519332737,1
175,161,-0.08888000995,-0.08590778708,1
175,193,-0.1580034196,-0.0339936167,1
175,225,-0.1753338873,-0.005875974894,1
175,257,-0.2710158527,0.08427491784,1
175,289,0.1003930345,0.1950185001,1
175,321,0.5904530883,0.7209945321,1
175,353,0.391330421,0.2242438793,1
175,385,-0.127710849,0.04884657636,1
175,417,-0.03001911938,0.009287454188,1
175,449,-0.2108871639,-0.1050255746,1
175,481,0.1213411242,0.03673741966,1
175,513,-0.001698061824,0.2033980787,1
175,545,-0.3918896019,0.1770522743,1
175,577,-1.149106503,-0.09642314911,1
175,609,-2.227291584,-0.8123204708,1
175,641,-0.4862886667,-2.198950768,1
175,673,-0.9666240215,-2.083077431,1
175,705,-0.9355661869,-1.535822392,1
175,737,-0.8443508148,-0.7412884235,1
175,769,-0.7683919668,-0.9174191952,1
175,801,-0.5899499655,-0.8104804754,1
175,833,-0.3985795975,-0.3468455076,1
175,865,-0.651186645,-0.2838269472,1
175,897,-2.35620451,-0.1407381892,1
175,929,-2.514531851,0.1828556359,1
175,961,-1.345824957,0.04853709042,1
175,993,-0.9253904819,-0.3223130703,1
175,1025,-0.8159005642,-0.7360903025,1
175,1057,-1.356097579,-0.8914409876,1
175,1089,-1.521656394,-1.136308312,1
175,1121,-0.877574563,-0.6583926082,1
175,1153,-0.2256308794,0.1949436367,1
175,1185,-0.7747994065,1.152341962,1
175,1217,-1.686121225,0.8179232478,1
175,1249,-1.366479158,-0.07675224543,1
175,1281,-0.9437292814,0.1081257761,1
175,1313,-0.8751350641,0.2727775872,1
175,1345,-1.08875525,0.4854630232,1
175,1377,-1.358544111,0.7242064476,1
