PIVlab, ASCII chart output - 25-Jul-2025
FRAME: 9, filenames: A:[9]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi & B:[10]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
21,1381,-3.879952431,-4.826978683,1
21,1397,-3.842363358,-1.9483217,1
21,1413,-3.135643005,-1.162157536,1
21,1429,-3.042146206,-0.9867931604,1
21,1445,-2.284905195,-0.9320402145,1
21,1461,-1.968687296,-0.6569161415,1
21,1477,-2.251789093,0.797151804,1
21,1493,-2.389753819,1.093908548,1
21,1509,-1.884597778,-0.2801142335,1
21,1525,0.2867158651,-5.38881588,1
37,21,-6.159494877,-6.136941433,1
37,37,-6.498431206,-6.394461632,1
37,53,-6.80147934,-7.676898479,1
37,69,-6.59401083,-7.619369507,1
37,85,-5.140283585,-6.563673019,1
37,101,-5.104638577,-7.469795704,1
37,117,-5.638925076,-6.963777065,1
37,133,-7.069633484,-6.264502525,1
37,149,-6.979368687,-6.526498795,1
37,165,-6.451916218,-6.984506607,1
37,181,-6.303143024,-7.313161373,1
37,197,-6.373585224,-7.515079021,1
37,213,-6.833124638,-7.778332233,1
37,229,-5.952122211,-7.241500854,1
37,245,-5.26424551,-7.084474564,1
37,261,-4.9055233,-7.041791439,1
37,277,-4.808029175,-6.540187836,1
37,293,-4.488532543,-5.973864555,1
37,309,-3.660244942,-5.817896843,1
37,325,-4.370398045,-5.912569523,1
37,341,-5.018013477,-6.06754446,1
37,357,-6.117324352,-7.001626968,1
37,373,-6.577180862,-6.675284386,1
37,389,-6.387636185,-4.535549164,1
37,405,-6.647170067,-3.919478655,1
37,421,-6.858174324,-3.790862322,1
37,437,-6.785587311,-4.326436043,1
37,453,-6.776074409,-2.918734312,1
37,469,-6.594715118,-2.880629539,1
37,485,-7.251046658,-4.619580269,1
37,501,-7.869903564,-4.911539555,1
37,517,-6.838156223,-4.794309616,1
37,533,-6.656572342,-4.650882244,1
37,549,-7.13781023,-5.513608932,1
37,565,-7.253986835,-4.6603899,1
37,581,-7.152327538,-3.033489466,1
37,597,-7.124098778,-2.411590576,1
37,613,-7.453814983,-4.004896164,1
37,629,-5.13637352,-3.179648161,1
37,645,-5.589704037,-3.284125566,1
37,661,-6.122910023,-3.107687712,1
37,677,-6.188088417,-3.042013407,1
37,693,-5.66244936,-2.801878452,1
37,709,-5.174320221,-2.64305687,1
37,725,-4.584671974,-3.034758329,1
37,741,-4.666036606,-3.417175531,1
37,757,-5.072800636,-3.678268671,1
37,773,-5.063687801,-4.120381832,1
37,789,-4.277297974,-4.296954632,1
37,805,-4.136325359,-4.116913319,1
37,821,-3.268054008,-4.148012161,1
37,837,-2.853375196,-3.951866627,1
37,853,-2.798169613,-3.168639898,1
37,869,-3.109070778,-2.955349922,1
37,885,-3.564600468,-3.137378693,1
37,901,-5.657775879,-4.862729549,1
37,917,-4.820870399,-2.553273201,1
37,933,-3.492447615,-1.352204561,1
37,949,-3.34814167,-0.019064188,1
37,965,-4.061495781,-3.037973881,1
37,981,-3.691050768,-2.30799675,1
37,997,-3.072396517,-2.145528316,1
37,1013,-3.019370794,-2.234916449,1
37,1029,-2.89504838,-2.434672832,1
37,1045,-2.210770607,-2.221103668,1
37,1061,-1.543070316,-1.961300373,1
37,1077,-1.512728214,-1.716505289,1
37,1093,-2.211302519,-2.249293327,1
37,1109,-2.697309971,-1.666699171,1
37,1125,-3.616973639,-0.6895421147,1
37,1141,-3.086128235,0.3865643442,1
37,1157,-2.775089502,0.2676779032,1
37,1173,-2.834053516,-0.7599007487,1
37,1189,-3.346977472,-1.232909918,1
37,1205,-2.478134632,-1.370737314,1
37,1221,-2.169087172,-1.457834482,1
37,1237,-2.153301477,-0.676477313,1
37,1253,-2.36686635,-0.3177614808,1
37,1269,-2.863411427,-0.410556674,1
37,1285,-3.085851431,-0.9351776242,1
37,1301,-3.090559006,-1.608065724,1
37,1317,-2.668324232,-1.006655574,1
37,1333,-2.322307348,-1.097639203,1
37,1349,-2.507814646,-1.367715001,1
37,1365,-2.229218006,-1.656908989,1
37,1381,-2.277587175,-1.814565897,1
37,1397,-2.081609488,-1.075349927,1
37,1413,-1.622270823,-0.5304655433,1
37,1429,-2.05401516,-0.9813115597,1
37,1445,-1.957490921,-1.366971254,1
37,1461,-1.469424844,-2.038118362,1
37,1477,-1.646683574,-0.7121601105,1
37,1493,-1.957832098,-0.4142628014,1
37,1509,-1.932056546,-0.4760197401,1
37,1525,-2.192266464,-1.858350039,1
53,21,-6.687088966,-6.724879265,1
53,37,-6.692621708,-7.063004971,1
53,53,-5.976416111,-7.070170879,1
53,69,-5.65468359,-6.722272396,1
53,85,-5.149281979,-5.839181423,1
53,101,-5.091433048,-6.195012093,1
53,117,-5.759387493,-6.509806156,1
53,133,-6.640852451,-6.268044949,1
53,149,-6.698160172,-6.23383379,1
53,165,-6.155925274,-6.2499547,1
53,181,-5.757897854,-6.760567188,1
53,197,-5.812872887,-7.337769985,1
53,213,-6.240119934,-7.805269241,1
53,229,-6.277270317,-7.061163425,1
53,245,-5.975010872,-7.336291313,1
53,261,-5.606889725,-7.342625141,1
53,277,-5.163653374,-6.369631767,1
53,293,-4.656621933,-5.96381855,1
53,309,-4.444479465,-6.232584476,1
53,325,-4.405901909,-6.349798203,1
53,341,-5.176111221,-7.35093689,1
53,357,-6.328264713,-7.764725685,1
53,373,-6.646987438,-6.432133198,1
53,389,-6.499740124,-4.491958141,1
53,405,-6.768021584,-4.068417549,1
53,421,-7.401261806,-4.104531288,1
53,437,-8.171732903,-2.924418926,1
53,453,-6.39825201,-3.569542646,1
53,469,-6.924789906,-2.877749681,1
53,485,-7.277051926,-4.321899414,1
53,501,-6.905822754,-5.427253246,1
53,517,-6.056227684,-4.937337875,1
53,533,-5.624500275,-4.761288643,1
53,549,-6.215921402,-5.05420208,1
53,565,-6.897598743,-4.390517235,1
53,581,-6.602823734,-3.269506931,1
53,597,-6.940332413,-3.188224316,1
53,613,-6.753322124,-4.042267799,1
53,629,-6.127163887,-4.318152428,1
53,645,-5.750113964,-3.108420372,1
53,661,-6.223856449,-3.038132906,1
53,677,-5.995350838,-2.884725094,1
53,693,-5.298357487,-2.90336585,1
53,709,-5.065405846,-3.285965919,1
53,725,-4.824902534,-3.149266005,1
53,741,-4.792866707,-3.146467209,1
53,757,-4.391083241,-3.88769865,1
53,773,-3.902022123,-4.201633453,1
53,789,-3.336307049,-4.111303806,1
53,805,-3.383903027,-3.864165545,1
53,821,-3.027362823,-3.494651794,1
53,837,-2.754719019,-3.098149776,1
53,853,-2.813686609,-2.571862221,1
53,869,-3.396285057,-4.273437023,1
53,885,-4.090205669,-3.507450104,1
53,901,-4.996605873,-4.67043972,1
53,917,-4.453023911,-2.935086966,1
53,933,-3.131606579,-2.33829689,1
53,949,-2.803145409,-2.19640255,1
53,965,-2.784122944,-2.304288149,1
53,981,-3.248694181,-2.272470236,1
53,997,-2.964314938,-2.029726982,1
53,1013,-2.598837376,-2.308962822,1
53,1029,-2.360799789,-2.781850815,1
53,1045,-1.943570852,-2.712299109,1
53,1061,-1.58848393,-2.640415668,1
53,1077,-1.314454794,-2.18876791,1
53,1093,-1.598733544,-2.089228868,1
53,1109,-1.604387045,-1.294401288,1
53,1125,-1.807623506,-0.5736103654,1
53,1141,-1.88318789,-0.5401542187,1
53,1157,-2.190788031,-1.032340646,1
53,1173,-2.42894578,-1.478758097,1
53,1189,-2.31855917,-1.970723748,1
53,1205,-2.020586967,-1.902144909,1
53,1221,-1.845486522,-2.336258888,1
53,1237,-1.864663839,-1.399501801,1
53,1253,-2.351425648,-0.2850844264,1
53,1269,-2.730271816,-0.3704835773,1
53,1285,-2.928717852,-1.114648581,1
53,1301,-3.308728218,-1.868342638,1
53,1317,-2.824223042,-0.8460086584,1
53,1333,-2.590948582,-1.85925746,1
53,1349,-2.408770084,-1.859896421,1
53,1365,-2.579872131,-1.714524984,1
53,1381,-2.682610512,-1.263998032,1
53,1397,-1.755151868,-0.7421089411,1
53,1413,-1.761515856,-0.8509145379,1
53,1429,-1.883574843,-1.085671782,1
53,1445,-2.294504642,-1.552202702,1
53,1461,-1.878142118,-1.988774419,1
53,1477,-1.645855665,-1.291704655,1
53,1493,-1.815581322,-0.1956110001,1
53,1509,-1.93526125,-0.7624589205,1
53,1525,-2.027832031,-0.842905283,1
69,21,-6.504538536,-7.036448956,1
69,37,-6.392294407,-6.968509197,1
69,53,-5.988068581,-5.617320538,1
69,69,-5.758093357,-5.778125286,1
69,85,-5.64824152,-5.426274776,1
69,101,-5.829126835,-5.469293594,1
69,117,-6.204833031,-5.857778549,1
69,133,-6.489685059,-5.923344612,1
69,149,-6.34048748,-5.722284317,1
69,165,-5.802279949,-5.75307703,1
69,181,-6.028877258,-6.140909195,1
69,197,-5.790055752,-6.503771782,1
69,213,-5.857569218,-7.111535549,1
69,229,-6.502565861,-7.170120239,1
69,245,-6.575444221,-7.836664677,1
69,261,-5.980214596,-7.308653831,1
69,277,-5.626739502,-6.223973274,1
69,293,-5.019776821,-6.093116283,1
69,309,-4.478700638,-6.313967705,1
69,325,-4.419747829,-6.254144192,1
69,341,-5.08023119,-6.947871208,1
69,357,-6.87116909,-7.634283543,1
69,373,-6.639780045,-6.410898209,1
69,389,-6.425434113,-4.703966618,1
69,405,-6.555398941,-4.461856365,1
69,421,-7.129582882,-3.5907197,1
69,437,-7.472486019,-2.753246784,1
69,453,-7.965165615,-3.267894745,1
69,469,-6.839080334,-3.620222092,1
69,485,-6.261833191,-4.33751297,1
69,501,-5.866598129,-5.018386364,1
69,517,-5.654845715,-5.740158558,1
69,533,-5.499910831,-5.431689262,1
69,549,-5.531132221,-4.915335178,1
69,565,-6.060829639,-4.33570385,1
69,581,-6.103738785,-3.253159285,1
69,597,-6.254805088,-3.322847605,1
69,613,-5.912110806,-4.588191986,1
69,629,-5.774461269,-4.879802704,1
69,645,-6.863858223,-9.164810181,1
69,661,-6.171860218,-2.489903688,1
69,677,-5.246046066,-2.911612034,1
69,693,-4.469931126,-3.861097336,1
69,709,-4.925951004,-3.670987606,1
69,725,-5.287303925,-3.567732096,1
69,741,-4.509392738,-3.48573637,1
69,757,-3.908093929,-3.999333382,1
69,773,-3.781649113,-4.127426147,1
69,789,-3.574757576,-3.895338535,1
69,805,-3.235313892,-3.440434456,1
69,821,-3.124713421,-2.368836164,1
69,837,-3.144504786,-2.556022406,1
69,853,-3.274805307,-2.393187046,1
69,869,-3.364300013,-3.744649649,1
69,885,-4.264579296,-3.187726259,1
69,901,-5.302270412,-2.274870157,1
69,917,-3.849586725,-2.461080074,1
69,933,-3.108424425,-3.185754299,1
69,949,-3.096422195,-3.859198093,1
69,965,-3.123133421,-3.154906273,1
69,981,-2.802563667,-2.548953533,1
69,997,-2.129984856,-2.202961445,1
69,1013,-2.560884237,-2.307702303,1
69,1029,-2.420367241,-2.658674002,1
69,1045,-2.082790375,-2.968310595,1
69,1061,-2.09619379,-2.715163946,1
69,1077,-1.903562665,-2.44043541,1
69,1093,-1.214416027,-2.277491331,1
69,1109,-0.9766383171,-2.011494398,1
69,1125,-1.318492413,-3.037082672,1
69,1141,-1.388031244,-1.808185697,1
69,1157,-1.987406492,-1.96549058,1
69,1173,-2.62783289,-1.903528452,1
69,1189,-2.852961779,-1.607718706,1
69,1205,-1.531026006,-2.739686012,1
69,1221,-1.231549025,-2.646096706,1
69,1237,-1.277166843,-1.244047999,1
69,1253,-2.667662144,-0.8967102766,1
69,1269,-3.108489275,-0.9881328344,1
69,1285,-3.770641565,-1.305791616,1
69,1301,-2.575371504,-1.261119843,1
69,1317,-2.408189535,-0.5413484573,1
69,1333,-2.892411232,-1.652302265,1
69,1349,-2.057893753,-1.552407503,1
69,1365,-1.666832089,-1.735554099,1
69,1381,-1.385464787,-1.267491579,1
69,1397,-1.40034759,-0.8439611197,1
69,1413,-1.65685451,-0.9514837265,1
69,1429,-2.016068935,-1.135547757,1
69,1445,-2.322847843,-1.546490908,1
69,1461,-2.202017069,-1.691481709,1
69,1477,-1.750118136,-1.46634984,1
69,1493,-1.442245603,-0.9390780926,1
69,1509,-1.128991842,-0.8243508339,1
69,1525,-1.362178087,-1.041677237,1
85,21,-5.788477898,-6.422885418,1
85,37,-6.646615982,-14.69377518,1
85,53,-5.896235943,-5.398485184,1
85,69,-5.869021416,-5.515636921,1
85,85,-6.39009285,-5.615961552,1
85,101,-6.395060539,-5.444848061,1
85,117,-6.149023533,-5.353971958,1
85,133,-6.246295929,-5.362663746,1
85,149,-6.000857353,-5.839669228,1
85,165,-6.209048748,-6.300319672,1
85,181,-6.225852013,-5.914801121,1
85,197,-5.568919659,-5.787892342,1
85,213,-5.54749918,-6.508893967,1
85,229,-6.243244171,-7.137918472,1
85,245,-6.69037056,-6.832538605,1
85,261,-6.435104847,-6.837398052,1
85,277,-6.032817841,-6.237737179,1
85,293,-5.060330391,-5.942614079,1
85,309,-4.332972527,-6.166835785,1
85,325,-4.027367592,-6.056993961,1
85,341,-4.424937725,-6.187232971,1
85,357,-5.873985291,-7.134987354,1
85,373,-6.121465683,-6.367295742,1
85,389,-6.169819832,-5.359532833,1
85,405,-6.457398415,-3.775785208,1
85,421,-6.839007378,-2.204468727,1
85,437,-7.142698288,-2.807486296,1
85,453,-7.397210598,-3.117009163,1
85,469,-6.61907959,-3.591953516,1
85,485,-4.993797302,-4.100773335,1
85,501,-4.267607689,-4.253454685,1
85,517,-4.090927124,-5.0871315,1
85,533,-4.106132507,-4.893239975,1
85,549,-4.646620274,-4.730541229,1
85,565,-4.570603371,-4.3067379,1
85,581,-4.169355392,-3.160342216,1
85,597,-4.261313438,-3.21149826,1
85,613,-4.305892944,-4.9573946,1
85,629,-4.761383057,-5.201515198,1
85,645,-5.072296143,-3.5666008,1
85,661,-5.806177616,-3.256858587,1
85,677,-4.929997444,-3.460874081,1
85,693,-4.243309975,-3.991739035,1
85,709,-5.122981548,-3.564784527,1
85,725,-4.830278873,-3.49992013,1
85,741,-4.041482925,-3.654133558,1
85,757,-3.594528675,-4.065208912,1
85,773,-3.905386209,-4.28233242,1
85,789,-4.149626732,-4.205544949,1
85,805,-3.94106245,-3.4522295,1
85,821,-3.749721289,-2.390087128,1
85,837,-3.673910618,-2.47234726,1
85,853,-3.506868601,-2.25785327,1
85,869,-3.312206745,-2.592339516,1
85,885,-3.841985941,-2.929697275,1
85,901,-3.506472826,-3.206800461,1
85,917,-2.499047279,-3.999712229,1
85,933,-2.950747252,-3.512905121,1
85,949,-3.374344587,-3.799574137,1
85,965,-3.173586607,-3.499535561,1
85,981,-2.213668585,-3.392695665,1
85,997,-2.052540779,-2.694011211,1
85,1013,-2.316475391,-2.102109909,1
85,1029,-2.390520334,-2.342792988,1
85,1045,-2.291808605,-2.670654297,1
85,1061,-2.429742098,-2.441106081,1
85,1077,-1.976926923,-2.622564793,1
85,1093,-1.115128875,-2.330755234,1
85,1109,-0.7646081448,-2.408066988,1
85,1125,-1.257674336,-3.706530571,1
85,1141,-2.045173645,-4.468777657,1
85,1157,-1.644167185,-2.139933586,1
85,1173,-1.672148228,-1.879829049,1
85,1189,-1.795460939,-1.17381382,1
85,1205,-1.187335849,-2.683361292,1
85,1221,-0.6688002348,-1.746851921,1
85,1237,-1.620476246,-1.215696096,1
85,1253,-2.365588188,-1.515703797,1
85,1269,-2.568921089,-1.480911493,1
85,1285,-1.961170673,-1.773738146,1
85,1301,-1.768089056,-1.374093056,1
85,1317,-1.711860895,-0.4944734573,1
85,1333,-2.43006134,-0.5672035217,1
85,1349,-2.235470772,-0.9111428261,1
85,1365,-1.585048199,-1.212992191,1
85,1381,-1.278988838,-1.132558346,1
85,1397,-1.751415014,-0.826603651,1
85,1413,-2.015547514,-1.299009085,1
85,1429,-2.221069813,-1.495150924,1
85,1445,-2.178544521,-1.362200022,1
85,1461,-1.623576045,-1.551347017,1
85,1477,-1.344975233,-1.527952075,1
85,1493,-1.022736788,-1.289367199,1
85,1509,-1.095276833,-1.2119174,1
85,1525,-0.666511476,-1.183746099,1
101,21,-5.34980154,-5.172381878,1
101,37,-5.544221878,-7.052448273,1
101,53,-5.332811356,-5.458731651,1
101,69,-5.539062977,-5.891421795,1
101,85,-6.100587368,-5.382272243,1
101,101,-6.057355881,-5.489906311,1
101,117,-5.69051075,-5.422005177,1
101,133,-5.806533813,-5.177777767,1
101,149,-5.827868938,-5.568574429,1
101,165,-5.841959476,-6.398309231,1
101,181,-5.860696316,-6.251996994,1
101,197,-5.610440731,-5.793793678,1
101,213,-5.775414467,-6.21235466,1
101,229,-6.062685013,-6.781280041,1
101,245,-6.531584263,-6.445146084,1
101,261,-6.453172684,-6.534920216,1
101,277,-5.768782139,-6.26402998,1
101,293,-5.080842018,-5.872006416,1
101,309,-4.56480217,-5.960245132,1
101,325,-4.885100842,-6.379271507,1
101,341,-5.241874218,-6.169916153,1
101,357,-5.296958447,-5.046793461,1
101,373,-5.139182568,-4.864691257,1
101,389,-4.992349625,-4.902292252,1
101,405,-5.498915672,-4.245007038,1
101,421,-6.233705997,-2.898751736,1
101,437,-6.320290565,-3.347703695,1
101,453,-6.934371471,-3.188141346,1
101,469,-6.514717102,-3.576552868,1
101,485,-7.426329613,-5.452511311,1
101,501,-6.507087231,-5.392571926,1
101,517,-4.347942352,-4.367252827,1
101,533,-4.268643379,-4.719815254,1
101,549,-4.416528702,-4.841449738,1
101,565,-4.027103901,-4.576061249,1
101,581,-3.501721621,-4.468665123,1
101,597,-2.995322227,-4.132743835,1
101,613,-2.461866617,-4.807809353,1
101,629,-3.875766277,-5.193290234,1
101,645,-4.652954578,-4.434328556,1
101,661,-5.213829041,-3.829768658,1
101,677,-5.116427898,-3.812572718,1
101,693,-4.716002941,-3.988243103,1
101,709,-4.44344902,-3.37896347,1
101,725,-4.022098541,-3.215289831,1
101,741,-3.93011713,-3.899307251,1
101,757,-3.691670895,-4.343811512,1
101,773,-4.298936367,-4.745089054,1
101,789,-4.612751961,-4.836875439,1
101,805,-4.473423004,-4.224622726,1
101,821,-4.505860329,-3.444847345,1
101,837,-4.124062538,-3.037595987,1
101,853,-3.633557558,-2.489098072,1
101,869,-2.961692095,-2.24189806,1
101,885,-3.498733282,-2.790515184,1
101,901,-3.262622118,-3.272380114,1
101,917,-2.929058075,-3.770250797,1
101,933,-2.839132547,-3.211984396,1
101,949,-2.880374908,-3.323513985,1
101,965,-2.726238251,-3.704374313,1
101,981,-1.919402122,-3.741404057,1
101,997,-1.498865843,-3.611779928,1
101,1013,-1.547249913,-2.445985079,1
101,1029,-1.766730309,-2.445880651,1
101,1045,-2.087716579,-2.42412138,1
101,1061,-2.198857546,-2.392856359,1
101,1077,-1.755121469,-2.744930506,1
101,1093,-1.35330987,-2.602925777,1
101,1109,-1.127371073,-2.993362427,1
101,1125,-1.57029283,-4.469331741,1
101,1141,-1.414315581,-2.219748974,1
101,1157,-1.340777516,-2.234918356,1
101,1173,-1.348721862,-1.817030787,1
101,1189,-0.6852637529,0.2576741576,1
101,1205,-1.577539325,0.7727403045,1
101,1221,-2.004559994,-0.5743089318,1
101,1237,-1.629270554,-1.599935055,1
101,1253,-1.873094201,-2.047759295,1
101,1269,-1.677499294,-1.629515886,1
101,1285,-1.421569705,-1.77891624,1
101,1301,-1.496199012,-1.048532486,1
101,1317,-1.468936324,-0.6586328745,1
101,1333,-1.38718307,-0.4923994541,1
101,1349,-1.506691456,-0.4884551167,1
101,1365,-1.655514836,-0.6709845066,1
101,1381,-1.850532293,-0.8933550119,1
101,1397,-1.85482645,-1.098447084,1
101,1413,-2.530724049,-2.10092926,1
101,1429,-2.922249794,-1.432692289,1
101,1445,-1.925332189,-1.097387433,1
101,1461,-1.886317492,-2.003320694,1
101,1477,-2.036006451,-1.793829203,1
101,1493,-1.516733646,-1.571376085,1
101,1509,-1.104010463,-1.161099195,1
101,1525,-0.1659691334,-0.8831250668,1
117,21,-6.079856396,-7.560102463,1
117,37,-5.456427097,-6.885798931,1
117,53,-5.648760796,-6.423612118,1
117,69,-5.189540863,-6.044086933,1
117,85,-6.016265869,-5.515083313,1
117,101,-5.763790131,-5.748276234,1
117,117,-5.369657993,-5.651951313,1
117,133,-5.603607178,-5.384037495,1
117,149,-5.908257008,-5.465698242,1
117,165,-5.849735737,-5.934202671,1
117,181,-6.017684937,-6.291212559,1
117,197,-5.847024441,-6.11307478,1
117,213,-5.574118137,-6.318446636,1
117,229,-6.52226162,-6.776244164,1
117,245,-6.934666157,-6.438319683,1
117,261,-6.303454399,-6.167537689,1
117,277,-5.427628517,-6.152474403,1
117,293,-4.928637028,-6.052155495,1
117,309,-4.345468044,-6.074883461,1
117,325,-4.684688568,-6.104169369,1
117,341,-5.375574112,-5.53791523,1
117,357,-5.802693844,-4.713891983,1
117,373,-5.199340343,-4.603335857,1
117,389,-4.257437706,-4.908019543,1
117,405,-3.753136158,-5.204441547,1
117,421,-4.836961269,-5.015898705,1
117,437,-5.723837852,-5.149031639,1
117,453,-10.54001808,-5.154849529,1
117,469,-10.31195545,-4.697273731,1
117,485,-8.344373703,-6.108657837,1
117,501,-7.661412239,-5.959956646,1
117,517,-5.703569889,-5.413895607,1
117,533,-4.93551302,-5.067828655,1
117,549,-3.677917242,-5.073234558,1
117,565,-3.706995726,-5.201261997,1
117,581,-4.030807495,-4.742418766,1
117,597,-3.217510462,-4.225725651,1
117,613,-3.091262579,-4.240781784,1
117,629,-4.017167091,-4.908530712,1
117,645,-4.314741135,-4.782432079,1
117,661,-4.235040188,-4.682584763,1
117,677,-5.067343235,-4.085626602,1
117,693,-5.146361351,-3.757678509,1
117,709,-4.790845394,-3.449632883,1
117,725,-4.390705585,-3.402237892,1
117,741,-4.31956768,-4.042171478,1
117,757,-4.733206749,-4.649419785,1
117,773,-4.73828125,-5.152181149,1
117,789,-3.866186142,-5.340058804,1
117,805,-3.718420029,-5.836414814,1
117,821,-3.713741302,-4.398645878,1
117,837,-4.287103653,-3.283212185,1
117,853,-3.315559864,-3.08482337,1
117,869,-2.882632971,-2.908218861,1
117,885,-3.213540792,-2.575284958,1
117,901,-3.41986537,-2.97217083,1
117,917,-3.117780209,-3.116711378,1
117,933,-2.570088625,-2.770061731,1
117,949,-2.837354422,-3.031592131,1
117,965,-2.997756004,-3.426919937,1
117,981,-0.677826643,-2.79941988,1
117,997,-1.192304611,-2.663791418,1
117,1013,-1.203899264,-2.74975419,1
117,1029,-1.067128778,-3.066434383,1
117,1045,-1.592830777,-2.507795811,1
117,1061,-1.896048784,-2.771958828,1
117,1077,-1.898589611,-2.959549904,1
117,1093,-1.891656637,-3.22170949,1
117,1109,-1.178050518,-4.294178009,1
117,1125,-1.280674338,-3.813206196,1
117,1141,-1.437008977,-2.724524975,1
117,1157,-1.331802726,-2.748987675,1
117,1173,-1.261982799,-2.253742456,1
117,1189,-0.8841602802,-0.233125329,1
117,1205,-1.437144279,0.5191377997,1
117,1221,-2.295155048,-0.8640607595,1
117,1237,-2.004956245,-1.985894561,1
117,1253,-1.984477758,-2.582567215,1
117,1269,-1.694999933,-2.051561117,1
117,1285,-1.313045859,-1.439443111,1
117,1301,-1.511691451,-1.045838356,1
117,1317,-1.552958846,-0.9965174198,1
117,1333,-0.8598122597,-0.8770444989,1
117,1349,-0.9645533562,-0.6607111096,1
117,1365,-1.234108567,-0.619625926,1
117,1381,-1.455415606,-0.8725935221,1
117,1397,-1.63276577,-1.556731582,1
117,1413,-1.749911427,-1.729504108,1
117,1429,-2.39060688,-0.8087460995,1
117,1445,-1.680766702,-0.3527733088,1
117,1461,-2.681814671,-0.6869815588,1
117,1477,-2.528373241,-1.170611978,1
117,1493,-1.952965736,-1.503270626,1
117,1509,-1.332471728,-1.42585969,1
117,1525,-0.7101424932,-0.189193964,1
133,21,-4.370578289,-7.50543642,1
133,37,-5.0949893,-6.878502846,1
133,53,-5.774080753,-6.419624329,1
