PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 9, filenames: A:[9]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi & B:[10]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
47,1729,1.787767649,3.783973694,1
47,1761,1.720334053,6.298782349,1
47,1793,2.858419418,10.01557732,1
47,1825,3.881568909,24.23440361,1
47,1857,0.7971534729,5.444915295,1
47,1889,2.356874228,3.663214207,1
47,1921,6.187613487,6.689839363,1
47,1953,6.716849327,6.820644379,1
47,1985,20.1275177,-2.594242096,1
47,2017,20.77072144,0.05475974083,1
79,33,0.5737733841,1.273950934,1
79,65,-1.774894714,-1.450359106,1
79,97,-1.713066936,-1.765611172,1
79,129,-1.173550367,-0.8250797391,1
79,161,-0.3395745158,0.816683054,1
79,193,-0.01468521357,1.023578763,1
79,225,-0.1477661133,0.850076437,1
79,257,-1.656032324,-0.2436288595,1
79,289,-3.239809513,-1.892325401,1
79,321,-2.27321291,-1.292212009,1
79,353,-2.259316444,-1.582093716,1
79,385,-2.386017799,-1.731859803,1
79,417,-2.499516726,-1.693825841,1
79,449,-2.608722448,-1.228189588,1
79,481,-2.596804142,-1.210663795,1
79,513,-2.295537949,-1.079073906,1
79,545,-1.763101697,-1.038504124,1
79,577,-1.772854447,-1.814448476,1
79,609,-2.14823699,-3.159770012,1
79,641,-1.445872664,-0.8031812906,1
79,673,-1.290837526,-0.8840825558,1
79,705,-0.1889499724,-0.1279035807,1
79,737,0.2120865285,0.6435256004,1
79,769,0.8386330009,0.07626077533,1
79,801,1.15578723,0.5412038565,1
79,833,0.5517078638,0.8998894691,1
79,865,-1.602723122,0.9666501284,1
79,897,0.05142444372,1.159861684,1
79,929,1.619363785,0.108510673,1
79,961,1.004104614,-0.8059894443,1
79,993,-0.6958614588,0.3313061595,1
79,1025,-0.9457023144,1.408670664,1
79,1057,-1.957116842,2.276521206,1
79,1089,-1.532650828,2.74018836,1
79,1121,-0.5318593979,2.846210241,1
79,1153,-0.04593589902,2.508045435,1
79,1185,0.3558385074,1.403080463,1
79,1217,1.243973494,1.732103586,1
79,1249,0.8537143469,1.837282658,1
79,1281,0.04386085272,0.5344526768,1
79,1313,0.4963305593,6.013279915,1
79,1345,1.2492342,3.04178524,1
79,1377,3.695422649,1.876116991,1
79,1409,2.021708012,0.903072834,1
79,1441,1.549334526,1.296042681,1
79,1473,1.504958868,2.6959939,1
79,1505,0.9053795338,5.374482632,1
79,1537,1.589845538,5.089696407,1
79,1569,2.172188044,4.544748306,1
79,1601,2.186446667,3.8078475,1
79,1633,2.274217129,3.687156439,1
79,1665,2.478703976,4.118962288,1
79,1697,2.071032524,4.675652504,1
79,1729,2.11143899,6.359343529,1
79,1761,15.92226124,16.99401855,1
79,1793,5.176843643,8.415044785,1
79,1825,1.720791698,26.34003639,1
79,1857,3.045196772,6.601699829,1
79,1889,3.319559336,7.522743702,1
79,1921,5.010341644,9.671421051,1
79,1953,6.229092598,10.07321072,1
79,1985,6.867146015,7.349372864,1
79,2017,-13.54865646,-3.230307579,1
111,33,-5.055282593,2.062293053,1
111,65,-4.169850349,-1.800525784,1
111,97,-2.987188339,-2.098727226,1
111,129,-1.646135092,-1.785881162,1
111,161,-1.45510447,-0.2627773285,1
111,193,-0.3353031278,0.1617102623,1
111,225,1.209749579,0.001952707767,1
111,257,0.5392913222,-1.051730275,1
111,289,-0.7525964975,-1.821215272,1
111,321,-1.74202013,-2.370158434,1
111,353,-2.420268297,-2.157543421,1
111,385,-2.363455296,-1.836242795,1
111,417,-2.142257452,-2.010676861,1
111,449,-1.838524461,-1.37961936,1
111,481,-2.002527237,-1.053296924,1
111,513,-1.862748027,-1.177977681,1
111,545,-1.590064287,-1.414860368,1
111,577,-1.424142003,-0.5731461048,1
111,609,-1.87949574,-0.6487852335,1
111,641,-1.094335794,0.6529580355,1
111,673,-0.2160425186,0.581697464,1
111,705,-0.2608327866,0.09882569313,1
111,737,-1.436270237,0.4326606393,1
111,769,-0.1188341677,0.676429987,1
111,801,0.8400185704,0.7063153982,1
111,833,0.6515233517,0.777002573,1
111,865,-0.2236899734,1.365276575,1
111,897,1.308486223,1.152148008,1
111,929,2.536985397,-0.179456532,1
111,961,0.524952054,-0.9165431261,1
111,993,-1.996966362,0.3291557431,1
111,1025,-3.049975634,1.908330202,1
111,1057,-2.232438564,2.270332813,1
111,1089,-1.337776184,2.69188261,1
111,1121,0.07553172112,3.279899597,1
111,1153,0.3518643379,2.652649641,1
111,1185,0.1429973692,1.245854139,1
111,1217,0.2313643992,3.777581215,1
111,1249,0.03822609782,1.564435482,1
111,1281,0.4392898679,0.397818923,1
111,1313,1.304719806,2.076837301,1
111,1345,2.533452034,2.899166346,1
111,1377,5.463720322,1.804605961,1
111,1409,4.638864517,-0.3726260662,1
111,1441,0.9979708195,1.183751822,1
111,1473,1.480882168,2.504884481,1
111,1505,1.280373454,3.125841379,1
111,1537,1.511864662,3.656164408,1
111,1569,2.320314884,3.859990358,1
111,1601,2.511006117,3.734085798,1
111,1633,3.423681259,3.85512805,1
111,1665,4.039860725,3.892464638,1
111,1697,5.297370434,3.684213161,1
111,1729,7.962219715,4.471236229,1
111,1761,10.1104908,22.65590096,1
111,1793,-0.0575504303,5.814559937,1
111,1825,-1.074097633,5.621376038,1
111,1857,2.846478462,6.383522987,1
111,1889,3.372310638,7.792669296,1
111,1921,4.510734081,9.685495377,1
111,1953,5.68963623,9.683467865,1
111,1985,6.748170376,8.573320389,1
111,2017,-12.26760769,-3.579401493,1
143,33,0.3001894951,1.885253429,1
143,65,-1.662533402,-1.317372918,1
143,97,-2.923761845,-1.520179868,1
143,129,-1.73556447,-1.655343175,1
143,161,-0.8789227009,-1.916830301,1
143,193,0.2198526263,-1.33373785,1
143,225,2.534973383,-1.646151543,1
143,257,1.339924932,-2.927557468,1
143,289,-0.983486414,-2.433391094,1
143,321,-2.26921463,-2.098595142,1
143,353,-2.899603605,-2.273968697,1
143,385,-2.313873053,-1.982660055,1
143,417,-1.599328995,-1.972592592,1
143,449,-1.891183853,-1.88683641,1
143,481,-1.405746937,-1.414489865,1
143,513,-1.44734323,-1.354166389,1
143,545,-1.302860618,-1.396263957,1
143,577,-0.8344824314,-1.106524229,1
143,609,-0.9148025513,-0.4807604551,1
143,641,-1.145292044,1.16246295,1
143,673,-0.04596316814,2.070982933,1
143,705,0.04358756542,0.5874257088,1
143,737,-1.67529273,-1.166836023,1
143,769,-0.519306004,0.3866335154,1
143,801,0.7243236303,0.305282712,1
143,833,1.137683034,0.5010071993,1
143,865,1.332189202,1.578432322,1
143,897,0.9559779167,0.7572277784,1
143,929,1.224140167,-2.670116663,1
143,961,1.9325912,-5.042921543,1
143,993,-0.6684583426,0.2241103649,1
143,1025,0.2960806489,1.685609221,1
143,1057,1.543423653,1.071134329,1
143,1089,1.339739323,2.525668621,1
143,1121,1.701080441,3.223219156,1
143,1153,1.490135312,2.596535921,1
143,1185,1.433765531,1.299196959,1
143,1217,0.3080341816,2.073990583,1
143,1249,-1.215101004,1.264054179,1
143,1281,-0.3443525434,0.1864085197,1
143,1313,1.698009729,0.806278944,1
143,1345,3.632768154,3.266760349,1
143,1377,5.54959631,2.917604923,1
143,1409,5.73835516,1.344297647,1
143,1441,2.939277172,1.729558468,1
143,1473,1.313999534,2.429489136,1
143,1505,1.738132477,2.874461889,1
143,1537,2.409238815,3.180639982,1
143,1569,3.089724541,3.567447662,1
143,1601,3.185947895,3.751045942,1
143,1633,3.258904696,3.727740765,1
143,1665,3.14685154,4.258686543,1
143,1697,3.01465416,6.89867878,1
143,1729,8.501693726,4.264674664,1
143,1761,3.993610859,7.451761723,1
143,1793,-1.655634403,3.060260773,1
143,1825,-0.05012607574,4.531156063,1
143,1857,2.416675091,6.15369606,1
143,1889,4.518159389,6.780812263,1
143,1921,6.333155155,7.422372341,1
143,1953,7.003457069,9.236411095,1
143,1985,6.935163021,8.145746231,1
143,2017,16.78231812,-2.334190607,1
175,33,0.5356189013,1.280884981,1
175,65,-0.002459645271,-2.605746031,1
175,97,-1.771708727,-2.031875134,1
175,129,-2.309958935,-2.245001316,1
175,161,-1.451782823,-2.874557495,1
175,193,-1.131849885,-2.991153955,1
175,225,-0.7898039818,-2.661685705,1
175,257,-1.176791787,-4.746496201,1
175,289,-1.196212769,-2.539563656,1
175,321,-1.724035859,-1.552625656,1
175,353,-3.766618252,-2.585291862,1
175,385,-2.724386215,-1.865937233,1
175,417,-2.192200899,-2.232549906,1
175,449,-2.074370384,-2.69222331,1
175,481,-1.448747993,-2.103618145,1
175,513,-1.591285348,-1.542875886,1
175,545,-1.392683625,-1.134569407,1
175,577,0.01644206047,-1.134073973,1
175,609,-0.06444358826,-0.6828594804,1
175,641,-0.554425478,0.2310270369,1
175,673,-0.5435923338,1.923365712,1
175,705,-0.07518196106,1.121912599,1
175,737,-0.3626002669,0.5994321108,1
175,769,-0.03962372988,0.2447354347,1
175,801,0.00873452425,0.1648489833,1
175,833,0.8842089176,0.5936607122,1
175,865,1.296095371,0.672213316,1
175,897,1.102958083,0.1941889524,1
175,929,0.8141593337,-0.09976911545,1
175,961,0.2381454706,-0.7907347679,1
175,993,0.5468655825,-0.4407949448,1
175,1025,1.013571978,0.9424414635,1
175,1057,1.291137099,0.1940984726,1
175,1089,1.41766274,2.427925348,1
175,1121,1.741880894,2.513264894,1
175,1153,1.097634673,2.342532873,1
175,1185,-1.007432461,2.882117748,1
175,1217,-0.8563261628,2.254605293,1
175,1249,-1.833151102,0.1844649315,1
175,1281,-1.034990072,0.5185006857,1
175,1313,1.59452796,2.964696169,1
175,1345,3.199707747,3.902507544,1
175,1377,5.403755665,4.492245197,1
175,1409,4.834029198,2.218364,1
175,1441,1.364815116,1.729050398,1
175,1473,1.900133848,2.412523746,1
175,1505,3.111257553,3.18805933,1
175,1537,4.033707619,1.378463745,1
175,1569,21.85311699,9.821831703,1
175,1601,2.949598551,3.641060591,1
175,1633,2.630898237,3.288060427,1
175,1665,0.9644224644,3.654873133,1
175,1697,2.36045599,4.511641026,1
175,1729,4.140775681,4.018059731,1
175,1761,5.319816589,2.908063173,1
175,1793,3.900895596,3.864912987,1
175,1825,2.656566143,4.481376171,1
175,1857,4.043881893,6.085048199,1
175,1889,6.538449287,6.669595718,1
175,1921,7.552339554,6.931262016,1
175,1953,7.7137537,7.137102127,1
175,1985,-3.996132851,20.37043571,1
175,2017,9.014871597,-0.7552765608,1
207,33,2.198168993,0.0005095005035,1
207,65,1.488837957,-3.194684982,1
207,97,-0.1552972198,-3.093006134,1
207,129,-1.063503504,-3.762983561,1
207,161,-0.9060397148,-3.033559799,1
207,193,-1.162655234,-2.458794832,1
207,225,-2.555118561,-3.193920851,1
207,257,-1.651818991,-3.277297497,1
207,289,-1.093074083,-2.701257467,1
207,321,-1.423431158,-2.034911633,1
207,353,-2.897339821,-2.721175432,1
207,385,-1.9263587,-2.273212671,1
207,417,-2.633264303,-3.018416166,1
207,449,-2.872014999,-2.976558208,1
207,481,-1.925297141,-2.426330566,1
207,513,-2.28604126,-1.650563836,1
207,545,-2.251135826,-1.027957797,1
207,577,-1.05100143,-0.8325428963,1
207,609,-0.5714668632,-0.5235716105,1
207,641,-0.5552982092,0.1923158169,1
207,673,-1.221972466,0.3647570014,1
207,705,-1.562426329,0.311070919,1
207,737,-0.5249068737,0.1409625709,1
207,769,0.07960124314,-0.1363346577,1
207,801,0.1014704108,0.4375135303,1
207,833,0.7796609402,0.9408178926,1
207,865,1.276914477,0.8981329203,1
207,897,1.179617882,1.226923466,1
207,929,0.9276023507,1.61368382,1
207,961,0.4607716799,1.391270876,1
207,993,0.6974374056,2.820375919,1
207,1025,1.157686472,4.527389526,1
207,1057,1.211260915,2.917219162,1
207,1089,1.498274326,2.595694542,1
207,1121,1.707453847,2.163050413,1
207,1153,1.044122934,2.530160189,1
207,1185,-1.259786606,3.046020269,1
207,1217,-1.290695429,1.91911459,1
207,1249,-0.9523340464,0.8448030949,1
207,1281,0.6582564116,2.27840209,1
207,1313,1.11773324,4.181047916,1
207,1345,2.717381239,4.533521175,1
207,1377,3.456795216,4.429400444,1
207,1409,3.600406885,1.762676954,1
207,1441,2.050521135,1.313278913,1
207,1473,2.398417234,1.765641689,1
207,1505,4.918629646,3.317423344,1
207,1537,6.234712601,4.11421442,1
207,1569,4.919456482,1.214339733,1
207,1601,2.559547901,2.877823353,1
207,1633,2.179223299,2.818241119,1
207,1665,1.301733017,2.539144516,1
207,1697,2.393127918,2.869441748,1
207,1729,3.050786972,3.253977537,1
207,1761,3.177624702,2.743505001,1
207,1793,3.03932333,3.806656837,1
207,1825,4.767085075,4.572040081,1
207,1857,4.540805817,5.272217274,1
207,1889,4.799079895,5.273264885,1
207,1921,5.750396729,5.915410995,1
207,1953,7.974179745,6.09988308,1
207,1985,-1.707839489,21.36409378,1
207,2017,8.727416992,-0.03048121929,1
239,33,1.704852104,0.4710392952,1
239,65,0.7320824862,-2.693007469,1
239,97,0.3046348095,-2.552639484,1
239,129,-0.2783183455,-2.815752268,1
239,161,-0.5217157006,-1.373231649,1
239,193,-1.177589297,-1.859824181,1
239,225,-1.955450654,-3.245579243,1
239,257,-1.389322877,-2.744927168,1
239,289,-0.9255783558,-2.91527915,1
239,321,-1.290979862,-1.554222822,1
239,353,-1.835998535,-2.93327713,1
239,385,-1.299324036,-2.73439908,1
239,417,-2.75871706,-3.161485672,1
239,449,-3.106591225,-2.679001808,1
239,481,-1.802901983,-1.646252871,1
239,513,-2.005238056,-1.5467242,1
239,545,-2.775121927,-1.820510626,1
239,577,-1.88705945,-1.452079773,1
239,609,-1.383051038,-0.8438336849,1
239,641,-1.099634767,-0.02530694008,1
239,673,-1.046284199,-0.2174090743,1
239,705,-2.076548338,-1.400129795,1
239,737,0.005155876279,-1.569699645,1
239,769,0.6085649133,-1.210688114,1
239,801,0.7446820736,-0.3183945119,1
239,833,1.157264233,0.5421559811,1
239,865,1.318785906,1.229026318,1
239,897,1.133946776,1.878074527,1
239,929,0.9896496534,2.450048685,1
239,961,-0.4316205978,3.8188591,1
239,993,-0.3542763591,3.973030567,1
239,1025,0.6409589052,4.757575989,1
239,1057,1.068007469,3.292922735,1
239,1089,1.849608421,2.788289785,1
239,1121,3.700235844,2.506626129,1
239,1153,2.169893265,2.661717653,1
239,1185,-0.6150864959,2.447593212,1
239,1217,-0.315517813,0.742808342,1
239,1249,-0.5749863982,1.79750061,1
239,1281,1.96851325,3.445405722,1
239,1313,-0.05384719372,4.598935604,1
239,1345,1.685686111,4.069651604,1
239,1377,3.123520851,3.07881999,1
239,1409,3.255372524,1.408679247,1
239,1441,2.505263329,1.158954263,1
239,1473,1.89816308,1.618094444,1
239,1505,3.214286327,3.587024927,1
239,1537,5.500061989,5.066029549,1
239,1569,6.687390327,2.189492226,1
239,1601,4.242257118,1.567565203,1
239,1633,1.995507956,1.254426718,1
239,1665,2.161881447,2.592913866,1
239,1697,2.582332611,2.767699718,1
239,1729,2.703557968,3.855692625,1
239,1761,2.277209997,3.314664364,1
239,1793,1.655765533,4.241048813,1
239,1825,4.184912682,5.218558788,1
239,1857,4.640649796,5.551370621,1
239,1889,4.549321175,5.248055458,1
239,1921,6.03402853,5.182322502,1
239,1953,7.326961994,4.790326595,1
239,1985,7.945328712,4.739513397,1
239,2017,9.55412674,-1.453290224,1
271,33,1.077759743,1.701418638,1
271,65,1.006641269,-2.819670439,1
271,97,0.6253886223,-3.825799942,1
271,129,-0.07068935037,-2.536264658,1
271,161,-0.6089164019,-0.3417761326,1
271,193,-0.8513524532,-2.591322184,1
271,225,-0.9402345419,-3.220069408,1
271,257,-0.6787010431,-3.213150978,1
271,289,-0.1431255341,-2.025214195,1
271,321,-0.2075279951,-0.8802242279,1
271,353,-2.253281116,-3.003675938,1
271,385,-2.539872646,-4.089050293,1
271,417,-3.087525129,-4.777863503,1
271,449,-3.411028385,-3.629231691,1
271,481,-1.706617594,-1.508341551,1
271,513,-1.014401913,-1.587421775,1
271,545,-2.171410799,-4.399648666,1
271,577,-1.633008957,-3.21538806,1
271,609,-1.614645481,-1.342884779,1
271,641,-2.484746456,-1.066991091,1
271,673,-3.081112385,-1.328481078,1
271,705,0.4980857372,-1.694933534,1
271,737,1.234574795,-2.214562893,1
271,769,1.238188386,-1.229372263,1
271,801,1.335257053,-0.9267364144,1
271,833,1.325926304,-0.1240283251,1
271,865,1.073878765,1.016831994,1
271,897,1.479504466,1.622962356,1
271,929,1.402282953,3.349324703,1
271,961,0.875946641,4.005405426,1
271,993,0.5745747685,3.275288105,1
271,1025,0.4193562865,4.164671898,1
271,1057,1.181462526,3.476625443,1
271,1089,1.993946075,3.364827633,1
271,1121,2.375691891,2.995952129,1
271,1153,2.084179163,2.85061717,1
271,1185,1.128382683,2.63057518,1
271,1217,0.3349866867,1.387785673,1
271,1249,-0.02661967278,2.59968257,1
271,1281,1.876969337,4.701503754,1
271,1313,1.351917982,3.546615362,1
271,1345,1.699522495,2.857438087,1
271,1377,4.174686432,3.500811338,1
271,1409,6.067517281,0.4532117844,1
271,1441,3.119438171,1.139562249,1
271,1473,0.8281152248,1.583148718,1
271,1505,1.262661457,2.745705605,1
271,1537,3.309302568,3.262555838,1
271,1569,6.651611328,0.672331214,1
271,1601,4.728740692,-1.067780972,1
271,1633,4.069794655,1.471917391,1
271,1665,4.08198452,2.616703987,1
271,1697,3.3142519,4.011986732,1
271,1729,2.606180668,5.262842178,1
271,1761,1.373287201,6.984962463,1
271,1793,1.132300377,6.279985428,1
271,1825,-0.7930703163,4.200388908,1
271,1857,5.393928528,6.236133099,1
271,1889,5.883055687,5.877710819,1
271,1921,6.963603497,5.189828396,1
271,1953,8.663032532,4.239398479,1
271,1985,9.351671219,2.054050446,1
271,2017,15.19910049,-4.319064617,1
303,33,0.4293763638,3.524051189,1
303,65,-0.2312406003,-3.086863041,1
303,97,-0.5983553529,-4.784998417,1
303,129,0.8651971817,-3.070320606,1
303,161,0.1639662981,-5.506926537,1
303,193,-1.077126026,-4.051976681,1
303,225,-1.326768756,-3.848201513,1
303,257,-1.539805293,-3.888280392,1
303,289,-1.541812539,-3.23123455,1
303,321,-1.753960848,-3.156826258,1
303,353,-2.419962406,-4.247795582,1
303,385,-2.314105988,-5.264214516,1
303,417,-2.438258171,-5.075303078,1
303,449,-2.594786406,-4.155353546,1
303,481,-0.7989003658,0.2600784302,1
303,513,-0.6665115356,-1.224218607,1
303,545,-1.932005405,-2.515985966,1
303,577,-2.168825388,-2.435938835,1
303,609,-2.075750351,-1.469391108,1
303,641,-1.11946857,-0.3612275124,1
303,673,-1.238549471,-1.282219768,1
303,705,0.2808447778,-2.387276649,1
303,737,1.412257075,-2.087509632,1
303,769,1.005174518,-0.2756249011,1
303,801,1.182706714,-0.1147575155,1
303,833,1.454609275,-0.2391443253,1
303,865,1.648063064,0.7916740179,1
303,897,1.945488691,0.9828213453,1
303,929,2.30107069,2.156872034,1
303,961,2.16058588,2.777750015,1
303,993,1.311722279,2.792756557,1
303,1025,0.9907286167,3.789217234,1
303,1057,0.8371626139,4.505178452,1
303,1089,1.203144312,4.863492012,1
303,1121,1.137413979,3.784062147,1
303,1153,1.902338505,2.898005486,1
303,1185,1.570334196,3.129261732,1
303,1217,0.5562361479,3.43256259,1
303,1249,1.035670519,3.240049124,1
303,1281,2.34455657,3.908249378,1
303,1313,3.510635853,3.729497671,1
303,1345,4.431517601,3.384439468,1
303,1377,5.655279636,4.506271362,1
303,1409,8.150396347,2.55538702,1
303,1441,6.013036251,0.9809746742,1
303,1473,3.21224308,1.395136118,1
303,1505,3.153270245,1.584185481,1
303,1537,3.439894676,1.097972751,1
303,1569,1.944466591,-0.05737626553,1
303,1601,1.199005127,-0.4930574894,1
303,1633,4.805644035,1.878856897,1
303,1665,5.455220222,2.388092756,1
303,1697,4.814332008,3.545484066,1
303,1729,4.400923729,7.605696201,1
303,1761,3.938331366,8.306203842,1
303,1793,3.013394356,7.569672585,1
303,1825,4.049557686,6.861147404,1
303,1857,5.006116867,7.322491646,1
303,1889,6.191306591,6.038302898,1
303,1921,7.208935261,5.37910223,1
303,1953,12.07157707,4.090126038,1
303,1985,17.8207016,3.639238834,1
303,2017,16.73925781,-5.730522633,1
335,33,0.9497218132,5.372914314,1
335,65,-0.9189715981,-2.763116837,1
335,97,-0.9394522905,-4.754307747,1
335,129,-1.476981878,-5.860738754,1
335,161,-2.589027166,-6.435355186,1
335,193,-1.806451201,-4.746209621,1
335,225,-1.48170948,-4.49049139,1
335,257,-1.463545799,-4.546777725,1
335,289,-2.020976067,-3.756021738,1
335,321,-3.016583443,-3.47713995,1
335,353,-3.029857635,-4.648290634,1
335,385,-2.347934723,-5.022802353,1
335,417,-2.243047237,-4.078558922,1
335,449,-2.61139679,-2.109416485,1
335,481,-10.47375965,-8.985111237,1
335,513,-0.5302735567,-0.7831436396,1
335,545,-1.486290097,-1.814216137,1
335,577,-1.621480346,-1.887221575,1
335,609,-1.756134033,-1.761171579,1
335,641,-1.430788159,-0.6880173683,1
335,673,-1.370078802,-2.055881977,1
335,705,-1.330507755,-2.141934633,1
335,737,0.2699568868,-1.408097506,1
335,769,0.6179492474,0.524109304,1
335,801,0.935462594,1.44317317,1
335,833,1.428264022,0.1568366289,1
335,865,1.861370921,0.409614265,1
335,897,2.046731472,0.9163954258,1
335,929,2.208716393,1.417728424,1
335,961,1.022374272,2.487128735,1
335,993,-0.02362370491,3.580264091,1
335,1025,1.339244366,3.690880537,1
335,1057,2.174245119,4.624703884,1
335,1089,-0.2780218124,4.251362324,1
335,1121,-0.04612827301,2.935834885,1
335,1153,1.808477879,2.042570591,1
335,1185,2.286274433,4.721669197,1
335,1217,2.60062027,5.133469105,1
335,1249,2.377783298,3.373542547,1
335,1281,3.352664948,3.981138229,1
335,1313,4.304737091,3.935063601,1
335,1345,5.354683399,3.758872032,1
335,1377,6.434773445,4.857234001,1
335,1409,7.883588791,3.20937252,1
335,1441,6.658902168,1.541670799,1
335,1473,5.145638943,0.5769119263,1
335,1505,4.597221375,0.632568121,1
335,1537,3.963004589,0.718699038,1
335,1569,3.481059074,-0.6518163681,1
335,1601,4.481446743,0.4038727283,1
335,1633,5.927669525,2.215165854,1
335,1665,6.033972263,1.75473237,1
335,1697,5.15810585,2.608169794,1
335,1729,3.862539291,3.359322309,1
335,1761,3.848971844,4.907188892,1
335,1793,4.78211832,8.296731949,1
335,1825,5.83917141,7.734873772,1
335,1857,4.791882515,7.440883636,1
335,1889,5.202139378,6.015216351,1
335,1921,6.901946545,5.428483963,1
335,1953,8.609517097,4.37060976,1
335,1985,10.57062817,2.146611691,1
335,2017,13.57835293,1.588806629,1
367,33,1.477129459,5.267528057,1
367,65,0.4176906645,-0.5114804506,1
367,97,-0.8431417942,-3.224741697,1
367,129,-2.360681057,-4.97197628,1
367,161,-2.292398453,-5.029574394,1
367,193,-1.442080855,-4.528026581,1
367,225,-0.9692405462,-4.452744484,1
367,257,-1.262595057,-4.405714989,1
367,289,-2.153840303,-3.982370377,1
367,321,-3.559483528,-3.734416723,1
367,353,-3.474867582,-4.275270462,1
367,385,-2.312160254,-4.164811134,1
367,417,-2.060812235,-3.604326963,1
367,449,-2.186978817,-2.20340538,1
367,481,-2.14424324,-1.51629138,1
367,513,-1.687646627,-1.537289381,1
367,545,-1.517723322,-1.880468369,1
367,577,-1.016367197,-1.765528679,1
367,609,0.6021545529,-1.221728206,1
367,641,0.5049649477,-0.756942749,1
367,673,-1.29137826,-1.374401927,1
367,705,-1.573382258,-2.363035679,1
367,737,0.2091006637,-0.7936164737,1
367,769,0.8371164203,0.5242747068,1
367,801,0.9456210136,1.894996285,1
367,833,1.097669482,1.002478957,1
367,865,1.448555589,0.5554472208,1
367,897,1.825691342,1.618458271,1
367,929,1.741931915,2.01410985,1
367,961,2.278228283,2.742110252,1
367,993,2.604287148,3.666284561,1
367,1025,3.385502815,3.217137814,1
367,1057,2.893428326,2.494856834,1
367,1089,1.975333691,1.942708015,1
367,1121,1.253218651,1.364533424,1
367,1153,-1.453582287,1.72302413,1
367,1185,3.646902084,2.978880882,1
367,1217,3.735743999,3.142531395,1
367,1249,3.388495445,3.158195019,1
367,1281,4.510952473,3.960103273,1
367,1313,7.104688168,3.615274668,1
367,1345,7.390215397,3.962520838,1
367,1377,8.557067871,5.34441185,1
367,1409,7.971282005,3.75774169,1
367,1441,6.682323456,1.524530172,1
367,1473,4.954993248,-0.6297352314,1
367,1505,4.971016884,0.7123408318,1
367,1537,3.626684666,1.197163582,1
367,1569,5.029791832,1.87301898,1
367,1601,5.929627895,1.55920136,1
367,1633,6.2411623,1.907482624,1
367,1665,6.703911781,2.019986391,1
367,1697,6.443139553,3.10469985,1
367,1729,5.457479477,4.341308117,1
367,1761,4.435591221,6.084178925,1
367,1793,6.083115101,7.392297268,1
367,1825,7.806706429,7.196744919,1
367,1857,7.402501106,6.409448624,1
367,1889,6.850069046,5.00040102,1
367,1921,7.106566429,5.516766071,1
367,1953,8.714871407,5.059260368,1
367,1985,10.18806839,2.892321825,1
367,2017,11.99952602,2.59303093,1
399,33,3.295238018,3.024646521,1
