PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 39, filenames: A:[39]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[40]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
101,980,1.975956917,-1.393409967,1
101,996,NaN,NaN,2
101,1012,NaN,NaN,2
101,1028,1.367963791,1.303100109,1
101,1044,0.2510056496,1.369410038,1
101,1060,-0.01560306549,0.965203166,1
101,1076,-0.04947312176,0.7160896659,1
101,1092,-0.3151378632,0.8849711418,1
101,1108,0.225218907,1.293823361,1
101,1124,0.9404358268,2.731611729,1
117,20,0.134283185,0.534910202,1
117,36,-0.3046326339,0.07590673864,1
117,52,-0.8044812679,-0.09576120973,1
117,68,-0.666638732,0.1306224465,1
117,84,-0.2042665482,0.01674615405,1
117,100,-0.1228907406,0.1212382838,1
117,116,0.03009015322,0.440846473,1
117,132,0.254078418,0.6208406687,1
117,148,NaN,NaN,2
117,164,0.9120588899,-1.25869751,1
117,180,1.55955565,-3.308805466,1
117,196,NaN,NaN,2
117,212,2.701776505,-3.447373629,1
117,228,2.001044512,-3.650825739,1
117,244,1.195549011,-3.657010555,1
117,260,0.7169729471,-3.458414793,1
117,276,0.6652294993,-1.936805725,1
117,292,1.795100212,-1.36649704,1
117,308,2.150280952,-1.158477306,1
117,324,1.984246969,-2.259320736,1
117,340,2.58164835,-2.077670813,1
117,356,2.93838501,-1.425902128,1
117,372,NaN,NaN,2
117,388,1.986899614,-1.929554701,1
117,404,0.7179971337,-3.020317554,1
117,420,0.5265360475,-3.417566299,1
117,436,NaN,NaN,2
117,452,-1.370382667,-3.029816628,1
117,468,0.1951016784,-1.745278597,1
117,484,0.1154507697,-1.56013751,1
117,500,0.330013454,-2.219788551,1
117,516,0.5522277355,-2.727970362,1
117,532,0.39047876,-2.213564873,1
117,548,0.3896682858,-1.068138599,1
117,564,0.7657066584,-0.1433042288,1
117,580,2.565847158,0.08732612431,1
117,596,1.492185116,-0.006496824324,1
117,612,-1.237677813,0.1759364754,1
117,628,-1.168611169,-0.2978773713,1
117,644,0.3497562408,-1.071712375,1
117,660,0.5644299388,0.1794320941,1
117,676,NaN,NaN,2
117,692,NaN,NaN,2
117,708,NaN,NaN,2
117,724,-0.5004102588,-0.576169014,1
117,740,-0.2641450167,-0.6740266085,1
117,756,-0.6550052166,-1.891651869,1
117,772,-0.8139736652,-3.559391737,1
117,788,NaN,NaN,2
117,804,NaN,NaN,2
117,820,0.3488118649,-0.2252482176,1
117,836,0.6844383478,0.09271880984,1
