PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 9, filenames: A:[9]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[10]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
37,660,-3.405829906,-1.96495223,1
37,676,-3.65221405,-4.029257774,1
37,692,-3.637099981,-1.224996805,1
37,708,-5.073106766,-2.792342663,1
37,724,-4.252046108,-3.292385578,1
37,740,-2.980971336,-5.372432232,1
37,756,NaN,NaN,2
37,772,-5.116904736,-3.300602913,1
37,788,-4.870230675,-3.318979979,1
37,804,-4.69636488,-3.726187229,1
37,820,-3.937234879,-4.51256752,1
37,836,-3.902749538,-4.157680511,1
37,852,-3.690143585,-4.02960825,1
37,868,-3.087817669,-3.75316,1
37,884,-2.804068565,-3.799780846,1
37,900,-2.921699524,-3.27126956,1
37,916,-3.201951742,-2.299818039,1
37,932,NaN,NaN,2
37,948,0.3546310961,-2.70548439,1
37,964,0.4030599594,-2.78480792,1
37,980,0.4817667603,-2.244330406,1
37,996,0.2322455645,-1.928498268,1
37,1012,-0.4906396568,-2.265630245,1
37,1028,-1.029168725,-2.400440931,1
37,1044,-0.6206206083,-2.33697319,1
37,1060,NaN,NaN,2
37,1076,-0.6816840172,-0.2366328239,1
37,1092,-1.641605377,-0.5315170288,1
37,1108,-0.6033877134,-2.73761344,1
37,1124,NaN,NaN,2
53,20,-0.6397516727,1.571691751,1
53,36,0.5147428513,0.9909257889,1
53,52,0.3019419611,0.02418860793,1
53,68,0.04931765795,-0.06734073162,1
53,84,0.05594545603,0.2596463263,1
53,100,0.08028012514,0.3971445262,1
53,116,0.1273029149,-0.02635501325,1
53,132,0.642239213,-0.4671493769,1
53,148,NaN,NaN,2
53,164,-1.646124363,-2.604245663,1
53,180,-3.478459835,-3.657471895,1
53,196,-3.043176413,-5.390708923,1
53,212,-2.987390995,-5.76841259,1
53,228,-2.558393955,-3.695843697,1
53,244,-2.249051332,-2.840336084,1
53,260,-2.084997892,-2.763653278,1
53,276,-1.927414536,-3.287200451,1
53,292,-1.892621636,-3.653590202,1
53,308,-1.913083076,-4.107777596,1
53,324,-2.63496685,-4.335730553,1
53,340,-3.419248819,-4.883080959,1
53,356,-3.813096523,-4.318397522,1
53,372,-3.925984144,-4.224975586,1
53,388,-3.846288681,-4.393584251,1
53,404,-3.308917046,-4.252151012,1
53,420,-3.020752192,-4.187526703,1
53,436,-3.404723406,-4.790879726,1
53,452,NaN,NaN,2
53,468,-4.654242039,-4.118328094,1
53,484,-4.867964268,-3.611894608,1
53,500,-4.960370064,-2.862674475,1
53,516,-4.16392231,-2.835737705,1
53,532,-4.06533432,-2.253882647,1
53,548,-4.086327553,-3.81846714,1
53,564,-3.57464838,-4.936177731,1
53,580,-3.918458462,-4.55696106,1
53,596,NaN,NaN,2
53,612,-4.510083675,-2.833837986,1
53,628,-4.303405285,-2.242103338,1
53,644,-4.170063972,-1.074573994,1
53,660,-3.871174574,-0.3863089085,1
53,676,NaN,NaN,2
53,692,-3.961343527,-1.049641967,1
53,708,-4.725374222,-2.327053547,1
53,724,-4.102516174,-4.371567726,1
53,740,-4.693433762,-4.467076302,1
53,756,-5.136953831,-3.988934517,1
53,772,-4.217211723,-3.981986523,1
53,788,-3.944384336,-3.821965456,1
53,804,-3.213352203,-3.662592173,1
53,820,-2.7844944,-4.78461504,1
53,836,-3.170672417,-4.804868221,1
53,852,-3.450510025,-4.178557873,1
53,868,-5.340847969,-3.499042273,1
53,884,-3.32335043,-3.659153461,1
53,900,-2.996388435,-3.288007736,1
53,916,-2.629500628,-3.57454443,1
53,932,-2.306475401,-4.150870323,1
53,948,-1.138059616,-3.761228085,1
53,964,0.6479079723,-2.584345102,1
53,980,1.127953768,-1.612662315,1
53,996,0.8582613468,-2.016385555,1
53,1012,0.1979729086,-2.640673161,1
53,1028,-0.845869422,-2.497921944,1
53,1044,-1.377944469,-1.770298123,1
53,1060,-1.139425516,-1.197165251,1
53,1076,-0.9785560369,-0.9673428535,1
53,1092,-1.345371366,-0.9336175919,1
53,1108,-0.1803154051,-1.449501276,1
53,1124,0.2749955654,-2.168433666,1
69,20,-0.1719411612,1.65663147,1
69,36,0.1770248264,0.5068442822,1
69,52,0.3072646856,-0.1080439687,1
69,68,0.4381748438,0.050309062,1
69,84,0.2853331566,0.3062674999,1
69,100,-0.133030057,0.6118024588,1
69,116,-0.2182656378,0.7810846567,1
69,132,-0.362636745,0.2607808113,1
69,148,NaN,NaN,2
69,164,NaN,NaN,2
69,180,-2.427537918,-4.116558552,1
69,196,-3.0382092,-4.94900465,1
69,212,-3.221265554,-5.044336796,1
69,228,-3.340809345,-5.138046741,1
69,244,-3.262485266,-3.333945751,1
69,260,-3.058410883,-3.206967831,1
69,276,-2.317186594,-3.642764091,1
69,292,-1.654269814,-4.415101051,1
69,308,NaN,NaN,2
69,324,NaN,NaN,2
69,340,-3.235151529,-4.859157562,1
69,356,-3.848092556,-4.404695988,1
69,372,-4.178370476,-4.762956619,1
69,388,-4.433551788,-4.431468964,1
69,404,-4.398228645,-4.599419594,1
69,420,-3.80111146,-4.111558437,1
69,436,-3.48435688,-4.311467648,1
69,452,NaN,NaN,2
69,468,-4.644403934,-4.553658485,1
69,484,-4.929614544,-4.629038334,1
69,500,-4.820300102,-1.709960461,1
69,516,-4.147360802,-1.837284565,1
69,532,-2.924699783,-3.462630749,1
69,548,-3.145646572,-4.346858025,1
69,564,-3.632437229,-4.944492817,1
69,580,-4.353689194,-4.232536793,1
69,596,-4.84619236,-3.280023336,1
69,612,-5.907640934,-3.396271229,1
69,628,-5.471924782,-1.678370953,1
69,644,-4.350654125,-0.03283238411,1
69,660,-4.054213524,0.6632664204,1
69,676,NaN,NaN,2
69,692,NaN,NaN,2
69,708,NaN,NaN,2
69,724,-3.930290937,-4.611745358,1
69,740,-3.904744625,-4.537939548,1
69,756,-3.304159641,-4.370466232,1
69,772,-2.285834074,-3.958946705,1
69,788,-2.508926153,-3.942189693,1
69,804,-2.521672726,-4.153079987,1
69,820,-3.552346706,-4.267022133,1
69,836,-4.484791756,-5.653594971,1
69,852,NaN,NaN,2
69,868,-1.326652765,-4.906672955,1
69,884,-3.618468523,-4.663218021,1
69,900,-2.858730555,-3.346554279,1
69,916,-2.111309052,-3.775650501,1
69,932,NaN,NaN,2
69,948,NaN,NaN,2
69,964,0.5244917274,-2.545636654,1
69,980,1.387073159,-1.362893462,1
69,996,1.096098542,-1.81071949,1
69,1012,0.2089772075,-2.289543152,1
69,1028,-0.9795700312,-1.818445683,1
69,1044,-1.924905062,-1.189087033,1
69,1060,-2.120275974,-1.197913289,1
69,1076,-1.298398018,-1.82856369,1
69,1092,-2.169404984,-0.9974942207,1
69,1108,-1.051642776,-0.1699875593,1
69,1124,0.9247523546,-0.2042739391,1
85,20,NaN,NaN,2
85,36,-0.007435884327,0.07410678267,1
85,52,0.4841926694,-0.1638950557,1
85,68,0.602632165,0.5535177588,1
85,84,0.2622567415,0.5395134687,1
85,100,-0.1092955917,-0.01613223553,1
85,116,-0.1318373084,-0.1133822203,1
85,132,-1.062383056,-1.796989918,1
85,148,-1.239714146,-2.722212076,1
85,164,-1.841808319,-4.223611832,1
85,180,-2.739731073,-4.899599075,1
85,196,-3.283836842,-5.158643723,1
85,212,-3.385769606,-4.797733307,1
85,228,-3.123597145,-4.479372501,1
85,244,-3.828268766,-3.93407917,1
85,260,-4.476208687,-3.653396606,1
85,276,-3.689043522,-4.065165043,1
85,292,-3.341630459,-4.779073238,1
85,308,-2.302565098,-4.939734936,1
85,324,-2.436372519,-5.263388157,1
85,340,-3.051219702,-4.567230701,1
85,356,-4.066044807,-3.929397583,1
85,372,NaN,NaN,2
85,388,-4.926933765,-4.204183578,1
85,404,-5.625739574,-4.024986744,1
85,420,-4.952447891,-3.792025805,1
85,436,-3.465612173,-3.775015354,1
85,452,-3.508299112,-4.211697578,1
85,468,-3.848778248,-5.019759655,1
85,484,-4.305464268,-4.432223797,1
85,500,-3.906517029,-3.55602026,1
85,516,NaN,NaN,2
85,532,-3.633577347,-3.926408291,1
85,548,-3.400176764,-5.316505432,1
85,564,-3.816941738,-5.616544247,1
85,580,-4.636012077,-4.667467594,1
85,596,-5.219174385,-3.897830486,1
85,612,-4.11727047,-3.320750237,1
85,628,-3.339175224,-1.209370255,1
85,644,-4.29307127,0.4723088741,1
85,660,-4.220998764,0.2495428771,1
85,676,-3.598994255,-0.1819545627,1
85,692,-3.293431282,-0.8272787333,1
85,708,-3.879099846,-1.813748121,1
85,724,NaN,NaN,2
85,740,-4.034269333,-4.454737663,1
85,756,-2.898051739,-4.559140205,1
85,772,NaN,NaN,2
85,788,NaN,NaN,2
85,804,-2.070109844,-4.288051605,1
85,820,-3.503965139,-4.38656044,1
85,836,-3.932434082,-4.943471909,1
85,852,-2.759304523,-4.212830067,1
85,868,NaN,NaN,2
85,884,NaN,NaN,2
85,900,-3.163630009,-3.766296625,1
85,916,-1.214780807,-3.559566498,1
85,932,-1.446602464,-3.840099335,1
85,948,-1.568967581,-3.80405426,1
85,964,0.5402101874,-2.234200716,1
85,980,0.9405583143,-1.263961911,1
85,996,0.4777302742,-1.377646208,1
85,1012,-0.343411386,-1.541770458,1
85,1028,-1.391970992,-0.882850945,1
85,1044,-2.34934473,-0.2135350108,1
85,1060,NaN,NaN,2
85,1076,-1.912001252,-2.685414791,1
85,1092,-1.709085584,-0.0491399765,1
85,1108,NaN,NaN,2
85,1124,-0.3133023381,0.6857728958,1
101,20,NaN,NaN,2
101,36,-0.4212346971,-0.1859978437,1
101,52,0.5778352022,-0.1909303069,1
101,68,0.4284827113,0.4632427394,1
101,84,0.07178796828,0.5742698312,1
101,100,0.02220669389,-0.4345061779,1
101,116,-0.7727047205,-0.6550474167,1
101,132,NaN,NaN,2
101,148,-1.613373876,-3.710912704,1
101,164,-2.134082794,-5.113684654,1
101,180,-2.976130486,-5.918756962,1
101,196,-3.488577843,-5.066256046,1
101,212,-3.48841548,-4.321751118,1
101,228,-2.805903673,-4.582406044,1
101,244,-2.888452291,-5.179018497,1
101,260,-3.718633652,-5.104506493,1
101,276,-3.918895006,-4.530863285,1
101,292,-3.156384945,-5.384221077,1
101,308,-2.529467583,-5.999845982,1
101,324,-2.774264812,-5.04138279,1
101,340,-2.872789383,-4.070374966,1
101,356,-3.420268059,-3.498470783,1
101,372,NaN,NaN,2
101,388,-5.281858444,-3.290394306,1
101,404,-4.932268143,-3.224414349,1
101,420,-4.823185444,-3.600461006,1
101,436,-3.781279564,-3.73897624,1
101,452,-3.196688175,-4.098696709,1
101,468,-3.642446518,-5.36833334,1
101,484,-4.803002357,-5.341617107,1
101,500,-4.420985222,-5.324886799,1
101,516,-4.284877777,-4.254076004,1
101,532,-4.171061993,-4.764839649,1
101,548,-4.169518471,-6.490680695,1
101,564,-5.135564327,-5.718766689,1
101,580,NaN,NaN,2
101,596,-6.278813362,-4.568594933,1
101,612,-1.913569927,-2.53028512,1
101,628,-1.667952061,-0.04244875908,1
101,644,-6.717923641,1.08417666,1
101,660,NaN,NaN,2
101,676,-4.545520306,-0.8940080404,1
101,692,-3.240729332,-0.09882116318,1
101,708,-3.101514816,-1.922370434,1
101,724,NaN,NaN,2
101,740,-2.796799183,-4.125605583,1
101,756,-2.698889732,-4.824233055,1
101,772,NaN,NaN,2
101,788,NaN,NaN,2
101,804,-3.104456425,-4.104798317,1
101,820,-3.104230881,-5.457580566,1
101,836,-3.284303427,-6.054177284,1
101,852,NaN,NaN,2
101,868,-4.000628471,-5.544602871,1
101,884,-1.031283617,-4.450908184,1
101,900,0.2959798574,-3.57286191,1
101,916,-0.1141744852,-3.030304432,1
101,932,-0.3339390755,-3.375680923,1
101,948,-0.4663857222,-3.092095375,1
101,964,-0.4548921287,-1.942716241,1
101,980,0.07583403587,-0.7416601181,1
101,996,0.4540137649,-0.5251618624,1
101,1012,-0.4007559419,-0.4854159355,1
101,1028,-1.462079763,0.04772174358,1
101,1044,-1.342874408,1.582927465,1
101,1060,NaN,NaN,2
101,1076,-1.40818584,-1.149489403,1
101,1092,-0.6728857756,1.678363085,1
101,1108,-1.220401168,1.557644486,1
101,1124,-1.906082153,1.05934608,1
117,20,0.4727212787,-1.031278491,1
117,36,0.225565657,-0.3333030343,1
117,52,0.1527169943,-0.1187719107,1
117,68,0.059810251,0.5636151433,1
117,84,0.1267613769,0.1199868917,1
117,100,NaN,NaN,2
117,116,-1.255004883,-2.639465332,1
117,132,-1.637018323,-4.416981697,1
117,148,-2.515947819,-4.754490376,1
117,164,-2.818230867,-5.344884396,1
117,180,-3.091690779,-5.902233124,1
117,196,-3.56115222,-5.122968197,1
117,212,-4.096467018,-4.804956913,1
117,228,-3.298529148,-5.375471592,1
117,244,-2.95006299,-6.168017864,1
117,260,-3.412875652,-5.915370464,1
117,276,-4.226184368,-5.687682152,1
117,292,-5.058859825,-6.619447231,1
117,308,-4.065522194,-5.83570385,1
117,324,-4.3764925,-5.101777554,1
117,340,-3.768119812,-4.535615444,1
117,356,-3.366537571,-3.613879204,1
117,372,-3.750851154,-3.212517262,1
117,388,-3.193211555,-2.320695877,1
117,404,-4.25854969,-3.06115365,1
117,420,-4.623533249,-3.543984175,1
117,436,-4.344614506,-3.498187304,1
117,452,-3.919505596,-3.883871794,1
117,468,-3.992913246,-4.802984715,1
117,484,-4.456395626,-5.113806248,1
117,500,-5.151232719,-5.397858143,1
117,516,NaN,NaN,2
117,532,-4.849922657,-4.998675346,1
117,548,-3.977724075,-7.248597145,1
117,564,-4.637372017,-6.112959862,1
117,580,NaN,NaN,2
117,596,NaN,NaN,2
117,612,-5.002505302,-3.173616409,1
117,628,-4.648136139,0.04087662697,1
117,644,NaN,NaN,2
117,660,NaN,NaN,2
117,676,-3.803650379,-0.6257650852,1
117,692,-3.074285269,-0.4896135926,1
117,708,-3.55230546,-1.341492414,1
117,724,-3.780938864,-2.268442631,1
117,740,-2.838510513,-3.032735586,1
117,756,-1.783111334,-3.152780533,1
117,772,NaN,NaN,2
117,788,-1.480626583,-0.4044210911,1
117,804,-2.12361145,-2.846503496,1
117,820,NaN,NaN,2
117,836,NaN,NaN,2
117,852,-4.91343832,-3.90971303,1
117,868,-2.695432186,-4.310918331,1
117,884,0.297385335,-3.789303541,1
117,900,1.195025921,-3.540040731,1
117,916,NaN,NaN,2
117,932,0.5732623935,-2.440228701,1
117,948,-0.942959547,-3.685728073,1
117,964,-1.116302013,-1.832126498,1
117,980,-0.7713646889,-0.174836278,1
117,996,-0.1422342658,-0.107106626,1
117,1012,-0.6776025295,-0.2815408707,1
117,1028,NaN,NaN,2
117,1044,-1.011158586,2.196500301,1
117,1060,-1.407084227,0.213658303,1
117,1076,-1.232059479,0.1087609529,1
117,1092,-1.557718873,1.275535107,1
117,1108,NaN,NaN,2
117,1124,NaN,NaN,2
133,20,0.5413287282,0.8556821346,1
133,36,0.3899055123,-0.07814496756,1
133,52,0.1363128424,-0.3945734501,1
133,68,-0.09368421137,-0.04078227282,1
133,84,-0.1635037661,-1.119780183,1
133,100,-1.358497977,-2.581207037,1
133,116,-1.169075489,-3.762616158,1
133,132,-1.894935131,-4.816551208,1
133,148,-2.598963261,-5.474750519,1
133,164,-2.783819675,-5.790268421,1
133,180,-2.892242432,-6.167923927,1
133,196,-3.34115696,-5.682491779,1
133,212,NaN,NaN,2
133,228,NaN,NaN,2
133,244,-3.873639822,-7.052204132,1
133,260,-3.154671431,-6.559303761,1
133,276,-3.212431431,-6.277998924,1
133,292,-3.859639883,-6.939917088,1
133,308,-4.478993416,-5.967728615,1
133,324,-4.341045856,-5.221245766,1
133,340,-3.576856136,-5.003089428,1
133,356,-2.498592377,-4.662815094,1
133,372,-1.688246846,-4.198770046,1
133,388,-1.410166502,-3.660521507,1
133,404,-2.510913849,-3.633543491,1
133,420,-3.418189526,-3.320678711,1
133,436,-3.962653637,-3.185827494,1
133,452,-4.448765755,-3.640051126,1
133,468,-4.851943016,-3.984438896,1
133,484,-4.995752335,-4.89215374,1
133,500,-4.48878336,-4.907399178,1
133,516,-5.422961235,-4.368087292,1
133,532,-5.98543787,-4.855170727,1
133,548,-4.850268364,-5.703297615,1
133,564,-4.897762299,-7.014614582,1
133,580,-4.839805603,-7.032067776,1
133,596,-4.784221649,-5.803500652,1
133,612,-4.577512741,-3.349301338,1
133,628,NaN,NaN,2
133,644,NaN,NaN,2
133,660,-4.102578163,0.1014781594,1
133,676,-3.461454391,-0.05935817957,1
133,692,-3.029211521,-0.534294188,1
133,708,-2.161250591,-1.033195734,1
133,724,-3.02086854,-1.378114343,1
133,740,-2.341521263,-2.066572189,1
133,756,-0.8807147741,-1.094231844,1
133,772,NaN,NaN,2
133,788,0.2631919384,-0.03013515472,1
133,804,-1.675275922,-0.8233795166,1
133,820,-2.550828934,-1.908176064,1
133,836,-3.586199045,-2.649742603,1
133,852,-3.046212673,-3.397839308,1
133,868,-0.9649701715,-3.694865704,1
133,884,-0.1443939209,-3.231163502,1
133,900,0.1454868317,-3.194708347,1
133,916,0.5591909289,-3.770658493,1
133,932,NaN,NaN,2
133,948,-0.6783581972,-3.814829826,1
133,964,-1.441891909,-1.795185208,1
133,980,-1.918286562,-0.1388145089,1
133,996,-1.2874192,0.4900920987,1
133,1012,-2.012094975,1.004561186,1
133,1028,-2.40054512,1.746742249,1
133,1044,-1.568576455,2.49983263,1
133,1060,-2.33160305,0.1142478064,1
133,1076,-2.324244738,-0.2229752243,1
133,1092,-2.209853172,0.1300163716,1
133,1108,-2.196963549,-0.2115298808,1
133,1124,-2.21356082,-0.7320334911,1
149,20,NaN,NaN,2
149,36,NaN,NaN,2
149,52,0.006565634161,0.3513889313,1
149,68,NaN,NaN,2
149,84,-0.4202003479,-0.5470094681,1
149,100,-1.654853106,-3.837651491,1
149,116,-2.243984222,-4.600595951,1
149,132,-2.373599052,-5.224358082,1
149,148,-1.912690639,-5.878165722,1
149,164,-1.971450806,-6.261251926,1
149,180,-2.72146678,-6.421530724,1
149,196,NaN,NaN,2
149,212,-3.507441282,-5.869693756,1
149,228,-3.572150469,-6.746063709,1
149,244,-3.470444202,-7.382726192,1
149,260,-2.955840826,-7.776695251,1
149,276,-2.716165781,-7.577716351,1
149,292,-3.410192966,-7.848918915,1
149,308,-3.789278746,-6.606102943,1
149,324,-3.786602497,-5.737369061,1
149,340,-2.836247683,-5.376423836,1
149,356,-2.012893438,-5.655743599,1
149,372,-1.54751718,-5.234508038,1
149,388,-1.168704033,-5.036745071,1
149,404,-1.253802419,-4.346389294,1
149,420,NaN,NaN,2
149,436,-3.074403286,-3.908063889,1
149,452,-3.977822781,-3.871919632,1
149,468,-5.03412199,-3.996975422,1
149,484,-5.640816689,-4.521348,1
149,500,NaN,NaN,2
149,516,NaN,NaN,2
149,532,NaN,NaN,2
149,548,NaN,NaN,2
149,564,-3.438723326,-6.258823395,1
149,580,NaN,NaN,2
149,596,NaN,NaN,2
149,612,-2.418295383,-3.297215462,1
149,628,-2.354582787,-1.80850172,1
149,644,-1.071789026,-0.8803870678,1
149,660,NaN,NaN,2
149,676,NaN,NaN,2
149,692,-2.094542027,0.7704743147,1
149,708,-1.916412234,-0.2614254951,1
149,724,-1.873893499,-0.7888090611,1
149,740,-1.963165879,-0.1759083867,1
149,756,-0.9328576326,-0.2873696685,1
149,772,0.4340308011,0.7921037674,1
149,788,0.8252831697,0.7382534742,1
149,804,0.2693772018,0.1569095254,1
149,820,-0.1749911904,-0.584045887,1
149,836,-1.520161629,-1.9177562,1
149,852,-2.53335762,-2.112358093,1
149,868,-0.5576816201,-2.736495733,1
149,884,-0.4265110493,-2.970257282,1
149,900,-0.2414134741,-1.918272018,1
149,916,-0.6967377067,-4.110190868,1
149,932,NaN,NaN,2
149,948,-0.1746689379,-2.183542728,1
149,964,-1.065749764,-1.16206193,1
149,980,-1.763172269,0.166266948,1
149,996,NaN,NaN,2
149,1012,-3.726093292,1.636697769,1
149,1028,-1.859278798,2.579483032,1
149,1044,-2.483751774,2.009800911,1
149,1060,NaN,NaN,2
149,1076,NaN,NaN,2
149,1092,-2.175488949,-0.471092999,1
149,1108,-1.47858429,-0.3557154834,1
149,1124,-1.022093177,-0.8621878624,1
165,20,NaN,NaN,2
165,36,NaN,NaN,2
165,52,0.175923273,0.6499328613,1
165,68,0.3179807067,-0.7376148701,1
165,84,NaN,NaN,2
165,100,-2.100420237,-3.954627037,1
165,116,-2.69244504,-5.339893818,1
165,132,-2.635404587,-5.851135731,1
165,148,-1.863841295,-6.186048031,1
165,164,NaN,NaN,2
165,180,-2.884469271,-6.727778435,1
165,196,-3.181905031,-6.128503799,1
165,212,NaN,NaN,2
165,228,-3.292197704,-6.693264961,1
165,244,-3.287628889,-7.778087616,1
165,260,-2.238613605,-8.607963562,1
165,276,-2.372074604,-8.33923912,1
165,292,-3.130719185,-8.119533539,1
165,308,-2.750800133,-7.100362778,1
165,324,-2.34971714,-6.438064575,1
165,340,-1.879166126,-5.971227169,1
165,356,-1.871863604,-5.732655525,1
165,372,-2.023953438,-5.403392792,1
165,388,-1.097810745,-5.143070221,1
165,404,-1.054958701,-4.869740486,1
165,420,-1.726882935,-5.378566742,1
165,436,-3.033957481,-4.854620457,1
165,452,-3.776468277,-4.715706825,1
165,468,-4.810158253,-4.082757473,1
165,484,-5.365933895,-3.881781578,1
165,500,-4.674643517,-3.666922808,1
165,516,-4.616426945,-4.526569843,1
165,532,-4.412573814,-6.350356102,1
165,548,-2.726080418,-4.363025188,1
165,564,-1.589744329,-4.599259853,1
165,580,-1.399410367,-4.684478283,1
165,596,-1.437120676,-4.286252499,1
165,612,-1.606985807,-2.85892725,1
165,628,-1.35501647,-1.71214354,1
165,644,NaN,NaN,2
165,660,NaN,NaN,2
165,676,-1.951634407,0.337110728,1
165,692,-2.18227458,0.09331297874,1
165,708,-2.108879328,-0.1637814045,1
165,724,-1.839235902,-0.2295717001,1
165,740,-1.409936786,1.061938047,1
165,756,-0.7335265875,0.8111590147,1
165,772,0.008040964603,0.9037499428,1
165,788,0.711802423,0.7709481716,1
165,804,0.4967630804,0.1613191664,1
165,820,-0.1550080776,-0.3235245943,1
165,836,NaN,NaN,2
165,852,-1.053634167,-1.098971844,1
165,868,-0.7226361036,-0.6650748253,1
165,884,NaN,NaN,2
165,900,-1.170030951,-1.182176113,1
165,916,-0.7565473914,-3.188729763,1
165,932,-0.6611689329,-1.630666733,1
165,948,-0.4075460732,-1.44286418,1
165,964,-0.519572854,-0.6104106903,1
165,980,-0.4680056572,0.7122895718,1
165,996,-3.168491125,0.4670605361,1
165,1012,-3.368375301,0.4743664265,1
165,1028,NaN,NaN,2
165,1044,-1.072892547,2.657908201,1
165,1060,-1.188989997,1.807034969,1
165,1076,NaN,NaN,2
165,1092,-1.027719259,-0.7117448449,1
165,1108,-0.7338491678,-0.2386296391,1
165,1124,-0.2766837478,-0.7003990412,1
181,20,-0.3465168476,0.06114697456,1
181,36,0.2874935269,-0.7009716034,1
181,52,0.07104687393,-0.1542069912,1
181,68,-0.7400443554,-4.154098988,1
181,84,-1.175364733,-4.46370697,1
181,100,-2.042878151,-4.141618252,1
181,116,-3.043276787,-5.265328407,1
181,132,-2.609852076,-5.761228561,1
181,148,-2.294199705,-6.707460403,1
181,164,-2.575844049,-6.937996387,1
181,180,NaN,NaN,2
181,196,NaN,NaN,2
