PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 9, filenames: A:[9]MAX_TimeSrs018_TgUtrmcherry_Controll.avi & B:[10]MAX_TimeSrs018_TgUtrmcherry_Controll.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
79,1441,5.143359184,-4.177340031,1
79,1473,6.016553879,-4.525979042,1
79,1505,7.222006798,-5.989843845,1
79,1537,8.126132965,-7.66516161,1
79,1569,8.932258606,-6.526980877,1
79,1601,8.203297615,-7.161874771,1
79,1633,7.096333504,-7.883382797,1
79,1665,6.593830585,-7.265392303,1
79,1697,6.21583271,-6.680860996,1
79,1729,18.74637985,2.965335846,1
79,1761,5.61345911,-6.178063393,1
79,1793,5.545006752,-4.651836395,1
79,1825,4.099867821,-6.194838524,1
79,1857,3.611469269,-8.311580658,1
79,1889,3.283522606,-8.028844833,1
79,1921,3.784082413,-7.084485531,1
79,1953,4.076948643,-5.143318176,1
79,1985,3.955097675,-4.549692154,1
79,2017,2.763348341,-6.738040924,1
111,33,13.4474535,7.183785439,1
111,65,-1.870264173,-5.04793644,1
111,97,-1.966831684,-7.556382179,1
111,129,-3.418087006,-7.43109417,1
111,161,-3.196730137,-5.434080124,1
111,193,-2.015062094,-4.594712734,1
111,225,-1.675496459,-3.79327035,1
111,257,-1.530974746,-3.246976376,1
111,289,-0.8926103115,-3.141465902,1
111,321,0.1992005408,-2.998058558,1
111,353,0.7692222595,-2.833456993,1
111,385,1.902248979,-4.496507645,1
111,417,4.617937088,-1.416054726,1
111,449,6.471424103,-1.500164032,1
111,481,4.386600018,-3.739480257,1
111,513,3.13544178,-3.825571537,1
111,545,1.461377621,-3.631136894,1
111,577,-0.4959185123,-2.648489475,1
111,609,0.1754174232,-3.108484268,1
111,641,2.27363801,-3.501558542,1
111,673,3.743398428,-2.944403648,1
111,705,3.976220131,-3.204007387,1
111,737,5.119927406,-4.113350391,1
111,769,5.829217911,-4.118030548,1
111,801,6.151889801,-3.583457947,1
111,833,6.916810036,-3.799917459,1
111,865,6.906467438,-3.747491837,1
111,897,6.632369518,-3.852576256,1
111,929,6.643528461,-3.591672659,1
111,961,6.712905407,-2.900989771,1
111,993,6.522988796,-3.356541872,1
111,1025,6.680064678,-3.982036352,1
111,1057,7.496444702,-4.185147285,1
111,1089,8.716192245,-3.959782124,1
111,1121,9.377788544,-4.118809223,1
111,1153,9.007044792,-3.926389694,1
111,1185,7.811120987,-4.294695854,1
111,1217,8.208981514,-3.530570984,1
111,1249,7.741246223,-4.254755974,1
111,1281,5.663588524,-3.552221775,1
111,1313,6.246772766,-5.704528809,1
111,1345,6.208692551,-5.789791107,1
111,1377,4.710203171,-5.907610416,1
111,1409,5.279975891,-6.276930809,1
111,1441,6.841621876,-5.860340118,1
111,1473,7.582077026,-5.836784363,1
111,1505,8.794921875,-6.4161973,1
111,1537,9.38903141,-7.044435501,1
111,1569,8.84512043,-6.891752243,1
111,1601,7.415483475,-6.878062725,1
111,1633,7.008949757,-7.717851162,1
111,1665,7.0221982,-7.962631702,1
111,1697,5.896405697,-7.092257977,1
111,1729,5.178155422,-5.61200428,1
111,1761,5.843760967,-5.856218815,1
111,1793,5.89012289,-4.307349682,1
111,1825,4.860389709,-5.883095741,1
111,1857,4.750513077,-7.284146309,1
111,1889,4.301237583,-6.462071419,1
111,1921,4.837674141,-5.609339714,1
111,1953,4.835999489,-5.698841095,1
111,1985,2.446994543,-5.859693527,1
111,2017,1.83305335,-6.250325203,1
143,33,-9.593966484,7.265767574,1
143,65,-4.341299057,-5.547958851,1
143,97,-3.538571358,-7.163730621,1
143,129,-3.245124578,-6.150140762,1
143,161,-2.17125988,-5.713392258,1
143,193,-2.585411072,-4.866557121,1
143,225,-2.295987606,-3.84062314,1
143,257,-1.639818311,-2.822750568,1
143,289,-0.829693079,-2.305080891,1
143,321,0.2380319387,-3.002015591,1
143,353,0.7344064713,-2.876298666,1
143,385,1.522824049,-5.618947983,1
143,417,5.359507561,-0.6524164677,1
143,449,8.369487762,-1.390030622,1
143,481,7.079161167,-2.935763359,1
143,513,3.849128723,-3.159984112,1
143,545,2.878433228,-3.390093088,1
143,577,1.968343735,-3.362043381,1
143,609,0.3006973267,-2.156239271,1
143,641,1.432969332,-1.422981739,1
143,673,4.745230675,-2.901956081,1
143,705,5.24630928,-3.247113466,1
143,737,5.60772419,-3.776294947,1
143,769,6.189792633,-4.228642464,1
143,801,6.873808384,-4.044662476,1
143,833,7.774329185,-4.582660675,1
143,865,8.197223663,-3.936764717,1
143,897,7.511628628,-3.846110106,1
143,929,7.053477764,-4.074575901,1
143,961,6.810559273,-3.978657246,1
143,993,6.094977856,-4.045880318,1
143,1025,5.963555336,-3.66612339,1
143,1057,7.021458626,-3.775969505,1
143,1089,9.109538078,-4.454066277,1
143,1121,10.58505058,-4.728033066,1
143,1153,10.41697502,-4.533906937,1
143,1185,8.714672089,-4.497817039,1
143,1217,7.781718254,-4.428941727,1
143,1249,8.61882019,-5.16247654,1
143,1281,8.236706734,-4.832574368,1
143,1313,8.066163063,-6.158504963,1
143,1345,7.360974789,-6.210002899,1
143,1377,7.037289619,-4.967063427,1
143,1409,8.112433434,-6.37251091,1
143,1441,7.917513847,-7.342362404,1
143,1473,9.651115417,-7.432846069,1
143,1505,10.11620522,-7.490710258,1
143,1537,9.567874908,-8.117555618,1
143,1569,8.876561165,-7.444703102,1
143,1601,8.057603836,-6.035406113,1
143,1633,7.498168945,-6.973114967,1
143,1665,7.351657867,-7.187501907,1
143,1697,6.276938438,-7.000229836,1
143,1729,5.102932453,-6.780597687,1
143,1761,6.913683891,-6.49499321,1
143,1793,6.523771763,-6.064713478,1
143,1825,5.35832262,-5.952942371,1
143,1857,5.016440868,-5.99661684,1
143,1889,3.537144661,-5.899108887,1
143,1921,4.619135857,-5.793022633,1
143,1953,4.581187248,-6.208471298,1
143,1985,3.667937279,-6.426345348,1
143,2017,3.664692879,-6.248661041,1
175,33,20.38606453,7.135248661,1
175,65,-1.065371394,-8.047019958,1
175,97,-1.746878028,-7.424322605,1
175,129,-2.481440544,-6.926771164,1
175,161,-1.829287291,-5.307310104,1
175,193,-2.592697144,-4.042712212,1
175,225,-3.137013435,-3.197216749,1
175,257,-1.459253788,-2.918211222,1
175,289,-1.038403988,-2.811412334,1
175,321,0.1971221864,-3.108699083,1
175,353,0.5669182539,-2.519792318,1
175,385,1.369228482,-1.754738092,1
175,417,2.397341967,-2.666471004,1
175,449,4.864870071,-2.665600538,1
175,481,5.974895954,-2.659977913,1
175,513,4.50069952,-2.345758677,1
175,545,3.392555237,-3.544686794,1
175,577,3.187712431,-5.008818626,1
175,609,3.973738909,-3.10047698,1
175,641,3.29434967,-2.480552673,1
175,673,5.447158337,-2.707726955,1
175,705,5.892100811,-3.248109818,1
175,737,5.659825802,-3.618825197,1
175,769,5.872275352,-4.096274376,1
175,801,6.666117668,-5.031917572,1
175,833,8.61066246,-3.101624012,1
175,865,9.207829475,-3.387826681,1
175,897,8.871516228,-4.116603374,1
175,929,8.462818146,-4.319521427,1
175,961,8.074383736,-4.815801144,1
175,993,7.404292107,-4.796784878,1
175,1025,6.972602844,-3.637646675,1
175,1057,8.15124321,-4.396999836,1
175,1089,9.90560627,-5.096101284,1
175,1121,11.28751469,-5.943969727,1
175,1153,11.72030926,-6.006927013,1
175,1185,10.82878494,-5.546709538,1
175,1217,9.687472343,-5.362381458,1
175,1249,9.768640518,-5.902080059,1
175,1281,9.640242577,-6.473322868,1
175,1313,9.510519028,-7.197123051,1
175,1345,8.813427925,-7.354260445,1
175,1377,8.09433651,-5.387468815,1
175,1409,9.769460678,-6.267743587,1
175,1441,10.25762081,-7.711591721,1
175,1473,10.42186928,-8.305802345,1
175,1505,10.20563698,-7.98549366,1
175,1537,9.377775192,-8.416843414,1
175,1569,9.707337379,-7.425111294,1
175,1601,9.400069237,-5.514514446,1
175,1633,8.18653965,-7.072340012,1
175,1665,7.023936749,-6.963860989,1
175,1697,5.956851482,-6.383027554,1
175,1729,5.840783119,-7.402352333,1
175,1761,7.543318272,-7.271754265,1
175,1793,6.79991293,-6.405637264,1
175,1825,6.026237488,-5.894761562,1
175,1857,5.678031921,-5.589219093,1
175,1889,3.615936756,-6.328409195,1
175,1921,2.834070206,-5.925278664,1
175,1953,3.790421486,-5.58915472,1
175,1985,3.497951984,-5.737803459,1
175,2017,4.922673702,-6.14188385,1
207,33,20.80269432,6.468113422,1
207,65,-0.3372890353,-5.141253471,1
207,97,-0.829711318,-5.878093719,1
207,129,-1.694354177,-5.768203735,1
207,161,-2.322719097,-4.341063976,1
207,193,-2.77738905,-2.521221399,1
207,225,-2.024228573,-2.948435307,1
207,257,-2.373625755,-4.118806839,1
207,289,-2.22110033,-2.895466805,1
207,321,-0.218318224,-2.693691492,1
207,353,0.6939989328,-2.021737099,1
207,385,1.466183543,-1.066369891,1
207,417,2.141668558,-1.880961776,1
207,449,2.407465935,-1.946604013,1
207,481,3.597594261,-2.287623882,1
207,513,4.321036339,-2.545343637,1
207,545,3.429588795,-1.469017267,1
207,577,3.744793892,-3.158209562,1
207,609,4.111109734,-3.388631105,1
207,641,5.073390484,-2.832333088,1
207,673,6.032738686,-3.143475056,1
207,705,5.778172016,-3.477507591,1
207,737,6.036400795,-3.427330971,1
207,769,6.469567299,-4.062546253,1
207,801,7.324806213,-4.951416016,1
207,833,8.5753088,-2.610169172,1
207,865,9.083328247,-3.350771666,1
207,897,9.633031845,-4.472493172,1
207,929,9.667438507,-4.676298618,1
207,961,9.057089806,-5.197452545,1
207,993,8.178318977,-4.850628853,1
207,1025,8.684873581,-3.903374672,1
207,1057,9.775885582,-4.765144825,1
207,1089,10.87318134,-5.927222252,1
207,1121,12.4425621,-6.792588234,1
207,1153,13.55943871,-7.4608531,1
207,1185,13.18972206,-7.233769417,1
207,1217,11.55442238,-6.311180115,1
207,1249,11.06173134,-5.959405899,1
207,1281,10.82927322,-7.268113613,1
207,1313,10.74158764,-8.773277283,1
207,1345,10.42957211,-9.477022171,1
207,1377,8.879193306,-5.366630077,1
207,1409,9.863211632,-6.724452972,1
207,1441,10.32736874,-8.267326355,1
207,1473,10.34017181,-8.355428696,1
207,1505,10.31725979,-8.552598953,1
207,1537,10.24669266,-8.647738457,1
207,1569,10.49146366,-7.13085556,1
207,1601,9.630836487,-7.016044617,1
207,1633,9.094432831,-7.196716309,1
207,1665,7.313087463,-7.075037003,1
207,1697,4.243442059,-5.204945564,1
207,1729,5.034823418,-6.429255486,1
207,1761,6.660638332,-7.101982117,1
207,1793,6.663240433,-5.580640316,1
207,1825,6.563617229,-5.622620106,1
207,1857,6.403751373,-6.190926552,1
207,1889,5.564564705,-6.114965916,1
207,1921,5.03035593,-5.687049866,1
207,1953,4.382219791,-4.958210468,1
207,1985,-1.696649075,-8.236330986,1
207,2017,4.920384407,-5.533755779,1
239,33,-8.041290283,3.738566637,1
239,65,-0.05082476884,-8.74193573,1
239,97,-0.3700397611,-3.822507381,1
239,129,-0.4144077897,-4.055782318,1
239,161,-0.9223862886,-3.872739792,1
239,193,-1.547101617,-2.771764278,1
239,225,-1.847281218,-2.573120832,1
239,257,-2.822980165,-2.651239634,1
239,289,-2.956537962,-3.102880478,1
239,321,-0.8908706903,-3.29282403,1
239,353,1.145794153,-2.563704014,1
239,385,1.066288948,-1.540868163,1
239,417,1.177306056,-1.17377913,1
239,449,0.8587158918,-1.272720933,1
239,481,2.312830925,-1.64968729,1
239,513,3.430229902,-2.547671795,1
239,545,4.212967873,-1.431987286,1
239,577,5.015202045,-3.191674232,1
239,609,5.543754578,-3.733749151,1
239,641,5.899682999,-2.411285877,1
239,673,4.829683781,-3.157296419,1
239,705,4.689929485,-4.038558006,1
239,737,5.809638023,-3.088591814,1
239,769,5.62701416,-4.298439503,1
239,801,7.829782963,-3.685694218,1
239,833,8.372667313,-1.583235025,1
239,865,9.191560745,-2.95070076,1
239,897,10.68241215,-4.440655708,1
239,929,11.16553688,-4.972574234,1
239,961,10.0129509,-4.613325596,1
239,993,9.553427696,-4.481873989,1
239,1025,10.089324,-3.453583241,1
239,1057,10.30531788,-4.155310154,1
239,1089,11.23429108,-7.072069168,1
239,1121,11.79658985,-8.834562302,1
239,1153,12.53123379,-8.404730797,1
239,1185,12.82089996,-9.222332001,1
239,1217,12.43557167,-8.018807411,1
239,1249,13.08234882,-5.586853981,1
239,1281,13.32701588,-6.575546265,1
239,1313,11.93055344,-9.143209457,1
239,1345,11.57419968,-9.100688934,1
239,1377,10.8162365,-8.753225327,1
239,1409,10.33278751,-9.005480766,1
239,1441,10.32958317,-8.703871727,1
239,1473,10.26899815,-9.073534012,1
239,1505,10.33504868,-9.592917442,1
239,1537,11.15300369,-9.107210159,1
239,1569,10.90484238,-8.493180275,1
239,1601,10.13882351,-8.570961952,1
239,1633,10.54504967,-8.07358551,1
239,1665,7.854453087,-7.982387543,1
239,1697,4.205769062,-7.700932503,1
239,1729,4.054028988,-7.208034515,1
239,1761,5.871213913,-7.773527622,1
239,1793,6.184380054,-6.574951649,1
239,1825,6.724871635,-6.973233223,1
239,1857,6.736982346,-7.387003422,1
239,1889,6.04438448,-6.814960957,1
239,1921,5.627295971,-5.851790905,1
239,1953,5.568302155,-5.26352644,1
239,1985,4.205384731,12.5664196,1
239,2017,4.928143978,-5.291293621,1
271,33,0.4666736126,-5.339848518,1
271,65,0.01037469506,-8.623157501,1
271,97,0.7119858265,-3.694820642,1
271,129,1.059671879,-3.821677685,1
271,161,0.08552402258,-4.247314453,1
271,193,-0.9922432899,-3.60521102,1
271,225,-1.838011026,-3.132234573,1
271,257,-2.000396967,-3.060966253,1
271,289,-1.435305238,-4.213630676,1
271,321,-1.371500611,-4.90323782,1
271,353,-0.3329944313,-3.090782166,1
271,385,0.3156337738,-1.690000534,1
271,417,0.7216286659,-0.7833571434,1
271,449,1.571164131,-0.9978699684,1
271,481,1.943095446,-0.9509460926,1
271,513,3.440749645,-2.822657108,1
271,545,5.463113785,-4.882822037,1
271,577,5.917664051,-4.822458267,1
271,609,6.003754616,-4.593323231,1
271,641,5.626315594,-3.183310747,1
271,673,5.010882378,-2.911459923,1
271,705,5.602455139,-3.195603848,1
271,737,6.706968307,-2.753897905,1
271,769,7.953886032,-3.079721928,1
271,801,8.729204178,-1.706024408,1
271,833,9.105366707,-1.273298979,1
271,865,9.881055832,-2.534481287,1
271,897,11.44036102,-4.268980503,1
271,929,11.10576725,-4.989407539,1
271,961,10.37893295,-3.689639568,1
271,993,11.17077827,-4.096090317,1
271,1025,10.94946289,-5.091102123,1
271,1057,10.55545044,-5.506974697,1
271,1089,11.33023834,-7.777709484,1
271,1121,12.14138699,-9.030977249,1
271,1153,12.72583771,-8.835102081,1
271,1185,13.57805157,-9.260263443,1
271,1217,14.26370525,-7.911164284,1
271,1249,14.53890514,-5.579751492,1
271,1281,13.36606121,-6.605153084,1
271,1313,12.61462402,-8.380609512,1
271,1345,11.98959351,-8.820775032,1
271,1377,11.1037035,-9.705862999,1
271,1409,10.83899212,-10.95331001,1
271,1441,11.39681053,-9.790037155,1
271,1473,10.45141125,-10.1867733,1
271,1505,10.90283775,-10.71049023,1
271,1537,11.35630512,-9.408126831,1
271,1569,11.39527607,-9.67096138,1
271,1601,10.86185646,-10.61601162,1
271,1633,9.633160591,-9.006816864,1
271,1665,7.658010006,-8.884933472,1
271,1697,4.485909462,-9.182761192,1
271,1729,2.956859589,-8.953845978,1
271,1761,4.257564068,-8.698013306,1
271,1793,5.842828751,-8.726363182,1
271,1825,6.56811285,-7.753008842,1
271,1857,7.404580116,-7.384638309,1
271,1889,6.11033535,-7.092727184,1
271,1921,5.367069244,-6.748520851,1
271,1953,5.478134632,-6.716536045,1
271,1985,5.154724121,-6.323439598,1
271,2017,4.406115532,-6.178899288,1
303,33,0.2171726227,0.3130693436,1
303,65,-0.5294376016,-5.880609512,1
303,97,0.8058941364,-3.817429543,1
303,129,0.3594820201,-4.325001717,1
303,161,-0.6525639892,-4.902308941,1
303,193,-1.217197657,-5.088902473,1
303,225,-1.080346584,-3.59367013,1
303,257,-1.214002609,-2.886798382,1
303,289,-0.4046285748,-4.374455452,1
303,321,-0.4828311801,-4.350984573,1
303,353,-0.5510783792,-2.51147747,1
303,385,0.1233218312,-0.2604511976,1
303,417,0.5516370535,-0.3507680893,1
303,449,1.257062435,-0.1760688424,1
303,481,2.305164337,0.09689515829,1
303,513,4.224054337,-2.150092602,1
303,545,5.012322903,-4.27630949,1
303,577,4.600667,-5.218486786,1
303,609,4.346038818,-5.339240074,1
303,641,6.041529655,-2.634847164,1
303,673,6.035176277,-2.412910461,1
303,705,6.409006596,-2.017509937,1
303,737,7.287667751,-2.142259359,1
303,769,9.514375687,-1.940158367,1
303,801,9.60945797,-2.16811204,1
303,833,9.392977715,-2.733010292,1
303,865,10.70658112,-2.765868664,1
303,897,10.9294548,-3.674611807,1
303,929,10.67133999,-3.671748877,1
303,961,11.10638523,-3.378978491,1
303,993,11.85289288,-3.964535713,1
303,1025,11.88188934,-5.517356873,1
303,1057,11.85148048,-7.294186115,1
303,1089,12.40604496,-8.717517853,1
303,1121,12.36024857,-9.392701149,1
303,1153,13.30031586,-9.405452728,1
303,1185,15.13597584,-7.930853844,1
303,1217,15.61283493,-7.462141991,1
303,1249,14.79480362,-7.930072784,1
303,1281,13.82902241,-8.029143333,1
303,1313,13.7201128,-8.885026932,1
303,1345,12.85211086,-9.134896278,1
303,1377,12.02820587,-9.524632454,1
303,1409,11.84401321,-10.62621498,1
303,1441,11.53304291,-11.56840038,1
303,1473,10.86501598,-11.15266037,1
303,1505,11.35895538,-10.75271988,1
303,1537,12.27748871,-9.97042942,1
303,1569,12.16955662,-10.45462704,1
303,1601,10.94250584,-10.96651745,1
303,1633,9.27361393,-10.01704216,1
303,1665,7.311501503,-9.354477882,1
303,1697,4.932705879,-9.364869118,1
303,1729,3.57307291,-9.337652206,1
303,1761,4.580635071,-9.968939781,1
303,1793,5.542474747,-8.801715851,1
303,1825,5.839104176,-7.606164932,1
303,1857,5.807705402,-7.43370533,1
303,1889,5.57515192,-7.411142349,1
303,1921,5.705529213,-7.444599628,1
303,1953,5.683446407,-7.645366669,1
303,1985,4.997660637,-7.252227783,1
303,2017,4.301658154,-6.579717159,1
335,33,-1.290052652,0.4566252232,1
335,65,-0.9462211132,-4.943745136,1
335,97,-0.08044141531,-5.204169273,1
335,129,-0.2973277569,-5.285892487,1
335,161,-0.852712512,-5.337086201,1
335,193,-0.3912145495,-5.799092293,1
335,225,-0.4168426991,-3.798328876,1
335,257,-1.018005252,-2.379648447,1
335,289,-0.9354022741,-3.76173234,1
335,321,-0.8055700064,-3.930405617,1
335,353,0.9873278141,-3.208900928,1
335,385,1.439122438,-1.03262949,1
335,417,1.228963852,-0.2599436641,1
335,449,1.144726038,0.2279313803,1
335,481,2.442869186,0.1162427664,1
335,513,3.737978935,-1.551988482,1
335,545,4.638560772,-3.357057571,1
335,577,5.186164379,-3.242342234,1
335,609,5.634441853,-3.045632601,1
335,641,5.841765404,-2.276440859,1
335,673,5.650911808,-2.209977865,1
335,705,6.869405746,-1.976423264,1
335,737,8.230711937,-2.049391508,1
335,769,9.328378677,-2.10221386,1
335,801,9.135906219,-3.17932415,1
335,833,8.472576141,-3.238592625,1
335,865,12.89867878,-1.857688189,1
335,897,13.02922726,-2.395862818,1
335,929,12.13986015,-3.114111185,1
335,961,12.33831692,-3.549338579,1
335,993,13.15615368,-4.187851429,1
335,1025,13.3307848,-5.118144035,1
335,1057,13.02099419,-7.019359589,1
335,1089,12.99381638,-8.929136276,1
335,1121,12.01794243,-9.967020035,1
335,1153,12.90298653,-9.612322807,1
335,1185,13.36739254,-9.174329758,1
335,1217,14.40349579,-9.79420948,1
335,1249,14.72006893,-9.306269646,1
335,1281,14.49345207,-10.37987518,1
335,1313,15.31400776,-9.580037117,1
335,1345,14.66768265,-9.949865341,1
335,1377,14.09950924,-10.62125778,1
335,1409,13.02600861,-12.01279736,1
335,1441,11.18268967,-13.0191021,1
335,1473,11.21662045,-13.33706665,1
335,1505,11.56241894,-10.90548897,1
335,1537,12.2799263,-10.58776665,1
335,1569,11.50001144,-10.72561264,1
335,1601,10.32001972,-11.05664063,1
335,1633,8.863559723,-10.6250515,1
335,1665,7.394551277,-9.914381981,1
335,1697,5.642807961,-9.355391502,1
335,1729,6.095713615,-9.795810699,1
335,1761,5.891236305,-9.728916168,1
335,1793,5.6907444,-8.636356354,1
335,1825,5.508032799,-8.083418846,1
335,1857,5.053374767,-8.678592682,1
335,1889,4.743267536,-9.099419594,1
335,1921,5.522371769,-8.519452095,1
335,1953,5.413698673,-9.041130066,1
335,1985,5.173303127,-8.852011681,1
335,2017,4.514837265,-6.959477901,1
367,33,-0.8906681538,0.2952442169,1
367,65,-1.225762963,-9.408159256,1
367,97,-0.7982892394,-6.231377602,1
367,129,-0.6331611872,-6.385944366,1
367,161,-0.6158010364,-5.526578903,1
367,193,0.09159362316,-5.059006214,1
367,225,0.01933027804,-4.969569206,1
367,257,0.005113005638,-4.177767754,1
367,289,0.6702443361,-3.092008114,1
367,321,2.025504589,-2.529875278,1
367,353,2.898951054,-2.15840435,1
367,385,3.463756561,-1.571552038,1
367,417,4.085257053,-0.9337072372,1
367,449,2.28392911,-0.6143422723,1
367,481,2.844218254,-0.53719908,1
367,513,3.660981417,-1.235586762,1
367,545,4.551690578,-1.908772588,1
367,577,5.66101408,-1.962743282,1
367,609,6.067609787,-2.571418285,1
367,641,5.893471241,-2.712387323,1
367,673,6.003602505,-2.34269619,1
367,705,7.231927872,-2.25088048,1
367,737,8.660072327,-1.797046661,1
367,769,9.390921593,-1.187001705,1
367,801,9.404074669,-2.748183727,1
367,833,9.360238075,-3.983514547,1
367,865,12.92242908,-2.417649984,1
367,897,14.36515999,-2.198524475,1
367,929,14.02590561,-3.299134493,1
367,961,13.81342793,-4.157801628,1
367,993,14.84425926,-4.824316502,1
367,1025,15.02626896,-5.490375996,1
367,1057,14.23166847,-6.781801701,1
367,1089,13.74692345,-8.538345337,1
367,1121,12.62104416,-9.615474701,1
367,1153,12.79533577,-9.492315292,1
367,1185,13.26660252,-9.081864357,1
367,1217,13.63357162,-10.24515057,1
367,1249,14.47657871,-11.31463623,1
367,1281,15.24033546,-11.5965271,1
367,1313,17.42729568,-10.00564098,1
367,1345,17.65761185,-9.895419121,1
367,1377,16.16854095,-10.5274868,1
367,1409,15.5581913,-11.96080303,1
367,1441,13.3963356,-12.77017498,1
367,1473,12.52203846,-12.65718842,1
367,1505,12.59835815,-11.17695332,1
367,1537,10.64146042,-9.614146233,1
367,1569,-4.660683632,2.51144886,1
367,1601,7.355886459,-13.63370228,1
367,1633,10.0604744,-23.94608879,1
367,1665,24.25219727,-15.95336628,1
367,1697,7.396588802,-10.60252094,1
367,1729,6.966659069,-10.62784767,1
367,1761,6.564583778,-10.31245518,1
367,1793,6.007165909,-9.45770359,1
367,1825,5.351743221,-9.023666382,1
367,1857,5.029072762,-9.106958389,1
367,1889,5.547196865,-9.43748188,1
367,1921,5.98927784,-8.924472809,1
367,1953,5.844932556,-9.325499535,1
367,1985,5.579184055,-9.544854164,1
367,2017,4.661527634,-7.658005238,1
