PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 60, filenames: A:[60]MAX_TimeSrs018_TgUtrmcherry_Controll.avi & B:[61]MAX_TimeSrs018_TgUtrmcherry_Controll.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
175,417,0.9742634892,-1.943585634,1
175,449,0.5777839422,-0.7661721706,1
175,481,0.5411347151,0.06663918495,1
175,513,0.4364329278,-1.452084184,1
175,545,0.2938709855,-1.69651711,1
175,577,-0.06787365675,-1.629198551,1
175,609,-0.8262220621,-1.541910291,1
175,641,-1.147526741,-3.208743334,1
175,673,-0.6541960239,-2.591458082,1
175,705,-1.007926345,-2.913153172,1
175,737,-1.665435791,-3.053783655,1
175,769,-1.815995455,-3.22485733,1
175,801,-2.104786873,-3.039443254,1
175,833,-2.360560656,-3.536018848,1
175,865,-2.298268318,-5.204863548,1
175,897,-3.230220079,-5.416249275,1
175,929,-4.118483543,-3.677082062,1
175,961,-4.095445156,-3.287804842,1
175,993,-3.168344259,-2.79121542,1
175,1025,-3.440768957,-2.150251865,1
175,1057,-4.208208084,-2.503992081,1
175,1089,-3.285586596,-2.993276596,1
175,1121,-3.209297657,-1.34173286,1
175,1153,-2.958971977,0.1899935007,1
175,1185,-2.354107857,0.9249452353,1
175,1217,-2.702522993,0.3773711622,1
175,1249,-3.686547279,1.136989594,1
175,1281,-3.864682436,-0.2083768845,1
175,1313,-3.025163651,-0.6732217073,1
175,1345,-2.938892603,-0.4878894687,1
175,1377,-2.91437912,0.1012684405,1
175,1409,-3.004677773,0.1681841016,1
175,1441,-3.204945564,-0.3289732337,1
175,1473,-5.071810246,-1.602115512,1
175,1505,-3.713831425,-1.180591941,1
175,1537,-2.465955734,-1.630613923,1
175,1569,-1.38925004,-2.662948608,1
175,1601,-0.627274394,-4.35267067,1
175,1633,-0.01021397114,-4.135654926,1
175,1665,0.8023637533,-1.994764209,1
175,1697,1.428191185,-1.871700287,1
175,1729,1.002407193,-1.598001957,1
175,1761,0.6864939332,-1.049269676,1
175,1793,0.6426214576,-0.1388421059,1
175,1825,0.8518593311,-0.1788969338,1
175,1857,3.068107605,0.1930103302,1
175,1889,1.828104138,0.5474805832,1
175,1921,0.8659037352,0.09230536222,1
175,1953,1.249567866,-0.1100840271,1
175,1985,1.113651991,0.1116951406,1
175,2017,0.7034444809,-0.9343128204,1
207,33,-0.2845098972,-0.465611577,1
207,65,-0.2295777202,-4.542268276,1
207,97,0.5904653668,-4.136676788,1
207,129,0.9360221028,-3.900349617,1
207,161,0.9417800903,-4.264364719,1
207,193,0.6877717972,-4.526387215,1
207,225,0.9491119385,-3.719094753,1
207,257,1.511495709,-3.00090313,1
207,289,1.549619555,-2.763525248,1
207,321,1.27494967,-2.544355392,1
207,353,1.200366497,-5.632290363,1
207,385,1.858745813,-4.76484108,1
207,417,1.633083224,-1.677249312,1
207,449,1.101490498,-1.058858156,1
207,481,0.7193083763,-0.895731926,1
207,513,0.6886667609,-1.569048643,1
207,545,0.5138422847,-1.709673047,1
207,577,0.1334010363,-1.559023619,1
207,609,-0.6817620397,-1.382425308,1
207,641,-1.801069736,-2.015311718,1
207,673,-1.022826314,-1.944800138,1
207,705,-0.6932446957,-2.572913408,1
207,737,-1.269191861,-3.16244173,1
207,769,-1.452751637,-2.939135551,1
207,801,-1.325823665,-2.744485617,1
207,833,-1.728134394,-3.014345169,1
207,865,-2.715705872,-3.684314251,1
207,897,-3.816166878,-3.274171829,1
207,929,-3.804461241,-2.566002846,1
207,961,-2.976118803,-2.998979092,1
207,993,-3.362891197,-2.763281345,1
207,1025,-3.303377867,-2.282487154,1
207,1057,-2.994719744,-2.065802574,1
207,1089,-2.823190928,-1.917954922,1
207,1121,-2.805112839,-1.141048193,1
207,1153,-2.616823196,-0.1220346093,1
207,1185,-2.988198519,0.2490668297,1
207,1217,-3.291557312,0.7600551844,1
207,1249,-4.694559097,1.229309916,1
207,1281,-5.343449116,-0.6794528365,1
207,1313,-3.869108438,-0.6622390747,1
207,1345,-3.364207268,0.2602030039,1
207,1377,-3.505751133,0.1971220374,1
207,1409,-3.307529688,-0.3294138014,1
207,1441,-3.139788389,-0.808328867,1
207,1473,-2.568316698,-2.666938305,1
207,1505,-1.787303686,-2.413167953,1
207,1537,-0.7998056412,-0.5510150194,1
207,1569,-0.09304070473,-1.477416158,1
207,1601,-0.4271872044,-3.992844582,1
207,1633,0.2348564863,-5.003594398,1
207,1665,1.825427294,-3.156774998,1
207,1697,1.126988292,-2.557595491,1
207,1729,0.5465705991,-2.084813595,1
207,1761,0.1530870199,-1.601057529,1
207,1793,0.4679983258,-0.8567146659,1
207,1825,0.9389975071,-0.5708460212,1
207,1857,1.600741625,0.002785116434,1
207,1889,1.577008128,0.7088676095,1
207,1921,1.418387175,1.009423852,1
207,1953,1.4688586,0.4909892082,1
207,1985,1.290893078,1.022821665,1
207,2017,0.7295002937,-1.673308611,1
239,33,0.3035119772,1.231889725,1
239,65,1.745241165,-4.424341202,1
239,97,1.527365208,-4.1121521,1
239,129,0.8695338964,-4.029736996,1
239,161,0.3173246384,-4.2580266,1
239,193,0.5923063755,-3.62871623,1
239,225,0.9749537706,-3.054208517,1
239,257,1.714585662,-2.708757401,1
239,289,2.281444788,-1.231544018,1
239,321,2.114670515,-1.111655951,1
239,353,1.741591215,-2.49756217,1
239,385,2.315663338,-2.662542343,1
239,417,1.563997865,-1.863135695,1
239,449,1.076337218,-1.455100298,1
239,481,0.7191037536,-1.505391836,1
239,513,0.7451606989,-2.108720779,1
239,545,0.6582533717,-2.028042793,1
239,577,0.02941170335,-1.93838501,1
239,609,0.1173938066,-1.739536166,1
239,641,-0.4340288341,-0.6608345509,1
239,673,-0.5402163267,-1.476010084,1
239,705,-0.2549877763,-2.481577635,1
239,737,-0.100107342,-3.106382132,1
239,769,-0.2009420395,-3.089518309,1
239,801,-0.3043069839,-2.98513484,1
239,833,-0.7799321413,-2.997730017,1
239,865,-2.214906454,-2.727259636,1
