 ,Area,Mean,Min,Max,Ch,Frame
208,16340.532,8.817,1,157,2,104
209,16340.532,8.727,3,122,1,105
210,16340.532,8.795,1,155,2,105
211,16340.532,8.775,3,134,1,106
212,16340.532,8.763,1,156,2,106
213,16340.532,8.652,3,112,1,107
214,16340.532,8.807,1,147,2,107
215,16340.532,8.696,3,121,1,108
216,16340.532,8.803,1,154,2,108
217,16340.532,8.684,3,123,1,109
218,16340.532,8.795,1,160,2,109
219,16340.532,8.654,3,117,1,110
220,16340.532,8.808,1,153,2,110
221,16340.532,8.621,3,120,1,111
222,16340.532,8.746,1,169,2,111
223,16340.532,8.646,3,126,1,112
224,16340.532,8.749,1,157,2,112
225,16340.532,8.680,3,120,1,113
226,16340.532,8.756,1,151,2,113
227,16340.532,8.633,3,136,1,114
228,16340.532,8.786,1,154,2,114
229,16340.532,8.652,3,136,1,115
230,16340.532,8.812,1,164,2,115
231,16340.532,8.598,3,127,1,116
232,16340.532,8.782,1,157,2,116
233,16340.532,8.603,3,132,1,117
234,16340.532,8.824,1,173,2,117
235,16340.532,8.675,3,151,1,118
236,16340.532,8.727,1,161,2,118
237,16340.532,8.668,3,127,1,119
238,16340.532,8.740,1,172,2,119
239,16340.532,8.654,3,129,1,120
240,16340.532,8.755,1,159,2,120
241,16340.532,8.630,3,142,1,121
242,16340.532,8.816,1,173,2,121
243,16340.532,8.643,3,129,1,122
244,16340.532,8.710,1,173,2,122
245,16340.532,8.651,3,140,1,123
246,16340.532,8.757,1,159,2,123
247,16340.532,8.611,3,129,1,124
248,16340.532,8.729,1,152,2,124
249,16340.532,8.618,3,157,1,125
250,16340.532,8.784,1,169,2,125
251,16340.532,8.589,3,130,1,126
252,16340.532,8.746,1,189,2,126
253,16340.532,8.631,3,144,1,127
254,16340.532,8.722,1,166,2,127
255,16340.532,8.637,3,133,1,128
256,16340.532,8.690,1,171,2,128
257,16340.532,8.621,3,140,1,129
258,16340.532,8.741,1,177,2,129
259,16340.532,8.625,3,145,1,130
260,16340.532,8.727,1,160,2,130
261,16340.532,8.587,3,150,1,131
262,16340.532,8.785,1,170,2,131
263,16340.532,8.626,3,161,1,132
264,16340.532,8.789,1,179,2,132
265,16340.532,8.594,3,136,1,133
266,16340.532,8.756,1,170,2,133
267,16340.532,8.578,3,146,1,134
268,16340.532,8.759,1,160,2,134
269,16340.532,8.562,3,135,1,135
270,16340.532,8.759,1,180,2,135
271,16340.532,8.574,3,141,1,136
272,16340.532,8.788,1,166,2,136
273,16340.532,8.579,3,150,1,137
274,16340.532,8.754,1,173,2,137
275,16340.532,8.564,3,152,1,138
276,16340.532,8.790,1,158,2,138
277,16340.532,8.571,3,167,1,139
278,16340.532,8.682,1,180,2,139
279,16340.532,8.593,3,159,1,140
280,16340.532,8.777,1,170,2,140
281,16340.532,8.610,3,155,1,141
282,16340.532,8.756,1,168,2,141
283,16340.532,8.529,3,165,1,142
284,16340.532,8.703,1,169,2,142
285,16340.532,8.577,3,151,1,143
286,16340.532,8.719,1,152,2,143
287,16340.532,8.620,3,164,1,144
288,16340.532,8.707,1,168,2,144
289,16340.532,8.632,3,158,1,145
290,16340.532,8.755,1,159,2,145
291,16340.532,8.580,3,157,1,146
292,16340.532,8.712,1,165,2,146
293,16340.532,8.566,3,145,1,147
294,16340.532,8.634,1,171,2,147
295,16340.532,8.571,3,151,1,148
296,16340.532,8.737,1,194,2,148
297,16340.532,8.578,3,165,1,149
298,16340.532,8.721,1,189,2,149
299,16340.532,8.582,3,159,1,150
300,16340.532,8.730,1,169,2,150
