PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 1, filenames: A:[1]MAX_TimeSrs025_TgUtrmcherry.avi & B:[2]MAX_TimeSrs025_TgUtrmcherry.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
143,737,-1.205258608,-6.657156944,1
143,769,-0.5502198935,-0.286575079,1
143,801,-0.8236930966,-0.814475894,1
143,833,-0.7753213644,-1.078615069,1
143,865,-1.048198342,-0.4820075035,1
143,897,-1.107166767,-0.05701699853,1
143,929,-1.116214633,-0.1136704683,1
143,961,-0.8954601884,-0.02406948805,1
143,993,-0.7009391189,-0.1313814223,1
143,1025,-0.6022564173,-0.2879912555,1
143,1057,-0.4330828488,-0.1798780113,1
143,1089,-0.2187002301,-0.4500410557,1
143,1121,1.034541011,-0.1244543046,1
143,1153,1.326597214,0.608456254,1
143,1185,1.142202497,0.1659174562,1
143,1217,2.204207897,-0.1716256142,1
143,1249,3.058619976,-1.031415343,1
143,1281,2.648218393,-1.500478029,1
143,1313,2.451829195,-0.9223372936,1
143,1345,2.299331665,-0.5595247746,1
143,1377,1.829235554,-1.015996933,1
143,1409,2.111183882,-1.11353755,1
143,1441,2.741622686,-0.8784786463,1
143,1473,2.947523117,-1.077900171,1
143,1505,3.105599165,-0.6163972616,1
143,1537,2.993090153,-0.8453965187,1
143,1569,2.718657494,-1.137349129,1
143,1601,2.402577639,-1.023006678,1
143,1633,2.19309473,-0.5621058941,1
143,1665,2.17958498,-1.302738667,1
143,1697,1.761651874,-0.6013528705,1
143,1729,1.344370008,0.2024299502,1
143,1761,1.352057219,0.6172473431,1
143,1793,1.350349903,0.9088627696,1
143,1825,1.268502951,1.739306211,1
143,1857,0.9260599613,1.597884893,1
143,1889,0.5123050809,0.8848599792,1
143,1921,-0.04683458805,0.248269856,1
143,1953,-0.156139642,-0.3647652268,1
143,1985,0.1006806791,-0.3408345282,1
143,2017,-0.04100611806,0.1288917065,1
175,33,-2.267331839,0.13016662,1
175,65,-2.772652149,-1.375479698,1
175,97,-2.838311195,-0.608766973,1
175,129,-3.061311722,-0.4941267967,1
175,161,-3.14271903,-0.3598490655,1
175,193,-2.038613796,-0.5354157686,1
175,225,-2.133657694,-0.5394554734,1
175,257,-2.329202414,-0.7851454616,1
175,289,-2.393295288,-0.7522554398,1
175,321,-1.851347446,-0.9868981838,1
175,353,-2.036179066,-1.24014473,1
175,385,-2.300032377,-1.699709296,1
175,417,-2.23208046,-1.204077244,1
175,449,-2.014539719,-1.233365893,1
175,481,-1.553565025,-1.534722567,1
175,513,-1.082708597,-1.323710084,1
175,545,-0.3073166013,-1.255125642,1
175,577,-0.2757105231,-0.9430330992,1
175,609,-0.2712341547,-0.9380412102,1
175,641,-0.5063776374,-1.29165554,1
175,673,-0.8484924436,-1.116951942,1
175,705,-1.545507669,-2.365358591,1
175,737,-0.6391012073,-1.159190536,1
175,769,-0.6777151227,-1.167644739,1
175,801,-2.841972828,-3.405540705,1
175,833,-1.575838804,-4.529297352,1
175,865,-2.148064137,-0.3592764735,1
175,897,-1.805471182,-0.02010780573,1
175,929,-1.692798495,-0.1914780736,1
175,961,-1.181294441,-0.07522875071,1
175,993,-0.8507573605,-0.4207179844,1
175,1025,-0.821967721,-0.1561286151,1
175,1057,-0.5028104782,-0.09094017744,1
175,1089,0.06149372458,-0.1491143852,1
175,1121,1.555793762,0.2850709558,1
175,1153,1.482883096,0.668854773,1
175,1185,0.4076125622,0.108194232,1
175,1217,1.702390432,-0.75011307,1
175,1249,2.41860199,-1.220647097,1
175,1281,2.556172371,-1.243965626,1
175,1313,2.67305398,-0.9583103657,1
175,1345,2.534316778,-0.8924484253,1
175,1377,2.008050442,-1.130877376,1
175,1409,1.099922895,-0.8254202008,1
175,1441,2.130745888,-0.710694015,1
175,1473,3.734905481,-0.6662244201,1
175,1505,1.523356438,-0.05470150709,1
175,1537,1.817622423,-0.7107828856,1
175,1569,1.980918527,-0.4800920486,1
175,1601,1.953003168,-0.2990273833,1
175,1633,1.597062707,-0.7273516059,1
175,1665,1.544794202,-0.8366873264,1
175,1697,1.723679304,-0.264601022,1
175,1729,1.397081733,0.01631005108,1
175,1761,1.186794877,0.4772372544,1
175,1793,1.283374548,0.4498771727,1
175,1825,1.412714958,0.6610420346,1
175,1857,1.208477855,1.01279664,1
175,1889,1.290910006,1.299147606,1
175,1921,0.6363508105,0.9495735168,1
175,1953,0.2374453545,0.6463869214,1
175,1985,0.06110913306,0.1853798628,1
175,2017,-0.2034107447,-0.4250700772,1
207,33,-2.412024975,0.02622789145,1
207,65,-1.27333951,-1.061262846,1
207,97,-0.9147194624,-0.04383780062,1
207,129,-2.040035248,0.0404984951,1
207,161,-1.94516778,0.007215261459,1
207,193,-1.791389465,-0.09071141481,1
207,225,-1.899001598,-0.7663233876,1
207,257,-1.325157881,-1.190708637,1
207,289,-1.377788544,-1.250845075,1
207,321,-2.324217796,-1.290482163,1
207,353,-2.262451172,-1.806316495,1
207,385,-2.200078487,-2.488142252,1
207,417,-1.985885739,-1.490103006,1
207,449,-1.797426581,-1.306489468,1
207,481,-1.621160865,-1.597233415,1
207,513,-1.390405297,-1.638918996,1
207,545,-1.005700588,-1.150017262,1
207,577,-0.5773307085,-0.546410501,1
207,609,-0.5929425955,-0.5518457294,1
207,641,-0.4456506371,-0.8292287588,1
207,673,-0.5425589681,-0.8831512928,1
207,705,-0.8046007156,-1.059401035,1
207,737,-0.4904167652,-0.6737260818,1
207,769,-0.6123071909,-1.387075424,1
207,801,-1.255935907,-2.165819645,1
207,833,-0.3832150698,-1.230722904,1
207,865,-1.289173007,-0.6486012936,1
207,897,-1.395060182,0.03310728073,1
207,929,-1.399421215,-0.291998148,1
207,961,-1.767118335,0.1849533319,1
207,993,-0.9289540052,-0.172834754,1
207,1025,-0.7425202131,-0.1528581083,1
207,1057,-0.2145125568,-0.3766150475,1
207,1089,0.3481698036,-0.4916268587,1
207,1121,0.682851553,0.06475090981,1
207,1153,1.061639309,0.6640007496,1
207,1185,1.177440166,-0.1720318794,1
207,1217,1.35338366,-1.573808432,1
207,1249,2.054101467,-1.386635542,1
207,1281,2.452381134,-1.295666575,1
207,1313,2.31123209,-1.342980623,1
207,1345,2.161825895,-1.155694127,1
207,1377,1.151830316,-0.749866724,1
207,1409,0.6741843224,-1.033551097,1
207,1441,1.182607532,-0.7360846996,1
207,1473,0.7904734612,-0.1689663827,1
207,1505,0.3482449055,-0.03714936972,1
207,1537,0.8086287975,-0.1215298474,1
207,1569,0.8631920815,-0.1267721355,1
207,1601,0.4358580112,-0.673968792,1
207,1633,0.3542044163,-0.9119138718,1
207,1665,0.1131237149,-0.5269418955,1
207,1697,0.2125512362,-0.4297252297,1
207,1729,0.7236667871,-0.1278482676,1
207,1761,0.8301665783,0.0783829689,1
207,1793,0.9980099201,0.04946690798,1
207,1825,1.018101811,-0.07207250595,1
207,1857,0.8659387827,1.023087978,1
207,1889,0.8886404634,1.08786881,1
207,1921,0.5540710688,0.8130185604,1
207,1953,-0.09477648139,0.9456657171,1
207,1985,-0.6654406786,0.8980386853,1
207,2017,-0.3263084888,-1.406193495,1
239,33,-1.288174868,-0.03171452135,1
239,65,-0.9803613424,-0.3471109867,1
239,97,-0.9141354561,0.428006202,1
239,129,-1.684754133,0.5479102135,1
239,161,-1.847503185,-0.03777143359,1
239,193,-1.975212812,-0.9721198082,1
239,225,-2.176468611,-0.9043752551,1
239,257,-1.456005812,-0.8944556713,1
239,289,-1.591587782,-0.688046217,1
239,321,-2.520278692,-1.271438599,1
239,353,-1.705791473,-1.241439819,1
239,385,-2.159082413,-2.101461649,1
239,417,-2.509713173,-2.240840435,1
