PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 4, filenames: A:[4]MAX_TimeSrs025_TgUtrmcherry.avi & B:[5]MAX_TimeSrs025_TgUtrmcherry.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
143,1921,16.11930466,-11.42600632,1
143,1953,14.76788902,-8.702566147,1
143,1985,11.49247456,-6.085077286,1
143,2017,0.6180591583,-1.64677465,1
175,33,-10.30286217,3.158305168,1
175,65,-6.544993877,-3.934695005,1
175,97,-5.547142506,-4.896803856,1
175,129,-5.02340889,-4.859473228,1
175,161,-5.101923466,-5.39825964,1
175,193,-5.058392048,-5.39673233,1
175,225,-5.891266823,-5.716050148,1
175,257,-6.784693241,-5.765415668,1
175,289,-6.887659073,-5.769177437,1
175,321,-6.399074554,-6.055702209,1
175,353,-5.177815437,-4.929636478,1
175,385,-4.366174698,-4.240510464,1
175,417,-3.914386511,-4.207885265,1
175,449,-3.180936575,-3.785242796,1
175,481,-2.615891933,-3.157631397,1
175,513,-2.463946819,-2.563374043,1
175,545,-2.408430099,-1.295923948,1
175,577,-2.672923565,-0.8464512825,1
175,609,-1.614852905,-0.9739216566,1
175,641,-3.584254742,-0.7502407432,1
175,673,-3.47945118,0.9959645271,1
175,705,-3.081742525,1.776038408,1
175,737,-2.145471334,0.8862890005,1
175,769,-1.563524961,-5.292405605,1
175,801,0.1362951994,-2.626215935,1
175,833,3.399816036,8.814212799,1
175,865,5.411380768,9.037146568,1
175,897,7.744325638,10.3196125,1
175,929,11.67880726,11.37360191,1
175,961,14.4668045,10.43826294,1
175,993,15.18969154,6.558161736,1
175,1025,14.30529213,4.093265057,1
175,1057,14.20489502,2.20004344,1
175,1089,12.98840427,-1.079659343,1
175,1121,13.79325485,0.3586544394,1
175,1153,15.05912781,-2.694231033,1
175,1185,16.58771896,-4.840922356,1
175,1217,19.34879684,-2.628316402,1
175,1249,21.74514771,-3.66461134,1
175,1281,23.03578949,-4.521374702,1
175,1313,25.47834778,-6.051373005,1
175,1345,29.13636589,-7.460659981,1
175,1377,27.84878731,-9.738248825,1
175,1409,26.45704842,-9.975147247,1
175,1441,25.39497185,-28.64577484,1
175,1473,25.53458977,-13.01902962,1
175,1505,24.18648529,-12.78301907,1
175,1537,22.07961082,-13.29185963,1
175,1569,24.27070618,-33.26379395,1
175,1601,20.69118881,-15.99678326,1
175,1633,18.77139854,-14.60785866,1
175,1665,18.94748688,-14.56324196,1
175,1697,14.34362698,-13.68220234,1
175,1729,13.36368847,-14.74259472,1
175,1761,12.42056751,-15.78777313,1
175,1793,12.08405113,-14.92402077,1
175,1825,11.97897339,-11.9875164,1
175,1857,10.19268036,-9.849713326,1
175,1889,-4.143072128,-17.27359962,1
175,1921,10.98339462,-10.13801098,1
175,1953,11.30405331,-9.901711464,1
175,1985,11.41705418,-8.460504532,1
175,2017,0.4226036072,-2.601161242,1
207,33,-9.412222862,6.42459631,1
207,65,-9.326202393,-18.64709473,1
207,97,-5.21286869,-4.374712944,1
207,129,-4.380247116,-5.513661385,1
207,161,-5.035051346,-5.772089005,1
207,193,-5.381594181,-5.527651787,1
207,225,-5.904742718,-5.628791332,1
207,257,-6.074809074,-5.939356327,1
207,289,-5.859452248,-7.553168774,1
207,321,-5.61490202,-8.343146324,1
207,353,-4.80193615,-5.379194736,1
207,385,-4.147837639,-3.70027256,1
207,417,-3.527559757,-3.492060423,1
207,449,-2.903532743,-3.234190702,1
207,481,-2.2436409,-3.21928072,1
207,513,-2.636614561,-3.913855553,1
207,545,-2.58708024,-2.842744827,1
207,577,-2.634514093,-1.581558466,1
207,609,-3.135927677,-2.033865213,1
207,641,-4.429101944,-1.296842933,1
207,673,-4.502365112,-0.0693063736,1
207,705,-2.713147163,0.8118407726,1
207,737,-0.4827506542,0.08307313919,1
207,769,-2.248260021,7.695652485,1
207,801,0.6699846983,6.040103912,1
207,833,3.686323404,7.87647438,1
207,865,7.94805336,8.612052917,1
207,897,8.681399345,10.67469692,1
207,929,10.83414364,10.97638893,1
207,961,15.84045219,12.90414429,1
207,993,15.3235302,9.07069397,1
207,1025,14.66958046,3.866273165,1
207,1057,13.49266624,2.20063591,1
207,1089,14.6909008,1.059249401,1
207,1121,15.45779133,-0.03610824049,1
207,1153,16.89442444,-2.103571892,1
207,1185,18.91323471,-3.185268164,1
207,1217,19.0276947,-4.343054771,1
207,1249,21.78779984,-6.255056381,1
207,1281,23.90449524,-6.14615345,1
207,1313,27.22042847,-7.106276035,1
207,1345,21.93626404,-27.53068161,1
207,1377,28.43856049,-13.56513405,1
207,1409,27.65227699,-15.13329697,1
207,1441,25.26017952,-14.74126911,1
207,1473,26.77165604,-13.95450401,1
207,1505,24.79648209,-14.43431473,1
207,1537,20.43778419,-14.10584068,1
207,1569,19.21694946,-14.47073174,1
207,1601,21.42538643,-17.9323101,1
207,1633,18.10439301,-15.07693577,1
207,1665,13.48420525,-20.64300919,1
207,1697,14.50702286,-14.03027248,1
207,1729,13.61437511,-14.70070457,1
207,1761,11.97902584,-15.59170151,1
207,1793,10.74764156,-14.13345432,1
207,1825,11.57149315,-12.49132347,1
207,1857,10.68126297,-10.59902573,1
207,1889,9.890572548,-8.871436119,1
207,1921,8.845345497,-8.998221397,1
207,1953,8.434663773,-8.992824554,1
207,1985,4.510263443,-25.76749992,1
207,2017,0.1924581528,-2.945129871,1
239,33,-26.46748924,6.877410889,1
239,65,-0.1659698486,-7.147842407,1
239,97,-4.485462666,-5.173242569,1
239,129,-4.083848953,-5.895319939,1
239,161,-4.318986893,-5.728054047,1
239,193,-5.610660553,-6.139327526,1
239,225,-6.352704048,-5.567496777,1
239,257,-4.585474014,-5.107409477,1
239,289,-3.058092117,-6.500931263,1
239,321,-3.059774876,-7.38719368,1
239,353,-1.416101456,-4.67756319,1
239,385,-3.604078531,-4.965123177,1
239,417,-3.244509459,-3.989058018,1
239,449,-1.992826939,-2.751199007,1
239,481,-1.431402445,-3.129703999,1
239,513,-1.947708607,-3.839365482,1
239,545,-1.720272422,-3.102974892,1
239,577,-1.907864928,-1.921292305,1
239,609,-2.556956768,-2.372961998,1
239,641,-2.914676189,-2.082138777,1
239,673,-5.344081879,-0.6088331938,1
239,705,-0.9095209837,-0.2450191081,1
239,737,-0.5046008825,-0.09131538868,1
239,769,-1.894494891,6.734228134,1
239,801,15.52792358,1.865177155,1
239,833,5.417345047,9.650774002,1
239,865,8.009983063,10.47047043,1
239,897,10.33689976,9.034169197,1
239,929,9.060886383,9.172982216,1
239,961,7.85459137,6.548387051,1
239,993,7.428411484,4.863875866,1
239,1025,10.99637127,4.719727993,1
239,1057,14.02276802,2.579984188,1
239,1089,19.50219727,1.259467244,1
239,1121,16.90246391,-0.2014691681,1
239,1153,18.99829292,-0.8100569248,1
239,1185,19.28265953,-0.2755043507,1
239,1217,21.87306595,-4.556489468,1
239,1249,24.95637131,-7.823670387,1
239,1281,26.95303726,-8.074961662,1
239,1313,29.57018471,-8.511335373,1
239,1345,28.66432762,-10.61321163,1
239,1377,27.97503853,-14.54951,1
239,1409,26.28721046,-17.12664795,1
239,1441,25.20516968,-16.58504868,1
239,1473,25.39986038,-16.2591362,1
239,1505,22.24145508,-15.70296764,1
239,1537,18.29249382,-14.81266499,1
239,1569,18.55809212,-14.89171314,1
239,1601,18.18035698,-14.77085304,1
239,1633,17.40887833,-14.6621809,1
239,1665,16.51991653,-13.6447916,1
239,1697,14.95746136,-13.41594124,1
239,1729,13.48499584,-13.59334469,1
