PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 1, filenames: A:[1]MAX_TgUtrmcherry_TimeSrs002324_Control.avi & B:[2]MAX_TgUtrmcherry_TimeSrs002324_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
79,1505,0.04820501804,3.178944111,1
79,1537,-0.34088099,6.474266052,1
79,1569,-0.3635752201,6.893687248,1
79,1601,0.04291686416,7.239204407,1
79,1633,-0.4414775968,7.509103298,1
79,1665,-1.409023523,7.886518478,1
79,1697,-1.732248068,8.203957558,1
79,1729,-1.403684378,7.953600883,1
79,1761,-1.103085279,7.891905785,1
79,1793,-0.5246118903,7.289095879,1
79,1825,-0.6157512069,7.682816505,1
79,1857,-0.6962504983,6.893809319,1
79,1889,-0.4524220824,6.217089176,1
79,1921,-0.8294485807,6.281521797,1
79,1953,-0.7606689334,3.143855095,1
79,1985,0.007246464491,-0.4678005278,1
79,2017,0.8234713674,-6.377314091,1
111,33,0.07106244564,0.6738634109,1
111,65,-0.1455672234,0.6627050638,1
111,97,-0.4136815667,0.5078657269,1
111,129,-0.5198382139,1.062325001,1
111,161,-0.6386793852,1.141514301,1
111,193,-0.8536186218,0.6216312647,1
111,225,-0.5607387424,2.558238506,1
111,257,-0.7126963139,3.918296814,1
111,289,-0.5302829146,3.060521841,1
111,321,-0.5517738461,2.482913971,1
111,353,-0.6789444685,2.94724679,1
111,385,-0.8204621673,2.688719988,1
111,417,-0.7356899381,2.139891386,1
111,449,-1.105054379,3.581909418,1
111,481,-0.6141332388,4.408226013,1
111,513,0.1575746536,4.739997387,1
111,545,-0.665702641,4.716580391,1
111,577,-0.444062531,5.083195686,1
111,609,-0.2058995962,5.246644497,1
111,641,0.2979767323,7.042691231,1
111,673,0.2998633981,7.089054108,1
111,705,-0.009093880653,6.541356564,1
111,737,-1.083037376,5.894408226,1
111,769,-2.081141472,6.495299339,1
111,801,-1.562937737,6.744217396,1
111,833,-0.9987928867,6.738209724,1
