PIVlab, ASCII chart output - 12-Oct-2024
FRAME: 9, filenames: A:[9]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi & B:[10]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
79,897,-3.777089119,-5.65600872,1
79,929,-3.942008257,-6.504449844,1
79,961,-3.598838806,-7.4472332,1
79,993,-3.556792259,-7.146063805,1
79,1025,-4.067065239,-6.4396348,1
79,1057,-3.997197151,-6.817976475,1
79,1089,-2.623428345,-6.678416729,1
79,1121,-1.036795616,-5.634763241,1
79,1153,-0.4443362355,-4.360694885,1
79,1185,-0.9798618555,-4.316902161,1
79,1217,-1.004594803,-4.035567284,1
79,1249,-0.5619536042,-5.248116016,1
79,1281,1.266987443,-7.106940746,1
79,1313,1.69165504,-6.926006317,1
79,1345,0.7296284437,-6.54613924,1
79,1377,0.3167765141,-7.650008202,1
79,1409,1.220197439,-8.009534836,1
79,1441,1.098684549,-7.731158257,1
79,1473,1.586773992,-8.032706261,1
79,1505,1.695443153,-8.241705894,1
79,1537,1.272606373,-7.796085835,1
79,1569,1.058041334,-7.019591331,1
79,1601,0.3270881176,-7.297852516,1
79,1633,-0.2045194507,-7.129137039,1
79,1665,-0.06441521645,-5.484982014,1
79,1697,-0.1199799478,-4.767177105,1
79,1729,-0.5370488167,-5.354553223,1
79,1761,-0.9227437973,-6.667968273,1
79,1793,-1.848868847,-7.068210125,1
79,1825,-2.074275017,-6.935501575,1
79,1857,-1.963785887,-5.468869209,1
79,1889,-3.808105707,-5.11590147,1
79,1921,-1.656432867,-6.37931776,1
79,1953,-0.6900066137,-7.192358017,1
79,1985,-1.7348032,-4.118862152,1
79,2017,-2.773756742,-2.414879322,1
111,33,-25.00115013,0.4020757675,1
111,65,-11.02031517,-9.715583801,1
111,97,-9.084630013,-8.093416214,1
111,129,-10.04961205,-7.33265686,1
111,161,-10.42718697,-6.498267174,1
111,193,-10.38284206,-7.165788174,1
111,225,-9.272871017,-6.793011189,1
111,257,-7.244555473,-6.58229351,1
111,289,-7.076762676,-6.66184473,1
111,321,-6.917939186,-6.431663513,1
111,353,-6.44203186,-6.021606445,1
111,385,-5.970252037,-6.391325474,1
111,417,-5.929184914,-6.362846375,1
111,449,-6.44862175,-6.492451191,1
111,481,-6.878276825,-6.720294476,1
111,513,-6.40320015,-6.652785778,1
111,545,-5.906383514,-6.592103958,1
111,577,-6.083574295,-7.171854496,1
111,609,-6.198773384,-7.671785355,1
111,641,-5.791932106,-7.745488167,1
111,673,-4.685510635,-7.188913345,1
111,705,-4.311899662,-6.835124016,1
111,737,-4.712927818,-6.57063055,1
111,769,-5.766434669,-6.635909081,1
111,801,-4.924738884,-6.402960777,1
111,833,-4.320432186,-5.799805164,1
111,865,-3.973160744,-5.638545036,1
111,897,-4.593715668,-4.12267065,1
111,929,-3.482872009,-6.575208664,1
111,961,-2.697661638,-8.532737732,1
111,993,-2.354549885,-7.78541851,1
111,1025,-2.354555607,-6.891179562,1
111,1057,-2.364797831,-7.125076294,1
111,1089,-1.905171037,-7.558277607,1
111,1121,-0.4888773263,-7.694626808,1
111,1153,0.6073904037,-6.083436012,1
111,1185,0.4545466304,-5.449383259,1
111,1217,0.6737635732,-5.219826698,1
111,1249,1.35937798,-6.125161171,1
111,1281,2.238293886,-8.199420929,1
111,1313,1.73751092,-7.286614895,1
111,1345,1.445229888,-6.84641552,1
111,1377,1.357253551,-5.294514656,1
111,1409,1.16590488,-7.752485275,1
111,1441,1.156660318,-8.38302803,1
111,1473,1.743624568,-7.635284901,1
111,1505,1.715463281,-8.158261299,1
111,1537,1.836624861,-8.291683197,1
111,1569,1.960860133,-8.179680824,1
111,1601,1.020935893,-8.884385109,1
111,1633,0.4492483139,-8.449904442,1
111,1665,0.7999272346,-6.206608295,1
111,1697,0.5284094214,-6.013892174,1
111,1729,0.04144084454,-6.876394272,1
111,1761,-0.7694458961,-7.694062233,1
111,1793,-1.374808192,-7.900960445,1
111,1825,-1.941490889,-7.890459538,1
111,1857,-3.053583145,-6.801165581,1
111,1889,-4.663508415,-5.577021599,1
111,1921,-1.905021906,-5.545489311,1
111,1953,-1.334435701,-5.829235077,1
111,1985,-2.203899384,-4.097761154,1
111,2017,-2.345553875,-5.136205673,1
143,33,8.236206055,0.4490833282,1
143,65,-10.234972,-9.471006393,1
143,97,-9.573647499,-7.609438896,1
143,129,-9.077077866,-7.414814949,1
143,161,-8.346792221,-6.819326878,1
143,193,-7.958215714,-6.294661999,1
143,225,-7.691601276,-6.765899658,1
143,257,-6.88838768,-7.17851305,1
143,289,-7.005005836,-6.862911701,1
143,321,-6.983026028,-6.520170212,1
143,353,-6.765636921,-6.27361536,1
143,385,-6.625997066,-6.152529716,1
143,417,-6.270672321,-6.510795116,1
143,449,-6.706459045,-7.167405128,1
143,481,-7.895846844,-7.332940578,1
143,513,-5.980184555,-5.777573109,1
143,545,-5.137862206,-5.652632713,1
143,577,-5.34048605,-7.218409538,1
143,609,-5.331855774,-7.959370136,1
143,641,-6.027497292,-7.155373573,1
143,673,-5.319103718,-5.751021385,1
143,705,-5.080859184,-5.921691895,1
143,737,-4.92957449,-5.871769428,1
143,769,-4.743287563,-6.474385738,1
143,801,-4.596538544,-6.583192825,1
143,833,-4.318284035,-6.22475338,1
143,865,-4.677402496,-6.398697376,1
143,897,-5.182835579,-6.692848206,1
143,929,-3.262934208,-7.109058857,1
143,961,-2.094700575,-7.929921627,1
143,993,-1.606006503,-7.252800941,1
143,1025,-0.7288422585,-6.922860622,1
143,1057,-0.6826802492,-7.038571835,1
143,1089,-1.322087526,-7.825803757,1
143,1121,0.08056724072,-7.454220772,1
143,1153,1.328165174,-6.138232708,1
143,1185,1.772395372,-6.282217503,1
143,1217,2.624713182,-5.959040642,1
143,1249,3.663109064,-5.655173302,1
143,1281,3.172767162,-7.127770901,1
143,1313,1.679101586,-7.321049213,1
143,1345,1.167410016,-7.132535934,1
143,1377,1.190636992,-6.437579155,1
143,1409,1.187466383,-7.480050564,1
143,1441,0.7060142756,-8.119504929,1
143,1473,0.3573696613,-7.257108688,1
143,1505,1.089779973,-7.288621902,1
143,1537,1.971774101,-8.12919426,1
143,1569,1.78375423,-10.02722549,1
143,1601,1.141124845,-10.56361294,1
143,1633,1.865715981,-9.488804817,1
143,1665,1.910853267,-8.117781639,1
143,1697,0.8182229996,-7.515744686,1
143,1729,-0.6182593703,-7.925343513,1
143,1761,-1.572744608,-8.78233242,1
143,1793,-1.997909307,-8.6612854,1
143,1825,-2.409583092,-8.012020111,1
143,1857,-3.556494951,-7.467969894,1
143,1889,-4.428514481,-6.215076923,1
143,1921,-3.184401512,-5.098847866,1
143,1953,-2.673625946,-5.181285381,1
143,1985,-3.377343178,-5.194281578,1
143,2017,-2.880461216,-6.500047684,1
175,33,-25.89340782,-0.5729980469,1
175,65,-7.870250702,-9.10482502,1
175,97,-8.013372421,-8.35057354,1
175,129,-6.697118759,-7.134062767,1
175,161,-6.825932026,-5.941355228,1
175,193,-7.672183514,-5.189310074,1
175,225,-7.227897644,-6.184872627,1
175,257,-6.006219387,-7.382827282,1
175,289,-6.369228363,-7.028366566,1
175,321,-6.409770012,-6.01827383,1
175,353,-6.326903343,-6.010317802,1
175,385,-6.583349228,-5.700883865,1
175,417,-6.655448437,-6.555401325,1
175,449,-6.4822402,-7.226644993,1
175,481,-5.585522175,-6.786605358,1
175,513,-4.691030025,-5.978108406,1
175,545,-3.39053154,-5.75475359,1
175,577,-3.483905315,-5.952086926,1
175,609,-4.3194561,-5.876337528,1
175,641,-4.580283165,-5.82783556,1
175,673,-4.647843838,-5.354699612,1
175,705,-4.963150024,-6.209565163,1
175,737,-5.229681492,-5.596011162,1
175,769,-4.390791416,-6.732222557,1
175,801,-4.341263294,-7.262486935,1
175,833,-4.306209087,-6.713920593,1
175,865,-4.922688961,-6.446487427,1
175,897,-4.771548271,-6.766170502,1
175,929,-3.045986891,-6.953660488,1
175,961,-1.625322342,-6.751974583,1
175,993,-0.739243865,-6.594769478,1
175,1025,0.06592190266,-7.143681049,1
175,1057,0.9427549839,-7.842081547,1
175,1089,0.1891345978,-8.542831421,1
175,1121,0.4331991673,-8.724111557,1
175,1153,1.546296597,-7.066599369,1
175,1185,2.543124914,-6.233969688,1
175,1217,2.804406881,-5.675930023,1
175,1249,2.844204664,-5.418541431,1
175,1281,2.934309244,-6.211535454,1
175,1313,1.968579054,-7.032027245,1
175,1345,1.093283892,-7.124177933,1
175,1377,0.8322683573,-6.971453667,1
175,1409,1.502585173,-7.552872181,1
175,1441,1.585595608,-7.917416573,1
175,1473,0.3132126331,-7.495544434,1
175,1505,0.4277889729,-8.144320488,1
175,1537,1.646020174,-9.641204834,1
175,1569,1.760001063,-11.34730911,1
175,1601,1.415163875,-10.12930489,1
175,1633,1.447172403,-10.08422375,1
175,1665,1.25848937,-10.30574322,1
175,1697,0.4094405174,-8.465376854,1
175,1729,-0.8952789307,-8.162320137,1
175,1761,-1.731306195,-9.093877792,1
175,1793,-2.201636314,-9.027139664,1
175,1825,-2.077186108,-8.40629673,1
175,1857,-2.249262094,-8.230607033,1
175,1889,-3.430187225,-7.612647057,1
175,1921,-3.659998178,-7.219038486,1
175,1953,-3.004432917,-7.194979191,1
175,1985,-2.138382912,-6.695463657,1
175,2017,-2.200828552,-6.683996677,1
207,33,-7.55105114,-8.927493095,1
207,65,-7.109743118,-10.28108788,1
207,97,-7.125658989,-8.74691391,1
207,129,-6.198417187,-6.883167267,1
207,161,-6.427604198,-6.441273212,1
207,193,-7.380680561,-5.523307323,1
207,225,-7.310232162,-6.330691338,1
207,257,-6.842730522,-8.163361549,1
207,289,-6.266896725,-7.49078846,1
207,321,-6.190834999,-6.762467861,1
207,353,-6.381819248,-6.123901367,1
207,385,-6.494900227,-5.244544983,1
207,417,-6.641671658,-6.538193226,1
207,449,-6.241900444,-7.117646694,1
207,481,-5.361569881,-6.44897747,1
207,513,-5.018208027,-5.540987015,1
207,545,-2.479247093,-5.445782185,1
207,577,-2.923801899,-5.923037529,1
207,609,-4.128756046,-5.788272858,1
207,641,-4.330901623,-6.320984364,1
207,673,-4.602611542,-6.585538864,1
207,705,-4.526654243,-6.568853378,1
207,737,-5.078093052,-6.54787159,1
207,769,-5.058867455,-7.108767033,1
207,801,-4.668424129,-7.107429028,1
207,833,-4.13272953,-6.914481163,1
207,865,-3.739800692,-6.766905308,1
207,897,-3.326086044,-6.574926376,1
207,929,-2.835813046,-6.394192696,1
207,961,-2.29440093,-6.854743004,1
207,993,-1.340406775,-6.856722832,1
207,1025,-0.5168219805,-6.671453953,1
207,1057,1.057058215,-7.68498373,1
207,1089,0.646340549,-9.882967949,1
207,1121,0.9817568064,-10.68683624,1
207,1153,2.339147091,-7.597623825,1
207,1185,3.511353731,-5.926101685,1
207,1217,3.98732686,-6.146718502,1
207,1249,2.978123665,-6.065713882,1
207,1281,2.196904659,-6.187518597,1
207,1313,2.477513075,-6.230853558,1
207,1345,2.998306751,-6.45181942,1
207,1377,2.50312376,-7.269438267,1
207,1409,2.253979206,-8.362784386,1
207,1441,2.138338566,-8.842263222,1
207,1473,1.974578381,-8.624902725,1
207,1505,1.733607769,-8.836669922,1
207,1537,1.637220383,-10.89640713,1
207,1569,2.278739452,-10.45051003,1
207,1601,1.982465386,-10.17682743,1
207,1633,0.8945055008,-10.13718319,1
207,1665,0.9202195406,-10.00280285,1
207,1697,0.3181971312,-9.101849556,1
207,1729,-0.2708860636,-8.575097084,1
207,1761,-0.3456864953,-9.002839088,1
207,1793,-1.411213756,-9.433428764,1
207,1825,-2.273422956,-8.985170364,1
207,1857,-2.861388922,-8.669462204,1
207,1889,-3.52923131,-8.486848831,1
207,1921,-3.527667522,-9.161249161,1
207,1953,-2.303029299,-9.11410141,1
207,1985,-1.862703443,-8.110469818,1
207,2017,-2.904475451,-6.365008354,1
239,33,-11.19766903,-30.4132309,1
239,65,-6.448114395,-10.89276409,1
239,97,-6.062628269,-9.50919342,1
239,129,-6.64530468,-8.921007156,1
239,161,-6.958205223,-8.2242136,1
239,193,-6.814627171,-7.845142365,1
239,225,-6.934185982,-8.503705025,1
239,257,-6.670738697,-8.601682663,1
239,289,-5.66573,-8.977376938,1
239,321,-5.825768471,-7.965811253,1
239,353,-6.446316242,-6.194791317,1
239,385,-6.889175892,-6.120670319,1
239,417,-7.056567192,-7.318397045,1
239,449,-5.860598087,-7.279465199,1
239,481,-5.196064949,-6.985040188,1
239,513,-5.669197083,-5.892571926,1
239,545,-5.359257221,-6.030085087,1
239,577,-5.574227333,-6.357858181,1
239,609,-4.834330082,-6.509423733,1
239,641,-4.868703365,-6.448009014,1
239,673,-4.93269825,-7.06922102,1
239,705,-4.604435444,-7.013842106,1
239,737,-5.092278957,-7.251909256,1
239,769,-4.815972805,-6.851984978,1
239,801,-4.563478947,-6.674847603,1
239,833,-4.322581768,-6.975445271,1
239,865,-3.050902605,-6.875381947,1
239,897,-2.108612061,-6.770176888,1
239,929,-1.35049963,-6.154610157,1
239,961,-0.4856538773,-6.797297001,1
239,993,-0.5489989519,-6.987649918,1
239,1025,-1.317038059,-5.517604351,1
239,1057,-0.7967379093,-7.691078186,1
239,1089,-1.361416101,-9.361001968,1
239,1121,0.2837582827,-9.364494324,1
239,1153,2.726559162,-7.478595257,1
239,1185,3.688214302,-6.253083706,1
239,1217,4.878745556,-7.025588989,1
239,1249,4.111442089,-6.734659195,1
239,1281,2.472650051,-6.735551357,1
239,1313,2.837456942,-6.418698311,1
239,1345,3.519136667,-6.389342785,1
239,1377,4.24356842,-6.614156246,1
239,1409,3.65686655,-9.265472412,1
239,1441,2.720945835,-10.32658672,1
239,1473,2.56051898,-9.308010101,1
239,1505,2.972582817,-8.738724709,1
239,1537,2.671259403,-9.89040184,1
239,1569,2.08433032,-10.27785778,1
239,1601,1.626027465,-10.94157505,1
239,1633,1.314266443,-10.45403004,1
239,1665,1.15643239,-9.480529785,1
239,1697,0.7209489346,-9.472210884,1
239,1729,-0.09366680682,-9.223278046,1
239,1761,-0.5769502521,-9.914148331,1
239,1793,-0.9804073572,-9.571678162,1
239,1825,-2.591761827,-8.465003967,1
239,1857,-2.985611916,-7.91166687,1
239,1889,-1.194522142,-8.335736275,1
239,1921,-1.087517619,-8.765610695,1
239,1953,-1.225490093,-9.364871025,1
239,1985,-1.482012033,-9.602235794,1
239,2017,-3.009654045,-6.499797821,1
271,33,-7.513587952,-10.54746342,1
271,65,-6.043128014,-10.89441299,1
271,97,-5.169561386,-10.75229263,1
271,129,-6.221321106,-10.76556015,1
271,161,-7.006212711,-9.56111145,1
271,193,-7.249909401,-8.994524002,1
271,225,-7.423171997,-8.980940819,1
271,257,-6.671457767,-8.204701424,1
271,289,-6.608839989,-9.332612038,1
271,321,-6.804046631,-9.851278305,1
271,353,-6.885643005,-6.189676285,1
271,385,-7.275682449,-7.709706306,1
271,417,-6.917948723,-7.969908714,1
271,449,-5.941401482,-8.136880875,1
271,481,-5.459089279,-8.207699776,1
271,513,-5.602264404,-8.180181503,1
271,545,-5.403934479,-7.584867477,1
271,577,-5.577856541,-7.437581062,1
271,609,-5.203850746,-7.791190624,1
271,641,-4.953884602,-6.838537216,1
271,673,-4.710859776,-7.072091579,1
271,705,-4.670292377,-7.807179928,1
271,737,-5.323218346,-6.985731602,1
271,769,-4.611680984,-6.854906082,1
271,801,-4.04419136,-6.572286129,1
271,833,-3.882425785,-6.632312775,1
271,865,-2.775032759,-7.157442093,1
271,897,-1.478198051,-6.899603367,1
271,929,-0.0993013382,-6.683422565,1
271,961,0.9447759986,-6.764007568,1
271,993,0.7444308996,-6.641707897,1
271,1025,-0.3545201421,-7.140743256,1
271,1057,-2.162669897,-8.04903698,1
271,1089,-2.286123753,-9.264890671,1
271,1121,-0.4468963146,-8.253622055,1
271,1153,2.644031048,-7.396026134,1
271,1185,5.380088806,-6.898705482,1
271,1217,6.875224113,-8.181905746,1
271,1249,6.188484669,-8.102170944,1
271,1281,4.057616234,-7.595355034,1
271,1313,3.247379065,-7.453097343,1
271,1345,3.060356617,-6.605613232,1
271,1377,3.658085585,-5.989346504,1
271,1409,3.632069826,-8.171022415,1
271,1441,3.577666283,-9.756951332,1
271,1473,3.186565161,-9.021034241,1
271,1505,3.796713114,-9.041406631,1
271,1537,4.256459713,-9.929795265,1
271,1569,2.828965902,-10.76339626,1
271,1601,1.994173288,-11.30713177,1
271,1633,1.450502038,-11.1577673,1
271,1665,1.144701719,-10.27167606,1
271,1697,0.739154458,-9.406276703,1
271,1729,-0.09332278371,-9.667617798,1
271,1761,-2.103896141,-10.79046154,1
271,1793,-1.730217099,-9.352013588,1
271,1825,-1.792490363,-7.959022522,1
271,1857,-1.595764279,-7.358383179,1
271,1889,-0.7121562958,-7.532495499,1
271,1921,-0.5635477304,-7.916101456,1
271,1953,-0.7162228823,-8.900635719,1
271,1985,-0.5507740974,-9.692840576,1
271,2017,-1.258543015,-6.678356171,1
303,33,-0.1687517166,8.249238968,1
303,65,-5.858775616,-10.7022047,1
303,97,-4.993162632,-11.54779243,1
303,129,-6.201905251,-11.26548862,1
303,161,-7.130036354,-10.56643867,1
303,193,-7.781250477,-10.26119328,1
303,225,-7.65024662,-9.476649284,1
303,257,-7.299659252,-9.249680519,1
303,289,-7.748165607,-9.377608299,1
303,321,-7.388483524,-8.719881058,1
303,353,-7.67381525,-8.48169899,1
303,385,-7.993452549,-9.2498312,1
303,417,-6.588692665,-9.108118057,1
303,449,-6.092135906,-8.792075157,1
303,481,-6.134007931,-8.552968025,1
303,513,-5.472696781,-9.136260033,1
303,545,-5.167916298,-9.486073494,1
303,577,-4.348670959,-26.61211205,1
303,609,-4.34799242,-9.360239029,1
303,641,-4.658421993,-7.264433861,1
303,673,-5.052452564,-6.775268078,1
303,705,-4.498906136,-6.747320652,1
303,737,-4.652979374,-6.354010582,1
303,769,-4.248420238,-6.527973652,1
303,801,-3.657504797,-6.371487141,1
303,833,-3.567329884,-6.376456738,1
303,865,-2.375849009,-6.873868942,1
303,897,-0.7552464008,-6.3363657,1
303,929,0.8049668074,-6.636787415,1
303,961,0.5708788633,-6.770462513,1
303,993,0.4154087007,-7.01954174,1
303,1025,-0.1284379661,-7.381901264,1
303,1057,-1.489737034,-8.00936985,1
303,1089,-0.9431565404,-9.421253204,1
303,1121,0.5279054642,-8.001031876,1
303,1153,2.611529112,-6.762441635,1
303,1185,5.495119095,-6.06475687,1
303,1217,5.672524452,-6.955744743,1
303,1249,3.783421993,-7.796870232,1
303,1281,3.81281805,-7.973492622,1
303,1313,3.312251091,-8.07321167,1
303,1345,3.091990948,-6.800120831,1
303,1377,3.296172857,-6.728482246,1
303,1409,3.338332653,-8.348648071,1
303,1441,3.628600121,-8.788354874,1
303,1473,3.687020063,-8.16607666,1
303,1505,4.387228489,-8.669471741,1
303,1537,5.775299072,-10.19312191,1
303,1569,4.616541862,-11.07212639,1
303,1601,3.114745617,-11.57685661,1
303,1633,2.057961702,-11.34132767,1
303,1665,1.506287575,-10.4323988,1
303,1697,1.031050205,-9.608734131,1
303,1729,0.01475900412,-10.04416752,1
303,1761,-0.9078740478,-10.38483238,1
303,1793,-1.498692513,-9.735656738,1
303,1825,-1.551910043,-8.329554558,1
303,1857,-1.183597803,-7.653375149,1
303,1889,-0.9078769088,-6.760644913,1
303,1921,-0.5115696788,-6.896659851,1
303,1953,-0.178419143,-8.865599632,1
303,1985,-0.04673933983,-8.590269089,1
303,2017,-0.9478412867,-6.442542076,1
335,33,-4.485401154,1.443754196,1
335,65,-22.05771828,-15.56156826,1
335,97,-6.019864082,-10.1781683,1
335,129,-7.48907423,-10.39343834,1
335,161,-7.914358139,-10.91749954,1
335,193,-6.58373785,-11.177845,1
335,225,-6.339725018,-11.84424973,1
335,257,-6.236229897,-10.43341255,1
335,289,-6.835974693,-10.14345169,1
335,321,-8.384302139,-8.67111969,1
335,353,-10.21479797,-7.066423416,1
335,385,-8.16594696,-8.450451851,1
335,417,-6.132318497,-9.584133148,1
335,449,-6.095828533,-8.807325363,1
335,481,-5.936220646,-8.449617386,1
335,513,-3.783890247,-10.8833952,1
335,545,-4.031666756,-10.31289291,1
335,577,-5.371908665,-8.899482727,1
335,609,-4.018231392,-9.317927361,1
335,641,-3.903089046,-6.799263,1
335,673,-4.704010963,-6.229216576,1
335,705,-4.421643257,-5.72602129,1
335,737,-3.961977005,-5.720472336,1
335,769,-3.468554735,-6.214271545,1
335,801,-3.106829166,-6.15939045,1
335,833,-2.562140226,-6.699233055,1
335,865,-1.288448334,-6.364976883,1
335,897,-0.2818856239,-5.286637306,1
335,929,0.8187850714,-6.55715847,1
335,961,0.375651747,-6.900091171,1
335,993,-0.03502419591,-7.591994286,1
335,1025,-0.4228416085,-7.277336121,1
335,1057,-0.7525519133,-8.023004532,1
335,1089,-0.3988656998,-9.249207497,1
335,1121,1.255426168,-7.730055332,1
335,1153,3.736532211,-7.0128479,1
335,1185,4.968317032,-6.874966621,1
335,1217,1.99538517,-7.243207932,1
335,1249,2.281585217,-7.444401264,1
335,1281,3.240156174,-7.883131981,1
335,1313,3.120154142,-8.471973419,1
335,1345,2.518354416,-8.413769722,1
335,1377,2.928544521,-8.483926773,1
335,1409,2.86404562,-9.238359451,1
335,1441,4.062160492,-8.411649704,1
335,1473,4.127910137,-8.382305145,1
335,1505,4.705974579,-8.812634468,1
335,1537,5.453810215,-9.845627785,1
335,1569,5.22371912,-10.68550873,1
335,1601,3.763461113,-11.31540489,1
335,1633,2.338153124,-10.97042847,1
335,1665,1.569481492,-10.14520168,1
335,1697,0.9431637526,-10.26808453,1
335,1729,0.4486231804,-10.37705421,1
335,1761,-0.04727247357,-10.64175987,1
335,1793,-0.8395967484,-10.07228947,1
335,1825,-1.577061176,-8.500873566,1
335,1857,-1.201230049,-8.129669189,1
335,1889,-0.5569717288,-7.235494614,1
335,1921,-0.08539897203,-8.239051819,1
335,1953,0.006428420544,-9.528264999,1
335,1985,-0.294220984,-8.709324837,1
335,2017,-1.18591547,-6.28026247,1
367,33,12.58550549,3.174143314,1
367,65,-0.6253738403,-6.610525608,1
367,97,-6.887146473,-8.724281311,1
367,129,-8.215653419,-10.60944748,1
367,161,-7.966412544,-11.59283257,1
367,193,-7.266259193,-11.21102619,1
367,225,-7.304451942,-12.47491837,1
367,257,-4.776637077,-10.96991444,1
367,289,-6.88625288,-10.73613739,1
367,321,-7.573066235,-9.11382103,1
367,353,-8.143672943,-8.005072594,1
367,385,-6.951315403,-8.407723427,1
367,417,-6.334353447,-8.692295074,1
367,449,-6.915335178,-8.450288773,1
367,481,-6.252344131,-9.217438698,1
367,513,-5.672237873,-9.985907555,1
367,545,-4.838932037,-9.548940659,1
367,577,-4.840682983,-8.735793114,1
367,609,-4.752432823,-8.238946915,1
367,641,-4.16506815,-7.186356544,1
367,673,-4.142335415,-6.324705601,1
367,705,-5.130043983,-5.10842514,1
367,737,-4.157497406,-6.050435066,1
367,769,-2.849702835,-6.301032066,1
367,801,-2.174549103,-6.096067905,1
367,833,-1.646766186,-6.233952045,1
367,865,-0.7251859903,-5.984583855,1
367,897,0.05816143751,-6.735789776,1
367,929,0.4862647951,-7.501403809,1
367,961,0.01756200939,-8.080741882,1
367,993,-0.4413948059,-8.579265594,1
367,1025,-1.183087111,-8.174863815,1
367,1057,-0.4002254307,-8.60958004,1
367,1089,0.7063250542,-8.700932503,1
367,1121,2.00454092,-7.48484087,1
367,1153,3.568737984,-7.715492249,1
367,1185,3.762256384,-8.083012581,1
367,1217,2.475876331,-7.926288128,1
367,1249,2.14131856,-8.148365021,1
367,1281,4.40785408,-8.603883743,1
367,1313,4.670810699,-8.924248695,1
367,1345,5.315227509,-8.681118965,1
367,1377,5.728487968,-7.521830559,1
