 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
33,307.672,287.891,306.534,104.667,68.412,20.412,19.192,133.430,22.372,245,81,139.399,19.413
34,518.185,287.891,347.003,108.222,90.008,30.053,21.953,106.150,31.499,279,78,105.642,21.870
35,484.326,287.891,208.687,112.135,86.160,28.521,21.621,47.307,28.840,161,98,22.249,21.848
36,350.364,287.891,328.959,112.522,83.855,31.812,14.023,119.449,32.669,266,81,121.329,15.932
37,527.018,287.891,284.138,118.318,93.561,27.511,24.391,47.449,31.639,226,107,57.529,25.479
38,428.386,287.891,140.704,122.646,92.434,32.026,17.031,92.817,34.318,113,115,81.870,17.798
39,681.590,287.891,457.130,127.296,110.009,35.168,24.677,99.104,39.072,373,87,115.769,26.922
40,335.643,287.891,180.804,118.223,74.443,24.116,17.721,112.955,25.738,147,88,98.130,18.103
41,272.342,287.891,435.273,116.304,63.143,20.676,16.771,127.344,21.873,353,89,123.690,17.159
42,356.252,287.891,229.812,121.561,75.276,23.756,19.094,29.777,26.248,179,104,33.690,20.626
43,655.092,287.891,394.307,128.795,100.841,29.957,27.843,88.257,32.307,316,96,124.287,26.693
44,622.705,287.891,365.462,130.244,99.714,30.516,25.982,75.134,33.646,297,121,64.359,27.906
45,568.237,287.891,481.850,131.408,94.567,31.269,23.138,109.663,32.669,393,96,105.068,24.146
46,426.914,287.891,311.644,127.531,82.728,28.896,18.811,8.912,30.430,245,108,4.574,19.568
47,448.996,287.891,166.213,134.385,84.027,27.546,20.753,116.120,29.346,136,98,97.125,20.808
48,731.642,287.891,425.177,135.633,110.304,35.639,26.139,145.595,38.368,340,100,145.305,25.722
49,503.464,287.891,198.124,139.378,89.591,27.563,23.257,70.816,29.521,161,104,99.462,23.283
50,634.482,287.891,507.190,141.173,100.719,32.025,25.226,138.768,34.253,410,104,112.932,24.229
51,585.902,287.891,343.391,149.255,106.578,36.690,20.332,79.252,39.297,278,140,81.119,23.229
52,509.352,287.891,216.660,147.578,94.861,34.195,18.965,51.224,35.436,170,135,51.953,20.505
53,580.014,287.891,281.872,146.093,97.582,33.471,22.064,26.155,37.219,217,125,19.026,23.947
54,516.713,287.891,148.209,150.943,92.312,30.170,21.806,65.385,33.842,117,138,75.466,22.306
55,354.780,287.891,116.319,146.440,74.149,22.738,19.867,157.294,24.175,87,117,162.474,21.112
56,368.029,287.891,323.148,147.213,77.286,23.468,19.967,94.424,25.013,267,132,75.964,21.404
57,256.148,287.891,239.733,149.732,63.143,20.578,15.849,20.186,22.306,189,129,22.380,16.556
58,585.902,287.891,469.197,155.934,96.699,32.075,23.258,128.310,35.436,374,120,141.953,24.057
59,164.877,287.891,301.984,151.512,50.715,16.950,12.385,34.789,17.499,242,129,33.690,13.429
60,532.906,287.891,379.594,156.889,89.713,27.541,24.637,28.848,29.220,306,139,41.634,24.960
61,407.776,287.891,181.994,157.789,78.291,24.462,21.225,137.301,26.135,140,126,158.199,22.057
62,503.464,287.891,443.056,158.635,86.870,27.675,23.163,150.432,29.546,353,129,160.821,23.556
63,665.397,287.891,408.678,162.248,98.587,30.057,28.187,60.829,31.755,335,147,83.418,28.267
64,596.207,287.891,496.673,162.222,97.998,32.575,23.304,141.613,34.489,401,122,129.289,24.017
