PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 2, filenames: A:[2]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi & B:[3]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
148,163,0.5339389443,1.306465745,1
148,179,0.4199094772,0.9305144548,1
148,195,0.6372005343,0.3089687824,1
148,211,NaN,NaN,2
148,227,NaN,NaN,2
148,243,NaN,NaN,2
148,259,NaN,NaN,2
148,275,NaN,NaN,2
148,291,-0.8133862615,-0.04132820666,1
148,307,-0.3422282338,0.06156167388,1
148,323,-0.05168220401,0.2041080147,1
148,339,NaN,NaN,2
148,355,-0.95608145,0.8376336694,1
148,371,-0.8498196602,0.8227442503,1
148,387,-0.1915826201,0.8114272952,1
148,403,0.1337354928,0.7171403766,1
164,19,0.2423068285,3.25867939,1
164,35,0.1579712778,2.888834953,1
164,51,0.2450079173,2.816472054,1
164,67,0.3879855871,3.024548531,1
164,83,0.395404458,3.274744272,1
164,99,0.523724556,3.344967604,1
164,115,1.005664825,3.10607934,1
164,131,1.015388131,2.579584122,1
164,147,0.2261414528,1.987410069,1
164,163,-0.1757782698,1.3577981,1
164,179,-0.08524405956,0.993786931,1
164,195,2.410340786,-2.109224319,1
164,211,-0.01733905077,0.02123531699,1
164,227,NaN,NaN,2
164,243,NaN,NaN,2
164,259,NaN,NaN,2
164,275,-0.666841507,0.05372153968,1
164,291,-0.7245128155,0.132752493,1
164,307,-0.005244523287,0.1412904859,1
164,323,0.242814377,0.1792499423,1
164,339,0.2581059337,0.2343438715,1
164,355,-0.2391404212,0.4490176141,1
164,371,-0.4139345586,1.063787222,1
164,387,-0.1218172312,0.9832959175,1
164,403,0.01094555855,0.2632263005,1
180,19,0.2580439746,2.91546607,1
180,35,0.6714398861,2.514953375,1
180,51,0.5440520644,2.547589779,1
180,67,0.3701563179,2.74255681,1
180,83,0.4478367865,3.123407364,1
180,99,0.3770193458,3.099613428,1
180,115,0.5536190271,2.818231583,1
180,131,0.707927227,2.334553003,1
180,147,0.670674026,1.73166585,1
180,163,0.3692723513,1.143189549,1
180,179,1.49506855,0.7635040283,1
180,195,1.893669009,-0.3458392024,1
180,211,0.05649662018,0.2501709461,1
180,227,-1.397584558,-0.4816863537,1
180,243,0.5185475349,-0.3919668794,1
180,259,NaN,NaN,2
180,275,-0.5248485804,0.03358373791,1
180,291,-0.5598659515,0.07328277081,1
180,307,-0.1448783129,0.02818468958,1
180,323,0.09840884805,-0.1663937569,1
180,339,0.2132975608,0.06258224696,1
180,355,-0.02584388852,0.6450741887,1
180,371,-0.3097497821,1.461241961,1
180,387,-0.2838510871,1.324175119,1
180,403,-0.1655869484,-0.8758382797,1
196,19,0.780335784,2.785042286,1
196,35,0.9408727884,2.455672503,1
196,51,0.7784501314,2.465433121,1
196,67,0.5908687115,2.591366529,1
196,83,0.4631168842,2.682315588,1
196,99,0.3338588476,2.361779213,1
196,115,0.6570611,2.324648142,1
196,131,0.9943203926,2.083691597,1
196,147,1.056287169,1.670937181,1
196,163,1.129985571,1.360242724,1
196,179,1.39965415,1.121113777,1
196,195,1.355837107,0.5529702306,1
196,211,0.2063724995,0.1097505987,1
196,227,-0.2165246606,-0.07991056144,1
196,243,-0.0003513470292,-0.2420609742,1
196,259,0.04293720797,-0.1110200584,1
196,275,-0.3146904111,0.01940628327,1
196,291,NaN,NaN,2
196,307,NaN,NaN,2
196,323,NaN,NaN,2
196,339,-0.08469863236,-0.672470808,1
196,355,NaN,NaN,2
196,371,NaN,NaN,2
196,387,0.313534677,0.8353970647,1
196,403,0.2059141397,-0.2031311691,1
212,19,0.843377471,3.033253193,1
212,35,0.8293378949,2.777159214,1
212,51,0.7330926657,2.623736858,1
212,67,0.7320104241,2.689337254,1
212,83,0.7651766539,2.603918076,1
212,99,0.7433888912,2.338359833,1
212,115,1.068637371,2.589394808,1
212,131,1.357647061,1.970915675,1
212,147,1.414841652,1.494767785,1
212,163,1.343258858,1.327857256,1
212,179,1.574427843,1.076218605,1
212,195,1.846243262,0.8528147936,1
212,211,0.08401185274,0.1084058285,1
212,227,0.04687494785,0.3327686489,1
212,243,0.02975611761,0.05533640087,1
212,259,0.1020408273,-0.04759108275,1
212,275,0.01485288888,-0.009166568518,1
212,291,NaN,NaN,2
212,307,NaN,NaN,2
212,323,NaN,NaN,2
212,339,NaN,NaN,2
212,355,NaN,NaN,2
212,371,0.6815935373,0.5558947325,1
212,387,0.5689267516,-0.02331063151,1
212,403,0.3662666678,0.05697936565,1
228,19,0.6710833907,3.413212776,1
228,35,1.193004251,3.363222837,1
228,51,0.7204887867,3.255245686,1
228,67,0.9452992082,2.947820902,1
228,83,1.642573595,2.776959658,1
228,99,1.558521032,2.381627083,1
228,115,1.070540786,2.737845898,1
228,131,1.279279709,2.11204648,1
228,147,1.61445117,1.649874926,1
228,163,1.443722248,1.231988311,1
228,179,1.733236074,0.8424669504,1
228,195,1.784503579,0.6507174373,1
228,211,0.5338816643,0.1353843212,1
228,227,0.3933709264,-0.06939505041,1
228,243,0.2319076955,-0.1415673941,1
228,259,0.2544125915,-0.04839419574,1
228,275,-0.08305422217,0.1323646903,1
228,291,-0.07921078801,0.2416128814,1
228,307,-0.3831624687,1.407874703,1
228,323,NaN,NaN,2
228,339,-0.4452853799,-0.3450392485,1
228,355,-0.3899297714,-0.3648694158,1
228,371,-0.008311212063,-0.2023331523,1
228,387,0.1390939355,0.05920034647,1
228,403,0.006568223238,0.1342153251,1
244,19,NaN,NaN,2
244,35,NaN,NaN,2
244,51,1.284149647,3.273603201,1
244,67,1.298369408,2.927884817,1
244,83,1.702439904,2.590724707,1
244,99,1.355080247,2.206333637,1
244,115,1.088994741,2.389232159,1
244,131,1.43933332,2.164746761,1
244,147,1.537037373,1.857258677,1
244,163,1.263588905,1.51390779,1
244,179,1.403032541,0.7157595158,1
244,195,1.32916832,0.1338143349,1
