PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 9, filenames: A:[9]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi & B:[10]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
52,387,NaN,NaN,2
52,403,0.2792589664,-0.1366276592,1
68,19,-0.406100899,0.4337542057,1
68,35,-0.3128241897,0.6822065711,1
68,51,-0.3214232028,0.9323833585,1
68,67,-0.2083448768,0.8175182343,1
68,83,-0.1758077443,0.6891256571,1
68,99,-0.1317151934,0.3936982155,1
68,115,0.03316396475,-0.03469368815,1
68,131,0.1010904014,-0.6225514412,1
68,147,0.01699441671,-1.306339741,1
68,163,0.1527848244,-0.9924144745,1
68,179,0.2650384903,-0.5833169222,1
68,195,-0.3113951385,0.1757108271,1
68,211,-0.2174906135,0.2647940516,1
68,227,-0.2045050263,0.01985288411,1
68,243,NaN,NaN,2
68,259,NaN,NaN,2
68,275,0.9470536113,0.1653611064,1
68,291,0.8988195658,-0.1350026429,1
68,307,0.5617041588,-0.3504199982,1
68,323,0.5335693359,-0.0331170857,1
68,339,0.5180085897,-0.2695900202,1
68,355,NaN,NaN,2
68,371,NaN,NaN,2
68,387,NaN,NaN,2
68,403,0.1433475763,-0.5835003257,1
84,19,-0.6912902594,0.815020442,1
84,35,-0.7793213129,0.7973173261,1
84,51,-0.4208193123,0.7655300498,1
84,67,-0.09412956238,0.8662899733,1
84,83,-0.1934623122,0.7305422425,1
84,99,-0.07607478648,0.3678923547,1
84,115,0.1425874233,-0.04215342551,1
84,131,0.237703532,-0.6627193689,1
84,147,0.2441080958,-1.104467392,1
84,163,1.230311751,-2.086499929,1
84,179,0.1994414777,-0.6925879121,1
84,195,0.2357583791,-0.1443459988,1
84,211,0.07404718548,-0.09672391415,1
84,227,0.04898117483,0.08167262375,1
84,243,0.1998504698,0.2841432691,1
84,259,0.01312346756,0.3523522019,1
84,275,0.3801484406,0.9020503759,1
84,291,0.8886815906,0.06836006045,1
84,307,NaN,NaN,2
84,323,NaN,NaN,2
84,339,NaN,NaN,2
84,355,NaN,NaN,2
84,371,NaN,NaN,2
84,387,-0.342594862,-0.1055836082,1
84,403,-0.1432516575,-0.4758621156,1
100,19,-0.8279185295,1.059691072,1
100,35,-1.105522275,0.9762200117,1
100,51,-0.5866938233,0.914827466,1
100,67,-0.1511349678,0.7723478675,1
100,83,-0.2546966374,0.4567487836,1
100,99,-0.2658806741,0.2175944448,1
100,115,-0.003770567477,-0.2468500733,1
100,131,0.2395432144,-0.7920018435,1
100,147,0.4028447866,-1.08107698,1
100,163,0.6930672526,-1.269314408,1
100,179,-0.01150465012,-0.8576928973,1
100,195,0.06056652963,-0.5819278955,1
100,211,NaN,NaN,2
100,227,NaN,NaN,2
100,243,NaN,NaN,2
100,259,-0.1698147953,-0.08144313097,1
100,275,NaN,NaN,2
100,291,NaN,NaN,2
100,307,NaN,NaN,2
100,323,0.07943071425,0.6501172781,1
100,339,-0.08051273227,0.8188678622,1
100,355,NaN,NaN,2
100,371,NaN,NaN,2
100,387,-0.5180300474,-0.003987297416,1
100,403,-0.2641175389,-0.0522583127,1
116,19,-0.3471679091,1.094111443,1
116,35,-0.09281820059,1.04800117,1
116,51,-0.1008873656,0.8393909931,1
116,67,-0.048029311,0.7003833652,1
116,83,-0.1777296364,0.6315153837,1
116,99,-0.2361289114,0.3688816428,1
116,115,0.1032552123,-0.3833777308,1
116,131,0.4748640358,-0.8706452847,1
116,147,0.4124171436,-0.9460044503,1
116,163,0.2277562022,-0.854686141,1
116,179,0.3135898113,-0.9490560293,1
116,195,NaN,NaN,2
116,211,NaN,NaN,2
116,227,NaN,NaN,2
116,243,NaN,NaN,2
116,259,0.04609949514,0.09276266396,1
116,275,0.06474600732,0.4951575994,1
116,291,NaN,NaN,2
116,307,0.07104958594,-0.2208415866,1
116,323,-0.001578167081,0.4984979331,1
116,339,NaN,NaN,2
116,355,0.5006248355,-0.0425651446,1
116,371,NaN,NaN,2
116,387,NaN,NaN,2
116,403,NaN,NaN,2
132,19,-0.198417902,0.9081481695,1
132,35,-0.01571573317,0.9490466118,1
132,51,0.2330701202,0.6086696982,1
132,67,0.3038924336,0.6056322455,1
132,83,0.1835385561,0.7483757138,1
132,99,0.1843175888,0.5564869046,1
132,115,0.5184832215,0.04786975682,1
132,131,0.8459867239,-0.1947416812,1
132,147,0.7870067358,-0.6826817989,1
132,163,0.5187749863,-0.7640227675,1
132,179,0.3573646247,-0.8507868052,1
132,195,0.980730772,-2.033446789,1
132,211,NaN,NaN,2
132,227,2.113136053,-0.4164904654,1
132,243,-0.5993818641,2.647974491,1
132,259,0.2454093695,0.003868579865,1
132,275,0.06807167828,-0.1559071243,1
132,291,-0.2274769247,-0.3932512701,1
132,307,-0.1311938912,0.2399175018,1
132,323,0.06172539294,0.3365065455,1
132,339,-0.05307757854,-0.06748796254,1
132,355,0.1937598139,0.08770346642,1
132,371,NaN,NaN,2
132,387,1.100342155,0.1445354223,1
132,403,0.6386932731,0.4334028363,1
148,19,-0.3463869989,0.6632637382,1
148,35,-0.2101393044,0.8514006734,1
148,51,0.1987177581,0.7874103785,1
148,67,0.2949502766,0.6362437606,1
148,83,0.3117370009,0.5665425658,1
148,99,0.3023785949,0.4339524209,1
148,115,0.2846525013,0.2058734,1
148,131,0.5151888728,0.1842956841,1
148,147,0.7381602526,-0.1155780107,1
148,163,0.5743723512,-0.4184008241,1
148,179,0.5183297396,-0.5016251802,1
148,195,0.7953488231,-1.980166316,1
148,211,1.297378302,-2.258923769,1
148,227,0.01097123325,-0.05541461706,1
148,243,-0.06437879801,-0.2811401784,1
148,259,NaN,NaN,2
148,275,-0.005072779953,-0.9100450277,1
148,291,-0.2618541718,-0.1487978399,1
148,307,-0.2184507847,0.2883805037,1
148,323,0.4992498755,0.3627600074,1
148,339,0.3732149899,-0.09034204483,1
148,355,NaN,NaN,2
148,371,NaN,NaN,2
148,387,NaN,NaN,2
148,403,NaN,NaN,2
164,19,-0.1925017238,0.6455127001,1
164,35,-0.8138400912,0.6521155834,1
164,51,-0.4239200652,0.9277381897,1
164,67,0.1736961752,0.9244553447,1
164,83,0.5338294506,0.5737653375,1
164,99,0.4282615185,0.3103383183,1
164,115,0.1854744703,0.2065548301,1
164,131,0.205725491,0.4305886626,1
164,147,0.302295059,0.2063888758,1
164,163,0.2631631196,-0.3181709051,1
164,179,0.2490875125,-0.45513767,1
164,195,NaN,NaN,2
164,211,0.09362022579,-0.08235308528,1
164,227,-0.009506881237,-0.09163175523,1
164,243,0.09559981525,-0.622774601,1
164,259,0.2266468704,-0.9061251283,1
164,275,NaN,NaN,2
164,291,NaN,NaN,2
164,307,-0.1986542493,0.03049940616,1
164,323,-0.006579384208,0.07289052755,1
164,339,NaN,NaN,2
164,355,-0.2736504376,0.2829341888,1
164,371,0.1013530791,0.1610625386,1
164,387,NaN,NaN,2
164,403,NaN,NaN,2
180,19,-0.3437734246,0.6625242233,1
180,35,-0.5893847942,0.6803177595,1
180,51,-0.5542020798,1.019892573,1
180,67,-0.0617615208,1.256147265,1
180,83,0.3548727632,0.6928928494,1
180,99,0.4229897261,0.3943638206,1
180,115,0.08750797808,0.372184366,1
180,131,0.2504398525,0.5490851998,1
180,147,0.5395308733,0.2341142595,1
180,163,-0.0255702734,-0.2594271004,1
180,179,-0.3470920622,-0.4442839324,1
180,195,-0.01948835328,-0.4522665143,1
180,211,0.04290286824,-0.2750120163,1
180,227,-0.3594583571,0.03199389577,1
180,243,-0.432400018,-0.2388122976,1
180,259,NaN,NaN,2
180,275,-0.1819342673,-0.4675662816,1
180,291,NaN,NaN,2
180,307,NaN,NaN,2
180,323,-0.3627474606,-0.02681903169,1
180,339,-0.537260294,-0.4568725824,1
180,355,-0.394502908,0.2058843076,1
180,371,NaN,NaN,2
180,387,-0.120153144,-0.004198111594,1
180,403,0.1878051758,0.7693479061,1
196,19,0.04867942631,0.5896727443,1
196,35,-0.1354110539,0.7786720395,1
196,51,-0.2302411199,1.082553387,1
196,67,-0.1652916968,1.305211782,1
196,83,0.01455025375,0.80191046,1
196,99,0.05181227624,0.6091875434,1
196,115,0.01657266915,0.5066349506,1
196,131,0.5551646948,0.0670260489,1
196,147,0.8253653049,-0.2949147224,1
196,163,0.3943676949,-0.3345974088,1
196,179,-0.05472153425,-0.3637184501,1
196,195,-0.03473190963,-0.8215028644,1
196,211,-0.2866307497,-0.168882668,1
196,227,-0.3889495432,0.2543016374,1
196,243,NaN,NaN,2
196,259,-0.3203229308,-0.5244725943,1
196,275,-0.5879962444,-0.07838562131,1
196,291,NaN,NaN,2
196,307,NaN,NaN,2
196,323,NaN,NaN,2
196,339,-0.6270296574,-1.184683323,1
196,355,NaN,NaN,2
196,371,NaN,NaN,2
196,387,-0.03756858408,0.2041987926,1
196,403,0.1449875832,0.3879014552,1
212,19,0.06068208069,0.7914592028,1
212,35,0.1134994626,0.8041195869,1
212,51,0.1924165636,0.8211807013,1
212,67,0.08220238239,1.222423911,1
212,83,0.01657387614,1.041572809,1
212,99,0.1374816149,0.6479928493,1
212,115,0.4243397117,0.170411706,1
212,131,0.9839317203,-0.3531747162,1
212,147,1.174610138,-0.5272384882,1
212,163,0.8290809989,-0.6962783933,1
212,179,0.4408169985,-0.8897388577,1
212,195,0.2822521925,-1.117323399,1
212,211,-0.5304351449,-0.5127817392,1
212,227,-0.3457530439,-0.2211833745,1
212,243,-0.8249676228,-0.1864780188,1
212,259,NaN,NaN,2
212,275,NaN,NaN,2
212,291,NaN,NaN,2
212,307,-0.3106031418,-0.2551606894,1
212,323,-0.3079202771,-0.3526089787,1
212,339,-0.6629570723,-0.3777691722,1
212,355,NaN,NaN,2
212,371,NaN,NaN,2
212,387,-0.04798238724,0.1249188185,1
212,403,0.1979123354,-0.05311074853,1
228,19,-0.3763678074,1.273228288,1
228,35,-0.09592244774,0.9984648228,1
228,51,0.4121797085,0.7564409375,1
228,67,0.3505297899,0.7657372952,1
228,83,0.1942105591,0.7453904152,1
228,99,0.2799951732,0.4583191872,1
228,115,0.7460493445,-0.2431548536,1
228,131,1.303843617,-0.7220588923,1
228,147,1.576439977,-0.9095025063,1
228,163,1.198216319,-1.108491063,1
228,179,1.045897126,-1.261848927,1
228,195,1.079549551,-1.160984039,1
228,211,0.4509712458,-0.7161144018,1
228,227,-0.06312432885,-0.3819146156,1
228,243,-0.7599365711,-0.1287489086,1
228,259,NaN,NaN,2
228,275,NaN,NaN,2
228,291,NaN,NaN,2
228,307,-0.09219014645,-0.2778859138,1
228,323,-0.5099634528,-0.2388962805,1
228,339,-0.810126245,-0.3545829952,1
228,355,-0.6049800515,-0.06918288767,1
228,371,NaN,NaN,2
228,387,0.02148298919,0.1175659299,1
228,403,0.4266450107,0.2782820165,1
244,19,-0.2921186686,1.136005521,1
244,35,-1.28906858,1.266713858,1
244,51,NaN,NaN,2
244,67,-0.1650907993,0.5067015886,1
244,83,0.3266670108,0.5723104477,1
244,99,0.6468185186,0.4448462427,1
244,115,0.9271377921,-0.4920682311,1
244,131,1.092689037,-0.8846516013,1
244,147,1.314446211,-1.129241467,1
244,163,1.643111706,-1.269546509,1
244,179,1.445007563,-1.452869892,1
244,195,1.266870618,-1.390428424,1
244,211,0.7054365873,-0.5489428043,1
244,227,NaN,NaN,2
244,243,NaN,NaN,2
244,259,-0.4055215716,-0.2218266726,1
244,275,NaN,NaN,2
244,291,NaN,NaN,2
244,307,-0.3152486384,-0.06052660942,1
244,323,-0.5015726089,-0.05808195472,1
244,339,-0.4437279403,-0.4144292772,1
244,355,NaN,NaN,2
244,371,NaN,NaN,2
244,387,NaN,NaN,2
244,403,0.9218574166,0.5796288252,1
260,19,-0.1605110168,0.8160318136,1
260,35,-0.07465863228,0.6388334036,1
260,51,-1.319090128,1.90275991,1
260,67,0.1306729615,0.6442126036,1
260,83,0.4825428128,0.6511452198,1
260,99,0.6771985292,0.5195541978,1
260,115,0.6907750368,-0.4842513204,1
260,131,0.8652313352,-0.8625570536,1
260,147,1.051010609,-0.9836914539,1
260,163,1.183801174,-1.154863238,1
260,179,1.158803463,-1.588956594,1
260,195,0.8695647717,-1.835578561,1
260,211,0.5712860823,-0.8804833293,1
260,227,NaN,NaN,2
260,243,-0.6031199694,0.4211334884,1
260,259,0.6854892969,-0.7850872874,1
260,275,0.5515086055,-1.3580724,1
260,291,-0.5860077143,-0.5855887532,1
260,307,-0.4697436094,-0.1534527391,1
260,323,-0.2077235579,-0.02841594815,1
260,339,NaN,NaN,2
260,355,NaN,NaN,2
260,371,NaN,NaN,2
260,387,-0.6222646236,-0.002998143435,1
260,403,-0.1866737902,0.5292323828,1
276,19,-0.3590478301,0.6398991942,1
276,35,-0.1872052252,0.6264745593,1
276,51,-0.5179152489,0.4656536281,1
276,67,0.2687425017,0.5065850616,1
276,83,0.5071718693,0.4745445848,1
276,99,0.4746400118,0.3138059974,1
276,115,0.3784854412,-0.2173095196,1
276,131,0.6294944286,-0.6964710951,1
276,147,0.9098444581,-0.8757603168,1
276,163,1.05680275,-0.9800230265,1
276,179,1.067106009,-1.62108767,1
276,195,0.7853877544,-1.93106401,1
276,211,0.5530052185,-0.9591713548,1
276,227,-0.1007059589,0.005513042212,1
276,243,-0.2986949384,0.2834758162,1
276,259,0.06556717306,-0.3203667402,1
276,275,-0.004645384848,-0.5171365142,1
276,291,NaN,NaN,2
276,307,-0.1071121916,-0.02353456616,1
276,323,NaN,NaN,2
276,339,NaN,NaN,2
276,355,0.2330607772,-0.2215635628,1
276,371,0.185136348,-0.1484384984,1
276,387,-0.04957237095,-0.2620236278,1
276,403,-0.3857214451,0.1870054305,1
292,19,-1.047233462,0.7847750187,1
292,35,-0.7323623896,0.6714319587,1
292,51,-0.2709861696,0.6236104965,1
292,67,0.1305684149,0.4055332243,1
292,83,0.3392512202,0.3183682859,1
292,99,0.4390625954,0.023642838,1
292,115,0.4470622838,-0.2336148769,1
292,131,0.4135807753,-0.6507281065,1
292,147,0.6951820254,-0.8975487351,1
292,163,0.7445097566,-1.168478251,1
292,179,0.503533721,-1.899021864,1
292,195,1.256086588,-1.920644403,1
292,211,NaN,NaN,2
292,227,NaN,NaN,2
292,243,5.748122931e-05,0.1324626207,1
292,259,0.1622844934,-0.2157301307,1
292,275,0.05659893155,-0.178937763,1
292,291,NaN,NaN,2
292,307,0.1223175824,0.2451793998,1
292,323,0.6942315102,1.230054736,1
292,339,NaN,NaN,2
292,355,NaN,NaN,2
292,371,0.557792604,-0.4503381252,1
292,387,0.2592487931,-0.400429368,1
292,403,-0.3354284465,0.05371120572,1
308,19,-1.204344392,0.6673777699,1
308,35,-0.6118789911,0.6824512482,1
308,51,-0.02480854839,0.7079240084,1
308,67,0.05803588033,0.5762175322,1
308,83,0.1418593079,0.3402292728,1
308,99,0.4450052977,-0.09927523881,1
308,115,0.4398998618,-0.348346144,1
308,131,0.2785321176,-0.5877375603,1
308,147,0.4632948339,-0.7557591796,1
308,163,0.5144263506,-1.216362238,1
308,179,0.1115997732,-1.498593688,1
308,195,0.8716470003,-1.738948941,1
308,211,NaN,NaN,2
308,227,-0.7500302196,-1.708229184,1
308,243,-1.248697758,-1.125159383,1
308,259,NaN,NaN,2
308,275,0.1803376973,0.7550097108,1
308,291,0.08362865448,0.9598808289,1
308,307,NaN,NaN,2
308,323,0.1835509837,0.2177928239,1
308,339,0.2155449092,-0.4524440467,1
308,355,NaN,NaN,2
308,371,0.405792892,-0.6927382946,1
308,387,0.2120785117,-0.3680845499,1
308,403,-0.08827614784,0.1898449659,1
324,19,-0.4611151218,0.3598267436,1
324,35,-0.1827827394,0.5199238062,1
324,51,-0.1114532501,0.6168807149,1
324,67,-0.1503022611,0.4917451441,1
324,83,-0.001012995839,0.1673482955,1
324,99,0.196321547,-0.2101054937,1
324,115,0.2481642663,-0.461550355,1
324,131,0.3498633504,-0.5058116913,1
324,147,0.420140326,-0.5404042006,1
324,163,0.516445756,-1.202345014,1
324,179,0.3318199515,-1.18984127,1
324,195,-0.1557179391,-0.7718747854,1
324,211,-0.2895868719,-0.5221998692,1
324,227,NaN,NaN,2
324,243,-1.012026072,-0.4875069857,1
324,259,NaN,NaN,2
324,275,NaN,NaN,2
324,291,0.5260736346,-0.1666263044,1
324,307,0.5173009634,-0.1010363847,1
324,323,0.155931294,-0.1914757788,1
324,339,0.1813992709,-0.345546037,1
324,355,2.057316065,1.127763867,1
324,371,0.1439164132,-0.40061903,1
324,387,0.05824002624,-0.09507060051,1
324,403,0.0131406188,0.583894372,1
340,19,-0.1802071929,0.107915923,1
340,35,-0.1299564242,0.2855645716,1
340,51,-0.1580623984,0.4412172735,1
340,67,-0.168629095,0.4996963441,1
340,83,-0.1264791787,0.3050956726,1
340,99,-0.0705262199,0.0591006726,1
340,115,0.06755449623,-0.3692287207,1
340,131,0.350073725,-0.5677557588,1
340,147,0.5260591507,-0.4655528665,1
340,163,0.6466507316,-0.791262269,1
340,179,0.6705927849,-0.896197319,1
340,195,-0.2401583195,-0.3582029343,1
340,211,-0.8312100172,-0.38557899,1
340,227,-1.537928462,-0.3452942669,1
340,243,-0.6830186844,-0.4335538745,1
340,259,-0.3609502912,-0.6587116718,1
340,275,-0.06243743002,-0.8659271598,1
340,291,0.3088546991,-0.5837330818,1
340,307,0.4125983119,-0.7810521126,1
340,323,NaN,NaN,2
340,339,NaN,NaN,2
340,355,NaN,NaN,2
340,371,NaN,NaN,2
340,387,-0.04304422438,-0.05556818843,1
340,403,-0.06594723463,0.4161218405,1
356,19,-0.3400140703,-0.1211050898,1
356,35,-0.1809494495,0.2261619866,1
356,51,0.2204499245,0.408234477,1
356,67,0.08770143241,0.6583994627,1
356,83,-0.1094541624,0.5194514394,1
356,99,-0.09400797635,0.1654163599,1
356,115,0.03971622884,-0.1474245638,1
356,131,0.20106031,-0.5337995887,1
356,147,0.4771713018,-0.5810058117,1
356,163,0.6075297594,-0.7082372904,1
356,179,0.8369567394,-0.6971276999,1
356,195,0.6853604913,-0.8079228997,1
356,211,NaN,NaN,2
356,227,NaN,NaN,2
356,243,0.09724441171,-0.6837611198,1
356,259,0.4460853636,-0.05090194941,1
356,275,0.04407709837,-1.572698474,1
356,291,NaN,NaN,2
356,307,-0.0866831392,-0.9756858349,1
356,323,NaN,NaN,2
356,339,NaN,NaN,2
356,355,NaN,NaN,2
356,371,NaN,NaN,2
356,387,-0.208567068,-0.2196301222,1
356,403,-0.1258331537,-0.2527360916,1
372,19,-0.04334442317,-0.1341774464,1
372,35,0.02536818385,0.202578932,1
372,51,0.3623897433,0.3275945783,1
372,67,0.365770638,0.2942814231,1
372,83,0.1779937446,0.1365409493,1
372,99,0.04897522926,-0.1398166418,1
372,115,0.1356246173,-0.185740009,1
372,131,0.2330141962,-0.3147141933,1
372,147,0.2023044378,-0.4219155014,1
372,163,0.2046170384,-0.7751057744,1
372,179,0.6148146391,-1.193915606,1
372,195,0.4279502034,-1.424814224,1
372,211,-0.2539606392,-1.313935995,1
372,227,NaN,NaN,2
372,243,1.072761059,-0.3544118106,1
372,259,NaN,NaN,2
372,275,NaN,NaN,2
372,291,NaN,NaN,2
372,307,0.6349497437,-0.3307906687,1
372,323,0.2153911591,-0.3645166159,1
372,339,0.5881577134,0.8957282305,1
372,355,NaN,NaN,2
372,371,NaN,NaN,2
372,387,0.1654371619,-0.3490649164,1
372,403,0.1217017174,-0.6766628027,1
388,19,0.2094157189,0.03124836087,1
388,35,0.2492545098,0.174893856,1
388,51,0.2031344771,0.1656636,1
388,67,0.3349638581,-0.1703236699,1
388,83,0.4910865426,-0.3515423238,1
388,99,0.4350979924,-0.3914866149,1
388,115,0.3919929862,-0.4755415022,1
388,131,0.3437061608,-0.4450671077,1
388,147,0.2034018934,-0.3495953679,1
388,163,0.003587067127,-0.8975983262,1
388,179,-0.2682310343,-2.088383436,1
388,195,0.1396886408,-1.517852068,1
388,211,0.006275288761,-1.085811019,1
388,227,0.4316753745,-0.820833087,1
388,243,0.8126201034,0.01265391707,1
388,259,NaN,NaN,2
388,275,0.4489246607,0.06032758951,1
388,291,NaN,NaN,2
388,307,NaN,NaN,2
388,323,0.2624217272,-0.1297401786,1
388,339,NaN,NaN,2
388,355,0.9424265027,0.4005716145,1
388,371,0.5329595208,0.09374783188,1
388,387,NaN,NaN,2
388,403,-1.492897511,0.104624927,1
404,19,0.248637557,0.08189492673,1
404,35,0.2369413823,0.237302497,1
404,51,0.1133289635,0.1176204458,1
404,67,0.2189652026,-0.2739584744,1
404,83,0.4438870549,-0.3704139888,1
404,99,0.6375182867,-0.4400223792,1
404,115,0.8086481094,-0.5341053009,1
404,131,0.8637855053,-0.6423326135,1
404,147,0.6224274039,-0.6996530294,1
404,163,0.3605188727,-1.254192233,1
404,179,0.2089972198,-1.888156891,1
404,195,0.2381840944,-1.012553215,1
404,211,0.09210059047,-0.7621454,1
404,227,0.06347808242,-0.03272625804,1
404,243,-0.02655686438,0.2182862163,1
404,259,0.3260020614,0.1341331005,1
404,275,0.2061054707,-0.06051135063,1
404,291,NaN,NaN,2
404,307,NaN,NaN,2
404,323,-0.1313520074,0.1781777591,1
404,339,0.1079784483,-0.1124971882,1
404,355,0.466455847,0.08451271057,1
404,371,0.257006228,0.1889195889,1
404,387,0.1927573681,0.09713350236,1
404,403,0.3627259433,-0.05108262599,1
420,19,0.3868317306,0.249874264,1
420,35,0.3304461837,0.4250144362,1
420,51,0.1542237699,0.244206056,1
420,67,0.1695065498,-0.01932056248,1
420,83,0.4712440372,-0.1790069342,1
420,99,0.5607330799,-0.5452885628,1
420,115,0.7269872427,-0.8609408736,1
420,131,0.893255353,-0.7896523476,1
420,147,0.5872315168,-0.9635808468,1
420,163,0.3224816322,-1.345776796,1
420,179,0.09518635273,-1.738042116,1
420,195,0.01869040728,-0.3912947178,1
420,211,-0.3809636235,-0.3500252366,1
420,227,-0.08249181509,-0.3210593462,1
420,243,-0.1848157048,0.192642808,1
420,259,0.05893829465,0.206140101,1
420,275,0.04796487093,-0.2570213675,1
420,291,1.349477291,-0.5637681484,1
420,307,NaN,NaN,2
420,323,NaN,NaN,2
420,339,NaN,NaN,2
420,355,-0.2077845037,0.1432055533,1
420,371,-0.09822563827,0.2574526668,1
420,387,0.2376460284,0.26687783,1
420,403,0.4416677952,0.163908869,1
436,19,0.6416246891,0.3892398477,1
436,35,0.3913309872,0.538451314,1
436,51,0.2516560256,0.284704566,1
436,67,0.2228313088,0.09524616599,1
436,83,0.3541014194,-0.3347110152,1
436,99,0.5112392902,-0.8544925451,1
436,115,0.5266211629,-1.17931366,1
436,131,0.5418331623,-1.210582495,1
436,147,0.6055827141,-1.341291785,1
436,163,0.2656459808,-1.450724125,1
436,179,-0.09979242086,-1.85896945,1
436,195,NaN,NaN,2
436,211,-0.1838013977,0.03096824884,1
436,227,0.05730798841,-0.3273813426,1
436,243,0.1244759336,-0.4491558671,1
436,259,0.1001175717,-0.2449190319,1
436,275,0.003121480346,-0.03080313653,1
436,291,-0.2198779732,0.05166447163,1
436,307,NaN,NaN,2
436,323,NaN,NaN,2
436,339,NaN,NaN,2
436,355,-0.2400596291,0.3408561945,1
436,371,-0.0242427215,0.2234626561,1
436,387,0.392567575,0.2398128659,1
436,403,0.4982405305,0.6425095201,1
452,19,0.4796557128,0.2848917246,1
452,35,0.5478948355,0.3834607601,1
452,51,0.5251137614,0.2524258792,1
452,67,0.4196452498,0.1249504238,1
452,83,0.3972431421,-0.3011969328,1
452,99,0.4988330007,-0.7791580558,1
452,115,0.5514640808,-0.9567742348,1
452,131,0.5313156843,-1.038934469,1
452,147,0.5603890419,-1.344161749,1
452,163,0.3473178744,-1.353512287,1
452,179,-0.5629671216,-1.26725924,1
452,195,-1.229670882,-1.584509492,1
452,211,0.09799832851,0.03918600082,1
452,227,0.1099802777,-0.1773172617,1
452,243,0.2360096574,-0.3881438375,1
452,259,NaN,NaN,2
452,275,-0.08496066928,-0.3801419735,1
452,291,NaN,NaN,2
452,307,NaN,NaN,2
452,323,-0.1337311417,0.06605070829,1
452,339,NaN,NaN,2
452,355,NaN,NaN,2
452,371,2.958429337,-1.845803738,1
452,387,0.03739373386,-0.09962826967,1
452,403,0.2836672664,0.3799218535,1
468,19,0.1087055355,0.2259925306,1
468,35,0.4442024827,0.2654836476,1
468,51,0.4610331059,0.2694579959,1
468,67,0.382600069,0.1213497967,1
468,83,0.5236909389,-0.1713564992,1
468,99,0.5418018699,-0.4398930669,1
