PIVlab, ASCII chart output - 02-Aug-2025
FRAME: 99, filenames: A:[99]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi & B:[100]FullStack_Pos0035_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
81,106,-0.09695190936,-0.1322381496,1
81,114,-0.1276259124,-0.1004156321,1
81,122,-0.2332895994,0.02955022827,1
81,130,-0.2080285698,0.01258616894,1
81,138,-0.01016817987,0.0228237994,1
81,146,-0.01489043981,0.01291034743,1
81,154,0.03571513295,0.096098423,1
81,162,-0.03541953862,0.05112981424,1
81,170,-0.2430489957,0.09482042491,1
89,10,-0.2845411897,0.04255609959,1
89,18,-0.2962041199,-0.1324280351,1
89,26,-0.2399614453,-0.1732096672,1
89,34,-0.09853875637,-0.1462496072,1
89,42,-0.04686130583,-0.00324344635,1
89,50,-0.07274348289,0.1212204099,1
89,58,-0.1289630681,-0.05374190584,1
89,66,-0.1179801524,-0.01458313316,1
89,74,-0.02589550987,-0.02689859457,1
89,82,-0.02113561332,-0.001551328227,1
89,90,0.0003824196756,-0.06733007729,1
89,98,-0.07226102054,-0.03771063685,1
89,106,-0.1172055528,-0.01541373692,1
89,114,-0.1348713785,0.1491060555,1
89,122,-0.2163189054,0.1747185588,1
89,130,-0.2002684772,0.04380746186,1
89,138,-0.1552232951,0.09650880098,1
89,146,-0.07887818664,0.1252164543,1
89,154,0.01755944639,0.1650607884,1
89,162,-0.09549972415,0.07190045714,1
89,170,-0.2563676536,0.1066291854,1
97,10,-0.1661457419,0.06023522466,1
97,18,-0.178703323,-0.07717827708,1
97,26,-0.1574206352,-0.2191257924,1
97,34,-0.01054134965,-0.1074705124,1
97,42,-0.1173918396,0.009160954505,1
97,50,-0.1234336346,0.1437729895,1
97,58,-0.1066275761,0.0007543368265,1
97,66,-0.03254923224,-0.03238458931,1
97,74,0.0183278583,0.006292376202,1
97,82,-0.181625098,-0.01597838849,1
97,90,-0.1540190578,-0.08469937742,1
97,98,-0.08948730677,-0.001397997141,1
97,106,-0.07399293035,0.04756394774,1
97,114,-0.08148355782,0.1865113825,1
97,122,-0.1848057359,0.1723347008,1
97,130,-0.2608144283,0.01011614501,1
97,138,-0.2688862681,0.03353500366,1
97,146,-0.2351124883,0.1901627034,1
97,154,-0.1546353847,0.06193994731,1
97,162,-0.2015724182,-0.01160514727,1
97,170,-0.3354671299,0.09612485766,1
105,10,-0.175409615,0.01584324241,1
105,18,-0.1705428064,-0.01294923946,1
105,26,-0.08152599633,-0.09920471907,1
105,34,-0.00438349694,-0.1034739316,1
105,42,0.04287190735,-0.004158873111,1
105,50,-0.08009085059,0.04717123136,1
105,58,-0.1363453269,-0.0292697344,1
105,66,-0.08768071234,-0.009224923328,1
105,74,-0.02129693329,0.04561468959,1
105,82,-0.1204542071,0.03928664327,1
105,90,-0.17046386,-0.07760427892,1
105,98,-0.05165448785,-0.05744053051,1
105,106,0.00582575053,-0.00305855833,1
105,114,-0.0614528507,0.0736656636,1
105,122,-0.1520273387,0.05439787358,1
105,130,-0.2699648738,-0.1012364924,1
105,138,-0.2773643732,-0.103234753,1
105,146,-0.2545070052,0.05769831315,1
105,154,-0.2416386008,0.05993507802,1
105,162,-0.2336253673,-0.04851937294,1
105,170,-0.3044922948,-0.05111804977,1
113,10,-0.2010294497,-0.06064149737,1
113,18,-0.1250049174,-0.005893111229,1
113,26,0.03984493017,0.0563075915,1
113,34,-0.008325576782,0.02885454148,1
113,42,-0.2013946027,0.07696413249,1
113,50,-0.2974980474,0.03986011818,1
113,58,-0.2073005289,0.01572802663,1
113,66,-0.1710315049,0.0349159427,1
113,74,-0.07404562831,0.08124487847,1
113,82,-0.0888709873,0.06008279324,1
113,90,-0.2679704428,-0.164176777,1
113,98,-0.2435362339,-0.08293834329,1
113,106,-0.2310384214,-0.09946082532,1
113,114,-0.2205294371,-0.01367836073,1
113,122,-0.1390186995,0.01854974404,1
113,130,-0.1975435019,-0.2053354681,1
113,138,-0.1866371036,-0.0163570419,1
113,146,-0.1891305596,-0.03361303359,1
113,154,-0.2885361314,-0.01576681063,1
113,162,-0.3053923845,-0.02895016596,1
113,170,-0.1794441938,0.01114819944,1
121,10,-0.02045860887,-0.2594750822,1
121,18,0.0920631811,-0.0231234394,1
121,26,0.09604410827,0.1741287708,1
121,34,-0.02436947078,0.1684296429,1
121,42,-0.1586521417,0.1625835299,1
121,50,-0.1615943462,0.09452226758,1
121,58,-0.07738094032,0.04522682726,1
121,66,0.02797952294,0.03764495999,1
121,74,-0.04291293025,0.08958037943,1
121,82,-0.1122777537,0.01932485402,1
121,90,-0.1003972441,-0.05033547804,1
121,98,-0.1152067408,-0.04894711077,1
121,106,-0.2399966717,-0.01894012094,1
121,114,-0.1776817441,0.02597597241,1
121,122,-0.1308021098,0.08637456596,1
121,130,-0.1572978944,-0.03463381156,1
121,138,-0.1432955265,0.02434010431,1
121,146,-0.1391777545,-0.1018106937,1
121,154,-0.2105480433,-0.06461630762,1
121,162,-0.2275781035,-0.006382901222,1
121,170,-0.1756130159,0.1089834049,1
129,10,-0.01512432098,-0.2380494773,1
129,18,0.01366912574,0.06739206612,1
129,26,0.01196487248,0.3033348322,1
129,34,-0.1363652945,0.1854157746,1
129,42,-0.1093516201,0.1859675646,1
129,50,-0.08712815493,0.06034291536,1
129,58,-0.05222256482,-0.02281679399,1
129,66,0.07478357106,0.01148779131,1
129,74,-0.07338510454,-0.02152848244,1
129,82,-0.07974591851,0.04581527784,1
129,90,-0.02360755205,0.05824676901,1
129,98,-0.05632014573,0.008737280965,1
129,106,-0.04701563716,-0.0280572325,1
129,114,-0.1244323403,0.04273474589,1
129,122,-0.175792709,0.05156932771,1
129,130,-0.07956910133,-0.02161751688,1
129,138,-0.06834945083,0.02934523486,1
129,146,-0.1721074879,0.006094058044,1
129,154,-0.2222028971,-0.02564363182,1
129,162,-0.3050165176,0.04572752118,1
129,170,-0.2011019886,0.1155247688,1
137,10,0.0006169527769,-0.1521731764,1
137,18,-0.05964338407,0.1395540088,1
137,26,-0.02812838554,0.2429546118,1
137,34,0.001937318593,0.04155202955,1
137,42,0.01746250689,0.1215301529,1
137,50,-0.05419812351,-0.0737445727,1
137,58,-0.03055937588,-0.08102024347,1
137,66,-0.01902070642,-0.0518418029,1
137,74,-0.1761610806,-0.02305950411,1
137,82,-0.01134151965,0.1193836033,1
137,90,-0.007011383772,0.1144474,1
137,98,-0.06814739853,0.06960692257,1
137,106,-0.04296951741,-0.07653489709,1
137,114,-0.1469647586,0.03887442499,1
137,122,-0.2074371427,0.03573533893,1
137,130,-0.08487071097,0.01690086164,1
137,138,0.005685307086,-0.04809273779,1
137,146,-0.1088501364,-0.05546855554,1
137,154,-0.1647459716,-0.05493293703,1
137,162,-0.2404123098,0.1447707415,1
137,170,-0.2748349011,0.1672492623,1
145,10,-0.0136536248,-0.199736774,1
145,18,0.01950648427,-0.0862461403,1
145,26,0.05953021348,0.07313452661,1
145,34,-0.05756723881,0.03158821166,1
145,42,-0.1888373196,0.1285806298,1
145,50,-0.1437116116,-0.09714847058,1
145,58,0.0339101851,-0.2103943527,1
145,66,-0.08441357315,-0.1820624769,1
145,74,-0.1670746952,-0.01922263578,1
145,82,-0.1559498906,0.09018079937,1
145,90,-0.07667002082,0.1534379721,1
145,98,-0.07330942899,0.09361691773,1
145,106,-0.07010934502,0.08763639629,1
145,114,-0.2226585895,0.1638738513,1
145,122,-0.2333478332,0.1466709524,1
145,130,-0.03389391303,0.05518373847,1
145,138,0.02014026791,-0.01277718693,1
145,146,-0.159295246,-0.01888045296,1
145,154,-0.1473601609,0.05228291452,1
145,162,-0.07994990796,0.232880801,1
145,170,-0.08034181595,0.2086149901,1
153,10,-0.1357628703,-0.209584564,1
153,18,-0.08577013016,-0.1350037456,1
153,26,0.02178665251,0.07513878495,1
153,34,-0.1878496259,0.03423034027,1
153,42,-0.2243552357,0.009118743241,1
153,50,-0.1251278818,-0.1125195622,1
153,58,-0.0650433898,-0.1246838272,1
153,66,0.04361149669,-0.1327336878,1
153,74,-0.06979943067,-0.04500024393,1
153,82,-0.107221432,0.0778670311,1
153,90,-0.1355710775,0.1114923209,1
153,98,-0.08993762732,0.01121428609,1
153,106,-0.07149028778,0.1180697531,1
153,114,-0.3563733399,0.06227781624,1
153,122,-0.2028569877,0.09273679554,1
153,130,-0.07681973279,0.05351898819,1
153,138,-0.08185401559,-0.001374952495,1
153,146,-0.1000260487,0.03455939889,1
153,154,-0.02368314937,0.09463209659,1
153,162,-0.1416493654,0.1305123866,1
153,170,-0.2687277794,0.0857603997,1
161,10,-0.08315379173,-0.1933282018,1
161,18,-0.1020615101,-0.06930114329,1
161,26,-0.1358034611,0.03885522485,1
161,34,-0.1373535544,-0.005543442443,1
161,42,-0.1041450799,-0.1459241658,1
161,50,-0.1830968857,-0.1271742284,1
161,58,-0.1141657233,0.06606115401,1
161,66,-0.05649586022,-0.05504003912,1
161,74,-0.06150206923,-0.01072835177,1
161,82,-0.07415136695,0.2539761961,1
161,90,-0.06005199254,-0.01086968929,1
161,98,0.07223363966,-0.09218496829,1
161,106,0.02621814609,0.04249551147,1
161,114,-0.2486065775,0.09250497818,1
161,122,-0.242504254,0.1273988783,1
161,130,-0.05949260294,0.1518435329,1
161,138,-0.09646881372,0.07021455467,1
161,146,0.02065196261,-0.08063137531,1
161,154,0.06564211845,0.02411229908,1
161,162,-0.0509060882,0.03224829584,1
161,170,-0.2049442828,-0.04644596577,1
169,10,0.1339272559,-0.0972879827,1
169,18,-0.017053321,-0.03773895651,1
169,26,-0.05191055313,-0.08871731162,1
169,34,-0.03561544791,-0.07520012558,1
169,42,-0.07305505872,-0.110846445,1
169,50,-0.1419640034,-0.1687332243,1
169,58,-0.1141642779,-0.005800120533,1
169,66,-0.0003960728645,0.03308313712,1
169,74,-0.01367015392,-0.01363629848,1
169,82,-0.04784631729,-0.1064336672,1
169,90,0.03311991692,-0.188465178,1
169,98,0.04561446607,-0.02688230574,1
169,106,-0.007876820862,0.1652799845,1
169,114,-0.1373354197,0.2144533098,1
169,122,-0.1461391151,0.05747251213,1
169,130,-0.03709079325,0.1416352838,1
169,138,-0.06685179472,0.2509150505,1
169,146,0.05616455898,-0.02398715541,1
169,154,0.1003991812,-0.05191802606,1
169,162,0.03799879551,0.02752094902,1
169,170,-0.06677737832,-0.1358096302,1
177,10,0.04975010455,-0.1251983941,1
177,18,0.05639756843,0.03377123177,1
177,26,0.04956229404,0.02999351919,1
177,34,0.02786768973,-0.00680745393,1
177,42,0.07475221157,0.01185739785,1
177,50,-0.04151980579,-0.03911153972,1
177,58,-0.1111825034,-0.01877085119,1
177,66,-0.06329600513,0.1226051301,1
177,74,-0.07945110649,-0.06793699414,1
177,82,0.004753559828,-0.1784255803,1
177,90,0.04016985744,-0.09898177534,1
177,98,-0.01032306626,0.03900925815,1
177,106,0.02502908558,0.1409330666,1
177,114,-0.02740219235,0.146720469,1
177,122,-0.06101058424,-0.02735999599,1
177,130,-0.02106466517,-0.03303682432,1
177,138,0.1190129966,0.197496593,1
177,146,0.0110169407,0.04186056927,1
177,154,0.0582087934,-0.03648952022,1
177,162,0.01820029691,-0.1305481941,1
177,170,-0.1837027371,-0.1621292531,1
185,10,-0.0108778812,-0.1102197021,1
185,18,0.03613555804,0.03078705259,1
185,26,0.1394089311,0.05153223127,1
185,34,0.1711409986,0.06426768005,1
185,42,0.01724147797,0.02906267717,1
185,50,-0.1919102371,0.04172962159,1
185,58,-0.06376424432,-0.0278788954,1
185,66,-0.03790791333,-0.01070377976,1
185,74,-0.03656111658,-0.01501832064,1
185,82,0.02554711327,-0.05817079544,1
185,90,0.05317264795,0.02258942276,1
185,98,-0.02988174185,0.09420673549,1
185,106,-0.09118160605,0.134542793,1
185,114,-0.03064619564,0.1600277573,1
185,122,-0.08791167289,0.04812978208,1
185,130,-0.09468818456,0.01091919839,1
185,138,-0.02678557485,0.08194673061,1
185,146,-0.1791773736,0.05379208177,1
185,154,-0.1311713308,0.01787897013,1
185,162,-0.007143041119,-0.1444900483,1
185,170,-0.01496987417,-0.1081361473,1
193,10,-0.03414245695,0.04964088649,1
193,18,-0.1314951777,-0.003412101418,1
193,26,-0.2437369674,-0.02991546504,1
193,34,-0.09706301987,-0.1332351416,1
193,42,-0.06034962088,-0.1427293271,1
193,50,-0.007936667651,0.003024272621,1
193,58,0.0449924171,-0.004288498312,1
193,66,-0.02601253241,-0.03331132606,1
193,74,-0.08905717731,0.03370435163,1
193,82,0.009597919881,0.006160322577,1
193,90,0.02324523777,0.08885544538,1
193,98,0.0280193463,0.150623858,1
193,106,-0.0009173182771,0.08797907084,1
193,114,-0.002579521388,-0.009597185999,1
193,122,-0.02395756915,0.04451354593,1
193,130,-0.1466935873,0.02654240653,1
193,138,-0.07921630144,-0.02661835775,1
193,146,0.0009648352861,0.03158567846,1
193,154,-0.04763543606,-0.04006955773,1
193,162,0.0219825767,-0.07476045191,1
193,170,0.137205109,-0.1607731879,1
201,10,-0.1011209488,0.2478219271,1
201,18,-0.1302105039,0.06168700755,1
201,26,-0.1865792871,0.01763965376,1
201,34,-0.1035559699,-0.1810384691,1
201,42,-0.1107838005,-0.1074347496,1
201,50,-0.07934072614,-0.06557743996,1
201,58,-0.05652704835,-0.06541013718,1
201,66,-0.0937898159,-0.06093845516,1
201,74,-0.08155544102,-0.09397679567,1
201,82,0.0221728459,0.04606263712,1
201,90,-0.01526467875,0.01141913887,1
201,98,0.01963303052,0.03318917006,1
201,106,0.02143576741,-0.02921269462,1
201,114,-0.01473715901,-0.1448664963,1
201,122,0.03398450464,-0.01405533589,1
201,130,-0.06969897449,-0.08743953705,1
201,138,-0.09212633222,-0.05726809055,1
201,146,-0.08436329663,-0.003284033388,1
201,154,-0.02511336654,-0.06821606308,1
201,162,0.07218904793,-0.06624538451,1
201,170,-0.01537263021,-0.1932107955,1
209,10,0.006356649101,0.4023358226,1
209,18,0.01734283566,0.2308434695,1
209,26,-0.146568805,0.05327884108,1
209,34,-0.139276877,-0.1210966781,1
209,42,-0.09767975658,-0.01562473923,1
209,50,-0.03927864879,-0.05057979375,1
209,58,0.0006907433271,-0.2519830465,1
209,66,-0.09141039103,-0.3047808409,1
209,74,-0.1293006241,-0.1907379627,1
209,82,0.04061637074,0.0507472381,1
209,90,-0.02910745889,0.093668513,1
209,98,-0.1807264388,-0.1014572829,1
209,106,-0.1188225895,-0.136217013,1
209,114,-0.03830885515,0.02903492749,1
209,122,-0.04005016014,0.1169259995,1
209,130,-0.09569893777,-0.02349749207,1
209,138,-0.0555940643,-0.07703305781,1
209,146,-0.04067505896,-0.1049563959,1
209,154,0.03328224272,-0.07779037952,1
209,162,0.01840911061,-0.02269660309,1
209,170,-0.146259591,-0.04645507038,1
217,10,-0.09376195818,0.3439244628,1
217,18,-0.08183127642,0.1811082363,1
217,26,-0.1172525957,0.2125054896,1
217,34,-0.1185802221,0.262465477,1
217,42,-0.1056448966,0.09974302351,1
217,50,-0.1290829182,0.192771405,1
217,58,-0.1500354111,0.02163692936,1
217,66,-0.07605747133,-0.133819446,1
217,74,0.06138771772,-0.04827618599,1
217,82,-0.07486829907,0.03374864534,1
217,90,-0.1068982631,0.250607729,1
217,98,0.0796905756,0.3287015557,1
217,106,0.133084923,-0.09773646295,1
217,114,0.06051591039,-0.01582949236,1
217,122,-0.01270679012,0.213403821,1
217,130,0.01765155792,0.07289804518,1
217,138,-0.005049988627,-0.08213277161,1
217,146,0.01853080094,-0.101057604,1
217,154,0.07814795524,-0.09082707763,1
217,162,-0.006031617522,-0.002409812063,1
217,170,-0.2119109631,0.004683718085,1
225,10,-0.09548012167,0.1264062822,1
225,18,-0.1815347672,0.04371299595,1
225,26,-0.172661975,0.1488416493,1
225,34,-0.1091403365,0.1914080381,1
225,42,-0.1477693021,0.137414664,1
225,50,-0.1570745111,0.3709415793,1
225,58,-0.1047224179,0.1804037094,1
225,66,-0.03644991294,0.1051865518,1
225,74,0.06041958928,0.02872902155,1
225,82,0.03433746845,-0.004037439823,1
225,90,-0.04246883839,0.1206344068,1
225,98,0.101185903,0.2267723978,1
225,106,0.2115519941,-0.03975080699,1
225,114,0.03099257126,-0.08049671352,1
225,122,-0.09701272845,0.02481382713,1
225,130,-0.09336225688,-0.03264912218,1
225,138,-0.08315353841,-0.06284706295,1
225,146,0.03633260727,0.04326222092,1
225,154,-0.02543177456,0.01228090003,1
225,162,-0.03317867965,0.05046068504,1
225,170,-0.1201656014,0.01401287317,1
233,10,0.1095950007,-0.02764759213,1
233,18,0.004830166698,0.02545380592,1
233,26,-0.2266520262,0.1131275743,1
233,34,-0.1986407638,0.105064936,1
233,42,-0.08185187727,0.1718680263,1
233,50,-0.1917490065,0.2872395813,1
233,58,-0.1457453966,0.1949203759,1
233,66,-0.05129394308,0.1490905732,1
233,74,0.03748864308,0.1462546289,1
233,82,0.05547589809,0.01988935471,1
233,90,0.04190725088,0.05997552723,1
233,98,-0.02856189199,0.1586805284,1
233,106,-0.01612650417,-0.04446478933,1
233,114,0.01092557237,-0.0755578652,1
233,122,-0.1081592739,-0.09561086446,1
233,130,-0.1243888587,-0.06635287404,1
233,138,-0.07334408164,-0.02689117752,1
233,146,0.04379570484,0.03031488322,1
233,154,0.1044172794,0.05837282538,1
233,162,-0.05819522217,0.02500141412,1
233,170,-0.2014015615,0.0222947523,1
241,10,0.001297786832,-0.04704207182,1
241,18,-0.2055683732,0.04229333624,1
241,26,-0.1913980544,0.06867174059,1
241,34,-0.05923400074,0.03030656278,1
241,42,-0.02194503695,0.06589986384,1
241,50,-0.002477265894,0.00728803128,1
241,58,-0.04467821494,0.02435278893,1
241,66,-0.04706355184,0.01861675084,1
241,74,-0.08606804907,0.1523870826,1
241,82,-0.09834110737,0.07467275858,1
241,90,0.08386112005,0.007284797728,1
241,98,0.07419160008,0.08625514805,1
241,106,-0.0239533335,-0.007741816342,1
241,114,-0.1086623222,-0.08848445863,1
241,122,-0.2542622387,-0.02625221014,1
241,130,-0.2774781287,0.05258222669,1
241,138,-0.03404911608,0.01748011261,1
241,146,-0.01052313391,-0.01101889461,1
241,154,-0.03059916571,0.0545142144,1
241,162,-0.07840424031,-0.003147624433,1
241,170,-0.1799660027,0.05452283472,1
249,10,0.002994038165,-0.07257543504,1
249,18,-0.03900258988,-0.04608525708,1
249,26,-0.01849643886,0.03027335182,1
249,34,-0.001074522734,-0.003380965441,1
249,42,-0.009753748775,-0.1200761497,1
249,50,-0.01888693124,-0.1455022395,1
249,58,0.07962299883,-0.07985132188,1
249,66,-0.01135470718,-0.09783469141,1
249,74,-0.06185989454,-0.1070752814,1
249,82,-0.07241211087,0.04110462219,1
249,90,-0.04260998964,0.07265099883,1
249,98,0.1593249291,0.06799937785,1
249,106,0.03855547309,0.0718774125,1
249,114,-0.1885726452,-0.06984236836,1
249,122,-0.2216762006,0.04801524803,1
249,130,-0.1540104747,0.003977914341,1
