PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 49, filenames: A:[49]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi & B:[50]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
207,385,-0.236615181,-1.091263294,1
207,417,0.06095698476,-0.8675256968,1
207,449,0.9254083633,-0.4928665161,1
207,481,0.3943074942,-0.3000531793,1
207,513,-1.518416166,-4.395218372,1
207,545,-0.832064569,-3.102109909,1
207,577,-0.160383746,-2.663281441,1
207,609,0.7356323004,-0.5014424324,1
207,641,1.3769629,-0.1802258492,1
207,673,-0.1853756309,-0.5017898679,1
207,705,-1.076063991,-0.6980873346,1
207,737,-0.9557546377,-0.2775296569,1
207,769,-0.9884186983,0.7246788144,1
207,801,-1.883476496,0.2355002165,1
207,833,-1.939254522,-0.2321386635,1
207,865,-1.14002502,0.4294114709,1
207,897,-0.9025783539,1.262218475,1
207,929,-1.027218103,0.791151762,1
207,961,-0.9022531509,0.5902634263,1
207,993,-1.164340258,0.1745542288,1
207,1025,-1.636252165,-0.02450084686,1
207,1057,-5.47992897,1.634428024,1
207,1089,-5.404771805,-0.07382190228,1
207,1121,-6.085580349,-1.338297009,1
207,1153,-1.432265759,0.6448205709,1
207,1185,-7.012580872,2.011991024,1
207,1217,-8.959257126,1.883013725,1
207,1249,-7.278020859,3.00555706,1
207,1281,-6.267107487,3.035301685,1
207,1313,-6.468794346,3.155787706,1
207,1345,-5.637174129,4.165607929,1
207,1377,-6.022256851,5.50355196,1
207,1409,-5.990080833,6.033811569,1
207,1441,-6.697957993,5.100468159,1
207,1473,-7.422776222,4.778671741,1
207,1505,-6.732277393,4.984005451,1
207,1537,-7.211271763,3.906190395,1
207,1569,-7.200176239,2.408297539,1
207,1601,-6.074824333,1.48765564,1
207,1633,-5.459494591,0.06921887398,1
207,1665,-4.645890236,-0.2162729502,1
207,1697,-2.478205204,1.076780438,1
207,1729,-2.910934448,1.07603085,1
207,1761,-3.580331326,1.191071272,1
207,1793,-4.080251694,1.123038769,1
207,1825,-1.72044158,0.1745029688,1
207,1857,-2.526792765,0.006698548794,1
207,1889,-2.014463902,0.4168404341,1
207,1921,-1.417726278,0.3499253392,1
207,1953,-0.8704387546,-0.03374505043,1
207,1985,0.4021435082,0.1071691662,1
207,2017,0.1443966031,-1.035822272,1
239,33,-1.305680513,1.608938932,1
239,65,-0.7330940962,0.6049164534,1
239,97,-4.041606426,-3.967662573,1
239,129,-0.9900339842,-3.59946394,1
239,161,0.1810303926,-5.978416443,1
239,193,-0.7498869896,-5.93227005,1
239,225,-0.9891735911,-4.975524902,1
239,257,-0.9388393164,-1.753543258,1
239,289,-0.3882180452,-0.7052056789,1
239,321,0.740557909,-0.7039914131,1
239,353,-0.6980409026,-1.372368813,1
239,385,-0.5016715527,-1.257582307,1
239,417,-0.02105828375,-1.322086215,1
239,449,0.4483357966,-0.784701705,1
239,481,-0.2327664495,-0.8027331233,1
239,513,-2.347428083,-3.156615019,1
239,545,-0.791727066,-1.301583529,1
239,577,0.3808468282,-0.517468214,1
239,609,1.942447901,-1.177348852,1
239,641,0.9961975813,-0.9212490916,1
239,673,-0.3411054909,-0.4256157279,1
239,705,-1.092659593,-0.2583877444,1
239,737,-0.8886100054,0.05371761322,1
239,769,-1.059162498,0.733856678,1
239,801,-2.118925333,-0.09530484676,1
239,833,-2.018270254,-0.2009752393,1
239,865,-1.554161906,-0.05141919851,1
239,897,-1.435587525,-0.2487243116,1
239,929,-0.9702450037,-0.3278623521,1
239,961,-0.718703866,-0.3088142574,1
239,993,-1.814794779,0.6035881639,1
239,1025,-3.465055227,0.7450182438,1
239,1057,-4.948452473,1.539763927,1
239,1089,-4.963293552,1.380460262,1
239,1121,-4.720568657,-1.068895817,1
239,1153,-0.4838104248,1.018858433,1
239,1185,-1.992715836,2.383994341,1
239,1217,-7.6301651,2.577320576,1
239,1249,-6.828347206,3.1089468,1
239,1281,-6.192694187,3.172648668,1
239,1313,-5.810100079,2.992183447,1
239,1345,-5.632624626,3.984863758,1
239,1377,-5.810583591,4.554240227,1
239,1409,-5.891162872,6.064769268,1
239,1441,-7.074054241,4.655290604,1
239,1473,-7.667458057,4.065576553,1
239,1505,-7.780920506,4.059345245,1
239,1537,-6.997848511,3.100341797,1
239,1569,-6.720551014,2.247169495,1
239,1601,-7.027050495,1.590445518,1
239,1633,-5.88285017,1.347234964,1
239,1665,-4.989709854,0.9425177574,1
239,1697,-4.43613863,1.198925495,1
239,1729,-4.664103508,3.550838947,1
239,1761,-4.408927917,2.030738115,1
239,1793,-4.133707523,1.864565969,1
239,1825,-3.328043222,0.7658738494,1
239,1857,-3.739583492,0.7030053139,1
239,1889,-2.365388393,0.9654897451,1
239,1921,-1.413303256,0.5812214017,1
239,1953,-0.5335334539,0.5862949491,1
239,1985,0.4561129808,0.7885031104,1
239,2017,0.4575320482,-1.59781754,1
271,33,-0.1938790083,4.15974617,1
271,65,-0.6265795231,0.2998668849,1
271,97,4.763056278,15.76500511,1
271,129,0.4757689238,-6.103260517,1
271,161,0.8306405544,-6.566676617,1
271,193,0.01344072819,-1.779480934,1
271,225,0.4581151009,-1.921034575,1
271,257,-0.4568485022,-1.453264356,1
271,289,-1.147189617,-2.427791119,1
271,321,-2.315659523,-3.62604475,1
271,353,-3.183939457,-2.485747337,1
271,385,-3.496634007,-1.953043699,1
271,417,-0.4332819879,-1.543041348,1
271,449,-0.1555038095,-1.090208411,1
271,481,-1.212544441,-1.254921913,1
271,513,-1.81186676,-1.427182317,1
271,545,-0.6461899281,-0.2266417742,1
271,577,0.02264326811,-1.179215908,1
271,609,1.541233063,-2.215879679,1
271,641,0.8359423876,-1.6417377,1
271,673,-0.08088666201,-0.5670403242,1
271,705,-0.4361811876,-0.9926749468,1
271,737,-1.486384511,-1.814009666,1
271,769,-2.642477989,-1.69455862,1
271,801,-2.784835815,-1.370925307,1
271,833,-2.213541031,-0.6130304337,1
271,865,-2.072740793,-0.3757255077,1
271,897,-2.163102627,-0.8045255542,1
271,929,-1.705499887,-0.3031511903,1
271,961,-2.110864401,-0.25546363,1
271,993,-4.016681671,1.343898773,1
271,1025,-5.369144917,2.67994976,1
271,1057,-4.374490261,2.661539555,1
271,1089,-3.786400318,2.433128595,1
271,1121,-2.74685955,1.542283058,1
271,1153,-1.908240557,2.342801094,1
271,1185,-5.590728283,3.862699509,1
271,1217,-6.624305248,2.873374462,1
271,1249,-5.942221642,3.024359226,1
271,1281,-5.766980171,3.531151772,1
271,1313,-5.722838402,3.51567173,1
271,1345,-5.828065395,3.606767178,1
271,1377,-5.626317501,3.246101856,1
271,1409,-5.722280502,4.606647015,1
271,1441,-6.685628891,3.559036732,1
271,1473,-7.450072289,2.849822998,1
271,1505,-7.496768475,2.960017204,1
271,1537,-6.855882645,2.739175797,1
271,1569,-6.254961967,3.12314415,1
271,1601,-6.298970222,2.672668457,1
271,1633,-6.11056757,2.176408768,1
271,1665,-6.399681091,1.398681521,1
271,1697,-5.889690399,0.2064894438,1
271,1729,-1.227267742,0.6728912592,1
271,1761,-4.340706825,1.991218925,1
271,1793,-4.360887527,1.48383379,1
271,1825,-7.931666374,12.76414871,1
271,1857,-5.328874588,0.7255493402,1
271,1889,-3.748797417,1.75151217,1
271,1921,-1.902983904,1.426312208,1
271,1953,-0.6590867043,0.8657765388,1
271,1985,0.3355970383,0.3515455723,1
271,2017,-0.06408172846,-2.232078314,1
303,33,0.8536883593,4.554804802,1
303,65,0.8439208269,-3.196225166,1
303,97,0.4595142007,-3.730889559,1
303,129,1.10901916,-3.664444685,1
303,161,1.018872499,-3.5052526,1
303,193,0.6889143586,-2.981313705,1
303,225,0.6652632952,-2.278607845,1
303,257,-0.2702349126,-1.335977077,1
303,289,-3.904437304,-1.82987833,1
303,321,-4.342633724,-2.215823889,1
303,353,-4.106050014,-1.205063343,1
303,385,-1.496762753,-0.7068238258,1
