PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 9, filenames: A:[9]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[10]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
159,1345,18.95333672,-6.494318962,1
159,1409,18.96736908,-8.798563004,1
159,1473,18.49116707,-8.697280884,1
159,1537,17.5928421,-9.638020515,1
159,1601,15.06370449,-10.60743332,1
159,1665,12.64772987,-10.24588299,1
159,1729,11.25710392,-9.000084877,1
159,1793,10.68315029,-8.556454659,1
159,1857,10.92077065,-6.411141396,1
159,1921,10.06345749,-6.096162796,1
159,1985,8.608672142,-9.144784927,1
223,65,6.90257597,5.528735638,1
223,129,4.460865021,6.332911491,1
223,193,4.236884594,5.651068211,1
223,257,5.396119595,4.928294659,1
223,321,6.091727257,5.358413219,1
223,385,8.344624519,8.425316811,1
223,449,8.686152458,6.249682426,1
223,513,9.961396217,6.284946442,1
223,577,12.08340549,5.066518307,1
223,641,15.76595783,3.652504444,1
223,705,15.58851528,2.767463923,1
223,769,16.93995476,2.093330622,1
223,833,18.07548332,0.9076243043,1
223,897,18.7668705,-0.6161510944,1
223,961,19.36180687,-2.581637621,1
223,1025,19.68943787,-4.636100292,1
223,1089,20.93277931,-5.523534775,1
223,1153,22.19445992,-6.055827141,1
223,1217,22.06586075,-5.998873234,1
223,1281,20.15694237,-6.282896519,1
223,1345,18.76420593,-8.564709663,1
223,1409,18.54528427,-9.135129929,1
223,1473,17.25980949,-9.337258339,1
223,1537,15.65865135,-9.93288517,1
223,1601,13.97412491,-11.00467968,1
223,1665,12.30024719,-10.72590637,1
223,1729,11.48035908,-9.99684906,1
223,1793,11.55228519,-9.098008156,1
223,1857,11.16109371,-8.896571159,1
223,1921,10.75223064,-8.814332962,1
223,1985,10.28564835,-9.219402313,1
287,65,8.152276993,5.605243683,1
287,129,5.449057579,6.885660648,1
287,193,4.507019997,6.182309151,1
287,257,6.336471081,5.751473427,1
287,321,5.494083405,5.707205772,1
287,385,NaN,NaN,2
287,449,NaN,NaN,2
287,513,9.757302284,6.918755054,1
287,577,11.2841301,5.876833916,1
287,641,13.69087219,2.746912718,1
287,705,14.90818405,2.414389133,1
287,769,17.07518578,1.423947334,1
287,833,18.91249084,0.02791547775,1
287,897,19.82109642,-1.674882174,1
287,961,20.30408287,-3.593743801,1
287,1025,21.30460358,-5.657940865,1
287,1089,21.83882141,-6.855826855,1
287,1153,21.86153793,-7.657409668,1
287,1217,22.09273148,-8.152271271,1
287,1281,20.1551342,-8.804239273,1
287,1345,19.31381035,-9.333883286,1
287,1409,18.13495445,-9.861574173,1
287,1473,16.17224884,-9.83402729,1
287,1537,14.09418106,-10.0203743,1
287,1601,12.9623909,-10.52121067,1
287,1665,12.29647446,-10.85545826,1
287,1729,11.88469505,-10.59233952,1
287,1793,11.89875031,-9.275375366,1
287,1857,11.03172302,-8.538697243,1
287,1921,10.68994808,-8.893255234,1
287,1985,9.857668877,-9.300733566,1
351,65,8.699177742,6.644929409,1
351,129,5.5247612,6.778235435,1
351,193,4.615884781,6.957290173,1
351,257,5.467612743,6.500914574,1
351,321,4.969319344,8.545511246,1
351,385,4.197321892,5.621779919,1
351,449,6.996074677,4.766466618,1
351,513,10.14773464,7.31105423,1
351,577,11.73019791,5.865268707,1
351,641,14.0620575,1.932616234,1
351,705,15.64984798,2.185569286,1
351,769,17.16677094,0.712387085,1
351,833,18.94158363,-0.7234541178,1
351,897,20.18106461,-2.558047771,1
351,961,20.8284874,-5.130789757,1
351,1025,22.07336617,-7.629990578,1
351,1089,23.58990288,-9.447713852,1
351,1153,23.28009605,-9.938012123,1
351,1217,22.24939346,-9.907752991,1
351,1281,20.84547806,-9.900999069,1
351,1345,19.72985458,-10.51199913,1
351,1409,18.20131493,-10.89663887,1
351,1473,16.40071869,-10.88906479,1
351,1537,13.43126106,-10.76008415,1
351,1601,11.33176613,-10.64732552,1
351,1665,11.90058231,-10.35715008,1
351,1729,12.02564526,-10.08960819,1
351,1793,11.5082674,-8.766341209,1
351,1857,10.53689957,-8.496015549,1
351,1921,10.28974724,-9.121772766,1
351,1985,9.541564941,-9.707561493,1
415,65,5.001636505,8.331616402,1
415,129,4.018044472,6.790867805,1
415,193,4.575074673,6.518234253,1
415,257,5.042494297,6.808308601,1
415,321,5.31240654,7.231328964,1
415,385,7.182927608,6.823542595,1
415,449,11.55960274,6.06071949,1
415,513,11.65679455,4.451024055,1
415,577,12.05113602,2.830653191,1
415,641,13.4666853,1.97144556,1
415,705,15.04583645,1.581845284,1
415,769,16.77405357,0.353887856,1
415,833,20.27188492,-1.622601748,1
415,897,25.60751152,-6.441425323,1
415,961,21.33932495,-8.480084419,1
415,1025,22.76670837,-9.50004673,1
415,1089,23.28967667,-11.83032227,1
415,1153,23.91894722,-12.00397491,1
415,1217,24.56086731,-11.54977512,1
415,1281,22.34200096,-11.3400774,1
415,1345,20.28255653,-11.68509388,1
415,1409,18.57728577,-13.40743637,1
415,1473,16.21662712,-12.29782963,1
415,1537,14.1330471,-12.90852547,1
415,1601,11.83796692,-11.34411907,1
415,1665,11.93227577,-10.54511738,1
415,1729,12.64133072,-10.18770027,1
415,1793,10.93102837,-10.39977169,1
415,1857,10.2207613,-10.54046345,1
415,1921,9.21278286,-9.863302231,1
415,1985,8.408131599,-9.239878654,1
479,65,4.448153973,7.600739956,1
479,129,3.884755611,6.751477242,1
479,193,4.927858353,6.556343079,1
479,257,5.248049259,6.884814262,1
479,321,5.029045105,7.546804905,1
479,385,6.866543293,7.731715679,1
479,449,8.862142563,6.144734859,1
479,513,10.69183064,3.199182272,1
479,577,11.79005337,2.015654325,1
479,641,13.23297501,1.670535564,1
479,705,14.54447556,1.108400226,1
479,769,15.79456615,-0.2404587269,1
479,833,17.37045288,-2.661235094,1
479,897,20.80522919,-6.225509644,1
479,961,21.10637665,-9.763833046,1
479,1025,23.29247856,-10.81542301,1
479,1089,26.21518517,-13.26847172,1
479,1153,26.53608131,-12.60841942,1
479,1217,23.99782753,-12.69282913,1
479,1281,23.15969467,-13.77989864,1
479,1345,20.51721954,-13.21732616,1
479,1409,18.88088417,-12.69029522,1
479,1473,16.52872658,-13.31257915,1
479,1537,13.93540764,-12.9331522,1
479,1601,12.79361153,-11.76400852,1
479,1665,11.89035511,-10.9237833,1
479,1729,11.07193851,-10.89126968,1
479,1793,10.26725292,-11.21702385,1
479,1857,9.714133263,-10.70829105,1
479,1921,8.787607193,-10.23678875,1
479,1985,8.317246437,-9.307743073,1
543,65,4.692067623,6.806351662,1
543,129,4.974339008,8.727940559,1
543,193,4.698915482,7.616084576,1
543,257,5.423900127,6.43235445,1
543,321,5.325933933,7.393798828,1
543,385,6.503043652,6.701055527,1
543,449,8.060765266,5.194155693,1
543,513,8.911565781,3.509554148,1
543,577,11.54930973,1.861950874,1
543,641,13.30578423,1.518947363,1
543,705,14.63213062,0.7273967266,1
543,769,15.6196928,-1.118531466,1
543,833,21.96894073,-8.722121239,1
543,897,21.05393028,-6.761814117,1
543,961,23.06577682,-7.84581089,1
543,1025,24.00562668,-11.11606216,1
543,1089,23.41983032,-12.2506237,1
543,1153,23.27855492,-12.20295143,1
543,1217,22.50848389,-13.22471428,1
543,1281,21.60909843,-14.79926395,1
543,1345,19.33382416,-13.90401077,1
543,1409,17.98257828,-13.17053127,1
543,1473,15.71524715,-13.27347851,1
543,1537,13.80202484,-12.75117588,1
543,1601,12.63356972,-11.08126831,1
543,1665,11.49043465,-10.70413399,1
543,1729,9.793982506,-10.57009888,1
543,1793,9.646587372,-10.63591957,1
543,1857,9.502364159,-10.25820637,1
543,1921,9.037492752,-10.06663418,1
543,1985,9.146811485,-9.13627243,1
607,65,3.340361595,6.957932472,1
607,129,NaN,NaN,2
607,193,4.360321522,7.11042738,1
607,257,5.260849953,5.644616127,1
607,321,5.687840939,6.402582169,1
607,385,6.514735699,5.687217236,1
607,449,7.889932632,4.517652512,1
607,513,9.136655807,2.214333296,1
607,577,11.32883644,2.051584959,1
607,641,12.48715878,1.690663338,1
607,705,13.97851944,0.1007480919,1
607,769,14.42507267,-1.531447172,1
607,833,14.53718472,-3.407170296,1
607,897,15.67749405,-7.907606125,1
607,961,18.22551155,-9.70672226,1
607,1025,20.33740616,-10.78727818,1
607,1089,20.94629478,-11.48074722,1
607,1153,21.21879387,-12.17481327,1
607,1217,23.78782082,-14.74068356,1
607,1281,21.05025482,-13.96848011,1
607,1345,17.13073349,-21.0704422,1
607,1409,15.08212471,-14.12681961,1
607,1473,13.25191021,-13.35368538,1
607,1537,12.79220009,-12.97315025,1
607,1601,12.08408737,-11.72453022,1
607,1665,11.29200649,-10.40952301,1
607,1729,10.08410168,-9.712956429,1
607,1793,9.471585274,-9.472774506,1
607,1857,9.433019638,-7.722650528,1
607,1921,8.926211357,-10.16287708,1
607,1985,8.545020103,-9.605898857,1
671,65,1.918903589,6.035118103,1
671,129,2.650319576,6.830126762,1
671,193,3.953986406,6.364695072,1
671,257,4.082621574,5.917318821,1
671,321,4.707575798,5.662617683,1
671,385,5.808280945,5.217543602,1
671,449,7.163825512,4.9091959,1
671,513,14.32005692,9.872037888,1
671,577,8.927036285,2.453109741,1
671,641,10.3529377,1.594192982,1
671,705,12.49789715,-0.2567336261,1
671,769,13.43191814,-1.777632475,1
671,833,14.30564022,-4.845752716,1
671,897,15.54890442,-8.26007843,1
671,961,18.66335297,-11.73757648,1
671,1025,19.20739174,-10.41108131,1
671,1089,19.28579521,-11.79017258,1
671,1153,21.76946831,-12.68254852,1
671,1217,21.5030899,-14.46050453,1
671,1281,16.53248215,-13.08444405,1
671,1345,14.31747723,-18.92186737,1
671,1409,12.60042763,-19.17401314,1
671,1473,10.99565506,-12.94823837,1
671,1537,11.28438759,-13.40117741,1
671,1601,11.0455246,-12.03441525,1
671,1665,11.116292,-10.47632504,1
671,1729,10.24093151,-9.488664627,1
671,1793,9.461023331,-9.214957237,1
671,1857,9.60038662,-8.498529434,1
671,1921,8.175024986,-9.767113686,1
671,1985,6.69849205,-9.477906227,1
735,65,1.155742645,6.491048336,1
735,129,1.560450077,6.275887489,1
735,193,2.674885273,5.7097826,1
735,257,2.968192101,5.428896904,1
735,321,3.371946335,5.21684742,1
735,385,4.959005356,4.675145626,1
735,449,6.048416138,4.431156158,1
735,513,6.506412029,4.036584854,1
735,577,7.099183083,2.828873158,1
735,641,8.614368439,2.14922905,1
735,705,10.39756584,0.1230936125,1
735,769,11.72736073,-2.156839371,1
735,833,14.05533028,-5.768928528,1
735,897,15.10381126,-9.256723404,1
735,961,15.45554447,-11.7823925,1
735,1025,15.92538643,-10.14356041,1
735,1089,NaN,NaN,2
735,1153,20.68119431,-13.12293911,1
735,1217,17.95502281,-12.44816685,1
735,1281,14.47593594,-17.18819046,1
735,1345,10.98037338,-12.71065903,1
735,1409,10.42494202,-12.18922329,1
735,1473,10.21501255,-12.57541847,1
735,1537,10.51336861,-12.90046215,1
735,1601,10.46234512,-12.00521946,1
735,1665,9.84885788,-10.78653908,1
735,1729,8.292563438,-8.546292305,1
735,1793,9.105090141,-9.673695564,1
735,1857,8.832379341,-10.0536747,1
735,1921,7.831706047,-8.422491074,1
735,1985,6.982890129,-7.952729225,1
799,65,1.310470581,6.476885319,1
799,129,0.9854165316,5.982444763,1
799,193,1.524914265,5.137134552,1
799,257,1.593599796,4.252614975,1
799,321,1.673011303,4.23473978,1
799,385,3.968242884,4.719272614,1
799,449,4.315572739,3.997413158,1
799,513,4.394035339,3.703523397,1
799,577,5.669909,3.462862968,1
799,641,7.170807838,2.871565819,1
799,705,8.434382439,0.8010427356,1
799,769,10.89121342,-2.380727768,1
799,833,13.10991192,-6.650285721,1
799,897,14.31863594,-10.94443893,1
799,961,14.61902332,-10.89871311,1
799,1025,16.37754631,-11.69738197,1
799,1089,NaN,NaN,2
799,1153,13.56401348,-4.751859665,1
799,1217,13.46768856,-10.1671648,1
799,1281,12.48633957,-12.89955711,1
799,1345,11.35264874,-12.14727116,1
799,1409,10.53820992,-12.21107769,1
799,1473,9.996891975,-12.3487339,1
799,1537,10.47989273,-12.4746666,1
799,1601,9.811260223,-11.59815025,1
799,1665,8.760043144,-11.01051903,1
799,1729,8.257106781,-10.09324265,1
799,1793,7.827906609,-9.410567284,1
799,1857,7.979659081,-9.448664665,1
799,1921,7.49306488,-8.082805634,1
799,1985,7.064923286,-7.361196041,1
863,65,1.663062334,6.186342716,1
863,129,0.6296956539,6.723159313,1
863,193,-0.3736593127,6.203061581,1
863,257,0.9379609227,4.585930347,1
863,321,0.9226635695,5.023366451,1
863,385,2.027261734,4.989318371,1
863,449,2.997332335,4.140165329,1
863,513,3.34688282,3.928120613,1
863,577,3.641038418,3.659856319,1
863,641,4.497164726,2.404994249,1
863,705,6.171662331,1.74587512,1
863,769,8.535676956,-1.77077651,1
863,833,10.67119789,-8.261347771,1
863,897,23.92895126,-10.69218254,1
863,961,NaN,NaN,2
863,1025,13.14268494,-8.91633606,1
863,1089,10.17502594,-9.317256927,1
863,1153,11.52991676,-10.48083019,1
863,1217,11.47160912,-12.07221794,1
863,1281,10.34308815,-12.84155369,1
863,1345,10.3302536,-12.58747959,1
863,1409,9.806746483,-11.8737812,1
863,1473,9.185976982,-12.57346916,1
863,1537,8.645805359,-10.99179077,1
863,1601,8.503805161,-10.67043495,1
863,1665,8.24673748,-10.8351326,1
863,1729,7.527562141,-10.22844696,1
863,1793,7.244054794,-9.136331558,1
863,1857,7.045706749,-8.866374969,1
863,1921,7.088503361,-7.8214674,1
863,1985,7.305605412,-7.292398453,1
927,65,2.034551859,5.329210281,1
927,129,0.621886313,7.692344666,1
927,193,-0.438896656,7.977537155,1
927,257,-0.06621980667,6.818194866,1
927,321,0.0118021965,6.557914734,1
927,385,0.6489710808,5.383128643,1
927,449,2.785832167,4.372353554,1
927,513,3.124098539,3.89359045,1
927,577,0.8720116615,2.403139114,1
927,641,-0.2025079727,2.816032171,1
927,705,1.267778873,4.701076031,1
927,769,4.806511879,1.838191986,1
927,833,7.116623878,-5.841977119,1
927,897,NaN,NaN,2
927,961,NaN,NaN,2
927,1025,10.32042789,-7.40834713,1
927,1089,12.71557617,-8.606824875,1
927,1153,12.87536716,-12.60685349,1
927,1217,11.69419479,-14.18955326,1
927,1281,9.500367165,-12.07899857,1
927,1345,8.838551521,-11.61232471,1
927,1409,8.64862442,-10.90654373,1
927,1473,7.545846939,-10.01854515,1
927,1537,7.825492859,-9.566232681,1
927,1601,8.010564804,-9.463344574,1
927,1665,7.954458237,-9.49534893,1
927,1729,7.59159565,-9.222291946,1
927,1793,6.938483715,-7.895061493,1
927,1857,6.283216,-7.723567963,1
927,1921,6.505179405,-6.907170296,1
927,1985,6.911593914,-7.766442299,1
991,65,0.3653079271,5.453729153,1
991,129,-0.2249587774,8.663190842,1
991,193,-0.7573368549,10.0569706,1
991,257,-1.408560395,9.645359993,1
991,321,-1.716394305,8.633986473,1
991,385,-1.887144327,7.248489857,1
991,449,-1.346347809,5.088237286,1
991,513,-1.219101667,4.325087547,1
991,577,-1.767103791,3.581808567,1
991,641,-1.844715238,2.981835604,1
991,705,-0.894174695,5.317332268,1
991,769,1.555375814,3.265379429,1
991,833,2.602310658,0.514826417,1
991,897,5.560730457,-2.780078888,1
991,961,6.428388596,-7.214288712,1
991,1025,6.966789246,-5.667721272,1
991,1089,11.40155697,-6.882513046,1
991,1153,10.97230625,-13.31117725,1
991,1217,11.98592186,-13.16724873,1
991,1281,8.829144478,-9.781596184,1
991,1345,7.655707836,-9.947963715,1
991,1409,7.754642963,-9.358013153,1
991,1473,7.483235359,-8.765994072,1
991,1537,7.381741524,-8.585765839,1
991,1601,7.185730457,-8.598114967,1
991,1665,7.157477379,-8.24087429,1
991,1729,7.105572701,-8.365243912,1
991,1793,6.375213146,-7.781214714,1
991,1857,6.251122952,-7.185688019,1
991,1921,6.236717701,-5.38845253,1
991,1985,6.646819592,-5.275460243,1
1055,65,-2.100654125,8.506680489,1
1055,129,-1.631677628,9.788421631,1
1055,193,-1.724694014,12.11709309,1
1055,257,-2.008548737,11.23657513,1
1055,321,-2.01425457,10.41144085,1
1055,385,-2.657468796,8.828907967,1
1055,449,-4.158912182,6.426122665,1
1055,513,-4.311799049,5.152419567,1
1055,577,-3.866553068,3.641286612,1
1055,641,-2.850394487,2.653220415,1
1055,705,-1.822859526,3.351206303,1
1055,769,0.09148645401,3.068070412,1
1055,833,-0.6593959332,2.387696743,1
1055,897,2.141101837,-0.2256171703,1
1055,961,3.76949358,-2.29705143,1
1055,1025,4.225356102,-4.395419598,1
1055,1089,4.882494926,-4.497242451,1
1055,1153,5.571442604,-5.717042923,1
1055,1217,5.272257328,-7.616835117,1
1055,1281,5.230106354,-8.471212387,1
1055,1345,5.499003887,-8.475588799,1
1055,1409,6.339756966,-8.038722992,1
1055,1473,6.808578968,-8.018676758,1
1055,1537,6.567644596,-8.035036087,1
1055,1601,6.093454361,-7.976613045,1
1055,1665,6.997267723,-7.83391428,1
1055,1729,8.172517776,-7.682411671,1
1055,1793,6.650671959,-7.796154976,1
1055,1857,6.005318165,-7.991356373,1
1055,1921,4.779906273,-7.051285744,1
1055,1985,5.603609085,-6.232820988,1
1119,65,-4.135598183,9.08053112,1
1119,129,-10.04526806,16.97662163,1
1119,193,-2.529750347,12.56613541,1
1119,257,-1.244958401,12.47386837,1
1119,321,-0.8028068542,12.3041153,1
1119,385,-2.377783775,10.05062389,1
1119,449,-3.542160511,8.034540176,1
1119,513,-4.434718609,6.204366684,1
1119,577,-4.840005398,4.068751812,1
1119,641,-4.870476246,2.884450912,1
1119,705,-3.579978943,-0.1568379402,1
1119,769,-1.915165424,2.24602747,1
1119,833,-0.7850394845,3.538239002,1
1119,897,0.267626524,1.643799663,1
1119,961,1.572063208,0.1876064539,1
1119,1025,1.972784996,-1.294495344,1
1119,1089,1.051314592,-2.499335051,1
1119,1153,0.7296643257,-3.517290592,1
1119,1217,0.831738472,-4.906897068,1
1119,1281,1.613535881,-6.324987411,1
1119,1345,1.530498981,-6.519845486,1
1119,1409,1.825706959,-6.22851181,1
1119,1473,5.237286091,-6.600298405,1
1119,1537,5.122119904,-7.550073624,1
1119,1601,5.075685501,-7.913587093,1
1119,1665,5.471801281,-7.224498272,1
1119,1729,5.666406631,-6.920432091,1
1119,1793,6.621346951,-6.130377769,1
1119,1857,5.747214794,-6.093307495,1
1119,1921,4.79880476,-7.239423275,1
1119,1985,4.652964115,-6.903307438,1
1183,65,NaN,NaN,2
1183,129,NaN,NaN,2
1183,193,-3.428285599,11.39987373,1
1183,257,-3.204916716,12.85041714,1
1183,321,-3.20510149,13.86485004,1
1183,385,-3.819097519,11.90756893,1
1183,449,-5.030874252,10.96686649,1
1183,513,-6.163129807,6.459395409,1
1183,577,-6.299655914,4.503211021,1
1183,641,-6.588310242,3.75244379,1
1183,705,-5.429721832,1.037988663,1
1183,769,-3.914613485,2.563055038,1
1183,833,-3.190066814,2.183807135,1
1183,897,-2.999820709,1.290512562,1
1183,961,-0.03660917282,0.6122875214,1
1183,1025,0.153853178,0.08063149452,1
1183,1089,0.1736531258,-0.7170913219,1
1183,1153,-0.4115355015,-1.864216805,1
1183,1217,-0.2277445793,-3.09486866,1
1183,1281,1.008421659,-3.810276508,1
1183,1345,2.154976845,-3.825576305,1
1183,1409,2.36771965,-3.765140057,1
1183,1473,3.652276278,-4.865527153,1
1183,1537,3.992239952,-6.324305534,1
1183,1601,3.793750525,-6.511783123,1
1183,1665,3.519991398,-5.926398277,1
1183,1729,3.209781647,-5.702110291,1
1183,1793,4.358250618,-4.695127487,1
1183,1857,4.806921482,-4.703738213,1
1183,1921,4.392755508,-5.590835571,1
1183,1985,3.168171406,-5.829205513,1
1247,65,-6.815534592,10.32637501,1
1247,129,-4.157068729,11.06289673,1
1247,193,-4.329506874,11.65844727,1
1247,257,-4.337320328,12.35910988,1
1247,321,-4.547278404,14.10856628,1
1247,385,-5.216439724,11.2445879,1
1247,449,-6.757596493,13.50055504,1
1247,513,-7.599478245,13.17702198,1
1247,577,-4.397323132,5.247961044,1
1247,641,-7.847893238,14.43436623,1
1247,705,-8.301561356,12.37301636,1
1247,769,-5.232094288,2.954267502,1
1247,833,-4.584079266,2.269461632,1
1247,897,-4.232247353,1.630565524,1
1247,961,-3.338762283,1.362217665,1
1247,1025,-0.9227628708,0.9342073202,1
1247,1089,-0.375156641,0.8944840431,1
1247,1153,-0.383788079,-0.08585292101,1
1247,1217,-0.3211276531,-1.494583368,1
1247,1281,0.17514503,-1.708289146,1
1247,1345,1.484787345,-1.670199871,1
1247,1409,1.888301849,-2.2415874,1
1247,1473,2.769914627,-2.84486413,1
1247,1537,3.276438951,-3.72360754,1
1247,1601,2.984354496,-4.548574924,1
1247,1665,2.644721031,-4.473947048,1
1247,1729,2.815162897,-4.697410583,1
1247,1793,3.409039974,-5.231774807,1
1247,1857,4.219468594,-4.836988926,1
1247,1921,4.532912254,-4.897652149,1
1247,1985,3.892702103,-5.191055775,1
1311,65,-3.893172741,10.54136181,1
1311,129,-4.640892982,10.8630991,1
1311,193,-4.748655796,11.3196106,1
1311,257,-5.558337688,11.55080318,1
1311,321,-6.977267742,13.72655582,1
1311,385,-11.07865524,15.71515179,1
1311,449,-10.1701622,15.6396122,1
1311,513,-9.198689461,15.23541641,1
1311,577,-6.769057274,5.385663509,1
1311,641,-7.75159502,10.64535141,1
1311,705,-9.423494339,6.777569294,1
1311,769,-5.999835968,3.14141202,1
1311,833,-5.440080643,2.388892412,1
1311,897,-4.159457207,6.683969975,1
1311,961,-5.800477505,1.695542574,1
1311,1025,-2.454831123,1.599510193,1
1311,1089,-1.667630553,1.530103922,1
1311,1153,-0.4855298996,0.41223526,1
1311,1217,0.2590878606,-1.477644444,1
1311,1281,-0.1053273082,-0.1261096001,1
1311,1345,0.6234233975,-0.109913826,1
1311,1409,1.510878086,-0.9783792496,1
1311,1473,2.109536648,-1.214968681,1
1311,1537,2.785084486,-1.786474228,1
1311,1601,2.977035761,-2.699553013,1
1311,1665,3.308455944,-3.678581953,1
1311,1729,3.110889673,-4.468100548,1
1311,1793,3.522948742,-4.630992889,1
1311,1857,4.125725746,-4.605013847,1
1311,1921,4.447631836,-4.661018372,1
1311,1985,4.667882919,-4.915577888,1
1375,65,-4.608139515,11.43104362,1
1375,129,-6.499365807,10.98356056,1
1375,193,-8.349435806,11.15021515,1
1375,257,-10.91153812,12.00699711,1
1375,321,-10.9031601,16.19387054,1
1375,385,-12.60111618,17.18775558,1
1375,449,-12.49966145,16.15962791,1
1375,513,-8.466600418,9.046528816,1
1375,577,-12.70662117,15.12060928,1
1375,641,-7.784092426,9.375370026,1
1375,705,-7.243254185,4.962722301,1
1375,769,-9.855090141,3.672554493,1
1375,833,-7.534406662,2.601246119,1
1375,897,-6.788258553,2.268106937,1
1375,961,-6.238709927,1.765743732,1
1375,1025,-3.931807041,1.456585407,1
1375,1089,-2.360293388,0.9904931784,1
1375,1153,-1.079550147,0.6239470243,1
1375,1217,-0.3053397536,0.3735483289,1
1375,1281,-0.0348046869,0.3138884306,1
1375,1345,0.4491606951,0.4124850035,1
1375,1409,1.142972231,0.07107812166,1
1375,1473,1.265460014,0.2410253286,1
1375,1537,1.663256884,0.5562744737,1
1375,1601,2.237506628,-1.545673847,1
1375,1665,2.675440788,-2.802541256,1
1375,1729,2.393616199,-3.59006381,1
1375,1793,2.604893684,-3.868432999,1
1375,1857,3.392077684,-4.112512112,1
1375,1921,3.633587599,-4.372260094,1
1375,1985,3.976444483,-4.911243439,1
1439,65,-5.372495651,12.02228737,1
1439,129,-5.232307911,11.31805515,1
1439,193,-6.996743679,11.5383482,1
1439,257,-10.05103493,11.50319481,1
1439,321,-12.51939964,14.00375366,1
1439,385,-13.20934963,18.78042603,1
1439,449,-11.81429005,14.97155571,1
1439,513,-11.89958382,13.38580513,1
1439,577,-13.47437477,14.74501038,1
1439,641,-14.36522198,13.32419968,1
1439,705,-7.037174702,4.763916492,1
1439,769,-6.566281319,3.59256649,1
1439,833,-6.567483902,2.74610281,1
1439,897,-4.213776588,2.727412939,1
1439,961,-5.593479156,1.687126279,1
1439,1025,-4.158101559,1.186637044,1
1439,1089,-3.366553068,0.6742598414,1
1439,1153,-2.433016062,0.6949657202,1
1439,1217,-1.208832979,0.7082651854,1
1439,1281,-0.3002304435,0.3564840257,1
1439,1345,0.04871100187,0.5273382068,1
1439,1409,0.6960362792,0.5413951278,1
1439,1473,0.9226430655,0.7889423966,1
1439,1537,1.467116475,1.596833587,1
1439,1601,1.693056583,-0.5806792974,1
1439,1665,2.718954086,-1.21863699,1
1439,1729,2.12912631,-2.049193382,1
1439,1793,2.746675491,-2.769815922,1
1439,1857,3.344623566,-2.997272491,1
1439,1921,3.605873108,-3.164019823,1
1439,1985,5.016794205,-3.167320728,1
1503,65,-4.857539177,13.53766727,1
1503,129,-5.438610077,12.34042358,1
1503,193,-8.845630646,12.5688982,1
1503,257,-10.84438515,13.37010956,1
1503,321,-12.11427784,14.67440414,1
1503,385,-12.56898689,14.93229866,1
1503,449,-12.73771572,15.72532845,1
1503,513,-12.2632885,13.81835747,1
1503,577,-11.63009167,11.85370922,1
1503,641,-8.911988258,6.292895317,1
1503,705,-12.31900978,4.630832195,1
1503,769,-11.64482689,2.927001953,1
1503,833,-9.208462715,2.628855467,1
1503,897,-4.068510532,2.135915995,1
