PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 13, filenames: A:[13]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[14]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
607,321,-4.442397118,-1.298108697,1
607,385,-3.886154652,-1.431370735,1
607,449,-3.771412373,-0.9574777484,1
607,513,-4.973721981,-0.08563150465,1
607,577,-6.117657661,0.4662532806,1
607,641,-0.4118493795,1.984027028,1
607,705,2.035911083,3.193878889,1
607,769,-0.7728896737,1.934134007,1
607,833,-0.7282568812,2.312029839,1
607,897,-0.3492912054,1.357550859,1
607,961,-8.142666817,3.900671721,1
607,1025,2.729669571,0.8655632734,1
607,1089,3.679888725,0.8567036986,1
607,1153,3.707792759,-0.388992846,1
607,1217,4.314781189,-1.181028366,1
607,1281,5.077337742,-1.253222108,1
607,1345,5.686676502,-1.08999753,1
607,1409,3.981942177,-0.9708074331,1
607,1473,2.960449696,-1.524389029,1
607,1537,1.611951351,-1.745206714,1
607,1601,1.205235124,-0.7577224374,1
607,1665,1.518729448,-0.3382404447,1
607,1729,1.193473697,1.135857105,1
607,1793,1.25570941,7.37970686,1
607,1857,1.340372562,4.733163834,1
607,1921,1.139696121,-0.1195030808,1
607,1985,0.6989323497,-0.1586743593,1
671,65,-3.289458752,-0.4303526878,1
671,129,-3.546321392,-5.084091187,1
671,193,-3.814692974,-4.704567432,1
671,257,-4.030400276,-2.044146061,1
671,321,-4.057500362,-1.230947971,1
671,385,-3.256785154,-1.060538769,1
671,449,-1.873978376,-0.7764901519,1
671,513,-1.426661491,-0.5524331331,1
671,577,-2.038063526,0.0393280983,1
671,641,-0.5993931293,0.6499557495,1
671,705,2.133013248,1.049511552,1
671,769,-4.653169155,1.381647825,1
671,833,-4.544620514,1.490069389,1
671,897,-0.2508891821,0.9536001682,1
671,961,0.02461862564,0.7404892445,1
671,1025,1.228086591,1.08232975,1
671,1089,1.975666285,0.4706583619,1
671,1153,2.332426071,-0.3078006506,1
671,1217,3.160442829,-1.195520401,1
671,1281,3.85424757,-0.6035816669,1
671,1345,2.494556427,-0.4379559755,1
671,1409,3.0227108,-0.5708174706,1
671,1473,2.687821865,-1.076607704,1
671,1537,2.066588163,-1.132166386,1
671,1601,1.741468668,-0.5138711929,1
671,1665,3.199348927,-0.1192368865,1
671,1729,3.016089678,-0.3374311328,1
671,1793,0.8630235195,4.885816097,1
671,1857,0.786934495,2.761875153,1
671,1921,1.166095972,0.04020366073,1
671,1985,0.9001056552,-0.2901409864,1
735,65,-1.562186003,-1.301997662,1
735,129,-2.447310209,-3.085540056,1
735,193,-3.410474777,-2.681887627,1
735,257,-3.608196497,-1.716381788,1
735,321,-3.276596069,-1.092617035,1
735,385,-3.829444885,0.06072276831,1
735,449,-1.425522208,0.7572786808,1
735,513,0.000311255455,0.8209956884,1
735,577,-1.217039466,1.025904536,1
735,641,-0.878477931,1.041859269,1
735,705,3.848012924,1.354318619,1
735,769,-0.3817070723,1.304893374,1
735,833,-1.787101269,1.349443793,1
735,897,-4.949008465,0.8200670481,1
735,961,-1.856387138,0.65076226,1
735,1025,-2.720092297,0.5712657571,1
735,1089,9.748117447,-3.379656553,1
735,1153,3.651218176,-1.134058595,1
735,1217,2.289061546,-0.2198471427,1
735,1281,2.973982811,-0.3143760264,1
735,1345,2.916383266,-0.4070851505,1
735,1409,2.86263895,-0.9206553102,1
735,1473,2.880666733,-1.3498317,1
735,1537,2.621760368,-1.101412654,1
735,1601,2.553653002,-0.8688704967,1
735,1665,2.9286201,-1.431620121,1
735,1729,2.739172935,-0.7609575391,1
735,1793,1.735837221,-0.09110373259,1
735,1857,0.7226458788,-0.2566848099,1
735,1921,1.076263905,-0.07897534966,1
735,1985,0.2908107638,-1.006645441,1
799,65,-1.028285146,-1.565313697,1
799,129,-1.903406143,-2.447243214,1
799,193,-2.662347794,-1.831462145,1
799,257,-2.519900799,-1.344651222,1
799,321,-2.035603762,-0.04709041119,1
799,385,-3.817122459,1.289721966,1
799,449,-2.036180019,2.835567236,1
799,513,-1.290049672,2.861609936,1
799,577,-0.5995641947,2.446158886,1
799,641,3.526085854,3.614975452,1
799,705,5.116672516,2.380566835,1
799,769,3.354765177,1.303238273,1
799,833,-0.05961991847,1.042189479,1
799,897,-0.09224481881,0.9710416198,1
799,961,-2.081753254,0.6166522503,1
799,1025,-3.318493843,-0.1995489001,1
799,1089,10.69701481,-5.211056709,1
799,1153,10.58967972,-4.057453632,1
799,1217,1.085198402,0.04795201123,1
799,1281,1.92788434,1.127765894,1
799,1345,1.907566547,-0.4095253944,1
799,1409,2.296738625,-1.088614583,1
799,1473,2.897116184,-2.185817957,1
799,1537,3.061046362,-1.105569363,1
799,1601,3.55300498,-0.7705721855,1
799,1665,2.54792428,-0.7961421013,1
799,1729,2.25439024,-0.6103355885,1
799,1793,2.647292137,-0.3566802144,1
799,1857,1.977447987,-0.3489097059,1
799,1921,1.20528698,-0.6256266832,1
799,1985,0.3473138809,-1.085358262,1
863,65,-1.385333538,-0.9209125042,1
863,129,-0.2478899956,-1.801678658,1
863,193,-0.7283232212,-0.4636824727,1
863,257,-1.172256589,0.2976796627,1
863,321,-1.881826162,1.958079338,1
863,385,-3.900775194,3.297097683,1
863,449,-4.774753094,6.122010231,1
863,513,-1.523781776,7.069655418,1
863,577,-1.217870116,3.091986418,1
863,641,-0.8874008656,2.536248207,1
863,705,4.628982544,4.760048389,1
863,769,5.781600475,1.830138087,1
863,833,4.199464321,0.9057338238,1
863,897,0.2520400584,-1.276772261,1
863,961,-0.1867529452,-4.194524765,1
863,1025,-0.7012976408,-8.067215919,1
863,1089,0.9976940155,0.3480904698,1
863,1153,1.923897266,0.1897201687,1
863,1217,2.330870628,-0.4031530023,1
863,1281,1.539255857,-0.6814464331,1
863,1345,1.257411957,-0.8913565874,1
863,1409,2.587372541,-1.320034623,1
863,1473,2.790078402,-1.303062201,1
863,1537,2.687652826,-2.309770107,1
863,1601,3.11882019,-0.2667614222,1
863,1665,2.018847942,0.04819872975,1
863,1729,1.606342554,-0.2187356353,1
863,1793,2.581745148,-0.4704182744,1
863,1857,1.95240736,-0.3012035191,1
863,1921,1.479854822,-0.1869994998,1
863,1985,1.197028756,-0.5097887516,1
927,65,-2.196460485,0.1444427967,1
927,129,-0.5469419956,0.08310866356,1
927,193,0.01148438454,0.6597845554,1
927,257,-0.20064044,1.266938448,1
927,321,-0.6827366352,2.102536201,1
927,385,-4.088457108,4.210031509,1
927,449,-6.57412672,8.395236969,1
927,513,-5.545914173,9.507424355,1
927,577,-1.913707256,2.418043852,1
927,641,-1.833080769,1.975132942,1
927,705,-1.233897567,2.200537682,1
927,769,-0.6381473541,1.259087682,1
927,833,-0.1914759874,-0.5459194183,1
927,897,0.1745600551,-2.860144138,1
927,961,0.6031637192,-0.9845615029,1
927,1025,1.799661398,0.4113451838,1
927,1089,2.448782921,-0.03060850501,1
927,1153,3.052290201,-0.5175154805,1
927,1217,3.117114067,-2.722780704,1
927,1281,2.523591518,-2.281364679,1
