PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 9, filenames: A:[9]AVI_Pos00d_TimeSrs0006_TgUtrmcherry_K4K8MO.avi & B:[10]AVI_Pos00d_TimeSrs0006_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
79,801,-7.763819695,-6.680844307,1
79,833,-8.217222214,-5.74657774,1
79,865,-5.920806408,-3.56281662,1
79,897,-6.083337784,-4.445325375,1
79,929,-25.70074463,1.648736954,1
79,961,-28.15858841,-3.456729889,1
79,993,-7.467406273,-7.7867589,1
79,1025,-7.669856071,-7.415956497,1
79,1057,-8.000496864,-9.548780441,1
79,1089,-10.98954391,-3.814087868,1
79,1121,6.19938755,-20.67908096,1
79,1153,-10.5602684,-6.847807407,1
79,1185,-7.783347607,-5.118943214,1
79,1217,-7.415093899,-5.275957108,1
79,1249,-7.72496748,-5.616020679,1
79,1281,-7.204648495,-3.413393497,1
79,1313,-9.067601204,-4.927195072,1
79,1345,-7.450678825,-6.167856216,1
79,1377,-7.944190979,-4.158192635,1
79,1409,-7.606291771,-5.865559578,1
79,1441,-7.78215313,-7.021049976,1
79,1473,-7.902792931,-8.641267776,1
79,1505,-7.051799774,-8.463350296,1
79,1537,-6.191789627,-7.173838615,1
79,1569,-5.821575165,-5.601409435,1
79,1601,-0.36581707,-1.065085888,1
79,1633,-2.709308147,-0.7759346962,1
79,1665,-8.027564049,-3.854908943,1
79,1697,6.628591061,0.9159984589,1
79,1729,-6.450107098,-4.84070158,1
79,1761,-5.753467083,-5.257000923,1
79,1793,2.399704933,-1.691948891,1
79,1825,-6.977375984,-10.51308346,1
79,1857,-7.71321106,-5.272100925,1
79,1889,16.06638336,-2.23738122,1
79,1921,-13.31524181,-7.03370285,1
79,1953,0.5033279657,0.8827816844,1
79,1985,-1.178821325,-0.3509649932,1
79,2017,-2.465138435,-4.214962006,1
111,33,0.9823598862,-0.3258733749,1
111,65,-7.283234596,-11.46209812,1
111,97,-7.338503361,-12.41528511,1
111,129,5.829179764,9.984528542,1
111,161,-6.502146721,-15.10290241,1
111,193,-5.602340221,-12.4980278,1
111,225,-7.608673096,-11.710042,1
111,257,-3.220832825,-7.345892429,1
111,289,-3.855905533,-7.319633961,1
111,321,-3.415686131,-8.657747269,1
111,353,-1.75403595,-12.20947647,1
111,385,-0.426302433,-13.79986477,1
111,417,-5.570558071,-12.39809418,1
111,449,-4.492539883,-11.18898296,1
111,481,-3.36925745,-9.488396645,1
111,513,-0.7014594078,-8.247405052,1
111,545,-4.678507805,-8.213035583,1
111,577,-5.474673271,-8.253522873,1
111,609,-5.833102226,-8.573290825,1
111,641,-7.034376621,-7.010109425,1
111,673,-11.20300102,-7.313614368,1
111,705,-23.09016991,-16.00043678,1
111,737,-7.268391132,-9.799869537,1
111,769,-7.38787365,-8.929297447,1
111,801,-7.317284107,-8.565336227,1
111,833,-8.903709412,-5.226260185,1
111,865,-7.86404705,-4.549030304,1
111,897,-4.660138607,-6.237966061,1
111,929,-26.3870163,0.6278967857,1
111,961,-27.64453697,-2.69303751,1
111,993,9.014196396,3.211628914,1
111,1025,-7.910912514,-8.174535751,1
111,1057,-8.441257477,-7.107149601,1
111,1089,-8.74170208,-6.627036095,1
111,1121,-18.23224258,-17.78040695,1
111,1153,-8.038046837,-5.233083248,1
111,1185,-8.220932007,-5.333515167,1
111,1217,-8.326561928,-5.556155682,1
111,1249,-6.456715584,-11.69646645,1
111,1281,-9.13035965,-2.416520119,1
111,1313,-10.13082409,-3.556937218,1
111,1345,-11.35737705,6.354740143,1
111,1377,-6.882513046,-7.273165226,1
111,1409,-5.640169144,-7.401450157,1
111,1441,-4.858896255,-6.261415005,1
111,1473,-7.893532753,-7.162056923,1
111,1505,-7.181467056,-8.027837753,1
111,1537,-3.844814301,10.35244942,1
111,1569,5.898169041,-6.295912743,1
111,1601,-5.032018185,-4.341814518,1
111,1633,-5.256297112,-2.980768204,1
111,1665,-7.132594109,-4.817570686,1
111,1697,-7.335823536,-6.11659193,1
111,1729,-1.739912033,12.70490742,1
111,1761,-5.955919266,-3.333003044,1
111,1793,-4.163129807,-7.503686905,1
111,1825,-4.273795605,-7.945423603,1
111,1857,-6.391604424,-8.270048141,1
111,1889,6.207624912,14.40097332,1
111,1921,-5.248418331,-4.942170143,1
111,1953,0.4076552391,0.650316,1
111,1985,-1.441437483,-0.7412968874,1
111,2017,-9.382656097,-7.527380943,1
143,33,8.650556564,2.583254814,1
143,65,0.5573667288,-9.245642662,1
143,97,19.52804184,-6.326545715,1
143,129,5.951128006,-9.020339012,1
143,161,-3.155509949,-14.03373718,1
143,193,-3.961532593,-13.49680233,1
143,225,-2.61003685,-7.405704975,1
143,257,-3.205333948,-7.253520966,1
143,289,-4.8960886,-7.405825138,1
143,321,-5.264550209,-11.84669685,1
143,353,2.055897713,5.73114109,1
143,385,-22.86399078,-3.240356445,1
143,417,-17.60739708,-25.34768677,1
143,449,-3.963905573,-10.22308159,1
143,481,-3.659348488,-9.319929123,1
143,513,-4.022892952,-9.174114227,1
143,545,-5.071214676,-9.394680023,1
143,577,-5.812151909,-9.062547684,1
143,609,-5.601008415,-7.324120522,1
143,641,-7.132522583,-7.563333988,1
143,673,-16.43767929,-7.402948856,1
143,705,-8.963056564,-7.767011166,1
143,737,-7.551240921,-6.372617245,1
143,769,-6.529242992,-8.335083961,1
143,801,-5.852889061,-9.039377213,1
143,833,-7.149632931,-7.671674252,1
143,865,-9.106445312,-5.305144787,1
143,897,-23.67458344,4.099574089,1
143,929,-19.01743889,-16.34911346,1
143,961,-16.19442177,-19.93262863,1
143,993,-6.98340416,-6.455101967,1
143,1025,-7.635873795,-6.057724953,1
143,1057,-8.683782578,-5.688388348,1
143,1089,-9.420350075,-6.079588413,1
143,1121,-11.07828712,-5.941560268,1
143,1153,-10.10890388,-5.950589657,1
143,1185,-9.159990311,-6.039440155,1
143,1217,-13.33471775,-4.604150772,1
143,1249,-9.252165794,-6.847154617,1
143,1281,-10.57371521,-3.734604836,1
143,1313,-10.83084869,-3.106158257,1
143,1345,-5.741697311,8.219442368,1
143,1377,-8.048016548,-8.343606949,1
143,1409,-6.683913708,-7.191649914,1
143,1441,-7.001006126,-6.542757988,1
143,1473,-7.621120453,-6.391612053,1
143,1505,8.380536079,2.877510548,1
143,1537,-2.277006149,10.6311512,1
143,1569,-2.866939545,-15.21231651,1
143,1601,-6.649634838,-7.246946812,1
143,1633,-7.093119144,-4.647675037,1
143,1665,-7.238999367,-4.853761196,1
143,1697,-7.777982712,-3.758477688,1
143,1729,-7.099430084,-1.984427214,1
143,1761,-6.088947296,-3.841153145,1
143,1793,-5.581801414,-5.054674149,1
143,1825,-5.392053127,-4.272071838,1
143,1857,14.7555027,-4.97390461,1
143,1889,0.2300112247,-0.4831938744,1
143,1921,-0.7595689893,-0.3036255538,1
143,1953,0.5944542289,0.1427435875,1
143,1985,-0.6776432991,-1.159055948,1
143,2017,-7.715753078,-6.42196703,1
175,33,20.79907608,6.791820526,1
175,65,0.1730861962,-8.242346764,1
175,97,-0.3854054809,-9.558189392,1
175,129,-0.7268072367,-11.09810257,1
175,161,-0.7215976715,-11.01219749,1
175,193,0.9354496002,6.611196518,1
175,225,-1.215002418,-8.084746361,1
175,257,-2.464367151,-8.235906601,1
175,289,-3.674380779,-8.204366684,1
175,321,-4.384908199,-5.399806023,1
175,353,-4.464454651,-8.379779816,1
175,385,-13.07505703,4.263558388,1
175,417,-14.18145561,3.197698593,1
175,449,-0.06953859329,-9.584579468,1
175,481,-2.484069824,-9.256215096,1
175,513,-4.189842701,-9.690523148,1
175,545,-4.918317318,-10.57934856,1
175,577,-5.868014336,-9.43115139,1
175,609,-6.843319416,-8.144698143,1
175,641,-7.614915371,-7.061420441,1
175,673,-8.482006073,-5.432519436,1
175,705,-10.10072422,-7.693025589,1
175,737,-24.68144226,-15.91124058,1
175,769,-5.35825491,-8.014390945,1
175,801,-4.761012077,-9.165341377,1
175,833,-5.670419216,-7.084450245,1
175,865,-22.68307114,-16.79212189,1
175,897,-23.87979507,5.122933865,1
175,929,-8.031339645,-5.701672554,1
175,961,-8.22239399,-6.266051769,1
175,993,-9.498880386,-5.127494335,1
175,1025,-7.841377258,-5.688484669,1
175,1057,-9.054012299,-6.192878723,1
175,1089,-10.35487461,-6.181423187,1
175,1121,-11.22271061,-6.132361412,1
175,1153,-10.48113251,-6.404928684,1
175,1185,-9.412330627,-6.999444008,1
175,1217,-8.783939362,-6.912776947,1
175,1249,-8.898171425,-6.368290424,1
175,1281,-11.83945847,-5.064587593,1
175,1313,-11.47623539,-6.107918739,1
175,1345,-6.121506691,9.233342171,1
175,1377,-11.86018276,-7.819489479,1
175,1409,-7.567317963,-7.178440094,1
175,1441,-9.357043266,-7.126709938,1
175,1473,-11.95520306,-6.784170151,1
175,1505,-20.43864441,-18.52000046,1
175,1537,-2.454828262,-26.16519165,1
175,1569,8.364722252,4.764604092,1
175,1601,11.80552197,-4.312639713,1
175,1633,-7.574637413,-4.50019455,1
175,1665,-3.641359329,-4.612893105,1
175,1697,-5.849238396,-3.155064821,1
175,1729,-7.005819798,0.04818058014,1
175,1761,-7.232653618,-1.301058054,1
175,1793,-8.011933327,-3.039670467,1
175,1825,11.31922245,-3.708273649,1
175,1857,-0.661895752,-1.244440556,1
175,1889,5.043857574,15.36355209,1
175,1921,-2.718525171,-1.471132398,1
175,1953,-6.046815872,0.3518829346,1
175,1985,-4.488065243,-3.055126905,1
175,2017,-3.135826588,-2.991786718,1
207,33,-7.409575462,10.02237988,1
207,65,-1.921592236,-4.797620773,1
207,97,-4.065957546,-11.20547104,1
207,129,-0.7449657917,-8.58896637,1
207,161,0.4917037487,-7.776195526,1
207,193,-0.7143445015,-8.395694733,1
207,225,-1.334129095,-9.330488205,1
207,257,-1.581740618,-10.12613201,1
207,289,-2.627848387,-9.002286911,1
207,321,-3.841263294,-6.833666801,1
207,353,12.65891171,-20.30182838,1
207,385,-2.657893658,-7.51497364,1
207,417,-2.502542496,-7.537740707,1
207,449,-6.162739277,-10.08502579,1
207,481,-10.54731178,-12.22599792,1
207,513,-3.657619476,-9.876586914,1
207,545,-18.74273109,4.375441551,1
207,577,6.688271523,-9.139476776,1
207,609,-6.878335476,-8.713943481,1
207,641,-7.554917812,-6.166405678,1
207,673,-19.91300201,7.874696732,1
207,705,4.751627922,-17.08805466,1
207,737,-6.759099483,-6.908973217,1
207,769,-6.06821537,-7.092628002,1
207,801,-5.649427891,-7.351216316,1
207,833,-5.791150093,-5.989178658,1
207,865,-10.00207138,-10.56399441,1
207,897,-7.768765926,-3.627748489,1
207,929,-8.913675308,-3.5572052,1
207,961,-9.75685215,-4.531601906,1
207,993,-11.06786251,-3.428992271,1
207,1025,-9.582891464,-5.824612141,1
207,1057,-9.387395859,-6.261877537,1
207,1089,-10.04122925,-6.103383541,1
207,1121,-10.47809601,-6.036330223,1
207,1153,-10.02735424,-5.892227173,1
207,1185,-9.088172913,-7.122919559,1
207,1217,8.292625427,-12.40710354,1
207,1249,-5.851577759,-5.86054039,1
207,1281,-8.529147148,-4.851527214,1
207,1313,-10.54382992,-5.393134117,1
207,1345,-3.151580811,9.885895729,1
207,1377,-16.26882172,-25.39419365,1
207,1409,-8.364629745,-7.231911659,1
207,1441,-8.951636314,-7.30626297,1
207,1473,-9.436962128,-7.057414532,1
207,1505,-10.47561646,-9.634583473,1
207,1537,-11.36097527,-9.307389259,1
207,1569,-13.69146156,10.18222237,1
207,1601,4.272381783,-20.33124542,1
207,1633,-7.331967354,-4.507627487,1
207,1665,-6.897675991,-4.152718544,1
207,1697,-6.224864483,-3.701270819,1
207,1729,-15.8683672,5.982368469,1
207,1761,-8.195822716,-0.7357602119,1
207,1793,-8.970970154,-1.41411972,1
207,1825,-7.272674561,-2.956693172,1
207,1857,-13.20338249,16.92331123,1
207,1889,-5.269895554,-3.202311039,1
207,1921,-3.222366333,-0.9999985099,1
207,1953,13.19802284,-2.503543854,1
207,1985,1.67866075,0.1493676305,1
207,2017,-2.069478989,-0.4202823639,1
239,33,-8.961093903,10.59723854,1
239,65,-2.978922844,-0.2194475681,1
239,97,-2.983459234,-6.720729828,1
239,129,-1.823441267,-8.733675957,1
239,161,-2.102054119,-9.5993433,1
239,193,-2.155007124,-10.63357353,1
239,225,-1.868931293,-11.03066349,1
239,257,-0.4465049505,-11.07776451,1
239,289,-1.911534309,-9.999195099,1
239,321,-3.015222311,-8.59349823,1
239,353,-4.085612297,-8.181144714,1
239,385,-2.943483829,-6.960134506,1
239,417,-2.196710825,-8.012746811,1
239,449,-2.619376183,-9.662903786,1
239,481,-3.063116789,-10.04833889,1
239,513,-3.484559059,-9.56373024,1
239,545,-4.80206728,-8.66513443,1
239,577,8.953132629,-8.51998806,1
239,609,-0.4274945259,-1.109707832,1
239,641,9.315158844,-0.2672915459,1
239,673,-8.046827316,-2.933524609,1
239,705,-10.4765873,-4.621034145,1
239,737,-6.531920433,-7.127501965,1
239,769,-6.124272346,-6.489227772,1
239,801,-5.731352329,-5.41658926,1
239,833,-5.622380733,-5.541410923,1
239,865,-4.995990753,-4.492490768,1
239,897,-6.83272171,-3.501145363,1
239,929,-8.57179451,-3.558020592,1
239,961,-11.19344234,-5.475732803,1
239,993,-13.14738464,-5.076606274,1
239,1025,-9.712615013,-5.725888729,1
239,1057,-8.810282707,-6.332627773,1
239,1089,-8.309610367,-6.241300583,1
239,1121,-8.751698494,-6.198452473,1
239,1153,-9.16841507,-5.555039406,1
239,1185,-7.070345879,-6.423733234,1
239,1217,4.695191383,-17.02620697,1
239,1249,-7.305686951,-6.101585865,1
239,1281,-7.143950462,-4.83987999,1
239,1313,-11.00332546,-4.745416641,1
239,1345,-12.00083351,-11.22161674,1
239,1377,-9.123009682,-8.095939636,1
239,1409,-6.050621033,-6.668179035,1
239,1441,-6.323040962,-6.408562183,1
239,1473,-10.90565777,-6.900856018,1
239,1505,-11.05215073,-8.493930817,1
239,1537,9.886501312,-10.53234673,1
239,1569,-6.786580563,-6.392745972,1
239,1601,-6.769712925,-4.370788574,1
239,1633,-7.615258694,-2.969841242,1
239,1665,-8.305891037,-3.281316519,1
239,1697,-6.720912933,-1.965401411,1
239,1729,-0.9444732666,-0.3038828373,1
239,1761,-8.754909515,-3.353793383,1
239,1793,-9.375157356,-4.071170807,1
239,1825,-9.179648399,-2.196423769,1
239,1857,-9.034721375,-0.6724088192,1
239,1889,-6.790891647,-0.4332507849,1
239,1921,-5.08399725,-0.469411701,1
239,1953,-2.936335802,-0.6395565271,1
239,1985,-2.027547598,-0.3717166483,1
239,2017,-2.140592098,0.2571303844,1
271,33,-7.779977322,9.12937355,1
271,65,-7.872166634,0.4198117256,1
271,97,-2.354528904,-5.548984528,1
271,129,-2.658508539,-8.428157806,1
271,161,-2.670314074,-9.336583138,1
271,193,-2.529312134,-9.720001221,1
271,225,-19.45514488,-17.84946823,1
271,257,10.58167934,-16.39158249,1
271,289,-1.821819782,-11.19894981,1
271,321,-2.373745441,-10.30980682,1
271,353,-2.884199858,-9.24533844,1
271,385,-3.618858576,-8.347988129,1
271,417,-3.806922436,-9.322969437,1
271,449,-0.9007127285,-12.00119781,1
271,481,-1.211415291,-10.4106636,1
271,513,-3.877819061,-11.79361248,1
271,545,-4.929368496,-10.32968807,1
271,577,-0.9056782722,-8.253642082,1
271,609,-2.527582169,-5.128517151,1
271,641,-4.636303425,-7.110233307,1
271,673,-6.468111515,-3.827127934,1
271,705,-10.6330986,-4.516570568,1
271,737,-7.697477341,-7.145301819,1
271,769,-6.584190369,-6.762040138,1
271,801,-6.335202694,-6.15634203,1
271,833,-6.264118671,-5.664570332,1
271,865,-6.124698162,-4.208638191,1
271,897,-7.554701805,-4.611869812,1
271,929,-8.098296165,-4.539622307,1
271,961,-8.510698318,-6.326877594,1
271,993,-8.762663841,-7.054028034,1
271,1025,3.781597137,-6.446112156,1
271,1057,-8.079880714,-7.874311924,1
271,1089,-8.576160431,-6.723215103,1
271,1121,-9.009551048,-7.360055923,1
271,1153,-8.793967247,-6.714043617,1
271,1185,-9.329794884,-6.112570286,1
271,1217,-9.009482384,-7.042458057,1
271,1249,-8.674542427,-6.708930969,1
271,1281,-8.436404228,-6.040775776,1
271,1313,-8.211515427,-5.904945374,1
271,1345,-7.777720451,-6.564638615,1
271,1377,-7.697845936,-9.462684631,1
271,1409,-1.915811539,-2.360843658,1
271,1441,-4.690946579,-3.738053322,1
271,1473,-11.08421707,-7.611125469,1
271,1505,10.70430756,-12.88170433,1
271,1537,11.18183136,-1.090692997,1
271,1569,-7.296918392,-4.560189724,1
271,1601,-7.326509476,-3.836685181,1
271,1633,-8.527187347,-2.856938839,1
271,1665,-9.547702789,-3.023708344,1
271,1697,-7.029336452,-0.3484942913,1
271,1729,-7.734239578,-1.417627335,1
271,1761,-10.60862637,-2.850044727,1
271,1793,-9.703109741,-5.202617645,1
271,1825,-10.75029278,-1.525449276,1
271,1857,-9.374412537,-0.5523299575,1
271,1889,-7.735738277,-0.3211927116,1
271,1921,-6.661715031,-0.3440070748,1
271,1953,-4.682213783,-0.8767905235,1
271,1985,-3.821606398,-0.6857267022,1
271,2017,0.9619579315,-0.5112844706,1
303,33,-4.972640038,8.929225922,1
303,65,-6.521033764,1.855006218,1
303,97,-1.777445555,-5.943971634,1
303,129,-2.291522503,-8.160931587,1
303,161,-2.381403923,-9.016037941,1
303,193,-2.266174316,-9.491015434,1
303,225,-2.249129295,-8.489091873,1
303,257,-9.508514404,-6.986451149,1
303,289,9.396390915,4.429730415,1
303,321,-11.81977081,6.303908348,1
303,353,-2.25588727,-11.87225723,1
303,385,-0.9755523205,-9.663899422,1
303,417,-2.200052977,-10.78063583,1
303,449,-2.14419651,-12.22834778,1
303,481,-7.501162529,-10.11619949,1
303,513,-5.460793972,-11.01499081,1
303,545,-6.323410511,-9.358652115,1
303,577,0.9665489197,-8.571834564,1
303,609,-1.353387833,-5.924251556,1
303,641,-0.3809084892,-1.627833843,1
303,673,-5.323925972,-4.444664001,1
303,705,-5.991457462,-6.199476242,1
303,737,-6.762385368,-6.543448925,1
303,769,-6.655215263,-7.700460434,1
303,801,-6.696282864,-7.374108791,1
303,833,-6.526535988,-6.142974377,1
303,865,-6.94103384,-6.267951488,1
303,897,-8.19970417,-5.696875572,1
303,929,-8.381206512,-5.156136036,1
303,961,-8.151280403,-5.521562576,1
303,993,-8.294768333,-5.655036926,1
303,1025,1.988064766,6.449224949,1
303,1057,-7.505950928,-9.016437531,1
303,1089,-8.850376129,-6.846343517,1
303,1121,-9.353588104,-7.456471443,1
303,1153,-8.266204834,-7.660191059,1
303,1185,-8.171632767,-6.881884098,1
303,1217,-9.298264503,-6.980849743,1
303,1249,-9.600002289,-6.851724625,1
303,1281,-8.66456604,-6.227859974,1
303,1313,-6.796596527,-5.882595062,1
303,1345,-5.771636009,-6.048765659,1
303,1377,-4.065625191,-10.38117981,1
303,1409,-9.819313049,5.756664276,1
303,1441,-10.64282417,4.305697918,1
303,1473,-10.65003395,-9.164440155,1
303,1505,0.2171730995,1.76540184,1
303,1537,-6.759319782,-4.858394146,1
303,1569,-6.781692505,-4.935091972,1
303,1601,-7.329523087,-4.926104546,1
303,1633,-7.952134132,-3.78517437,1
303,1665,-8.822430611,-3.159456253,1
303,1697,-8.387933731,-2.692158222,1
303,1729,-8.217027664,-3.690021038,1
303,1761,-9.745411873,-2.29215169,1
303,1793,-8.149773598,-5.489168167,1
303,1825,-7.977365494,-0.6499778032,1
303,1857,-9.288888931,0.1413648427,1
303,1889,-7.471200943,-0.05287715793,1
303,1921,-6.698445797,-0.06185537577,1
303,1953,5.92468071,-14.22612762,1
303,1985,-3.306534052,-0.5671360493,1
303,2017,1.302886486,-0.5520069003,1
335,33,-15.32831383,10.07326508,1
335,65,0.4594779909,-0.1761669666,1
335,97,-1.135391712,-6.633001804,1
335,129,-2.160618305,-8.415054321,1
335,161,-2.466802835,-9.283044815,1
335,193,-3.605714321,-9.081918716,1
335,225,-3.480040789,-9.407782555,1
335,257,-0.35795784,-0.3521652222,1
335,289,-8.214330673,1.851002693,1
335,321,-2.66403532,-12.03678131,1
335,353,-4.355792046,-12.76835442,1
335,385,-20.92359734,-21.27392197,1
335,417,-4.782156467,-11.58513737,1
335,449,-4.328401089,-11.78930855,1
335,481,-4.261594296,-11.0059557,1
335,513,-4.305217266,-10.89275646,1
335,545,-4.033513069,-9.481146812,1
335,577,-3.820390224,-6.924481392,1
335,609,-2.504608154,-5.361952782,1
335,641,-3.175618649,-4.966916084,1
335,673,2.284615517,-25.90763092,1
335,705,-8.472261429,-10.59357738,1
335,737,-7.995946884,-7.897770405,1
335,769,-8.102214813,-7.565633774,1
335,801,-6.921876907,-7.149521351,1
335,833,-7.003418922,-5.436938763,1
335,865,-7.948882103,-5.0603652,1
335,897,-8.544315338,-5.880844116,1
335,929,-10.99745941,-4.390501976,1
335,961,-8.605293274,-5.849239349,1
335,993,-7.183685303,-5.169488907,1
335,1025,-9.760482788,-7.452035904,1
335,1057,-8.793067932,-7.431710243,1
335,1089,-8.944149017,-6.994517326,1
335,1121,-8.91424942,-7.75792408,1
335,1153,-6.655733109,-8.093393326,1
335,1185,-6.631495476,-7.954761028,1
335,1217,-8.600517273,-7.306451797,1
335,1249,-8.789023399,-6.474909306,1
335,1281,-8.058880806,-6.251832008,1
335,1313,-5.843789577,-5.631213665,1
335,1345,-4.602430344,-6.285124302,1
335,1377,-4.443393707,-7.419628143,1
335,1409,-5.372056007,-6.956188679,1
335,1441,-6.850224018,-8.78994751,1
335,1473,-8.752940178,-7.918324471,1
335,1505,-12.38011742,6.237505436,1
335,1537,-5.217082024,-6.092909813,1
335,1569,-5.668852806,-5.976041317,1
335,1601,-6.851079464,-7.395471096,1
335,1633,-8.219479561,-5.069122791,1
335,1665,-8.886049271,-3.125361919,1
335,1697,-8.856590271,-2.438539267,1
335,1729,-8.545688629,-2.622626066,1
335,1761,-8.501198769,-1.986618757,1
335,1793,-7.789197922,2.67460227,1
335,1825,-6.338429928,2.901296616,1
335,1857,-17.88454056,10.24913883,1
335,1889,-23.01595116,10.98841095,1
335,1921,-21.71249008,10.91226768,1
335,1953,-2.55837369,-1.335474014,1
335,1985,-1.292705297,-1.146825314,1
335,2017,0.8681950569,0.066018641,1
367,33,-12.74406242,8.785608292,1
367,65,17.86815453,-9.438436508,1
367,97,6.919944286,5.820512772,1
367,129,-3.075934649,-8.49745369,1
367,161,-3.681845665,-8.750379562,1
367,193,-2.283641338,10.6397419,1
367,225,-3.068210602,-10.51870441,1
367,257,-4.367193699,-10.28125,1
367,289,-5.116753578,-10.71096897,1
367,321,-21.44729233,-17.70988846,1
367,353,-4.299281597,-14.14089203,1
367,385,-5.320767403,-11.58888054,1
367,417,-5.531409264,-11.72417736,1
367,449,-4.59629631,-11.39722252,1
367,481,-4.175136566,-10.70175362,1
367,513,-2.996949673,-10.51173687,1
367,545,-0.8710441589,-10.21379852,1
367,577,-2.482584953,-8.833851814,1
367,609,-4.345201492,-6.520468712,1
367,641,-5.638246536,-3.231220245,1
367,673,-7.367784023,-14.35087013,1
367,705,-23.10299683,-14.46246815,1
367,737,-5.727462769,-8.066524506,1
367,769,-13.01428032,-6.395684719,1
367,801,-10.24460316,-5.671117306,1
367,833,-8.099292755,-5.167711258,1
367,865,-9.261936188,11.42660618,1
367,897,0.2693853378,9.864782333,1
367,929,-12.07475758,-3.467991352,1
367,961,-8.208685875,-6.368691921,1
367,993,-7.677271843,-5.66789484,1
367,1025,-9.69069767,-6.2468009,1
367,1057,-9.510750771,-6.438615799,1
367,1089,-8.854161263,-7.164217949,1
367,1121,-1.855088234,-0.02300262451,1
367,1153,-7.199729919,-7.447340965,1
367,1185,-6.496757984,-7.90272665,1
367,1217,-6.542716503,-7.687878609,1
