x - $\beta=0.005$,y - $\beta=0.005$,x - $\beta=0$,y - $\beta=0$
65.99999999993997,582.0381775974529,65.99999999993997,43.59429480752442
66.99999999993906,532.4178495863453,66.99999999993906,37.13806465500966
67.99999999993815,485.24131627962925,67.99999999993815,31.408719102386385
68.99999999993724,440.83468156005256,68.99999999993724,26.30742933554575
69.99999999993634,401.30052569601685,69.99999999993634,21.782316998345777
70.99999999993543,365.03208347084,70.99999999993543,17.7782194087049
71.99999999993452,331.2405978110619,71.99999999993452,14.163115565897897
72.9999999999336,301.49523279757705,72.9999999999336,10.921495217597112
73.9999999999327,274.6898544783471,73.9999999999327,8.020235455362126
74.99999999993179,249.99640932376496,74.99999999993179,5.756116665434092
75.99999999993088,227.2869686235208,75.99999999993088,4.274498016107827
76.99999999992997,207.7776768892072,76.99999999992997,3.1141208910848945
77.99999999992906,190.50565201684367,77.99999999992906,2.1914609889499843
78.99999999992815,174.84809338580817,78.99999999992815,1.8856641235761344
79.99999999992724,160.59845154825598,79.99999999992724,1.650298681226559
80.99999999992633,147.54491257015616,80.99999999992633,1.4254193531814963
81.99999999992542,135.52022354770452,81.99999999992542,1.2130989365978166
82.99999999992451,124.41445026779547,82.99999999992451,1.0110393417999148
83.9999999999236,114.11315551493317,83.9999999999236,0.7925405690912157
84.9999999999227,104.53626602422446,84.9999999999227,0.618923119851388
85.99999999992178,95.61352337431163,85.99999999992178,0.4604438744718209
86.99999999992087,87.28436075034551,86.99999999992087,0.3069216961739585
87.99999999991996,79.50023804837838,87.99999999991996,0.15965714247431606
88.99999999991905,72.2172421902651,88.99999999991905,0.03445027954876423
89.99999999991815,65.39881141937803,89.99999999991815,0.019780610920861363
90.99999999991724,59.01494170445949,90.99999999991724,0.01925791404210031
91.99999999991633,53.10210039210506,91.99999999991633,0.018637232715263963
92.99999999991542,48.24959625257179,92.99999999991542,0.018013895954936743
93.99999999991451,44.02989340410568,93.99999999991451,0.017394434893503785
94.9999999999136,40.255811085924506,94.9999999999136,0.016783024184405804
95.99999999991269,36.83155290118884,95.99999999991269,0.016182298655621707
96.99999999991178,33.69393317447975,96.99999999991178,0.015593877295032144
97.99999999991087,30.79973039892502,97.99999999991087,0.01501871389336884
98.99999999990996,28.118269057013094,98.99999999990996,0.014457318466156721
99.99999999990905,25.626905046286993,99.99999999990905,0.013909897650592029
100.99999999990814,23.347388033289462,100.99999999990814,0.013376445509493351
101.99999999990723,21.21164569456596,101.99999999990723,0.012856807792559266
102.99999999990632,19.21190214564558,102.99999999990632,0.012350724544376135
103.99999999990541,17.39102654857561,,
104.9999999999045,15.747117432300001,,
105.9999999999036,14.19291674462147,,
106.99999999990268,12.740644665667787,,
107.99999999990177,11.382300433237106,,
108.99999999990087,10.11234401538968,,
109.99999999989996,8.926483569666743,,
110.99999999989905,7.821087702177465,,
111.99999999989814,6.792940056649968,,
112.99999999989723,5.839142342330888,,
113.99999999989632,4.957081971457228,,
114.99999999989541,4.144439510535449,,
115.9999999998945,3.3992616701871157,,
116.99999999989359,2.7202820698730648,,
117.99999999989268,2.109155145706609,,
118.99999999989177,1.6411447317805141,,
119.99999999989086,1.3562615937553346,,
120.99999999988995,1.0948004832025617,,
121.99999999988904,0.8745898600900546,,
122.99999999988813,0.7221426764735952,,
123.99999999988722,0.5781976534053683,,
124.99999999988631,0.4383709277026355,,
125.9999999998854,0.30230969935655594,,
126.9999999998845,0.17127404711209238,,
127.99999999988358,0.1211998350918293,,
128.99999999988268,0.11909685377031565,,
129.99999999988177,0.11800889088772237,,
130.99999999988086,0.11694565787911415,,
131.99999999987995,0.11589573137462139,,
132.99999999987904,0.11485961242578924,,
133.99999999987813,0.11383779882453382,,
134.99999999987722,0.11283070454373956,,
135.9999999998763,0.11183864111080766,,
136.9999999998754,0.1108618127182126,,
137.9999999998745,0.10990032320842147,,
138.99999999987358,0.1089541862020269,,
139.99999999987267,0.1080233387183398,,
140.99999999987176,0.10710765363182873,,
141.99999999987085,0.1062069513136521,,
142.99999999986994,0.10532101057469845,,
143.99999999986903,0.10444957797881216,,
144.99999999986812,0.10359237506054342,,
145.9999999998672,0.10274910577572882,,
146.9999999998663,0.10191946115810424,,
147.9999999998654,0.10110312444157898,,
148.99999999986449,0.10029977455269545,,
149.99999999986358,0.09950908925384283,,
150.99999999986267,0.0987307473551482,,
151.99999999986176,0.097964430693537,,
152.99999999986085,0.09720982587896287,,
153.99999999985994,0.09646662545856088,,
