x - $F_{\mathrm{YSL}}$=0.1425µN,y - $F_{\mathrm{YSL}}$=0.1425µN,x - $F_{\mathrm{YSL}}$=0.285µN,y - $F_{\mathrm{YSL}}$=0.285µN,x - $F_{\mathrm{YSL}}$=0.57µN,y - $F_{\mathrm{YSL}}$=0.57µN,x - $F_{\mathrm{YSL}}$=1.14µN,y - $F_{\mathrm{YSL}}$=1.14µN,x - _child8,y - _child8
3.993333333344431,19.868865963222227,3.993333333344431,50.98806650097969,3.993333333344431,138.96454524818267,3.993333333344431,389.2828876579669,,
4.096666666678606,20.486132089237895,4.096666666678606,52.700035774821295,4.096666666678606,143.8194398244832,4.096666666678606,399.59759264058835,,
4.200000000012779,21.102187428692506,4.200000000012779,54.41270848088983,4.200000000012779,148.7767009982486,4.200000000012779,409.8339956910615,,
4.303333333346954,21.700811141113768,4.303333333346954,56.18901940765816,4.303333333346954,153.8388805899365,4.303333333346954,420.00025217524757,,
4.406666666681128,22.326771296638046,4.406666666681128,57.97218408439939,4.406666666681128,159.0042876815364,4.406666666681128,430.10256476657474,,
4.510000000015301,23.00654776162656,4.510000000015301,59.76777301314257,4.510000000015301,164.2658417838701,4.510000000015301,440.146938447186,,
4.613333333349476,23.65083585774318,4.613333333349476,61.6086896063639,4.613333333349476,169.6355083747506,4.613333333349476,450.1380375022356,,
4.71666666668365,24.31540796520768,4.71666666668365,63.529978230459164,4.71666666668365,175.11406840005785,4.71666666668365,460.0801599203288,,
4.820000000017824,24.98272223236461,4.820000000017824,65.43882401446807,4.820000000017824,180.71314517140456,4.820000000017824,469.97585981476135,,
4.923333333351998,25.67859445762053,4.923333333351998,67.4630269197619,4.923333333351998,186.3990841100122,4.923333333351998,479.8287408711871,,
5.026666666686173,26.376213964066753,5.026666666686173,69.5152020082889,5.026666666686173,192.27887421526097,5.026666666686173,489.64667492314953,,
5.130000000020346,27.062631283008947,5.130000000020346,71.57659458642766,5.130000000020346,198.28869804948678,5.130000000020346,499.42837282701396,,
5.233333333354521,27.810596883007477,5.233333333354521,73.59853650327801,5.233333333354521,204.4422107810664,5.233333333354521,509.17643881146796,,
5.336666666688695,28.58110676820386,5.336666666688695,75.65606311558794,5.336666666688695,210.69102958377835,5.336666666688695,518.8974426514898,,
5.440000000022868,29.3004675133805,5.440000000022868,77.65602669081166,5.440000000022868,217.1772476999495,5.440000000022868,528.5935985511315,,
5.543333333357043,30.08789563211523,5.543333333357043,79.827584996378,5.543333333357043,223.7936532815283,5.543333333357043,538.27035861949,,
5.646666666691217,30.837884386471366,5.646666666691217,82.08555128524428,5.646666666691217,230.4686152600668,5.646666666691217,547.9319982653903,,
5.750000000025391,31.5852011232774,5.750000000025391,84.28612442834876,5.750000000025391,237.18589022635328,5.750000000025391,557.5755412958907,,
5.853333333359565,32.351737611543044,5.853333333359565,86.59624527200023,5.853333333359565,243.89401822234296,5.853333333359565,567.2019616782517,,
5.95666666669374,33.158593101683685,5.95666666669374,88.91085314039809,5.95666666669374,250.56424417751205,5.95666666669374,576.813176143696,,
6.060000000027914,33.906927553690764,6.060000000027914,91.32505642981107,6.060000000027914,257.22178986425257,6.060000000027914,586.4111244109367,,
6.163333333362088,34.663498015674584,6.163333333362088,93.69947527337554,6.163333333362088,263.8555022464283,6.163333333362088,595.9982340836708,,
6.266666666696262,35.46710569138145,6.266666666696262,96.10484266090523,6.266666666696262,270.4603673886125,6.266666666696262,605.5745229305849,,
6.370000000030435,36.25548943695419,6.370000000030435,98.6669485271982,6.370000000030435,277.0414813849259,6.370000000030435,615.1418218824288,,
6.473333333364609,37.026088714841784,6.473333333364609,101.2241709975578,6.473333333364609,283.6011824910319,6.473333333364609,624.7005492373332,,
6.5766666666987845,37.95365606586542,6.5766666666987845,103.80548134000664,6.5766666666987845,290.1128521438819,6.5766666666987845,634.2525383407291,,
6.680000000032958,38.823623876037324,6.680000000032958,106.36455731726879,6.680000000032958,296.58019394243377,6.680000000032958,643.7964374821436,,
6.783333333367132,39.803402299111056,6.783333333367132,108.86751953360768,6.783333333367132,303.00477238446103,6.783333333367132,653.3428972831531,,
6.886666666701306,40.662107171543184,6.886666666701306,111.42220471907738,6.886666666701306,309.37618068860576,6.886666666701306,662.8908075796411,,
6.990000000035481,41.55649130898827,6.990000000035481,114.13180250266093,6.990000000035481,315.6981132668718,6.990000000035481,672.4367304996154,,
7.093333333369655,42.482004800736604,7.093333333369655,116.8685692473371,7.093333333369655,321.9758422239985,7.093333333369655,681.9807624971505,,
7.196666666703829,43.59421668405761,7.196666666703829,119.56106613177708,7.196666666703829,328.21129758390566,7.196666666703829,691.5241376915445,,
7.300000000038002,44.90170799057651,7.300000000038002,122.29953367527206,7.300000000038002,334.4133275152158,7.300000000038002,701.067030028148,,
7.403333333372176,46.140595591662915,7.403333333372176,125.18943860123699,7.403333333372176,340.58328031090605,7.403333333372176,710.6100155751994,,
7.5066666667063515,47.12878172109438,7.5066666667063515,128.062733477813,7.5066666667063515,346.7260116965269,7.5066666667063515,720.1465081960673,,
7.610000000040525,48.17748685429164,7.610000000040525,130.71206791731296,7.610000000040525,352.83947620241855,7.610000000040525,729.7037431707499,,
7.713333333374699,49.46084477457738,7.713333333374699,133.617229660794,7.713333333374699,358.9264995788556,7.713333333374699,739.2738427919056,,
7.816666666708873,50.32652044215233,7.816666666708873,136.6360639062679,7.816666666708873,364.99791102135583,7.816666666708873,748.8517292622954,,
7.920000000043048,51.48481611246604,7.920000000043048,139.75483534667913,7.920000000043048,371.04562140884696,7.920000000043048,758.4379030818824,,
8.023333333377222,52.48355582306051,8.023333333377222,142.78729252401175,8.023333333377222,377.0723891139612,8.023333333377222,768.033249207054,,
8.126666666711396,53.474486724184985,8.126666666711396,145.83615178058102,8.126666666711396,383.08292282617515,8.126666666711396,777.6361629965966,,
8.23000000004557,54.84972212137592,8.23000000004557,148.66421953911149,8.23000000004557,389.07733620738276,8.23000000004557,787.2486449033308,,
8.333333333379743,55.80737142649312,8.333333333379743,151.75315922675375,8.333333333379743,395.05605614654723,8.333333333379743,796.872082561589,,
8.436666666713919,57.19315441407123,8.436666666713919,154.95853745725262,8.436666666713919,401.02007219216125,8.436666666713919,806.5048832068559,,
8.540000000048092,58.48905001325489,8.540000000048092,158.22884231582051,8.540000000048092,406.97257297834284,8.540000000048092,816.1464080649632,,
8.643333333382266,59.729589377183544,8.643333333382266,161.534486607075,8.643333333382266,412.91612167370903,8.643333333382266,825.7961829150748,,
8.74666666671644,60.951822872872725,8.74666666671644,164.6920559843081,8.74666666671644,418.8499305205278,8.74666666671644,835.4547740719537,,
,,8.850000000050615,168.0136507630821,8.850000000050615,424.77087045684584,8.850000000050615,845.1227708905607,,
,,8.953333333384789,171.38133309438038,8.953333333384789,430.68429545699445,8.953333333384789,854.7988677899557,,
,,9.056666666718963,174.99171815587354,9.056666666718963,436.5906145874593,9.056666666718963,864.4834084073777,,
