PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 9, filenames: A:[9]MAX_TgUtrmcherry_TimeSrs002324_Control.avi & B:[10]MAX_TgUtrmcherry_TimeSrs002324_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
111,1825,7.966622353,0.2826203108,1
111,1857,8.409719467,0.7291237116,1
111,1889,8.193664551,2.021661758,1
111,1921,7.654389858,3.996338367,1
111,1953,7.568293571,3.374075174,1
111,1985,6.195886135,2.252430916,1
111,2017,6.033165455,-3.333733797,1
143,33,1.73707962,0.2224097252,1
143,65,-0.1143434495,4.883281231,1
143,97,0.1318032146,7.138734341,1
143,129,0.8039104342,5.630533218,1
143,161,0.8284672499,8.098274231,1
143,193,1.355603218,8.664254189,1
143,225,1.369391918,9.085745811,1
143,257,0.9542484283,9.872851372,1
143,289,2.16864872,9.678227425,1
143,321,2.126917362,11.03184319,1
143,353,2.984589815,10.17832565,1
143,385,2.783486128,8.654864311,1
143,417,2.3065238,9.692399979,1
143,449,1.638007402,9.750217438,1
143,481,3.875404596,6.727235794,1
143,513,5.868361473,8.560742378,1
143,545,5.54942894,10.65854359,1
143,577,2.979715109,11.57494545,1
143,609,3.087423325,12.49767113,1
143,641,3.613688707,12.18253422,1
143,673,4.240318775,10.75405312,1
143,705,5.074371338,12.20683289,1
143,737,5.72460413,11.57640266,1
143,769,6.068468571,11.5031786,1
143,801,7.025916576,11.85986137,1
143,833,7.491161346,12.62115765,1
143,865,7.419882298,12.79672623,1
143,897,7.339789391,11.73052979,1
143,929,7.98625946,11.0861845,1
143,961,13.21199799,9.937664032,1
143,993,0.7139377594,0.4968061447,1
143,1025,0.4806518555,0.1832809448,1
143,1057,2.737371922,9.315380096,1
143,1089,3.221679688,8.612945557,1
143,1121,-0.1376161575,0.4951572418,1
143,1153,10.32696152,13.25349236,1
143,1185,11.34487343,11.77214527,1
143,1217,13.93352699,6.748348236,1
143,1249,13.20712948,7.786787987,1
143,1281,12.0306797,7.676486969,1
143,1313,11.84874249,5.479645729,1
143,1345,11.73869896,4.814780712,1
143,1377,11.4504261,6.107491493,1
143,1409,1.00805378,0.1439013481,1
143,1441,0.690864563,1.031895638,1
143,1473,0.5467004776,0.8053164482,1
143,1505,3.157783031,2.074420452,1
143,1537,12.6774044,6.064194679,1
143,1569,11.38362312,6.937155724,1
143,1601,5.294281006,3.09195447,1
143,1633,8.655349731,2.736872911,1
143,1665,10.20444393,2.189898729,1
143,1697,9.354415894,1.994660735,1
143,1729,8.275085449,1.508188844,1
143,1761,6.99983263,1.853059053,1
143,1793,7.717562199,0.9965734482,1
143,1825,7.345255852,-0.1166564226,1
143,1857,6.833451748,-0.5345674753,1
143,1889,7.800697803,1.484729648,1
143,1921,8.443483353,3.40337038,1
143,1953,8.462202072,2.208667994,1
143,1985,7.462892056,0.4097369909,1
143,2017,7.024040699,-4.571576118,1
175,33,-0.8556339741,0.2073903084,1
175,65,0.4241064787,4.2690382,1
175,97,-0.03559535742,6.747442722,1
175,129,0.8570081592,6.683373451,1
175,161,1.225933433,7.927566528,1
175,193,0.985662818,8.822784424,1
175,225,1.281734347,9.034420013,1
175,257,1.869694829,9.327386856,1
175,289,2.425287962,9.454931259,1
175,321,1.990613699,9.381952286,1
175,353,1.507143021,9.675773621,1
175,385,1.834226131,9.317581177,1
175,417,2.200169086,10.17341423,1
175,449,2.610289097,9.985040665,1
175,481,3.592150211,8.514027596,1
175,513,4.301703453,8.867082596,1
175,545,4.70241642,10.32072067,1
175,577,2.118146181,11.4099226,1
175,609,2.169698477,12.40167904,1
175,641,3.508543968,13.09129143,1
175,673,5.332815647,14.11230278,1
175,705,6.797150135,14.01245403,1
175,737,7.115655422,12.25891781,1
175,769,6.559699535,11.02348042,1
175,801,7.136897564,11.32788467,1
175,833,7.668281078,11.23095989,1
175,865,7.480933189,12.04383945,1
175,897,7.130468369,12.43026257,1
175,929,17.12010193,10.17501545,1
175,961,17.03966522,9.83145237,1
175,993,0.4837684631,0.5304145813,1
175,1025,0.2132453918,0.1004123688,1
175,1057,0.810798645,-0.3647623062,1
175,1089,12.17476654,12.63402653,1
175,1121,0.2341680527,-0.2934103012,1
175,1153,11.41395187,14.89430523,1
175,1185,15.48771,15.11171913,1
175,1217,13.06154728,6.862751961,1
175,1249,12.25259209,9.308941841,1
175,1281,11.23479271,9.458937645,1
175,1313,11.44196033,7.184356213,1
175,1345,12.67477417,5.491899014,1
175,1377,0.2813568115,0.2276086807,1
175,1409,10.76712608,5.176270008,1
175,1441,9.90541935,4.870818138,1
175,1473,-5.462818146,3.788343191,1
175,1505,1.432683945,0.4954457283,1
175,1537,10.5229969,3.729658127,1
175,1569,10.04725742,3.778281212,1
175,1601,9.072545052,3.224678993,1
175,1633,9.080694199,2.150669575,1
175,1665,10.79577923,1.386123657,1
175,1697,9.272396088,1.717343569,1
175,1729,8.842366219,1.852573037,1
175,1761,6.039549828,2.680756807,1
175,1793,6.940469265,1.883106112,1
175,1825,7.086880684,1.171282053,1
175,1857,6.38724184,0.3658730984,1
175,1889,7.140078068,1.552416682,1
175,1921,9.522668839,2.869005442,1
175,1953,8.344382286,2.046410561,1
175,1985,4.283344269,-0.07212730497,1
175,2017,-0.1576442719,-4.073080063,1
207,33,12.89118767,0.1572127342,1
207,65,0.7174342871,5.014303684,1
207,97,0.2177129984,7.102107525,1
207,129,0.8153805137,7.673033237,1
207,161,1.321616054,8.054655075,1
207,193,1.179494739,8.908810616,1
207,225,1.933284044,9.227561951,1
207,257,1.801723003,9.298071861,1
207,289,1.862180352,9.11977005,1
207,321,2.405919075,9.454193115,1
207,353,1.54101944,9.709161758,1
207,385,1.674167752,9.618452072,1
207,417,1.585841417,9.536577225,1
207,449,3.267658472,10.08549404,1
207,481,4.229746819,10.27285671,1
207,513,4.589351654,10.40693569,1
207,545,4.29249382,9.891504288,1
207,577,4.345663071,9.954154968,1
207,609,3.503860235,11.94954014,1
207,641,3.665745497,14.19562912,1
207,673,5.049152851,14.62019348,1
207,705,6.293945789,15.25113392,1
207,737,6.753763199,12.73650074,1
207,769,5.914175034,11.55603027,1
207,801,5.413766861,12.0172739,1
207,833,6.495415688,12.29160595,1
207,865,7.493685246,12.49527645,1
207,897,8.336590767,12.63268471,1
207,929,11.80287552,10.26618958,1
207,961,12.11616802,10.44201469,1
207,993,11.51526833,14.06863117,1
207,1025,11.5882225,11.15018654,1
207,1057,10.41968727,11.69429588,1
207,1089,9.477092743,10.64813328,1
207,1121,10.8655901,16.41518974,1
207,1153,10.70589161,12.10709476,1
207,1185,11.13712215,11.5704937,1
207,1217,11.99751759,11.24728584,1
207,1249,12.52994633,10.5811491,1
207,1281,12.17800236,9.133665085,1
207,1313,11.75491333,7.608610153,1
207,1345,11.92792702,7.259936333,1
207,1377,11.91821003,11.34687805,1
207,1409,11.49471951,5.157896042,1
207,1441,10.90356827,4.983259201,1
207,1473,10.50459957,5.325231552,1
207,1505,9.727596283,4.609539509,1
207,1537,11.52888775,3.584807158,1
207,1569,11.09548378,2.741343975,1
207,1601,7.889299393,2.39156723,1
207,1633,6.026117325,2.10590601,1
207,1665,8.545588493,1.54628396,1
207,1697,8.28394413,1.997916698,1
207,1729,8.393343925,5.167259693,1
207,1761,6.430204391,2.745199442,1
207,1793,6.412888527,2.233923435,1
207,1825,7.060063362,2.702050686,1
207,1857,8.237505913,3.493954182,1
207,1889,7.209554672,3.930395603,1
207,1921,7.362398148,3.735714197,1
207,1953,7.66149807,2.083816767,1
207,1985,5.962674141,0.2584037483,1
207,2017,9.200457573,-2.500933409,1
239,33,-3.425509453,0.1921567917,1
239,65,0.1251426935,6.032933235,1
239,97,0.3650903702,6.013632298,1
239,129,1.308411837,7.74417448,1
239,161,1.868924141,8.349575996,1
239,193,2.692995548,8.747733116,1
239,225,2.622116089,9.748943329,1
239,257,1.546316862,9.460062027,1
239,289,0.7797429562,8.533115387,1
239,321,2.020074606,9.736433983,1
239,353,1.074947715,11.34370708,1
239,385,2.007623911,10.20003128,1
239,417,2.397461176,9.609398842,1
239,449,3.774492741,10.11363316,1
239,481,4.818102837,11.43126678,1
239,513,4.410761833,11.33672237,1
239,545,4.361136436,10.49619007,1
239,577,4.165760994,10.36175728,1
239,609,4.345438957,12.01226425,1
239,641,4.099553108,13.26155949,1
239,673,4.947738647,14.01238632,1
239,705,6.154194832,14.49727249,1
239,737,5.949633598,13.12443256,1
239,769,5.764618397,12.60732079,1
239,801,5.679340839,12.68522835,1
239,833,5.733405113,12.86938858,1
239,865,7.33798027,12.8745842,1
239,897,9.147107124,12.79361916,1
239,929,10.91339111,12.23232555,1
239,961,11.68281746,11.16614819,1
239,993,10.43472672,15.49542141,1
239,1025,10.31713104,15.50167561,1
239,1057,10.16786289,10.00376892,1
239,1089,9.470545769,11.44900894,1
239,1121,11.24925804,11.12944889,1
239,1153,12.28968716,11.14382458,1
239,1185,13.38071728,9.594017982,1
239,1217,14.18292618,8.929433823,1
239,1249,13.33653259,9.211005211,1
239,1281,12.57894993,8.475448608,1
239,1313,11.6776619,7.880309105,1
239,1345,12.51421738,7.956114292,1
239,1377,12.8800478,6.356775761,1
239,1409,12.45388508,5.362438202,1
239,1441,11.10260201,4.434042931,1
239,1473,11.01528263,5.554561615,1
239,1505,10.00335407,4.9215765,1
239,1537,8.511782646,6.618605614,1
239,1569,10.51084042,2.633409977,1
239,1601,9.89356041,2.016155958,1
239,1633,9.046747208,1.839492083,1
239,1665,8.900306702,1.932312727,1
239,1697,8.677615166,3.325934172,1
239,1729,8.697914124,4.852170944,1
239,1761,7.372105598,2.158921242,1
239,1793,8.676394463,2.534463167,1
239,1825,9.161985397,2.699537516,1
239,1857,9.887079239,3.633871555,1
239,1889,7.790857315,3.506495953,1
239,1921,6.526649475,2.779853344,1
239,1953,6.96371603,0.9497355819,1
239,1985,7.769924164,0.1815238595,1
239,2017,10.89264297,-0.5713300705,1
271,33,0.3115034103,0.5112800598,1
271,65,0.2724846601,5.752711296,1
271,97,0.6379973888,6.24043417,1
271,129,1.70751977,8.152495384,1
271,161,2.684597969,8.44493866,1
271,193,2.618985176,8.387501717,1
271,225,2.686583996,9.14575386,1
271,257,1.938322544,9.522370338,1
271,289,0.4773595333,9.892205238,1
271,321,-0.543151021,10.65815353,1
271,353,-0.7431983948,12.19329739,1
271,385,1.922032833,10.4423151,1
271,417,3.324300766,9.938621521,1
271,449,3.941416264,10.13130474,1
271,481,4.315488815,11.60361671,1
271,513,4.596313477,11.85490894,1
271,545,4.038674355,11.75865364,1
271,577,3.338541508,12.07041073,1
271,609,4.489407539,12.06337166,1
271,641,4.644097328,12.07988071,1
271,673,4.576372623,13.74863911,1
271,705,5.586687565,13.58613873,1
271,737,6.008831501,13.45929146,1
271,769,6.395844936,13.73703861,1
271,801,6.395358562,13.41675949,1
271,833,6.952047348,13.04791927,1
271,865,8.104057312,13.20021248,1
271,897,9.515961647,13.64029694,1
271,929,11.02466106,15.12295628,1
271,961,11.4308815,16.17674065,1
271,993,12.00581646,15.73346806,1
271,1025,9.64891243,14.20037365,1
271,1057,8.95258522,13.40576839,1
271,1089,9.794600487,12.10552979,1
271,1121,11.70275307,11.31348133,1
271,1153,15.1601038,10.16868973,1
271,1185,15.47301197,9.001255035,1
271,1217,14.55000782,8.249951363,1
271,1249,13.47223663,8.600009918,1
271,1281,12.9267683,8.269069672,1
271,1313,12.91845036,7.89867115,1
271,1345,13.24933338,7.362359047,1
271,1377,13.27974701,6.824362278,1
271,1409,13.80810738,6.038739204,1
271,1441,11.61120415,5.362061501,1
271,1473,10.55752277,4.540263176,1
271,1505,10.1958971,4.297021389,1
271,1537,9.593357086,3.702028275,1
271,1569,9.315694809,2.850019693,1
271,1601,9.364109039,2.506418467,1
271,1633,9.213027954,2.398972988,1
271,1665,9.315898895,3.226292849,1
271,1697,10.62794685,3.90591979,1
271,1729,10.47819328,4.154903889,1
271,1761,9.002326965,2.53721714,1
271,1793,9.287247658,2.279285908,1
271,1825,9.31908989,2.860823393,1
271,1857,9.467303276,1.947164536,1
271,1889,8.451875687,0.944183588,1
271,1921,7.183206558,0.2535579205,1
271,1953,7.724921227,-0.3208179474,1
271,1985,7.916059494,-0.4078533649,1
271,2017,9.187383652,0.1048555374,1
303,33,5.378501415,0.7467803955,1
303,65,0.9937773943,8.697293282,1
303,97,0.8322989941,6.764693737,1
303,129,1.80683887,9.718269348,1
303,161,2.567622423,9.069569588,1
303,193,3.202867746,8.639395714,1
303,225,3.338808775,8.217409134,1
303,257,2.714606524,9.276333809,1
303,289,1.137640715,10.63557434,1
303,321,1.065227389,12.56409931,1
303,353,1.204186201,11.53868008,1
303,385,1.359678745,11.85146713,1
303,417,6.495166779,11.80543327,1
303,449,4.627243519,12.18431759,1
303,481,5.195616722,12.16021252,1
303,513,5.277813911,12.18917465,1
303,545,4.619294167,13.30470371,1
303,577,4.539730549,13.15106964,1
303,609,4.941234589,13.21060944,1
303,641,4.21037817,12.86516476,1
303,673,5.294472218,12.71052265,1
303,705,6.084945202,13.49158764,1
303,737,5.809161663,13.57741737,1
303,769,5.971867561,11.2601614,1
303,801,6.953160286,12.77604294,1
303,833,7.804533482,12.64082336,1
303,865,8.707575798,12.69435692,1
303,897,9.370892525,16.48212242,1
303,929,9.608442307,16.06928444,1
303,961,9.732625961,15.74077988,1
303,993,10.83712387,14.84818077,1
303,1025,9.063651085,14.08380604,1
303,1057,7.360708237,13.38757229,1
303,1089,9.624412537,12.43208599,1
303,1121,12.12470627,11.31706333,1
303,1153,14.27116013,10.01932335,1
303,1185,15.16400433,8.588200569,1
303,1217,15.11470795,7.75842762,1
303,1249,14.57570934,8.124941826,1
303,1281,14.49630165,8.339412689,1
303,1313,14.23800373,7.286775112,1
303,1345,13.27968693,6.889852524,1
303,1377,13.48162079,7.596966743,1
303,1409,14.99681664,6.721483231,1
303,1441,12.3857708,5.764687538,1
303,1473,11.07068443,4.696495533,1
303,1505,10.5964632,4.466798782,1
303,1537,10.10937309,3.881877184,1
303,1569,9.209845543,3.105146885,1
303,1601,8.997368813,2.729554415,1
303,1633,9.042743683,2.039697409,1
303,1665,8.800067902,4.548171043,1
303,1697,9.344618797,5.112188339,1
303,1729,10.22570515,3.945721149,1
303,1761,8.900149345,3.251869678,1
303,1793,8.18934536,2.172438145,1
303,1825,9.290586472,1.909798861,1
303,1857,9.631152153,1.020845175,1
303,1889,5.45695591,18.38207626,1
303,1921,7.953001022,-1.13107717,1
303,1953,7.250886917,-0.6101083755,1
303,1985,8.035838127,-0.1856725365,1
303,2017,9.048706055,0.04975402355,1
335,33,0.1206929684,-0.4905810356,1
335,65,4.680441856,12.51892662,1
335,97,1.272020698,8.159420967,1
335,129,2.127736092,9.519431114,1
335,161,2.924730778,9.584270477,1
335,193,3.685191393,9.372208595,1
335,225,6.060111046,9.699703217,1
335,257,5.034320831,9.190293312,1
335,289,3.511629105,10.91851997,1
335,321,2.727248669,12.06439781,1
335,353,2.281385899,12.32637596,1
335,385,2.540857792,10.9613142,1
335,417,3.313092232,11.20109844,1
335,449,4.852750301,12.07771111,1
335,481,5.87169981,12.04300117,1
335,513,6.048783302,12.40969467,1
335,545,4.971677303,13.36715698,1
335,577,4.733282089,13.37836838,1
335,609,4.553421497,13.7001543,1
335,641,3.074811459,13.63231277,1
335,673,4.413572788,12.91609001,1
335,705,6.788838387,13.81677341,1
335,737,5.410206318,13.70645714,1
335,769,5.482838154,11.80771542,1
335,801,7.069193363,12.881073,1
335,833,7.902729034,12.68845367,1
335,865,8.867125511,12.2062149,1
335,897,8.400910378,17.3500309,1
335,929,8.797014236,15.70756721,1
335,961,9.061715126,14.67089462,1
335,993,9.743982315,14.1951046,1
335,1025,9.154848099,15.40073395,1
335,1057,9.940033913,13.21124744,1
335,1089,11.10957909,12.26554298,1
335,1121,13.74774075,11.18102837,1
335,1153,16.79213715,10.22278118,1
335,1185,17.76501846,9.055380821,1
335,1217,18.07876968,7.707351685,1
335,1249,17.56151962,8.13937664,1
335,1281,16.06703186,8.196738243,1
335,1313,15.38070869,6.201329708,1
335,1345,13.18683052,5.753470898,1
335,1377,13.03757477,7.728133678,1
335,1409,13.10998535,5.819744587,1
335,1441,12.78196526,5.428682327,1
335,1473,12.29639816,4.837297916,1
335,1505,11.80911446,4.670617104,1
335,1537,11.22643757,3.878160238,1
335,1569,10.6987133,3.655431747,1
335,1601,10.0185318,3.259598732,1
335,1633,8.98359108,1.984580517,1
335,1665,9.483658791,3.496628761,1
335,1697,9.390161514,4.541436195,1
335,1729,9.178207397,3.701432228,1
335,1761,8.121663094,2.436623573,1
335,1793,6.316868782,1.252566457,1
335,1825,9.707873344,1.208951473,1
335,1857,10.65756512,0.2619051933,1
335,1889,8.381912231,-1.639101624,1
335,1921,7.853549957,-2.160279989,1
335,1953,7.926465034,-0.5528354049,1
335,1985,6.879380226,-0.3446471691,1
335,2017,7.854911804,-0.5585163832,1
367,33,-16.63449478,0.6068716049,1
367,65,1.346421123,3.035088062,1
367,97,2.447088003,8.260721207,1
367,129,3.75043416,9.647449493,1
367,161,18.3468914,18.82456589,1
367,193,3.670822382,9.505740166,1
367,225,4.011842728,9.764576912,1
367,257,4.317427635,9.484078407,1
367,289,4.191649914,11.23760605,1
367,321,3.595546484,11.59619331,1
367,353,2.840564251,11.67906952,1
367,385,2.434984684,11.13612556,1
367,417,2.988590956,11.45249462,1
367,449,4.230531693,11.60161877,1
367,481,5.708858013,11.74782944,1
367,513,6.683459759,12.68139553,1
367,545,21.50722122,23.65246964,1
367,577,4.161281586,12.75035381,1
367,609,4.479540348,14.40812683,1
367,641,4.512216091,14.48682404,1
367,673,4.816110134,13.34919739,1
367,705,6.113509655,13.99612427,1
367,737,6.053961754,14.046731,1
367,769,5.979478836,14.58615971,1
367,801,7.046700478,13.74497223,1
367,833,8.244954109,13.57157993,1
367,865,8.789187431,13.53944397,1
367,897,9.509264946,14.33216095,1
367,929,9.691605568,14.73818874,1
367,961,9.495520592,14.47501183,1
367,993,10.80473518,13.44119453,1
367,1025,11.14883041,13.24580574,1
367,1057,11.72448635,12.35126019,1
367,1089,12.72921085,10.96782017,1
367,1121,13.70034981,11.16004372,1
367,1153,14.02515888,10.7619381,1
367,1185,15.44662285,9.386227608,1
367,1217,17.40064621,8.300208092,1
367,1249,16.56937981,7.69384861,1
367,1281,15.49420452,7.672127724,1
367,1313,15.21065998,5.368813038,1
367,1345,14.60807514,6.309081078,1
367,1377,14.23631859,6.059771538,1
367,1409,13.63546276,5.657477379,1
367,1441,13.45191002,5.623329639,1
367,1473,13.16968632,6.180903912,1
367,1505,9.381819725,11.93482876,1
367,1537,11.27083015,4.481378555,1
367,1569,11.61458111,4.069717407,1
367,1601,11.11009312,3.183952808,1
367,1633,10.43191338,1.939167023,1
367,1665,10.74621201,1.749124646,1
367,1697,10.229846,2.161631346,1
367,1729,8.554262161,2.373148203,1
367,1761,9.319093704,1.111818075,1
367,1793,9.16395092,0.1101023555,1
367,1825,9.110538483,-0.9578626156,1
367,1857,9.074364662,-1.580323935,1
367,1889,8.951255798,-2.114925385,1
367,1921,8.691485405,-2.449575663,1
367,1953,8.62033844,-1.187107325,1
367,1985,7.555999756,-0.6118517518,1
367,2017,7.453702927,-0.6518806219,1
399,33,-0.5421726704,2.201530933,1
399,65,1.293845057,9.526158333,1
399,97,2.138937712,8.956579208,1
399,129,2.378135681,9.798388481,1
399,161,2.517837048,10.56570625,1
399,193,3.041823626,9.558697701,1
399,225,3.246193886,9.352603912,1
399,257,3.698642254,11.48826408,1
399,289,3.471666813,12.24826717,1
399,321,2.709609985,12.58450508,1
399,353,2.286553621,12.27287292,1
399,385,1.99246788,11.9251318,1
399,417,1.908537865,11.36045265,1
399,449,2.353818417,11.06333256,1
399,481,3.319227695,10.48283672,1
399,513,5.135651112,11.43022537,1
399,545,6.116453171,9.946990967,1
399,577,5.409274578,10.57021904,1
399,609,4.731036186,16.995121,1
399,641,4.874563694,15.78640079,1
399,673,5.074352264,14.33375168,1
399,705,5.588975906,14.94147682,1
399,737,6.163698196,14.10946178,1
399,769,5.762414932,16.22215652,1
399,801,6.533331871,15.51499462,1
399,833,8.436898232,15.09935665,1
399,865,9.545179367,13.81388092,1
399,897,10.85071564,12.36329842,1
399,929,11.27980614,14.43798161,1
399,961,11.89037037,13.9055109,1
399,993,12.65022182,12.99821472,1
399,1025,12.86859703,12.92179394,1
399,1057,13.59197426,12.178895,1
399,1089,13.50979614,10.81170368,1
399,1121,13.16805267,11.81909752,1
399,1153,12.95742893,11.58252239,1
399,1185,14.74922371,9.977277756,1
399,1217,16.42186737,9.101798058,1
