PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 1, filenames: A:[1]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi & B:[2]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
175,1857,0.6796627045,3.412195444,1
175,1889,NaN,NaN,2
175,1921,NaN,NaN,2
175,1953,NaN,NaN,2
175,1985,-3.234372139,-0.100639157,1
175,2017,-0.6791033745,-0.5442999005,1
207,33,-0.8393021226,-0.2590060234,1
207,65,-0.0346147567,5.649631977,1
207,97,NaN,NaN,2
207,129,NaN,NaN,2
207,161,NaN,NaN,2
207,193,3.51463747,36.38048172,1
207,225,1.903244495,31.93237877,1
207,257,2.452544689,33.65763474,1
207,289,NaN,NaN,2
207,321,NaN,NaN,2
207,353,NaN,NaN,2
207,385,NaN,NaN,2
207,417,7.211167336,35.42687988,1
207,449,10.03401089,35.36792374,1
207,481,11.97853756,37.49501038,1
207,513,13.09533691,38.2773056,1
207,545,12.79785061,38.50310135,1
207,577,11.64202881,38.74534225,1
207,609,NaN,NaN,2
207,641,NaN,NaN,2
207,673,22.30954742,39.29927826,1
207,705,23.83775711,39.63518524,1
207,737,25.60259438,39.22875977,1
207,769,27.03476906,40.2529068,1
207,801,29.49965858,36.93488312,1
207,833,33.09594345,39.44130325,1
207,865,34.02795792,35.97724915,1
207,897,35.23588943,34.66713333,1
207,929,36.95116425,34.58517838,1
207,961,NaN,NaN,2
207,993,40.56849289,35.20077133,1
207,1025,42.91532135,35.69723511,1
207,1057,NaN,NaN,2
207,1089,NaN,NaN,2
207,1121,NaN,NaN,2
207,1153,49.54213333,27.17201042,1
207,1185,NaN,NaN,2
207,1217,NaN,NaN,2
207,1249,58.34825897,22.22597504,1
207,1281,59.7097435,12.10486412,1
207,1313,57.53328323,10.3785429,1
207,1345,58.65280914,13.47540951,1
207,1377,60.61572266,12.20920372,1
207,1409,NaN,NaN,2
207,1441,NaN,NaN,2
207,1473,NaN,NaN,2
207,1505,NaN,NaN,2
207,1537,NaN,NaN,2
207,1569,NaN,NaN,2
207,1601,NaN,NaN,2
207,1633,NaN,NaN,2
207,1665,NaN,NaN,2
207,1697,NaN,NaN,2
207,1729,28.55380249,17.65003777,1
207,1761,NaN,NaN,2
207,1793,NaN,NaN,2
207,1825,NaN,NaN,2
207,1857,NaN,NaN,2
207,1889,NaN,NaN,2
207,1921,NaN,NaN,2
207,1953,NaN,NaN,2
207,1985,-2.210172892,-0.1131935716,1
207,2017,-2.006062984,-0.7599077225,1
239,33,NaN,NaN,2
239,65,NaN,NaN,2
239,97,NaN,NaN,2
239,129,NaN,NaN,2
239,161,NaN,NaN,2
239,193,3.19960022,36.51988602,1
239,225,NaN,NaN,2
239,257,NaN,NaN,2
239,289,2.14297533,35.69875336,1
239,321,1.015947342,33.2117691,1
239,353,1.61380291,35.13722229,1
239,385,5.133076191,36.90950775,1
239,417,5.150895119,36.87069702,1
239,449,6.633424759,37.56167603,1
239,481,10.13745213,37.85963058,1
239,513,12.81755257,39.88639832,1
239,545,14.45633984,39.24386978,1
239,577,NaN,NaN,2
239,609,NaN,NaN,2
239,641,NaN,NaN,2
239,673,21.10415649,38.31514359,1
239,705,22.79931259,39.06987381,1
239,737,NaN,NaN,2
239,769,27.20464134,40.88385773,1
239,801,NaN,NaN,2
239,833,NaN,NaN,2
239,865,35.91728592,36.91670609,1
239,897,37.71499634,37.32274628,1
239,929,NaN,NaN,2
239,961,NaN,NaN,2
239,993,40.69132614,35.7722435,1
239,1025,42.69208145,35.38999939,1
239,1057,NaN,NaN,2
239,1089,NaN,NaN,2
239,1121,NaN,NaN,2
