PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 13, filenames: A:[13]MAX_TimeSrs026_TgUtrmcherry_Control.avi & B:[14]MAX_TimeSrs026_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
175,929,-0.2195875645,3.568712711,1
175,961,5.036251068,1.762345791,1
175,993,8.359045029,-0.3916010261,1
175,1025,9.719949722,-1.004430056,1
175,1057,3.615771294,1.044347882,1
175,1089,2.985026598,2.318794012,1
175,1121,1.055890322,0.09969612956,1
175,1153,0.7809650898,-0.6627174616,1
175,1185,2.729682207,0.3038240671,1
175,1217,4.183652878,0.751978159,1
175,1249,4.68656683,1.646024108,1
175,1281,4.875684261,1.519379139,1
175,1313,5.988176823,0.9987469912,1
175,1345,6.074968338,1.048258781,1
175,1377,5.936957359,0.4407164454,1
175,1409,5.307348728,-0.4266017973,1
175,1441,2.594942093,-0.5058951378,1
175,1473,3.373490334,0.1240278259,1
175,1505,4.249473095,0.1852116883,1
175,1537,4.770719528,0.1377083659,1
175,1569,2.912207365,0.4094572663,1
175,1601,2.64095664,-0.1342609674,1
175,1633,2.731618881,-0.1026648581,1
175,1665,1.720490456,0.5423517227,1
175,1697,1.985706329,-0.472697854,1
175,1729,2.491235495,-1.375396132,1
175,1761,2.758586168,-1.523125291,1
175,1793,2.155369759,-1.308757305,1
175,1825,1.267588854,-0.8779761791,1
175,1857,0.7433108091,-0.0008668005466,1
175,1889,0.4200210571,0.08846671879,1
175,1921,1.924768209,0.2867621183,1
175,1953,2.741926193,0.9395935535,1
175,1985,2.902820587,1.454188704,1
175,2017,1.834587812,0.3101968765,1
207,33,0.8868225813,0.316742897,1
207,65,9.058605194,1.622880936,1
207,97,5.573869705,1.103265762,1
207,129,3.242602825,0.4099490643,1
207,161,1.36728549,1.629560709,1
207,193,0.4329811335,2.988489628,1
207,225,-0.2838221192,2.828239918,1
207,257,0.5811160803,0.9302742481,1
207,289,0.4152761102,0.2834894061,1
207,321,0.6452589035,-0.3415561914,1
207,353,0.9271787405,0.9029278755,1
207,385,0.6964722872,1.352614522,1
207,417,0.3535578251,1.085384488,1
207,449,0.8361380696,0.5831270218,1
207,481,0.403214395,0.9212845564,1
207,513,0.0290633738,1.166767716,1
207,545,-1.623889565,1.816319108,1
207,577,0.06797787547,1.159407258,1
207,609,0.920481205,1.729271531,1
207,641,1.854687214,1.889346719,1
207,673,3.395137787,4.085279465,1
207,705,1.081984043,-0.2869791687,1
207,737,1.020185947,-0.4279140532,1
207,769,1.545135021,0.6803238392,1
207,801,2.027848482,2.627813578,1
207,833,2.503329992,3.797249079,1
207,865,2.886394978,5.332435131,1
207,897,2.704493046,4.469509602,1
207,929,-0.3565692902,1.180651665,1
207,961,3.311785221,-0.2079447508,1
207,993,7.520466805,-2.575408697,1
207,1025,4.240175247,0.4553796053,1
207,1057,5.038672447,1.505142212,1
207,1089,0.2565059662,2.307935715,1
207,1121,0.4106869698,-0.05790102482,1
207,1153,3.499825239,-2.717686415,1
207,1185,-6.490478992,-15.97695732,1
207,1217,4.713555813,0.7135828733,1
207,1249,5.07562542,1.449255347,1
207,1281,5.822655678,1.610726237,1
207,1313,6.960013866,1.38679266,1
207,1345,6.127308846,0.9067157507,1
207,1377,5.21700573,0.335301578,1
207,1409,4.965186596,0.0009790211916,1
207,1441,3.843419552,-0.3212960362,1
207,1473,4.046325684,0.5610870719,1
207,1505,4.784711361,-0.1463398933,1
207,1537,5.09659481,-0.3427594304,1
