x - $F_{YSL} = $0.1425μN,y - $F_{YSL} = $0.1425μN,x - _child1,y - _child1,x - _child2,y - _child2,x - $F_{YSL} = $0.285μN,y - $F_{YSL} = $0.285μN,x - _child4,y - _child4,x - _child5,y - _child5,x - $F_{YSL} = $0.57μN,y - $F_{YSL} = $0.57μN,x - _child7,y - _child7,x - _child8,y - _child8,x - $F_{YSL} = $1.14μN,y - $F_{YSL} = $1.14μN,x - _child10,y - _child10,x - _child11,y - _child11
-132.26797682999725,0.5563013175700462,-90.4809619238477,2.1031443620981296,-90.4809619238477,0.6152540724497304,-108.19358791085529,1.1126026351400924,-90.4809619238477,4.206288724196259,-90.4809619238477,0.5558600638928947,-41.01771282515426,2.2252052702801635,-90.4809619238477,8.412577448392518,-90.4809619238477,0.5811498040424372,131.78144367623082,2.751694897072227,-90.4809619238477,16.825154896785037,-90.4809619238477,0.6421103472724149
-131.15595013984824,0.5816362723404822,-87.77555110220442,2.1031443620981296,-87.77555110220442,0.6432201666519909,-105.08592772609097,1.1632725446809644,-87.77555110220442,4.206288724196259,-87.77555110220442,0.5811264304334807,-31.267965237760222,2.326545089361929,-87.77555110220442,8.412577448392518,-87.77555110220442,0.6075657042261843,151.63671028006655,2.7181689953413652,-87.77555110220442,16.825154896785037,-87.77555110220442,0.6712971812393428
-130.0047302204635,0.6069712271109218,-85.07014028056113,2.1031443620981296,-85.07014028056113,0.6711862608542514,-101.82149462438386,1.2139424542218435,-85.07014028056113,4.206288724196259,-85.07014028056113,0.6063927969740668,-20.89112598259578,2.427884908443673,-85.07014028056113,8.412577448392518,-85.07014028056113,0.6339816044099315,171.59560307153043,2.6872260632431377,-85.07014028056113,16.825154896785037,-85.07014028056113,0.7004840152062708
-128.8126533708962,0.6323061818813578,-82.36472945891784,2.1031443620981296,-82.36472945891784,0.699152355056512,-98.39363380194646,1.2646123637627156,-82.36472945891784,4.206288724196259,-82.36472945891784,0.631659163514653,-9.860575844510123,2.529224727525431,-82.36472945891784,8.412577448392518,-82.36472945891784,0.6603975045936787,191.65642476091375,2.6585450674109268,-82.36472945891784,16.825154896785037,-82.36472945891784,0.7296708491731988
-127.57805589019945,0.6576411366517974,-79.65931863727455,2.1031443620981296,-79.65931863727455,0.7271184492587724,-94.79569045499123,1.3152822733035947,-79.65931863727455,4.206288724196259,-79.65931863727455,0.6569255300552391,2.0216976943415546,2.6130320976483787,-79.65931863727455,8.412577448392518,-79.65931863727455,0.6868134047774258,211.81715155352617,2.6318584770739193,-79.65931863727455,16.825154896785037,-79.65931863727455,0.7588576831401267
-126.2992740774261,0.6829760914222263,-76.95390781563127,2.1031443620981296,-76.95390781563127,0.7550845434610328,-91.02100977973046,1.3659521828444667,-76.95390781563127,4.206288724196259,-76.95390781563127,0.6821918965958252,14.582969009166817,2.5643035932128413,-76.95390781563127,8.412577448392518,-76.95390781563127,0.713229304961173,232.0755570398557,2.606941310116028,-76.95390781563127,16.825154896785037,-76.95390781563127,0.7880445171070547
-124.97464423162985,0.7083110461926765,-74.24849699398798,2.1031443620981296,-74.24849699398798,0.7830506376632933,-87.06293697237655,1.4166220923853459,-74.24849699398798,4.206288724196259,-74.24849699398798,0.7074582631364114,26.91949117862592,2.5227877862638834,-74.24849699398798,8.412577448392518,-74.24849699398798,0.73964520514492,252.42929922109903,2.5836027955324994,-74.24849699398798,16.825154896785037,-74.24849699398798,0.8172313510739826
-123.60250265186329,0.7336460009631125,-71.5430861723447,2.1031443620981296,-71.5430861723447,0.8110167318655538,-82.9148172291417,1.467292001926225,-71.5430861723447,4.206288724196259,-71.5430861723447,0.7327246296769975,39.24911451785343,2.485021301751786,-71.5430861723447,8.412577448392518,-71.5430861723447,0.7660611053286672,272.8759817621762,2.5616799476283845,-71.5430861723447,16.825154896785037,-71.5430861723447,0.8464181850409105
-122.1811856371795,0.7589809557335556,-68.8376753507014,2.1031443620981296,-68.8376753507014,0.8389828260678144,-78.56999574623846,1.517961911467097,-68.8376753507014,4.206288724196259,-68.8376753507014,0.7579909962175837,51.58214402186516,2.4504455292408522,-68.8376753507014,8.412577448392518,-68.8376753507014,0.7924770055124144,293.4131970484253,2.5410325561855416,-68.8376753507014,16.825154896785037,-68.8376753507014,0.8756050190078386
-120.70902948663179,0.7843159105039916,-66.13226452905812,2.1031443620981296,-66.13226452905812,0.8669489202700748,-74.02181771987941,1.5686318210079762,-66.13226452905812,4.206288724196259,-66.13226452905812,0.7832573627581697,63.925563325062654,2.418624045346391,-66.13226452905812,8.412577448392518,-66.13226452905812,0.8188929056961616,314.0385562876006,2.52153923877772,-66.13226452905812,16.825154896785037,-66.13226452905812,0.9047918529747665
