PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 9, filenames: A:[9]MAX_TimeSrs019_TgUtrmcherry_Control.avi & B:[10]MAX_TimeSrs019_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
79,1121,4.447945595,-6.900617599,1
79,1153,4.012861252,-7.114426136,1
79,1185,4.167652607,-7.881682873,1
79,1217,4.835626125,-7.018760204,1
79,1249,4.098112106,-6.747203827,1
79,1281,4.046164036,-5.734741688,1
79,1313,5.157872677,-5.026182652,1
79,1345,5.749076366,-6.182919979,1
79,1377,6.099536419,-7.313511372,1
79,1409,6.515638828,-7.302357197,1
79,1441,5.278978348,-7.790187359,1
79,1473,4.655621529,-7.264751434,1
79,1505,4.640568733,-6.854706764,1
79,1537,3.967457294,-7.174673557,1
79,1569,4.007323265,-7.262239933,1
79,1601,3.953475714,-7.493170261,1
79,1633,3.778564215,-7.144619942,1
79,1665,4.849502563,-5.332541943,1
79,1697,3.903748512,-6.008681297,1
79,1729,3.699995518,-6.152569294,1
79,1761,3.614385843,-6.840196609,1
79,1793,2.96404314,-6.440466881,1
79,1825,5.908678532,-6.221119404,1
79,1857,6.495275021,-6.018870831,1
79,1889,3.037481785,-5.348680973,1
79,1921,2.632791042,-6.015649319,1
79,1953,1.213279128,-5.510787964,1
79,1985,1.000938416,-4.203877449,1
79,2017,1.514122367,-1.415449023,1
111,33,4.69111681,8.864450455,1
111,65,2.232831717,-4.635885239,1
111,97,2.872157574,-6.69667244,1
111,129,3.42884016,-6.878182411,1
111,161,3.864280701,-8.11438179,1
111,193,4.62291193,-8.488487244,1
111,225,3.875363111,-8.317470551,1
111,257,4.618642807,-6.797086716,1
111,289,4.144747734,-5.702771187,1
111,321,3.497453213,-5.128702164,1
111,353,3.816887379,-4.657452106,1
111,385,4.148574352,-4.975869179,1
111,417,4.389826775,-5.350692749,1
111,449,5.038227081,-5.112373829,1
111,481,5.414538383,-5.383622646,1
111,513,5.072403908,-4.450097561,1
111,545,2.809163094,-3.034931183,1
111,577,3.557278156,-2.73252821,1
111,609,5.173429489,-5.164475441,1
111,641,4.676976204,-6.350154877,1
111,673,2.851937294,-5.209300518,1
111,705,3.636834621,-4.566488743,1
111,737,3.967388153,-4.616580009,1
111,769,4.295063972,-5.508937359,1
111,801,4.05739069,-6.984719276,1
111,833,4.722079277,-5.367075443,1
111,865,3.859372139,-5.577983379,1
111,897,4.020843029,-5.83601284,1
111,929,4.136553764,-5.945480824,1
111,961,3.25479126,-5.431444168,1
111,993,4.089972496,-5.609111786,1
111,1025,4.465909004,-6.088188171,1
111,1057,3.764419556,-6.327718735,1
111,1089,-15.71675682,-6.115777493,1
111,1121,2.286431313,-6.598184109,1
111,1153,3.74887228,-5.378942966,1
111,1185,4.88767004,-5.362929821,1
111,1217,4.48452425,-6.380314827,1
111,1249,4.568693638,-7.089119434,1
111,1281,5.145840168,-6.966934204,1
111,1313,5.620687485,-6.961298943,1
111,1345,5.667299271,-7.502223969,1
111,1377,6.572890759,-8.037185669,1
111,1409,6.99435854,-7.990739822,1
111,1441,5.405707359,-8.473637581,1
111,1473,4.96214962,-8.050878525,1
111,1505,4.845551014,-7.673588753,1
111,1537,4.328242302,-7.732932568,1
111,1569,4.415620327,-7.1207757,1
111,1601,4.469633579,-7.202198505,1
111,1633,3.719350576,-6.565020084,1
111,1665,4.174091339,-5.772111893,1
111,1697,3.659636497,-5.726853371,1
111,1729,3.291642189,-6.152935505,1
111,1761,3.041414022,-6.317518711,1
111,1793,2.675248384,-5.97990036,1
111,1825,3.343554735,-5.420535088,1
111,1857,2.822908878,-5.520397663,1
111,1889,2.033679008,-5.589539051,1
111,1921,2.004956722,-5.497009754,1
111,1953,1.958942294,-5.166954517,1
111,1985,2.808852434,-6.586663246,1
111,2017,2.115693569,-1.85177207,1
143,33,4.469732761,8.796798706,1
143,65,2.648897886,-4.586087704,1
143,97,2.624835491,-7.7835989,1
143,129,3.451860428,-7.486881256,1
143,161,3.729061604,-7.767310619,1
143,193,4.453586578,-7.861382961,1
143,225,4.888939381,-7.153595448,1
143,257,3.905256033,-6.542930126,1
143,289,3.459831238,-6.145237923,1
143,321,3.580746651,-5.388449192,1
143,353,4.062047005,-4.905522346,1
143,385,5.073734283,-4.426836491,1
143,417,4.459069729,-4.563697338,1
143,449,4.041312218,-5.026430607,1
143,481,5.278984547,-6.057818413,1
143,513,6.9156003,-4.75038147,1
143,545,4.739301682,-3.765413284,1
143,577,5.459459782,-3.882774353,1
143,609,6.253788471,-5.02804184,1
143,641,4.725613594,-6.14399004,1
143,673,3.924266815,-4.828336239,1
143,705,2.837955475,-3.994568825,1
143,737,2.0057621,-4.718824387,1
143,769,2.449932098,-5.45236969,1
143,801,5.328036308,-5.54988718,1
143,833,4.842058182,-5.495968819,1
143,865,4.417657375,-5.798287868,1
143,897,4.319837093,-5.901628017,1
143,929,4.561117649,-5.630384922,1
143,961,4.571035862,-5.573666573,1
143,993,4.091693401,-6.26563406,1
143,1025,3.988974571,-6.887721062,1
143,1057,3.571454048,-7.328666687,1
143,1089,2.966722012,-7.357856274,1
143,1121,1.088213921,-5.341664314,1
143,1153,1.704933167,-4.457591057,1
143,1185,3.660139561,-5.478726864,1
143,1217,4.261367321,-6.037239552,1
143,1249,3.761241913,-7.599568844,1
143,1281,5.414899826,-7.767580986,1
143,1313,5.97063303,-8.061051369,1
143,1345,6.137464523,-8.225227356,1
143,1377,5.652725697,-8.149241447,1
143,1409,4.930283546,-7.732089043,1
143,1441,4.999844074,-8.522907257,1
143,1473,4.965423584,-8.548264503,1
143,1505,5.513417244,-8.374996185,1
143,1537,5.34255743,-8.490045547,1
143,1569,5.182929516,-8.183504105,1
143,1601,4.769096851,-7.70802927,1
143,1633,4.012918949,-7.915770531,1
143,1665,4.105409622,-6.844004631,1
143,1697,3.656865358,-5.791575909,1
143,1729,3.262702227,-6.094639778,1
143,1761,2.914538145,-6.186746597,1
143,1793,2.131147623,-5.49136591,1
143,1825,1.803617001,-5.026613712,1
143,1857,2.478562355,-5.552431583,1
143,1889,2.207000732,-5.789597988,1
143,1921,2.276895523,-5.738512993,1
143,1953,2.753552437,-5.515094757,1
143,1985,6.397215843,-6.254112244,1
143,2017,1.084130287,-1.99175787,1
175,33,0.3782769442,7.619492531,1
175,65,1.602857232,-7.65806818,1
175,97,2.580240488,-7.263738155,1
175,129,3.89524436,-7.567810059,1
175,161,3.557259798,-6.642233849,1
175,193,3.642585993,-6.492071629,1
175,225,4.402287483,-6.55086422,1
175,257,3.147987366,-5.944524288,1
175,289,2.928651094,-5.655290604,1
175,321,4.149847984,-5.086287498,1
175,353,4.762648582,-4.120401382,1
175,385,3.587766886,-3.076143026,1
175,417,3.125383615,-2.712366581,1
175,449,1.880166054,-3.41757822,1
175,481,0.3189964294,-1.571553946,1
175,513,3.336548805,-4.267876148,1
175,545,5.77901268,-4.53487587,1
175,577,7.50235939,-4.455597401,1
175,609,6.485200882,-4.328231812,1
175,641,4.215206623,-4.444737434,1
175,673,4.1464324,-4.332888126,1
175,705,4.407278061,-2.380836248,1
175,737,3.932832241,-3.642267227,1
175,769,4.77973175,-5.804711819,1
175,801,5.342626095,-5.929441929,1
175,833,4.520923615,-5.604200363,1
175,865,5.582754135,-5.704411983,1
175,897,5.55112648,-6.604860783,1
175,929,6.121441364,-7.266000271,1
175,961,6.511581421,-7.88919878,1
175,993,4.570576668,-6.868617058,1
175,1025,4.189736843,-7.467209339,1
175,1057,3.381306171,-7.876486301,1
175,1089,4.260229111,-7.497034073,1
175,1121,6.993448734,-6.391689777,1
175,1153,7.417463779,-6.174298763,1
175,1185,6.282918453,-6.937749863,1
175,1217,6.457931519,-7.605685711,1
175,1249,6.371219635,-8.133432388,1
175,1281,6.226959229,-8.175292015,1
175,1313,6.3987813,-8.160772324,1
175,1345,6.473861694,-8.459328651,1
175,1377,3.670469761,-8.220863342,1
175,1409,2.254488468,-6.30452919,1
175,1441,3.493992805,-8.071094513,1
175,1473,4.530258179,-8.860044479,1
175,1505,5.763642788,-9.765582085,1
175,1537,6.323019505,-9.227745056,1
175,1569,6.465054035,-8.259726524,1
175,1601,5.161971569,-8.287302017,1
175,1633,4.500974178,-7.889462948,1
175,1665,4.905776024,-7.178314686,1
175,1697,3.243980169,-5.94848156,1
175,1729,3.263466835,-6.232177734,1
175,1761,3.825419903,-7.356606483,1
175,1793,2.451815844,-6.572018147,1
175,1825,1.624225974,-5.228724957,1
175,1857,1.863386273,-5.428332329,1
175,1889,2.050471783,-5.76507473,1
175,1921,2.369443893,-5.730317593,1
175,1953,2.766876936,-5.443173885,1
175,1985,2.293458939,-4.309121132,1
175,2017,1.386410236,-2.033444643,1
207,33,-11.8949852,5.272994995,1
207,65,-2.351270437,-6.863314629,1
207,97,1.806277752,-5.849486828,1
207,129,2.881242514,-7.101045609,1
207,161,3.118765116,-6.371665001,1
207,193,3.227098465,-5.880744457,1
207,225,3.528625488,-6.099200726,1
207,257,3.363902569,-5.667112827,1
207,289,3.435532093,-5.25874567,1
207,321,3.963150263,-4.613790512,1
207,353,2.646193266,-2.529577255,1
207,385,2.586178541,-1.889448166,1
207,417,2.445508003,-2.523346424,1
207,449,1.056719542,-1.899911404,1
207,481,0.9001095295,-2.055398226,1
207,513,0.3757252693,-2.990360975,1
207,545,3.643990993,-5.481333733,1
207,577,6.906193733,-4.242823124,1
207,609,4.70311594,-4.136252403,1
207,641,3.570462227,-3.781776428,1
207,673,4.213978291,-1.666215181,1
207,705,4.883658409,-1.620666742,1
207,737,4.664558411,-2.678821087,1
207,769,5.301771164,-4.315593719,1
207,801,5.672244072,-5.995931149,1
207,833,5.69300127,-4.96609211,1
207,865,6.12650013,-4.185789108,1
207,897,6.738999367,-5.113174915,1
207,929,4.942072868,-5.990149021,1
207,961,4.459738731,-7.210216045,1
207,993,5.203544617,-6.724890232,1
207,1025,5.01592207,-7.883787155,1
207,1057,4.961228848,-8.430183411,1
207,1089,5.673138618,-7.786394596,1
207,1121,6.217817307,-6.905073166,1
207,1153,6.171920776,-7.008401871,1
207,1185,6.691474438,-7.718855858,1
207,1217,7.013152122,-8.072769165,1
207,1249,7.005842209,-8.998247147,1
207,1281,6.688877106,-9.805996895,1
207,1313,7.091398239,-8.942284584,1
207,1345,6.95743227,-8.680713654,1
207,1377,4.989154339,-9.213183403,1
207,1409,5.234508991,-9.12231636,1
207,1441,5.517889023,-7.793405533,1
207,1473,5.703570366,-9.415937424,1
207,1505,5.802702904,-10.33105087,1
207,1537,6.167504311,-9.178775787,1
207,1569,6.169033527,-8.393169403,1
207,1601,5.564203262,-8.204613686,1
207,1633,4.77342701,-7.677481174,1
207,1665,4.781437874,-6.44363451,1
207,1697,3.784971476,-6.422225475,1
207,1729,2.920244455,-6.511978626,1
207,1761,2.542928696,-7.590399742,1
207,1793,1.652011871,-7.992982864,1
207,1825,1.36426127,-5.857712269,1
207,1857,2.073095798,-5.342085838,1
207,1889,2.413070202,-5.756227016,1
207,1921,2.446580172,-5.885804653,1
207,1953,2.952595234,-5.635730267,1
207,1985,1.85792625,-4.412288189,1
207,2017,0.09045302868,-2.312424898,1
239,33,-0.5067335367,3.72809267,1
239,65,-3.805065155,-6.574332714,1
239,97,-1.716729522,-5.075900078,1
239,129,0.2926092148,-6.863097191,1
239,161,2.414031506,-5.930080414,1
239,193,3.733849287,-5.69240427,1
239,225,4.042255402,-4.900280476,1
239,257,4.618416786,-4.329643726,1
239,289,3.252244234,-6.232163906,1
239,321,2.412185669,-4.583125114,1
239,353,2.005033493,-2.503587723,1
239,385,2.20136857,-1.844949722,1
239,417,2.210552454,-2.68717742,1
239,449,1.852423072,-3.071922779,1
239,481,2.0458498,-3.948916912,1
239,513,2.325776815,-4.221507072,1
239,545,3.667934179,-4.146259308,1
239,577,5.191995144,-3.987770319,1
239,609,5.464082241,-3.744816065,1
239,641,5.329823017,-3.205190659,1
239,673,5.36591053,-3.174581051,1
239,705,5.027201176,-3.209355354,1
239,737,5.334772587,-3.676929951,1
239,769,5.577500343,-3.952412367,1
239,801,5.544251442,-4.115951538,1
239,833,5.578881741,-4.119250774,1
239,865,6.338853836,-4.157273769,1
239,897,5.724404335,-4.140103817,1
239,929,4.611283779,-5.578920364,1
239,961,3.922447205,-6.715276718,1
239,993,4.29703331,-7.833258629,1
239,1025,5.820468426,-9.206445694,1
239,1057,6.317173004,-8.877985001,1
239,1089,6.415514469,-8.139338493,1
239,1121,6.383296967,-7.724615097,1
239,1153,6.316871643,-7.464827538,1
239,1185,6.659399986,-7.72726202,1
239,1217,6.977818966,-8.060071945,1
239,1249,6.668652534,-9.081431389,1
239,1281,6.010219574,-10.04117393,1
239,1313,6.494411469,-8.988688469,1
239,1345,6.521714687,-7.993958473,1
239,1377,6.141408443,-8.186034203,1
239,1409,5.951330662,-8.700239182,1
239,1441,6.175604343,-7.67244339,1
239,1473,6.066666603,-8.290819168,1
239,1505,5.431746483,-8.345454216,1
239,1537,4.714669704,-8.174390793,1
239,1569,5.134372234,-8.250680923,1
239,1601,5.744564056,-7.985527039,1
239,1633,4.950889587,-7.3662076,1
239,1665,5.061271667,-6.112406254,1
239,1697,5.210006714,-6.397928238,1
239,1729,2.77589941,-6.749623299,1
239,1761,2.321736813,-7.154377937,1
239,1793,1.734693885,-7.42056036,1
239,1825,1.159549594,-6.17379427,1
239,1857,2.149520874,-5.655521393,1
239,1889,2.305060387,-5.981509209,1
239,1921,2.25894022,-5.81664753,1
239,1953,2.491759539,-5.462872028,1
239,1985,1.119684815,-4.591550827,1
239,2017,-0.5902080536,-2.902123928,1
271,33,-0.2191231251,3.646291018,1
271,65,0.8832994699,-7.53770113,1
271,97,1.173296452,-4.41871357,1
271,129,1.985864162,-6.827269554,1
271,161,3.399614096,-5.099419594,1
271,193,3.685249567,-4.836402893,1
271,225,3.426092625,-4.358861446,1
271,257,2.278902769,-4.181463718,1
271,289,1.341507912,-5.92813015,1
271,321,1.67365098,-3.758657455,1
271,353,1.921255827,-2.717441082,1
271,385,2.472717524,-2.207212925,1
271,417,2.188590527,-2.968220234,1
271,449,2.515292645,-3.834778786,1
271,481,2.756128073,-4.06631279,1
271,513,2.271404028,-4.091729164,1
271,545,3.613256931,-8.813876152,1
271,577,5.335044384,-4.31461525,1
271,609,5.92443037,-3.563717365,1
271,641,5.914362431,-3.534333467,1
271,673,5.820297241,-3.2502985,1
271,705,5.331992626,-2.984354734,1
271,737,5.853343964,-3.569325924,1
271,769,6.437866211,-3.783653259,1
271,801,5.518845081,-3.527688265,1
271,833,5.547506332,-3.64957428,1
271,865,6.173653603,-4.124043941,1
271,897,6.050541401,-3.902178764,1
271,929,5.181191921,-4.453539848,1
271,961,5.675484657,-5.237064362,1
271,993,4.860644341,-6.63743782,1
271,1025,5.927666664,-7.497569084,1
271,1057,6.910143375,-8.143054962,1
271,1089,6.863577366,-8.272267342,1
271,1121,7.2366786,-8.143053055,1
271,1153,6.963909149,-7.816814423,1
271,1185,6.89973259,-7.926269531,1
271,1217,7.174827576,-8.345672607,1
271,1249,6.893326283,-9.030329704,1
271,1281,4.90046978,-9.591180801,1
271,1313,4.351362228,-9.273468971,1
271,1345,5.777830601,-7.721456528,1
271,1377,6.200657368,-7.610264778,1
271,1409,6.005073071,-8.249082565,1
271,1441,5.430119514,-7.333435059,1
271,1473,4.890940189,-6.729398251,1
271,1505,4.086533546,-7.398141384,1
271,1537,3.567054749,-7.5537076,1
271,1569,4.196751118,-7.52125597,1
271,1601,4.474462986,-7.779710293,1
271,1633,4.403127193,-7.366007328,1
271,1665,4.29816246,-6.556454182,1
271,1697,3.132879734,-6.528715134,1
271,1729,2.19927597,-7.546285152,1
271,1761,2.024880409,-6.736740112,1
271,1793,1.151956797,-6.342686176,1
271,1825,0.5595836639,-6.300949574,1
271,1857,1.867788315,-5.922348022,1
271,1889,1.807656884,-6.085994244,1
271,1921,1.570518494,-6.508329391,1
271,1953,1.647835732,-4.696987629,1
271,1985,0.9801484346,-4.318628311,1
271,2017,0.238618046,-3.441966057,1
303,33,-1.18499887,4.567299843,1
303,65,1.698925972,-7.960197926,1
303,97,1.848450899,-6.317442894,1
303,129,2.300704002,-6.953124523,1
303,161,3.743138313,-6.690208435,1
303,193,3.794539213,-4.799254417,1
303,225,2.795954704,-3.917985439,1
303,257,1.836219788,-3.438279152,1
303,289,1.370645523,-5.212558746,1
303,321,1.606487036,-3.941935539,1
303,353,1.636113405,-3.455985785,1
303,385,1.776100397,-3.848683357,1
303,417,0.7065412998,-3.288673639,1
303,449,0.08341264725,-0.4987154007,1
303,481,0.4962949753,-0.1264822483,1
303,513,1.207420826,-3.689034939,1
303,545,1.985827923,-4.705613136,1
303,577,4.559929371,-5.429906845,1
303,609,6.043151379,-3.02850318,1
303,641,6.551959991,-3.156213522,1
303,673,6.607316017,-3.330030918,1
303,705,5.808393478,-2.528207779,1
303,737,5.804179668,-3.360785961,1
303,769,6.004631519,-3.437914848,1
303,801,6.065473557,-3.084394932,1
303,833,6.097269535,-3.096149445,1
303,865,6.182585239,-3.198019266,1
303,897,6.486262798,-2.063483715,1
303,929,6.606534004,-2.959673882,1
303,961,7.295272827,-4.047439575,1
303,993,6.540678024,-5.757873058,1
303,1025,6.796174526,-6.536808491,1
303,1057,6.812695503,-7.653112411,1
303,1089,7.188660622,-8.427657127,1
303,1121,7.766192913,-9.067344666,1
303,1153,7.664175987,-8.066335678,1
303,1185,7.398974419,-7.954692841,1
303,1217,7.089241028,-8.394289017,1
303,1249,6.695495129,-8.71572876,1
303,1281,6.209609985,-9.112807274,1
303,1313,5.263884068,-8.843958855,1
303,1345,4.990871906,-8.607780457,1
303,1377,6.3772645,-7.734997749,1
303,1409,6.01948595,-7.45354414,1
303,1441,3.844828606,-6.235782623,1
303,1473,3.696960449,-5.695202827,1
303,1505,4.972058773,-7.563456059,1
303,1537,4.337752342,-7.608708858,1
303,1569,4.099136829,-7.589988232,1
303,1601,3.996020317,-8.62005043,1
303,1633,3.678632021,-8.115989685,1
303,1665,3.699440002,-6.929820061,1
303,1697,2.61085844,-6.954824924,1
303,1729,1.511277676,-7.55446434,1
303,1761,1.522627115,-6.302391529,1
303,1793,0.6654497385,-6.03267622,1
303,1825,-0.1755731702,-6.252923489,1
303,1857,0.8012239933,-5.605556488,1
303,1889,0.6853274107,-5.697306156,1
303,1921,0.8464906216,-7.515842915,1
303,1953,1.411332846,-5.346142769,1
303,1985,0.5830073357,-4.376982212,1
303,2017,0.6439486146,-3.686413527,1
335,33,8.260238647,5.841492653,1
335,65,1.535267949,-7.877250195,1
335,97,2.022188187,-5.334553719,1
335,129,2.511492968,-6.609541416,1
335,161,2.819515467,-6.833149433,1
335,193,3.221696138,-4.772607327,1
335,225,2.947391033,-3.362454414,1
335,257,1.726311207,-1.580919027,1
335,289,0.873516798,-3.985242367,1
335,321,0.2998793125,-4.68776083,1
335,353,1.791679621,-4.221661568,1
335,385,2.695956945,-5.899291992,1
335,417,1.334211826,-3.418311119,1
335,449,0.89762187,-1.448019743,1
335,481,1.543277502,-0.4685852528,1
335,513,1.608571529,-1.825640678,1
335,545,2.203475475,-2.735103607,1
335,577,5.417348385,-1.840478659,1
335,609,7.350542068,-2.190455437,1
335,641,7.407940388,-2.752619982,1
335,673,6.832391262,-3.714090824,1
335,705,6.129306793,-3.197170734,1
335,737,5.821574688,-3.430100441,1
335,769,6.510338306,-2.999380112,1
335,801,6.781235695,-2.431809425,1
335,833,6.857676029,-2.226373434,1
335,865,6.783193588,-2.342674732,1
335,897,6.377707005,-2.580755472,1
335,929,6.877733707,-2.950653076,1
335,961,7.020493031,-3.800647259,1
335,993,7.348967552,-5.520461082,1
335,1025,6.728245258,-5.669900894,1
335,1057,6.726068974,-5.348718643,1
335,1089,7.063321114,-8.774588585,1
335,1121,7.712859631,-9.818861961,1
335,1153,8.71508503,-7.998315334,1
335,1185,7.794446945,-7.989629745,1
335,1217,7.121008873,-8.695745468,1
335,1249,7.036046982,-8.804172516,1
335,1281,6.745508194,-8.737148285,1
335,1313,6.333438873,-8.48037529,1
335,1345,6.054073334,-8.263030052,1
335,1377,6.136734009,-8.09406662,1
335,1409,6.471953392,-7.902846813,1
335,1441,5.612517357,-7.704349041,1
335,1473,4.351460934,-7.796066284,1
335,1505,6.597295284,-7.960866928,1
335,1537,5.782001495,-6.749918938,1
335,1569,4.786215782,-7.848405838,1
335,1601,4.384617329,-7.774575233,1
335,1633,3.725968838,-7.167211056,1
335,1665,3.075577736,-6.552831173,1
335,1697,2.341407061,-6.474647999,1
335,1729,1.43268609,-6.685257912,1
335,1761,1.185968399,-7.284889698,1
335,1793,1.261340857,-7.479585648,1
335,1825,0.9986077547,-6.260144711,1
335,1857,0.5774841309,-5.621418953,1
335,1889,-0.6543372273,-5.640359879,1
335,1921,-1.228360415,-6.613328934,1
335,1953,-1.181901932,-4.806798935,1
335,1985,0.5432226658,-3.866241932,1
335,2017,1.895830154,-3.514989853,1
367,33,0.504029274,-3.785326004,1
367,65,2.468962908,-7.607719898,1
367,97,2.686400414,-5.029426575,1
367,129,2.682219028,-5.711200237,1
367,161,3.151591063,-5.741670609,1
367,193,3.684965134,-3.998202324,1
367,225,2.332922697,-1.722792864,1
367,257,2.267858028,-2.588459253,1
367,289,2.852346182,-2.642377615,1
367,321,2.759521961,-4.291122437,1
367,353,3.468725204,-5.005511761,1
367,385,3.060654163,-4.095092773,1
367,417,1.628582239,-1.919141293,1
367,449,1.894129276,-1.751523972,1
367,481,2.605669737,-1.145266056,1
367,513,4.096389771,-1.93512845,1
367,545,6.113936424,-0.9134991169,1
367,577,6.811839104,-2.048883438,1
367,609,8.27396965,-2.792624235,1
367,641,8.345909119,-3.546428919,1
367,673,1.069043159,-9.533143997,1
367,705,7.114150524,-3.569946527,1
367,737,7.730828285,-3.398004055,1
367,769,8.148961067,-2.845928431,1
367,801,7.818427086,-2.489214897,1
367,833,7.45402956,-2.07841754,1
367,865,7.853997707,-1.36164856,1
367,897,8.258399963,-2.59681654,1
367,929,6.351853371,-3.26109767,1
367,961,5.607371807,-3.083015442,1
367,993,3.346055508,-5.646339893,1
367,1025,14.44573593,7.124009609,1
367,1057,6.181612492,-5.336366177,1
367,1089,6.60087347,-7.986369133,1
367,1121,7.796316147,-8.855072975,1
367,1153,8.6509552,-8.052082062,1
367,1185,8.450241089,-8.101007462,1
367,1217,8.160925865,-9.036184311,1
367,1249,7.909857273,-9.177085876,1
367,1281,7.53583622,-8.394081116,1
367,1313,7.429340363,-7.873774529,1
367,1345,7.487332344,-6.82937479,1
367,1377,6.822238445,-7.600371361,1
367,1409,6.699656963,-8.02193737,1
367,1441,6.985311985,-8.281137466,1
367,1473,6.49899435,-9.51927948,1
367,1505,6.203122139,-9.036538124,1
367,1537,6.45485878,-9.958076477,1
367,1569,5.690447807,-9.123810768,1
367,1601,4.864899158,-7.431291103,1
367,1633,4.083937645,-6.889067173,1
367,1665,3.023339987,-6.866625309,1
367,1697,1.938152075,-6.465999603,1
367,1729,0.8720449209,-6.285501003,1
367,1761,1.049593687,-7.492409229,1
367,1793,4.39695549,-7.166695595,1
367,1825,5.379741669,-6.731569767,1
367,1857,3.576877594,-5.397435188,1
367,1889,-0.3921541274,-4.903329372,1
367,1921,-1.479580164,-6.354724884,1
367,1953,-0.8390676975,-4.132305622,1
367,1985,1.210825801,-3.195261002,1
367,2017,2.981719255,-3.270534992,1
399,33,0.5865805149,-3.104141712,1
399,65,1.719378114,-6.700629234,1
399,97,2.509787083,-5.372370243,1
399,129,2.821778297,-5.149044991,1
399,161,2.63936162,-5.315380573,1
399,193,2.428653479,-3.711442471,1
