PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 14, filenames: A:[14]MAX_TimeSrs019_TgUtrmcherry_Control.avi & B:[15]MAX_TimeSrs019_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
207,1089,1.502212882,-3.858719826,1
207,1121,2.34520793,-4.097018719,1
207,1153,2.153129339,-4.171058655,1
207,1185,2.532473087,-4.640900612,1
207,1217,2.437851429,-4.954251766,1
207,1249,2.015157938,-5.707616806,1
207,1281,2.394112349,-4.029393196,1
207,1313,2.814450741,-2.667715788,1
207,1345,1.815337658,-2.484203815,1
207,1377,1.123213053,-2.902580976,1
207,1409,1.323537588,-3.760264635,1
207,1441,2.588943481,-4.464335918,1
207,1473,3.897449255,-4.754696846,1
207,1505,4.525667191,-4.097337723,1
207,1537,4.576602459,-3.638233185,1
207,1569,3.83376503,-3.593312025,1
207,1601,3.0725348,-3.166363955,1
207,1633,-6.589767456,0.5179162025,1
207,1665,2.591445208,-3.21898222,1
207,1697,1.873118877,-3.52618885,1
207,1729,1.831257343,-3.021381855,1
207,1761,2.043334007,-3.170253992,1
207,1793,1.652943373,-2.715271473,1
207,1825,1.747005224,-2.998214483,1
207,1857,1.959455252,-3.32134366,1
207,1889,2.109453678,-3.293407679,1
207,1921,2.86469245,-2.486615658,1
207,1953,2.592862844,-1.435399175,1
207,1985,1.244511604,-0.8944610357,1
207,2017,7.380414963,-2.00937748,1
239,33,1.14166975,2.365785122,1
239,65,-4.425278664,-0.4167913795,1
239,97,-4.121208668,-2.378703594,1
239,129,-0.03249418736,-2.872942448,1
239,161,1.23524785,-3.251564264,1
239,193,1.38955617,-3.392764091,1
239,225,-0.355633378,-3.63962698,1
239,257,-0.08158779144,-2.680096149,1
239,289,2.072461128,-1.911586761,1
239,321,2.929233789,-3.202372074,1
239,353,3.06656909,-4.234950542,1
239,385,3.096961021,-4.194643021,1
239,417,2.111917496,-2.9512918,1
239,449,1.786456347,-0.3515110016,1
239,481,2.885127783,-1.042448044,1
239,513,2.936015844,-2.867645741,1
239,545,3.938763618,-4.582522392,1
239,577,5.208592415,-5.120675087,1
239,609,4.991158485,-5.20827961,1
239,641,4.297047615,-4.424222946,1
239,673,2.612398624,-5.201010227,1
239,705,2.563205481,-4.113331795,1
239,737,3.467947006,-3.939087868,1
239,769,4.009887218,-4.853236198,1
239,801,4.37669611,-5.90433836,1
239,833,4.202975273,-5.711997509,1
239,865,3.517233849,-6.333671093,1
239,897,3.798726082,-5.693569183,1
239,929,2.372810602,-5.116766453,1
239,961,1.123199224,-4.823458195,1
239,993,1.963403463,-4.892193317,1
239,1025,1.955717683,-4.772069454,1
239,1057,1.245312929,-4.315850735,1
239,1089,1.259961128,-4.630916119,1
239,1121,2.410509825,-6.026739597,1
239,1153,3.013485193,-5.091732025,1
239,1185,2.827837706,-4.582942963,1
239,1217,2.452603102,-4.404632568,1
239,1249,2.574843645,-4.580962181,1
239,1281,2.571158409,-4.150168419,1
239,1313,2.425605059,-3.380645275,1
239,1345,2.215538979,-1.995964289,1
239,1377,1.430235147,-2.300509214,1
239,1409,1.950618029,-3.828042507,1
239,1441,3.172507048,-4.030851841,1
239,1473,3.189444065,-3.642736912,1
239,1505,3.069321632,-3.060612917,1
239,1537,4.067978859,-3.271205902,1
239,1569,4.075964928,-3.172191381,1
239,1601,3.168855906,-3.333910704,1
239,1633,2.951137304,-2.97011137,1
239,1665,2.949713469,-2.97987175,1
239,1697,1.022017717,-3.672420979,1
239,1729,1.69633317,-3.444293737,1
239,1761,1.903624773,-3.247689724,1
239,1793,1.810125113,-2.907465219,1
239,1825,1.845779657,-3.04074502,1
239,1857,1.951269627,-3.630163908,1
239,1889,2.002625227,-4.393502235,1
239,1921,2.249230623,-3.368638277,1
239,1953,2.293120146,-1.614842296,1
239,1985,1.757393122,-10.57331467,1
239,2017,4.873562813,-2.609445572,1
271,33,-1.190919638,2.508360624,1
271,65,-0.6539605856,-3.022290945,1
271,97,-0.5655328631,-3.814837933,1
271,129,-0.2206141055,-2.538676262,1
271,161,0.1753909886,-2.974970818,1
271,193,0.5688911676,-3.292068481,1
271,225,0.576280117,-3.004346371,1
271,257,0.6687672138,-1.045666695,1
271,289,1.345101237,-0.5320267677,1
271,321,1.288635731,-2.250313282,1
271,353,1.980101824,-4.824099541,1
271,385,2.666264296,-3.999337196,1
271,417,3.026444197,-2.671767235,1
271,449,2.695445061,-0.1560118198,1
271,481,2.468458652,-2.056861162,1
271,513,0.8277144432,-3.945455551,1
271,545,3.116666079,-5.082070827,1
271,577,4.840553284,-6.05300951,1
271,609,4.625809669,-4.001180649,1
271,641,4.376745701,-3.24785614,1
271,673,4.074390888,-4.610582352,1
271,705,4.163085938,-3.875635386,1
271,737,4.346473694,-3.723930359,1
271,769,4.377590656,-4.317341328,1
271,801,4.588751793,-5.04131031,1
271,833,4.887308121,-5.257281303,1
271,865,3.679428339,-5.832214355,1
271,897,3.200353384,-5.561366558,1
271,929,2.70581007,-5.390244961,1
271,961,2.518792152,-5.210155487,1
271,993,2.489444017,-4.442903042,1
271,1025,2.066988945,-4.760659218,1
271,1057,1.359199047,-5.105994225,1
271,1089,1.239426136,-4.95303297,1
271,1121,1.957017422,-5.568702221,1
271,1153,2.583073139,-4.720580578,1
271,1185,2.875945568,-4.234082699,1
271,1217,2.68709445,-3.529604435,1
271,1249,2.872129679,-3.954252243,1
271,1281,2.455673456,-4.747325897,1
271,1313,1.867963076,-4.358769417,1
271,1345,2.020234346,-2.729284763,1
271,1377,2.00484705,-3.508369923,1
271,1409,2.726239681,-5.240215302,1
271,1441,2.637875557,-4.71859026,1
271,1473,1.95607686,-3.048445702,1
271,1505,2.07075882,-2.005147696,1
271,1537,3.215834379,-2.527484894,1
271,1569,3.489238501,-3.389458656,1
271,1601,3.115585804,-3.944243908,1
271,1633,3.097789526,-3.466562748,1
271,1665,2.676718235,-3.250961781,1
271,1697,2.049351454,-3.780130863,1
271,1729,1.374376535,-3.330089808,1
271,1761,1.548467278,-3.241278172,1
271,1793,1.681636691,-3.191367388,1
271,1825,1.748656154,-3.167735338,1
271,1857,1.834414363,-3.849943161,1
271,1889,1.930361748,-4.967148781,1
271,1921,2.027924776,-3.733922482,1
271,1953,2.388471842,-1.374770761,1
271,1985,6.364573956,-1.06254077,1
271,2017,7.269647598,-2.165649891,1
303,33,20.48389816,3.46685195,1
303,65,-1.020377994,-6.693459511,1
303,97,0.2384704351,-4.867976189,1
303,129,-0.8419690728,-4.8827281,1
303,161,-0.4101608992,-3.03840971,1
303,193,0.257178545,-2.071877718,1
303,225,1.813299417,-2.752063274,1
303,257,2.106297493,-2.190391302,1
303,289,1.030005097,-0.7362195253,1
303,321,0.8569563627,-1.508991003,1
303,353,1.199015141,-3.483695507,1
303,385,1.307638168,-2.043656349,1
303,417,3.313358545,-1.323205233,1
303,449,4.513856888,-2.294110537,1
303,481,4.223107815,-4.183588028,1
303,513,0.6440899372,-3.387454987,1
303,545,2.707503796,-4.663212776,1
303,577,3.872566938,-5.155086994,1
303,609,3.941898346,-3.255277395,1
303,641,4.206337452,-2.239980459,1
