PIVlab, ASCII chart output - 12-Jun-2024
FRAME: 9, filenames: A:[9]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi & B:[10]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
23,1377,7.835045338,6.266819,1
23,1393,2.79268837,-0.1473224163,1
23,1409,2.51015234,1.292313218,1
23,1425,5.493523598,-5.266472816,1
23,1441,2.514101267,3.216076851,1
23,1457,3.348733902,0.6627980471,1
23,1473,4.358193874,-1.98164916,1
23,1489,3.877752781,-1.829046369,1
23,1505,2.121226549,-0.5469320416,1
23,1521,1.557821512,-0.5384331942,1
23,1537,0.9287811518,-1.112935781,1
23,1553,1.856002331,6.716584206,1
23,1569,1.627414942,9.251493454,1
23,1585,7.645186424,-7.01497364,1
23,1601,9.337134361,7.341121197,1
23,1617,-1.923660755,-5.998760223,1
23,1633,-1.061222553,-5.57219696,1
23,1649,-2.483878613,-6.144916534,1
23,1665,2.283355236,-0.9620881677,1
23,1681,3.5595994,-1.188600779,1
23,1697,4.69524622,-0.2181360722,1
23,1713,2.545653105,0.5727677345,1
23,1729,2.556435823,0.2592349052,1
23,1745,3.84901619,6.695724487,1
23,1761,1.763088703,-6.955442429,1
23,1777,4.186011791,-7.236078262,1
23,1793,2.696903706,-9.756803513,1
23,1809,4.377715111,-4.159499168,1
23,1825,3.243372679,-5.16279459,1
23,1841,2.408457994,5.254253864,1
23,1857,4.66913414,6.208507538,1
23,1873,3.10421896,6.377171516,1
23,1889,2.566035748,4.302390099,1
23,1905,3.394356966,5.462574959,1
23,1921,1.403313398,0.3081967831,1
23,1937,2.813368797,-5.08896637,1
23,1953,0.237609148,-0.9334465265,1
23,1969,0.5522575378,-0.9811623096,1
23,1985,0.7601294518,-2.393443823,1
23,2001,8.064040184,5.657286644,1
23,2017,2.84043169,-6.056529045,1
23,2033,0.1579309702,8.330125809,1
39,17,0.799080193,1.848498583,1
39,33,0.5956953168,-0.246784687,1
39,49,-0.1911300719,1.041542053,1
39,65,-0.8573855162,1.072115183,1
39,81,-0.4913537502,1.627139688,1
39,97,0.01995122433,2.286915779,1
39,113,-0.786350131,2.86583209,1
39,129,-1.681606531,3.27279067,1
39,145,-2.644692421,4.115887642,1
39,161,-2.426307201,4.028785706,1
39,177,1.060811043,2.933632612,1
39,193,0.07867801189,1.61638093,1
39,209,0.06982541084,1.055166245,1
39,225,-0.03716278076,1.458425403,1
39,241,-0.3976324797,2.294192553,1
39,257,0.9327378273,3.691435099,1
39,273,4.333221436,7.744501114,1
39,289,-2.794307709,3.323387146,1
39,305,-2.256713629,7.906273365,1
39,321,-2.118654728,5.197031021,1
39,337,1.127645135,11.81836414,1
39,353,1.125613451,3.453543425,1
39,369,-0.8656353951,3.630204916,1
39,385,9.836406708,3.821212769,1
39,401,8.942251205,4.043875694,1
39,417,-2.547902107,3.920332432,1
39,433,-1.493932962,4.267521381,1
39,449,-3.994329929,-0.9208602905,1
39,465,-0.5532218218,4.094282627,1
39,481,-0.1839926541,3.540370703,1
39,497,0.4320514202,3.511507273,1
39,513,1.424926519,3.760545254,1
39,529,8.970761299,8.583946228,1
39,545,6.549804688,10.32942295,1
39,561,10.00398254,0.8996219635,1
39,577,1.918440819,1.993412971,1
39,593,2.090582371,1.473954439,1
39,609,2.913538218,1.342619658,1
39,625,3.165750027,1.005108595,1
39,641,2.03286171,0.8930841684,1
39,657,0.8749147654,0.6833252907,1
39,673,1.809427977,1.118386984,1
39,689,2.318702221,0.7040536404,1
39,705,1.953705311,0.7958344221,1
39,721,1.209728956,1.852771282,1
39,737,1.632067323,1.897409439,1
39,753,3.642028093,4.74244976,1
39,769,4.518318176,4.40874052,1
39,785,5.910805702,2.248338461,1
39,801,3.705431461,2.20206356,1
39,817,3.018858671,1.143342972,1
39,833,2.14379406,-2.058212042,1
39,849,2.328734636,1.712272167,1
39,865,1.339904547,1.876387954,1
39,881,2.839399576,1.281155467,1
39,897,3.146170855,1.055084229,1
39,913,3.403466225,3.127817154,1
39,929,2.576837063,3.169096231,1
39,945,2.558701038,2.715615273,1
39,961,2.936883211,2.66057086,1
39,977,-4.736448765,1.078282356,1
39,993,7.907233715,-1.766305923,1
39,1009,4.629841805,3.77038908,1
39,1025,-4.282501221,4.186823368,1
39,1041,0.9851756096,2.847958326,1
39,1057,1.497799635,2.832126141,1
39,1073,3.714607,2.686384201,1
39,1089,3.768555164,2.868242025,1
39,1105,4.156404495,2.318617582,1
39,1121,4.998030663,2.720346928,1
39,1137,6.491424561,2.735872269,1
39,1153,6.837373734,1.65376091,1
39,1169,4.20973587,11.1197567,1
39,1185,5.658367157,2.16186285,1
39,1201,-0.7037858963,3.907657862,1
39,1217,7.809937477,3.205753326,1
39,1233,7.717693329,2.328724623,1
39,1249,7.090531349,0.8479685783,1
39,1265,4.102560043,-3.960970402,1
39,1281,3.882309914,-0.4092565775,1
39,1297,2.312683821,-1.15238595,1
39,1313,2.539065838,-0.8952071667,1
39,1329,2.696867704,0.03701817989,1
39,1345,2.084833622,1.493502855,1
39,1361,11.73634911,1.885104537,1
39,1377,12.18481445,-0.1078550369,1
39,1393,1.961690187,-8.70941925,1
39,1409,3.272614241,0.145491451,1
39,1425,3.416149139,0.1127156019,1
39,1441,2.849639177,0.1917809248,1
39,1457,2.678408384,8.114217758,1
39,1473,2.92494297,-0.8032859564,1
39,1489,2.861008644,-0.6791352034,1
39,1505,2.050281525,0.3604242504,1
39,1521,0.2835092545,-0.02533730865,1
39,1537,1.213507056,-0.2600589395,1
39,1553,1.472736239,-0.3133277297,1
39,1569,1.823857784,7.923965454,1
39,1585,7.126226425,-0.265601784,1
39,1601,-2.311121225,-1.445448875,1
39,1617,-2.158062458,-2.446032047,1
39,1633,-1.0510149,-7.178458691,1
39,1649,-0.5171670914,-7.916985989,1
39,1665,2.823055267,-0.907979548,1
39,1681,2.765990257,-1.931602478,1
39,1697,3.579081535,-0.9077532291,1
39,1713,1.699950933,-0.5469354391,1
39,1729,1.274507523,0.3131656945,1
39,1745,2.746148825,3.294484138,1
39,1761,2.715690374,1.914124727,1
39,1777,4.22232151,-13.15204334,1
39,1793,3.746238708,-10.01566124,1
39,1809,4.655771255,-7.209209919,1
39,1825,3.894570589,-4.752241135,1
39,1841,2.675535202,-2.641348839,1
39,1857,2.001755238,-10.47393513,1
39,1873,-4.430065632,3.968020201,1
39,1889,-1.117019176,1.33617115,1
39,1905,-1.476314306,0.1317147017,1
39,1921,0.7105369568,-0.6899845004,1
39,1937,0.5431091785,-0.03187441826,1
39,1953,-5.916104317,-5.105573177,1
39,1969,-0.3963969946,0.06839686632,1
39,1985,-0.3709121943,-0.6157383919,1
39,2001,7.368714333,-0.465161413,1
39,2017,2.29752779,0.6326531768,1
39,2033,2.063144922,3.125303745,1
55,17,0.07942163944,0.6697013378,1
55,33,-0.1405457109,-0.2362529039,1
55,49,-0.1436765492,0.6580055356,1
55,65,-0.02510008216,1.145528913,1
55,81,-0.2941413522,1.528499842,1
55,97,0.4374881387,1.940079212,1
55,113,-0.4160978198,2.464904308,1
55,129,-1.12763238,2.447258234,1
55,145,-1.361636162,3.20551753,1
55,161,-1.216673493,2.863385677,1
55,177,-0.8560459614,3.081770182,1
55,193,-1.423545957,2.627250671,1
55,209,-2.705593586,2.099070549,1
55,225,-3.73000145,3.209373951,1
55,241,-1.064895153,7.393657684,1
55,257,-2.320893288,4.144378662,1
55,273,-2.394458771,2.414716721,1
55,289,-2.484263182,4.270466328,1
55,305,-5.292525291,9.466883659,1
55,321,-1.163323522,5.074745178,1
55,337,0.8727875948,3.566858768,1
55,353,1.353299379,3.100229263,1
55,369,-0.05990424752,3.700389147,1
55,385,-1.171792507,3.071693897,1
55,401,0.1658088863,4.257137299,1
55,417,-0.7122322917,4.263380527,1
55,433,-1.127320766,3.561252594,1
55,449,-1.32735157,3.119890451,1
55,465,-1.11481905,3.509307384,1
55,481,-0.7313156128,5.110742569,1
55,497,-3.291733027,8.199150085,1
55,513,-4.716063023,6.680923939,1
55,529,0.5135983825,3.822706223,1
55,545,1.247566819,2.810445786,1
55,561,0.4355751276,1.880988359,1
55,577,0.03995513916,2.306794643,1
55,593,0.5314980745,2.409198284,1
55,609,-0.2611787319,1.786690712,1
55,625,-7.995306969,4.125624657,1
55,641,-7.880233765,3.972121477,1
55,657,-0.3642660975,1.054006219,1
55,673,1.09876442,0.7445816994,1
55,689,1.640322208,0.2172226906,1
55,705,1.492549419,0.2765222788,1
55,721,0.3819948435,2.519912481,1
55,737,0.03319954872,-4.158876896,1
55,753,3.254330635,5.129780769,1
55,769,3.616616249,4.004000664,1
55,785,3.180378437,-6.160134315,1
55,801,4.686549187,2.244950533,1
55,817,1.466890574,-1.229288101,1
55,833,0.3332548141,-0.6633161306,1
55,849,0.6478033066,2.25384593,1
55,865,2.921156168,1.928737164,1
55,881,3.373600245,1.164565563,1
55,897,3.106704712,1.254832149,1
55,913,2.437733889,1.805654526,1
55,929,1.587830305,1.52218914,1
55,945,2.213589668,2.262063503,1
55,961,3.32932663,2.341502666,1
55,977,4.994786739,3.93708992,1
55,993,5.360401154,3.040367603,1
55,1009,4.781966686,3.930894613,1
55,1025,4.116747856,3.465450287,1
55,1041,2.830347061,3.340043068,1
55,1057,3.439048767,3.183467388,1
55,1073,3.787268877,3.100786924,1
55,1089,3.423624277,2.955827475,1
55,1105,4.82861042,0.9106926918,1
55,1121,3.914366245,3.131249905,1
55,1137,5.052010536,2.811988592,1
55,1153,5.916929722,1.084423065,1
55,1169,6.235046387,2.645838976,1
55,1185,5.531788349,2.111572504,1
55,1201,5.539233685,1.470663667,1
55,1217,6.869966507,3.021799088,1
55,1233,7.920441151,0.660045743,1
55,1249,7.729114532,-0.1640572548,1
55,1265,4.763959408,-9.664473534,1
55,1281,4.550452232,-2.887603283,1
55,1297,-0.7912964821,-5.530564308,1
55,1313,3.547587872,-2.456018925,1
55,1329,3.574206352,-1.868702173,1
55,1345,2.312173128,-0.1715062857,1
55,1361,2.303919315,0.3957568407,1
55,1377,3.323518753,0.2049564272,1
55,1393,3.541476488,-8.440258026,1
55,1409,3.280258179,-0.5645164847,1
55,1425,3.589817524,-0.9935086966,1
55,1441,3.323614597,0.361748457,1
55,1457,3.365080118,7.471618176,1
55,1473,7.282745361,6.71919632,1
55,1489,2.236561298,4.171262264,1
55,1505,2.443968058,-0.1342457831,1
55,1521,1.745233655,-0.06141832471,1
55,1537,1.719228983,-0.5427010059,1
55,1553,2.061541557,-0.4663148224,1
55,1569,2.14037466,-0.3248731196,1
55,1585,2.128331184,-0.7754253745,1
55,1601,-1.018736839,-1.319642544,1
55,1617,-1.562601089,-1.448968768,1
55,1633,2.633160353,-0.3603978157,1
55,1649,2.951301336,-1.041629195,1
55,1665,2.982911348,-2.514608622,1
55,1681,3.294928789,-1.294066668,1
55,1697,3.042841434,-1.207379818,1
55,1713,2.668665648,-0.9208676219,1
55,1729,2.693927288,1.325645328,1
55,1745,2.366878033,4.089359283,1
55,1761,9.971790314,-8.25206089,1
55,1777,5.081094742,-13.04951477,1
55,1793,3.477308512,-5.481620312,1
55,1809,3.657400846,-6.315795898,1
55,1825,3.64489007,-3.764652014,1
55,1841,1.670876026,-1.854495049,1
55,1857,1.499646902,-1.505465388,1
55,1873,4.851260185,-1.826123238,1
55,1889,2.848876953,-1.665220022,1
55,1905,1.304945946,-0.9582762718,1
55,1921,6.674241543,-4.676414967,1
55,1937,-0.2129039764,1.167588949,1
55,1953,-5.431113243,-6.393146038,1
55,1969,0.03916978836,0.0228587091,1
55,1985,-0.2202842832,0.2905348539,1
55,2001,0.6772255898,0.7529028654,1
55,2017,1.719737053,0.6002452374,1
55,2033,8.236256599,-5.654126644,1
71,17,-0.1172201335,1.06200254,1
71,33,-0.1468260586,0.2358175516,1
71,49,0.08895248175,0.03586915135,1
71,65,1.23019731,0.7931506634,1
71,81,-8.227241516,2.048993587,1
71,97,-7.487163067,3.3918612,1
71,113,-0.6449146271,3.642542362,1
71,129,-0.7549538612,2.587589741,1
71,145,-2.239639997,2.545522928,1
71,161,7.46700573,0.07204508781,1
71,177,-1.583231211,2.501934528,1
71,193,-2.032654047,2.612153053,1
71,209,-3.269639492,3.375607014,1
71,225,-5.949511528,4.187253952,1
71,241,-3.479792595,5.233270168,1
71,257,-2.693441629,5.214520931,1
71,273,4.915122986,-0.4595570564,1
71,289,4.630413055,-0.3185982704,1
71,305,-10.72007275,4.899544716,1
71,321,-0.8450490236,3.837024927,1
71,337,-0.7493254542,2.936694622,1
71,353,-0.8141659498,3.578075886,1
71,369,2.209415436,3.862391233,1
71,385,-0.4129955769,3.767648697,1
71,401,-0.7404141426,4.13255024,1
71,417,-0.8299608231,3.956982613,1
71,433,-0.1747555733,2.784799814,1
71,449,-0.1544575691,1.831390619,1
71,465,-1.057336807,3.18597126,1
71,481,-1.791345596,5.799702644,1
71,497,-0.7445993423,5.221629143,1
71,513,0.5300739408,4.501596928,1
71,529,1.704680443,3.631338358,1
71,545,1.529279709,2.4358325,1
71,561,0.3820109367,1.579405665,1
71,577,0.2311366796,1.722456217,1
71,593,3.013585091,3.239836216,1
71,609,-0.4095413089,2.755545616,1
71,625,-6.785678864,-3.023680687,1
71,641,-1.31815815,1.486239672,1
71,657,-0.9763374329,0.930781126,1
71,673,-0.6798517704,0.7098417282,1
71,689,1.023552299,2.235067844,1
71,705,1.401640892,3.267998695,1
71,721,1.515097618,3.378313541,1
71,737,1.111163855,3.184690714,1
71,753,2.176285744,2.632972479,1
71,769,2.982002258,3.081257582,1
71,785,-5.82180357,4.81638813,1
71,801,-6.023094177,4.058247566,1
71,817,-2.967413187,-4.476896286,1
71,833,0.3599934578,0.7361288071,1
71,849,2.577518463,1.379765987,1
71,865,3.831634998,1.28726387,1
71,881,4.417518616,1.473724127,1
71,897,-1.148290157,-1.038357615,1
71,913,1.055246592,1.714767933,1
71,929,2.396119356,2.27752614,1
71,945,2.636706114,2.781185865,1
71,961,3.218876362,2.817016602,1
71,977,4.680791855,3.154079914,1
71,993,4.952084541,3.038325787,1
71,1009,4.596776962,3.01896286,1
71,1025,3.916075706,3.227565289,1
71,1041,3.296081066,1.545042515,1
71,1057,3.925339222,2.835164785,1
71,1073,2.905570745,2.909665823,1
71,1089,1.941169739,2.690383434,1
71,1105,2.989097595,2.665890217,1
71,1121,1.028978348,1.926568985,1
71,1137,2.390031815,2.065677643,1
71,1153,5.129125118,1.815967798,1
71,1169,11.44416904,1.842601418,1
71,1185,7.267017841,2.013618708,1
71,1201,5.762119293,1.268791914,1
71,1217,6.026502609,2.132102013,1
71,1233,6.540058136,0.157990694,1
71,1249,7.167365551,-0.5413939953,1
71,1265,7.182812691,-1.095265388,1
71,1281,-3.071977615,-5.211522579,1
71,1297,4.619777203,-5.478934288,1
71,1313,4.411586285,-3.613675117,1
71,1329,3.676586628,-2.214113474,1
71,1345,3.120798349,-1.618924856,1
71,1361,3.362132549,-0.3301884234,1
71,1377,4.200424194,-0.1466501504,1
71,1393,3.897555828,-0.08200915158,1
71,1409,3.662530899,-0.9988619089,1
71,1425,7.670715332,-5.232217312,1
71,1441,6.352170944,6.944671154,1
71,1457,11.91869926,1.081972957,1
71,1473,4.787513256,-1.339178562,1
71,1489,3.241448402,3.294181347,1
71,1505,5.520111084,-2.228804588,1
71,1521,2.244307995,-2.058279991,1
71,1537,2.107298613,-1.647449017,1
71,1553,2.111873865,-0.5570234656,1
71,1569,2.330541849,-0.4509909451,1
71,1585,2.541480541,-0.7415288687,1
71,1601,2.180506229,-1.359846354,1
71,1617,2.289004326,-1.089844942,1
71,1633,2.673304081,-0.6994501352,1
71,1649,2.954400778,-0.8817608356,1
71,1665,3.336745977,-0.8859577775,1
71,1681,3.106408358,-1.254884958,1
71,1697,2.802348614,-0.9401358962,1
71,1713,3.178999424,-0.9874240756,1
71,1729,8.814167023,-1.012784839,1
71,1745,-0.09453225136,5.776125908,1
71,1761,12.0326128,-5.339830399,1
71,1777,3.319615602,-4.214096546,1
71,1793,3.663297415,-4.887972832,1
71,1809,3.790588379,-4.612552643,1
71,1825,3.733987808,-3.538028479,1
71,1841,-2.536591768,-3.149862528,1
71,1857,-2.186458588,-0.7037148476,1
71,1873,-0.9893264771,-1.864259481,1
71,1889,3.210885048,-1.930362105,1
71,1905,3.352737427,-1.207541347,1
71,1921,9.692329407,-3.905816078,1
71,1937,9.37787056,-2.345292568,1
71,1953,-1.723945141,-5.943892002,1
71,1969,0.2305881977,0.1447892785,1
71,1985,0.2647044063,0.5621935129,1
71,2001,2.753521919,0.4275650382,1
71,2017,3.572817802,-0.1483770907,1
71,2033,1.775590897,-0.3957188129,1
87,17,-0.3888627887,-0.004875183105,1
87,33,-0.4225708246,-1.975918889,1
87,49,-0.100670293,-3.826555252,1
87,65,-0.2845645547,0.7229622006,1
87,81,0.1419965029,1.89515233,1
87,97,-0.0299629271,3.217056751,1
87,113,-0.4546428919,4.40075779,1
87,129,-0.8339332342,2.952297211,1
87,145,-3.271654844,2.534977674,1
87,161,6.735233307,-0.3606052399,1
87,177,-1.829834223,2.060998917,1
87,193,-1.588765502,2.364820242,1
87,209,-1.884574652,2.46920085,1
87,225,-5.281233788,2.561315775,1
87,241,-3.481474638,4.394240379,1
87,257,-1.78328371,6.125930786,1
87,273,5.269777298,7.328579426,1
87,289,5.146979332,5.748602867,1
87,305,-2.43698144,3.642111778,1
87,321,-1.425112486,3.464914083,1
87,337,-0.9955232143,3.064484119,1
87,353,-1.049678326,4.031455994,1
87,369,-1.063427329,4.330961227,1
87,385,-4.527464867,8.126420975,1
87,401,-1.000471354,3.575692654,1
87,417,-9.319916725,5.635015965,1
87,433,1.389520168,2.856526375,1
87,449,0.2681237459,2.074185133,1
87,465,-0.7011002302,3.448935032,1
87,481,-0.9042064548,3.721308231,1
87,497,-0.7168668509,4.855978966,1
87,513,-0.3486850858,4.527468204,1
87,529,1.993580818,3.799150944,1
87,545,1.804760218,2.637668371,1
87,561,1.042471886,1.5956949,1
87,577,0.8277480602,1.212288618,1
87,593,0.7550499439,1.455675125,1
87,609,-3.992774487,-0.7111897469,1
87,625,-1.462331653,0.9341635704,1
87,641,-1.201512337,1.626554251,1
87,657,-6.378189087,-3.196352243,1
87,673,0.0324550271,2.208479643,1
87,689,0.5287780762,3.290257215,1
87,705,0.7841451168,4.397004604,1
87,721,0.1138820052,4.612286091,1
87,737,-0.0537788868,3.511719465,1
87,753,-0.02033936977,1.841470718,1
87,769,-5.171697617,0.6031897068,1
87,785,3.876028538,2.875299931,1
87,801,10.93197536,2.029213667,1
87,817,6.200721264,10.07615852,1
87,833,3.064526796,0.0494158268,1
87,849,-1.021914959,9.273545265,1
87,865,6.544102669,0.4673197269,1
87,881,3.354488373,0.4487533569,1
87,897,2.515393257,2.356323481,1
87,913,2.706944942,4.747646332,1
87,929,2.53690958,3.293993235,1
87,945,2.775909901,3.435287952,1
87,961,7.94798851,10.67734909,1
87,977,9.513849258,9.628211975,1
87,993,7.680381775,3.196919441,1
87,1009,-0.6777672768,2.901791573,1
87,1025,-1.025047779,2.684526205,1
87,1041,3.220413685,4.910120964,1
87,1057,0.4093606472,1.919765234,1
87,1073,-0.2091495991,1.705339789,1
87,1089,0.867650032,1.891812921,1
87,1105,2.133893013,2.108233452,1
87,1121,3.697983503,1.759337306,1
87,1137,2.999763966,1.654999256,1
87,1153,3.922709465,1.500085473,1
87,1169,7.089427948,-0.8124153614,1
87,1185,5.740258217,1.401573539,1
87,1201,5.782753944,1.609985948,1
87,1217,6.100493431,1.917598963,1
87,1233,4.349919796,-0.3447090983,1
87,1249,4.186435699,-1.068872809,1
87,1265,6.164708138,-0.4632008076,1
87,1281,6.436279774,-1.490190268,1
87,1297,5.500461578,-3.511927605,1
87,1313,3.997801781,-3.228350163,1
87,1329,10.00290108,-2.644813538,1
87,1345,8.984523773,-0.1748579741,1
87,1361,3.953223705,-0.6951915622,1
87,1377,4.47160244,-0.1823337078,1
87,1393,4.498305321,-0.6366921663,1
87,1409,4.828104019,-1.593623161,1
87,1425,3.524526358,-1.999917746,1
87,1441,8.473659515,6.208628654,1
87,1457,8.412369728,6.261977196,1
87,1473,5.440562248,-2.034960032,1
87,1489,5.646296501,-2.845160007,1
87,1505,5.954666138,-3.42737627,1
87,1521,7.816659451,-3.647976875,1
87,1537,2.001908541,-1.098651409,1
87,1553,2.159725189,-0.1773352623,1
87,1569,2.517433405,-0.06931477785,1
87,1585,3.07477355,-0.5525115728,1
87,1601,2.818832636,-1.327373981,1
87,1617,2.359572172,-0.4552415013,1
87,1633,3.050238609,-0.2691065073,1
87,1649,3.488641739,-0.2995045185,1
87,1665,-2.726941109,-0.07854831219,1
87,1681,0.9882495403,-0.8541370034,1
87,1697,2.889178991,-0.3916965723,1
87,1713,-5.429783821,0.1085544229,1
87,1729,-5.274604797,-0.5863124132,1
87,1745,-0.5040099621,1.284727931,1
87,1761,1.753888607,-2.718118668,1
87,1777,1.843660831,-3.636470318,1
87,1793,2.951694489,-4.152339935,1
87,1809,5.55080986,-4.108719349,1
87,1825,5.661250114,-3.625799179,1
87,1841,0.6823716164,-6.842021942,1
87,1857,1.542145252,-4.284912109,1
87,1873,3.629846096,-2.428914547,1
87,1889,4.101584435,-2.322272778,1
87,1905,4.133697987,-1.711753964,1
87,1921,4.533543587,-1.200522184,1
87,1937,6.775405407,-0.6986587048,1
87,1953,2.717434406,-0.6143020391,1
87,1969,1.510078549,0.05008719862,1
87,1985,0.9722911119,-0.08626079559,1
87,2001,2.430627346,-8.320213318,1
87,2017,-2.843820572,1.639834166,1
87,2033,-0.446924448,-0.5788511634,1
103,17,1.241304994,-1.772175312,1
103,33,-7.944255829,5.501192093,1
103,49,-0.02235917747,-4.008340359,1
103,65,-0.2192381322,-2.749093056,1
103,81,0.1274957955,1.895340443,1
103,97,0.1919614226,3.149856806,1
103,113,0.7318290472,2.733105183,1
103,129,-0.2538522482,1.586074829,1
103,145,-2.211621284,-0.2434277534,1
103,161,-2.565409184,1.727639198,1
103,177,-2.04126358,1.305259109,1
103,193,-0.9761211872,1.042117834,1
103,209,-0.5966724157,1.355775595,1
103,225,-1.498846054,2.243781805,1
103,241,-2.585170031,3.185370922,1
103,257,-1.77484405,5.105313301,1
103,273,5.955693245,8.990924835,1
103,289,5.976611137,8.232290268,1
103,305,-6.627747536,4.354954243,1
103,321,-1.88385272,3.552356005,1
103,337,-0.9243012667,3.644785881,1
103,353,-1.257895708,4.272875786,1
103,369,-3.752927303,4.509030819,1
103,385,-1.569967389,4.936428547,1
103,401,-1.200060844,4.323099613,1
103,417,-9.34191227,5.03236866,1
103,433,-9.188536644,3.967479229,1
103,449,1.9394629,5.56082058,1
103,465,1.746192217,4.365611076,1
103,481,1.756222725,3.285125732,1
103,497,0.5222531557,5.18702507,1
103,513,0.4391268492,4.879630089,1
103,529,1.501026869,1.572615623,1
103,545,1.221656203,0.02595114708,1
103,561,1.002765536,1.318519473,1
103,577,1.256761074,0.8845821619,1
103,593,1.427675009,0.6185586452,1
103,609,1.553331375,1.551569462,1
103,625,1.609949112,1.436844349,1
103,641,0.810082078,0.5974211693,1
103,657,0.646235466,3.578392029,1
103,673,0.3059037328,3.843647957,1
103,689,0.3485322595,4.452365875,1
103,705,0.3747682273,5.45000124,1
103,721,0.5107403994,5.232788086,1
103,737,1.073282957,3.681106329,1
103,753,-1.003031731,2.041380405,1
103,769,-1.159605742,1.087106824,1
103,785,1.845434308,0.5099670887,1
103,801,9.537937164,7.186197281,1
103,817,2.268186092,-0.8009305,1
103,833,2.629597664,0.6393754482,1
103,849,-1.266455412,8.818141937,1
103,865,4.288518906,1.315688133,1
103,881,2.966665983,1.558365345,1
103,897,1.191764355,3.316431522,1
103,913,6.66770649,-2.798612833,1
103,929,2.636115789,4.254106045,1
103,945,3.746043682,12.39612198,1
103,961,8.833337784,-3.218277454,1
103,977,6.052982807,3.409758806,1
103,993,6.446084023,4.313033104,1
103,1009,0.6560118198,2.315495253,1
103,1025,2.090977192,1.735355139,1
103,1041,2.280053616,2.679085255,1
103,1057,-0.05082821846,0.1389695406,1
