PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 9, filenames: A:[9]MAX_1202204_TgUtrmcherry_K4K8MO010.avi & B:[10]MAX_1202204_TgUtrmcherry_K4K8MO010.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
79,1697,10.32526016,-6.332963467,1
79,1729,10.0753479,-5.689519405,1
79,1761,9.601066589,-6.754864693,1
79,1793,-0.09249305725,-0.3663742542,1
79,1825,-12.04871273,-11.26666737,1
79,1857,-1.911345005,-17.63995171,1
79,1889,-3.08575964,2.561152458,1
79,1921,-0.9718874097,1.260205626,1
79,1953,0.2200625539,0.3902157545,1
79,1985,-0.6192480922,-1.410055161,1
79,2017,-4.654214382,-7.35185194,1
111,33,1.659989834,-0.2725529671,1
111,65,1.819925547,-0.0904174,1
111,97,2.045141935,0.5741935372,1
111,129,2.174232006,0.2347549498,1
111,161,1.133465528,-0.06351256371,1
111,193,2.877428532,-1.273964763,1
111,225,3.542539835,-1.972015858,1
111,257,3.368972301,-1.256256342,1
111,289,3.190272093,-0.943382144,1
111,321,3.435318947,-1.14585793,1
111,353,4.355221748,-1.762995601,1
111,385,4.367929459,-3.641618252,1
111,417,4.064080715,-3.671308041,1
111,449,2.586859703,-1.774261236,1
111,481,5.0880723,-2.924944639,1
111,513,6.289775372,-3.563881874,1
111,545,5.105730057,-3.502550125,1
111,577,6.646643162,-6.548668861,1
111,609,9.694393158,-5.791946411,1
111,641,10.02557087,-6.118932724,1
111,673,8.961921692,-5.376499653,1
111,705,9.310359955,-4.341914177,1
111,737,-7.159239769,-4.05147171,1
111,769,12.43200684,-2.411221266,1
111,801,12.67240143,-1.666264296,1
111,833,11.88912773,-0.5019547343,1
111,865,13.24760056,-0.4971777797,1
111,897,15.0511694,-1.484094143,1
111,929,16.31179428,-1.640087128,1
111,961,16.78659058,-1.869392991,1
111,993,17.29030037,-2.120727301,1
111,1025,17.71519661,-2.930790186,1
111,1057,17.74855042,-3.316577435,1
111,1089,17.85610962,-4.185194016,1
111,1121,18.01371002,-5.414085865,1
111,1153,17.56260681,-6.104138851,1
111,1185,17.69735146,-8.224491119,1
111,1217,17.37055206,-9.394124985,1
111,1249,17.53704262,-6.786878109,1
111,1281,17.59311676,-5.883575439,1
111,1313,15.01965809,-6.596571445,1
111,1345,13.52733326,-6.36679554,1
111,1377,12.70773411,-6.781249523,1
111,1409,11.44263935,-6.290685177,1
111,1441,11.30850792,-5.654642582,1
111,1473,11.20051956,-6.516221523,1
111,1505,10.93374634,-6.397442818,1
111,1537,10.4861536,-5.985983372,1
111,1569,9.636063576,-5.929740906,1
111,1601,8.868819237,-6.173492432,1
111,1633,9.189651489,-7.507379055,1
111,1665,9.453490257,-7.181539536,1
111,1697,9.824272156,-6.217616081,1
111,1729,10.79021072,-5.60024929,1
111,1761,10.94154167,-4.397174358,1
111,1793,-11.21418571,-4.492490768,1
111,1825,1.892201424,-11.67800236,1
111,1857,-5.42989254,10.8350153,1
111,1889,0.4669790268,-0.1140571833,1
111,1921,-0.2874548435,-0.1242158413,1
111,1953,-0.6437368989,0.1156241894,1
111,1985,-0.3113943338,-0.5220098495,1
111,2017,-0.02315783501,-7.154940128,1
143,33,2.398735046,-0.2606897354,1
143,65,3.187808514,0.5747259855,1
143,97,2.537018299,1.552620888,1
143,129,2.100758553,1.306781411,1
143,161,1.470060349,0.0248759985,1
143,193,2.831527472,-0.5376507044,1
143,225,3.961579561,-1.433921695,1
143,257,4.346551418,-1.6460042,1
143,289,4.138167381,-1.148826599,1
143,321,4.375274181,-1.4052881,1
143,353,4.453568935,-2.015452862,1
143,385,5.191579342,-2.137780428,1
143,417,4.295132637,-2.749083042,1
143,449,3.881322384,-3.025143623,1
143,481,5.953377247,-3.516788006,1
143,513,7.535328388,-3.487609863,1
143,545,7.007639408,-4.394886494,1
143,577,7.489411831,-5.958106041,1
143,609,7.987451553,6.907213211,1
143,641,9.288984299,-6.26718235,1
143,673,9.256429672,-5.108194828,1
143,705,9.387924194,-3.616825104,1
143,737,9.923490524,-3.292003393,1
143,769,12.27261925,-3.465307951,1
143,801,12.60834885,-2.109256744,1
143,833,12.27757263,-0.7946094871,1
143,865,13.37724018,-0.09559226036,1
143,897,29.32454491,-8.72250843,1
143,929,16.44766808,-1.533501148,1
143,961,18.23783302,-2.294651985,1
143,993,17.78163147,-2.241257429,1
143,1025,17.87656784,-2.723758698,1
143,1057,17.97453308,-3.35577178,1
143,1089,17.86424255,-3.940776825,1
143,1121,18.28753281,-4.55378294,1
143,1153,18.18650246,-5.015978813,1
143,1185,18.06403923,-5.949074745,1
143,1217,17.53552437,-5.565851212,1
143,1249,16.72395134,-5.199240685,1
143,1281,16.00068665,-6.287207603,1
143,1313,14.78984833,-6.837388039,1
143,1345,13.55145264,-7.119421959,1
143,1377,13.10475731,-6.612719536,1
143,1409,12.35415363,-6.054073811,1
143,1441,11.83696461,-5.489309788,1
143,1473,11.70367241,-5.305243015,1
143,1505,11.33564949,-6.235338688,1
143,1537,10.76503086,-5.941873074,1
143,1569,9.645484924,-6.002274513,1
143,1601,8.233278275,-6.042024136,1
143,1633,6.871127129,-6.447499752,1
143,1665,7.681600094,-6.620153427,1
143,1697,8.198544502,-5.967718124,1
143,1729,9.42024231,-5.574436665,1
143,1761,9.906614304,-5.372745991,1
143,1793,8.99486351,-4.497224808,1
143,1825,7.504513264,-4.59047699,1
143,1857,0.9838328362,-0.6074113846,1
143,1889,0.9174675941,-0.5064604282,1
143,1921,0.05184412003,-0.5790266991,1
143,1953,-0.2531850338,0.07784819603,1
143,1985,-0.2766305208,-0.3223216534,1
143,2017,2.297139168,-5.967796326,1
175,33,3.677761555,0.1994456053,1
175,65,3.250246525,1.735717535,1
175,97,2.775259733,2.24504137,1
175,129,3.378345251,2.529428244,1
175,161,3.414928913,-0.09149560332,1
175,193,3.373977423,-0.4862593412,1
175,225,3.920571566,-0.2985501885,1
175,257,4.284647942,-0.6330657601,1
175,289,4.327975273,-0.7943123579,1
175,321,4.421061993,-0.7053422928,1
175,353,4.113302231,-1.694376945,1
175,385,4.666181564,-1.196765423,1
175,417,-3.69428587,-14.50420475,1
175,449,4.872251987,-4.020598412,1
175,481,5.573699951,-3.521070242,1
175,513,7.017176628,-3.59197998,1
175,545,6.836737633,-3.855862141,1
175,577,7.31435442,-4.278933048,1
175,609,7.170131683,-4.156341553,1
175,641,7.264107704,-3.406777382,1
175,673,15.15579891,14.9891386,1
175,705,9.997027397,-2.719081402,1
175,737,10.44306946,-2.686117887,1
175,769,10.33580494,-3.358654499,1
175,801,12.17593002,-1.577857614,1
175,833,13.62116051,-1.421652317,1
175,865,15.01729012,-0.7697441578,1
175,897,14.58833885,19.95760536,1
175,929,15.99175453,0.2537659407,1
175,961,18.23291397,-0.9363402724,1
175,993,18.30513573,-1.192519426,1
175,1025,17.64534378,-1.03618896,1
175,1057,17.75074005,-2.421936035,1
175,1089,18.44231987,-3.318205118,1
175,1121,18.90746689,-3.876337528,1
175,1153,19.48492241,-4.103579998,1
175,1185,18.51495552,-4.976772785,1
175,1217,16.12306786,-5.444512844,1
175,1249,15.74925995,-5.290050983,1
175,1281,15.33905792,-6.671047211,1
175,1313,14.76958561,-6.885567665,1
175,1345,14.17239285,-7.246388912,1
175,1377,13.70908833,-5.496845722,1
175,1409,13.0319128,-4.507836342,1
175,1441,12.07713509,-3.430037498,1
175,1473,11.94056702,-4.339767933,1
175,1505,11.37538719,-5.671819687,1
175,1537,10.82927418,-5.756775379,1
175,1569,10.05316448,-5.734930992,1
175,1601,8.667468071,-5.6239748,1
175,1633,6.198220253,-5.934855938,1
175,1665,6.637522221,-5.929028511,1
175,1697,6.93392992,-6.009361267,1
175,1729,6.027386189,-6.475369453,1
175,1761,3.512301445,-7.606836796,1
175,1793,6.506013393,-5.757666588,1
175,1825,6.929140568,-4.824239731,1
175,1857,13.11907196,-0.8234615326,1
175,1889,-0.03021717072,-0.1442980766,1
175,1921,0.07681560516,-0.1240794659,1
175,1953,-0.3089044094,-0.29271698,1
175,1985,-0.04597055912,-0.1638560295,1
175,2017,2.179743528,-4.375752449,1
207,33,3.070043325,0.4097446203,1
207,65,3.395275116,1.010182977,1
207,97,-16.097229,4.299882412,1
207,129,5.550235271,1.050793409,1
207,161,4.897670746,-0.1337136626,1
207,193,3.534715176,0.4159081578,1
207,225,3.571745634,1.383671761,1
207,257,3.530972958,0.06659853458,1
207,289,3.457197189,-0.3100874424,1
207,321,4.191650391,-0.8522244692,1
207,353,4.357584953,-2.149494171,1
207,385,3.582197666,-2.177200794,1
207,417,3.731850147,-2.209705114,1
207,449,3.688261509,-2.299754143,1
207,481,4.66050005,-2.343106985,1
207,513,7.249616146,-2.77281785,1
207,545,7.828801632,-2.902795076,1
207,577,7.464000225,-3.431921482,1
207,609,8.202080727,-4.403057098,1
207,641,8.570064545,-3.893433094,1
207,673,13.59825039,16.91244125,1
207,705,10.66708851,-2.897621155,1
207,737,10.77692223,-2.586338043,1
207,769,11.58201504,-1.45356369,1
207,801,12.87064075,-1.329813242,1
207,833,13.86582756,-1.418059349,1
207,865,15.48017979,0.2042588592,1
207,897,16.91437531,3.44412899,1
207,929,18.6749649,2.43101716,1
207,961,20.49204254,1.28984499,1
207,993,19.42452621,-0.1513859034,1
207,1025,17.92482376,-0.8394575119,1
207,1057,17.64750481,-1.791216135,1
207,1089,18.63420296,-3.598566055,1
207,1121,19.04432869,-3.8813169,1
207,1153,20.15385056,-3.546288967,1
207,1185,18.79917336,-4.476890087,1
207,1217,15.67786598,-6.464463234,1
207,1249,15.4893055,-7.144951344,1
207,1281,15.32413673,-6.954698563,1
207,1313,14.87941933,-6.660254955,1
207,1345,14.1091013,-6.192755222,1
207,1377,13.60983849,-4.860843658,1
207,1409,12.64663029,-3.17058897,1
207,1441,11.43292904,-3.270447254,1
207,1473,10.08137608,-4.612059593,1
207,1505,11.09038067,-4.754594803,1
207,1537,10.76708221,-5.648287773,1
207,1569,9.701616287,-4.48162365,1
207,1601,8.331437111,-4.128708839,1
207,1633,7.47867012,-4.48606205,1
207,1665,6.676275253,-4.47954607,1
207,1697,5.481638908,-5.442770481,1
207,1729,4.456116199,-6.476139069,1
207,1761,3.835644722,-7.822486877,1
207,1793,6.083086967,-5.619714737,1
207,1825,6.388634682,-4.080599308,1
207,1857,6.007357121,-3.362033129,1
207,1889,5.654760361,-2.230464935,1
207,1921,0.01588773727,0.4577877522,1
207,1953,0.1157333851,-0.2973918915,1
207,1985,0.2178884745,-0.4591062069,1
207,2017,-15.46064377,-3.040834427,1
239,33,2.679720402,0.2152007818,1
239,65,3.641988754,1.035606861,1
239,97,3.660263777,0.7952088714,1
239,129,3.80611372,0.1787654757,1
239,161,3.930960655,0.2385053039,1
239,193,3.374310732,1.3268888,1
239,225,3.400056839,2.534397364,1
239,257,2.798713923,0.3196317852,1
239,289,2.372007132,-0.8758259416,1
239,321,3.653087139,-1.599488497,1
239,353,4.080487728,-2.337237358,1
239,385,3.52586174,-2.197202206,1
239,417,2.224129677,-3.40238595,1
239,449,3.458990097,-2.04299736,1
239,481,5.934267044,-0.8744802475,1
239,513,9.13854599,-0.4842048883,1
239,545,8.101840019,-2.89076829,1
239,577,7.471056461,-2.488660574,1
239,609,7.913704872,-2.39325881,1
239,641,8.890695572,-2.85032177,1
239,673,10.6840601,-2.56905818,1
239,705,10.7898283,-2.832937717,1
239,737,10.34816265,-2.079537868,1
239,769,11.70911694,-0.9460191727,1
239,801,13.3907547,-0.8962741494,1
239,833,14.38257313,-0.4126852155,1
239,865,15.76816177,0.532199502,1
239,897,17.75715256,2.574656487,1
239,929,20.164114,2.29002142,1
239,961,21.24860573,1.598675251,1
239,993,19.86712456,-0.09205848724,1
239,1025,18.26979828,-1.253653646,1
239,1057,18.26823997,-1.808223486,1
239,1089,18.20978165,-2.595207691,1
239,1121,18.7002449,-3.020830393,1
239,1153,19.31541634,-3.024509192,1
239,1185,18.94909859,-4.532761574,1
239,1217,17.63486671,-8.080267906,1
239,1249,17.5484066,-8.166568756,1
239,1281,16.79591179,-6.78545475,1
239,1313,13.87852287,-6.661764145,1
239,1345,13.22490883,-6.704760075,1
239,1377,12.156106,-4.527793407,1
239,1409,11.17903233,-2.930776596,1
239,1441,11.37593555,-4.17278862,1
239,1473,11.30369186,-4.338097572,1
239,1505,11.25217247,-5.252120018,1
239,1537,10.90348244,-4.861715317,1
239,1569,10.20865536,-5.010024071,1
239,1601,10.00272846,-4.540120125,1
239,1633,9.774128914,-3.329416752,1
239,1665,8.613021851,-3.02999115,1
239,1697,5.469102859,-4.635387421,1
239,1729,4.708920002,-5.860559464,1
239,1761,6.045342445,-6.246159554,1
239,1793,6.375673771,-5.193058968,1
239,1825,6.517110348,-3.643456936,1
239,1857,5.695216656,-2.783051491,1
239,1889,4.344870567,-2.265636683,1
239,1921,2.910801172,-4.231996536,1
239,1953,0.4744753838,-0.6685388088,1
239,1985,0.7065060139,-0.3064491749,1
239,2017,17.6606884,-2.491940737,1
271,33,3.10727191,0.2345658839,1
271,65,3.515683174,1.034269929,1
271,97,3.361809254,0.6698156595,1
271,129,3.608148098,0.4278153181,1
271,161,3.044403791,0.2942216992,1
271,193,3.845854282,1.291204453,1
271,225,3.741159916,1.804193258,1
271,257,3.008942127,0.3456909955,1
271,289,2.602657795,-1.278593302,1
271,321,3.382211924,-2.392295599,1
271,353,3.665069342,-1.70335114,1
271,385,3.595882177,-1.381734729,1
271,417,2.974189758,-2.135445356,1
271,449,3.741039753,-2.061830997,1
271,481,5.023711205,-1.158823252,1
271,513,5.632897854,-0.4635056257,1
271,545,6.124518871,-1.84001267,1
271,577,8.078155518,-1.894740105,1
271,609,9.901609421,-0.9908223152,1
271,641,9.503362656,-1.615623355,1
271,673,9.236114502,15.63981533,1
271,705,10.27050114,-0.6246097088,1
271,737,10.20936203,-0.3570023775,1
271,769,11.1372757,0.01388549805,1
271,801,13.04267025,-0.273434639,1
271,833,15.20205688,1.363441706,1
271,865,17.57165527,2.851710081,1
271,897,19.26204491,2.99533534,1
271,929,20.40851974,2.847651482,1
271,961,21.20459557,2.278635263,1
271,993,21.25183487,0.2439295352,1
271,1025,20.88650703,-1.767572641,1
271,1057,20.3055687,-1.926089048,1
271,1089,19.63959122,-1.531083584,1
271,1121,20.22307014,-0.1539859772,1
271,1153,19.22698593,-2.129473925,1
271,1185,19.11327744,-4.835322857,1
271,1217,20.29350281,-6.984816551,1
271,1249,19.84522057,-7.980639935,1
271,1281,18.09591675,-6.721402168,1
271,1313,15.24511337,-6.516871452,1
271,1345,14.4059906,-5.835317135,1
271,1377,14.12400436,-4.430290222,1
271,1409,12.95490742,-3.523561478,1
271,1441,11.50567913,-5.048503876,1
271,1473,11.72766399,-5.447403431,1
271,1505,11.75422668,-5.859752655,1
271,1537,11.23635578,-5.491236687,1
271,1569,10.30692768,-5.600760937,1
271,1601,9.69938755,-5.359908581,1
271,1633,10.88509369,-3.642533302,1
271,1665,10.30592155,-2.832669735,1
271,1697,21.97978592,-14.15691185,1
271,1729,7.663927078,-6.728588104,1
271,1761,6.74181366,-5.81116581,1
271,1793,6.232185841,-5.486549377,1
271,1825,5.833574772,-5.051930904,1
271,1857,4.984879017,-4.307692528,1
271,1889,3.717408657,-3.869433403,1
271,1921,3.311806679,-4.288780689,1
271,1953,0.4709527493,-0.7134802341,1
271,1985,0.1239077449,-0.1379852295,1
271,2017,-0.4553437233,-2.600083351,1
303,33,3.200323105,0.3651886582,1
303,65,2.997369766,0.6908535957,1
303,97,3.286090136,1.631448507,1
303,129,4.210718632,0.5778713226,1
303,161,2.98127389,0.153983593,1
303,193,3.70007515,0.3183941245,1
303,225,4.340106487,0.2280283272,1
303,257,3.602121115,0.4996312857,1
303,289,3.495942354,-0.1055322438,1
303,321,2.802802563,-0.5040969253,1
303,353,3.460567474,-0.7137283683,1
303,385,3.689268589,-1.383093596,1
303,417,3.391684294,-1.793226123,1
303,449,3.699367046,-1.823137999,1
303,481,4.094495773,-1.047888041,1
303,513,4.247160912,-0.1647382975,1
303,545,3.619037151,-0.3745390177,1
303,577,6.167380333,-1.302846432,1
303,609,9.447602272,-0.7437372208,1
303,641,9.466386795,-0.7632966042,1
303,673,-8.753882408,-9.078159332,1
303,705,9.341493607,1.810172081,1
303,737,10.09601021,0.443628788,1
303,769,11.15470505,0.9854426384,1
303,801,12.9150238,2.954885244,1
303,833,15.01427174,3.105298281,1
303,865,17.58732414,3.794841766,1
303,897,20.06555176,3.53126359,1
303,929,20.73150253,4.063031197,1
303,961,22.13825417,3.2203722,1
303,993,23.23235893,0.6357885003,1
303,1025,24.11219215,-1.455439925,1
303,1057,22.7475605,-2.070937395,1
303,1089,20.58781242,-2.973935127,1
303,1121,19.68774414,0.8264516592,1
303,1153,19.73736382,-0.2270753384,1
303,1185,20.15563202,-3.736116409,1
303,1217,21.55388451,-6.359841347,1
303,1249,20.80024338,-7.752490997,1
303,1281,19.04932404,-6.787052155,1
303,1313,17.97177315,-5.357174873,1
303,1345,17.02785301,-4.238135338,1
303,1377,15.57767582,-4.342511177,1
303,1409,14.29648781,-5.355531693,1
303,1441,12.2645607,-7.362546444,1
303,1473,11.84966755,-7.465072632,1
303,1505,11.13318825,-6.526542187,1
303,1537,10.44015694,-6.402505875,1
303,1569,10.01273441,-6.469025612,1
303,1601,9.257726669,-5.829276085,1
303,1633,8.873673439,-4.997694492,1
303,1665,7.784611702,-4.801622868,1
303,1697,8.477700233,-4.873328686,1
303,1729,8.098047256,-5.186690807,1
303,1761,7.152818203,-5.499699116,1
303,1793,6.509374619,-5.492209911,1
303,1825,5.368698597,-5.507462502,1
303,1857,4.09081316,-5.306254864,1
303,1889,3.741091251,-4.3694067,1
303,1921,3.173635006,-3.793674469,1
303,1953,0.0219938755,-0.5236430168,1
303,1985,-0.3035043478,-0.1617255211,1
303,2017,-0.1130862236,-2.850935698,1
335,33,1.336940765,0.1194369793,1
335,65,3.469579697,-0.4036698937,1
335,97,3.754374266,0.5309636593,1
335,129,3.711052895,1.365151763,1
335,161,4.069378853,0.7198885679,1
335,193,5.470454216,0.190583095,1
335,225,5.538488388,-0.4191601574,1
335,257,5.496675491,-1.544712305,1
335,289,4.988162518,0.1161322892,1
335,321,3.581825733,0.9346092939,1
335,353,10.20522881,18.19599342,1
335,385,3.102481127,-1.01837492,1
335,417,1.682184219,-1.330290556,1
335,449,3.159684658,-1.054035664,1
335,481,4.093253136,-1.371679783,1
335,513,4.162514687,-0.3686136603,1
335,545,4.055095196,1.23836112,1
335,577,5.118341446,1.001008987,1
335,609,6.445845127,0.3115254641,1
335,641,7.129401684,0.1413744092,1
335,673,7.421357155,0.09561258554,1
335,705,8.510411263,1.802529335,1
335,737,9.89615345,1.171015978,1
335,769,11.41558933,2.043844223,1
335,801,12.59984589,3.756994009,1
335,833,14.31510925,3.796442509,1
335,865,17.28061104,3.083797932,1
335,897,19.28179169,3.706311703,1
335,929,20.71554375,3.598015308,1
335,961,21.93869019,3.094963789,1
335,993,23.83097839,1.550830245,1
335,1025,24.50651169,0.1019318104,1
335,1057,23.61052132,-1.283980131,1
335,1089,11.63175011,10.74163818,1
335,1121,19.23749733,-0.02668279409,1
335,1153,20.55342484,1.082280755,1
335,1185,21.67064667,-1.44499898,1
335,1217,21.8906498,-5.686563969,1
335,1249,21.2980175,-7.303809166,1
335,1281,20.26751709,-6.689269543,1
335,1313,19.52316093,-5.765240669,1
335,1345,19.19251633,-5.422130585,1
335,1377,16.86630058,-5.032507896,1
335,1409,14.48139477,-6.602945328,1
335,1441,13.38045406,-7.855761051,1
335,1473,12.1646719,-8.581982613,1
335,1505,10.44012737,-7.522374153,1
335,1537,8.564655304,-6.790457726,1
335,1569,9.215764999,-6.957336426,1
335,1601,9.242879868,-6.55629015,1
335,1633,8.931564331,-5.704683304,1
335,1665,8.14541626,-5.035806656,1
335,1697,8.072972298,-5.089118958,1
335,1729,7.729454041,-5.511023998,1
335,1761,7.764217377,-6.019751549,1
335,1793,6.786980152,-5.57442379,1
335,1825,5.385725975,-5.016190529,1
335,1857,4.524252892,-5.184746742,1
335,1889,4.071561813,-4.789708614,1
335,1921,2.607556343,-3.666204691,1
335,1953,0.4145903587,-1.266777992,1
335,1985,-0.6001235843,-0.4641063213,1
335,2017,0.1380161047,-2.981498718,1
367,33,1.282963991,0.196274519,1
367,65,2.285048723,-0.02517510951,1
367,97,2.880609989,0.4714058042,1
367,129,3.684619427,1.319541097,1
367,161,4.29467392,0.31072855,1
367,193,5.182365417,0.08231434226,1
367,225,4.454412937,-0.03027179837,1
367,257,3.139620543,0.2537045777,1
367,289,2.206667662,0.9068382978,1
367,321,2.770430565,0.3912124634,1
367,353,4.455817223,0.0317363441,1
367,385,3.478298903,-0.1687157154,1
367,417,2.123851776,-1.435828686,1
367,449,2.953075171,-1.225713611,1
367,481,3.27563715,-1.470628738,1
367,513,3.538339138,-1.792440653,1
367,545,4.831179619,-0.1838488579,1
367,577,5.624477863,0.5774989128,1
367,609,5.73656559,0.4920668304,1
367,641,6.00235939,0.3189924657,1
367,673,7.131898403,0.6766933203,1
367,705,8.455350876,1.656199217,1
367,737,9.756633759,2.450767279,1
367,769,10.84117413,3.184504747,1
367,801,-4.67313385,14.40391445,1
367,833,22.66169739,21.96529579,1
367,865,17.09495544,4.971764565,1
367,897,18.35334396,5.433908463,1
367,929,21.13690948,4.033230782,1
367,961,23.62100029,4.134765625,1
367,993,23.87644005,2.70815587,1
367,1025,24.92464447,0.3149544001,1
367,1057,24.95562172,-1.292772055,1
367,1089,22.59051895,-1.479730844,1
367,1121,21.15158272,-0.6722592115,1
367,1153,20.43207741,0.4964170456,1
367,1185,20.64652824,-0.6994292736,1
367,1217,21.4594841,-4.640576839,1
367,1249,21.16073036,-6.2309165,1
367,1281,20.44665337,-6.706868649,1
367,1313,20.09473991,-7.41034317,1
367,1345,21.74821281,-7.684043884,1
367,1377,18.9405632,-8.397288322,1
367,1409,16.56898308,-8.627929688,1
367,1441,18.71474648,6.52401638,1
367,1473,11.92255306,-8.152117729,1
367,1505,10.20032215,-8.23223114,1
367,1537,9.090512276,-6.888934612,1
367,1569,9.115882874,-6.754248619,1
367,1601,9.874503136,-6.696392059,1
367,1633,-10.21357059,-5.72145462,1
367,1665,-4.93997097,-20.33862305,1
367,1697,9.161346436,-6.314987183,1
367,1729,7.144473076,-7.23366785,1
367,1761,7.723932743,-7.081758499,1
367,1793,7.011425495,-6.533401966,1
367,1825,5.982034683,-5.037840366,1
367,1857,5.586885929,-4.149009228,1
367,1889,3.077795267,-4.783828735,1
367,1921,0.5901222229,-2.934551477,1
367,1953,-1.41201663,-1.553571701,1
367,1985,-1.085106611,-0.8102886677,1
367,2017,-0.2286069989,-3.243319035,1
399,33,0.3900108337,0.2516051531,1
399,65,3.418078899,2.104779005,1
399,97,1.841265678,1.318024039,1
399,129,2.162044525,0.6581496596,1
