PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 24, filenames: A:[24]MAX_1202204_TgUtrmcherry_K4K8MO010.avi & B:[25]MAX_1202204_TgUtrmcherry_K4K8MO010.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
271,673,-3.630397797,-1.066402316,1
271,705,-3.304583073,-1.774650574,1
271,737,-12.55757427,-1.34505403,1
271,769,-1.959990025,-0.4998079538,1
271,801,-0.2194923759,-0.9898952246,1
271,833,1.032717347,-1.322254658,1
271,865,2.171862125,-2.455991745,1
271,897,1.828172207,-2.59582448,1
271,929,-0.3691245914,-2.993542671,1
271,961,-0.4623894691,-3.057360888,1
271,993,0.06922949851,-3.326458216,1
271,1025,-0.1930175126,-4.077658653,1
271,1057,0.03158386797,-4.857976913,1
271,1089,0.6962915063,-2.301332951,1
271,1121,-0.2666767836,-0.852331996,1
271,1153,-0.6669569016,-0.5193760395,1
271,1185,-0.4564089775,-0.5419274569,1
271,1217,-0.3103194833,-0.8296246529,1
271,1249,-0.2442468405,-1.075069427,1
271,1281,-0.3432849944,0.5496366024,1
271,1313,-0.6350778341,0.9945625067,1
271,1345,-0.5559942126,-0.09959477186,1
271,1377,-0.7042173743,-0.4595618248,1
271,1409,-0.9520123005,-0.6108648777,1
271,1441,-0.3717374802,-0.4916519523,1
271,1473,-0.3249825239,-0.6481381655,1
271,1505,-2.398341179,-2.256857872,1
271,1537,-4.59224844,-2.942425251,1
271,1569,-3.363988876,-2.206456184,1
271,1601,-1.714926243,-2.249728203,1
271,1633,-0.6422432065,-1.022206545,1
271,1665,0.06911098957,-1.035846949,1
271,1697,-0.1005561352,-1.458060026,1
271,1729,-1.081952214,-1.783444166,1
271,1761,-2.595220327,-0.7549601793,1
271,1793,-2.640366077,1.026398182,1
271,1825,-1.778962374,2.1337924,1
271,1857,-1.047751665,1.718257427,1
271,1889,-0.086330235,0.9233192205,1
271,1921,0.1712526083,0.3920880258,1
271,1953,0.02238422632,-0.1017560512,1
271,1985,-0.3017638922,-0.2625375688,1
271,2017,-0.1989111304,-0.2165760994,1
303,33,0.01582019031,0.1434104443,1
303,65,0.8930978775,1.72479248,1
303,97,1.103176475,0.936060667,1
303,129,0.3361814022,0.5655708313,1
303,161,1.391488075,1.078291655,1
303,193,1.195863008,1.40637815,1
303,225,0.3458525538,0.09953401983,1
303,257,-0.09327250719,-0.3160302639,1
303,289,-0.01431974769,0.05808508396,1
303,321,-0.06987195462,-0.648199439,1
303,353,-0.8726278543,-2.022727966,1
303,385,-0.844486475,-1.029464245,1
303,417,-0.7153326273,0.04622703791,1
303,449,0.03519755602,0.3283051252,1
303,481,-0.647269845,-0.2210751772,1
303,513,-1.611862779,-1.220853925,1
303,545,-2.17997694,-2.510747433,1
303,577,-2.234136105,-3.055610657,1
303,609,-2.71130538,-2.111546993,1
303,641,-2.656286955,-1.298335552,1
303,673,-2.466793776,-1.695952535,1
303,705,-3.571291447,-2.166489124,1
303,737,-4.137436867,-1.896818399,1
303,769,-2.523422241,-1.307178974,1
303,801,-0.3334963322,-0.8126080036,1
303,833,0.3002721071,-1.071903586,1
303,865,-0.4195953012,-0.1056096554,1
303,897,0.3708039224,-1.711580396,1
303,929,0.000690728426,-2.440056801,1
303,961,-0.09075826406,-2.583948135,1
303,993,-0.006841551512,-2.982417345,1
303,1025,-0.5972351432,-3.385053635,1
303,1057,0.3670573831,-3.511194944,1
303,1089,1.305497885,-2.265527487,1
303,1121,0.298499465,-0.8985760212,1
303,1153,-1.08961165,-0.1299276948,1
303,1185,-0.8766303062,0.3382661939,1
303,1217,-0.6168059707,-0.6380124092,1
303,1249,-0.689607501,-0.4847391844,1
303,1281,0.2773638964,1.716592789,1
303,1313,0.3532530665,2.431395531,1
303,1345,-1.100958824,0.2190245688,1
303,1377,-1.024463892,0.05164096504,1
303,1409,-0.5105717182,-0.6821564436,1
303,1441,-0.92745924,-0.4677044153,1
303,1473,-1.223798156,-0.2354633212,1
303,1505,-1.821941018,-0.9727187753,1
303,1537,-2.311976433,-2.993834734,1
303,1569,-2.446341038,-3.220987797,1
303,1601,-2.702698231,-2.383468151,1
303,1633,-1.254371643,-1.475981474,1
303,1665,-1.113082647,-1.501920462,1
303,1697,-1.451061249,-1.709790468,1
303,1729,-1.749152064,-1.949402809,1
303,1761,-2.624549866,-1.389074326,1
303,1793,-2.812966824,-0.07514113188,1
303,1825,-3.714692831,1.646242976,1
303,1857,-3.291027546,1.792508841,1
303,1889,-1.130016685,1.154358625,1
303,1921,-0.3840121031,0.6829280853,1
303,1953,-0.07645100355,-0.3475722969,1
303,1985,-0.102756843,-0.2228455842,1
303,2017,-0.006222389638,-0.239947319,1
335,33,0.4174104035,0.03866648674,1
335,65,1.468103766,0.6466540694,1
335,97,1.141379595,0.7343614101,1
335,129,0.5976445675,0.538708806,1
335,161,1.538221598,1.291905403,1
335,193,2.142763138,1.373655677,1
335,225,0.8728070259,0.2640426457,1
335,257,0.3481608629,-0.4666345417,1
335,289,0.3218709528,-0.1439962387,1
335,321,-0.1544195712,-0.9933599234,1
335,353,-1.384553552,-1.881792188,1
335,385,-1.027533412,-0.5719432831,1
335,417,-0.9196038246,0.6624242663,1
335,449,-0.9480031729,-1.109169245,1
335,481,-0.2432719469,-1.587356806,1
335,513,-2.510991812,-2.521843433,1
335,545,-3.313234806,-4.154717445,1
335,577,3.518603325,-20.92736626,1
335,609,-2.87091732,-3.04238081,1
335,641,-2.33018589,-1.46811986,1
335,673,-2.346131802,-1.638507247,1
335,705,-3.827183962,-2.23669672,1
335,737,-4.089793682,-2.220094919,1
335,769,-2.765775919,-1.716108322,1
335,801,-1.514540315,-1.160967231,1
335,833,-0.2623450756,-1.452372074,1
335,865,-1.188036799,-0.320294857,1
335,897,-0.819578886,-1.710627317,1
335,929,0.4680302143,-2.181278467,1
335,961,-0.3652897179,-0.7098560333,1
335,993,-1.141957402,-2.181498766,1
335,1025,-0.3233627677,-2.220942974,1
335,1057,0.6789206266,-2.41101265,1
335,1089,1.52216053,-1.377602339,1
335,1121,-0.1140421629,-0.7231738567,1
335,1153,-1.274349689,-0.7228585482,1
335,1185,-1.362259746,-0.02836576104,1
335,1217,-1.487184525,-0.1197016835,1
335,1249,-1.575935602,1.068379402,1
335,1281,-0.5085530281,3.355781555,1
335,1313,-0.2573292851,0.9576557875,1
335,1345,-1.583585024,0.2783073485,1
335,1377,-1.179302692,0.1343461871,1
335,1409,-0.6372652054,-0.5764860511,1
335,1441,-0.586948216,-0.8420597315,1
335,1473,-0.9494720101,-0.4186997414,1
335,1505,-1.077738285,-0.7518894672,1
335,1537,-0.5734145641,-1.32947576,1
335,1569,-0.4531955719,-1.831594944,1
335,1601,-1.901086569,-2.142861366,1
335,1633,-1.159716368,-1.808852077,1
335,1665,-1.345049739,-2.597632408,1
335,1697,-1.579249382,-2.291656733,1
335,1729,-1.55708456,-1.997514963,1
335,1761,-2.881346703,-2.218203545,1
335,1793,-3.370524168,-0.5690050125,1
335,1825,-3.308047771,0.6104494333,1
335,1857,-2.824036598,1.54959321,1
335,1889,-1.089648724,1.205487728,1
335,1921,-0.1803514361,1.014808893,1
335,1953,0.5975576043,0.31039083,1
335,1985,-0.1959702373,0.176246956,1
335,2017,-0.1393007636,-0.1006562114,1
367,33,0.3571042717,0.3286578059,1
367,65,1.908174515,0.6750833988,1
367,97,2.13999939,1.061922193,1
367,129,2.170762062,0.8483231068,1
367,161,2.819241762,0.3109727502,1
367,193,2.42860508,0.1761387289,1
367,225,1.220070958,-0.4849569798,1
367,257,0.7962036133,-0.6790626049,1
367,289,0.9343565106,-0.06855124235,1
367,321,1.20530951,-0.1258147359,1
367,353,0.1403518319,-0.3738526702,1
367,385,-1.105629683,0.3668348193,1
367,417,-2.757778645,0.2550860047,1
367,449,-2.313340902,-2.206641197,1
367,481,-2.38630414,-3.473199368,1
