PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 47, filenames: A:[47]AVI_Pos011_TimeSrs0011_TgUtrmcherry_K4K8MO.avi & B:[48]AVI_Pos011_TimeSrs0011_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
175,417,-1.985407352,1.382465005,1
175,449,-2.608028412,2.321362019,1
175,481,-2.653778553,1.841341496,1
175,513,-2.458488941,1.160191774,1
175,545,-1.688820481,-0.1608065367,1
175,577,-1.409395337,0.3768007159,1
175,609,-1.820559025,0.8348634243,1
175,641,-1.842575073,1.362692118,1
175,673,-3.162195206,2.634328842,1
175,705,-2.823499441,3.046816111,1
175,737,-1.329792738,2.135486603,1
175,769,-0.3997012377,0.9863700271,1
175,801,0.38920784,0.2117317915,1
175,833,2.831248999,-0.6287456155,1
175,865,2.531990051,-1.49111855,1
175,897,3.616060257,-0.2587747872,1
175,929,NaN,NaN,2
175,961,-2.483161449,0.2208731771,1
175,993,-1.414330721,0.1183962524,1
175,1025,-0.849830687,0.2778497934,1
175,1057,-1.03327775,1.416223407,1
175,1089,-1.249273062,1.61914742,1
175,1121,-1.065753698,1.181196809,1
175,1153,-0.2601718903,0.5807415843,1
175,1185,0.2706907988,1.00786078,1
175,1217,0.1946472526,0.7987174988,1
175,1249,-0.7741998434,0.3236382902,1
175,1281,-1.843190312,1.48170197,1
175,1313,-0.7370423675,0.8317536116,1
175,1345,-0.7188729048,1.126942873,1
175,1377,-0.5213481784,1.384068131,1
175,1409,0.5747586489,1.011853456,1
175,1441,-0.2703864574,-0.2489220053,1
175,1473,-0.2064040303,-0.6663953662,1
175,1505,-0.2028587759,-0.2659386694,1
175,1537,-0.4476999044,0.2119291723,1
175,1569,-0.01441599429,0.4215402901,1
175,1601,0.0927285254,0.4715360999,1
175,1633,-0.1560512185,0.6960195899,1
175,1665,0.406606704,0.6527270079,1
175,1697,0.431150943,0.8539190888,1
175,1729,0.2425877154,1.135611534,1
175,1761,0.5933303833,0.8425967693,1
175,1793,-0.007834114134,0.3641754985,1
175,1825,-1.247798443,-0.2017738223,1
175,1857,-2.175418377,-0.6562156081,1
175,1889,-1.862275839,0.4706284106,1
175,1921,-2.166539192,1.512929559,1
175,1953,-2.964245558,2.186092377,1
175,1985,-2.061089039,1.651234508,1
175,2017,0.5826948285,-2.431282282,1
207,33,-0.5299465656,0.674890399,1
207,65,-1.220461369,-0.3919534981,1
207,97,-0.5418400764,-0.6034792066,1
207,129,-0.7314090729,-1.024654627,1
207,161,-0.4972541928,-1.518251181,1
207,193,0.06714320183,-0.9151266813,1
207,225,0.157475099,-0.3256098628,1
207,257,0.1948482245,-0.3661645055,1
207,289,-0.4921631813,1.232874036,1
207,321,-2.784231186,1.983069181,1
207,353,-3.589386463,1.46453166,1
207,385,-3.944786549,2.718709469,1
207,417,-3.037183523,1.549875259,1
207,449,-3.048076153,2.074343443,1
207,481,-2.864921093,1.838564515,1
207,513,-2.184152603,1.271009088,1
207,545,-1.500849485,0.7723357081,1
207,577,-1.026280403,0.6340632439,1
207,609,-0.2189629078,0.2272286415,1
207,641,-1.177586198,1.224924088,1
207,673,-3.529422522,1.998993158,1
207,705,-3.212646484,2.063057423,1
207,737,-1.944895267,1.545807362,1
207,769,-1.053563118,1.077423334,1
207,801,0.251866281,0.05096840858,1
207,833,0.5264077187,-0.692237854,1
207,865,0.808065474,-0.6182806492,1
207,897,NaN,NaN,2
207,929,0.9328250289,0.5918775797,1
207,961,-2.402027607,0.6020924449,1
207,993,-0.7811950445,0.5372806787,1
207,1025,-0.4295022488,1.060644746,1
207,1057,-1.052161455,1.460656166,1
207,1089,-1.307082176,1.574683547,1
207,1121,-1.18926692,1.218456984,1
207,1153,-0.658218801,0.4809855223,1
207,1185,-0.8538556099,3.632594347,1
207,1217,-0.3459978998,3.38008213,1
207,1249,-0.46548599,0.8704596162,1
207,1281,NaN,NaN,2
207,1313,NaN,NaN,2
207,1345,-1.276394844,2.350972176,1
207,1377,-0.6688050032,1.809085488,1
207,1409,-0.412414372,0.9824026823,1
207,1441,-0.2272149622,-0.5496259928,1
207,1473,-0.06803932786,-1.47756052,1
207,1505,NaN,NaN,2
207,1537,0.05444985628,0.2973614931,1
207,1569,0.3400268853,0.4743784666,1
207,1601,0.318190515,0.2237437963,1
207,1633,NaN,NaN,2
207,1665,-0.04907217622,0.216278851,1
207,1697,0.03645186126,0.8259973526,1
207,1729,0.02994595468,1.229539275,1
207,1761,0.4815307856,1.097344637,1
207,1793,0.238440305,-0.06030598283,1
207,1825,-0.6900792718,-2.555090427,1
207,1857,-1.663774014,-2.904868126,1
207,1889,-3.202420235,-1.30484581,1
207,1921,-1.929963112,0.6735331416,1
207,1953,-1.573555708,0.8966327906,1
207,1985,-0.5489956141,0.2923517227,1
207,2017,NaN,NaN,2
239,33,-1.781593323,0.3913038969,1
239,65,-1.931509495,-0.4731524587,1
239,97,-1.59560895,-0.4277871847,1
239,129,-0.9401154518,-0.1721747816,1
239,161,-0.6086281538,-0.408152014,1
239,193,-0.3906238079,0.04901811481,1
239,225,-0.3658752441,0.2192385793,1
239,257,-0.07441151142,-0.1928347945,1
239,289,-1.889691234,1.06598711,1
239,321,-3.688578606,2.046849251,1
239,353,-3.976921558,1.652051449,1
239,385,-5.232394218,1.047435045,1
239,417,-4.468565941,1.383123994,1
239,449,-2.790616035,1.507184982,1
239,481,-2.796395302,1.677053571,1
239,513,-2.396263599,1.522689581,1
239,545,-1.773773313,1.55459547,1
239,577,-0.7083445787,0.7872907519,1
239,609,NaN,NaN,2
239,641,-0.9657018185,0.7185871601,1
239,673,-1.691756487,-0.009317755699,1
239,705,-2.024754524,1.051820755,1
239,737,-3.882682085,1.656093478,1
239,769,-3.095567703,3.936167002,1
239,801,-0.09815007448,1.308570743,1
239,833,-0.08018288016,0.7295389771,1
239,865,0.3302504122,1.433030605,1
239,897,0.2981469929,0.9360607862,1
239,929,NaN,NaN,2
239,961,-0.783572793,1.234362602,1
239,993,-0.2333163619,1.356974959,1
239,1025,-0.2688310742,1.664851069,1
239,1057,-0.6756035089,1.469205618,1
239,1089,-1.165094376,1.65425241,1
239,1121,-1.17755115,1.471547365,1
239,1153,-0.9167994857,0.9274013042,1
239,1185,-1.043835402,2.187000275,1
239,1217,-0.5756343007,3.223170757,1
239,1249,-0.5553383827,0.9342002273,1
239,1281,NaN,NaN,2
239,1313,NaN,NaN,2
239,1345,-0.7348433733,1.983868599,1
239,1377,-0.769510448,1.804079533,1
239,1409,-0.6700376868,0.8273686171,1
239,1441,-0.2130343318,-0.1743077189,1
239,1473,-0.1490710378,-1.145460844,1
239,1505,-0.4677224159,-0.7064328194,1
239,1537,-0.204304263,0.3301104903,1
239,1569,0.1768636703,0.3897877634,1
239,1601,-0.2803196311,0.1838036627,1
239,1633,-1.083957434,0.09897193313,1
239,1665,-0.7856785059,0.3748174012,1
239,1697,-0.1831056923,0.4166948497,1
239,1729,0.06986370683,0.0144815892,1
239,1761,0.19241184,-0.1226744652,1
239,1793,0.8890658617,-0.6718103886,1
239,1825,-0.104154706,-3.442303658,1
239,1857,-0.7278616428,-5.344406128,1
239,1889,-1.616939425,-4.070328236,1
239,1921,-3.529268265,-1.150046349,1
239,1953,-1.035236597,-1.716436505,1
239,1985,0.4356331229,-2.534885883,1
239,2017,NaN,NaN,2
271,33,-1.787545681,0.3242242336,1
271,65,-1.878262281,0.06961916387,1
271,97,-1.857135296,0.1200299859,1
271,129,-0.8385306597,0.6523113251,1
271,161,-0.3481316566,0.6513240337,1
271,193,-0.9068748951,0.9408913255,1
271,225,-1.495385885,1.288414359,1
271,257,-1.325369954,1.661582708,1
271,289,-1.062950611,0.9628447294,1
271,321,-2.103890181,0.2467831373,1
271,353,-3.711135864,0.3853496313,1
271,385,NaN,NaN,2
271,417,-2.497160435,1.103459239,1
271,449,-2.423742771,2.045063019,1
271,481,-4.009050369,2.821506977,1
271,513,-2.94046402,2.214115143,1
271,545,-2.167785168,1.019202113,1
271,577,-1.932222843,0.7984740138,1
271,609,-1.435541868,0.5551856756,1
271,641,-1.080819964,-0.7141946554,1
271,673,-0.4636540413,-1.450000048,1
271,705,-0.8016066551,0.1035302877,1
271,737,-1.376668215,1.24216783,1
271,769,-1.866295338,2.929950953,1
271,801,-1.090937614,2.824931383,1
271,833,0.5186701417,1.209371805,1
271,865,0.7451819181,1.088489175,1
271,897,-0.3116102815,0.9877188206,1
271,929,-1.00925386,3.113856316,1
271,961,-0.6532853246,2.319812775,1
271,993,0.1719725728,2.065812826,1
271,1025,0.310333848,1.584737897,1
271,1057,-0.4240444899,1.475537062,1
271,1089,-0.8864020109,1.655953526,1
271,1121,-1.242900252,1.410787106,1
271,1153,-1.107386708,0.8075916767,1
271,1185,-0.7207175493,0.1248288155,1
271,1217,-0.4725851417,0.5445029736,1
271,1249,-0.1285352707,0.736420989,1
271,1281,-0.4337895811,0.5710681677,1
271,1313,-0.5261139274,0.4166523814,1
271,1345,-0.9977317452,1.143210888,1
271,1377,-1.099871993,1.246346235,1
271,1409,-0.6447226405,0.5099556446,1
271,1441,-0.5110049844,-0.08274012804,1
271,1473,-0.2136331201,-0.6558927298,1
271,1505,-0.3725191355,-0.2581708431,1
271,1537,0.2429684848,-0.1554300785,1
271,1569,0.1224005669,0.01532024145,1
271,1601,-0.572724402,0.1061882377,1
271,1633,-1.035910368,0.2139714807,1
271,1665,-1.183784842,0.3901616335,1
271,1697,-0.3990142345,-0.1652652621,1
271,1729,0.00249171257,-1.091510296,1
271,1761,0.1925418675,-1.17673862,1
271,1793,0.5917218924,-1.412652373,1
271,1825,0.3436840475,-2.214998245,1
271,1857,-0.1888668537,-4.231170654,1
271,1889,NaN,NaN,2
271,1921,-2.128038406,-3.693529606,1
271,1953,-0.6895745993,-3.818216324,1
271,1985,0.441121161,-2.963392496,1
271,2017,-1.178221464,-0.08854627609,1
303,33,-2.230560303,0.2760690749,1
