LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_8,8,8,11,1,0,0,0,1,11.0,1.0,12.0,123.47740233930583,1585.5080012193082,1687.727694025394,0.0,32.86627444826241,68.17836709958395,4.258938364253083,29.495457402834685,22.822135256445662,62447.72727272727,332.92168284687716,123.47740233930583,0.3708902384591682,11.225218394482347,0.3415421608601521,1.322286949973676
Track_9,9,9,13,0,0,0,0,0,12.0,0.0,12.0,185.32096497841417,1168.6798233058046,963.9458805282816,0.0,35.84921866584265,104.0981548601917,5.126388654513068,27.044488594799024,32.126504018177776,58163.0,430.1906239901117,224.9170402417028,0.43078801499558933,15.44341374820118,0.4307880149955892,1.3462315623928227
Track_10,10,10,12,1,0,0,0,1,12.0,0.0,12.0,189.59408943668527,1121.7407580783618,779.0964533452089,0.0,32.100059575637054,70.08088797942804,6.488190261067085,26.969200143345372,22.860744203156507,48111.75,361.99020838326675,189.59408943668527,0.523754745421035,15.799507453057105,0.4921955803798084,1.2543108289219675
Track_11,11,11,12,1,0,0,0,1,12.0,0.0,12.0,138.9566128093119,585.138835774449,779.4378200891362,0.0,35.94983707166183,97.62455225752468,2.2141019965783886,14.89331981424,39.861548243814866,58309.666666666664,404.0626921321805,141.06953689262562,0.34389864621269023,11.579717734109325,0.32210765548190107,1.3093915673554988
Track_12,12,12,13,0,0,0,0,0,12.0,0.0,12.0,109.5242642650931,1618.0125524389152,616.4726492642159,0.0,28.146434984570607,57.645687726958954,6.585958522004604,29.917275750639845,17.457827034779204,48166.153846153844,337.7572198148473,109.5242642650931,0.3242692023730312,9.127022022091092,0.3242692023730312,1.7740064734365681
Track_13,13,13,12,0,0,0,0,0,11.0,1.0,12.0,95.79439130235683,436.79197570182697,887.6297966835282,0.0,24.02022590442028,43.146664386909805,9.470053156859409,24.428044033280138,11.444662653724707,40516.916666666664,264.22248494862305,128.10586606659646,0.36255200355482103,8.708581027486984,0.362552003554821,1.6239508793419997
Track_14,14,14,13,0,0,0,0,0,12.0,0.0,12.0,150.41487658906505,914.1473326271213,1035.451161059159,0.0,17.650159492671666,52.35974255485436,2.86184417128525,18.91790120142808,13.556446589758686,41323.692307692305,211.80191391206,150.41487658906505,0.7101676930620995,12.534573049088754,0.7101676930620996,1.4600427464583945
Track_15,15,15,13,0,0,0,0,0,12.0,0.0,12.0,262.06917841667325,1631.7049461707845,1121.5517606035855,0.0,28.774090287182155,117.16865761551972,0.3309992199661828,21.005453950920273,31.729111531029165,102270.76923076923,345.2890834461859,288.7790442923635,0.7589848361293975,21.839098201389437,0.7589848361293975,1.4102294122937262
Track_16,16,16,13,0,0,0,0,0,12.0,0.0,12.0,94.56004994071176,800.3791336898471,958.0294387169039,0.0,13.365550199865648,33.00117367535024,5.106637324569788,11.78951014020078,8.438340267359125,9085.153846153846,160.38660239838777,94.56004994071176,0.5895757409077849,7.880004161725981,0.5895757409077848,1.3089693848959165
Track_17,17,17,9,0,0,0,0,0,8.0,0.0,8.0,108.9033948265693,979.0709502780574,709.0666969226245,0.0,15.39791885180529,25.49823798991236,8.11438557472987,14.533938342603024,6.122403028722583,11090.666666666666,123.18335081444232,108.9033948265693,0.8840756003675879,13.612924353321162,0.8840756003675879,0.4768508739831101
Track_18,18,18,13,0,0,0,0,0,12.0,0.0,12.0,124.54206835466549,886.1584298534435,426.72282679175066,0.0,12.838684505649022,20.2562058109936,5.418013905890953,13.307442565822853,4.550909834078097,17776.69230769231,154.06421406778827,124.54206835466549,0.8083776567338796,10.378505696222124,0.8083776567338796,0.7046204098410824
Track_19,19,19,11,0,0,0,0,0,10.0,0.0,10.0,70.83483195960255,763.4026775208087,711.6863511991849,0.0,25.494722643158216,49.38210458361678,8.207850381138272,26.668809168698022,11.840692676656102,27453.454545454544,254.94722643158224,104.68261064123817,0.27784115540716353,7.083483195960255,0.27784115540716364,1.439246157154318
Track_20,20,20,13,0,0,0,0,0,12.0,0.0,12.0,130.1240017605532,862.2658304555357,772.3822843978088,0.0,24.547003338187885,54.01937209252231,6.674397809938943,23.352115664429153,13.89649378555161,33879.769230769234,294.5640400582546,155.53691323140424,0.44175114428366463,10.843666813379434,0.44175114428366463,0.9973185698491288
Track_21,21,21,12,1,0,0,0,1,12.0,0.0,12.0,108.10755917219761,1248.960209141209,577.0747107772762,0.0,25.807958513741394,50.909261552119176,10.772060166164009,23.940805218906867,11.630067572217778,56930.833333333336,294.65960381731935,108.10755917219761,0.36688965087736036,9.0089632643498,0.3490769430504546,1.3358607279702208
Track_22,22,22,13,0,0,0,0,0,12.0,0.0,12.0,276.17911803814303,329.1000960372594,1342.2369371343784,0.0,31.279757837080055,149.20437766881687,2.2180743672229513,24.811208709176086,39.21382724127596,72825.38461538461,375.3570940449607,306.5895236791128,0.7357770038710444,23.014926503178586,0.7357770038710445,1.4146784285823195
Track_23,23,23,13,0,0,0,0,0,12.0,0.0,12.0,131.80961141879115,622.5711278337271,583.0799368054195,0.0,25.112314869806895,57.96523387139126,2.1510424617151624,24.007364628055374,16.99920531967292,35489.92307692308,301.34777843768273,131.80961141879115,0.43740030904541327,10.984134284899262,0.43740030904541327,1.517681671837915
Track_24,24,24,13,0,0,0,0,0,12.0,0.0,12.0,122.4149108250759,1733.7843941916772,778.9901597780098,0.0,21.217444520686904,80.85374248910823,2.2468274331684674,17.04499681625799,21.08954768451284,67999.53846153847,254.60933424824287,129.70104458574195,0.48079506270466094,10.201242568756326,0.480795062704661,1.522604154454501
Track_25,25,25,13,0,0,0,0,0,12.0,0.0,12.0,186.63287049479075,955.4917507548233,1444.6717084662864,0.0,33.162361957275465,104.1734146175622,4.345019215602275,27.16209225276076,26.861971190650756,88453.46153846153,397.9483434873056,186.63287049479075,0.4689876803086737,15.55273920789923,0.4689876803086737,1.4745622689871742
Track_26,26,26,13,0,0,0,0,0,12.0,0.0,12.0,136.3322956796697,871.0571056231151,585.1704135200209,0.0,13.350539973659542,21.333785848857982,4.7175821533450435,13.916380979356191,4.444667510399592,18028.69230769231,160.2064796839145,136.3322956796697,0.8509786617161286,11.361024639972475,0.8509786617161286,0.39599917183160244
Track_27,27,27,9,0,0,0,0,0,8.0,0.0,8.0,194.82394953762198,628.8700426868677,953.8712634477176,0.0,49.950738013999285,104.39674304829968,4.977453416327073,40.72186527925674,43.50100150448849,50294.555555555555,399.6059041119943,194.82394953762198,0.48754021783176726,24.352993692202748,0.48754021783176726,1.2585529519011935
Track_28,28,28,11,0,0,0,0,0,10.0,2.0,12.0,95.07952024288593,1772.1933529387616,1484.35350790363,0.0,19.582200749966,51.54833736241053,4.7346322351395305,19.863463754205167,13.344789418703813,88193.18181818182,195.82200749965997,95.07952024288593,0.48554052456566216,9.507952024288594,0.48554052456566216,1.6144577961692161
Track_29,29,29,12,0,0,0,0,0,11.0,1.0,12.0,189.42810320581327,199.1182867713932,1144.9153828650733,0.0,28.772593921102146,83.68558337382574,3.1524938691854247,27.675029570450093,22.698188022485013,44586.583333333336,316.49853313212367,191.19250649756972,0.5985117887631274,17.220736655073935,0.5985117887631275,1.4237038281950567
Track_30,30,30,13,0,0,0,0,0,12.0,0.0,12.0,124.80279941650694,1400.2191856880006,778.7145820849545,0.0,23.68328795072238,86.58092966875087,3.93296349001024,19.041408991290773,21.42612196254516,74471.38461538461,284.1994554086686,128.34709355359547,0.4391380667392378,10.400233284708913,0.43913806673923783,1.9248356859005689
Track_31,31,31,13,0,0,0,0,0,12.0,0.0,12.0,204.25712455066486,1169.0205037956432,1508.8904868892266,0.0,27.90145222925815,113.52691901707837,5.439318730963215,20.37174280279161,29.85304384269791,45522.769230769234,334.81742675109786,204.25712455066486,0.6100552367679144,17.02142704588874,0.6100552367679146,1.935182397327017
