LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2728,2728,36,94421.0,829.2620234981877,1751.8958163484988,0.0,12.0,12,173.38804405264096,1,,42.9736713952996,43.0,0.0,43.0,4059293.0,0.9604305706729108,0.31478990201366397,21.42549732522894,0.49820532959599756,4.890539519330183,260.60511912061713,119.52611060726612,1.5574742707264966,2.180319578681034,94447.00000000026,1390.1175589218897,0.6141790149303176,0.9057101347820067,4.523321379716658
ID2281,2281,36,109411.0,824.7732124791263,1760.9594105386332,0.0,3.0,3,186.59925463375356,1,,25.993911803422552,26.0,0.0,39.0,2843526.0,0.40974706041374326,0.16868081910055815,18.31283469385987,-1.2579060964183961,-0.975727235012726,242.89960409124825,145.94311655761578,1.4653011124986146,1.6643443680014587,109387.9999999997,1411.692300320755,0.6897623005746845,0.9319928431456055,4.268302639143933
ID2316,2316,36,70446.0,783.583982290624,1805.3156748327617,0.0,0.0,0,149.73202519343033,1,,22.99782735263629,23.0,0.0,26.0,1619530.0,0.2940445414309558,0.17654063563938835,23.471532031090096,-1.1346898955230607,-1.3688960154936183,176.78265103151637,128.32200556878482,1.4437488419662605,1.3776487536017745,70433.5000000001,1066.714256713558,0.7778447682518018,0.9804354180876697,4.019374422286801
ID2255,2255,36,85190.0,815.5156514729991,1749.8942977770996,0.0,1.0,1,164.67088660146018,1,,18.997159224303893,19.0,0.0,23.0,1618330.0,0.26902391363891004,0.05124522821181321,6.884575486767398,-1.6883749380297752,1.2094009475606458,202.03040276692965,134.55889073492767,1.4280123698511524,1.501427379963443,85189.00000000006,1134.5675878565928,0.8316347712070661,0.9804855871875885,3.887215452047718
ID2579,2579,36,93275.0,841.6676549537667,1736.5994399110718,0.0,11.0,11,172.294113873963,1,,15.000257270573606,15.0,0.0,28.0,1399329.0,0.32219516300176454,-0.01509960301967401,-1.4275223094940772,-2.9093878830284345,2.3326421602360687,222.9746490534064,137.9748235463092,1.4918899129780516,1.616053156093135,93258.99999999997,1316.389981778473,0.6762876884212583,0.935447793007638,4.310614558483015
ID2229,2229,36,115730.0,863.5044674682762,1799.2922512036384,0.0,7.0,7,191.92855632646814,1,,20.993198043249038,21.0,0.0,24.0,2428955.0,0.2483060189231363,0.17483772375318699,25.163938321228848,2.152546221357703,3.9337970420319786,277.9595186700622,146.5737687191023,1.1456124431639707,1.896379693987066,115725.49999999994,1531.5746039114101,0.619958497522767,0.8990518142161829,4.50218797292091
ID2425,2425,36,96739.0,822.6775696748564,1753.0118332695934,0.0,2.0,2,175.48654238608492,1,,21.99768444338774,22.0,0.0,29.0,2127990.0,0.2915284706348148,0.11418269739661643,15.465710544130376,0.6039975708018467,-0.19114282144540595,218.99735792235035,141.93218185742174,1.4361109542836235,1.5429718268006658,96746.99999999994,1195.9469271873356,0.8500090632560436,0.9870632046115384,3.8449717546463256
ID2522,2522,36,90452.0,847.4576069774383,1738.8485642380492,0.0,8.0,8,169.6916828658501,1,,16.997269843375225,17.0,0.0,25.0,1537760.0,0.336470501005,0.08314877555790762,7.755859179582686,-0.47601889920183266,0.59764287119783,250.29161516196746,116.95992923827569,1.5127517629285139,2.1399774845285933,90462.99999999997,1264.0247999809842,0.7114914088514949,0.9751005141582135,4.202619795214645
ID2427,2427,36,88013.0,838.078111832624,1788.4251577007783,0.0,6.0,6,167.37471113669582,1,,19.99398925109932,20.0,0.0,23.0,1759651.0,0.3448133412030015,0.1490936151762185,15.046968892272153,-2.2700501401066107,0.41767466768597644,236.13191899038335,126.92813398094553,1.4092670491050492,1.8603591779410507,88009.50000000013,1286.2124481355609,0.668519378643026,0.9441255980604617,4.335587261297111
ID2587,2587,36,78068.0,807.3812141782204,1712.8318348222385,0.0,9.0,9,157.64783581931886,1,,13.07966290551877,13.0,13.0,36.0,1021247.0,1.3121727749899748,-0.2667628925826533,-7.252980447422697,1.0632320375135935,-2.7091483312944296,206.15741424699328,125.64683692317101,1.7119157985421334,1.6407688350567224,78077.5,1229.4741217766157,0.6490781339407621,0.9214695833308745,4.400038155569075
ID2352,2352,37,52788.0,1189.4130717468975,1797.936206744183,0.0,3.0,3,129.64826203933944,1,,37.98477013127238,38.0,0.0,39.0,2005254.0,0.6570721419219391,0.27867976156178065,25.198232713111267,-2.774952912111794,-0.42607359808900686,176.43802191340697,114.13791430171617,1.6919068638675976,1.5458318385510752,52805.99999999992,1137.8336173730474,0.5125492633018109,0.8021875356044195,4.95150389704065
ID2736,2736,37,56788.0,1210.6541374239396,1885.0918639908652,0.0,10.0,10,134.43881319194512,1,,38.99142107210175,39.0,0.0,39.0,2213426.0,0.4370861738841345,0.17576575353500168,26.671377384893415,3.16222775378798,3.3085939606273183,182.7037217216322,104.43255932889542,1.3718212907953606,1.74949003352712,56780.49999999996,1091.3021347611573,0.5991272418198644,0.8602715028104776,4.579788249518439
ID2257,2257,37,48175.0,1193.0379378340513,1807.1467818656702,0.0,1.0,1,123.83607932109113,1,,19.997841203943953,20.0,0.0,34.0,963396.0,0.31446280821308015,0.04125447214237338,5.039158023128141,-0.5929013445753754,-1.9332217064323238,166.77002551092616,96.79158208521449,1.3904886041737663,1.7229806757792558,48177.5,913.7805220798656,0.725053963731144,0.9636849158882244,4.163128024019132
ID2241,2241,37,107552.0,1126.1353913443616,1793.2917509129588,0.0,7.0,7,185.04343252766267,1,,22.992173921125765,23.0,0.0,32.0,2473705.0,0.4407426721754771,0.09140782972906993,8.73818557857241,-0.4796468994123563,-1.4094680151672148,233.4669462239181,148.0452229698121,1.1210288324136073,1.5769974980653332,107571.50000000001,1340.9058680322619,0.7518141682764737,0.948543740686201,4.088365163398974
ID2627,2627,37,68525.0,1199.497881118847,1855.7630112925906,0.0,9.0,9,147.67440066693229,1,,21.992131961170717,22.0,0.0,35.0,1506571.0,0.32739472321015817,0.1306822147528614,15.527501442454467,4.154348469365378,14.65935187719274,222.86293306266109,113.12826682255987,1.3477271378350228,1.9700021870945705,68510.99999999991,1273.4034800524764,0.5309310270945654,0.7983011151116848,4.865033992719265
ID2677,2677,37,53909.0,1191.5273408031264,1802.3687035456783,0.0,12.0,12,130.99165135467,1,,29.997030823760834,30.0,0.0,42.0,1616450.0,0.33583457142808154,0.11909282862972981,19.010886178858087,-4.992517879397269,6.850877913445843,201.21659719049208,99.94573281116975,1.3347590940139826,2.0132585107025647,53906.00000000001,1045.7657119200735,0.6194099456960267,0.939980470112297,4.50418110921597
ID2535,2535,37,51932.0,1184.3176228982159,1806.623479014247,0.0,8.0,8,128.58077417866994,1,,29.986982977740123,30.0,0.0,30.0,1557284.0,0.505333485970766,0.3589846190369821,31.350609671347787,3.327973697817518,30.736376105322883,197.36164918400573,101.60110091769887,1.3534098608575287,1.9425148684547906,51940.00000000008,1078.7159199211674,0.5609157476253421,0.837606837606839,4.7332137289901155
ID2426,2426,37,53369.0,1190.7151789645256,1805.1952123125345,0.0,2.0,2,130.3467208635841,1,,22.99956902205483,23.0,0.0,30.0,1227418.0,0.32523649032797664,0.1344116888132728,16.757791123426458,0.1214005924071476,-3.717954955020733,169.29232137667674,106.54322038329275,1.6176072731452242,1.5889544240134852,53376.50000000003,964.6789312683774,0.7207661291827177,0.9569368125711526,4.17549287687263
ID2443,2443,37,41495.0,1181.9210659500886,1824.1541707335687,0.0,4.0,4,114.92515504608694,1,,23.994599286334264,24.0,0.0,37.0,995200.0,0.3743039427984655,0.1964224329563685,21.048717236236158,-6.778635358434005,-8.459367477585591,185.9411412148154,89.13642458311176,1.3594423325775653,2.086028714798201,41493.50000000001,1073.9899854467926,0.4520531188112096,0.8122999520374306,5.272422407267555
ID2635,2635,37,60610.0,1196.5006600224408,1784.7883308032474,0.0,11.0,11,138.89151285187472,1,,29.0010067667932,29.0,0.0,39.0,1757171.0,0.45491839193770456,0.083460046346985,9.821442889646024,2.4449356185485502,1.4877317256880453,181.1961391867861,127.81564378783523,1.5324938759050666,1.4176366352115604,60604.0000000001,1187.4373199360352,0.5401193857382964,0.7980038054105314,4.823475194904487
ID2444,2444,37,44154.0,1188.9504530011325,1801.4934050585125,0.0,6.0,6,118.54695894460717,1,,25.989963524320896,26.0,0.0,27.0,1147171.0,0.4104682200969769,0.33899595216521106,32.06058007802007,-3.4476482170296574,2.4216700662733612,176.00611447952673,90.87088271474768,1.3292034040218996,1.9368813113880121,44150.000000000065,1007.9394419190904,0.5460993906044475,0.8915589660743147,4.796993014754672
ID2302,2302,37,48463.0,1171.868992120137,1800.325264381094,0.0,5.0,5,124.22168354364634,1,,30.99178771871905,31.0,0.0,33.0,1501986.0,0.4762205716812737,0.16751367331476544,18.674834379580794,-8.380071976661801,5.4835821356731635,187.73155931838622,100.6815246129566,1.540983952370931,1.864607831874521,48478.00000000003,1100.346543439304,0.5031478153347178,0.8349350694085637,4.997549867234808
ID2240,2240,38,51845.0,1517.9672675857191,1275.5195732510683,0.0,5.0,5,128.48790700654396,1,,22.998901098901097,23.0,15.0,43.0,1192953.0,0.32202849763129365,-0.08078666316831738,-12.55353763264213,-10.809208088796701,-0.18572391348509149,241.5637617213606,76.33614812357078,0.38225443574525597,3.164474074986389,51864.999999999956,1234.5457335352653,0.4276316889280516,0.8795299225016528,5.420882474476346
ID2244,2244,38,51985.0,1631.9508830659124,1345.1236196082957,0.0,1.0,1,128.6278012875174,1,,16.007812199345775,16.0,0.0,42.0,831926.0,0.7206424395897391,-0.06801319775089283,-3.242093783982201,0.6606408515930815,0.31265110546889185,170.7894435446363,98.36483089315479,0.25551016784043606,1.7362856418687906,51977.999999999985,916.9288334572658,0.7768875639802449,0.9670775384901618,4.021849798511544
ID2539,2539,38,52445.0,1427.2308295999746,1235.054478441839,0.0,8.0,8,129.21665945136755,1,,31.993745828963675,32.0,20.0,35.0,1677912.0,0.2966118333170194,0.055047099906380285,11.255614448619255,-0.84012432479387,-1.110093032835852,251.55722038284742,70.32897213960274,0.36279373177405105,3.57686473624991,52454.99999999985,1263.343636286692,0.4130035277213318,0.887083136034632,5.516048186515422
ID2700,2700,38,52302.0,1418.7926470916316,1216.4329598077554,0.0,12.0,12,129.01882166195085,1,,34.98946180621964,35.0,0.0,36.0,1829459.0,0.4209124878976738,0.11099285854058819,16.609601631824408,-5.784208539302793,-0.039284013559704824,245.64028042474388,74.76617372392047,0.2969825896838041,3.2854467226287176,52294.50000000012,1269.5673866944444,0.40771281669065057,0.9018936584861103,5.551722500316325
ID2446,2446,38,51995.0,1726.1785613549239,1398.6894527994668,0.0,0.0,0,128.65254549283026,1,,38.98392307692308,39.0,0.0,40.0,2027164.0,0.6440702081698296,0.27455937582007667,26.077054388903576,-1.3889239910340747,-0.8533421510060977,167.6180641294449,100.54639731906138,0.18604958908371486,1.667071805641595,51998.000000000044,922.493316373197,0.7678387880406659,0.9653661570451242,4.04547860282475
ID2320,2320,38,59765.0,1587.117346341137,1311.0442443815994,0.0,3.0,3,137.9198335572414,1,,32.99651952745892,33.0,0.0,40.0,1971938.0,0.3666835886213762,0.028279830376313774,4.949623198825197,5.677717882369711,6.358312214010688,207.93371028658976,100.16158165552338,0.5104507438456881,2.0759826956578746,59759.00000000007,1089.6812770365384,0.6324325406822726,0.9440078352697729,4.4575664720177794
ID2608,2608,38,47040.0,1427.5929948353914,1229.6811438651675,0.0,9.0,9,122.37973057182936,1,,16.998618608407362,17.0,0.0,38.0,799853.0,0.2531299492468905,-0.05791597839259206,-8.2567446364784,-1.0716208076672848,0.6548014334161796,226.63958271959652,69.72834296491583,0.2876267953803635,3.2503222231113593,47051.00000000003,1127.2997296499063,0.4652644996224913,0.9295585431628034,5.197027007927427
ID2452,2452,38,50014.0,1481.7881562637451,1266.1739340504087,0.0,6.0,6,126.1793322503367,1,,27.98954313705888,28.0,0.0,31.0,1399897.0,0.5127933241142801,0.07408158342894047,7.52933168206756,-3.389436607016375,0.9714757563477722,204.95497139590358,83.48298997289132,0.37174928182024214,2.4550506811322497,50018.00000000006,1044.024397342859,0.5766534451258732,0.9610991016957307,4.668178848671891
ID2485,2485,38,40150.0,1555.965323688459,1301.6927978850997,0.0,4.0,4,113.06266348444979,1,,33.92026189349996,34.0,13.0,34.0,1362543.0,1.214370720532037,0.1119942709652552,5.6264072261451235,-1.1462899231468946,0.41799915943012667,186.30459051225213,75.25686549178053,0.33589295749188164,2.4755826500985494,40159.49999999997,967.3895489521966,0.5392564875273596,0.9127781439643605,4.82733282527753
ID2645,2645,38,54594.0,1430.733599887638,1225.756111971128,0.0,11.0,11,131.81465886723416,1,,31.999157385697536,32.0,30.0,35.0,1746898.0,0.06979891142004935,0.004116621150875456,3.7590372880258665,0.996782444382747,-0.4498603961382364,249.71338672979428,75.82597985856033,0.3130192895413446,3.2932431232090833,54585.500000000015,1252.8104053526906,0.43703523576686054,0.9123738049074015,5.362245648051583
ID2428,2428,38,52059.0,1603.937142829701,1330.5222730197759,0.0,2.0,2,128.72736775798248,1,,24.00791257754134,24.0,0.0,42.0,1250068.0,0.39331482429602704,0.0328691830162745,3.884970011249046,0.020254681856737927,-1.5844637377826039,203.4347584408398,84.9753467674052,0.4957858586536872,2.3940444632451117,52058.500000000015,1045.70857759801,0.5982465096881884,0.9415791710753593,4.583158167395625
ID2268,2268,38,61100.0,1445.705598426636,1243.4947463605045,0.0,7.0,7,139.4592886858837,1,,34.96030044674271,35.0,18.0,43.0,2136389.0,0.7205373459854001,0.04612283816314954,4.278406020546665,11.12776113344614,8.829767524467163,254.01189883550506,87.15581378964798,0.43389520592658437,2.914457312607591,61100.49999999985,1300.1094749081433,0.45424983845224665,0.882012010278024,5.2596584288269375
ID2685,2685,38,67463.0,1437.9855361386556,1227.5634730065563,0.0,10.0,10,146.54491833960597,1,,21.001200426818425,21.0,0.0,30.0,1417077.0,0.1730618183387061,-0.01332555857147263,-3.277814687350933,-1.9075658443547425,0.279482174903687,249.02647765280574,89.61471610530467,0.3381238928813757,2.778856960950243,67466.99999999991,1297.759158318854,0.5033998228849237,0.9128140601534266,4.9962987961167515
ID2211,2211,39,78164.0,1226.425877818799,1289.764219032933,0.0,5.0,5,157.71445270172,1,,15.002469641326185,15.0,0.0,32.0,1172428.0,0.37083016945409814,-0.16872432667359752,-16.422918020122705,0.337451855270952,-0.725217257616056,186.21337574813774,134.16580433434726,0.46841989190352307,1.3879347026764404,78143.50000000009,1081.5297358823627,0.839509845995693,0.977973430450482,3.868940359169319
ID2664,2664,39,63732.0,1180.7862712489311,1266.914673496657,0.0,12.0,12,142.4380380394421,1,,26.996030064805662,27.0,0.0,35.0,1720430.0,0.38638150406585814,0.0959124418052562,12.229611481501314,5.711203093380183,3.4889450005559928,187.2726554991125,110.39021797912397,0.7135605836193488,1.696460600653292,63738.500000000044,1051.4143971125993,0.7245424972593155,0.9795374212386668,4.164597175080523
ID2638,2638,39,62303.0,1170.5887462043688,1259.9512192838129,0.0,11.0,11,140.81871372276728,1,,29.999068961088994,30.0,0.0,39.0,1868822.0,0.5006448366100762,0.02001900605970199,2.3520268626234757,2.9009542229244465,2.984184352562933,194.3367090776887,104.96791207748592,0.710736031853873,1.851391584641904,62297.499999999956,1019.696392807502,0.7529024611846715,0.9796744771190431,4.085409303878624
ID2287,2287,39,82489.0,1364.5216437619854,1399.2935345550509,0.0,0.0,0,162.03098548578893,1,,18.996217494089834,19.0,0.0,39.0,1566903.0,0.5107688086928549,-0.064148406662679,-5.098608321056538,0.9864144007938536,-1.602185436518681,208.3048254004562,131.82620383496456,2.777363210375241,1.5801473405184034,82479.49999999996,1192.4826187837507,0.728872841498313,0.9398569922798614,4.152207493291765
ID2256,2256,39,61408.0,1192.7430069692748,1278.666589290611,0.0,7.0,7,139.7875761575172,1,,29.99429921003339,30.0,0.0,35.0,1841500.0,0.4511517282861539,0.13935565499245822,16.263401151917993,6.022632855515585,4.0306194961278,191.61056801749191,106.54030827191026,0.7258245791434054,1.798479571961317,61388.50000000013,1000.8613050716864,0.7701034830896557,0.9753185472339637,4.039525817810617
ID2577,2577,39,70432.0,1168.7395309882747,1271.051450756608,0.0,9.0,9,149.74531125248402,1,,10.007807287748236,10.0,0.0,35.0,705020.0,0.422510998322485,-0.24487291655106755,-15.362136439967024,1.555980940676091,0.10631564186656278,195.6812830606635,116.28930443934192,0.612391962955661,1.682710925171399,70446.0,1066.439347965605,0.778383965659011,0.9822775631997994,4.017982042811205
ID2355,2355,39,74972.0,1253.5050825949459,1293.6954209975397,0.0,4.0,4,154.50401535044406,1,,13.000026667733376,13.0,0.0,34.0,974963.0,0.38682637768133404,-0.16313679274668658,-13.102543290951678,-0.965594477902446,-0.2635116139379427,181.59584217837184,134.1229329462185,0.3812269029664736,1.3539507240807904,74994.4999999999,1074.1323163928405,0.8168150140610626,0.9794560355242091,3.9223204839454144
ID2679,2679,39,63685.0,1180.8299108101455,1272.7283244562457,0.0,10.0,10,142.33576263869784,1,,18.99772163036988,19.0,0.0,26.0,1209053.0,0.26462856599487167,0.04175881178597907,5.75540304251421,2.9477305721232345,1.2098883985022677,187.99790322461465,111.38090777963369,0.6798563417549159,1.687882662947649,63647.000000000015,1017.1963190155593,0.7729977721266375,0.9804516606075544,4.031956248890545
ID2362,2362,39,81493.0,1201.4756817275543,1287.0620195699519,0.0,6.0,6,161.06846835645516,1,,10.003521861309839,10.0,0.0,31.0,815197.0,0.28874220455649535,-0.22547167456158768,-20.170995778145766,-0.3043320762751458,-0.4087009973592817,190.77100933912027,136.41997890005578,0.6210867029538687,1.3984096088952134,81502.5,1113.0873134032981,0.8266512538319449,0.9837475407065865,3.8989150030998574
