 ,Area,Mean,Min,Max,Angle,Slice,Length
154,7.912E-7,173.740,96,358,-88.764,154,0.004
155,7.912E-7,174.235,98,339,-88.764,155,0.004
156,7.912E-7,173.651,96,364,-88.764,156,0.004
157,7.912E-7,174.055,94,347,-88.764,157,0.004
158,7.912E-7,174.073,96,348,-88.764,158,0.004
159,7.912E-7,174.282,94,353,-88.764,159,0.004
160,7.912E-7,173.789,96,348,-88.764,160,0.004
161,7.912E-7,174.483,95,354,-88.764,161,0.004
162,7.912E-7,174.333,93,360,-88.764,162,0.004
163,7.912E-7,173.901,94,346,-88.764,163,0.004
164,7.912E-7,173.901,96,376,-88.764,164,0.004
165,7.912E-7,174.393,96,368,-88.764,165,0.004
166,7.912E-7,173.797,94,351,-88.764,166,0.004
167,7.912E-7,174.252,97,361,-88.764,167,0.004
168,7.912E-7,173.874,97,347,-88.764,168,0.004
169,7.912E-7,173.709,96,358,-88.764,169,0.004
170,7.912E-7,173.436,91,342,-88.764,170,0.004
171,7.912E-7,174.000,98,368,-88.764,171,0.004
172,7.912E-7,173.384,93,370,-88.764,172,0.004
173,7.912E-7,173.147,95,350,-88.764,173,0.004
174,7.912E-7,172.920,96,357,-88.764,174,0.004
175,7.912E-7,173.067,92,351,-88.764,175,0.004
176,7.912E-7,173.467,94,351,-88.764,176,0.004
177,7.912E-7,172.954,96,375,-88.764,177,0.004
178,7.912E-7,173.211,96,362,-88.764,178,0.004
179,7.912E-7,172.704,94,364,-88.764,179,0.004
180,7.912E-7,173.533,91,380,-88.764,180,0.004
181,7.912E-7,172.956,93,353,-88.764,181,0.004
182,7.912E-7,173.434,94,367,-88.764,182,0.004
183,7.912E-7,173.185,95,363,-88.764,183,0.004
184,7.912E-7,172.826,94,361,-88.764,184,0.004
185,7.912E-7,172.649,95,368,-88.764,185,0.004
186,7.912E-7,172.724,95,384,-88.764,186,0.004
187,7.912E-7,172.644,96,367,-88.764,187,0.004
188,7.912E-7,172.337,97,373,-88.764,188,0.004
189,7.912E-7,172.519,95,371,-88.764,189,0.004
190,7.912E-7,172.272,95,377,-88.764,190,0.004
191,7.912E-7,171.892,94,378,-88.764,191,0.004
192,7.912E-7,171.963,96,353,-88.764,192,0.004
193,7.912E-7,172.227,90,381,-88.764,193,0.004
194,7.912E-7,172.064,98,366,-88.764,194,0.004
195,7.912E-7,171.622,96,354,-88.764,195,0.004
196,7.912E-7,172.327,93,354,-88.764,196,0.004
197,7.912E-7,172.127,95,369,-88.764,197,0.004
198,7.912E-7,172.468,95,354,-88.764,198,0.004
199,7.912E-7,171.976,94,354,-88.764,199,0.004
200,7.912E-7,171.639,96,363,-88.764,200,0.004
201,7.912E-7,171.654,94,364,-88.764,201,0.004
202,7.912E-7,171.502,92,371,-88.764,202,0.004
203,7.912E-7,171.440,94,370,-88.764,203,0.004
204,7.912E-7,171.047,94,375,-88.764,204,0.004
205,7.912E-7,171.301,97,345,-88.764,205,0.004
206,7.912E-7,171.119,97,351,-88.764,206,0.004
207,7.912E-7,170.560,93,361,-88.764,207,0.004
208,7.912E-7,171.027,96,356,-88.764,208,0.004
209,7.912E-7,170.806,94,364,-88.764,209,0.004
210,7.912E-7,170.833,94,368,-88.764,210,0.004
211,7.912E-7,170.318,96,359,-88.764,211,0.004
212,7.912E-7,170.082,96,363,-88.764,212,0.004
213,7.912E-7,170.020,94,388,-88.764,213,0.004
214,7.912E-7,170.214,95,362,-88.764,214,0.004
215,7.912E-7,169.745,96,373,-88.764,215,0.004
216,7.912E-7,170.063,96,369,-88.764,216,0.004
217,7.912E-7,169.612,94,374,-88.764,217,0.004
218,7.912E-7,169.740,92,370,-88.764,218,0.004
219,7.912E-7,169.485,98,372,-88.764,219,0.004
220,7.912E-7,169.469,93,370,-88.764,220,0.004
221,7.912E-7,169.312,91,368,-88.764,221,0.004
222,7.912E-7,168.944,96,368,-88.764,222,0.004
223,7.912E-7,169.088,95,371,-88.764,223,0.004
224,7.912E-7,168.620,95,370,-88.764,224,0.004
225,7.912E-7,168.495,96,363,-88.764,225,0.004
226,7.912E-7,168.414,94,378,-88.764,226,0.004
227,7.912E-7,168.180,96,375,-88.764,227,0.004
228,7.912E-7,167.977,98,363,-88.764,228,0.004
229,7.912E-7,168.084,93,405,-88.764,229,0.004
230,7.912E-7,168.113,96,376,-88.764,230,0.004
231,7.912E-7,167.624,96,375,-88.764,231,0.004
232,7.912E-7,167.327,96,387,-88.764,232,0.004
233,7.912E-7,167.248,96,389,-88.764,233,0.004
234,7.912E-7,167.265,92,393,-88.764,234,0.004
235,7.912E-7,166.845,95,383,-88.764,235,0.004
236,7.912E-7,166.454,94,391,-88.764,236,0.004
237,7.912E-7,166.585,96,365,-88.764,237,0.004
238,7.912E-7,166.743,95,371,-88.764,238,0.004
239,7.912E-7,166.610,94,354,-88.764,239,0.004
240,7.912E-7,166.243,94,363,-88.764,240,0.004
241,7.912E-7,166.606,94,368,-88.764,241,0.004
242,7.912E-7,166.439,96,383,-88.764,242,0.004
243,7.912E-7,166.129,94,384,-88.764,243,0.004
244,7.912E-7,165.397,92,393,-88.764,244,0.004
245,7.912E-7,165.327,92,359,-88.764,245,0.004
246,7.912E-7,166.268,89,389,-88.764,246,0.004
247,7.912E-7,166.378,95,380,-88.764,247,0.004
248,7.912E-7,165.589,96,374,-88.764,248,0.004
249,7.912E-7,164.928,92,372,-88.764,249,0.004
250,7.912E-7,165.484,94,367,-88.764,250,0.004
251,7.912E-7,164.768,95,362,-88.764,251,0.004
252,7.912E-7,165.645,94,400,-88.764,252,0.004
253,7.912E-7,164.886,95,386,-88.764,253,0.004
254,7.912E-7,165.277,98,394,-88.764,254,0.004
255,7.912E-7,164.889,95,387,-88.764,255,0.004
256,7.912E-7,164.113,96,388,-88.764,256,0.004
257,7.912E-7,163.738,98,367,-88.764,257,0.004
258,7.912E-7,163.920,95,388,-88.764,258,0.004
259,7.912E-7,163.851,93,376,-88.764,259,0.004
260,7.912E-7,163.910,91,378,-88.764,260,0.004
261,7.912E-7,163.121,97,377,-88.764,261,0.004
262,7.912E-7,163.469,94,368,-88.764,262,0.004
263,7.912E-7,163.274,93,377,-88.764,263,0.004
264,7.912E-7,163.167,91,387,-88.764,264,0.004
265,7.912E-7,163.257,95,366,-88.764,265,0.004
266,7.912E-7,162.660,94,370,-88.764,266,0.004
267,7.912E-7,162.397,93,370,-88.764,267,0.004
268,7.912E-7,162.801,95,378,-88.764,268,0.004
269,7.912E-7,162.883,94,382,-88.764,269,0.004
270,7.912E-7,162.586,96,399,-88.764,270,0.004
271,7.912E-7,162.852,95,372,-88.764,271,0.004
272,7.912E-7,162.853,95,406,-88.764,272,0.004
273,7.912E-7,162.763,93,390,-88.764,273,0.004
274,7.912E-7,163.106,90,413,-88.764,274,0.004
275,7.912E-7,163.471,94,398,-88.764,275,0.004
276,7.912E-7,162.552,94,440,-88.764,276,0.004
277,7.912E-7,163.150,95,454,-88.764,277,0.004
278,7.912E-7,162.509,91,423,-88.764,278,0.004
279,7.912E-7,163.009,92,429,-88.764,279,0.004
280,7.912E-7,162.860,93,463,-88.764,280,0.004
281,7.912E-7,162.568,95,426,-88.764,281,0.004
282,7.912E-7,162.684,94,484,-88.764,282,0.004
283,7.912E-7,162.226,97,464,-88.764,283,0.004
284,7.912E-7,162.727,93,481,-88.764,284,0.004
285,7.912E-7,162.734,93,523,-88.764,285,0.004
286,7.912E-7,162.663,93,485,-88.764,286,0.004
287,7.912E-7,162.190,90,420,-88.764,287,0.004
288,7.912E-7,162.243,94,495,-88.764,288,0.004
289,7.912E-7,162.151,96,475,-88.764,289,0.004
290,7.912E-7,162.235,97,481,-88.764,290,0.004
291,7.912E-7,162.557,95,464,-88.764,291,0.004
292,7.912E-7,162.572,94,494,-88.764,292,0.004
293,7.912E-7,162.491,96,443,-88.764,293,0.004
294,7.912E-7,162.205,93,483,-88.764,294,0.004
295,7.912E-7,162.458,97,486,-88.764,295,0.004
296,7.912E-7,162.907,94,453,-88.764,296,0.004
297,7.912E-7,162.663,97,457,-88.764,297,0.004
298,7.912E-7,162.589,95,477,-88.764,298,0.004
299,7.912E-7,163.620,92,475,-88.764,299,0.004
300,7.912E-7,162.811,95,494,-88.764,300,0.004
301,7.912E-7,163.705,94,453,-88.764,301,0.004
