 ,Area,Mean,Min,Max,Angle,Slice,Length
189,8.554E-7,131.156,96,269,-90.731,189,0.004
190,8.554E-7,131.400,92,251,-90.731,190,0.004
191,8.554E-7,131.425,94,251,-90.731,191,0.004
192,8.554E-7,131.034,98,235,-90.731,192,0.004
193,8.554E-7,131.103,96,264,-90.731,193,0.004
194,8.554E-7,130.926,95,257,-90.731,194,0.004
195,8.554E-7,131.085,96,256,-90.731,195,0.004
196,8.554E-7,130.900,92,256,-90.731,196,0.004
197,8.554E-7,130.759,95,242,-90.731,197,0.004
198,8.554E-7,131.155,88,252,-90.731,198,0.004
199,8.554E-7,131.043,93,270,-90.731,199,0.004
200,8.554E-7,130.859,96,250,-90.731,200,0.004
201,8.554E-7,130.952,96,258,-90.731,201,0.004
202,8.554E-7,130.767,96,242,-90.731,202,0.004
203,8.554E-7,130.972,94,246,-90.731,203,0.004
204,8.554E-7,130.792,97,231,-90.731,204,0.004
205,8.554E-7,130.514,95,243,-90.731,205,0.004
206,8.554E-7,130.845,93,240,-90.731,206,0.004
207,8.554E-7,130.609,96,247,-90.731,207,0.004
208,8.554E-7,130.704,95,261,-90.731,208,0.004
209,8.554E-7,130.802,96,254,-90.731,209,0.004
210,8.554E-7,130.869,94,248,-90.731,210,0.004
211,8.554E-7,130.841,93,247,-90.731,211,0.004
212,8.554E-7,130.871,97,240,-90.731,212,0.004
213,8.554E-7,130.737,95,238,-90.731,213,0.004
214,8.554E-7,130.657,96,244,-90.731,214,0.004
215,8.554E-7,130.946,96,248,-90.731,215,0.004
216,8.554E-7,130.861,95,241,-90.731,216,0.004
217,8.554E-7,131.145,97,245,-90.731,217,0.004
218,8.554E-7,130.990,98,242,-90.731,218,0.004
219,8.554E-7,130.800,96,248,-90.731,219,0.004
220,8.554E-7,131.270,96,252,-90.731,220,0.004
221,8.554E-7,131.137,94,250,-90.731,221,0.004
222,8.554E-7,131.141,95,243,-90.731,222,0.004
223,8.554E-7,131.083,97,249,-90.731,223,0.004
224,8.554E-7,131.301,95,235,-90.731,224,0.004
225,8.554E-7,131.157,92,241,-90.731,225,0.004
226,8.554E-7,131.730,96,261,-90.731,226,0.004
227,8.554E-7,131.610,96,246,-90.731,227,0.004
228,8.554E-7,131.489,97,246,-90.731,228,0.004
229,8.554E-7,132.187,94,259,-90.731,229,0.004
230,8.554E-7,131.903,93,225,-90.731,230,0.004
231,8.554E-7,131.762,96,241,-90.731,231,0.004
232,8.554E-7,132.087,96,254,-90.731,232,0.004
233,8.554E-7,132.374,95,238,-90.731,233,0.004
234,8.554E-7,132.048,97,240,-90.731,234,0.004
235,8.554E-7,132.304,88,247,-90.731,235,0.004
236,8.554E-7,132.467,95,230,-90.731,236,0.004
237,8.554E-7,132.749,95,240,-90.731,237,0.004
238,8.554E-7,132.783,95,231,-90.731,238,0.004
239,8.554E-7,132.957,96,250,-90.731,239,0.004
240,8.554E-7,132.735,97,230,-90.731,240,0.004
241,8.554E-7,133.092,96,232,-90.731,241,0.004
242,8.554E-7,132.799,92,234,-90.731,242,0.004
243,8.554E-7,133.236,96,240,-90.731,243,0.004
244,8.554E-7,133.614,95,254,-90.731,244,0.004
245,8.554E-7,133.469,97,247,-90.731,245,0.004
246,8.554E-7,133.655,97,227,-90.731,246,0.004
247,8.554E-7,133.740,96,229,-90.731,247,0.004
248,8.554E-7,133.645,96,233,-90.731,248,0.004
249,8.554E-7,133.545,91,231,-90.731,249,0.004
250,8.554E-7,133.913,97,231,-90.731,250,0.004
251,8.554E-7,134.126,98,232,-90.731,251,0.004
252,8.554E-7,133.939,92,242,-90.731,252,0.004
253,8.554E-7,133.700,95,225,-90.731,253,0.004
254,8.554E-7,134.390,96,241,-90.731,254,0.004
255,8.554E-7,134.178,97,217,-90.731,255,0.004
256,8.554E-7,134.507,94,229,-90.731,256,0.004
257,8.554E-7,134.363,97,235,-90.731,257,0.004
258,8.554E-7,134.996,97,223,-90.731,258,0.004
259,8.554E-7,134.466,98,246,-90.731,259,0.004
260,8.554E-7,134.862,99,223,-90.731,260,0.004
261,8.554E-7,135.211,96,246,-90.731,261,0.004
262,8.554E-7,135.207,94,229,-90.731,262,0.004
263,8.554E-7,134.727,98,232,-90.731,263,0.004
264,8.554E-7,134.947,96,228,-90.731,264,0.004
265,8.554E-7,134.930,95,218,-90.731,265,0.004
266,8.554E-7,135.177,93,230,-90.731,266,0.004
267,8.554E-7,135.415,95,219,-90.731,267,0.004
268,8.554E-7,135.732,96,229,-90.731,268,0.004
269,8.554E-7,135.143,96,227,-90.731,269,0.004
270,8.554E-7,135.218,99,217,-90.731,270,0.004
271,8.554E-7,135.569,96,222,-90.731,271,0.004
272,8.554E-7,135.778,98,232,-90.731,272,0.004
273,8.554E-7,135.891,94,213,-90.731,273,0.004
274,8.554E-7,135.604,98,218,-90.731,274,0.004
275,8.554E-7,136.200,98,227,-90.731,275,0.004
276,8.554E-7,135.891,96,224,-90.731,276,0.004
277,8.554E-7,135.892,99,217,-90.731,277,0.004
278,8.554E-7,135.824,99,239,-90.731,278,0.004
279,8.554E-7,136.036,98,227,-90.731,279,0.004
280,8.554E-7,136.086,97,236,-90.731,280,0.004
281,8.554E-7,136.161,100,248,-90.731,281,0.004
282,8.554E-7,135.895,95,222,-90.731,282,0.004
283,8.554E-7,136.214,100,225,-90.731,283,0.004
284,8.554E-7,136.347,96,242,-90.731,284,0.004
285,8.554E-7,136.487,98,238,-90.731,285,0.004
286,8.554E-7,136.419,98,227,-90.731,286,0.004
287,8.554E-7,136.377,96,226,-90.731,287,0.004
288,8.554E-7,136.225,97,227,-90.731,288,0.004
289,8.554E-7,136.110,96,216,-90.731,289,0.004
290,8.554E-7,136.582,99,226,-90.731,290,0.004
291,8.554E-7,136.235,92,226,-90.731,291,0.004
292,8.554E-7,136.596,98,239,-90.731,292,0.004
293,8.554E-7,136.494,99,236,-90.731,293,0.004
294,8.554E-7,136.436,93,230,-90.731,294,0.004
295,8.554E-7,136.615,97,218,-90.731,295,0.004
296,8.554E-7,136.294,97,214,-90.731,296,0.004
297,8.554E-7,136.218,96,241,-90.731,297,0.004
298,8.554E-7,136.479,93,243,-90.731,298,0.004
299,8.554E-7,136.696,98,237,-90.731,299,0.004
300,8.554E-7,136.677,99,213,-90.731,300,0.004
301,8.554E-7,136.891,96,229,-90.731,301,0.004
