 ,Area,Mean,Min,Max,Angle,Slice,Length
155,4.326E-7,229.688,108,681,-88.862,155,0.002
156,4.326E-7,229.100,105,711,-88.862,156,0.002
157,4.326E-7,228.793,103,697,-88.862,157,0.002
158,4.326E-7,230.788,110,735,-88.862,158,0.002
159,4.326E-7,230.749,101,749,-88.862,159,0.002
160,4.326E-7,230.613,106,684,-88.862,160,0.002
161,4.326E-7,231.747,102,701,-88.862,161,0.002
162,4.326E-7,231.809,104,708,-88.862,162,0.002
163,4.326E-7,232.035,106,765,-88.862,163,0.002
164,4.326E-7,231.986,104,698,-88.862,164,0.002
165,4.326E-7,232.528,107,729,-88.862,165,0.002
166,4.326E-7,233.833,102,714,-88.862,166,0.002
167,4.326E-7,234.109,101,749,-88.862,167,0.002
168,4.326E-7,234.452,108,714,-88.862,168,0.002
169,4.326E-7,234.716,105,721,-88.862,169,0.002
170,4.326E-7,235.272,103,752,-88.862,170,0.002
171,4.326E-7,234.946,102,760,-88.862,171,0.002
172,4.326E-7,235.295,101,765,-88.862,172,0.002
173,4.326E-7,234.645,106,724,-88.862,173,0.002
174,4.326E-7,235.524,107,759,-88.862,174,0.002
175,4.326E-7,235.599,107,755,-88.862,175,0.002
176,4.326E-7,235.498,105,745,-88.862,176,0.002
177,4.326E-7,235.702,107,754,-88.862,177,0.002
178,4.326E-7,235.361,105,759,-88.862,178,0.002
179,4.326E-7,235.932,105,804,-88.862,179,0.002
180,4.326E-7,235.789,105,781,-88.862,180,0.002
181,4.326E-7,235.019,100,748,-88.862,181,0.002
182,4.326E-7,235.990,106,768,-88.862,182,0.002
183,4.326E-7,235.225,103,792,-88.862,183,0.002
184,4.326E-7,235.517,102,775,-88.862,184,0.002
185,4.326E-7,234.481,106,797,-88.862,185,0.002
186,4.326E-7,235.458,106,785,-88.862,186,0.002
187,4.326E-7,235.068,105,778,-88.862,187,0.002
188,4.326E-7,235.704,109,799,-88.862,188,0.002
189,4.326E-7,235.269,103,836,-88.862,189,0.002
190,4.326E-7,235.362,107,753,-88.862,190,0.002
191,4.326E-7,235.286,102,792,-88.862,191,0.002
192,4.326E-7,235.206,108,742,-88.862,192,0.002
193,4.326E-7,236.434,108,792,-88.862,193,0.002
194,4.326E-7,235.283,106,768,-88.862,194,0.002
195,4.326E-7,235.490,104,786,-88.862,195,0.002
196,4.326E-7,236.051,109,759,-88.862,196,0.002
197,4.326E-7,235.475,106,788,-88.862,197,0.002
198,4.326E-7,234.842,103,799,-88.862,198,0.002
199,4.326E-7,234.836,104,809,-88.862,199,0.002
200,4.326E-7,235.097,107,792,-88.862,200,0.002
201,4.326E-7,234.669,106,761,-88.862,201,0.002
202,4.326E-7,235.526,103,772,-88.862,202,0.002
203,4.326E-7,235.242,106,808,-88.862,203,0.002
204,4.326E-7,234.691,107,759,-88.862,204,0.002
205,4.326E-7,236.261,102,794,-88.862,205,0.002
206,4.326E-7,237.272,100,801,-88.862,206,0.002
207,4.326E-7,236.694,105,831,-88.862,207,0.002
208,4.326E-7,236.626,102,789,-88.862,208,0.002
209,4.326E-7,236.428,100,779,-88.862,209,0.002
210,4.326E-7,237.471,104,805,-88.862,210,0.002
211,4.326E-7,237.253,102,824,-88.862,211,0.002
212,4.326E-7,236.972,104,815,-88.862,212,0.002
213,4.326E-7,237.958,105,833,-88.862,213,0.002
214,4.326E-7,236.949,105,820,-88.862,214,0.002
215,4.326E-7,237.464,107,802,-88.862,215,0.002
216,4.326E-7,238.584,109,801,-88.862,216,0.002
217,4.326E-7,238.696,108,828,-88.862,217,0.002
218,4.326E-7,238.792,107,816,-88.862,218,0.002
219,4.326E-7,238.670,107,809,-88.862,219,0.002
220,4.326E-7,238.067,108,804,-88.862,220,0.002
221,4.326E-7,238.541,102,822,-88.862,221,0.002
