PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 1, filenames: A:[1]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[2]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
143,385,0.1512241364,-0.1309804916,1
143,417,-15.55686092,-6.672749996,1
143,449,-13.44905853,-7.298164845,1
143,481,-10.98651218,-7.512521267,1
143,513,-11.40348721,-7.948890686,1
143,545,-11.88206196,-6.359424591,1
143,577,-12.56032658,-5.804970264,1
143,609,-13.35802555,-6.399073601,1
143,641,-13.20471382,-6.576300621,1
143,673,-13.33891201,-6.526462078,1
143,705,-14.03651047,-6.34943676,1
143,737,-14.99427509,-6.246303558,1
143,769,-16.13753891,-6.260892868,1
143,801,-16.89821815,-6.267620564,1
143,833,-17.47411346,-5.740941525,1
143,865,-17.70545769,-5.147942066,1
143,897,-18.15039444,-4.910695553,1
143,929,-18.51076317,-4.036872864,1
143,961,-18.30631638,-2.677390337,1
143,993,-17.79597473,-1.240845919,1
143,1025,-18.08328247,-0.7669599652,1
143,1057,-18.44539452,0.3471565843,1
143,1089,-19.13676643,1.237254977,1
143,1121,-18.82601547,2.206142902,1
143,1153,-17.74484825,3.620823383,1
143,1185,-17.36554337,5.079561234,1
143,1217,-16.50942039,5.120170116,1
143,1249,-15.39832878,5.037136078,1
143,1281,-15.78802109,6.462388992,1
143,1313,-15.14825153,6.496401787,1
143,1345,-14.20881844,6.56276226,1
143,1377,-12.96656227,7.414444923,1
143,1409,-13.11172867,7.08531189,1
143,1441,-13.14842701,7.303892612,1
143,1473,-12.13249397,6.536314964,1
143,1505,-11.69322109,7.380739689,1
143,1537,-9.738723755,7.276481628,1
143,1569,-8.927013397,7.473884583,1
143,1601,-9.388321877,8.327179909,1
143,1633,-9.784517288,8.943887711,1
143,1665,-9.999194145,9.652162552,1
143,1697,-10.52745724,9.895681381,1
143,1729,-9.917445183,9.885250092,1
143,1761,-8.574147224,9.982217789,1
143,1793,-7.248900414,9.855291367,1
143,1825,-7.646948814,8.426643372,1
143,1857,-7.028936386,9.694732666,1
143,1889,-6.75428009,10.36701965,1
143,1921,-6.852042675,10.56311321,1
143,1953,-6.57087326,10.10719013,1
143,1985,-6.392290592,7.884228706,1
143,2017,-7.567328453,7.267901421,1
175,33,-0.4188417196,-0.01491495967,1
175,65,-0.1325976551,-0.06559558213,1
175,97,-0.06645363569,-0.2595697045,1
175,129,0.1852402389,0.2511187792,1
175,161,0.1321376562,-0.008831381798,1
175,193,0.02154418826,0.07264268398,1
175,225,0.1314148903,0.4030480385,1
175,257,0.2320080549,0.1832479835,1
175,289,-0.01705241203,-0.03763604164,1
175,321,-0.5065910816,-0.8411927223,1
175,353,-3.208729744,-1.880254745,1
175,385,-10.28018093,-10.50848007,1
175,417,-11.66076565,-6.937335014,1
175,449,-11.98216724,-7.752610207,1
175,481,-12.37082672,-7.882526398,1
175,513,-12.62561321,-7.556986809,1
175,545,-13.20338631,-7.170165062,1
175,577,-13.85480118,-6.840391159,1
175,609,-14.41793919,-6.899271011,1
175,641,-14.83620548,-7.132018566,1
175,673,-15.20806313,-7.280669212,1
175,705,-15.39076519,-7.230403423,1
175,737,-16.03734016,-6.932603836,1
175,769,-16.8716774,-6.666577816,1
175,801,-17.77554703,-5.852225304,1
175,833,-18.59066582,-5.325889587,1
175,865,-18.39089966,-4.987426281,1
175,897,-18.37276459,-4.130392075,1
175,929,-19.55900764,-4.187067986,1
175,961,-19.53548622,-3.217719078,1
175,993,-18.35580444,-1.480265737,1
175,1025,-18.16570282,-0.608310461,1
175,1057,-18.75809097,0.4351127148,1
175,1089,-19.54260635,1.86049962,1
175,1121,-19.60411835,2.142591,1
175,1153,-18.84849739,2.425939798,1
175,1185,-18.35983849,3.569741488,1
175,1217,-17.63716888,4.33475256,1
175,1249,-16.30702019,4.360173225,1
175,1281,-16.47834015,6.096941948,1
175,1313,-15.80566597,6.566788673,1
175,1345,-14.70483303,6.675658703,1
175,1377,-13.64826012,7.495239258,1
175,1409,-13.5067997,7.777819157,1
175,1441,-12.94000435,7.426534653,1
175,1473,-10.7741518,4.725875854,1
175,1505,-6.073829651,4.066175461,1
175,1537,-9.669273376,7.670392036,1
175,1569,-9.536252975,7.918847084,1
175,1601,-9.857869148,8.946864128,1
175,1633,-10.0835228,9.675783157,1
175,1665,-9.897309303,9.537381172,1
175,1697,-9.837504387,9.706442833,1
175,1729,-9.017748833,9.512369156,1
175,1761,-8.406456947,9.430914879,1
175,1793,-7.97342968,9.681228638,1
175,1825,-7.699053288,9.300103188,1
175,1857,-7.211091995,9.993165016,1
175,1889,-6.481060505,9.820559502,1
175,1921,-6.265567303,10.20095825,1
175,1953,-5.789314747,8.733427048,1
175,1985,-6.038517475,6.573369026,1
175,2017,-7.087465763,-2.53153038,1
207,33,-0.5127606988,-0.3768527508,1
207,65,-0.01018539071,0.1208370924,1
207,97,0.4382791519,0.0744715929,1
207,129,0.233753264,-0.01285502315,1
207,161,-0.4124086797,-0.1430725604,1
207,193,-0.04571124911,-0.3078379035,1
207,225,0.4447111487,0.3698321581,1
207,257,0.4566107988,0.1752724051,1
207,289,-0.4410333633,-1.449530125,1
207,321,-2.227510929,-3.696886063,1
207,353,0.7142343521,1.713197708,1
207,385,-10.06010437,-7.962883472,1
207,417,-10.74480247,-8.098614693,1
207,449,-11.99450111,-8.543916702,1
207,481,-13.96995068,-8.603149414,1
207,513,-13.90600491,-8.380804062,1
207,545,-14.20020485,-8.212172508,1
207,577,-14.88831139,-8.087171555,1
207,609,-15.29360867,-7.681739807,1
207,641,-15.8507328,-8.250283241,1
207,673,-16.48884201,-7.992342949,1
207,705,-16.80464363,-6.975413799,1
207,737,-17.48309326,-6.92107296,1
207,769,-18.28472137,-6.883691788,1
207,801,-18.64614487,-5.846673965,1
207,833,-18.99684334,-5.197564602,1
207,865,-19.1494751,-4.878485203,1
207,897,-19.36805344,-4.386655807,1
207,929,-19.90541077,-3.879550695,1
207,961,-20.19220161,-3.01384902,1
207,993,-19.75883484,-1.511960983,1
207,1025,-18.94183159,-0.5686347485,1
207,1057,-19.68949509,0.1330328733,1
207,1089,-20.39184189,1.028385878,1
207,1121,-20.16361427,1.606152296,1
207,1153,-20.12956047,1.432461858,1
207,1185,-20.20070839,1.785709381,1
207,1217,-19.58860397,3.708552837,1
207,1249,-17.77606583,6.155531883,1
207,1281,-17.09165573,6.196142197,1
207,1313,-16.16859055,6.958153248,1
207,1345,-14.98345184,7.5703969,1
207,1377,-14.03522587,7.911423683,1
207,1409,-13.51068497,8.561694145,1
207,1441,-12.98727417,7.506036758,1
207,1473,-11.92451763,4.751583099,1
207,1505,-10.85036659,7.878435135,1
207,1537,-11.31095219,9.278485298,1
207,1569,-11.04786396,9.236251831,1
207,1601,-9.962708473,8.608509064,1
207,1633,-9.169462204,8.158695221,1
207,1665,-7.9251194,8.935674667,1
207,1697,-8.793139458,9.09941864,1
207,1729,-9.227321625,8.644956589,1
207,1761,-8.949987411,8.903009415,1
207,1793,-8.041659355,8.990765572,1
207,1825,-7.717047215,9.309668541,1
207,1857,-7.512591362,10.08433056,1
207,1889,-6.777871132,9.500845909,1
207,1921,-5.882495403,9.162601471,1
207,1953,-5.752390385,7.591905594,1
207,1985,-5.722063541,9.472175598,1
207,2017,-7.743400097,-10.07045364,1
239,33,0.6598681808,1.685086131,1
239,65,-0.2111195028,0.02898594737,1
239,97,0.19025442,0.05374789238,1
239,129,0.3381192982,0.2959554195,1
