, ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity,Time,Samplename,filename,Skew,Min,Max
0,1,5619.21,117.354,113.706,103.865,398.599,149.381,47.895,31.249,0.444,100,3.119,0.321,0.77,0.333333333,Control,01022024_Pos014_Control,,,
1,2,4263.792,116.919,121.067,102.461,332.513,126.806,42.812,29.44,0.485,100,2.962,0.338,0.821,0.666666667,Control,01022024_Pos014_Control,,,
2,3,3630.391,116.916,123.616,105.656,279.601,118.962,38.856,31.241,0.584,100,3.062,0.327,0.936,1,Control,01022024_Pos014_Control,,,
3,4,2588.084,116.789,122.323,107.915,260.784,104.19,31.627,30.495,0.478,100,3.294,0.304,0.859,1.333333333,Control,01022024_Pos014_Control,,,
4,5,2318.014,116.767,122.639,106.414,250.934,100.755,29.293,31.754,0.463,100,3.44,0.291,0.87,1.666666667,Control,01022024_Pos014_Control,,,
5,6,2014.264,116.8,119.516,107.35,225.891,93.383,27.464,32.804,0.496,100,3.4,0.294,0.874,2,Control,01022024_Pos014_Control,,,
6,7,1778.296,116.766,119.041,106.617,213.744,89.045,25.427,31.402,0.489,100,3.502,0.286,0.885,2.333333333,Control,01022024_Pos014_Control,,,
7,8,1696.332,116.736,118.588,106.583,207.035,86.45,24.984,30.983,0.497,100,3.46,0.289,0.891,2.666666667,Control,01022024_Pos014_Control,,,
8,9,1550.176,116.522,119.47,105.131,201.726,84.394,23.387,29.695,0.479,100,3.609,0.277,0.881,3,Control,01022024_Pos014_Control,,,
9,10,1263.987,116.12,121.713,102.244,171.674,73.299,21.956,25.08,0.539,100,3.338,0.3,0.951,3.333333333,Control,01022024_Pos014_Control,,,
10,11,1288.587,116.141,122.752,100.793,164.19,70.004,23.437,27.909,0.601,100,2.987,0.335,0.952,3.666666667,Control,01022024_Pos014_Control,,,
11,12,1225.345,116.071,122.194,100.719,159.729,67.712,23.041,28.621,0.604,100,2.939,0.34,0.951,4,Control,01022024_Pos014_Control,,,
12,13,1128.635,115.991,121.088,100.559,155.023,66.555,21.591,29.858,0.59,100,3.082,0.324,0.937,4.333333333,Control,01022024_Pos014_Control,,,
13,14,885.171,115.881,121.607,100.531,140.961,62.132,18.139,25.607,0.56,100,3.425,0.292,0.902,4.666666667,Control,01022024_Pos014_Control,,,
14,15,600.496,115.744,120.884,101.173,124.504,56.856,13.448,27.946,0.487,100,4.228,0.237,0.902,5,Control,01022024_Pos014_Control,,,
15,1,8103.651,119.548,120.008,108.553,466.241,147.541,69.932,32.025,,100,,,,0.333333333,Control,01022024_Pos018_Control,4.168,,
16,2,7447.48,119.652,117.493,112.507,398.317,135.781,69.836,32.214,,100,,,,0.666666667,Control,01022024_Pos018_Control,4.155,,
17,3,6282.174,119.632,119.271,113.648,354.989,127.033,62.966,32.431,,100,,,,1,Control,01022024_Pos018_Control,4.401,,
18,4,4513.415,119.535,120.268,112.933,314.607,114.052,50.387,31.133,,100,,,,1.333333333,Control,01022024_Pos018_Control,4.963,,
19,5,3711.264,119.585,120.412,112.341,294.122,107.856,43.812,31.194,,100,,,,1.666666667,Control,01022024_Pos018_Control,5.171,,
20,6,3474.029,119.681,121.386,110.86,294.432,104.947,42.148,30.207,,100,,,,2,Control,01022024_Pos018_Control,5.152,,
21,7,2762.535,119.911,120.899,110.394,259.435,93.05,37.801,29.731,,100,,,,2.333333333,Control,01022024_Pos018_Control,5.253,,
22,8,2443.265,120.188,121.762,110.39,246.873,87.619,35.504,32.344,,100,,,,2.666666667,Control,01022024_Pos018_Control,5.202,,
23,9,2078.596,120.488,121.105,109.338,221.555,79.986,33.088,31.523,,100,,,,3,Control,01022024_Pos018_Control,5.142,,
24,10,1770.764,120.799,120.216,110.5,204.659,75.99,29.67,31.443,,100,,,,3.333333333,Control,01022024_Pos018_Control,5.095,,
25,11,1448.644,121.3,120.985,110.869,178.851,68.163,27.06,32.718,,100,,,,3.666666667,Control,01022024_Pos018_Control,4.93,,
26,12,1121.738,121.532,121.771,110.358,156.431,60.092,23.768,34.14,,100,,,,4,Control,01022024_Pos018_Control,5.051,,
27,13,770.055,122.287,123.656,109.539,134.054,52.348,18.73,35.328,,100,,,,4.333333333,Control,01022024_Pos018_Control,4.78,,
28,14,577.198,119.909,124.72,108.113,119.523,47.588,15.443,36.515,,100,,,,4.666666667,Control,01022024_Pos018_Control,2.278,,
29,15,395.04,118.774,123.14,108.515,104.347,41.482,12.125,38.384,,100,,,,5,Control,01022024_Pos018_Control,2.528,,
30,1,2967.991,113.858,108.795,114.322,275.986,126.664,29.835,27.821,,100,,,,0.333333333,Control,01022024_Pos020_Control,0.938,,
31,2,3388.862,114.216,106.152,116.611,276.166,126.993,33.977,28.333,,100,,,,0.666666667,Control,01022024_Pos020_Control,1.673,,
32,3,3227.573,114.729,106.333,120.533,253.341,114.373,35.931,28.722,,100,,,,1,Control,01022024_Pos020_Control,2.75,,
33,4,2908.409,114.808,105.279,121.634,239.188,106.969,34.619,26.74,,100,,,,1.333333333,Control,01022024_Pos020_Control,2.833,,
34,5,2760.986,114.822,103.871,122.365,230.752,100.885,34.846,26.774,,100,,,,1.666666667,Control,01022024_Pos020_Control,2.865,,
35,6,2578.406,115.053,102.667,124.638,225.746,99.075,33.136,24.291,,100,,,,2,Control,01022024_Pos020_Control,2.785,,
36,7,2556.164,115.386,102.382,126.827,216.325,92.834,35.059,21.905,,100,,,,2.333333333,Control,01022024_Pos020_Control,2.67,,
37,8,2229.609,115.42,100.113,128.611,212.609,82.544,34.392,22.105,,100,,,,2.666666667,Control,01022024_Pos020_Control,2.732,,
38,9,2070.291,115.44,98.123,129.51,189.692,76.524,34.446,20.59,,100,,,,3,Control,01022024_Pos020_Control,2.752,,
39,10,1610.602,115.483,98.944,129.441,171.763,72.622,28.238,23.682,,100,,,,3.333333333,Control,01022024_Pos020_Control,2.868,,
40,11,1427,115.647,98.975,129.752,158.918,64.615,28.119,22.526,,100,,,,3.666666667,Control,01022024_Pos020_Control,2.813,,
41,12,1217.603,115.575,98.384,129.545,143.437,58.221,26.628,19.84,,100,,,,4,Control,01022024_Pos020_Control,2.681,,
42,13,1066.133,115.535,99.163,128.939,135.965,55.173,24.603,17.948,,100,,,,4.333333333,Control,01022024_Pos020_Control,2.726,,
43,14,1011.302,115.631,98.683,129.311,130.763,51.812,24.852,19.122,,100,,,,4.666666667,Control,01022024_Pos020_Control,2.686,,
44,15,527.647,117.044,102.655,131.684,96.328,41.035,16.372,17.824,,100,,,,5,Control,01022024_Pos020_Control,2.416,,
45,1,8005.568,118.275,126.145,107.105,453.564,179.985,56.633,10.593,0.489,100,3.178,0.315,0.834,0.333333333,Control,01022024_Pos023_Control,,103,196
46,2,5986.694,118.797,124.974,109.2,370.514,152.826,49.877,11.423,0.548,100,3.064,0.326,0.868,0.666666667,Control,01022024_Pos023_Control,,103,196
47,3,4421.808,118.948,124.639,109.219,317.433,133.583,42.146,14.492,0.551,100,3.17,0.316,0.879,1,Control,01022024_Pos023_Control,,103,196
48,4,3853.056,119.192,123.956,111.031,295.007,122.758,39.964,14.324,0.556,100,3.072,0.326,0.884,1.333333333,Control,01022024_Pos023_Control,,103,196
49,5,3335.146,118.522,123.442,113.09,265.928,113.375,37.455,16.305,0.593,100,3.027,0.33,0.909,1.666666667,Control,01022024_Pos023_Control,,103,196
50,6,2837.05,117.248,123.862,114.87,253.136,106.653,33.869,16.673,0.556,100,3.149,0.318,0.884,2,Control,01022024_Pos023_Control,,103,195
51,7,2110.399,117.033,126.793,117.201,228.46,96.732,27.778,18.342,0.508,100,3.482,0.287,0.847,2.333333333,Control,01022024_Pos023_Control,,103,180
52,8,1463.507,117.622,131.987,117.932,205.699,84.366,22.087,18.28,0.435,100,3.82,0.262,0.788,2.666666667,Control,01022024_Pos023_Control,,103,180
53,9,937.421,118.78,131.589,120.774,178.663,74.754,15.966,20.823,0.369,100,4.682,0.214,0.786,3,Control,01022024_Pos023_Control,,105,180
54,10,736.681,119.585,132.294,121.553,163.698,68.085,13.777,20.947,0.345,100,4.942,0.202,0.77,3.333333333,Control,01022024_Pos023_Control,,105,180
55,11,548.774,120.727,134.009,121.823,150.585,58.931,11.857,21.229,0.304,100,4.97,0.201,0.685,3.666666667,Control,01022024_Pos023_Control,,105,180
56,12,380.716,121.488,133.79,122.586,129.474,49.729,9.748,21.711,0.285,100,5.102,0.196,0.656,4,Control,01022024_Pos023_Control,,105,180
57,13,283.056,121.873,133.267,123.064,116.912,42.539,8.472,23.163,0.26,100,5.021,0.199,0.616,4.333333333,Control,01022024_Pos023_Control,,106,180
58,14,188.892,122.135,132.022,123.831,106.148,36.247,6.635,24.545,0.211,100,5.463,0.183,0.524,4.666666667,Control,01022024_Pos023_Control,,106,180
59,15,180.809,122.719,130.9,124.931,96.433,42.958,5.359,25.394,0.244,100,8.016,0.125,0.732,5,Control,01022024_Pos023_Control,,106,180
60,1,4512.711,115.781,79.179,111.272,317.968,96.571,59.497,48.047,0.561,100,1.623,0.616,0.795,0.333333333,K4K8 MO,15022024_Pos001_K4K8 MO,1.547,,
61,2,3505.21,115.2,76.769,108.056,278.629,86.332,51.696,45.591,0.567,100,1.67,0.599,0.81,0.666666667,K4K8 MO,15022024_Pos001_K4K8 MO,1.447,,
62,3,2634.397,114.872,75.272,106.264,244.481,73.734,45.491,44.768,0.554,100,1.621,0.617,0.797,1,K4K8 MO,15022024_Pos001_K4K8 MO,1.325,,
63,4,1695.24,114.458,74.197,108.454,184.499,59.616,36.206,52.661,0.626,100,1.647,0.607,0.848,1.333333333,K4K8 MO,15022024_Pos001_K4K8 MO,1.412,,
64,5,1459.871,114.366,73.397,108.962,172.76,55.12,33.722,52.262,0.615,100,1.635,0.612,0.836,1.666666667,K4K8 MO,15022024_Pos001_K4K8 MO,1.602,,
65,6,1260.89,114.163,73.832,109.01,161.04,50.78,31.615,55.258,0.611,100,1.606,0.623,0.835,2,K4K8 MO,15022024_Pos001_K4K8 MO,1.684,,
66,7,978.89,113.868,73.772,109.639,142.162,47.493,26.243,56.617,0.609,100,1.81,0.553,0.84,2.333333333,K4K8 MO,15022024_Pos001_K4K8 MO,0.703,,
67,8,851.491,113.806,73.441,110.194,127.118,42.351,25.599,56.468,0.662,100,1.654,0.604,0.876,2.666666667,K4K8 MO,15022024_Pos001_K4K8 MO,0.261,,
68,9,760.659,113.706,72.612,110.201,113.231,40.931,23.662,53.772,0.746,100,1.73,0.578,0.932,3,K4K8 MO,15022024_Pos001_K4K8 MO,0.198,,
69,10,629.248,113.647,72.983,110.441,105.712,38.556,20.78,58.018,0.708,100,1.855,0.539,0.925,3.333333333,K4K8 MO,15022024_Pos001_K4K8 MO,0.182,,
70,11,487.808,113.568,73.796,109.518,93.399,33.5,18.54,63.071,0.703,100,1.807,0.553,0.91,3.666666667,K4K8 MO,15022024_Pos001_K4K8 MO,0.173,,
71,12,380.54,113.531,73.626,109.862,80.447,28.507,16.997,65.827,0.739,100,1.677,0.596,0.92,4,K4K8 MO,15022024_Pos001_K4K8 MO,0.16,,
72,13,310.753,113.474,74.633,109.382,72.833,26.543,14.906,74.556,0.736,100,1.781,0.562,0.903,4.333333333,K4K8 MO,15022024_Pos001_K4K8 MO,0.162,,
73,14,268.592,113.483,74.315,110.088,67.787,25.173,13.585,71.4,0.735,100,1.853,0.54,0.899,4.666666667,K4K8 MO,15022024_Pos001_K4K8 MO,0.154,,
74,15,207.004,113.413,75.115,109.681,59.64,21.599,12.203,74.239,0.731,100,1.77,0.565,0.892,5,K4K8 MO,15022024_Pos001_K4K8 MO,0.142,,
75,1,4805.34,119.649,101.854,140.738,337.785,115.35,53.042,177.475,0.529,100,2.175,0.46,0.827,0.333333333,K4K8 MO,15022024_Pos003_K4K8 MO,3.867,,
76,2,3737.624,120.694,98.038,138.779,284.148,101.789,46.752,175.208,0.582,100,2.177,0.459,0.87,0.666666667,K4K8 MO,15022024_Pos003_K4K8 MO,3.482,,
77,3,2872.935,122.061,95.918,136.525,248.136,87.555,41.779,176.934,0.586,100,2.096,0.477,0.861,1,K4K8 MO,15022024_Pos003_K4K8 MO,3.083,,
78,4,2398.605,123.214,96.592,134.66,217.346,81.265,37.581,176.232,0.638,100,2.162,0.462,0.903,1.333333333,K4K8 MO,15022024_Pos003_K4K8 MO,2.821,,
79,5,1381.531,127.848,90.766,133.599,163.679,65.413,26.891,177.416,0.648,100,2.433,0.411,0.919,1.666666667,K4K8 MO,15022024_Pos003_K4K8 MO,2.073,,
80,6,1060.326,131.145,90.842,133.652,139.895,57.864,23.331,179.207,0.681,100,2.48,0.403,0.955,2,K4K8 MO,15022024_Pos003_K4K8 MO,1.749,,
81,7,885.241,133.808,91.771,133.668,131.188,53.93,20.9,0.209,0.646,100,2.58,0.388,0.931,2.333333333,K4K8 MO,15022024_Pos003_K4K8 MO,1.554,,
82,8,724.128,136.77,91.988,133.206,116.298,48.419,19.042,179.949,0.673,100,2.543,0.393,0.953,2.666666667,K4K8 MO,15022024_Pos003_K4K8 MO,1.4,,
83,9,531.94,140.041,92.025,133.04,101.045,42.61,15.895,0.882,0.655,100,2.681,0.373,0.948,3,K4K8 MO,15022024_Pos003_K4K8 MO,1.292,,
84,10,446.773,143.025,92.944,133.12,91.004,37.5,15.169,3.768,0.678,100,2.472,0.405,0.932,3.333333333,K4K8 MO,15022024_Pos003_K4K8 MO,1.221,,
85,11,390.078,143.809,93.362,132.634,82.989,34.507,14.393,4.622,0.712,100,2.398,0.417,0.964,3.666666667,K4K8 MO,15022024_Pos003_K4K8 MO,1.24,,
86,12,281.543,141.577,93.71,133.128,70.02,29.678,12.079,3.237,0.722,100,2.457,0.407,1,4,K4K8 MO,15022024_Pos003_K4K8 MO,1.33,,
87,13,251.699,138.317,93.617,133.177,63.619,26.217,12.224,5.746,0.781,100,2.145,0.466,1,4.333333333,K4K8 MO,15022024_Pos003_K4K8 MO,1.451,,
88,14,229.493,136.278,93.735,132.777,61.69,25.391,11.508,5.135,0.758,100,2.206,0.453,1,4.666666667,K4K8 MO,15022024_Pos003_K4K8 MO,1.728,,
89,15,183.179,129.964,93.85,132.92,57.374,23.352,9.988,3.389,0.699,100,2.338,0.428,0.988,5,K4K8 MO,15022024_Pos003_K4K8 MO,2.163,,
90,1,7974,112.774,109.747,138.557,399.778,153.78,66.022,9.323,,100,,,,0.333333333,K4K8 MO,15022024_Pos004_K4K8 MO,0.702,,
91,2,7069.215,112.721,110.067,139.985,365.918,143.141,62.881,10.147,,100,,,,0.666666667,K4K8 MO,15022024_Pos004_K4K8 MO,0.709,,
92,3,5857.091,112.684,110.328,140.426,330.464,131.885,56.545,9.4,,100,,,,1,K4K8 MO,15022024_Pos004_K4K8 MO,0.728,,
93,4,4579.73,112.659,110.076,140.967,297.811,121.772,47.885,9.126,,100,,,,1.333333333,K4K8 MO,15022024_Pos004_K4K8 MO,0.715,,
94,5,3698.313,112.689,110.68,140.854,279.293,114.885,40.987,8.826,,100,,,,1.666666667,K4K8 MO,15022024_Pos004_K4K8 MO,0.752,,
95,6,2873.932,112.748,110.306,140.677,260.481,108.237,33.807,7.831,,100,,,,2,K4K8 MO,15022024_Pos004_K4K8 MO,0.818,,
96,7,2276.768,112.812,110.495,140.73,237.373,100.375,28.88,8.095,,100,,,,2.333333333,K4K8 MO,15022024_Pos004_K4K8 MO,0.886,,
97,8,1871.134,112.911,109.603,140.837,210.337,90.437,26.343,7.42,,100,,,,2.666666667,K4K8 MO,15022024_Pos004_K4K8 MO,0.952,,
98,9,1631.248,113.019,110.186,140.423,190.413,81.649,25.438,7.419,,100,,,,3,K4K8 MO,15022024_Pos004_K4K8 MO,1.001,,
99,10,1334.173,113.197,110.296,140.836,169.918,74.29,22.866,8.423,,100,,,,3.333333333,K4K8 MO,15022024_Pos004_K4K8 MO,1.051,,
100,11,1136.788,113.275,111.424,141.081,155.082,68.539,21.118,9.208,,100,,,,3.666666667,K4K8 MO,15022024_Pos004_K4K8 MO,0.975,,
101,12,936.869,113.401,110.824,141.724,143.813,63.267,18.854,8.591,,100,,,,4,K4K8 MO,15022024_Pos004_K4K8 MO,0.903,,
102,13,807.019,113.535,110.711,141.828,132.559,59.007,17.414,9.555,,100,,,,4.333333333,K4K8 MO,15022024_Pos004_K4K8 MO,0.939,,
103,14,674.131,113.689,110.428,142.267,123.453,54.06,15.877,9.611,,100,,,,4.666666667,K4K8 MO,15022024_Pos004_K4K8 MO,0.997,,
104,15,644.581,113.724,110.531,142.368,122.79,53.43,15.36,10.31,,100,,,,5,K4K8 MO,15022024_Pos004_K4K8 MO,1.008,,
105,1,3650.732,120.536,107.996,119.604,313.241,129.911,35.78,35.977,0.468,100,3.631,0.275,0.77,0.333333333,K4K8 MO,15022024_Pos006_K4K8 MO,3.217,,
106,2,2545.289,121.681,108.641,116.209,269.499,119.531,27.112,36.557,0.44,100,4.409,0.227,0.804,0.666666667,K4K8 MO,15022024_Pos006_K4K8 MO,2.856,,
107,3,1307.38,123.82,111.089,111.564,236.936,95.577,17.416,37.816,0.293,100,5.488,0.182,0.62,1,K4K8 MO,15022024_Pos006_K4K8 MO,2.365,,
108,4,1203.878,124.305,109.976,112.457,225.718,91.973,16.666,38.056,0.297,100,5.519,0.181,0.614,1.333333333,K4K8 MO,15022024_Pos006_K4K8 MO,2.289,,
109,5,995.008,124.826,111.183,111.948,217.217,85.827,14.761,37.544,0.265,100,5.814,0.172,0.561,1.666666667,K4K8 MO,15022024_Pos006_K4K8 MO,2.194,,
110,6,882.848,125.317,112.879,110.617,207.947,79.448,14.149,36.747,0.257,100,5.615,0.178,0.569,2,K4K8 MO,15022024_Pos006_K4K8 MO,2.124,,
111,7,771.92,124.566,114.166,109.631,205.374,72.678,13.523,36.473,0.23,100,5.374,0.186,0.531,2.333333333,K4K8 MO,15022024_Pos006_K4K8 MO,1.883,,
112,8,728.281,124.845,113.839,110.242,201.558,72.665,12.761,35.647,0.225,100,5.694,0.176,0.549,2.666666667,K4K8 MO,15022024_Pos006_K4K8 MO,1.832,,
113,9,595.217,124.625,115.835,108.677,193.788,63.659,11.905,36.6,0.199,100,5.347,0.187,0.514,3,K4K8 MO,15022024_Pos006_K4K8 MO,1.962,,
114,10,555.59,125.602,115.698,108.606,185.631,62.997,11.229,37.569,0.203,100,5.61,0.178,0.529,3.333333333,K4K8 MO,15022024_Pos006_K4K8 MO,2.17,,
115,11,451.63,125.043,119.519,105.968,150.961,46.743,12.302,42.016,0.249,100,3.8,0.263,0.663,3.666666667,K4K8 MO,15022024_Pos006_K4K8 MO,2.469,,
116,12,441.178,125.184,117.8,107.033,145.998,48.073,11.685,41.71,0.26,100,4.114,0.243,0.712,4,K4K8 MO,15022024_Pos006_K4K8 MO,2.441,,
117,13,398.489,125.415,116.646,108.111,141.323,46.391,10.937,41.649,0.251,100,4.242,0.236,0.716,4.333333333,K4K8 MO,15022024_Pos006_K4K8 MO,2.389,,
118,14,367.625,125.117,115.539,108.802,137.74,45.638,10.256,40.631,0.243,100,4.45,0.225,0.723,4.666666667,K4K8 MO,15022024_Pos006_K4K8 MO,2.635,,
119,15,315.891,123.725,115.794,108.902,122.262,40.543,9.92,41.372,0.266,100,4.087,0.245,0.735,5,K4K8 MO,15022024_Pos006_K4K8 MO,3.11,,
120,1,5392.674,118.186,89.195,140.589,377.974,140.95,48.714,0.871,,100,,,,0.333333333,K4K8 MO,15022024_Pos010_K4K8 MO,3.248,,
121,2,3900.062,118.895,88.958,135.897,332.242,123.948,40.063,178.391,,100,,,,0.666666667,K4K8 MO,15022024_Pos010_K4K8 MO,3.554,,
122,3,2492.605,122.017,89.792,131.08,274.107,106.564,29.782,178.279,,100,,,,1,K4K8 MO,15022024_Pos010_K4K8 MO,2.612,,
123,4,2044.295,123.993,89.067,129.217,251.702,97.594,26.67,178.174,,100,,,,1.333333333,K4K8 MO,15022024_Pos010_K4K8 MO,2.185,,
124,5,1933.461,124.754,89.743,128.161,244.876,95.596,25.752,177.788,,100,,,,1.666666667,K4K8 MO,15022024_Pos010_K4K8 MO,2.068,,
125,6,1749.367,125.497,89.587,127.665,237.568,93.297,23.874,178.073,,100,,,,2,K4K8 MO,15022024_Pos010_K4K8 MO,1.948,,
126,7,1588.794,126.322,89.582,127.334,229.287,88.978,22.735,178.655,,100,,,,2.333333333,K4K8 MO,15022024_Pos010_K4K8 MO,1.83,,
127,8,1367.571,127.365,88.415,126.931,220.631,86.128,20.217,179.014,,100,,,,2.666666667,K4K8 MO,15022024_Pos010_K4K8 MO,1.714,,
128,9,1275.413,128.062,85.921,126.594,213.156,81.86,19.838,179.389,,100,,,,3,K4K8 MO,15022024_Pos010_K4K8 MO,1.635,,
129,10,1070.286,129.853,87.084,126.144,201.053,76.325,17.854,179.569,,100,,,,3.333333333,K4K8 MO,15022024_Pos010_K4K8 MO,1.46,,
130,11,932.33,131.387,87.574,125.883,189.293,72.091,16.466,179.956,,100,,,,3.666666667,K4K8 MO,15022024_Pos010_K4K8 MO,1.345,,
131,12,760.623,133.255,88.92,125.734,175.034,65.568,14.77,0.675,,100,,,,4,K4K8 MO,15022024_Pos010_K4K8 MO,1.229,,
132,13,563.027,137.031,88.381,125.019,162.831,56.536,12.68,0.848,,100,,,,4.333333333,K4K8 MO,15022024_Pos010_K4K8 MO,0.997,,
133,14,545.091,136.009,91.219,124.304,153.115,58.547,11.854,2.073,,100,,,,4.666666667,K4K8 MO,15022024_Pos010_K4K8 MO,0.906,,
134,15,467.068,136.1,91.142,123.819,134.898,53.271,11.163,0.055,,100,,,,5,K4K8 MO,15022024_Pos010_K4K8 MO,0.882,,
135,1,5454.402,119.192,98.91,137.972,310.464,124.408,55.822,177.583,,100,,,,0.333333333,K4K8 MO,15022024_Pos013_K4K8 MO,3.722,,
136,2,4495.431,119.77,98.873,138.778,300.973,110.776,51.67,3.353,,100,,,,0.666666667,K4K8 MO,15022024_Pos013_K4K8 MO,3.461,,
137,3,3302.499,121.038,94.861,136.45,257.815,98.619,42.637,0.462,,100,,,,1,K4K8 MO,15022024_Pos013_K4K8 MO,3.031,,
138,4,2694.084,122.171,95.39,135.909,230.804,88.178,38.901,178.696,,100,,,,1.333333333,K4K8 MO,15022024_Pos013_K4K8 MO,2.75,,
139,5,2257.376,123.334,96.421,135.661,205.328,80.896,35.529,176.083,,100,,,,1.666666667,K4K8 MO,15022024_Pos013_K4K8 MO,2.512,,
140,6,1481.127,126.764,93.182,134.629,167.199,67.415,27.973,175.028,,100,,,,2,K4K8 MO,15022024_Pos013_K4K8 MO,1.967,,
141,7,1203.842,128.968,92.394,133.518,150.075,62.123,24.673,177.012,,100,,,,2.333333333,K4K8 MO,15022024_Pos013_K4K8 MO,1.725,,
142,8,1006.481,131.274,92.112,133.772,134.998,54.964,23.315,179.94,,100,,,,2.666666667,K4K8 MO,15022024_Pos013_K4K8 MO,1.521,,
143,9,862.366,133.545,92.346,133.413,126.354,51.277,21.413,179.526,,100,,,,3,K4K8 MO,15022024_Pos013_K4K8 MO,1.359,,
144,10,762.805,135.578,92.629,133.219,114.576,46.366,20.947,178.722,,100,,,,3.333333333,K4K8 MO,15022024_Pos013_K4K8 MO,1.25,,
145,11,636.78,138.356,93.124,133.267,103.771,41.987,19.31,1.5,,100,,,,3.666666667,K4K8 MO,15022024_Pos013_K4K8 MO,1.111,,
146,12,557.385,140.239,92.498,133.239,97.536,39.031,18.183,178.743,,100,,,,4,K4K8 MO,15022024_Pos013_K4K8 MO,1.004,,
147,13,504.842,141.049,93.273,132.842,91.334,36.646,17.54,179.175,,100,,,,4.333333333,K4K8 MO,15022024_Pos013_K4K8 MO,1.011,,
148,14,484.148,141.64,93.992,132.873,87.628,34.725,17.752,179.61,,100,,,,4.666666667,K4K8 MO,15022024_Pos013_K4K8 MO,0.979,,
149,15,465.954,142.002,94.266,133.088,87.563,34.451,17.221,0.394,,100,,,,5,K4K8 MO,15022024_Pos013_K4K8 MO,0.95,,
150,1,7751.863,112.78,108.107,139.371,403.127,153.698,64.217,10.03,0.599,100,2.393,0.418,0.911,0.333333333,K4K8 MO,15022024_Pos015_K4K8 MO,,,
151,2,7107.693,112.728,108.786,140.212,368.885,143.121,63.232,10.15,0.656,100,2.263,0.442,0.933,0.666666667,K4K8 MO,15022024_Pos015_K4K8 MO,,,
152,3,5734.643,112.68,108.884,140.059,328.683,130.412,55.988,8.689,0.667,100,2.329,0.429,0.956,1,K4K8 MO,15022024_Pos015_K4K8 MO,,,
153,4,4567.331,112.671,110.42,140.727,297.986,122.851,47.336,8.906,0.646,100,2.595,0.385,0.956,1.333333333,K4K8 MO,15022024_Pos015_K4K8 MO,,,
154,5,3552.579,112.687,109.767,140.739,274.404,111.397,40.605,7.287,0.593,100,2.743,0.365,0.923,1.666666667,K4K8 MO,15022024_Pos015_K4K8 MO,,,
155,6,2695.281,112.769,109.027,141.054,257.607,107.42,31.947,8.505,0.51,100,3.362,0.297,0.901,2,K4K8 MO,15022024_Pos015_K4K8 MO,,,
156,7,2172.421,112.818,109.293,141.053,231.785,100.41,27.547,7.218,0.508,100,3.645,0.274,0.937,2.333333333,K4K8 MO,15022024_Pos015_K4K8 MO,,,
157,8,1908.967,112.904,110.392,140.889,214.495,91.184,26.656,7.195,0.521,100,3.421,0.292,0.946,2.666666667,K4K8 MO,15022024_Pos015_K4K8 MO,,,
158,9,1637.383,113.013,109.612,140.998,188.315,80.662,25.846,5.632,0.58,100,3.121,0.32,0.961,3,K4K8 MO,15022024_Pos015_K4K8 MO,,,
159,10,1146.549,113.216,108.907,141.408,158.574,70.034,20.845,5.561,0.573,100,3.36,0.298,0.98,3.333333333,K4K8 MO,15022024_Pos015_K4K8 MO,,,
160,11,984.345,113.365,109.856,141.691,143.058,63.453,19.752,5.607,0.604,100,3.213,0.311,0.977,3.666666667,K4K8 MO,15022024_Pos015_K4K8 MO,,,
161,12,831.361,113.489,110.483,142.149,135.164,60.787,17.414,6.869,0.572,100,3.491,0.286,0.993,4,K4K8 MO,15022024_Pos015_K4K8 MO,,,
162,13,650.435,113.676,110.969,142.293,122.507,54.705,15.139,5.379,0.545,100,3.614,0.277,1,4.333333333,K4K8 MO,15022024_Pos015_K4K8 MO,,,
163,14,532.926,113.687,111.17,141.665,116.637,53.026,12.796,5.54,0.492,100,4.144,0.241,0.988,4.666666667,K4K8 MO,15022024_Pos015_K4K8 MO,,,
164,15,462.399,113.656,111.879,141.484,107.076,48.752,12.076,4.012,0.507,100,4.037,0.248,0.988,5,K4K8 MO,15022024_Pos015_K4K8 MO,,,
165,1,3477.689,281.248,124.246,133.589,263.527,93.691,47.261,25.736,0.629,100,1.982,0.504,0.867,0.333333333,Control,27022023_Pos001_Control,2.753,,
166,2,1854.101,295.217,124.902,132.019,207.082,72.913,32.377,28.445,0.543,100,2.252,0.444,0.825,0.666666667,Control,27022023_Pos001_Control,2.353,,
167,3,1137.398,298.258,124.158,128.96,173.048,59.996,24.138,26.448,0.477,100,2.486,0.402,0.777,1,Control,27022023_Pos001_Control,2.192,,
168,4,947.286,294.4,125.835,126.191,148.246,55.359,21.787,28.683,0.542,100,2.541,0.394,0.813,1.333333333,Control,27022023_Pos001_Control,2.187,,
169,5,756.224,294.498,124.86,127.604,126.741,47.01,20.482,22.56,0.592,100,2.295,0.436,0.857,1.666666667,Control,27022023_Pos001_Control,2.224,,
170,6,764.811,294.541,125.67,126.993,132.567,46.797,20.809,25.874,0.547,100,2.249,0.445,0.831,2,Control,27022023_Pos001_Control,2.239,,
171,7,709.805,293.816,125.724,127.411,134.194,43.952,20.562,26.685,0.495,100,2.137,0.468,0.786,2.333333333,Control,27022023_Pos001_Control,2.25,,
172,8,583.322,295.803,125.079,128.143,111.89,41.558,17.872,26.367,0.586,100,2.325,0.43,0.883,2.666666667,Control,27022023_Pos001_Control,2.213,,
