LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID3486,3486,1,95025.0,333.80890843909384,934.7919148443584,0.0,11.0,11,173.91870297498434,1,,16.99876882280519,17.0,0.0,23.0,1615410.0,0.22546632145246692,0.11037838825524195,14.989213030870657,4.199489269733875,3.012680531006227,246.67114726799753,132.30839237735378,0.38864527503126917,1.8643650855077454,95025.9999999998,1297.5326876062782,0.7092767070599841,0.9661679553854192,4.209175977844558
ID3523,3523,2,84330.0,415.09754034871406,1303.779680608906,0.0,10.0,10,163.8560413284489,1,,28.001540850312317,28.0,25.0,35.0,2362462.0,0.2805360074356752,0.09193992217389278,16.808490043922053,-6.755844764557544,5.555645192961043,260.01803762325613,107.36693018759455,-0.7225732464298039,2.421770252431966,84347.99999999993,1284.2375512740286,0.6426787261475614,0.980209410698306,4.421890357874077
ID3427,3427,2,79742.0,423.1360098971003,1296.5278376842123,0.0,8.0,8,159.33137375514602,1,,28.002030915040056,28.0,0.0,37.0,2233638.0,0.22885384328383007,0.06885958525835732,15.765402484430096,-10.085230831158709,7.8057184761620135,249.40155538351982,109.33750947288894,2.426221605985052,2.281024660117769,79753.99999999997,1236.45614320805,0.6555486157793097,0.978156619856503,4.378269389578297
ID3204,3204,2,88871.0,392.13575240088045,1325.6299269142357,0.0,4.0,4,168.21083226939737,1,,13.997087105662711,14.0,0.0,21.0,1244551.0,0.19999115868762612,0.06254148546228663,8.239088372406682,-5.201275134899556,-1.5737268289382993,238.99543488958074,125.73861037621657,-0.7990060578420607,1.9007322744739563,88890.99999999999,1275.9275084568276,0.6861446074271509,0.9408097710182198,4.279540145669614
ID3109,3109,2,82398.0,320.7156224029893,1391.9779247774281,0.0,1.0,1,161.9789178675059,1,,16.96137333850781,17.0,0.0,17.0,1398567.0,0.7655328578601929,0.5306978010209259,15.363317400119112,0.03340563957390814,0.8906575822176073,193.74200060643383,137.96100226554933,-1.0233052058424261,1.4043243918561596,82426.50000000003,1136.3204976100749,0.802185932275143,0.9485158313243311,3.957923640703716
ID3365,3365,2,83366.0,414.7346138702515,1309.1087157256009,0.0,6.0,6,162.9223810712428,1,,28.000983130912275,28.0,0.0,37.0,2335478.0,0.3073705401649485,0.09539800078675388,15.867494804793935,-5.852028282545987,5.281097767368693,250.20746065380789,108.7592392172812,2.3532937066586315,2.3005628069348556,83389.50000000013,1258.7514218946192,0.6613651181963225,0.9825035788134261,4.358974106806883
ID3525,3525,2,87795.0,416.9457687248376,1306.790535602769,0.0,12.0,12,167.17966503562766,1,,11.999897507146029,12.0,0.0,39.0,1053723.0,0.489556100659001,0.09241273909402074,4.147153900088149,-6.848388124834576,8.62127641919371,277.8802721702667,103.10072337945309,2.3406285595346876,2.6952310620319606,87804.50000000004,1368.5389629919628,0.5891315823820602,0.9707839950468233,4.618476938775826
ID3526,3526,2,85996.0,411.8264358460032,1307.0109276432454,0.0,11.0,11,165.45045916252556,1,,25.99272101487192,26.0,0.0,32.0,2235400.0,0.4460347696762342,0.2512778059985862,23.40525712134647,-5.958973239953922,4.795759906101097,262.2238445410053,108.28763580561413,2.406861461722783,2.4215492617432357,85997.5,1316.7857166053989,0.6232545765192428,0.9730700687392154,4.490267291089538
ID3143,3143,2,113922.0,298.8981957461753,1506.231458840917,0.0,0.0,0,190.40667073823428,1,,12.995372524915485,13.0,0.0,23.0,1479978.0,0.3319710550056931,0.36748236794006156,21.03939665057518,3.328060029277055,-10.364002940322095,226.07813311924824,180.05872714950112,-0.795701116446077,1.2555799804779115,113897.5000000002,1557.3216616813472,0.5901567878546081,0.7893432852370869,4.614463644300611
ID3274,3274,2,89236.0,365.40742068872777,1355.6200791151653,0.0,2.0,2,168.53788687824147,1,,13.996661139246179,14.0,0.0,38.0,1249230.0,0.3297209804821156,0.06559137699603737,5.225933901572656,-4.3009384409613975,-2.0127387683646414,227.07916313073432,131.8354842886943,2.2028410663535514,1.7224434252729313,89236.99999999996,1271.980774508881,0.6930965407360019,0.9475606712998599,4.258023621533648
