PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 13, filenames: A:[13]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[14]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
79,865,-0.3058948815,-0.5950259566,1
79,897,-0.09909497201,-0.8708337545,1
79,929,0.05363059044,-1.172595501,1
79,961,0.8337286711,-0.5135914683,1
79,993,1.61169982,-0.04499143362,1
79,1025,2.247125626,0.6073954105,1
79,1057,2.8484478,1.179221392,1
79,1089,2.235539436,3.212649345,1
79,1121,2.522086143,3.032875538,1
79,1153,5.418604851,2.511465073,1
79,1185,5.652478695,2.005607605,1
79,1217,6.551107407,1.216367006,1
79,1249,7.29012394,1.116143823,1
79,1281,7.770206451,1.057898521,1
79,1313,8.626681328,0.8515792489,1
79,1345,9.630703926,0.7814874649,1
79,1377,9.549881935,0.5406801701,1
79,1409,13.56908226,-0.246073395,1
79,1441,11.2679348,-1.002864838,1
79,1473,9.18416214,-0.4402307272,1
79,1505,5.487902641,-0.03639578819,1
79,1537,4.231565475,0.4117740393,1
79,1569,4.639892101,-1.432010055,1
79,1601,3.108923435,-2.682702541,1
79,1633,5.49445343,-1.068828106,1
79,1665,5.12298584,-0.3702852726,1
79,1697,2.650186539,-0.8987816572,1
79,1729,2.614288807,-0.6949259043,1
79,1761,3.731652737,0.1899534166,1
79,1793,3.103534698,0.2447043657,1
79,1825,3.516120911,-0.2176365852,1
79,1857,3.309734106,0.6101458669,1
79,1889,3.644716501,2.219381332,1
79,1921,3.054296017,1.419745445,1
79,1953,1.351463914,0.2470879555,1
79,1985,-15.86382294,-12.49144173,1
79,2017,-0.5114824772,-3.543787003,1
111,33,-0.07633459568,-0.01653569192,1
111,65,0.07044968009,0.06098477542,1
111,97,-0.06176000834,0.01853698492,1
111,129,-0.2374575287,-0.055483073,1
111,161,-0.05156578124,0.2608624697,1
111,193,-0.1812868714,0.3535962105,1
111,225,-0.4566701651,0.03017487377,1
111,257,-0.2208797634,-0.09143241495,1
111,289,0.3901725709,-0.01977974176,1
111,321,0.3009989858,0.1484180689,1
111,353,-0.02669664472,0.5413778424,1
111,385,-0.02912676334,0.4529862404,1
111,417,-1.445594788,9.637879372,1
111,449,-0.573800683,-0.8626047373,1
111,481,-6.778755188,-1.511119366,1
111,513,-0.9592392445,-0.7416152954,1
111,545,-0.1444859505,-3.470167637,1
111,577,12.63256454,-16.1115036,1
111,609,-2.628857851,-2.903854847,1
111,641,-3.669662714,-2.612321615,1
111,673,-3.93048048,-1.87428689,1
111,705,-3.413689613,-1.792280078,1
111,737,-2.088352203,-0.09540140629,1
