PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 9, filenames: A:[9]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[10]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
79,161,0.2559645176,0.3573489189,1
79,193,0.4409820735,0.55202806,1
79,225,-0.1700063646,0.4591678381,1
79,257,-0.05126117915,0.390106231,1
79,289,0.2068766505,-0.01731020212,1
79,321,-0.007456459105,-0.4155370593,1
79,353,0.1054399759,-0.1150876284,1
79,385,0.1384357363,0.05682981014,1
79,417,0.1156518683,0.1137384772,1
79,449,0.3443766236,0.5949084163,1
79,481,0.4523399472,0.3379927874,1
79,513,0.2885983884,0.6243511438,1
79,545,0.01918371022,0.8138334751,1
79,577,-0.01547974348,0.1940810382,1
79,609,-0.04581785202,-0.03798225522,1
79,641,0.02348649502,-0.3421419263,1
79,673,-0.3927205205,-1.403420925,1
79,705,-0.907094717,-0.6122999191,1
79,737,-0.8444232345,-0.05880604684,1
79,769,-0.5351834297,0.334885776,1
79,801,-1.932097912,0.6150004864,1
79,833,-3.29949832,1.081063986,1
79,865,-3.012609243,1.779063225,1
79,897,-2.181243181,3.475008726,1
79,929,-1.832526922,5.869934559,1
79,961,-1.451116562,5.407477379,1
79,993,-0.3739494681,5.616055012,1
79,1025,1.168568134,6.358988762,1
79,1057,2.713690519,7.198221684,1
79,1089,4.093471527,8.388088226,1
79,1121,5.035746574,7.030871868,1
79,1153,4.990811825,6.571158409,1
79,1185,4.818858147,7.193027496,1
79,1217,5.400599957,9.310795784,1
79,1249,6.178092003,10.00614357,1
79,1281,5.789263248,10.24134254,1
79,1313,4.553839207,10.47635174,1
79,1345,4.534164429,10.2579422,1
79,1377,8.69377327,10.03338051,1
79,1409,10.58559227,9.410391808,1
79,1441,10.24006176,7.485972881,1
79,1473,8.506158829,5.09225893,1
79,1505,8.904734612,4.791500568,1
79,1537,10.79539299,4.768181801,1
79,1569,9.892947197,4.498493195,1
79,1601,8.064832687,2.922353029,1
79,1633,7.824605942,2.476691961,1
79,1665,7.967216492,3.029770374,1
79,1697,6.685703278,2.541010857,1
79,1729,4.989859581,1.249557137,1
79,1761,4.362398624,0.05179205537,1
79,1793,1.992556572,-0.4411025047,1
79,1825,3.068248749,-0.5214461684,1
79,1857,5.577207565,0.450849086,1
79,1889,5.32656908,2.270986795,1
79,1921,4.371842384,3.01017642,1
79,1953,1.980889797,3.15049243,1
79,1985,3.646641731,1.486262441,1
79,2017,-0.0578110218,-2.975364923,1
111,33,-0.5204068422,0.9748669863,1
111,65,-0.5254390836,0.1486703157,1
111,97,-0.3773093224,-0.3389722109,1
111,129,-0.2808899879,-0.1783695221,1
111,161,0.02694875747,-0.003037236631,1
111,193,0.4214164019,-0.0005948245525,1
111,225,0.2520052791,-0.08895550668,1
111,257,-0.1199063957,-0.106604591,1
111,289,0.09854437411,-0.05261839926,1
111,321,0.3098169565,0.01920369267,1
111,353,0.4174800813,-0.1189193428,1
111,385,0.04482188821,-0.01905119419,1
111,417,-0.2073242068,0.475805223,1
111,449,0.08516778797,0.3058562875,1
111,481,0.3379757702,0.09627699852,1
111,513,0.3082469106,0.4385856092,1
111,545,0.2439925373,0.2924903035,1
111,577,-0.1303813756,0.1847669482,1
111,609,-0.3165289164,0.3027576208,1
111,641,-0.009954452515,0.4167159796,1
111,673,-0.9730699062,-1.106668234,1
111,705,-1.468029499,-0.6630820036,1
111,737,-0.9210604429,-0.2803723812,1
111,769,-0.4221601486,0.5873310566,1
111,801,-1.215982199,1.005683422,1
111,833,-2.079189301,0.8087974787,1
111,865,-1.331626892,-0.3482835293,1
111,897,-1.686205387,3.279852629,1
111,929,-2.630330324,5.995165825,1
111,961,-0.3817606866,6.528082371,1
111,993,1.068680286,6.668912888,1
111,1025,1.606151342,7.256417274,1
111,1057,2.557322264,8.156448364,1
111,1089,4.320654869,8.9176054,1
111,1121,5.386444569,9.049413681,1
111,1153,5.456160545,7.284827232,1
111,1185,6.117118835,7.22837925,1
111,1217,7.306231976,9.962663651,1
111,1249,7.104488373,10.14214039,1
111,1281,7.171304226,10.15799141,1
111,1313,7.503047943,10.33038902,1
111,1345,7.684488297,10.39538479,1
111,1377,8.778033257,9.698415756,1
111,1409,8.779548645,8.837038994,1
111,1441,8.904116631,6.738012791,1
111,1473,10.26038074,5.238499641,1
111,1505,10.68270969,4.48876667,1
111,1537,10.82883453,4.471410751,1
111,1569,10.19864941,4.14158535,1
111,1601,10.07819176,2.587773323,1
111,1633,10.132761,2.298062086,1
111,1665,9.660036087,3.781869888,1
111,1697,8.796991348,2.252182961,1
111,1729,8.227495193,1.39292109,1
111,1761,8.709133148,0.5842673779,1
111,1793,8.444507599,0.2844315767,1
111,1825,6.73641777,-0.1505617797,1
111,1857,6.51872015,1.02219975,1
111,1889,5.946440697,0.1518141627,1
111,1921,4.760270596,-0.09797763824,1
111,1953,2.549396515,-0.1507511735,1
111,1985,4.212923527,0.2216432691,1
111,2017,5.80175972,-0.5421721935,1
143,33,-0.3795931339,1.004225254,1
143,65,-0.08134068549,-0.09209564328,1
143,97,-0.1200288534,-0.5466128588,1
143,129,-0.0779877007,-0.09937334061,1
143,161,0.07117545605,0.07899951935,1
143,193,0.3253002167,-0.1064607799,1
143,225,0.2997524142,-0.01448503137,1
143,257,0.01907063648,-0.2352226377,1
143,289,0.1023051292,-0.1526058912,1
143,321,0.1599594355,0.1625719965,1
143,353,0.1113466322,0.1716227829,1
143,385,-0.16563043,0.1558967829,1
143,417,-0.3505491614,0.4370395243,1
143,449,-0.195505619,-0.212492913,1
143,481,0.0005114078522,-0.3760582209,1
143,513,-0.243838191,-0.5793627501,1
143,545,-11.19432735,-0.3175073862,1
143,577,-8.972630501,-1.11911869,1
143,609,-0.7806967497,-1.568905115,1
143,641,-1.139193058,-1.330514669,1
143,673,-0.9610359669,0.1726298928,1
143,705,-0.2950338721,-0.01715540886,1
143,737,0.1009744704,-0.05050390959,1
143,769,-0.1914690733,1.06886816,1
143,801,-0.816306293,1.484107137,1
143,833,-0.6659684181,1.515038013,1
143,865,-1.112271428,0.5543634892,1
143,897,-1.704078674,2.005635262,1
143,929,-1.471116424,6.341576099,1
143,961,0.7110522985,7.129756927,1
143,993,2.103796959,7.281681061,1
143,1025,2.292060614,8.093631744,1
143,1057,2.452714682,8.238532066,1
143,1089,4.828337193,9.03269577,1
143,1121,6.08736372,9.530587196,1
143,1153,6.471124172,8.073882103,1
143,1185,7.509538651,8.275811195,1
143,1217,7.740505219,9.615859985,1
143,1249,7.259354591,10.09199333,1
143,1281,8.169844627,10.24700832,1
143,1313,8.632443428,10.53778362,1
143,1345,8.889529228,10.60279274,1
143,1377,8.714137077,9.459369659,1
143,1409,7.979307175,8.16318512,1
143,1441,9.074626923,6.621705055,1
143,1473,10.92994976,5.111087322,1
143,1505,10.70690727,2.908902168,1
143,1537,10.65066338,3.204048634,1
143,1569,10.54525661,3.648343801,1
143,1601,10.9679184,2.392268181,1
143,1633,13.24918747,2.65337801,1
143,1665,10.10104561,5.769449711,1
143,1697,11.09632874,1.249176979,1
143,1729,11.80033684,0.8318243027,1
143,1761,12.30880451,0.9926977158,1
143,1793,11.45336342,1.032728434,1
143,1825,10.10033607,0.8734089732,1
143,1857,8.410985947,0.01285265386,1
143,1889,7.34852314,-0.5381227136,1
143,1921,0.6641526222,-0.3061416745,1
143,1953,4.427033424,-0.4163829088,1
143,1985,4.784338474,-0.4485894144,1
143,2017,6.848031998,0.1141684055,1
175,33,-0.09849637747,0.8151441216,1
175,65,0.07677179575,-0.2191717327,1
175,97,-0.02502115257,-0.4968461692,1
175,129,0.02237443253,0.1449605823,1
175,161,0.2542933226,0.3649721742,1
175,193,0.08406101167,-0.01703488827,1
175,225,-0.06850040704,0.05915784836,1
175,257,0.1038222313,-0.08496710658,1
175,289,0.135488525,-0.3175860643,1
175,321,0.1495619714,0.06217314303,1
175,353,-0.08825878799,0.3616467118,1
175,385,-0.2457469702,0.002009063959,1
175,417,-0.4140814543,-0.4082179666,1
175,449,-0.3240240812,-0.7353543043,1
175,481,0.3022331595,-0.1044608355,1
175,513,-0.8701525927,-0.7553626299,1
175,545,-6.876704216,-0.7681492567,1
175,577,-7.034294605,-0.8336638212,1
175,609,-1.313323021,-1.154446125,1
175,641,-1.218065739,-0.9481408,1
175,673,-1.385875702,0.4055479765,1
175,705,-0.6241375208,0.7093682289,1
175,737,0.0563544482,0.3489404917,1
175,769,-0.4193573296,0.9949505329,1
175,801,-0.01262378693,1.787005544,1
175,833,0.7026005387,2.464886904,1
175,865,0.5332962275,1.54294014,1
175,897,-0.4713039696,2.741184711,1
175,929,0.06071233749,7.320915222,1
175,961,1.26096034,7.856820107,1
175,993,2.677780867,7.710951805,1
175,1025,4.064653397,7.377458096,1
175,1057,4.921554089,7.924624443,1
175,1089,5.833147526,9.04706192,1
175,1121,6.538427353,9.460205078,1
175,1153,7.380823135,8.980417252,1
175,1185,9.363672256,8.898649216,1
175,1217,8.780554771,9.405205727,1
175,1249,8.584283829,9.740361214,1
175,1281,9.310098648,10.50694084,1
175,1313,9.707659721,10.45845509,1
175,1345,9.473722458,10.06725502,1
175,1377,7.762047768,8.976895332,1
175,1409,8.380632401,7.291296959,1
175,1441,10.15454292,7.164361477,1
175,1473,11.6695919,5.93586874,1
175,1505,12.12058067,4.1772995,1
175,1537,11.70388985,3.979000568,1
175,1569,11.31286049,3.692793608,1
175,1601,11.93988228,2.828133106,1
175,1633,14.33819675,2.788930178,1
175,1665,14.28140354,3.268776417,1
175,1697,13.75643158,-0.6658732891,1
175,1729,15.22055626,0.6984360218,1
175,1761,15.11717701,1.209785461,1
175,1793,13.06557655,0.7093362808,1
175,1825,11.033494,0.6224969625,1
175,1857,9.190325737,-0.3960599601,1
175,1889,6.828004837,-1.063073039,1
175,1921,6.282603741,-0.008302211761,1
175,1953,5.910059452,-0.5099723935,1
175,1985,5.247495651,0.2350205332,1
175,2017,4.626814842,0.05658841133,1
207,33,-0.0392062366,0.5818465948,1
207,65,0.08537448198,-0.03358282894,1
207,97,-0.05833207443,-0.04220207036,1
207,129,-0.1198033392,0.1561132222,1
207,161,0.04172070324,-0.03112816811,1
207,193,-0.3832372129,-0.2009111047,1
207,225,-0.2120774388,-0.1018610299,1
207,257,0.1863129139,0.003401607275,1
207,289,0.06027888507,-0.1691340208,1
207,321,0.06195808202,-0.1560907662,1
207,353,-0.06056194007,0.1075376645,1
207,385,-0.1385350525,0.1148108393,1
207,417,-0.4159406722,-0.2189798951,1
207,449,2.388864517,18.39747047,1
207,481,-0.5384247303,-0.521261692,1
207,513,-1.648032427,-0.4893450737,1
207,545,-6.666853905,-1.095467567,1
207,577,-6.707709312,-1.067491412,1
207,609,-1.639350772,-1.021602035,1
207,641,-1.44967556,-0.3219692111,1
207,673,-1.494180918,0.1582915187,1
207,705,-0.5733283758,0.3613872528,1
207,737,0.08921577036,0.8554127216,1
207,769,0.3486477137,1.178325176,1
207,801,1.039085031,1.88380909,1
207,833,1.773227572,2.360391617,1
207,865,2.087045908,2.070969343,1
207,897,1.922049999,3.286420107,1
207,929,1.827411413,6.974321842,1
207,961,2.87489295,8.622634888,1
207,993,4.381624222,7.981256485,1
207,1025,7.115176678,7.048089504,1
207,1057,8.341617584,8.252414703,1
207,1089,6.430817127,8.969402313,1
207,1121,7.068842888,9.277235985,1
207,1153,8.215629578,9.461120605,1
207,1185,8.978250504,8.887201309,1
207,1217,9.384127617,9.002202034,1
207,1249,10.11715698,9.84896946,1
207,1281,10.62831211,10.20118427,1
207,1313,11.93046379,9.890717506,1
207,1345,11.19083214,9.408761978,1
207,1377,9.379758835,7.966843605,1
207,1409,9.140993118,5.764389038,1
207,1441,11.55991268,5.935827255,1
207,1473,12.37802982,5.413523674,1
207,1505,12.77028847,4.522186279,1
207,1537,12.72432232,4.262153149,1
207,1569,12.44697571,3.815744638,1
207,1601,13.52533627,2.815046787,1
207,1633,16.4587574,1.245530605,1
207,1665,17.42677498,-0.3105020523,1
207,1697,15.59357262,-0.740362525,1
207,1729,16.61083794,-9.767463684,1
207,1761,17.46881676,0.2002919912,1
207,1793,15.0919342,0.01373380423,1
207,1825,12.31515789,-1.03167212,1
207,1857,9.96340847,-0.5848835111,1
207,1889,8.629947662,-0.7624314427,1
207,1921,8.412309647,-1.498905063,1
207,1953,6.773997784,-1.099322557,1
207,1985,5.475737095,-0.08904236555,1
207,2017,2.447856903,-0.01652908325,1
239,33,0.1334704906,0.4144034684,1
239,65,-0.02026724815,-0.1272155643,1
239,97,-0.1268149912,-0.0506798327,1
239,129,-0.01229242235,0.04505982995,1
239,161,-0.003524936736,-0.08149492741,1
239,193,-0.166572839,-0.1846179664,1
239,225,-0.03881008923,-0.2350837588,1
239,257,-0.009299583733,0.1186773404,1
239,289,0.1122137234,0.1847269833,1
239,321,0.1316198111,-0.07291704416,1
239,353,-0.01084548235,-0.1440561712,1
239,385,-0.04032629728,0.09082633257,1
239,417,-0.1310187578,0.04720616341,1
239,449,-1.071125031,-1.269569159,1
239,481,-0.9747061729,-1.303869724,1
239,513,6.04300499,-16.52936935,1
239,545,-2.430879116,-2.869262934,1
239,577,-1.983379722,-1.896474838,1
239,609,-1.459845543,-0.9221448302,1
239,641,-1.243299007,-0.08092421293,1
239,673,-0.9272910357,0.4438043833,1
239,705,0.1336838305,0.6254176497,1
239,737,0.7627905607,1.287128448,1
239,769,1.168541789,1.228420734,1
239,801,1.661082745,2.167588472,1
239,833,2.493329525,2.537925243,1
239,865,3.299982548,2.733508587,1
239,897,3.588148594,4.013038635,1
239,929,4.749865055,8.044612885,1
239,961,7.532917976,10.44379139,1
239,993,8.461309433,10.0778389,1
239,1025,8.438775063,7.427933693,1
239,1057,8.390908241,8.056587219,1
239,1089,7.209507465,8.794910431,1
239,1121,8.087226868,9.345991135,1
239,1153,9.424796104,9.377778053,1
239,1185,11.49296379,10.10551929,1
239,1217,16.26015854,9.016872406,1
239,1249,17.72618675,7.378110886,1
239,1281,17.75146103,9.170575142,1
239,1313,13.38565445,9.285625458,1
239,1345,12.48912144,8.804926872,1
239,1377,11.93729496,7.527703285,1
239,1409,12.15227795,6.194535255,1
239,1441,13.22991657,5.260722637,1
239,1473,13.47347355,4.53762722,1
239,1505,13.82602692,4.361142159,1
239,1537,13.25222683,4.538518429,1
239,1569,14.00173378,3.954167366,1
239,1601,15.88128281,2.163740158,1
239,1633,17.96465683,-0.3510499001,1
239,1665,19.27412987,-1.671994328,1
239,1697,17.376297,-0.6832307577,1
239,1729,15.92749023,-1.991650939,1
239,1761,16.53286362,-1.200124979,1
239,1793,13.83224773,-0.5758560896,1
239,1825,13.30479431,-2.332937241,1
239,1857,11.43291378,-0.9865421057,1
239,1889,10.06376839,-1.054077148,1
239,1921,8.440198898,-1.200987339,1
239,1953,7.671423912,-1.027034283,1
239,1985,6.627367496,-1.985372543,1
239,2017,2.523664236,-0.4924213886,1
271,33,0.1965582222,0.5118304491,1
271,65,-0.08556096256,-0.1815124899,1
271,97,-0.09878370166,-0.2879231572,1
271,129,0.1156957969,-0.0652897507,1
271,161,-0.001188531518,0.06680992246,1
271,193,-0.1952092499,0.223374337,1
271,225,-0.06127784401,0.07708106935,1
271,257,-0.1732893288,0.1570221782,1
271,289,-0.1413942873,0.2564812303,1
271,321,-0.06156480312,0.118971318,1
271,353,-0.7298134565,-0.2692974508,1
271,385,-0.9616683722,-0.3727632761,1
271,417,-0.4514904618,0.00332736969,1
271,449,-0.6146537066,-1.070382833,1
271,481,-2.725674152,-2.018367767,1
271,513,-3.852581501,-2.766539097,1
271,545,-3.457899094,-1.968162417,1
271,577,-2.501589775,-0.7629116774,1
271,609,-1.55099678,0.144446373,1
271,641,-1.051871061,0.8082209826,1
271,673,-0.2970023155,1.662856102,1
271,705,1.148120522,2.46779871,1
271,737,1.580362082,1.942224503,1
271,769,1.823439956,1.16213727,1
271,801,1.968626261,3.217352867,1
271,833,2.233947754,3.188096523,1
271,865,3.508664131,3.444148779,1
271,897,4.136963367,4.989679337,1
271,929,6.361351967,11.06282902,1
271,961,5.806910515,11.50518227,1
271,993,6.957547665,11.75971031,1
271,1025,8.238398552,8.231158257,1
271,1057,8.304189682,6.965955734,1
271,1089,9.052322388,8.25992775,1
271,1121,9.737565994,8.764823914,1
271,1153,10.79463673,8.895484924,1
271,1185,16.21040726,12.42473888,1
271,1217,16.68719673,11.15690231,1
271,1249,18.28256226,10.95983601,1
271,1281,19.4922924,9.389781952,1
271,1313,17.8822403,8.596816063,1
271,1345,13.84991169,8.009950638,1
271,1377,13.50869656,6.946528435,1
271,1409,14.02397728,6.207827568,1
271,1441,14.24230194,4.736404896,1
271,1473,14.52070808,3.54602766,1
271,1505,16.74947357,4.95167017,1
271,1537,17.74734688,4.578708649,1
271,1569,17.41464615,2.979756117,1
271,1601,18.36616135,1.115303755,1
271,1633,18.70914268,-0.4964357615,1
271,1665,19.08563232,-1.835762382,1
271,1697,18.75797653,-0.8654786348,1
271,1729,18.45144081,-1.24781692,1
271,1761,18.0395813,-1.144632578,1
271,1793,14.48291016,-1.848605156,1
271,1825,13.47567654,-1.619114399,1
271,1857,13.24693966,-1.401800513,1
271,1889,11.15333843,-1.313066959,1
271,1921,8.919724464,-1.089574814,1
271,1953,8.193713188,-1.359297991,1
271,1985,6.485960484,-0.2412419915,1
271,2017,4.141100883,-0.5569802523,1
303,33,0.08212400973,1.000434637,1
303,65,0.09473587573,-0.03522078693,1
303,97,0.1634911001,-0.3615691066,1
303,129,0.2368593514,-0.2302879393,1
303,161,-0.007918454707,-0.03859710693,1
303,193,-0.1077776253,0.2650637031,1
303,225,0.05503822118,0.2676459551,1
303,257,-0.0897372663,0.07080030441,1
303,289,-0.2301861048,0.1287055016,1
303,321,-0.2450969219,0.4817298055,1
303,353,-0.8629451394,0.2877334356,1
303,385,-0.9313690662,-0.3606434464,1
303,417,-1.166822672,-2.703382492,1
303,449,-1.655921578,-1.604941368,1
303,481,-1.880733252,-1.366527557,1
303,513,-2.710505009,-1.908801436,1
303,545,-2.715394974,-0.9065846801,1
303,577,-1.370786428,0.5259313583,1
303,609,-0.6491969824,1.819738865,1
303,641,-0.200619489,2.085827112,1
303,673,0.661847353,3.337940216,1
303,705,1.025724769,3.642691135,1
303,737,0.9910281897,3.274389744,1
303,769,2.203193665,4.126094818,1
303,801,2.117915869,5.596104622,1
303,833,1.419975758,5.561144829,1
303,865,3.406828403,4.652516842,1
303,897,5.364803314,6.684345245,1
303,929,7.552725315,9.534009933,1
303,961,5.589915276,12.06130219,1
303,993,6.759207726,12.45965004,1
303,1025,8.438293457,9.444958687,1
303,1057,8.502601624,6.337826729,1
303,1089,10.35301495,6.746183395,1
303,1121,11.54322624,7.274297714,1
303,1153,17.6787796,13.43542576,1
303,1185,18.07305336,13.64011002,1
303,1217,17.90612984,10.92005539,1
303,1249,20.00861359,10.96915722,1
303,1281,20.74980354,11.41653061,1
303,1313,19.2837677,8.172204971,1
303,1345,14.76175594,7.369533539,1
303,1377,14.40960217,6.411164284,1
303,1409,20.5343399,5.777314186,1
303,1441,20.35019493,4.609496593,1
303,1473,22.92123032,0.1948359013,1
303,1505,22.62229347,0.5466125011,1
303,1537,22.81725121,0.7012686729,1
303,1569,16.39963531,-2.592907906,1
303,1601,18.93813896,-1.481576562,1
303,1633,19.37971115,-1.450998068,1
303,1665,20.25574684,-3.863213062,1
303,1697,19.2516098,-3.143893003,1
303,1729,18.74803734,-2.791282177,1
303,1761,18.35752296,-3.524870396,1
303,1793,14.89075279,-2.063503981,1
303,1825,15.02856541,-2.041648626,1
303,1857,14.63795376,-1.700102448,1
303,1889,11.74569702,-1.597896576,1
303,1921,9.428526878,-1.302063823,1
303,1953,8.516130447,-0.7575601339,1
303,1985,6.946858883,0.9430798888,1
303,2017,4.691217899,-0.7302321196,1
335,33,-0.1546747386,1.71426177,1
335,65,0.1237322018,-0.09474074841,1
335,97,0.1993016601,-0.3440724611,1
335,129,0.01019620895,-0.06972208619,1
335,161,-0.02296541631,-0.02218270302,1
335,193,0.1778450757,0.04753017426,1
335,225,-0.03057427704,0.04058533907,1
335,257,-0.1988120377,0.01878756285,1
335,289,-0.503869772,0.2368298769,1
335,321,-0.6250517964,1.128489971,1
335,353,-5.937402725,3.59471035,1
335,385,-0.6275716424,4.314543724,1
335,417,-1.497200727,-1.66401124,1
335,449,-1.372384071,-1.318223596,1
335,481,-0.5449240208,-0.05621671677,1
335,513,-1.521600246,-0.265397191,1
335,545,-2.217185497,0.33474195,1
335,577,-0.6177719831,1.662680387,1
335,609,1.891330481,2.784641266,1
335,641,3.358092308,3.629062176,1
335,673,2.31296134,4.958002567,1
335,705,1.430569172,4.8635993,1
335,737,1.7922225,4.88620472,1
335,769,3.74017334,4.699956417,1
335,801,3.881447792,6.251225471,1
335,833,3.571951151,6.779279232,1
335,865,4.450666904,6.263879776,1
335,897,5.86793232,8.00908947,1
335,929,5.516828537,8.86168766,1
335,961,5.164247036,10.23871422,1
335,993,5.422987938,10.944767,1
335,1025,6.915487289,8.593090057,1
335,1057,8.626506805,6.217344284,1
335,1089,10.82255936,6.517708778,1
335,1121,12.56186008,6.857665062,1
335,1153,19.53208542,12.64896584,1
335,1185,21.30573654,11.79601192,1
335,1217,22.7004776,10.17870331,1
335,1249,22.67264938,9.286400795,1
335,1281,8.382173538,20.08955574,1
335,1313,20.64074898,8.039460182,1
335,1345,17.04605675,7.722059727,1
335,1377,18.7591629,6.340432167,1
335,1409,25.30004883,4.628053188,1
335,1441,24.39459419,0.8811378479,1
335,1473,6.292806625,7.454795837,1
335,1505,25.63429832,1.039321661,1
335,1537,15.39529419,5.576496601,1
335,1569,22.2564106,-1.550205708,1
335,1601,23.3684864,-2.271066427,1
335,1633,22.71865082,-1.845994234,1
335,1665,20.88090897,-4.941316605,1
335,1697,19.93819618,-4.955937862,1
335,1729,17.52241898,-3.488383532,1
335,1761,16.69185257,-3.437735558,1
335,1793,15.08357906,-2.387073278,1
335,1825,14.48765182,-1.84364295,1
335,1857,13.34731865,-1.504644871,1
335,1889,11.27302361,-1.539094806,1
335,1921,10.36279011,-2.441022158,1
335,1953,9.387191772,-0.3723380566,1
335,1985,8.089711189,1.342936873,1
335,2017,5.204618454,-0.133759439,1
367,33,-0.09238488972,2.326937199,1
367,65,0.15833731,0.0443649292,1
367,97,0.2758119702,0.1503066421,1
367,129,-0.03670506179,0.09640476108,1
367,161,0.1085133553,0.1069535911,1
367,193,0.2990461886,0.159806639,1
367,225,0.1020745933,0.03205263615,1
367,257,-0.3266954124,-0.3893420696,1
367,289,-0.4896136522,0.3177893162,1
367,321,-0.6538110375,1.794373035,1
367,353,-1.675105572,8.494930267,1
367,385,-2.239041805,7.133402348,1
367,417,-2.907343149,4.003156662,1
367,449,-0.4075615406,1.527144909,1
367,481,-0.6972817183,0.6109373569,1
367,513,-1.527242184,1.100340128,1
367,545,-1.472519875,2.237454891,1
367,577,-0.07639029622,2.948311329,1
367,609,2.074167728,3.566013098,1
367,641,2.731611013,4.878821373,1
367,673,2.226289988,5.442260742,1
367,705,1.726881742,5.314765453,1
367,737,2.445725679,4.566311359,1
367,769,2.959765434,4.479821205,1
367,801,3.751832247,5.305404186,1
367,833,4.584136963,6.317122459,1
367,865,6.061730862,6.2330513,1
367,897,5.519703388,8.020440102,1
367,929,5.593610287,9.154292107,1
367,961,5.595995903,9.542196274,1
367,993,5.399096012,9.986336708,1
367,1025,7.007669449,8.676416397,1
367,1057,8.373648643,6.834963799,1
367,1089,11.83665276,6.831075191,1
367,1121,13.94151878,7.282200336,1
367,1153,17.76790237,26.53038025,1
367,1185,20.49496841,10.79269791,1
367,1217,23.47192383,9.493358612,1
367,1249,25.18037033,10.50009441,1
367,1281,28.66758537,8.900096893,1
367,1313,27.91849327,7.896436214,1
367,1345,24.48752022,8.610940933,1
367,1377,21.71125221,6.180413246,1
367,1409,25.68056679,5.082699299,1
367,1441,25.89828873,3.889042854,1
367,1473,8.611658096,0.9340467453,1
367,1505,26.52400589,-0.01014518738,1
367,1537,10.3596344,4.72178936,1
367,1569,20.99615097,-2.665810347,1
367,1601,23.31829262,-1.611055136,1
367,1633,22.90352631,-2.271502733,1
367,1665,20.77623558,-5.033302307,1
367,1697,20.72019768,-8.121786118,1
367,1729,17.58130836,-3.301021576,1
367,1761,16.5699749,-3.251729488,1
367,1793,15.1201849,-2.311959982,1
367,1825,12.4128952,-1.541310191,1
367,1857,11.07970333,-1.078524232,1
367,1889,10.97445965,-0.8322113752,1
367,1921,10.79439068,-0.9823713303,1
367,1953,9.950515747,-1.377910852,1
367,1985,8.37994194,-0.3491443396,1
367,2017,6.197162628,-0.01455215365,1
