PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 9, filenames: A:[9]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi & B:[10]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
24,805,1.008775234,-1.138642192,1
24,821,1.485100031,-0.5788710117,1
24,837,0.6454799175,-1.091191769,1
24,853,0.3325871229,-1.773702145,1
24,869,-0.3478532434,0.05480384827,1
24,885,-0.3779002428,-0.2702909112,1
24,901,1.401496649,-1.501577735,1
24,917,-0.3480710983,-1.72142005,1
24,933,-2.53729248,-2.387987614,1
24,949,NaN,NaN,2
24,965,-3.116249561,-3.19108963,1
24,981,-2.419736624,-2.392750025,1
24,997,-2.137378454,-2.337493658,1
24,1013,-2.347248554,-1.979309082,1
24,1029,NaN,NaN,2
24,1045,-1.111140966,-2.391097546,1
24,1061,0.04467260838,-2.455261707,1
24,1077,-0.3603627682,-3.048993111,1
24,1093,-1.656560898,-3.186900139,1
24,1109,-2.936952591,-2.096538544,1
24,1125,NaN,NaN,2
24,1141,-2.602836609,-0.2658874989,1
24,1157,-2.587957382,0.1865534186,1
24,1173,-3.161706448,-0.4744383693,1
24,1189,NaN,NaN,2
24,1205,-3.111862898,-0.02805586159,1
24,1221,-0.6600297093,0.6190078259,1
24,1237,-1.371957064,0.6836901903,1
24,1253,-2.043907642,-0.05405053496,1
24,1269,-1.86670208,0.1503074169,1
24,1285,-1.14397192,-0.9059212208,1
40,21,NaN,NaN,2
40,37,0.7385792136,-1.683508515,1
40,53,1.675022244,-2.908174276,1
40,69,0.094373703,-2.094172001,1
40,85,0.1879380345,-0.4489547014,1
40,101,1.916294098,-0.2643164992,1
40,117,NaN,NaN,2
40,133,-0.2352312207,-0.398454845,1
40,149,0.1415700614,-0.1596955955,1
40,165,0.28593418,1.827959657,1
40,181,0.2451362014,3.056901932,1
40,197,0.4733655453,2.446489334,1
40,213,NaN,NaN,2
40,229,0.7616024017,0.1485319585,1
40,245,1.978862524,0.5055615902,1
40,261,2.996751308,0.8313993216,1
40,277,3.220421314,1.261384487,1
40,293,3.090539932,0.9859415293,1
40,309,NaN,NaN,2
40,325,4.506942749,0.08535540104,1
40,341,4.998455524,1.106100559,1
40,357,4.443617344,1.350625515,1
40,373,NaN,NaN,2
40,389,5.173784256,1.236482859,1
40,405,3.426257133,0.8030495644,1
40,421,3.66813159,1.928997993,1
40,437,3.990172148,3.183787107,1
40,453,3.673137188,2.736398697,1
40,469,2.928782463,1.527042866,1
40,485,2.043593407,1.121768355,1
40,501,NaN,NaN,2
40,517,0.1518778801,-1.345911741,1
40,533,0.9198042154,-0.5042434335,1
40,549,1.695697069,-0.05407944322,1
40,565,2.416630745,-0.6607259512,1
40,581,2.240440369,-0.7237722278,1
40,597,0.57889539,-0.8867180347,1
40,613,0.6242055893,-1.777935743,1
40,629,NaN,NaN,2
40,645,1.019310474,-2.344246387,1
40,661,0.2426807284,-3.337437153,1
40,677,-0.5320260525,-2.661029577,1
40,693,-1.109525442,-2.849379301,1
40,709,-1.155991077,-2.581636667,1
40,725,-1.030429006,-2.409389257,1
40,741,-1.194673657,-1.832459927,1
40,757,-1.261628151,-1.998603106,1
40,773,-0.8150655627,-2.17554903,1
40,789,-0.1497834623,-1.990770221,1
40,805,0.4082470536,-2.793781757,1
40,821,0.7367610931,-1.527504086,1
40,837,0.7570534348,-0.4710042477,1
40,853,0.9971207976,-0.3910193145,1
40,869,0.6914287806,-0.4064418077,1
40,885,0.07818543911,-0.2660795748,1
40,901,NaN,NaN,2
40,917,-0.2210739851,-1.262783885,1
40,933,-1.290725589,-1.7881037,1
40,949,-1.650873423,-2.126907349,1
40,965,-1.818524957,-2.684654474,1
40,981,-2.206278563,-2.579421997,1
40,997,-0.7292075157,-2.211530209,1
40,1013,-1.319181085,-2.345189571,1
40,1029,-1.640335441,-2.419311523,1
40,1045,-2.296346188,-1.608119726,1
40,1061,-1.655426383,-1.062075615,1
40,1077,-1.476019025,-0.6419842243,1
40,1093,NaN,NaN,2
40,1109,-2.691483498,-2.548195362,1
40,1125,-2.873327494,-1.577800393,1
40,1141,-3.18334198,-0.8500965834,1
40,1157,-2.641428471,-0.8348208666,1
40,1173,-1.572320938,-1.123676777,1
40,1189,-1.777848482,-0.258784771,1
40,1205,-2.094623327,-0.4670468569,1
40,1221,-1.330528498,0.2577453256,1
40,1237,NaN,NaN,2
40,1253,-1.907284141,0.1460463703,1
40,1269,-1.78395617,0.1796301901,1
40,1285,-1.186013341,-0.2974595428,1
56,21,2.425236225,-0.6939049363,1
56,37,2.037634373,-1.675122261,1
56,53,1.170705795,-1.83827424,1
56,69,0.5202925205,-1.801800728,1
56,85,0.3185950518,-0.3060626984,1
56,101,2.182237864,-0.6875823736,1
56,117,NaN,NaN,2
56,133,1.239509821,-0.8687067032,1
56,149,1.262991428,0.5598352551,1
56,165,0.8794413805,2.331299067,1
56,181,NaN,NaN,2
56,197,0.6029062271,1.73320663,1
56,213,1.164591789,0.02565969527,1
56,229,0.8532223701,-0.09622508287,1
56,245,NaN,NaN,2
56,261,3.198709011,1.409417629,1
56,277,3.903233528,1.692990422,1
56,293,4.246519566,0.7664528489,1
56,309,NaN,NaN,2
56,325,5.075200081,0.135366261,1
56,341,5.308051109,1.071471214,1
56,357,4.264387608,1.040664434,1
56,373,4.334133148,1.120065331,1
56,389,5.644845009,1.722576261,1
56,405,5.197011948,1.165579438,1
56,421,4.202934742,1.367877841,1
56,437,4.468893528,2.17992425,1
56,453,4.190104008,2.082302094,1
56,469,3.644181728,1.391453147,1
56,485,2.872642517,1.324113369,1
56,501,1.983191252,0.9630291462,1
56,517,1.514585018,1.094001532,1
56,533,1.113798976,1.216304541,1
56,549,1.046879649,0.6176747084,1
56,565,1.42661953,-0.6967872381,1
56,581,2.732566833,-0.7781178355,1
56,597,3.753077984,-1.350074649,1
56,613,4.015688896,-1.617531657,1
56,629,3.439853907,-2.324424028,1
56,645,NaN,NaN,2
56,661,0.4644818902,-2.903825045,1
56,677,-0.08626426756,-2.12057066,1
56,693,-0.5176941752,-2.491478205,1
56,709,-0.6678358316,-1.950031877,1
56,725,0.103451252,-1.571931839,1
56,741,-0.5365147591,-1.224656105,1
56,757,-1.131510735,-1.48616612,1
56,773,-1.244112372,-1.906061172,1
56,789,0.2571179569,-2.108746529,1
56,805,0.8271392584,-2.460015059,1
56,821,0.9867272973,-1.856644273,1
56,837,0.8827295899,-0.2866706848,1
56,853,1.258225203,-0.1317567527,1
56,869,1.232937336,-0.267683208,1
56,885,0.4276816547,-0.5757280588,1
56,901,1.288101435,-1.234571457,1
56,917,0.235155955,-1.278077841,1
56,933,0.3413554132,-1.535502791,1
56,949,-0.4502334595,-1.957641959,1
56,965,-1.75665307,-2.582028389,1
56,981,-2.578904152,-2.914386749,1
56,997,-0.7197754383,-1.994202733,1
56,1013,-0.5092460513,-2.075655937,1
56,1029,-0.8147124648,-2.23127985,1
56,1045,-2.376363277,-1.159335375,1
56,1061,-2.638446808,-0.9208601713,1
56,1077,-2.497891665,-0.770460248,1
56,1093,NaN,NaN,2
56,1109,NaN,NaN,2
56,1125,-1.922036529,-2.910616398,1
56,1141,-4.055402756,-1.576506138,1
56,1157,-3.322724342,-1.445106745,1
56,1173,-2.170991421,-0.6082291603,1
56,1189,-2.311802387,-0.03897994757,1
56,1205,-1.824904442,-0.4608626962,1
56,1221,-1.378479481,-0.2146132141,1
56,1237,-1.005042076,-0.1538072228,1
56,1253,-0.7764950991,-0.3078859448,1
56,1269,-1.114358187,-0.2201932073,1
56,1285,-1.817609668,0.4895262718,1
72,21,1.873405695,-0.9948465228,1
72,37,1.717369437,-2.646424055,1
72,53,1.092291594,-2.060568333,1
72,69,0.742480278,-1.723614573,1
72,85,0.8861148357,-0.2773345709,1
72,101,1.096311092,-0.38623631,1
72,117,1.225574493,0.1756301075,1
72,133,0.6824405193,-0.8881603479,1
72,149,0.7594234347,1.517008662,1
72,165,0.3539848924,1.391442657,1
72,181,-0.206953615,0.691630125,1
72,197,NaN,NaN,2
72,213,0.9817700982,-0.1811478287,1
72,229,1.610846758,-0.2236423492,1
72,245,2.187634468,1.091443419,1
72,261,3.609423876,0.863843739,1
72,277,4.554159164,1.246260047,1
72,293,5.116672993,1.214615107,1
72,309,5.292802811,0.9325022697,1
72,325,5.508896828,0.05777466297,1
72,341,NaN,NaN,2
72,357,5.407948494,1.002483964,1
72,373,4.729329109,1.247396708,1
72,389,5.606102943,1.582433343,1
72,405,NaN,NaN,2
72,421,NaN,NaN,2
72,437,4.897373199,1.52299118,1
72,453,4.284968376,1.310608745,1
72,469,4.18791914,0.9437696934,1
72,485,3.731623173,0.9828168154,1
72,501,NaN,NaN,2
72,517,2.623612165,1.783019543,1
72,533,1.562769651,1.732205868,1
72,549,1.419475079,0.4988825917,1
72,565,2.233140945,-0.2723734379,1
72,581,3.19527483,-0.4824558496,1
72,597,3.14784956,-0.9133247137,1
72,613,2.651463985,-0.9946172833,1
72,629,3.179177761,-1.392601609,1
72,645,2.691449642,-1.780527592,1
72,661,0.5506353974,-1.619882107,1
72,677,-0.2428379357,-1.697843313,1
72,693,NaN,NaN,2
72,709,-0.3663084507,-1.535003662,1
72,725,-1.061413527,-0.812391758,1
72,741,-0.6227594614,-1.002077222,1
72,757,-0.7007228136,-1.169557571,1
72,773,-0.4426615536,-1.387440681,1
72,789,0.4274383783,-1.745998621,1
72,805,0.9389727712,-2.18909955,1
72,821,0.9441212416,-1.835888624,1
72,837,0.7579394579,-1.151337028,1
72,853,0.2774492502,-0.9244703054,1
72,869,NaN,NaN,2
72,885,NaN,NaN,2
72,901,NaN,NaN,2
72,917,0.7051118612,-1.723644733,1
72,933,0.1350262761,-0.9884121418,1
72,949,-0.6636170149,-1.702801824,1
72,965,-1.952587366,-2.613666534,1
72,981,-2.703791618,-2.254036188,1
72,997,-2.182943821,-1.51148963,1
72,1013,-0.7398631573,-1.236158609,1
72,1029,-0.782353282,-1.000373125,1
72,1045,-1.297906399,-0.8446804285,1
72,1061,-1.278139472,-1.203996301,1
72,1077,-2.186375141,-1.342571974,1
72,1093,-2.465929985,-1.430848241,1
72,1109,-2.102774143,-1.821439385,1
72,1125,-1.040816069,-2.147762299,1
72,1141,-2.529057741,-1.564597368,1
72,1157,NaN,NaN,2
72,1173,-1.887815714,-0.7539916039,1
72,1189,-1.824070692,-0.5137435794,1
72,1205,-1.248225808,-0.2721506357,1
72,1221,-1.251922131,-0.2132754028,1
72,1237,-0.9455683827,-0.4419157803,1
72,1253,-0.5981923342,-0.3845699131,1
72,1269,-1.159754634,-0.1647271067,1
72,1285,-1.923157096,-0.5915102363,1
88,21,0.7767345905,-0.8854881525,1
88,37,NaN,NaN,2
88,53,0.8537313938,-1.764344692,1
88,69,0.4987239242,-1.621157765,1
88,85,1.196216583,-0.7761187553,1
88,101,1.00009656,-0.5367971659,1
88,117,0.7524840832,-0.2597355843,1
88,133,0.6120226383,-0.4867415428,1
88,149,NaN,NaN,2
88,165,-0.2073340863,0.4068138897,1
88,181,-0.3536125124,0.7788088918,1
88,197,NaN,NaN,2
88,213,1.153383613,-0.0778927803,1
88,229,2.173597336,-0.3603037,1
88,245,2.947374582,1.440762401,1
88,261,3.880371571,0.4786019921,1
88,277,4.918925285,0.673437953,1
88,293,5.420311451,1.410780787,1
88,309,5.599071026,1.825200319,1
88,325,NaN,NaN,2
88,341,5.589334011,-0.503963232,1
88,357,NaN,NaN,2
88,373,NaN,NaN,2
88,389,6.51487112,2.27235651,1
88,405,NaN,NaN,2
88,421,NaN,NaN,2
88,437,5.513138294,-0.1038618088,1
88,453,4.403735638,0.8696367145,1
88,469,NaN,NaN,2
88,485,4.017414093,0.7893354893,1
88,501,NaN,NaN,2
88,517,2.902159214,1.252964497,1
88,533,2.873894215,1.347942591,1
88,549,2.92595911,0.2821756601,1
88,565,3.210268259,0.0008022338152,1
88,581,3.563719749,-0.04700529575,1
88,597,3.209732533,-0.1938280165,1
88,613,2.22551775,-0.4947043955,1
88,629,1.746580362,-0.09607374668,1
88,645,0.4231619835,-0.3810918331,1
88,661,-0.2077934146,-0.8585467339,1
88,677,-0.3156579733,-1.072710991,1
88,693,NaN,NaN,2
88,709,NaN,NaN,2
88,725,-0.9975926876,-0.7430825233,1
88,741,-0.3313112259,-0.4602819681,1
88,757,0.2118794024,-1.295206428,1
88,773,0.009189754725,-1.225439191,1
88,789,0.0437880978,-0.9322754145,1
88,805,0.2330299616,-1.582572579,1
88,821,0.2863578796,-1.786018491,1
88,837,0.437705934,-1.302426338,1
88,853,0.4983448386,-0.9660569429,1
88,869,-0.04236315191,-0.4189729095,1
88,885,1.233185053,-1.493753195,1
88,901,NaN,NaN,2
88,917,0.913861692,-1.704978585,1
88,933,0.2251887023,-1.153111458,1
88,949,-0.6645589471,-1.489275098,1
88,965,-1.403910995,-2.412596226,1
88,981,-1.641053796,-2.185925722,1
88,997,-1.95435822,-1.121700525,1
88,1013,NaN,NaN,2
88,1029,-0.3120209575,-0.2310949564,1
88,1045,-0.4803436995,-0.2530522346,1
88,1061,-1.042029023,-1.065217018,1
88,1077,-1.515514016,-1.498048544,1
88,1093,-1.404169559,-1.723991513,1
88,1109,-1.26347661,-1.32306242,1
88,1125,-0.7910266519,-1.849193811,1
88,1141,-0.5157653689,-2.055172205,1
88,1157,-1.108182907,-1.254328966,1
88,1173,-1.334345222,-1.012923002,1
88,1189,-1.241786838,-0.5732446313,1
88,1205,-1.183166862,0.02220830321,1
88,1221,-0.9646995664,0.0659648478,1
88,1237,-1.162131906,-0.4558469653,1
88,1253,-1.027941704,-0.6959087849,1
88,1269,-0.7719756961,-0.1217238605,1
88,1285,-1.33470571,0.2393429875,1
104,21,-0.2593131065,0.1271329522,1
104,37,0.8708712459,-0.2701077461,1
104,53,0.1687660217,-1.293153524,1
104,69,NaN,NaN,2
104,85,0.7777659297,-1.036683083,1
104,101,0.3200178146,-0.749540031,1
104,117,NaN,NaN,2
104,133,0.1221378446,-0.2144678533,1
104,149,0.4288772941,-1.045103073,1
104,165,0.3391135633,-0.7091319561,1
104,181,0.237625882,0.09675049782,1
104,197,0.2703238428,-0.9090761542,1
104,213,1.444463015,-0.02363437414,1
104,229,NaN,NaN,2
104,245,NaN,NaN,2
104,261,5.334820271,0.5143070221,1
104,277,5.30145359,0.6493648291,1
104,293,5.573603153,1.063976049,1
104,309,5.727059364,1.62597096,1
104,325,NaN,NaN,2
104,341,6.171838284,0.1736245155,1
104,357,NaN,NaN,2
104,373,6.800567627,3.858575821,1
104,389,6.344027996,2.61290884,1
104,405,NaN,NaN,2
104,421,5.357005119,0.4100116789,1
104,437,4.191439629,0.4657844901,1
104,453,4.42811203,0.2967907786,1
104,469,4.668323517,0.5821824074,1
104,485,5.355679989,1.18687582,1
104,501,3.917029142,0.5051659346,1
104,517,3.03358674,0.9223378897,1
104,533,3.06878829,0.2750629187,1
104,549,4.067585945,0.5791306496,1
104,565,3.630820036,0.462171495,1
104,581,3.716859818,0.4692691267,1
104,597,NaN,NaN,2
104,613,4.188312054,-0.2101060152,1
104,629,2.023750067,-0.9525494576,1
104,645,0.6927189827,0.2521790266,1
104,661,0.09342965484,0.2714680433,1
104,677,0.2380674928,-0.2622565031,1
104,693,0.1465547383,-0.4683305025,1
104,709,-0.4108480513,-0.691136539,1
104,725,-0.4633553922,-0.653619051,1
104,741,-0.01448640227,-0.2674369812,1
104,757,0.03527271748,-0.7601397038,1
104,773,-0.2743481994,-0.791408658,1
104,789,-0.4837942719,-0.2165570855,1
104,805,-0.3632583618,-0.9737862349,1
104,821,-0.1922559142,-1.310498834,1
104,837,0.1157883406,-1.02228713,1
104,853,0.2270798683,-0.9974867105,1
104,869,0.007288575172,-1.193420649,1
104,885,NaN,NaN,2
104,901,0.219617635,-2.770708561,1
104,917,0.4461919665,-1.336232543,1
104,933,-0.4716640711,-1.212716341,1
104,949,NaN,NaN,2
104,965,-1.046191692,-2.037356853,1
104,981,-1.253567696,-2.295356035,1
104,997,-0.9789966345,-1.143163323,1
104,1013,-0.552489996,-0.2914016247,1
104,1029,-0.9473791718,-0.8964195251,1
104,1045,-1.331273556,-0.7355078459,1
104,1061,-1.741309404,-0.9817031622,1
104,1077,-1.750671625,-1.054412603,1
104,1093,-1.484901786,-1.402776361,1
104,1109,-1.111585736,-1.110941887,1
104,1125,-0.9224554896,-1.745844245,1
104,1141,-0.8669610023,-1.351738691,1
104,1157,-1.273684263,-0.7697864771,1
104,1173,-1.794235349,-0.4063959718,1
104,1189,-1.016534567,-0.2946103811,1
104,1205,-0.7566226125,-0.5519696474,1
104,1221,-0.6349391937,-0.5409690142,1
104,1237,-0.581571281,-0.8425736427,1
104,1253,-0.8026250601,-1.451801538,1
104,1269,-0.8439209461,-0.7581965923,1
104,1285,-1.106044054,-0.5495352745,1
120,21,0.3652197719,0.8136023283,1
120,37,0.8278903961,-0.3812330961,1
120,53,0.7580560446,-0.7894409299,1
120,69,0.6603250504,-0.4657786489,1
120,85,0.8690633774,-0.5131513476,1
120,101,0.2259459496,0.3984644413,1
120,117,NaN,NaN,2
120,133,1.215002537,-0.1070177257,1
120,149,0.29704234,-0.2309529185,1
120,165,0.1927765161,-0.2049738765,1
120,181,0.01002013683,0.3694562614,1
120,197,0.5234299898,0.07534873486,1
120,213,NaN,NaN,2
120,229,NaN,NaN,2
120,245,4.226156712,0.3470486999,1
120,261,4.964574814,0.4986253679,1
120,277,5.800663948,0.5475111008,1
120,293,6.559261799,0.6227874756,1
120,309,NaN,NaN,2
120,325,NaN,NaN,2
120,341,NaN,NaN,2
120,357,7.023272038,3.988363743,1
120,373,6.797431469,2.200706005,1
120,389,NaN,NaN,2
120,405,5.872354031,0.937048912,1
120,421,5.523775578,0.6030496359,1
120,437,5.075118542,0.667916894,1
120,453,4.990584373,0.3567910194,1
120,469,5.030495167,0.2133535743,1
120,485,5.569792747,0.3692748547,1
120,501,4.632130623,0.8330534697,1
120,517,3.769076347,1.227996111,1
120,533,NaN,NaN,2
120,549,NaN,NaN,2
120,565,NaN,NaN,2
120,581,3.700301409,0.8006395698,1
120,597,NaN,NaN,2
120,613,NaN,NaN,2
120,629,2.551327705,1.792134643,1
120,645,1.961495161,1.245868206,1
120,661,0.8730906248,1.799311876,1
120,677,0.5467323065,0.7334779501,1
120,693,1.084517598,-0.142148152,1
120,709,NaN,NaN,2
120,725,-0.2105488181,-0.4777612686,1
120,741,-0.6544835567,-0.9924917221,1
120,757,NaN,NaN,2
120,773,-1.335085273,-0.8216081262,1
120,789,-0.7450431585,-0.8149682879,1
120,805,-0.6025170088,-0.8665858507,1
120,821,-0.6108137369,-0.8953307271,1
120,837,-0.6667475104,-0.5900717974,1
120,853,-0.6572428346,-1.053850174,1
120,869,-0.8748048544,-1.018697023,1
120,885,NaN,NaN,2
120,901,NaN,NaN,2
120,917,0.02428463101,-1.086869597,1
120,933,-0.3774761856,0.03856527805,1
120,949,NaN,NaN,2
120,965,-1.00195694,-1.303107738,1
120,981,-1.238278985,-2.159844398,1
120,997,-1.052202702,-1.041955709,1
120,1013,-0.4468695521,-0.05932408571,1
120,1029,-0.993386507,-0.6529864669,1
120,1045,NaN,NaN,2
120,1061,NaN,NaN,2
120,1077,-0.7997688055,-1.106033802,1
120,1093,-1.312901139,-0.7959554195,1
120,1109,-1.590752244,-0.4871652126,1
120,1125,-1.328749061,-0.8831528425,1
120,1141,-0.8755778074,-0.6228146553,1
120,1157,-1.225390553,-0.1479462385,1
120,1173,-2.350762367,-0.4225895107,1
120,1189,-1.077421546,-1.137657642,1
120,1205,NaN,NaN,2
120,1221,-0.8772382736,-1.880738497,1
120,1237,-0.3215396106,-0.9610147476,1
120,1253,-0.4196240306,-1.61986351,1
120,1269,-0.6827530861,-1.118778706,1
120,1285,-1.050864935,-1.088619232,1
136,21,0.5350191593,0.3365799189,1
136,37,1.232732296,-0.9640564322,1
136,53,1.326680183,-0.6941831112,1
136,69,1.00285852,-0.1948783994,1
136,85,0.6985982656,-0.08391422033,1
136,101,0.330329597,0.6763675213,1
136,117,1.017223477,0.07632115483,1
136,133,NaN,NaN,2
136,149,0.2828450203,0.1403033137,1
136,165,0.1240870655,-0.03924935311,1
136,181,0.3353066444,0.1197915524,1
136,197,1.163507819,0.1676912308,1
136,213,NaN,NaN,2
136,229,NaN,NaN,2
136,245,4.188809872,-0.01646602154,1
136,261,5.016138077,-0.04498231411,1
136,277,5.883980751,0.06813469529,1
136,293,6.297657967,0.4351991713,1
136,309,6.207173824,1.261731029,1
136,325,6.299074173,1.094234467,1
136,341,NaN,NaN,2
136,357,8.234594345,2.591925859,1
136,373,NaN,NaN,2
136,389,NaN,NaN,2
136,405,6.929611206,1.3665452,1
136,421,5.309752941,1.427156329,1
136,437,5.494655132,0.6526012421,1
136,453,5.722241879,0.6518279314,1
136,469,6.017631531,0.6363246441,1
136,485,6.011113167,1.020778656,1
136,501,5.75460434,1.55466485,1
136,517,5.106909752,1.593895674,1
136,533,4.519869804,1.189709544,1
136,549,NaN,NaN,2
136,565,3.555148125,1.566430688,1
136,581,3.677650928,0.8334931135,1
136,597,3.827330828,0.9028576016,1
136,613,2.587604523,1.035719395,1
136,629,2.624286175,0.5264900923,1
136,645,1.862067819,2.538665771,1
136,661,0.8575612307,1.609104156,1
136,677,NaN,NaN,2
136,693,NaN,NaN,2
136,709,0.1819445491,-0.409162432,1
136,725,-0.3677175641,-0.4607029557,1
136,741,-0.6920490265,-0.6187227964,1
136,757,NaN,NaN,2
136,773,0.4111700356,-0.666811347,1
136,789,0.9363403916,-0.6398511529,1
136,805,-0.1880230308,-0.0541177392,1
136,821,-0.2735406756,-0.2134254575,1
136,837,-0.6034665704,-0.6305164099,1
136,853,-0.5762227178,-0.9043428898,1
136,869,0.5025039315,-0.9922000766,1
136,885,NaN,NaN,2
136,901,0.9064230919,-0.757492125,1
136,917,0.3888266981,-0.4362733364,1
136,933,-0.0745164603,0.1512676477,1
136,949,0.09957587719,-0.629094243,1
136,965,-0.2081093788,-0.9772705436,1
136,981,-1.145759225,-0.8326263428,1
136,997,-1.135989189,-0.3137131035,1
136,1013,-0.8467469811,-0.4297941923,1
136,1029,-0.8737890124,-0.8048492074,1
136,1045,-1.107915878,-1.30582428,1
136,1061,-1.096743822,-1.078457117,1
136,1077,-1.460715771,-0.2597728372,1
136,1093,-1.994191051,0.04307293892,1
136,1109,-1.791676641,-0.2637537718,1
136,1125,-1.282499075,-0.6844267845,1
136,1141,-0.88620013,-0.355900526,1
136,1157,-0.769412756,0.2002969086,1
136,1173,-1.104269743,-0.6449294686,1
136,1189,-1.232208848,-2.272046804,1
136,1205,NaN,NaN,2
136,1221,NaN,NaN,2
136,1237,-0.6125326753,-1.369376659,1
136,1253,-0.3226166666,-1.077755809,1
136,1269,-0.5344728827,-1.104968786,1
136,1285,-1.33718133,-0.8668205142,1
152,21,0.6441283226,0.01690083742,1
152,37,NaN,NaN,2
152,53,1.600156546,-0.2745269537,1
152,69,1.369718552,-0.1487458199,1
152,85,0.1144018173,0.1758417338,1
152,101,0.4589853585,0.5997775793,1
152,117,0.7402231693,0.6820533872,1
152,133,NaN,NaN,2
152,149,NaN,NaN,2
152,165,0.2860978544,-0.1941998899,1
152,181,0.7899336815,0.1292707622,1
152,197,1.992267489,0.2406266779,1
152,213,3.487990856,0.4543747604,1
152,229,4.180001259,0.07393478602,1
152,245,4.898067951,-0.08889114857,1
152,261,5.603091717,-0.364430964,1
152,277,NaN,NaN,2
152,293,6.077377796,0.1573420465,1
152,309,5.68403244,0.6610943079,1
152,325,6.111498356,0.8239142299,1
152,341,7.352746487,1.028282166,1
152,357,7.9523139,1.656783581,1
152,373,8.283473969,1.679418683,1
152,389,7.43048811,1.772350788,1
152,405,7.49641943,2.487873554,1
152,421,NaN,NaN,2
152,437,NaN,NaN,2
152,453,5.787069798,1.317393184,1
152,469,7.43530941,1.762403488,1
152,485,NaN,NaN,2
152,501,6.993827343,2.048150063,1
152,517,5.493655205,1.940786839,1
152,533,4.885094166,1.074924946,1
152,549,4.394184113,0.6343002319,1
152,565,4.132368088,0.5135242343,1
152,581,4.255943298,0.6700054407,1
152,597,4.259296417,0.4183056355,1
152,613,3.747547626,-0.02037748694,1
152,629,2.119042635,0.3037003577,1
152,645,1.631440163,1.86257112,1
152,661,NaN,NaN,2
152,677,NaN,NaN,2
152,693,0.4079018235,1.009868026,1
152,709,0.4452943206,0.1615912616,1
152,725,0.06067468226,-0.1277603805,1
152,741,-0.0117836073,-0.4132700562,1
152,757,-0.1728370041,-1.125545382,1
152,773,0.3179467022,-0.3506625891,1
152,789,0.2104301304,-0.1173230112,1
152,805,NaN,NaN,2
152,821,0.4934250116,0.624284029,1
152,837,0.4050770998,-0.7437111735,1
152,853,1.088217497,-1.110768914,1
152,869,0.6090068817,-0.8457288742,1
152,885,0.8125747442,-0.8658345938,1
152,901,-0.09290249646,-0.5303949714,1
152,917,0.2377828211,-0.2179552019,1
152,933,0.292747438,-0.3396426141,1
152,949,0.7334464788,-0.421646595,1
152,965,0.4620457888,-0.8653103113,1
152,981,-0.6904349327,-0.03765165806,1
152,997,-1.061132193,-0.04837352037,1
152,1013,-1.140580416,-0.4971138835,1
152,1029,-1.097470164,-0.5490019321,1
152,1045,-1.264913678,-0.7830790281,1
152,1061,-1.672657728,-0.4102879167,1
152,1077,NaN,NaN,2
152,1093,-1.924761295,0.2611626089,1
152,1109,-1.735891819,0.04393354803,1
152,1125,-2.417789698,0.1612930298,1
152,1141,-1.955979586,-0.06118029356,1
152,1157,-0.7826984525,-0.1457795501,1
