PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 12, filenames: A:[12]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi & B:[13]MAX_Pos0023_TgUtrmcherry_K4K8Mutant.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
104,917,0.5631737113,-0.7092757225,1
104,933,0.7976232171,-0.6704875231,1
104,949,0.8173596859,-1.074664712,1
104,965,0.6751580238,-1.634392977,1
104,981,0.8866378069,-2.307428837,1
104,997,1.020012736,-1.952150583,1
104,1013,0.7850666046,-1.287595272,1
104,1029,0.5454236865,-1.044860601,1
104,1045,-0.1938053966,-1.660331249,1
104,1061,NaN,NaN,2
104,1077,NaN,NaN,2
104,1093,-0.1236530989,-1.846264243,1
104,1109,-0.3597588539,-1.165817738,1
104,1125,-0.3759434223,-1.675933599,1
104,1141,-0.3984913826,-1.720354915,1
104,1157,-0.5287272334,-1.266423702,1
104,1173,-1.06730485,-1.062167883,1
104,1189,-1.497096777,-0.920580864,1
104,1205,-1.874341607,-0.7560696602,1
104,1221,-2.341485023,-1.013482332,1
104,1237,-3.197175026,-0.5278205872,1
104,1253,-3.075595617,-0.00954157114,1
104,1269,-2.470880032,0.6399757862,1
104,1285,-1.702469587,0.6679941416,1
120,21,2.959328651,-0.1526470184,1
120,37,0.980894804,1.638670564,1
120,53,1.443749189,2.137986183,1
120,69,2.494194984,2.028654099,1
120,85,2.674479008,2.493012667,1
120,101,2.96446991,3.022633791,1
120,117,3.293861151,2.373136759,1
120,133,3.531644106,3.032790184,1
120,149,3.265543938,2.904001951,1
120,165,NaN,NaN,2
120,181,4.395428181,2.928780079,1
120,197,5.251780033,2.461966753,1
120,213,NaN,NaN,2
120,229,6.958639145,4.280041695,1
120,245,8.012531281,4.774832726,1
120,261,8.748882294,4.559957981,1
120,277,8.72932148,4.810904503,1
120,293,8.800985336,4.975610256,1
120,309,9.139426231,4.641417503,1
120,325,10.52748775,3.171643257,1
120,341,9.267166138,3.148593903,1
120,357,8.386156082,3.281662226,1
120,373,9.083921432,3.951929092,1
120,389,9.228329659,3.519636154,1
120,405,9.697266579,2.767799616,1
120,421,8.86016655,3.640125036,1
120,437,NaN,NaN,2
120,453,9.706207275,3.208425045,1
120,469,10.21756363,2.528100252,1
120,485,10.38137531,2.222347736,1
120,501,10.19831657,2.359954357,1
120,517,10.04080296,0.9910738468,1
120,533,9.816413879,2.098578453,1
120,549,9.010697365,1.787989378,1
120,565,10.39548397,0.4446996748,1
120,581,10.53455162,1.145761013,1
120,597,10.06463242,1.411384344,1
120,613,9.927481651,0.4148887992,1
120,629,9.936421394,-0.4386054277,1
120,645,8.881526947,-1.651171446,1
120,661,7.402280807,-2.079329967,1
120,677,6.633816719,-2.363556623,1
120,693,6.640004158,-2.571874857,1
120,709,6.235892296,-3.425227165,1
120,725,5.650680065,-4.808214188,1
120,741,6.241266727,-3.747354984,1
120,757,5.348137379,-3.707079887,1
120,773,6.107603073,-2.384070158,1
120,789,5.520001888,-2.631492615,1
120,805,4.921032429,-2.559127331,1
120,821,4.535531521,-2.578891754,1
120,837,3.909277439,-2.51026988,1
120,853,2.858242273,-3.053000927,1
120,869,2.076864243,-2.033808231,1
120,885,0.6284501553,-2.060447216,1
120,901,0.611086607,-1.552441835,1
120,917,0.409611702,-0.61996907,1
120,933,0.5912660956,0.4847579598,1
120,949,0.8819734454,-0.3082197905,1
120,965,0.8582667112,-1.261835098,1
120,981,0.9422361851,-2.158475876,1
120,997,1.156829357,-1.688173771,1
120,1013,1.069085598,-0.85823524,1
120,1029,0.317692697,-0.4306740165,1
120,1045,-0.05865186453,-0.6581323147,1
120,1061,1.109202504,-0.6297041178,1
120,1077,0.6590224504,-0.4281038642,1
120,1093,-0.06341879815,-0.7047817707,1
120,1109,0.01342862844,-0.7164072394,1
120,1125,-0.2805818915,-1.094890714,1
120,1141,-0.5927603245,-1.211087704,1
120,1157,-0.3773131967,-1.192816973,1
120,1173,-0.8096451163,-1.044016123,1
120,1189,NaN,NaN,2
120,1205,NaN,NaN,2
120,1221,NaN,NaN,2
120,1237,-2.430611849,0.03520072997,1
120,1253,-2.663283825,1.091703892,1
120,1269,-2.422053337,1.553259373,1
120,1285,-1.452401042,0.8603125811,1
136,21,1.832836986,0.6504449844,1
