PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 9, filenames: A:[9]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi & B:[10]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
111,1121,18.18393326,-5.41699028,1
111,1153,17.67889786,-6.261056423,1
111,1185,17.76292038,-8.342541695,1
111,1217,17.55711937,-9.44052887,1
111,1249,17.74000168,-6.78183651,1
111,1281,17.67602921,-6.057713985,1
111,1313,15.22966862,-6.463597775,1
111,1345,13.58156776,-6.167541981,1
111,1377,12.70920181,-6.712657452,1
111,1409,11.45907497,-6.312932491,1
111,1441,11.2538166,-5.572496891,1
111,1473,11.22399521,-6.302865982,1
111,1505,10.94058323,-6.354080677,1
111,1537,10.34414673,-6.055075169,1
111,1569,9.508350372,-6.034187794,1
111,1601,8.768702507,-6.157822609,1
111,1633,9.081420898,-7.399947166,1
111,1665,9.37093544,-7.313188553,1
111,1697,9.695687294,-6.1735425,1
111,1729,10.73644829,-5.609972954,1
111,1761,10.92688084,-4.613200188,1
111,1793,-10.58258057,-4.130548,1
111,1825,0.3221483231,0.0178194046,1
111,1857,-1.011880875,1.358162642,1
111,1889,1.474228621,-1.128096819,1
111,1921,0.1884694099,-0.05632960796,1
111,1953,-0.3514944911,0.1335673332,1
111,1985,-0.5056103468,-0.3468132019,1
111,2017,-20.48805428,-6.908811569,1
143,33,2.039290905,-0.3107733727,1
143,65,2.708709955,0.4436773062,1
143,97,2.341041088,1.521104574,1
143,129,1.817412138,1.498632669,1
143,161,1.494664431,0.1753900945,1
143,193,2.765565872,-0.5589107275,1
143,225,4.009531021,-1.464271545,1
143,257,4.366175652,-1.67406857,1
143,289,4.057955265,-1.103973031,1
143,321,4.438237667,-1.371678352,1
143,353,4.578579426,-2.10529995,1
143,385,5.383655071,-2.056707382,1
143,417,4.323360443,-2.817429066,1
143,449,3.918036461,-3.095726967,1
143,481,6.157962799,-3.672769547,1
143,513,7.828863144,-3.526940584,1
143,545,7.158525944,-4.373259068,1
143,577,7.416921616,-6.135015488,1
143,609,7.957050323,7.044882774,1
143,641,9.458276749,-6.459373474,1
143,673,9.320055008,-5.100733757,1
143,705,9.417890549,-3.68608737,1
143,737,10.01340199,-3.44270134,1
143,769,12.17329311,-3.445987701,1
143,801,12.63357353,-1.971630454,1
143,833,12.14188862,-0.6110820174,1
143,865,13.32671928,-0.0196377933,1
143,897,29.1722908,-8.916547775,1
143,929,16.56570435,-1.33443439,1
143,961,18.37709045,-2.44046402,1
143,993,17.98865891,-2.412176609,1
143,1025,18.01495552,-2.83371973,1
143,1057,18.02601242,-3.41266346,1
143,1089,17.95661163,-3.604887247,1
143,1121,18.48993111,-4.501875401,1
143,1153,18.2719593,-5.092607021,1
143,1185,17.94831467,-5.870848656,1
143,1217,17.49049377,-5.424208641,1
143,1249,16.74507332,-5.094999313,1
143,1281,16.01940918,-6.395530701,1
143,1313,14.87121296,-6.853932381,1
143,1345,13.56511307,-7.186038971,1
143,1377,13.20308876,-6.587229729,1
143,1409,12.47309399,-6.026176453,1
143,1441,11.89136505,-5.38951683,1
143,1473,11.73735428,-5.29937458,1
143,1505,11.24706936,-6.299301147,1
143,1537,10.70105362,-6.060214043,1
143,1569,9.601636887,-6.081470013,1
143,1601,8.348614693,-6.075170994,1
143,1633,6.940831661,-6.481595516,1
143,1665,7.649585724,-6.667284489,1
143,1697,8.062273979,-6.242677689,1
143,1729,9.246670723,-5.631101608,1
143,1761,9.857625961,-5.545773029,1
143,1793,9.226931572,-4.512472153,1
143,1825,7.785553932,-4.382596493,1
143,1857,1.045106888,-0.4093780518,1
143,1889,0.006737232208,0.0560529232,1
143,1921,0.05982542038,-0.5835638046,1
143,1953,-0.2001156807,-0.08072566986,1
143,1985,-0.5958912969,-0.5752134323,1
143,2017,1.954899311,-5.717476368,1
175,33,3.362724781,0.307030797,1
175,65,3.165230513,1.660943151,1
175,97,2.710405111,2.292597055,1
175,129,3.295244694,2.713059902,1
175,161,3.582166433,-0.5622494221,1
175,193,3.381383896,-0.5637636781,1
175,225,4.043702126,-0.2657096386,1
175,257,4.30714798,-0.5654885769,1
175,289,4.352919579,-0.8080263138,1
175,321,4.655697823,-0.7698664665,1
175,353,4.482484341,-1.661002755,1
175,385,4.85034132,-1.081590533,1
175,417,-3.873929024,-14.6856451,1
175,449,4.884573936,-3.980019808,1
175,481,5.54224968,-3.557430983,1
175,513,7.252171993,-3.588497877,1
175,545,7.014781475,-3.795118093,1
175,577,7.334717274,-4.195512295,1
175,609,7.089747429,-4.176942825,1
175,641,7.4189291,-3.283653736,1
175,673,15.31556702,14.99324512,1
175,705,10.03060627,-2.739664793,1
175,737,10.51049995,-2.77386713,1
175,769,10.30665302,-3.37327075,1
175,801,11.75478554,-1.786789179,1
175,833,13.58713913,-1.412859678,1
175,865,14.98532295,-0.9736458659,1
175,897,14.40415573,19.85358047,1
175,929,15.84049034,0.06215387583,1
175,961,17.77478409,-1.684880018,1
175,993,18.05830765,-1.595060349,1
175,1025,17.8120327,-0.9327206612,1
175,1057,17.95072365,-2.297907114,1
175,1089,18.42421913,-3.206492186,1
175,1121,18.87215614,-3.810947418,1
175,1153,19.43211746,-4.131305218,1
175,1185,18.59638214,-4.731796741,1
175,1217,16.11806679,-5.271877766,1
175,1249,15.85412598,-5.359115601,1
175,1281,15.36624622,-6.79069376,1
175,1313,14.80414391,-7.074664116,1
175,1345,14.2356863,-7.447796345,1
175,1377,13.83916855,-5.440288067,1
175,1409,13.2134161,-4.312998295,1
175,1441,12.24697113,-3.575237751,1
175,1473,12.01456928,-4.561214924,1
175,1505,11.47838783,-5.787600994,1
175,1537,10.87939644,-5.899643421,1
175,1569,10.07040024,-5.808287144,1
175,1601,8.805351257,-5.67655611,1
175,1633,6.261389732,-5.862062454,1
175,1665,6.667441368,-5.841458321,1
175,1697,6.902329922,-6.024990559,1
175,1729,5.73533535,-6.418202877,1
175,1761,3.116920948,-7.650570869,1
175,1793,6.627402306,-5.64018631,1
175,1825,6.892374992,-4.776528835,1
175,1857,12.91075611,-1.481143475,1
175,1889,0.1925120354,-0.2180774212,1
175,1921,0.2608709335,-0.08774280548,1
175,1953,-0.2390143871,-0.3003447056,1
175,1985,-0.06819391251,-0.3532931805,1
175,2017,1.874267578,-4.232058525,1
207,33,3.423277855,0.4560754299,1
207,65,3.465555668,1.018895626,1
207,97,-16.14361191,4.139650822,1
207,129,5.652795792,-0.07470178604,1
207,161,4.734648705,-0.7392209768,1
207,193,3.759152889,0.6710518003,1
207,225,3.71897769,1.554253697,1
207,257,3.600194693,0.09052252769,1
207,289,3.644487619,-0.3016616106,1
207,321,4.465822697,-0.8876321316,1
207,353,4.597065926,-2.034192801,1
207,385,3.830543518,-2.04191184,1
207,417,3.844936371,-2.124718189,1
207,449,3.51669836,-2.422071934,1
207,481,4.576385498,-2.472886086,1
207,513,7.434434414,-2.768373966,1
207,545,7.881153584,-2.730542183,1
207,577,7.500000477,-3.312899351,1
207,609,8.365405083,-4.332882881,1
207,641,8.681063652,-3.754941463,1
207,673,13.73227882,16.92651176,1
207,705,10.8224659,-3.042338371,1
207,737,10.87632751,-2.614360094,1
207,769,11.59888172,-1.549869299,1
207,801,12.9671402,-1.464630961,1
207,833,13.93428898,-1.618203759,1
207,865,15.51211929,-0.1697096229,1
207,897,16.96699333,3.361759186,1
207,929,18.21067619,2.196632862,1
207,961,19.99829483,0.9314262867,1
207,993,18.85621262,-0.5726746321,1
207,1025,18.06720352,-0.7703253031,1
207,1057,17.74661636,-1.645880461,1
207,1089,18.5302639,-3.630238533,1
207,1121,18.98309517,-3.772537708,1
207,1153,20.16374588,-3.345201969,1
207,1185,33.04788971,-17.7536335,1
207,1217,15.60076332,-6.280510426,1
207,1249,15.54343987,-7.083937168,1
207,1281,15.30324459,-7.058592796,1
207,1313,14.90304375,-6.866540909,1
207,1345,14.41339302,-6.43803215,1
207,1377,13.65426826,-4.965906143,1
207,1409,12.73031044,-3.121898651,1
207,1441,11.6234808,-3.632871151,1
207,1473,10.11886883,-4.881587029,1
207,1505,11.18435192,-4.744693279,1
207,1537,10.82346153,-5.820801258,1
207,1569,9.644770622,-4.596939087,1
207,1601,8.26533699,-4.006525993,1
207,1633,7.53832531,-4.477072716,1
207,1665,6.679718494,-4.441295624,1
207,1697,5.490764141,-5.350242615,1
207,1729,4.241452217,-6.263966084,1
207,1761,3.397609234,-7.762965679,1
207,1793,6.103319645,-5.304028034,1
207,1825,6.396673679,-4.014615536,1
207,1857,5.943552017,-3.493084908,1
207,1889,5.499786854,-2.504772902,1
207,1921,0.2147006989,0.5584859848,1
207,1953,0.6087796688,-0.2345948219,1
207,1985,0.2874801159,-0.5202960968,1
207,2017,-15.61118507,-3.049061537,1
239,33,3.098721981,0.3701131344,1
239,65,3.694051266,1.104723692,1
239,97,3.688551903,0.7102187872,1
239,129,3.999287844,-0.4080537558,1
239,161,4.018134594,0.0009419322014,1
239,193,3.75763011,1.711618185,1
239,225,3.49345994,2.802854061,1
239,257,2.793618917,0.3309867382,1
239,289,2.358351231,-0.9002204537,1
239,321,3.87219739,-1.479014635,1
239,353,4.260155678,-2.150779724,1
239,385,3.74669838,-1.935162187,1
239,417,2.197013378,-3.810767889,1
239,449,3.219588757,-2.13783288,1
239,481,5.856413364,-0.8663961887,1
239,513,9.467092514,-0.2486563921,1
239,545,7.993441582,-2.970295191,1
239,577,7.478955269,-2.269561529,1
239,609,7.982158661,-2.215964079,1
239,641,8.994875908,-2.866002321,1
239,673,10.65913963,-2.716801405,1
239,705,10.88107586,-2.811778784,1
239,737,10.44586468,-2.012562275,1
239,769,11.65778923,-0.9864318371,1
239,801,13.39646339,-1.095355392,1
239,833,14.48315144,-0.5754285455,1
239,865,15.97918892,0.4583575726,1
239,897,18.03945732,2.628946304,1
239,929,20.02236938,2.228729963,1
239,961,20.79255486,1.280821562,1
239,993,19.69947433,-0.4586268365,1
239,1025,18.50045013,-1.078257918,1
239,1057,18.3800087,-1.563839912,1
239,1089,17.91142082,-2.387941837,1
239,1121,18.70379829,-2.957462549,1
239,1153,19.48038101,-2.877238274,1
239,1185,19.44394875,-4.229491711,1
239,1217,17.67466927,-8.109359741,1
239,1249,17.5173378,-7.995482922,1
239,1281,16.67899704,-6.79473114,1
239,1313,13.83876991,-6.639603138,1
239,1345,13.27233791,-6.528945446,1
239,1377,12.12079144,-4.546426773,1
239,1409,11.48724079,-2.763383865,1
239,1441,11.72698307,-4.335913181,1
239,1473,11.2521553,-4.727118969,1
239,1505,11.34686089,-5.356062889,1
239,1537,10.94497681,-4.798964977,1
239,1569,10.17737865,-4.999720573,1
239,1601,10.06120968,-4.328167915,1
239,1633,9.777134895,-3.368629932,1
239,1665,8.511637688,-3.114190102,1
239,1697,5.595869064,-4.503814697,1
239,1729,4.671347618,-5.607598782,1
239,1761,6.18797493,-5.961735249,1
239,1793,6.484505177,-4.992850304,1
239,1825,6.45321846,-3.588823318,1
239,1857,5.693899632,-3.168405771,1
239,1889,4.478894711,-2.450810909,1
239,1921,3.092326164,-4.367085457,1
239,1953,0.4730432034,-0.2731282711,1
239,1985,0.4329571724,-0.3029870987,1
239,2017,-11.76403999,-2.571102619,1
271,33,3.237140656,0.2882245779,1
271,65,3.180116892,0.796374023,1
271,97,3.33769989,0.530382812,1
271,129,3.551371098,0.4436545968,1
271,161,2.828351736,0.3908722401,1
271,193,3.679652214,1.254314303,1
271,225,3.67030406,1.943339944,1
271,257,2.999712944,0.3142960072,1
271,289,2.567800045,-1.241981268,1
271,321,3.581385612,-2.403329611,1
271,353,3.857210159,-1.236414194,1
271,385,3.799429893,-1.128237963,1
271,417,3.089253902,-2.110115051,1
271,449,3.719435692,-2.037897587,1
271,481,5.004094601,-1.131358862,1
271,513,5.552789688,-0.4108132124,1
271,545,5.941740036,-1.842756987,1
271,577,8.029092789,-1.804070234,1
271,609,10.18943024,-0.7852144241,1
271,641,9.551265717,-1.674643636,1
271,673,8.711141586,15.48606968,1
271,705,10.24803734,-0.6292048693,1
271,737,10.18080902,-0.3908843994,1
271,769,11.06982327,0.02184724808,1
271,801,12.96834946,-0.4721809626,1
271,833,15.32579422,1.329316139,1
271,865,18.01132011,3.055416584,1
271,897,19.68543625,3.199143887,1
271,929,20.59830475,3.083334446,1
271,961,21.21631622,2.371392012,1
271,993,21.37915993,0.2505939305,1
271,1025,21.09472275,-1.522144437,1
271,1057,20.55746841,-1.708537102,1
271,1089,19.89580536,-1.29423964,1
271,1121,20.26665306,0.1042120457,1
271,1153,19.33739662,-1.942629814,1
271,1185,19.37760162,-4.828824043,1
271,1217,20.43181801,-7.08466053,1
271,1249,20.0790863,-8.157318115,1
271,1281,18.2424469,-6.85883522,1
271,1313,15.33918953,-6.024849892,1
271,1345,14.23598957,-5.162704468,1
271,1377,13.82587242,-4.316380501,1
271,1409,12.83605576,-3.595318794,1
271,1441,11.52265453,-5.239670753,1
271,1473,11.69863892,-5.468612671,1
271,1505,11.70738029,-5.825567245,1
271,1537,11.25688076,-5.488867283,1
271,1569,10.30451488,-5.617495537,1
271,1601,9.657427788,-5.406695843,1
271,1633,10.75687981,-3.788463116,1
271,1665,10.16444778,-2.941351891,1
271,1697,22.1370163,-14.24977303,1
271,1729,7.702911377,-6.647656441,1
271,1761,6.728646278,-5.723838806,1
271,1793,6.2117033,-5.462359428,1
271,1825,5.791856766,-5.045519352,1
271,1857,4.994757175,-4.268511772,1
271,1889,3.834666252,-3.920161724,1
271,1921,3.503321648,-4.602630615,1
271,1953,0.4304358959,-0.3270919323,1
271,1985,-0.2889264822,0.2011697292,1
271,2017,-0.1398832798,-2.656682491,1
303,33,3.252280235,0.3012121916,1
303,65,2.906505108,0.5586337447,1
303,97,3.107748508,1.448974848,1
303,129,3.488824606,0.4349095821,1
303,161,2.874193907,0.198903501,1
303,193,3.601607084,0.2660963535,1
303,225,4.207848549,0.1055649519,1
303,257,3.818930864,0.3166570961,1
303,289,3.686318636,-0.1187011898,1
303,321,3.062081575,-0.3922227621,1
303,353,3.485791206,-0.5775424242,1
303,385,3.762874842,-1.252655745,1
303,417,3.553761959,-1.656698585,1
303,449,3.746987343,-1.794604659,1
303,481,4.144352436,-1.00635767,1
303,513,4.237590313,-0.1806359291,1
303,545,2.696304321,-0.08382856846,1
303,577,5.992794991,-1.445665836,1
303,609,9.700852394,-0.7912812233,1
303,641,9.463335037,-0.8482481837,1
303,673,-9.727148056,-7.384244442,1
303,705,9.373161316,1.639750481,1
303,737,10.11602974,0.4352784157,1
303,769,11.19626617,1.078770161,1
303,801,13.05560589,3.000764608,1
303,833,15.15453053,3.195674896,1
303,865,17.59152794,3.89804101,1
303,897,20.15421104,3.285043001,1
303,929,20.97462082,4.183632851,1
303,961,22.47963333,3.350667238,1
303,993,23.65287399,0.5728064775,1
303,1025,24.19495392,-1.499909163,1
303,1057,22.93036079,-2.27491045,1
303,1089,20.87116432,-2.813876867,1
303,1121,19.78573227,1.014876604,1
303,1153,19.70468903,0.0122834444,1
303,1185,20.10231018,-3.627406597,1
303,1217,21.61424828,-6.409443855,1
303,1249,21.17923355,-7.965568542,1
303,1281,19.32546234,-6.871072769,1
303,1313,17.97282791,-4.998275757,1
303,1345,17.00182343,-4.094296455,1
303,1377,15.2983284,-4.231476307,1
303,1409,14.14757442,-5.205857754,1
303,1441,11.87555218,-7.404355526,1
303,1473,11.63419247,-7.453622341,1
303,1505,11.05548859,-6.467232704,1
303,1537,10.53121567,-6.454853058,1
303,1569,10.06883907,-6.52935648,1
303,1601,9.28709507,-5.836097717,1
303,1633,8.855091095,-5.03481102,1
303,1665,7.783620834,-4.73081398,1
303,1697,8.45724678,-4.850599289,1
303,1729,8.116700172,-5.140259266,1
303,1761,7.123164654,-5.511987686,1
303,1793,6.428915024,-5.524844646,1
303,1825,5.388596535,-5.556816578,1
303,1857,4.160446644,-5.223720074,1
303,1889,3.879155159,-4.390267372,1
303,1921,-15.35434246,-1.854073286,1
303,1953,0.01694941521,-0.4818582535,1
303,1985,-0.3305111825,-0.1027834415,1
303,2017,0.07789731026,-2.889416933,1
335,33,1.58912921,0.1105866432,1
335,65,3.374735355,-0.4416627884,1
335,97,3.556313515,0.4385865331,1
335,129,3.558810711,1.319088221,1
335,161,4.047362328,0.7180351019,1
335,193,5.705921173,0.02009813488,1
335,225,5.651597023,-0.4100440741,1
335,257,5.527375221,-1.466404796,1
335,289,5.148884773,0.1203868985,1
335,321,3.605030775,1.081497192,1
335,353,10.13860893,18.26142311,1
335,385,2.993003607,-0.9663739204,1
335,417,1.772286177,-1.127640486,1
335,449,3.176251411,-0.9945317507,1
335,481,4.077032566,-1.395180106,1
335,513,4.176405907,-0.4391066432,1
335,545,3.872946262,1.519989729,1
335,577,4.901575089,1.283147454,1
335,609,6.43437624,0.2427635193,1
335,641,7.109090805,0.02594095469,1
335,673,7.369384766,0.07745718956,1
335,705,8.615487099,1.664563179,1
335,737,9.97795105,1.247227192,1
335,769,11.42645359,2.204945087,1
335,801,12.81707764,3.884212255,1
335,833,14.45433426,4.071338654,1
335,865,16.79787064,3.184663296,1
335,897,19.18690491,2.949310541,1
335,929,19.79764366,3.023273945,1
335,961,21.05066109,2.727461815,1
335,993,23.55563545,0.9805556536,1
335,1025,24.21190834,-0.2063190937,1
335,1057,23.50006294,-1.488127232,1
335,1089,11.20792007,10.42520523,1
335,1121,19.12870789,-0.06936895847,1
335,1153,20.46061707,1.232627392,1
335,1185,21.5470314,-1.169608593,1
335,1217,21.65697289,-5.711071968,1
335,1249,21.36386108,-7.340379715,1
335,1281,20.32400894,-6.613416195,1
335,1313,19.6221714,-5.719799042,1
335,1345,19.25425911,-5.290036201,1
335,1377,16.96665573,-5.144011497,1
335,1409,14.03078461,-5.919652462,1
335,1441,13.00236702,-7.621635914,1
335,1473,12.14134884,-8.934501648,1
335,1505,10.45219612,-7.583506107,1
335,1537,8.506518364,-6.788226128,1
335,1569,9.285161972,-7.000856876,1
335,1601,9.321198463,-6.514289379,1
335,1633,9.036363602,-5.601686954,1
335,1665,8.203978539,-4.930314541,1
335,1697,8.135204315,-4.970129967,1
335,1729,7.79416275,-5.428955555,1
335,1761,7.723008156,-5.989298344,1
335,1793,6.706035137,-5.528992653,1
335,1825,5.345601559,-5.148561001,1
335,1857,4.610693932,-5.177031994,1
335,1889,4.48090744,-4.862149715,1
335,1921,3.127383709,-3.886463642,1
335,1953,0.6938678026,-1.436504602,1
335,1985,-0.5194638968,-1.109894753,1
335,2017,0.05988144875,-3.049044609,1
367,33,1.545249939,0.2001402378,1
367,65,2.299735069,-0.218192786,1
367,97,2.790619135,0.2590987086,1
367,129,3.607722998,1.216050625,1
367,161,4.276136398,0.3656703234,1
367,193,5.333968639,0.02432768419,1
367,225,4.45947504,-0.01600165665,1
367,257,3.03272748,0.3279567361,1
367,289,2.166760206,0.8539099097,1
367,321,2.662753105,0.382089287,1
367,353,4.322479248,0.08223463595,1
367,385,3.465154648,-0.1044357121,1
367,417,2.249197483,-1.357621908,1
367,449,3.022160769,-1.207310438,1
367,481,3.189647436,-1.742230296,1
367,513,3.568840027,-2.053236485,1
367,545,4.897580147,-0.05531895161,1
367,577,5.627831459,0.7196207047,1
367,609,5.814662457,0.4135436416,1
367,641,6.116152287,0.03894907236,1
367,673,7.118994236,0.5591391325,1
367,705,8.427366257,1.586257935,1
367,737,9.793047905,2.496756315,1
367,769,10.9381485,3.195013285,1
367,801,-4.464281082,14.60904121,1
367,833,22.6473465,22.05047226,1
367,865,16.86856842,5.05503273,1
367,897,17.92133331,5.476841927,1
367,929,19.98744583,2.86017704,1
367,961,23.23431778,3.918679237,1
367,993,24.07812691,3.109954357,1
367,1025,24.84646988,-0.181832239,1
367,1057,25.15631866,-1.358702898,1
367,1089,22.14788055,-1.321946383,1
367,1121,20.94649506,-0.5216732025,1
367,1153,20.51993752,0.7890613079,1
367,1185,20.89930344,-0.7646307945,1
367,1217,21.697752,-4.836788177,1
367,1249,21.26589203,-6.223013878,1
367,1281,20.356987,-6.566467762,1
367,1313,20.09353256,-7.547644138,1
367,1345,22.01366043,-8.033171654,1
367,1377,18.99399567,-8.206443787,1
367,1409,16.66032028,-7.683567047,1
367,1441,19.08683777,6.648288727,1
367,1473,12.20218849,-7.987543106,1
367,1505,10.17056751,-8.32160759,1
367,1537,9.060157776,-6.896643639,1
367,1569,9.099045753,-6.801300526,1
367,1601,9.970208168,-6.631513596,1
367,1633,-9.986772537,-5.597373962,1
367,1665,-4.907159805,-20.19770622,1
367,1697,-11.0982542,-8.453104019,1
367,1729,7.128428459,-7.09626627,1
367,1761,7.508499622,-6.774573803,1
367,1793,6.764874935,-6.592021465,1
367,1825,5.884261131,-5.110830307,1
367,1857,5.779290199,-4.060848236,1
367,1889,3.1585145,-4.912908077,1
367,1921,0.6227654219,-2.996183157,1
367,1953,-1.606591344,-1.641543865,1
367,1985,-1.220497966,-0.9961719513,1
367,2017,-0.2425193787,-3.379861832,1
399,33,0.5399547815,0.2336858511,1
399,65,3.063533306,1.792513967,1
