PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 41, filenames: A:[41]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi & B:[42]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
175,1793,-0.2633810043,-0.07419763505,1
175,1825,-0.1930069923,0.5460572839,1
175,1857,-0.04264062643,0.434568584,1
175,1889,-0.1657118797,-0.01853817701,1
175,1921,-0.2133025527,0.07077478617,1
175,1953,-0.003930602223,-0.09335279465,1
175,1985,0.2153315842,-0.2122453004,1
175,2017,0.4065599442,-0.05090968311,1
207,33,3.835118771,3.63255167,1
207,65,1.758319497,-1.804290056,1
207,97,1.420389891,-3.156175613,1
207,129,1.391916037,-2.90767169,1
207,161,1.709369063,-2.517363787,1
207,193,1.920038581,-3.391941309,1
207,225,17.18408203,-15.44702148,1
207,257,0.7804778814,-3.384823084,1
207,289,0.6110223532,-5.545389652,1
207,321,0.6983250976,-5.049152851,1
207,353,0.2127498388,-4.514044762,1
207,385,-0.42226547,-6.176781654,1
207,417,-0.8859416246,-6.725746155,1
207,449,-0.4786552191,-4.463168144,1
207,481,-1.164290667,-4.0309515,1
207,513,-0.6943423152,-3.772881269,1
207,545,0.4357192516,-3.4433074,1
207,577,1.092816114,-2.659608364,1
207,609,1.088150978,-2.307770491,1
207,641,0.1820111275,-1.775791407,1
207,673,-0.1461395919,-1.593681335,1
207,705,0.7404081225,-1.63794601,1
207,737,0.6791439652,-0.08208620548,1
207,769,0.8040943146,0.3970320225,1
207,801,-0.02568733692,-2.590751171,1
207,833,-0.01782655716,-3.537343025,1
207,865,0.1072069108,-2.950345516,1
207,897,0.4366915226,-3.754234552,1
207,929,0.5964597464,-2.816642523,1
207,961,0.4813233614,-2.752776623,1
207,993,0.7159938216,-2.633887529,1
207,1025,1.030049443,-3.704916239,1
207,1057,0.8630895019,-3.726837873,1
207,1089,1.250240207,-0.9891967773,1
207,1121,0.7662181854,-0.5169200897,1
207,1153,-0.702562511,-1.217058539,1
207,1185,-1.27215004,-1.669037104,1
207,1217,-1.899246812,0.004979133606,1
207,1249,-2.087668896,0.3625872135,1
207,1281,-2.915070057,-1.224873424,1
207,1313,-2.211091757,-0.4137711525,1
207,1345,13.51239777,5.426923752,1
207,1377,-2.298568726,-1.262016296,1
207,1409,-1.598172903,-1.461605787,1
207,1441,-0.337143302,0.2890817523,1
207,1473,-2.007250309,1.200799227,1
207,1505,-2.262548447,0.5586408377,1
207,1537,-2.170261145,-0.1798499674,1
207,1569,-3.523060083,-0.7445294857,1
207,1601,-4.01077652,-0.1211408973,1
207,1633,-3.630123615,-0.5824314952,1
207,1665,-4.695765972,-0.2497099638,1
207,1697,-5.236105442,0.5342008471,1
207,1729,-4.638802052,1.050997257,1
207,1761,-19.96543312,-8.347125053,1
207,1793,-1.382856369,-0.1578186452,1
207,1825,-0.1898555756,0.3523783386,1
207,1857,-0.2658682466,0.970019877,1
207,1889,-0.03539976478,-0.407864809,1
207,1921,0.04173281044,-0.109336853,1
207,1953,0.06335280836,0.1781457663,1
207,1985,0.01976630092,-0.09082686901,1
207,2017,0.05307757854,-0.1094500795,1
239,33,2.281799316,3.596796751,1
239,65,0.3492290974,-1.946762204,1
239,97,0.5173766613,-3.447986126,1
239,129,1.113366723,-2.352860451,1
239,161,1.560942411,-2.495279074,1
239,193,1.955183983,-3.531750917,1
239,225,-1.819620252,-18.93062019,1
239,257,1.016324639,-1.723332167,1
239,289,0.1689808369,-3.787759304,1
239,321,0.5109347105,-4.027406693,1
239,353,1.514148355,-4.341357708,1
239,385,0.6608437896,-5.820473671,1
239,417,1.183848143,-8.700350761,1
239,449,-0.9686763287,-4.525913715,1
239,481,-2.081666946,-3.389804125,1
239,513,-1.036405087,-3.750425339,1
239,545,0.7926620841,-3.577177286,1
239,577,-5.271285057,7.999016285,1
239,609,-5.555208206,-21.10524178,1
239,641,-0.2848677039,-2.51083684,1
239,673,-0.2594077587,-2.057013035,1
239,705,1.123993397,-1.265635371,1
239,737,0.988245368,0.05296742916,1
239,769,0.8877478838,-0.5373017788,1
239,801,2.192175388,-4.381873131,1
239,833,0.877837956,-4.397240162,1
239,865,-0.8525110483,-2.979107141,1
239,897,0.07176192105,-3.084625721,1
239,929,0.2819676399,-3.189914227,1
239,961,0.7001433372,-2.568424702,1
239,993,1.291503668,-2.793866634,1
239,1025,2.057543039,-3.768646955,1
239,1057,2.499817371,-4.066028595,1
239,1089,2.015150309,-3.12367034,1
239,1121,-0.4625932574,-1.435373187,1
239,1153,-2.385438919,-0.550369978,1
239,1185,-1.666106224,-0.7739449143,1
239,1217,-1.769809365,-0.2421576381,1
239,1249,-1.609729767,-0.3677694201,1
239,1281,-1.768507957,-0.9415395856,1
239,1313,-1.630787611,-0.6839503646,1
239,1345,-1.11762476,-0.2657689452,1
239,1377,-3.03126812,-1.267044902,1
239,1409,-3.838697433,-0.9971945286,1
239,1441,-1.367638588,0.5149009228,1
239,1473,-1.530271292,1.240516663,1
239,1505,-3.056227207,0.693171978,1
239,1537,-3.301113844,-0.5608426332,1
239,1569,-4.52345705,-0.8666582704,1
239,1601,-5.410357952,-0.4471097589,1
239,1633,-4.46318388,-0.7657035589,1
239,1665,-4.79598093,-0.8000441194,1
239,1697,-5.092582226,-1.01085341,1
239,1729,-5.15864563,-0.9849017859,1
239,1761,-5.175068378,-0.8449065089,1
239,1793,-2.349201202,-0.3175914288,1
239,1825,-1.486854911,-0.3224081397,1
239,1857,-0.7535016537,0.2677930593,1
239,1889,-0.2898557186,-0.6208641529,1
239,1921,0.1707415283,-0.2723481357,1
239,1953,0.4134116769,0.002040922642,1
239,1985,0.09868070483,-0.06474271417,1
239,2017,-0.1134214625,-0.08293800801,1
271,33,-0.03702795506,3.329639673,1
271,65,0.1904016137,-2.107493639,1
271,97,0.2916491628,-3.243843079,1
271,129,0.7123097181,-2.556852818,1
271,161,1.467088938,-2.77277565,1
271,193,2.111769676,-3.089385033,1
271,225,2.970087767,-3.278010368,1
271,257,1.318746924,-2.413568497,1
271,289,0.5780261755,-3.275661469,1
271,321,1.008567333,-3.860887527,1
271,353,1.984101772,-3.814842701,1
271,385,0.5725544691,-3.920570135,1
271,417,-0.2950966358,-3.455746889,1
271,449,-1.319627523,-4.062617779,1
271,481,-1.431343436,-2.757936954,1
271,513,-0.1968308091,-3.152545452,1
271,545,4.302315712,-4.160681725,1
271,577,-7.443301678,10.39171886,1
271,609,1.297925234,-3.031932592,1
271,641,-2.791370869,-2.158145905,1
271,673,-1.374825001,-1.920129538,1
271,705,0.9453825951,-1.402927279,1
271,737,1.535296082,-1.170562744,1
271,769,1.841570377,-1.824361801,1
271,801,2.408262968,-3.39500618,1
271,833,1.097719789,-2.841949224,1
271,865,-0.1180477142,-2.73548913,1
271,897,-0.03743848205,-2.739827633,1
271,929,-0.4953991473,-2.044908285,1
271,961,-0.08550363779,-2.054816246,1
271,993,0.9348285198,-2.575240612,1
271,1025,1.847744346,-3.029233932,1
271,1057,2.948102474,-3.641244411,1
271,1089,3.182359219,-3.187707663,1
271,1121,-0.04098129272,-0.1573183537,1
271,1153,-1.207056284,1.120151877,1
271,1185,-1.662888885,-0.3278791308,1
271,1217,-2.170513153,-1.165082574,1
271,1249,-1.030400753,-1.038591146,1
271,1281,-0.7992956638,-0.9525151253,1
271,1313,-1.666183114,-0.3681778312,1
271,1345,-2.597517014,-0.621543467,1
271,1377,-4.439839363,-2.137596369,1
271,1409,-4.279598236,-0.9192311764,1
271,1441,-2.28172493,0.750202775,1
271,1473,-1.902261257,1.210524797,1
271,1505,-2.203452826,0.7103212476,1
271,1537,-2.384868622,0.216101408,1
271,1569,-3.141990662,-0.3964633942,1
271,1601,-3.678632259,-0.5341067314,1
271,1633,-3.307545185,-0.980607748,1
271,1665,-2.965307236,-1.231988192,1
271,1697,-3.325217724,-1.258353829,1
271,1729,-4.148856163,-1.382350206,1
271,1761,-4.073495865,-1.877817869,1
271,1793,-3.303784609,-0.763667345,1
271,1825,-1.707259655,0.1426076293,1
