PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 9, filenames: A:[9]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi & B:[10]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
52,195,1.004874945,-1.985017061,1
52,211,0.9471460581,-2.369612932,1
52,227,1.626184464,-2.541359901,1
52,243,1.198799849,-2.277856827,1
52,259,0.8649516106,-2.317695141,1
52,275,1.097766638,-2.346398354,1
52,291,1.053356171,-2.260454178,1
52,307,0.937538147,-2.182659149,1
52,323,1.043535471,-1.910772681,1
52,339,0.9386636019,-1.749383926,1
52,355,0.5128057599,-1.94529593,1
52,371,0.8132554889,-1.435148954,1
52,387,0.7973766327,-1.284844279,1
52,403,0.8238716722,-1.87507391,1
68,19,-0.6958892345,0.9165397286,1
68,35,NaN,NaN,2
68,51,NaN,NaN,2
68,67,NaN,NaN,2
68,83,NaN,NaN,2
68,99,0.1973995119,0.7606489658,1
68,115,0.4177173376,-0.1991456598,1
68,131,0.5952346325,-0.7698889971,1
68,147,0.4179921746,-1.081979036,1
68,163,0.4290798306,-1.153062344,1
68,179,0.7509108782,-1.951009393,1
68,195,0.6700736284,-2.426398754,1
68,211,0.7719509602,-2.335463047,1
68,227,NaN,NaN,2
68,243,0.9250833988,-2.094552279,1
68,259,1.052428484,-2.212136745,1
68,275,1.356352448,-2.376834631,1
68,291,1.434173107,-2.215634823,1
68,307,1.247637391,-2.240374088,1
68,323,1.069995522,-1.958568692,1
68,339,0.9820286632,-1.847395182,1
68,355,NaN,NaN,2
68,371,0.9797289371,-1.75510025,1
68,387,0.8729602098,-1.808351159,1
68,403,0.9472339153,-1.74741888,1
84,19,-1.540192485,0.7328916192,1
84,35,-1.453009605,0.2728235126,1
84,51,NaN,NaN,2
84,67,0.1582907587,0.7703995109,1
84,83,-0.006762087345,0.5316788554,1
84,99,0.168438673,0.4749891162,1
84,115,0.3831775188,-0.2297355384,1
84,131,0.7465295792,-1.056905031,1
84,147,0.686501801,-1.785057068,1
84,163,0.5704599619,-1.067296982,1
84,179,0.5302954912,-1.316658258,1
84,195,0.3559642434,-2.4871912,1
84,211,0.8410636187,-2.363675833,1
84,227,1.092937112,-2.510533094,1
84,243,0.9656400084,-2.385709286,1
84,259,0.8872678876,-2.058423519,1
84,275,1.046936393,-1.781282663,1
84,291,1.279175997,-2.047179699,1
84,307,1.216069937,-2.174739838,1
84,323,1.117655516,-1.702517986,1
84,339,0.8412053585,-1.571296334,1
84,355,0.9312378168,-1.0978899,1
84,371,1.035532951,-1.607565641,1
84,387,0.8734139204,-1.478473425,1
84,403,1.146470904,-1.054328084,1
100,19,-0.5696675777,1.337700963,1
100,35,-0.8377702236,0.3982829452,1
100,51,0.2002180666,0.6190446019,1
100,67,0.6668766141,0.8031300306,1
100,83,0.579813838,0.4315208197,1
100,99,0.3483424187,0.1656372845,1
100,115,-0.004582464695,-1.280330181,1
100,131,0.9665082693,-1.248265743,1
100,147,0.728485167,-1.497035027,1
100,163,0.3243103027,-1.155179262,1
100,179,0.3193024993,-0.311162591,1
100,195,0.6575431228,-1.722167015,1
100,211,1.320223451,-2.621855736,1
100,227,1.041294932,-2.798037529,1
100,243,0.8909586668,-2.601857901,1
100,259,0.9094968438,-2.044507504,1
100,275,1.02283144,-1.918983936,1
100,291,0.9558399916,-2.041842937,1
100,307,1.134537935,-1.882300377,1
100,323,1.141996861,-1.672950268,1
100,339,1.076842308,-1.442911386,1
100,355,NaN,NaN,2
100,371,1.051212668,-1.816148996,1
100,387,1.145978689,-1.459402084,1
100,403,1.556116581,-0.9745237827,1
116,19,-0.148135066,1.430130005,1
116,35,0.1639300585,1.010490417,1
116,51,0.68271029,1.002357244,1
116,67,NaN,NaN,2
116,83,0.7290508747,0.4549431205,1
116,99,0.9667651653,0.1996127069,1
116,115,0.585274756,-0.5892029405,1
116,131,0.8553847671,-0.9838917255,1
116,147,0.7405955791,-0.9819908142,1
116,163,0.2665475011,-1.047697425,1
116,179,0.2027622163,-1.354154229,1
116,195,0.5406014323,-1.756079078,1
116,211,0.794754684,-2.657004118,1
116,227,0.9730659127,-2.955316544,1
116,243,1.04213798,-2.732220173,1
116,259,1.167705059,-2.339784145,1
116,275,1.228642821,-2.646430492,1
116,291,1.23956418,-2.326567173,1
116,307,1.370317698,-1.801779389,1
116,323,0.9281486273,-2.166911125,1
116,339,1.012237191,-1.754415393,1
116,355,1.472593069,-1.832421184,1
116,371,0.9511707425,-1.756917,1
116,387,0.9724228382,-1.374899626,1
116,403,1.424512148,-0.75852108,1
132,19,0.008002579212,1.264851093,1
132,35,-0.5122349262,0.8939979672,1
132,51,-0.1838505864,0.8461023569,1
132,67,0.5266836286,0.815128088,1
132,83,0.7692840099,0.7237318158,1
132,99,0.9227600098,0.3994985819,1
132,115,NaN,NaN,2
132,131,NaN,NaN,2
132,147,0.8600564003,-0.4774131775,1
132,163,0.2533886135,-1.095454931,1
132,179,0.3011389971,-1.91379559,1
132,195,0.2519507408,-1.991956115,1
132,211,0.5021103621,-2.570402384,1
132,227,1.202888727,-3.133264542,1
132,243,2.135142088,-3.046777964,1
132,259,1.631259918,-2.818357944,1
132,275,1.392990351,-2.865776062,1
132,291,1.419149995,-2.515495062,1
132,307,1.138556242,-2.072258472,1
132,323,1.69088614,-2.023015499,1
132,339,1.263632178,-1.798789263,1
132,355,1.174133301,-1.434564352,1
132,371,1.04467237,-1.144227028,1
132,387,1.232598901,-1.51626277,1
132,403,1.508381128,-1.02664113,1
148,19,0.135345161,1.319058061,1
148,35,-0.8304319978,1.136136055,1
148,51,-0.9822095037,0.8671900034,1
148,67,-0.1612731069,0.6297885776,1
148,83,0.2209905386,0.7517989874,1
148,99,0.434381485,0.5280644298,1
148,115,0.5891809464,0.09436333179,1
148,131,0.5013712049,-0.4285703301,1
148,147,0.6267120242,-0.1743679345,1
148,163,0.4223761261,-0.5120995045,1
148,179,0.1149871051,-1.297639012,1
148,195,-0.6903128624,-2.019336224,1
148,211,0.03375846148,-3.171373844,1
148,227,0.575301528,-3.250337839,1
148,243,0.866348803,-3.183163881,1
148,259,1.183068633,-2.766869783,1
148,275,1.134920239,-2.728884935,1
148,291,1.245531917,-2.80270195,1
148,307,1.06099999,-2.267109394,1
148,323,1.584677696,-2.152411938,1
148,339,0.7907542586,-1.755669832,1
148,355,0.7385537624,-1.84835434,1
148,371,1.10174191,-1.671694756,1
148,387,1.334387302,-1.562777996,1
148,403,2.189796925,-1.259337187,1
164,19,0.1591200233,1.26418829,1
164,35,-0.6151670814,1.548355937,1
164,51,-0.9302626252,1.053324103,1
164,67,-0.2568938732,0.8038515449,1
164,83,1.186641932,0.729125917,1
164,99,0.8010187149,0.7326369286,1
164,115,0.8760972619,0.167208612,1
164,131,0.5999590158,-0.1840046346,1
164,147,0.1907764971,-0.2643821836,1
164,163,0.1882686913,-0.3248451352,1
164,179,0.1520616859,-0.9867268801,1
164,195,NaN,NaN,2
164,211,0.1581444144,-2.642197132,1
164,227,0.3173064291,-2.723150253,1
164,243,0.6764575243,-2.800601006,1
164,259,0.7246746421,-2.678239346,1
164,275,0.8262580633,-2.482404947,1
164,291,1.142907023,-2.501236439,1
164,307,1.322078466,-2.187154531,1
164,323,0.4720618129,-2.528772354,1
164,339,0.1707732081,-2.034559727,1
164,355,0.4177099466,-1.797428608,1
164,371,0.7657971382,-1.843421221,1
164,387,1.000909925,-1.365318418,1
164,403,2.129593849,-0.6501070261,1
180,19,0.2247635424,1.534901977,1
180,35,-0.2801055908,1.712690353,1
180,51,-0.4904472232,1.390802503,1
180,67,-0.136846289,0.7418348193,1
180,83,0.345066607,1.115679383,1
180,99,0.5032557249,0.7121940851,1
180,115,0.6881046891,0.3809712827,1
180,131,0.5506373644,0.10881567,1
180,147,0.2199202478,-0.05378556252,1
180,163,0.1113351285,-0.4225248396,1
180,179,-0.1913449168,-1.025074124,1
180,195,NaN,NaN,2
180,211,0.3553638756,-2.476645231,1
180,227,0.260265857,-2.31662631,1
180,243,0.4869245589,-2.607732773,1
180,259,0.5431195498,-2.488386393,1
180,275,0.4918686748,-2.233475685,1
180,291,0.8777652383,-2.159434319,1
180,307,1.720021486,-2.307150126,1
180,323,0.5922760963,-2.628339052,1
180,339,0.1047980189,-2.417880058,1
180,355,0.2040558755,-1.64381361,1
180,371,1.412715197,-1.356470227,1
180,387,1.662533164,-1.371344686,1
180,403,2.632524252,-0.007171690464,1
196,19,0.5375573039,1.532036185,1
196,35,-0.09646382928,1.344448328,1
196,51,-0.2688202858,1.377639174,1
196,67,-0.1804362833,1.054110885,1
196,83,0.09343925118,0.5447514653,1
196,99,0.4358570576,0.4760917425,1
196,115,0.6450301409,0.2444937676,1
196,131,0.6055682898,-0.4151432514,1
196,147,0.4745621681,-0.2813850939,1
196,163,0.07910466194,-0.4834762812,1
196,179,-0.2869592905,-1.415979028,1
196,195,-0.3435605168,-1.645108104,1
196,211,0.1118312031,-2.660810232,1
196,227,0.3170506954,-1.676518917,1
196,243,0.4124009609,-2.265167236,1
196,259,0.371152997,-2.455504894,1
196,275,0.5138471723,-2.094642162,1
196,291,0.8861580491,-2.069542408,1
196,307,1.180276394,-2.309466362,1
196,323,1.189960718,-2.393652201,1
196,339,0.5273621678,-2.327844381,1
196,355,0.5806295276,-1.771071911,1
196,371,1.565829515,-0.8168132305,1
196,387,1.479748249,-1.54084146,1
196,403,2.270433664,-0.5380925536,1
212,19,0.6293824315,1.011762261,1
212,35,0.1403451562,1.05033648,1
212,51,-0.225443691,1.083420157,1
212,67,-0.04032661766,0.7287806869,1
212,83,0.6623420715,0.4455624223,1
212,99,0.8909676671,0.2198966742,1
212,115,1.291607976,0.07839202136,1
212,131,1.275920033,-0.3606776297,1
212,147,0.8059945703,-0.6828778386,1
212,163,0.5931036472,-0.5766900182,1
212,179,0.1366906166,-0.3543082476,1
212,195,0.2084501535,-0.76588732,1
212,211,-0.09061466157,-1.707580328,1
212,227,-1.335476398,-1.862596512,1
212,243,-0.13615264,-2.104357958,1
212,259,0.5178627968,-2.187238693,1
212,275,0.9677016139,-2.091139793,1
212,291,0.8397856951,-1.981360197,1
212,307,0.9795644283,-2.192667723,1
212,323,1.273325562,-2.455465555,1
212,339,1.13760221,-2.360436678,1
212,355,1.13405633,-1.879873991,1
212,371,1.639860988,-1.484986305,1
212,387,1.555740118,-1.321346641,1
212,403,2.091819525,-0.7076311111,1
228,19,-0.2009962797,0.8997330666,1
228,35,-0.2451634705,0.9032433629,1
228,51,-0.1497759223,1.14620316,1
228,67,0.1029731482,0.8854522109,1
228,83,NaN,NaN,2
228,99,1.112449884,0.7793283463,1
228,115,1.471037149,0.09420794249,1
228,131,1.609594464,-0.4214577675,1
228,147,1.408181906,-0.9397614002,1
228,163,1.436271429,-0.7217253447,1
228,179,1.383126974,-0.4409621954,1
228,195,0.8017299771,-0.6578181386,1
228,211,-0.2491295934,-1.420211315,1
228,227,-0.9236335754,-1.967590809,1
228,243,0.2163802832,-2.143332958,1
228,259,0.7785161734,-1.907130241,1
228,275,1.061384439,-2.228514671,1
228,291,0.6236855388,-2.196829557,1
228,307,0.6319701672,-2.177688122,1
228,323,0.8433725834,-2.749416113,1
228,339,1.074907899,-3.282162905,1
228,355,1.186850309,-2.386234283,1
228,371,1.826661229,-1.602238178,1
228,387,1.76954627,-0.9425597191,1
228,403,1.510964274,-0.3337391615,1
244,19,-0.4231102169,0.7748147249,1
244,35,-0.6921798587,0.7672149539,1
244,51,0.2178446949,1.153185844,1
244,67,0.5135761499,1.067333698,1
244,83,3.301983595,2.303665161,1
244,99,1.080067635,0.639719367,1
244,115,1.305538535,-0.2396256328,1
244,131,1.473176837,-0.437362045,1
244,147,1.284242511,-0.9421682358,1
244,163,1.353951216,-1.206344485,1
244,179,1.414719462,-1.142576575,1
244,195,0.9176478386,-1.115710616,1
244,211,0.04687303305,-1.499396324,1
244,227,-0.03137074411,-1.980181456,1
244,243,0.4780863523,-2.389013052,1
244,259,0.8042100668,-2.167968988,1
244,275,1.055852413,-2.486397505,1
244,291,0.8031369448,-2.317578077,1
244,307,0.5458853245,-2.159453392,1
244,323,0.7842168212,-2.313750267,1
244,339,1.431426764,-2.596377373,1
244,355,1.447499037,-2.393186569,1
244,371,1.496818781,-1.487136602,1
244,387,1.200151682,-0.8427667618,1
244,403,0.3624239564,-0.6484224796,1
260,19,-0.6031678915,0.8422560692,1
260,35,-0.5014543533,0.991941452,1
260,51,-0.1166420281,1.273097873,1
260,67,0.4410407543,0.8136847019,1
260,83,1.028799415,0.3691371083,1
260,99,0.8750362396,-0.3390854597,1
260,115,0.4802687168,-0.5802447796,1
260,131,0.8878918886,-0.4153314829,1
260,147,1.182145953,-0.846442163,1
260,163,1.206014633,-1.61003828,1
260,179,1.170133591,-1.701565027,1
260,195,0.7589219809,-1.605808616,1
260,211,0.2352953553,-2.014930248,1
260,227,0.05098634958,-2.525477171,1
260,243,0.5900537968,-2.848965645,1
260,259,1.517185926,-2.559639931,1
260,275,1.557355881,-2.372356415,1
260,291,1.316340208,-2.126507998,1
260,307,0.9850930572,-2.223763466,1
260,323,0.9426493049,-1.941687584,1
260,339,1.272400379,-1.740925312,1
260,355,1.155326962,-2.098734379,1
260,371,0.915261507,-1.732565641,1
260,387,0.3528300524,-1.045168281,1
260,403,-0.7590702772,-1.243676066,1
276,19,-0.7252704501,0.3747147024,1
276,35,-0.5590394735,1.088968754,1
276,51,0.01888990402,1.507699847,1
276,67,0.5698137879,0.7811219692,1
276,83,1.391360044,-0.4783339798,1
276,99,0.8468651772,-0.7710605264,1
276,115,0.4800606966,-0.7399787903,1
276,131,0.8250177503,-0.8089550138,1
276,147,1.038565755,-1.211734295,1
276,163,1.048755884,-1.784105539,1
276,179,1.12372458,-2.176425457,1
276,195,0.7027802467,-1.995222211,1
276,211,-0.1323869824,-2.29300189,1
276,227,-0.7026595473,-2.961326838,1
276,243,0.3960664868,-2.725843906,1
276,259,1.444313049,-2.257351637,1
276,275,1.573776722,-2.167652845,1
276,291,1.115992785,-1.925055265,1
276,307,0.7493643165,-2.066238403,1
276,323,0.8952599764,-2.277245283,1
276,339,0.9794388413,-2.060169697,1
276,355,0.9301019311,-2.116477728,1
276,371,1.033204794,-2.155656815,1
276,387,0.3212865889,-1.508500814,1
276,403,-1.013694882,-1.128580332,1
292,19,-0.7762600183,1.031120181,1
292,35,-0.02682041377,1.127851129,1
292,51,0.2895846665,1.177327156,1
292,67,0.305775106,0.6063699722,1
292,83,0.5012369752,-0.2015508413,1
292,99,0.7032901645,-0.532443285,1
292,115,0.7474207878,-0.5143610835,1
292,131,0.9752688408,-0.5835967064,1
292,147,1.020362139,-1.314165711,1
292,163,1.004644513,-1.954889655,1
292,179,1.249576092,-1.852585673,1
292,195,0.5527948737,-2.102594614,1
292,211,0.1052338481,-2.53190589,1
292,227,0.2356027067,-2.949228764,1
292,243,0.7627828717,-2.907985926,1
292,259,1.143062592,-2.465280294,1
292,275,1.378354311,-2.033380985,1
292,291,0.5849589109,-1.229666233,1
292,307,0.4018170834,-1.728223205,1
292,323,0.5184559226,-2.698468447,1
292,339,0.7616724372,-2.639846087,1
292,355,1.022034526,-1.744951248,1
292,371,1.116419077,-2.051704407,1
292,387,0.1657194793,-1.327410102,1
292,403,-0.3380813599,-0.6811899543,1
308,19,-0.7363036275,1.2679739,1
308,35,-0.2521901727,1.007771015,1
308,51,-0.1349346042,0.7793100476,1
308,67,-0.1490764469,0.4471125901,1
308,83,0.0754674226,-0.001794889569,1
308,99,0.4087876678,0.4833998084,1
308,115,0.5774774551,-0.2130463123,1
308,131,0.6309028268,-0.4123390913,1
308,147,0.8484783769,-0.9624680877,1
308,163,1.04039669,-1.709817648,1
308,179,0.8645855784,-1.752076149,1
308,195,0.8636415005,-1.808409572,1
308,211,1.268801451,-2.343055964,1
308,227,1.057995558,-2.846336365,1
308,243,0.9930807352,-2.936359167,1
308,259,0.7356522083,-2.56503129,1
308,275,0.6170291901,-2.182660341,1
308,291,0.4799414277,-0.5041325092,1
308,307,0.3366917074,-1.684914589,1
308,323,0.2185437083,-2.923281908,1
308,339,0.3591112196,-2.805306196,1
308,355,0.8442862034,-1.769225836,1
308,371,0.7857108116,-1.703142047,1
308,387,NaN,NaN,2
308,403,0.8144632578,-0.3463661671,1
324,19,-0.3282170296,0.7397228479,1
324,35,-0.1129201949,0.807933569,1
324,51,-0.4268704653,0.7688216567,1
324,67,-1.075014114,0.8130084276,1
324,83,-0.9699569941,-0.2367150784,1
324,99,NaN,NaN,2
324,115,0.2504497468,-0.09562718868,1
324,131,0.4679296017,-0.4038004577,1
324,147,0.4003213644,-0.602376461,1
324,163,0.4253663421,-1.244225979,1
324,179,1.043096185,-1.658493638,1
324,195,1.456716657,-1.643453121,1
324,211,1.444917202,-1.804844379,1
324,227,1.245578051,-2.323423147,1
324,243,0.4830468893,-2.81697464,1
324,259,0.7743071914,-2.658140659,1
324,275,0.9594895244,-2.596180439,1
324,291,0.6163085699,-2.266649008,1
324,307,0.3937492371,-2.093024254,1
324,323,-0.01792314649,-2.547655582,1
324,339,0.2269250453,-2.479851246,1
324,355,0.7031094432,-1.786664486,1
324,371,0.5112555623,-1.647164345,1
324,387,0.2563186288,-1.354672194,1
324,403,0.3714455962,-1.532955647,1
340,19,-0.07032734156,0.2815841734,1
340,35,0.3053709269,0.6283644438,1
340,51,-0.06460468471,0.8655910492,1
340,67,-0.4574542046,1.10557282,1
340,83,NaN,NaN,2
340,99,0.5841701627,0.1891648173,1
340,115,0.3079830408,0.07938081771,1
340,131,0.1748842001,-0.2880226076,1
340,147,0.1597941518,-0.7475247383,1
340,163,0.5179224014,-1.251423597,1
340,179,1.220156193,-1.57370615,1
340,195,1.295392036,-1.700326681,1
340,211,1.103800893,-1.77930522,1
340,227,1.007453918,-2.184557438,1
340,243,0.4668611884,-3.206532717,1
340,259,0.9846547246,-2.859110832,1
340,275,0.9753265381,-2.157021046,1
340,291,0.6766281724,-2.175430536,1
340,307,0.76915133,-2.583178997,1
340,323,0.3597377539,-2.553135872,1
340,339,0.4323914051,-2.243700504,1
340,355,0.6471343637,-1.630622745,1
340,371,0.1316430867,-0.9987406731,1
340,387,0.04184757173,-1.048639178,1
340,403,-0.2644464374,-1.698985577,1
356,19,-0.3151278496,-0.05406367779,1
356,35,0.6047361493,0.5965020657,1
356,51,0.1982987821,0.7522687316,1
356,67,NaN,NaN,2
356,83,NaN,NaN,2
356,99,0.4020787477,0.3613048494,1
356,115,0.3892335892,0.2988357246,1
356,131,0.1516658068,-0.321038574,1
356,147,0.5077375174,-1.010385752,1
356,163,1.109850287,-1.429914951,1
356,179,1.474130392,-1.623859644,1
356,195,1.193927169,-1.920442343,1
356,211,0.2591909766,-2.235511303,1
356,227,0.8113120794,-2.555403709,1
356,243,0.854531765,-3.011013031,1
356,259,0.9661358595,-3.21495676,1
356,275,0.8824099302,-2.725413084,1
356,291,0.6198498011,-2.301202059,1
356,307,0.8309705257,-2.370451689,1
356,323,0.7923331857,-2.185192108,1
356,339,0.7956546545,-2.145067453,1
356,355,0.8660699725,-1.685580611,1
356,371,0.5433849096,-1.456893921,1
356,387,0.1590063721,-1.251465678,1
356,403,-0.5315979719,-1.605406523,1
372,19,0.1580477655,-0.1816006005,1
372,35,0.6099152565,0.3877156377,1
372,51,NaN,NaN,2
372,67,NaN,NaN,2
372,83,NaN,NaN,2
372,99,-0.07505911589,-0.2222718298,1
372,115,0.1882053614,-0.06127128005,1
372,131,0.523173213,-0.5073215365,1
372,147,0.7195571661,-1.071592569,1
372,163,1.012786865,-1.235432029,1
372,179,0.8910055757,-1.690772533,1
372,195,0.1954646707,-1.60370183,1
372,211,-0.5132610202,-2.017119884,1
372,227,0.672680676,-2.918555021,1
372,243,0.8966342211,-3.278192759,1
372,259,0.9142208099,-3.533861399,1
372,275,0.964342773,-2.99755621,1
372,291,0.986978054,-2.522207499,1
372,307,1.307687521,-2.153447628,1
372,323,1.161701918,-2.026296616,1
372,339,2.028225183,-0.6557064056,1
372,355,0.9116818309,-1.786755681,1
372,371,0.2900162339,-2.272853851,1
372,387,-0.1553473324,-2.522609711,1
372,403,-0.07260680199,-2.575045824,1
388,19,0.4555024505,0.1569550633,1
388,35,0.1326438189,0.1829763204,1
388,51,-0.3359614015,0.1741453409,1
388,67,NaN,NaN,2
388,83,0.389519155,-0.2368725538,1
388,99,NaN,NaN,2
388,115,0.3265946507,-0.7410869598,1
388,131,0.4075750113,-0.803606391,1
388,147,0.2663043737,-1.090620399,1
388,163,0.4900608063,-0.9737867117,1
388,179,0.5555500388,-1.513226271,1
388,195,0.1941586435,-1.333046317,1
388,211,0.3347781897,-1.927512884,1
388,227,0.8410536647,-3.098348141,1
388,243,0.6710238457,-3.455582619,1
388,259,0.9444141984,-3.777049065,1
388,275,1.07471323,-2.998935461,1
388,291,1.08702445,-2.334712982,1
388,307,1.549805045,-2.158100843,1
388,323,1.570450425,-2.131266356,1
388,339,1.277689695,-1.650932312,1
388,355,NaN,NaN,2
388,371,-0.2113518119,-2.773216486,1
388,387,-0.5104611516,-2.653823137,1
388,403,0.1081462502,-2.281037092,1
404,19,0.4166513681,0.2116193771,1
404,35,0.1699428409,0.3417075872,1
404,51,NaN,NaN,2
404,67,0.2903598845,-0.3488715887,1
404,83,0.7720509768,-0.2513391674,1
404,99,NaN,NaN,2
404,115,0.8340879679,-0.442871213,1
404,131,0.5875278115,-0.9502197504,1
404,147,0.3814091682,-1.216681719,1
404,163,0.4920229614,-1.182499647,1
404,179,0.3914203048,-1.44927597,1
404,195,0.1759122014,-1.734323263,1
404,211,0.7518246174,-2.536609888,1
404,227,0.7833343744,-3.169113159,1
404,243,0.4732452631,-3.188686371,1
404,259,0.3360895514,-3.001774073,1
404,275,0.4756632447,-2.462307215,1
404,291,1.176530957,-2.271582127,1
404,307,1.526180983,-2.358907461,1
404,323,1.476180315,-1.994063854,1
404,339,1.334879041,-2.146337032,1
404,355,0.4822953641,-2.497282505,1
404,371,-0.1554779112,-3.011002779,1
404,387,-0.5060732961,-2.51288414,1
404,403,0.1488348842,-1.991341114,1
420,19,0.3053295612,0.4847342968,1
420,35,0.3226978183,0.9364289641,1
420,51,NaN,NaN,2
420,67,NaN,NaN,2
420,83,1.663616776,0.4623535275,1
420,99,0.6438373923,-0.1211236119,1
420,115,0.812237978,-0.7878482342,1
420,131,1.666065693,-1.285386324,1
420,147,1.312125206,-1.112604499,1
420,163,0.7401963472,-1.261052847,1
420,179,0.4297483265,-1.786828399,1
420,195,0.1925368607,-1.908349991,1
420,211,0.2029205114,-2.237175941,1
420,227,0.7714956999,-2.689134598,1
420,243,0.8162920475,-2.654225349,1
420,259,0.4502500892,-2.020517111,1
420,275,0.6558762789,-1.907231331,1
420,291,1.034675121,-2.206442595,1
420,307,1.1238482,-2.397576094,1
420,323,0.7734700441,-2.161510944,1
420,339,0.9391456842,-2.297251701,1
420,355,0.439818114,-1.985869169,1
420,371,-0.1865802705,-1.943410039,1
420,387,-0.1546576023,-1.964357138,1
420,403,0.8287122846,-1.867397904,1
436,19,0.3712798655,0.9282439351,1
436,35,0.3371604085,1.146977901,1
436,51,NaN,NaN,2
436,67,2.790370226,-3.652989626,1
436,83,0.3324736953,0.05637463182,1
436,99,0.5392566919,-0.3560518622,1
436,115,1.037245035,-1.581857443,1
436,131,1.857325435,-1.500549555,1
436,147,1.005284429,-0.8512222767,1
436,163,0.09595176578,-1.096481442,1
436,179,-0.1604599506,-1.854370952,1
436,195,0.1345589459,-1.656358361,1
436,211,0.526622355,-1.801165462,1
436,227,0.5670566559,-2.311260462,1
436,243,0.9244558811,-2.120112896,1
436,259,0.9391503334,-1.578321695,1
436,275,0.8962690234,-1.885949731,1
436,291,0.9081200361,-1.988414884,1
436,307,1.095624089,-2.175566673,1
436,323,0.8308839798,-2.161384344,1
436,339,0.6245203614,-2.096796989,1
436,355,0.2406888306,-1.321208715,1
436,371,0.3779243231,-0.9847452641,1
436,387,0.3357942104,-0.9845892191,1
436,403,0.4351310432,-1.405092955,1
452,19,0.9620389938,0.8050019741,1
452,35,0.7320744991,0.8841981888,1
452,51,NaN,NaN,2
452,67,NaN,NaN,2
452,83,0.03532847762,-0.1903649271,1
452,99,0.5934372544,-0.1162174344,1
452,115,NaN,NaN,2
452,131,0.743255794,-1.601994276,1
452,147,0.1897501349,-1.335789919,1
452,163,-1.040351391,-1.361416936,1
452,179,NaN,NaN,2
452,195,NaN,NaN,2
452,211,-0.09436010569,-1.737737656,1
452,227,0.3228701353,-2.025186062,1
452,243,0.6705707312,-1.678133249,1
452,259,0.5649614334,-1.741411924,1
452,275,0.1463711262,-1.592555761,1
452,291,0.4717138112,-1.937594533,1
452,307,0.6083379984,-1.998660803,1
452,323,0.6604010463,-1.834238291,1
452,339,0.4804449677,-1.698603153,1
452,355,-0.1526870728,-1.319578886,1
452,371,0.06463786215,-0.5606150031,1
