PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 1, filenames: A:[1]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi & B:[2]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
196,131,1.936974049,-0.5435230732,1
196,147,2.301335812,-0.8446652293,1
196,163,2.874490976,-1.368663073,1
196,179,2.61467433,-1.506278038,1
196,195,1.688679934,-1.647267818,1
196,211,NaN,NaN,2
196,227,1.959468603,-1.948869109,1
196,243,2.17944169,-2.030272245,1
196,259,2.583302021,-1.86960721,1
196,275,2.394203186,-2.545796633,1
196,291,2.481644869,-1.972059131,1
196,307,2.587193489,-1.576540709,1
196,323,2.296705484,-1.19295907,1
196,339,2.101071358,-1.189632416,1
196,355,2.099025249,-2.140419006,1
196,371,1.71495676,-2.397992849,1
196,387,2.253895998,-1.775959373,1
196,403,2.725070953,-1.603678703,1
212,19,0.6202885509,0.5526899099,1
212,35,0.6307450533,1.247915626,1
212,51,0.9799461365,1.385221362,1
212,67,NaN,NaN,2
212,83,1.045295596,0.03192721307,1
212,99,1.287625909,-0.7517437935,1
212,115,1.710639954,-0.6312987804,1
212,131,2.222445488,-0.6374465823,1
212,147,2.349844694,-1.031246662,1
212,163,2.425383329,-1.340747476,1
212,179,2.523958206,-1.853647232,1
212,195,NaN,NaN,2
212,211,1.602564335,-1.977187157,1
212,227,1.662818313,-1.869386911,1
212,243,2.022078037,-2.421779633,1
212,259,2.148038626,-2.099755764,1
212,275,2.213694572,-2.274018526,1
212,291,2.333024979,-2.115214348,1
212,307,2.316421032,-1.963009953,1
212,323,1.968334198,-1.878148198,1
212,339,2.432239294,-1.661289334,1
212,355,2.446719408,-2.044456482,1
212,371,1.556097865,-2.192215919,1
212,387,1.694008589,-1.847777963,1
212,403,2.063893318,-2.148505688,1
228,19,0.4710271955,0.4336580932,1
228,35,1.079599977,1.244003296,1
228,51,0.9523584843,1.515437126,1
228,67,0.8184847832,0.7729998827,1
228,83,1.4717834,0.1043766141,1
228,99,1.815596581,-0.5150214434,1
228,115,1.823893189,-0.5338022709,1
228,131,2.257162571,-0.5680401921,1
228,147,2.176501989,-0.9290519357,1
228,163,2.436288357,-1.326190114,1
228,179,2.953958035,-1.697932124,1
228,195,2.6239326,-1.815209627,1
228,211,2.255088329,-1.956276655,1
228,227,2.026652813,-2.200732231,1
228,243,1.914630413,-2.622365952,1
228,259,1.857086301,-2.471995831,1
228,275,2.220580578,-2.348812819,1
228,291,2.390776396,-1.926194906,1
228,307,2.085166216,-2.100496769,1
228,323,2.02219367,-2.285604,1
228,339,2.508481026,-2.057507515,1
228,355,2.64573288,-1.826861501,1
228,371,1.682193518,-1.069989443,1
228,387,1.725714803,-1.884336829,1
228,403,1.741360426,-2.288188696,1
244,19,0.6085443497,0.8038470745,1
244,35,0.9651685953,1.484505653,1
244,51,0.8567849398,1.630687356,1
244,67,0.9948388338,1.294919252,1
244,83,1.498139501,0.4423775077,1
244,99,1.979114294,-0.152681455,1
244,115,2.156056404,-0.2849319577,1
244,131,2.231191397,-0.5803765059,1
244,147,2.001834869,-1.044920206,1
244,163,2.362667561,-1.229232907,1
244,179,3.149773359,-1.268197894,1
244,195,2.906681061,-1.784901977,1
244,211,2.57687974,-1.81805563,1
244,227,2.344866753,-2.415694475,1
244,243,2.111927986,-2.78512311,1
244,259,2.110249519,-2.679856539,1
244,275,2.700104237,-2.386548519,1
244,291,2.478318691,-2.124824762,1
244,307,1.796111584,-1.776004791,1
244,323,1.908768058,-1.881335258,1
244,339,2.234089136,-1.88047421,1
244,355,1.972801685,-1.384768009,1
244,371,2.277999878,-1.51290822,1
244,387,2.208337307,-1.549165487,1
244,403,1.704554558,-1.613509297,1
260,19,0.3051002026,1.771458149,1
260,35,1.02396059,1.85166955,1
260,51,1.274094582,1.527326941,1
260,67,1.529473782,1.042413712,1
260,83,1.690596581,0.6415194273,1
260,99,1.501890659,0.3158652782,1
260,115,1.751446247,-0.3578165174,1
260,131,1.820046663,-0.9747670889,1
260,147,1.870420575,-1.364920378,1
260,163,2.035999775,-1.403953671,1
260,179,2.365155935,-1.413966537,1
260,195,2.631814003,-1.663420558,1
260,211,2.45592308,-1.923288822,1
260,227,2.182849169,-2.704290152,1
260,243,2.104234219,-2.948458672,1
260,259,1.952499151,-2.752610922,1
260,275,2.05638361,-2.543378353,1
260,291,2.272133112,-2.234721661,1
260,307,2.274590969,-1.850793362,1
260,323,1.853176832,-1.593864918,1
260,339,1.937167764,-1.324482322,1
260,355,1.757863641,-1.132144928,1
260,371,NaN,NaN,2
260,387,2.361840725,-1.027765155,1
260,403,1.669775367,-0.6256527901,1
276,19,0.2041241676,2.138463736,1
276,35,0.6901757717,2.204114437,1
276,51,1.213927031,1.806892753,1
276,67,1.491981268,1.21344161,1
276,83,1.698463917,0.7746436,1
276,99,1.643083692,0.4680333138,1
276,115,1.631711006,-0.37003088,1
276,131,1.713886976,-1.13638711,1
276,147,1.822295427,-1.539679646,1
276,163,1.816175818,-1.770664334,1
276,179,1.774813056,-1.914800525,1
276,195,2.242442369,-1.617770553,1
276,211,2.232598066,-2.005640268,1
276,227,2.158339739,-3.299212933,1
276,243,2.107522011,-3.138027906,1
276,259,2.062487125,-2.963783979,1
276,275,2.0652349,-2.715626001,1
276,291,2.18263483,-2.460848331,1
276,307,2.071426392,-2.173276663,1
276,323,1.817921758,-2.008452892,1
276,339,2.020673752,-1.875777125,1
276,355,2.118033886,-1.479892969,1
276,371,-0.6621365547,0.7280125618,1
276,387,NaN,NaN,2
276,403,1.942772865,-0.3973100185,1
292,19,-0.1460568309,2.366620541,1
292,35,0.5194657445,2.735461473,1
