 ,Area,Mean,X,Y,Major,Minor,Angle
334,322.393,12.814,178.725,588.828,29.044,14.133,108.637
335,329.754,16.667,290.744,584.056,24.093,17.427,136.185
336,510.824,12.271,196.869,596.809,39.085,16.641,122.502
337,1008.400,13.716,275.517,602.409,41.503,30.936,132.750
338,588.847,16.505,348.444,597.099,36.748,20.403,142.673
339,774.333,16.599,324.537,604.490,31.505,31.294,171.666
340,373.918,14.642,301.230,604.342,26.697,17.833,98.593
341,369.501,13.640,250.534,611.408,27.127,17.343,161.928
342,326.810,11.922,222.336,613.010,30.267,13.748,173.804
343,499.047,33.024,102.739,458.163,54.120,11.741,107.614
