 ,Mean,Mode,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
142,15.721,11.503,5.501,50.039,300.793,353.278,207.060,83.494,31.945,116.118,88.771,240,259,111.656,35.976
143,13.711,8.188,4.942,66.492,465.363,352.482,197.600,75.046,37.539,87.140,82.120,373,327,77.196,42.945
144,8.781,5.792,3.729,29.490,40.670,341.659,106.968,45.401,14.243,104.728,48.075,28,262,100.176,15.596
145,9.111,6.500,3.954,27.662,550.579,356.280,197.660,80.856,20.539,87.451,79.321,442,328,83.853,27.791
146,7.595,5.878,3.521,29.205,25.362,342.863,115.173,46.624,19.337,105.811,49.568,15,264,111.541,20.371
147,15.509,9.453,4.656,89.342,236.140,351.605,139.624,52.648,29.051,105.545,58.062,193,265,100.840,31.332
148,7.737,4.941,3.607,28.907,571.246,351.179,152.908,60.985,22.283,80.738,68.334,461,320,73.496,23.809
149,11.855,8.824,4.606,74.265,83.226,352.299,157.668,61.067,32.535,108.108,65.113,56,268,116.565,34.463
150,14.690,7.205,4.722,65.264,152.492,354.247,148.834,62.536,21.790,101.236,65.665,118,269,106.091,25.896
151,8.675,5.525,3.948,33.844,534.101,361.745,149.652,65.963,19.663,88.457,65.564,440,326,87.879,21.516
152,15.590,9.414,4.992,55.311,133.057,361.671,153.986,62.554,22.982,115.399,66.378,99,276,120.784,24.057
153,15.163,9.013,4.851,65.728,209.142,357.099,127.141,46.252,29.056,116.631,49.165,169,275,105.751,30.721
154,13.892,9.913,4.895,64.645,437.767,368.789,162.173,66.781,27.225,99.209,67.007,360,332,84.806,27.642
155,14.768,8.291,4.980,72.778,175.739,367.913,145.428,56.994,27.165,90.246,60.447,136,280,100.408,27.906
156,14.879,9.482,5.531,101.852,395.541,371.406,177.837,67.295,32.504,104.384,71.214,312,281,103.799,37.217
157,11.213,6.216,4.390,36.629,515.288,368.656,136.992,59.530,21.096,90.713,57.488,424,328,82.725,20.920
158,12.405,6.603,4.954,61.235,491.708,378.645,160.271,64.117,28.883,82.274,68.302,399,339,77.692,32.759
159,14.523,8.378,4.756,54.881,112.130,369.636,113.847,43.904,23.182,111.414,46.201,84,287,113.199,24.694
