 ,Mean,Mode,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
141,17.349,7.758,4.416,85.878,283.620,283.191,138.113,46.974,34.795,128.249,52.186,213,224,144.462,36.891
142,15.069,5.996,4.345,81.218,516.668,278.377,93.040,35.097,20.134,63.277,36.196,415,240,50.440,21.956
143,19.976,10.539,5.317,121.565,165.636,279.894,95.712,29.785,27.248,49.056,34.253,132,243,67.068,26.869
144,12.701,5.139,4.023,85.675,321.152,298.853,170.155,63.315,35.021,105.746,67.390,264,217,103.536,38.197
145,11.299,5.865,3.480,38.358,569.347,283.687,105.764,38.122,24.535,96.779,42.673,463,218,104.826,27.241
146,18.161,10.687,5.375,106.111,223.782,295.288,178.149,62.779,41.978,99.019,66.467,174,220,111.413,45.177
147,20.685,9.680,5.378,205.621,450.762,294.006,137.490,53.752,25.107,75.771,55.442,358,263,66.801,28.147
148,16.001,7.590,5.098,80.148,50.452,289.150,109.477,41.434,22.528,96.260,44.497,40,257,78.996,23.894
149,23.824,12.374,6.656,133.946,254.519,287.790,89.667,29.409,25.239,101.568,31.546,203,249,67.380,25.503
150,14.925,6.679,4.486,90.861,142.236,300.823,119.991,40.334,31.321,86.077,44.098,115,266,82.093,33.598
151,20.498,11.430,5.159,158.057,190.358,297.103,96.482,30.998,27.633,104.329,33.117,144,241,151.557,27.241
152,24.205,9.890,5.496,95.480,427.294,298.272,100.718,34.162,24.800,75.192,37.377,344,258,54.246,26.693
153,18.869,7.801,4.556,155.624,384.833,302.143,113.971,37.076,27.957,118.182,43.358,313,234,107.928,30.623
154,15.389,6.782,4.443,56.516,528.868,303.384,105.228,38.345,25.370,84.207,39.297,435,234,98.881,27.832
155,16.318,7.276,4.429,73.838,488.613,302.454,95.554,37.860,18.961,57.962,37.905,392,260,50.194,20.536
156,21.110,12.509,4.855,150.001,353.921,303.710,107.889,38.826,26.938,131.595,42.466,280,238,126.870,29.301
157,15.031,9.015,4.930,115.006,112.112,309.062,117.957,42.528,29.309,65.982,44.892,87,272,71.075,30.333
158,13.257,7.905,4.612,55.701,83.000,314.137,133.827,48.887,29.292,92.888,52.299,68,239,93.991,32.759
159,11.188,8.390,3.857,38.499,586.955,307.491,96.726,33.564,24.515,80.093,36.196,481,239,103.570,24.556
160,20.562,9.740,6.239,84.170,406.522,308.806,87.682,35.164,17.270,86.884,35.374,334,240,95.906,18.200
161,13.108,8.043,4.616,88.154,553.916,314.494,127.266,43.037,33.404,66.440,45.300,452,277,82.304,35.299
