id,xc_(µm),yc_(µm),zc_(µm),area_(µm²),perimeter_(µm),euler_alpha_(radians),euler_beta_(radians),euler_gamma_(radians),ellipse_x0_(µm),ellipse_y0_(µm),ellipse_z0_(µm),ellipse_a_(µm),ellipse_b_(µm),ellipse_sigma_(radians),eccentricity,proj_direction_(radians),n_neighbors,curvature_mean_(1/µm),curvature_gauss_(1/µm²),curvature_k1_(1/µm),curvature_k2_(1/µm),uncorrected_area_(µm²),uncorrected_perimeter_(µm)
24,120.669425555556,315.363632222222,76.5172710572022,1109.34230060454,136.860374437076,1.65124746903927,2.49461691824862,3.09314943331296,121.579430871217,315.747673819276,76.5172710572022,22.8415943461966,15.6509972602733,3.13939282660701,0.728357570752278,-1.44992401817219,7,-0.00107117585412235,2.75723143086169e-07,-0.000137530007257182,-0.00200482170098751,883.994182445001,125.573486032955
25,125.8523,270.361057142857,75.572827095708,952.173120120666,120.263434603602,-1.37879617799207,0.647596939624745,2.04771889585569,125.917032115443,271.27298813298,75.572827095708,18.522988398581,16.7011700189633,1.9411471407983,0.432475787047634,-0.644389915978185,7,-0.00102781541875204,5.16350758599784e-07,-0.000292931906605626,-0.00176269893089846,759.60199524,108.292890087273
26,137.03847699115,164.772582300885,56.9055077939961,1713.29748854275,174.276668712682,-1.07737371623855,0.707166135819176,-0.214105940680563,135.451839660726,164.806724335057,56.9055077939961,27.2932199750627,20.6545567953427,0.0578887163766113,0.653686896288421,-1.1965392712514,6,-0.000540352292717319,-1.97401992987931e-06,0.000964971768780461,-0.0020456763542151,1304.27784454,153.981951348182
27,133.734056382979,235.418922340426,75.311103837466,1391.18665061165,150.660508400485,-1.30844391891066,0.638370089242298,1.58888155743572,134.725359514452,235.840387008027,75.311103837466,25.9915878857084,17.7217594952731,3.12998914765461,0.731513707308273,0.270423547795316,7,-0.00103293599143598,4.77531359449269e-07,-0.000265195538578011,-0.00180067644429394,1116.585491065,132.436947293864
28,130.593709459459,373.00777027027,80.9652924127624,902.262611172928,116.631909223827,-1.79302370134795,0.626938454436471,1.53375193026238,130.18466682717,372.801795561753,80.9652924127624,18.4915688384301,15.8109506110041,0.0668550974231534,0.518569218601403,-0.185421916820158,7,-0.00140703018655159,1.2847614995741e-06,-0.000573380112303827,-0.00224068026079935,730.896105885001,104.150424772046
29,130.0960925,203.59174,65.5717065916708,789.958389710401,114.332042738224,1.92749446766761,2.45978349723245,-3.05927929973559,130.221466579478,203.689741937855,65.5717065916708,18.3091306803276,14.0014715860591,0.120527823176345,0.644355389365167,-1.37245009720812,4,-0.000724503604238046,-8.99219244572831e-07,0.000468863362426756,-0.00191787057090285,608.712064015001,102.384049097955
30,129.9334,347.42294,83.6710695683452,389.627709103682,77.3370997256771,-1.65656671771929,0.612202113591448,0.759369040864001,130.162252881995,347.479750039971,83.6710695683452,12.1713368972232,10.4230097309525,1.90558943746194,0.516384220585972,1.08521969268752,5,-0.00141947558999376,1.39166813763528e-06,-0.00063001829985524,-0.00220893288013229,319.44502513,70.5438531522727
31,137.805336842105,407.269688157895,78.767456364686,816.011588152558,115.656740418738,-1.93037971962007,0.629918679203611,2.55665214312662,137.61992712472,407.315908206993,78.767456364686,19.4561039799893,13.5915813824138,0.060383554397259,0.715535156734071,0.773839724095498,4,-0.0014242944444255,1.36263788488107e-06,-0.00060822044070998,-0.00224036844814103,658.763358275,105.571894141591
32,146.034542168675,293.764780722892,92.3833165042369,1020.46511557113,132.670071380172,-1.4135128636742,0.579948329340555,1.41206028485485,145.590336967821,293.412679775556,92.3833165042369,22.4364770988951,14.8332392364074,0.346203545313716,0.750278783972667,0.380286397942106,5,-0.00172330477391144,2.87603563068172e-06,-0.00141712882269345,-0.00202948072512943,853.8161962,119.593212609091
33,141.483385714286,97.8361,27.5834812676342,851.594219990758,119.289222165002,-0.871589300714194,0.730131224321355,1.16234961250402,141.552098637883,97.2029093250466,27.5834812676342,18.0146180909342,15.6067044723851,0.0144056824409855,0.499462387254651,0.19021372842984,4,0.000782237305192357,-4.50403694809338e-06,0.00304407994996851,-0.0014796053395838,634.47375959,103.267236935
34,145.765601075269,121.877941935484,43.7118213822049,1267.95726045731,140.904421229955,-0.941170040121331,0.725010289142433,1.04884637284481,146.036988124296,122.480286378689,43.7118213822049,21.0567775558516,19.4852872220035,3.12643967925347,0.37906778657479,-0.0424240759558401,7,2.57100769691673e-05,-3.56021181135123e-06,0.00191273758588603,-0.0018613174319477,948.03039716,122.680036935
35,140.185337837838,321.360540540541,90.6881445938793,774.799067970124,112.009148999513,1.61995789339379,2.56443392353936,2.39475877325694,140.908591460422,320.877727181241,90.6881445938793,18.44963528042,13.6994952732122,0.149230898979795,0.669807546129356,-1.00328418874798,5,-0.00170128862007322,2.68832850273773e-06,-0.00124735639379608,-0.00215522084635036,648.458680045,103.145294141591
36,156.79145,73.3081375,22.5957209961138,1274.89773591075,142.62330835694,2.39875314205575,2.43010914917869,2.21485229637896,158.630680554107,73.095428874108,22.5957209961138,24.5877806717822,16.6512294297713,0.0686969181650146,0.735784606816901,-0.0232838228743459,4,0.00107999704109186,-4.32384422218148e-06,0.00342312269520191,-0.00126312861301819,964.959511395,125.157147293864
37,151.085685245902,394.740193442623,90.3636353943365,563.219632527012,96.5229325261136,-1.91603876638647,0.569229510202334,0.737195332432409,151.224703056002,394.725998985596,90.3636353943365,17.5306980374641,10.3681891656828,-1.4452385441249,0.806355992479964,0.600784359544405,5,-0.00187552370585752,3.28715811392715e-06,-0.00139549135558685,-0.00235555605612819,474.01519858,88.8800900872729
