 ,Mean,Mode,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
79,9.204,5.276,3.992,47.838,552.425,199.724,111.665,39.984,25.220,133.210,43.965,448,149,117.979,25.484
80,11.648,6.844,4.475,46.298,121.826,211.840,147.007,52.552,33.776,105.199,57.232,97,150,94.865,36.697
81,11.632,6.500,4.123,46.092,489.530,213.624,132.827,47.488,32.681,114.414,51.833,396,156,110.556,34.413
82,16.316,7.402,4.460,56.407,387.468,216.162,152.983,54.430,35.504,104.197,54.828,308,158,114.864,36.067
83,9.194,6.297,3.769,45.526,52.155,221.038,155.695,62.246,24.903,67.522,65.339,31,209,68.199,29.868
84,11.621,5.885,3.679,52.784,525.406,225.253,157.771,62.957,24.622,102.888,65.933,433,161,102.758,28.336
85,14.739,7.853,4.117,70.078,154.386,219.070,125.177,43.732,32.274,97.941,45.689,126,200,79.287,32.759
86,16.108,6.991,4.389,74.492,354.203,227.601,163.307,55.618,42.934,102.320,57.680,285,164,104.621,44.197
87,10.005,5.612,3.767,36.351,548.553,232.601,139.041,50.958,26.005,98.064,56.442,441,168,115.463,26.975
88,10.279,5.945,3.726,40.385,73.638,229.083,117.300,42.473,27.317,69.787,43.965,48,203,50.599,27.956
89,9.326,4.795,3.679,37.296,24.356,236.193,132.391,53.843,25.761,76.582,55.455,15,217,79.919,27.327
90,7.361,4.463,3.240,23.441,592.371,233.735,126.493,48.862,27.082,102.754,49.270,488,172,99.926,26.381
91,11.650,5.990,4.046,51.451,100.700,231.822,114.062,40.631,26.480,113.960,43.034,73,176,130.426,29.131
92,19.304,10.896,5.013,75.069,265.996,233.922,104.396,35.301,27.717,61.527,39.910,213,208,70.463,28.940
93,7.924,4.524,3.443,32.571,572.621,246.412,133.972,54.653,21.641,100.415,57.232,469,177,94.865,25.404
94,16.648,5.740,4.539,72.894,203.995,237.390,116.954,36.050,34.835,38.374,40.332,153,191,158.839,34.987
95,13.119,6.295,4.052,49.986,451.488,242.403,135.059,47.489,31.220,101.992,52.970,366,180,110.095,33.460
96,15.298,8.303,4.055,79.043,422.196,247.166,152.384,57.674,30.289,111.673,60.239,337,182,108.800,35.065
97,12.758,6.825,4.585,41.577,512.012,241.997,101.466,32.856,16.658,124.172,43.493,419,183,120.141,18.511
98,12.327,6.440,4.109,60.944,482.742,256.661,153.417,52.218,37.761,93.023,58.365,391,188,110.695,36.644
99,14.101,6.392,4.863,57.052,169.511,259.798,167.008,62.867,32.349,78.454,64.591,140,242,84.611,35.807
100,12.993,5.943,4.739,60.774,137.658,256.062,135.746,47.462,32.186,107.625,51.932,98,198,127.405,34.413
101,15.594,7.210,4.230,65.269,280.589,264.023,140.312,44.699,38.830,135.243,50.495,213,209,144.782,39.978
102,18.052,7.175,4.543,127.056,314.780,258.633,125.495,40.204,35.572,96.101,42.931,244,203,132.709,36.175
103,16.238,7.692,5.145,92.096,400.162,266.053,146.972,52.727,29.754,109.608,54.720,326,244,86.186,30.482
104,12.891,5.561,4.482,65.833,89.490,262.249,105.488,41.766,18.534,93.380,43.830,71,200,94.764,22.129
105,18.284,8.351,5.302,109.379,243.725,264.397,115.805,39.994,29.994,85.672,41.907,193,233,67.891,29.274
106,15.775,7.408,5.315,87.733,345.812,278.071,176.628,65.491,28.563,102.888,76.014,273,201,114.520,34.190
107,9.922,6.805,3.843,39.106,47.868,265.003,99.600,36.171,19.743,81.668,40.696,42,237,79.695,19.947
108,12.311,6.227,4.153,54.720,67.917,270.365,129.180,45.487,27.567,80.034,48.320,44,240,61.504,30.335
109,14.248,6.237,4.567,61.580,110.249,267.041,105.473,38.024,25.682,76.130,39.744,89,236,77.661,27.602
110,16.887,9.727,4.549,69.202,214.375,273.484,141.173,50.645,31.532,76.616,53.067,177,247,79.461,33.977
111,16.429,7.715,5.199,104.255,374.125,279.732,161.203,59.571,33.195,92.346,65.676,300,257,78.275,33.859
112,13.486,7.860,4.038,54.218,512.042,272.556,120.592,42.598,29.129,76.268,44.745,415,207,102.529,28.839
113,9.082,4.758,3.624,34.182,26.294,274.714,113.055,46.515,15.070,69.469,52.186,16,249,72.408,18.250
114,16.395,8.237,5.172,73.391,189.858,272.400,93.356,36.908,19.806,75.540,36.500,150,238,68.552,20.335
115,9.413,6.275,3.631,38.345,555.562,275.939,118.090,42.519,27.905,100.925,45.300,456,248,82.304,29.499
116,6.872,4.218,3.074,26.516,601.332,275.446,110.824,38.974,24.576,109.904,43.000,485,213,106.390,26.439
117,10.365,5.851,4.193,41.103,534.328,293.965,151.464,53.336,29.976,95.003,58.566,437,215,103.173,35.299
118,15.884,7.582,4.497,73.157,450.109,290.168,152.055,55.425,33.750,96.540,55.442,364,218,113.199,36.723
119,9.178,5.314,4.137,44.316,583.669,293.672,126.590,48.409,26.755,108.513,51.319,480,222,96.789,28.216
120,14.839,8.789,4.303,69.930,127.667,296.739,137.146,46.670,33.856,83.170,49.879,103,225,94.185,36.545
121,16.593,8.771,5.035,75.888,262.587,297.111,126.024,45.823,29.083,100.098,47.381,213,226,103.325,32.094
122,10.237,6.119,4.098,39.775,35.342,297.995,112.337,43.369,22.906,72.432,45.040,27,264,85.365,23.332
123,15.955,8.469,4.334,82.750,322.318,303.961,158.065,54.309,36.756,110.551,57.947,250,229,109.573,39.136
