PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 9, filenames: A:[9]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi & B:[10]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
111,865,5.317795753,-1.554050565,1
111,897,0.8161815405,-0.1192186773,1
111,929,-0.1276302487,0.1232051849,1
111,961,-0.5316891074,0.6907739043,1
111,993,-0.09047028422,0.505885303,1
111,1025,-0.2110486329,1.209586859,1
111,1057,-0.9772413969,2.264435768,1
111,1089,-0.08972454071,0.4844867885,1
111,1121,-0.2525212765,-0.3091260195,1
111,1153,-0.7014385462,-0.4080685377,1
111,1185,-1.319793344,-0.2509973347,1
111,1217,-1.699854136,-0.2294344008,1
111,1249,-0.2737714648,-1.227042913,1
111,1281,0.5416689515,-0.5951903462,1
111,1313,2.137037039,0.3209328353,1
111,1345,3.807202578,1.379424572,1
111,1377,0.8423080444,-0.1366325617,1
111,1409,0.6849474907,-0.2978815138,1
111,1441,0.7848258018,-0.3581891358,1
111,1473,0.6611421108,-0.3162315488,1
111,1505,0.9950418472,-0.5464877486,1
111,1537,0.5849449039,-1.3949821,1
111,1569,0.09743872285,-1.279082537,1
111,1601,-0.3437994421,-1.2047472,1
111,1633,-0.6290969849,0.2960919738,1
111,1665,-1.0890131,1.076603651,1
111,1697,-0.6678724289,1.486592054,1
111,1729,-0.3404768705,0.5945442915,1
111,1761,0.1045520008,0.2727396786,1
111,1793,0.3033467233,-0.113894105,1
111,1825,-0.0255427137,-0.3683282137,1
111,1857,-0.06715722382,-0.3537771106,1
111,1889,-0.9940016866,0.5475655794,1
111,1921,-1.695315003,0.4393210411,1
111,1953,-1.002427816,0.02429199219,1
111,1985,-0.8175557852,0.02413715422,1
111,2017,0.1761752069,-0.5327753425,1
143,33,-0.1628787518,0.2180768251,1
143,65,-2.968453407,-0.4616122842,1
143,97,-4.465247154,0.1945366859,1
143,129,-13.31938553,17.77284813,1
143,161,-3.74219346,0.1174056232,1
143,193,-2.72787118,-0.7388571501,1
143,225,-1.937056541,-0.5152624846,1
143,257,-1.33934772,-0.5544191599,1
143,289,-0.5210584402,-0.4324069619,1
143,321,-0.2728623152,-0.4902099967,1
143,353,-0.130164206,-0.3327546418,1
143,385,-0.08564248681,-0.7291536331,1
143,417,0.03876161575,-2.46987772,1
143,449,0.4638995528,-2.200217485,1
143,481,-0.03809219599,-0.6029672027,1
143,513,-0.4516143799,0.1917799711,1
143,545,-1.108630419,1.139765501,1
143,577,-2.0218575,4.121938229,1
143,609,0.3151597679,5.944111824,1
143,641,1.485444069,0.8361307383,1
143,673,0.2049826384,0.3636308312,1
143,705,0.1490329802,0.7030478716,1
143,737,0.5138465166,0.1925065815,1
143,769,0.8436821699,0.1407387853,1
143,801,0.6393957138,1.790581465,1
143,833,0.7435289025,0.7917762995,1
143,865,0.8580578566,-0.6224468946,1
143,897,0.1863554418,-0.00668656826,1
143,929,-0.3818802536,0.2306628227,1
143,961,-0.6274348497,0.5210528374,1
143,993,-0.7868182659,0.151530087,1
143,1025,-0.4697001576,0.7709709406,1
143,1057,-0.3595324159,1.683439851,1
143,1089,-0.6759881377,0.5506756902,1
143,1121,-1.05675745,-0.2144389749,1
143,1153,-1.715665936,0.09475639462,1
143,1185,-1.266795874,0.7000409961,1
143,1217,-0.9606583118,-0.00974470377,1
143,1249,-0.7138806581,-0.7181842923,1
143,1281,0.4623384774,-0.401563257,1
143,1313,0.889305532,0.4703980088,1
143,1345,1.621449471,1.166281581,1
143,1377,20.00798035,0.6126028895,1
143,1409,-0.2963270843,0.4791427255,1
143,1441,1.158297777,0.9405173063,1
143,1473,1.810002565,0.4741522968,1
143,1505,2.167514801,0.3266431689,1
143,1537,1.524643898,-0.6837502718,1
143,1569,0.8508908749,-0.6757723093,1
143,1601,0.04488268495,0.03676381707,1
143,1633,-0.3879600465,0.5929383039,1
143,1665,-0.5724164844,0.8363361359,1
143,1697,-0.6820144653,0.8000382781,1
143,1729,-0.09656721354,0.4629566967,1
143,1761,0.81143713,0.2725997269,1
143,1793,0.3218512833,-0.0556832552,1
143,1825,-0.6166452169,-0.7357712388,1
143,1857,-0.5978184938,-0.5653805137,1
143,1889,-1.010008931,0.1578233391,1
143,1921,-1.27097106,0.7293764353,1
143,1953,-1.0759058,0.3099866509,1
143,1985,-0.9173321128,-0.2116450369,1
143,2017,0.3081066012,-0.4704117775,1
175,33,-0.8935208321,-0.09132236242,1
175,65,-4.95823288,0.7079138756,1
175,97,-6.236012459,0.413244307,1
175,129,-5.478918076,-0.5426228046,1
175,161,-2.342412949,-0.9971860647,1
175,193,-1.936623812,-0.9830274582,1
175,225,-1.644484997,-0.3371489644,1
175,257,-0.9932289124,-0.4326025546,1
175,289,-0.2524861097,-0.6707803011,1
175,321,0.05517411232,-0.7440763712,1
175,353,-0.6084287167,-0.3821643591,1
175,385,-0.1633837521,-0.7569937706,1
175,417,0.1604298055,-2.573365688,1
175,449,0.4348387122,-2.078708172,1
175,481,0.3893538117,-1.017433643,1
175,513,-0.1679298878,-0.4229939282,1
175,545,-0.3015456796,0.8746812344,1
175,577,-1.304926395,5.213740349,1
175,609,-0.1212227792,5.354161263,1
175,641,1.657264829,3.344626904,1
175,673,0.8637173772,2.05997467,1
175,705,0.3387785554,0.1442866623,1
175,737,0.4939367771,-0.795371294,1
175,769,0.595638752,-0.3076943755,1
175,801,0.3367743492,0.3274636269,1
175,833,0.2401477396,0.1104109883,1
175,865,0.1535807848,-0.3124433756,1
175,897,0.0535986647,0.3823075593,1
175,929,-0.1921807826,0.5201295614,1
175,961,-0.5154154301,-0.1957506239,1
175,993,-0.9596590996,-0.5218851566,1
175,1025,0.04157012701,0.3143799901,1
175,1057,0.2127724886,0.3016946912,1
175,1089,-2.477785587,0.3536354303,1
175,1121,-2.210001469,0.5971196294,1
175,1153,-1.823499799,0.3210703433,1
175,1185,-1.417159796,0.372515589,1
175,1217,-0.8686141968,0.1692091823,1
175,1249,-0.3268195093,-0.5563075542,1
175,1281,0.2870046794,-0.3499919176,1
175,1313,0.8794289827,0.2390618473,1
175,1345,0.5893155336,0.5521609783,1
175,1377,-0.6569085121,0.4541953802,1
175,1409,-0.5219051242,0.6454883218,1
175,1441,2.218962908,0.5318984985,1
175,1473,4.106574535,1.159167409,1
175,1505,3.968743324,1.021817327,1
175,1537,1.46383512,-0.4814662933,1
175,1569,0.8827894926,-0.2263163775,1
175,1601,0.5601562858,0.3961049914,1
175,1633,0.1669929475,0.3944714665,1
175,1665,-0.4182776511,0.3730410039,1
175,1697,-0.7249933481,0.3238186538,1
175,1729,-0.8364875913,-0.3870633543,1
175,1761,-0.9911362529,-0.5792921782,1
175,1793,-1.02285552,-0.4717177749,1
175,1825,-1.278298378,-0.7844638824,1
175,1857,-1.272235394,-0.6656216979,1
175,1889,-1.280639768,-0.1962844133,1
175,1921,-1.677436113,0.02776385844,1
175,1953,-1.863144517,0.04027540982,1
175,1985,-1.512435794,0.09143321216,1
175,2017,0.6094963551,-0.2467185557,1
207,33,-1.212624788,0.0176718235,1
207,65,14.9798851,5.0692873,1
207,97,-2.853429556,0.2009635866,1
207,129,-2.346879005,-0.880662024,1
207,161,-1.466472149,-1.006526709,1
207,193,-0.313532114,-0.5150862932,1
207,225,-0.2236858606,0.604332149,1
207,257,-0.9814308286,-0.1652038097,1
207,289,-0.4846770167,-0.5471894145,1
207,321,-0.3590085208,-0.7775331736,1
207,353,-0.2909426689,-0.4390158653,1
207,385,0.2357407212,-0.8610835075,1
207,417,0.3019919097,-2.058856487,1
207,449,0.7303695083,-1.615697742,1
207,481,0.9824653864,-1.099947453,1
207,513,0.423841089,-0.787493825,1
207,545,0.6688043475,1.015264988,1
207,577,0.1479640603,2.169785976,1
207,609,-0.9734749794,2.380727768,1
207,641,-0.282378912,1.657508731,1
207,673,-0.04851344228,1.569413662,1
207,705,-0.3391311467,-0.2944584191,1
207,737,-0.2176751792,-1.387773991,1
207,769,-0.2638486028,-0.8738840222,1
207,801,-0.3577357531,-0.3604620099,1
207,833,-0.338580519,-0.5353636742,1
207,865,-0.3044018745,-0.4192098379,1
207,897,-0.1947687864,0.1050718278,1
207,929,-0.2320365012,0.3974382877,1
207,961,-0.4561172724,0.3114274144,1
207,993,-0.6572815776,0.2101194263,1
207,1025,0.1130919456,0.142238915,1
207,1057,-0.2851925492,-0.4496618509,1
207,1089,-1.312295437,0.6068157554,1
207,1121,-2.131290913,1.283723831,1
207,1153,-2.111666679,0.02470934391,1
207,1185,-1.444883347,-0.2919516563,1
207,1217,-0.7986647487,-0.282520771,1
207,1249,-0.3553166389,-0.3367606103,1
207,1281,0.2298214436,-0.1291721165,1
207,1313,0.5018111467,-0.02737261355,1
207,1345,0.04495149851,0.4330942333,1
207,1377,-0.6390758157,4.312911987,1
207,1409,-0.184163332,3.260951996,1
207,1441,1.94719851,0.8709836006,1
207,1473,4.601228714,2.223293543,1
207,1505,4.302303314,2.215405941,1
207,1537,1.798942685,-0.3455337286,1
207,1569,1.104748845,-0.09003955126,1
207,1601,0.4549000263,0.1321388632,1
207,1633,0.5124962926,-0.1558076739,1
207,1665,0.4388091564,-0.3791575134,1
207,1697,-0.2196795344,-0.02771945298,1
207,1729,-0.9051481485,0.032566607,1
207,1761,-1.333021879,-0.3359412849,1
207,1793,-1.997379303,-0.5266788602,1
207,1825,-4.449574471,-1.426112056,1
207,1857,-2.795472622,-0.6955438256,1
207,1889,-1.760599613,0.3804521561,1
207,1921,-2.215744257,0.6810631752,1
207,1953,-1.909390688,0.5147721767,1
207,1985,-0.9518694878,1.267583966,1
207,2017,0.9006906748,-0.3364682794,1
239,33,-5.495649338,0.2211286426,1
239,65,-3.980562687,-0.5266740322,1
239,97,-2.144298553,-0.6586134434,1
239,129,-0.7817502022,-0.5745761395,1
239,161,-1.137035131,-1.121302366,1
239,193,-1.028749228,-0.8296488523,1
239,225,-10.07909584,-18.17012978,1
239,257,-0.8266679645,0.1558152437,1
239,289,-0.5441893935,0.02486929297,1
239,321,-0.1980532408,-0.6032072306,1
239,353,0.1882428825,-0.963198483,1
239,385,1.135301113,-1.035552502,1
239,417,0.6137722731,-0.955689311,1
239,449,0.8514415026,-0.9836205244,1
239,481,1.53971076,-1.343189955,1
239,513,1.079999208,-1.095656157,1
239,545,1.467773318,-1.427710652,1
239,577,0.8123050928,-0.08354356885,1
239,609,0.2600209117,0.6374726892,1
239,641,-0.2064399421,1.282744169,1
239,673,-0.680090189,1.271463513,1
239,705,-0.8142992258,-0.02869661152,1
239,737,-0.7939068079,-1.348150015,1
239,769,-0.3917418718,-1.045737863,1
239,801,-0.4909858406,-0.5609251261,1
239,833,-0.7606039643,-0.7612871528,1
239,865,-0.2192985415,-0.4617979527,1
239,897,-0.01277156174,-0.009659707546,1
239,929,-0.6252744198,0.2039156854,1
239,961,-2.085844755,0.9851481915,1
239,993,-2.153297424,0.2960282564,1
239,1025,-1.13477087,-0.6995520592,1
239,1057,0.1006911993,-0.6518149972,1
239,1089,-0.01034200191,-0.1439758539,1
239,1121,-1.950028896,0.1035594642,1
239,1153,-2.414838314,-0.6866606474,1
239,1185,-1.045749784,-1.204273582,1
239,1217,-0.02598035336,-1.086176515,1
239,1249,0.04830376804,-0.6960659027,1
239,1281,-0.1428257525,0.1374311149,1
239,1313,-0.1561531723,1.441547751,1
239,1345,-0.2990257144,2.546899796,1
239,1377,-1.595152974,2.508332729,1
239,1409,-0.7879214287,3.474776268,1
239,1441,0.4908260107,2.416891575,1
239,1473,1.462955832,0.7630693316,1
239,1505,0.4353638291,0.01617199183,1
239,1537,1.025877476,-0.6274023056,1
239,1569,0.9570239186,-0.807639122,1
239,1601,-0.336582154,-0.2265139222,1
239,1633,-0.6079512835,-0.05470055342,1
239,1665,-0.4719186425,-0.4867684245,1
239,1697,-0.4178282619,-0.1717945188,1
239,1729,-0.09726279974,0.3380686939,1
239,1761,-0.5597850084,0.1731486022,1
239,1793,-2.016042948,-0.6810308695,1
239,1825,-4.03708744,-0.2066446543,1
239,1857,-5.094293118,0.7567225695,1
239,1889,-2.337228298,1.271039128,1
239,1921,-2.170757532,1.402741075,1
239,1953,-1.18122983,1.215902805,1
239,1985,-0.5374242067,2.422494411,1
239,2017,0.6084400415,-1.35856998,1
271,33,-6.137647629,0.2865993977,1
271,65,-3.712290525,-0.9653797746,1
271,97,-2.351780891,-0.9597522616,1
271,129,-1.429327011,-0.6043099761,1
271,161,-1.209974289,-0.9993841648,1
271,193,8.453871727,-17.30782127,1
271,225,-19.75645638,6.621661663,1
271,257,-18.71997261,5.99025631,1
271,289,-1.057564497,-0.3803215325,1
271,321,-0.700974822,-0.06258040667,1
271,353,-0.01264187694,-0.4759053588,1
271,385,1.299838066,-0.6419201493,1
271,417,1.188047051,-0.7105451822,1
271,449,0.7992019057,-1.148185372,1
271,481,0.8464279771,-1.164193511,1
271,513,0.8269274235,-1.455017328,1
271,545,0.2059980631,-1.191600561,1
271,577,0.1478601694,-1.054516315,1
271,609,0.6632628441,-0.04822719097,1
271,641,0.2210033685,0.2471153736,1
271,673,-0.6826281548,0.07214474678,1
271,705,-1.17627883,0.4988823831,1
271,737,-0.5761930943,-0.6125555038,1
271,769,-0.1865098476,-0.8486292362,1
271,801,-0.1223639846,-0.9447594881,1
271,833,-0.2490675449,-0.4373227954,1
271,865,0.4145347476,-0.1294659376,1
271,897,0.7133892775,0.1122750342,1
271,929,-0.499676764,0.1652956009,1
271,961,-1.468489647,-0.3259980083,1
271,993,-1.296436787,-1.649640918,1
271,1025,-1.034815192,-0.9454673529,1
271,1057,-13.79487133,-14.64511967,1
271,1089,0.4794880748,-0.513838172,1
271,1121,-0.1745548248,-0.2404537201,1
271,1153,-1.388975263,-1.870678186,1
271,1185,-0.7264699936,-1.786657691,1
271,1217,0.3249349594,-1.497923374,1
271,1249,0.5340535641,-1.78101778,1
271,1281,0.09918195009,-0.4002285004,1
271,1313,-0.07596378028,2.381860018,1
271,1345,-0.02820327878,2.087743044,1
271,1377,-1.938499212,2.858738184,1
271,1409,-1.451115012,3.519997835,1
271,1441,-0.8880428672,0.4208147228,1
271,1473,-0.8353760242,-0.258315444,1
271,1505,-0.6654267311,-0.9254288673,1
271,1537,-0.04970365763,-2.181360722,1
271,1569,-0.171405524,-1.913679838,1
271,1601,-1.267823219,-0.4655371904,1
271,1633,-2.61241436,0.5918678045,1
271,1665,-1.848700643,0.2360077351,1
271,1697,-0.5854933858,0.06930779666,1
271,1729,0.1632204056,0.02160571516,1
271,1761,-0.416459918,0.4627652764,1
271,1793,-0.9754501581,1.359537601,1
271,1825,-1.005283117,0.4687915444,1
271,1857,-1.568019629,0.3023726344,1
271,1889,-2.656528473,1.782657743,1
271,1921,-2.4390378,2.04880619,1
271,1953,-0.6610040665,1.738390207,1
271,1985,-0.01100057364,2.996866703,1
271,2017,-0.2211654186,-2.835406303,1
303,33,-3.873090982,0.2135381401,1
303,65,-2.536674738,-1.960924625,1
303,97,-2.136756182,-1.371950269,1
303,129,-2.26459527,-0.8533810377,1
303,161,-1.564742446,-0.2113722563,1
303,193,-1.238286495,0.1807669997,1
303,225,-2.963156462,-0.1974204183,1
303,257,18.24200439,2.910339355,1
303,289,-1.355217934,0.09530064464,1
303,321,-0.73927176,0.6468127966,1
303,353,0.3202049732,0.01100951433,1
303,385,0.7096070051,-0.8917210698,1
303,417,0.7417857051,-0.9876443744,1
303,449,0.807177186,-0.7963559031,1
303,481,0.6953947544,-0.9815397263,1
303,513,0.5938054323,-1.904951572,1
303,545,0.07635891438,-1.736607075,1
303,577,0.2901099324,-1.636583328,1
303,609,1.26175952,-1.643890381,1
303,641,0.6520098448,-0.9342619181,1
303,673,-0.2228887975,-1.04937315,1
303,705,-0.739146769,-0.07431715727,1
303,737,-1.183336258,0.55410707,1
303,769,-1.209480762,-0.7023688555,1
303,801,-0.8799157143,-1.487395048,1
303,833,-0.3340847194,-1.039086938,1
303,865,1.048386455,-0.4059220552,1
303,897,1.155680776,-0.4166690111,1
303,929,-0.1326608509,-0.2530186772,1
303,961,-0.6210120916,-0.59794873,1
303,993,-0.2856907845,-1.946439028,1
303,1025,0.1158664674,-1.258942604,1
303,1057,0.3115384579,-1.81226933,1
303,1089,0.741309762,-0.8874021769,1
303,1121,0.4076147676,-0.9883140326,1
303,1153,0.05180373788,-1.691736221,1
303,1185,0.5442403555,-1.254631519,1
303,1217,1.058379412,-1.450688243,1
303,1249,1.71633625,-1.996681929,1
303,1281,1.105461121,-0.7147004008,1
303,1313,0.9751044512,0.4620466828,1
303,1345,1.294057131,0.3401687145,1
303,1377,0.3122713566,0.1204966903,1
303,1409,-0.6144798994,0.2540022135,1
303,1441,-0.9026755691,-0.1357691735,1
303,1473,-0.5312767625,-1.110877514,1
303,1505,-0.02643249184,-1.741739035,1
303,1537,0.05276159942,-3.047985315,1
303,1569,-0.592718184,-3.469013691,1
303,1601,-1.376806378,-1.181452274,1
303,1633,-1.18825078,0.08779668808,1
303,1665,-1.169868708,-0.3086564243,1
303,1697,-1.049095631,-0.8986212611,1
303,1729,-0.5226204395,0.08636638522,1
303,1761,-0.6758364439,0.7845084667,1
303,1793,-0.4203705788,1.504110575,1
303,1825,-0.2657361627,0.7376356721,1
303,1857,-0.7356110215,0.6039794087,1
303,1889,-0.6502035856,1.886119604,1
303,1921,-0.9376884699,3.580250025,1
303,1953,0.08521488309,4.562368393,1
303,1985,0.1787525117,4.341681957,1
303,2017,-0.5178469419,-2.917668343,1
335,33,-0.8068943024,0.2667892575,1
335,65,-0.9830533266,-0.9259696603,1
335,97,-1.926694036,-1.498201609,1
335,129,-2.003307581,-0.5644791722,1
335,161,-1.546799421,0.001351356506,1
335,193,-1.491817951,-0.408141613,1
335,225,-5.347829819,12.67467308,1
335,257,18.03565979,-3.816901684,1
335,289,-0.9122017622,-0.1729118228,1
335,321,-0.4707924128,-0.4082011282,1
335,353,-0.095982939,-0.6454984546,1
335,385,-0.1635240018,-1.066879153,1
335,417,-0.0624076426,-0.9807969332,1
335,449,0.5940726399,-0.2084395885,1
335,481,0.4961432219,-0.580303371,1
335,513,0.05344969034,-2.429985523,1
335,545,-0.1098126173,-3.027626038,1
335,577,0.1668975949,-2.186407566,1
335,609,-0.2029617727,-3.063262939,1
335,641,-0.04180900753,-1.634877443,1
335,673,0.05890535563,-0.6617361903,1
335,705,-0.3891323805,-0.2598878145,1
335,737,-1.360999823,-0.07935410738,1
335,769,-1.387376189,-1.431994438,1
335,801,-0.9472321272,-2.223533392,1
335,833,-0.6682552099,-2.145816326,1
335,865,-0.263371557,-1.29472661,1
335,897,0.1612937003,-1.184921503,1
335,929,0.1769820601,-0.7520152926,1
335,961,0.1876848042,-0.3795810938,1
335,993,0.6861600876,-0.9252032042,1
335,1025,0.5641131401,-2.247280359,1
335,1057,0.2131258845,-1.355360389,1
335,1089,0.4421626329,-1.186819077,1
335,1121,0.2237052917,-0.9350879192,1
335,1153,-0.4475141466,-0.3602162898,1
335,1185,0.6186155081,0.4067755938,1
335,1217,1.061715841,-1.091505527,1
335,1249,1.912356615,-1.961002707,1
335,1281,1.972632885,-0.9994505644,1
335,1313,1.411791325,-0.6332523823,1
335,1345,1.345209122,0.07976156473,1
335,1377,1.151381254,-0.260248065,1
335,1409,0.2336551249,-0.5664175749,1
335,1441,0.0677215904,-0.3249327242,1
335,1473,0.384796679,-0.6424414515,1
335,1505,0.1419338882,-1.273050785,1
335,1537,0.1774865389,-2.190096855,1
335,1569,1.071734428,-3.205732107,1
335,1601,0.1736148,-2.155357361,1
335,1633,-0.5246189833,-0.6900647879,1
335,1665,-0.6939237714,-1.699812651,1
335,1697,-1.013141632,-0.9665206075,1
335,1729,-0.96206671,0.4842538238,1
335,1761,-1.064147711,1.144175172,1
335,1793,-0.1887382567,0.7321335673,1
335,1825,0.1000279188,0.5098500848,1
335,1857,0.02476269007,0.924885571,1
335,1889,0.3664000034,0.9125256538,1
335,1921,0.4902662635,1.915235996,1
335,1953,0.5257414579,3.125013828,1
335,1985,1.305929184,7.207046509,1
335,2017,-0.1580765545,-1.620075345,1
367,33,-0.05510860682,0.5916528702,1
367,65,-7.110212326,-4.002519608,1
367,97,-3.597378254,-3.220306396,1
367,129,-3.046881914,-0.1268858314,1
367,161,-2.113361835,0.08672583103,1
367,193,-1.918887854,-1.29253912,1
367,225,-1.841860652,-0.9115678072,1
367,257,-1.643009305,-0.0400839448,1
367,289,-1.276730299,-0.8125355244,1
367,321,-1.059906363,-2.216165066,1
367,353,-1.307512164,-1.70203352,1
367,385,-1.368586779,-0.9438866377,1
367,417,-0.5748945475,-0.4707812667,1
367,449,0.01159074903,0.09283643961,1
367,481,-0.5524009466,-0.04850804806,1
367,513,-1.732705712,-0.6651413441,1
367,545,-0.7309176922,-0.7036171556,1
367,577,-0.3326490521,-1.022807598,1
367,609,-0.5581002831,-1.307534814,1
367,641,-0.1820590198,-0.9271751642,1
367,673,-0.05206367373,-0.7579829693,1
367,705,-0.6183893085,-0.6597616076,1
367,737,-1.695484161,-2.056055307,1
