PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 1, filenames: A:[1]AVI_Pos004_TimeSrs0004_TgUtrmcherry_K4K8MO.avi & B:[2]AVI_Pos004_TimeSrs0004_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
207,609,31.68664551,16.5488205,1
207,641,32.72536087,15.21983051,1
207,673,32.79958725,13.39767456,1
207,705,33.289608,11.72626591,1
207,737,34.72260666,11.89903355,1
207,769,38.46826172,10.0133152,1
207,801,39.80915451,11.13963032,1
207,833,37.95904922,12.02975082,1
207,865,NaN,NaN,2
207,897,NaN,NaN,2
207,929,39.45085526,6.630451202,1
207,961,37.42754745,7.717489243,1
207,993,37.61777878,10.58653164,1
207,1025,38.0067215,10.24649906,1
207,1057,38.69741821,8.08849144,1
207,1089,39.02736664,7.834252357,1
207,1121,39.61346817,5.514379978,1
207,1153,NaN,NaN,0
207,1185,NaN,NaN,0
207,1217,NaN,NaN,0
207,1249,NaN,NaN,0
207,1281,NaN,NaN,0
207,1313,NaN,NaN,0
207,1345,NaN,NaN,0
207,1377,NaN,NaN,0
207,1409,NaN,NaN,0
207,1441,NaN,NaN,0
207,1473,NaN,NaN,0
207,1505,NaN,NaN,0
207,1537,NaN,NaN,0
207,1569,NaN,NaN,0
207,1601,NaN,NaN,0
207,1633,NaN,NaN,0
207,1665,NaN,NaN,0
207,1697,NaN,NaN,0
207,1729,NaN,NaN,0
207,1761,NaN,NaN,0
207,1793,NaN,NaN,0
207,1825,NaN,NaN,0
207,1857,NaN,NaN,0
207,1889,NaN,NaN,0
207,1921,NaN,NaN,0
207,1953,NaN,NaN,0
207,1985,NaN,NaN,0
207,2017,NaN,NaN,0
239,33,NaN,NaN,0
239,65,NaN,NaN,0
239,97,NaN,NaN,0
239,129,NaN,NaN,0
239,161,17.34299088,12.0607233,1
239,193,18.12911987,11.61300659,1
239,225,NaN,NaN,2
239,257,18.63044357,9.618038177,1
239,289,20.27842522,10.65458107,1
239,321,21.8204689,12.5500946,1
239,353,21.77985001,13.30959129,1
239,385,22.20960617,13.20299149,1
239,417,22.85183334,13.45206261,1
239,449,23.05997467,14.6113348,1
239,481,NaN,NaN,2
239,513,28.48105431,15.11347198,1
239,545,30.07950211,15.73954296,1
239,577,31.84660912,14.58391571,1
239,609,32.0594635,15.93688774,1
239,641,32.92534637,15.26115227,1
239,673,33.43942261,14.69379711,1
239,705,34.12284088,13.80068398,1
239,737,35.1381073,13.3059206,1
239,769,38.1499939,12.2739296,1
239,801,38.78462219,10.74015903,1
239,833,38.45783997,11.44458008,1
239,865,NaN,NaN,2
239,897,38.13171768,9.152588844,1
239,929,38.19086075,7.339331627,1
239,961,37.15119553,7.836419106,1
239,993,37.93141937,10.34826756,1
239,1025,38.31957626,9.132127762,1
239,1057,38.44779968,5.950728893,1
239,1089,39.86661148,7.152051449,1
239,1121,40.01414108,4.954477787,1
239,1153,NaN,NaN,0
239,1185,NaN,NaN,0
239,1217,NaN,NaN,0
239,1249,NaN,NaN,0
239,1281,NaN,NaN,0
239,1313,NaN,NaN,0
239,1345,NaN,NaN,0
239,1377,NaN,NaN,0
239,1409,NaN,NaN,0
239,1441,NaN,NaN,0
239,1473,NaN,NaN,0
239,1505,NaN,NaN,0
239,1537,NaN,NaN,0
239,1569,NaN,NaN,0
239,1601,NaN,NaN,0
239,1633,NaN,NaN,0
239,1665,NaN,NaN,0
239,1697,NaN,NaN,0
239,1729,NaN,NaN,0
239,1761,NaN,NaN,0
239,1793,NaN,NaN,0
239,1825,NaN,NaN,0
239,1857,NaN,NaN,0
239,1889,NaN,NaN,0
239,1921,NaN,NaN,0
239,1953,NaN,NaN,0
239,1985,NaN,NaN,0
239,2017,NaN,NaN,0
271,33,NaN,NaN,0
271,65,NaN,NaN,0
271,97,NaN,NaN,0
271,129,NaN,NaN,0
271,161,15.13652802,14.00488853,1
271,193,16.7124939,12.38973999,1
271,225,18.23933983,11.05620766,1
271,257,18.60653496,10.74904919,1
271,289,20.72872353,12.64666843,1
271,321,20.98186493,14.01102448,1
271,353,20.64753342,14.09697247,1
271,385,21.92286301,14.07671452,1
271,417,21.72712708,14.214571,1
271,449,23.81815147,14.88567066,1
271,481,26.22927475,15.13314819,1
271,513,28.90775108,15.49819374,1
271,545,32.14393616,15.87853527,1
271,577,31.92276573,15.9420166,1
271,609,31.66415215,16.49704933,1
271,641,32.77259064,16.27824211,1
271,673,34.65082169,16.26027298,1
271,705,35.35717773,14.89579868,1
271,737,35.36112213,15.2244854,1
271,769,35.71386719,13.31191063,1
271,801,38.7759552,12.43108082,1
271,833,NaN,NaN,2
271,865,NaN,NaN,2
271,897,38.01726532,9.366096497,1
271,929,38.62005615,7.934736252,1
271,961,38.54870224,7.65112257,1
271,993,38.67185974,7.823443413,1
271,1025,39.42881012,7.010191917,1
271,1057,41.13004684,5.770235062,1
271,1089,41.45669937,6.745355606,1
271,1121,41.36819077,0.5352246761,1
271,1153,NaN,NaN,2
271,1185,NaN,NaN,0
271,1217,44.24715805,-2.204621315,1
