PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 1, filenames: A:[1]AVI_Pos002_TimeSrs0002_TgUtrmcherry_K4K8MO.avi & B:[2]AVI_Pos002_TimeSrs0002_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
429,479,17.55062675,10.9268961,1
429,511,NaN,NaN,2
429,543,18.24430084,7.713757515,1
429,575,19.25942993,6.840923309,1
429,607,21.24810028,5.770178795,1
429,639,21.66976357,5.333247185,1
429,671,20.60631561,3.64975214,1
429,703,NaN,NaN,2
429,735,22.30152512,0.4844403863,1
429,767,21.00800514,-0.7503888607,1
429,799,NaN,NaN,2
429,831,21.35668945,-6.883141994,1
429,863,21.14645004,-5.529266357,1
429,895,21.94090843,-6.068270683,1
429,927,20.96707153,-6.411669254,1
429,959,19.05591393,-7.073534012,1
429,991,17.36503029,-7.99844408,1
429,1023,12.75261879,-7.986558914,1
429,1055,NaN,NaN,2
429,1087,NaN,NaN,2
429,1119,NaN,NaN,2
429,1151,14.24115658,-10.41080189,1
429,1183,14.13314056,-10.89484978,1
429,1215,13.7993536,-11.20948124,1
429,1247,13.42736435,-11.54623318,1
429,1279,13.14886856,-11.48566628,1
429,1311,11.55849934,-11.19070339,1
429,1343,10.69938087,-7.787438393,1
429,1375,13.2093544,-7.081911087,1
429,1407,13.220438,-7.886019707,1
429,1439,NaN,NaN,2
429,1471,9.576406479,-9.427894592,1
429,1503,NaN,NaN,2
429,1535,12.13419437,-8.875134468,1
429,1567,NaN,NaN,2
429,1599,12.41875648,-14.12664509,1
429,1631,12.44418907,-15.05243969,1
429,1663,12.84120178,-16.47149277,1
429,1695,10.98115444,-18.7911396,1
429,1727,9.80134964,-18.01474571,1
429,1759,10.19536304,-16.73490906,1
429,1791,8.091165543,-14.97042656,1
429,1823,6.701982021,-16.37437248,1
429,1855,6.436075211,-16.71373177,1
429,1887,6.253320217,-18.27125931,1
429,1919,5.84910059,-19.79933167,1
461,127,8.473053932,17.63568306,1
461,159,8.860179901,19.55862427,1
461,191,9.137665749,20.26759338,1
461,223,9.630365372,19.29921341,1
461,255,9.858397484,18.21385384,1
461,287,10.15065098,16.50248528,1
461,319,11.65985775,14.91819096,1
461,351,13.46275997,14.52220726,1
461,383,14.8413105,12.68666935,1
461,415,16.0054245,11.99402237,1
461,447,17.45366096,11.69677258,1
461,479,22.0359993,11.06644535,1
461,511,23.12435532,12.31514645,1
461,543,22.12460518,8.533756256,1
461,575,20.90080833,6.439292431,1
461,607,21.72581291,5.037798882,1
461,639,21.99892616,3.942464352,1
461,671,22.28025436,3.958055496,1
461,703,22.64197731,4.080125809,1
461,735,23.71983147,0.2612199187,1
461,767,23.0257988,-1.904179811,1
461,799,21.61422348,-3.03907156,1
461,831,21.2637291,-5.178318977,1
461,863,20.8109436,-6.752439976,1
461,895,20.59581375,-7.24514246,1
461,927,19.97445297,-7.657835007,1
461,959,18.20376778,-7.943897247,1
461,991,NaN,NaN,2
461,1023,9.977693558,-7.960945129,1
461,1055,10.73977661,-8.742474556,1
461,1087,NaN,NaN,2
461,1119,11.58749199,-10.2112112,1
461,1151,12.65899849,-12.51002884,1
461,1183,13.69431305,-11.86393833,1
461,1215,14.66962242,-11.6624403,1
461,1247,14.39238453,-11.18694401,1
461,1279,14.04144573,-10.80897999,1
461,1311,13.11411572,-10.71410465,1
461,1343,11.13506413,-10.29595661,1
461,1375,10.40984917,-9.30035305,1
461,1407,NaN,NaN,2
461,1439,NaN,NaN,2
461,1471,NaN,NaN,2
461,1503,9.658275604,-13.72887897,1
461,1535,9.998623848,-13.72937202,1
461,1567,NaN,NaN,2
461,1599,12.85835838,-14.4467001,1
461,1631,13.72767544,-15.61154461,1
461,1663,12.54077339,-17.15667534,1
461,1695,9.927412987,-17.83036613,1
461,1727,8.676485062,-17.99741364,1
461,1759,9.074512482,-16.63843346,1
461,1791,8.869725227,-15.94078636,1
461,1823,7.491886139,-17.23267174,1
461,1855,6.723723888,-17.87193108,1
461,1887,6.152539253,-19.80675125,1
461,1919,6.167218685,-20.38770103,1
493,127,NaN,NaN,2
493,159,7.129299164,22.15669823,1
493,191,7.771679878,21.49575996,1
493,223,8.525028229,20.87408638,1
493,255,9.032976151,20.24836159,1
493,287,9.813674927,17.70414352,1
493,319,9.680316925,13.79587746,1
493,351,13.36222076,15.36457348,1
493,383,15.17510986,13.81260204,1
493,415,16.79842186,12.67152214,1
493,447,19.69213295,12.31428432,1
493,479,22.35041809,11.64697266,1
493,511,23.00955009,13.06057167,1
493,543,23.08151627,8.767090797,1
493,575,23.43527985,6.761017323,1
493,607,23.19339943,4.950825214,1
493,639,22.17782974,3.94786787,1
493,671,21.50986862,3.357635975,1
493,703,22.02936554,4.264586449,1
493,735,24.74768257,0.5850785375,1
493,767,NaN,NaN,2
493,799,22.95125198,-4.606067181,1
493,831,21.46329689,-6.057672501,1
493,863,21.04602432,-8.564861298,1
493,895,20.06793404,-9.093121529,1
493,927,NaN,NaN,2
493,959,NaN,NaN,2
493,991,10.55033684,-9.134326935,1
493,1023,10.61756516,-8.134949684,1
493,1055,12.06065178,-8.863258362,1
493,1087,NaN,NaN,2
493,1119,15.09050465,-10.65244675,1
493,1151,14.94802284,-14.80629158,1
493,1183,14.8201437,-12.24558926,1
